LGA_NAME16	medianRent
Manjimup (S)	9516
Meekatharra (S)	5200
Melville (C)	20800
Menzies (S)	5200
Merredin (S)	9360
Mingenew (S)	4836
Moora (S)	8632
Morawa (S)	7800
Mosman Park (T)	16640
Mount Magnet (S)	7540
Mount Marshall (S)	3120
Mukinbudin (S)	4316
Mundaring (S)	18200
Murchison (S)	1300
Murray (S)	15600
Nannup (S)	9100
Narembeen (S)	6240
Narrogin (S)	11440
Nedlands (C)	27040
Ngaanyatjarraku (S)	2860
Northam (S)	12740
Northampton (S)	10400
Nungarin (S)	2860
Peppermint Grove (S)	23868
Perenjori (S)	5720
Perth (C)	22880
Pingelly (S)	7800
Plantagenet (S)	10140
Port Hedland (T)	10400
Quairading (S)	5096
Ravensthorpe (S)	11440
Rockingham (C)	18200
Sandstone (S)	
Serpentine-Jarrahdale (S)	19760
Shark Bay (S)	8840
South Perth (C)	19500
Stirling (C)	18200
Subiaco (C)	20800
Swan (C)	18200
Tammin (S)	5304
Three Springs (S)	5980
Toodyay (S)	14560
Trayning (S)	4108
Upper Gascoyne (S)	1560
Victoria Park (T)	18252
Victoria Plains (S)	5200
Vincent (C)	21320
Wagin (S)	8736
Wandering (S)	1664
Wanneroo (C)	19500
Waroona (S)	13000
West Arthur (S)	5200
Westonia (S)	4420
Wickepin (S)	5200
Williams (S)	6552
Wiluna (S)	3640
Wongan-Ballidu (S)	7020
Woodanilling (S)	1300
Wyalkatchem (S)	7800
Wyndham-East Kimberley (S)	10192
Yalgoo (S)	2600
Yilgarn (S)	6240
York (S)	13000
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Break O'Day (M)	10140
Brighton (M)	11180
Burnie (C)	10400
Central Coast (M) (Tas.)	10920
Central Highlands (M) (Tas.)	5200
Circular Head (M)	8840
Clarence (C)	13780
Derwent Valley (M)	10920
Devonport (C)	11440
Dorset (M)	8320
Flinders (M) (Tas.)	5200
George Town (M)	9360
Glamorgan/Spring Bay (M)	9880
Glenorchy (C)	13000
Hobart (C)	15080
Huon Valley (M)	11960
Kentish (M)	10400
King Island (M)	6656
Kingborough (M)	15600
Latrobe (M) (Tas.)	12220
Launceston (C)	11700
Meander Valley (M)	10920
Northern Midlands (M)	10400
Sorell (M)	13520
Southern Midlands (M)	8840
Tasman (M)	10140
Waratah/Wynyard (M)	10400
West Coast (M)	7020
West Tamar (M)	13000
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Alice Springs (T)	18200
Barkly (R)	4160
Belyuen (S)	3640
Central Desert (R)	2756
Coomalie (S)	8580
Darwin (C)	21736
East Arnhem (R)	3120
Katherine (T)	13000
Litchfield (M)	20800
MacDonnell (R)	2600
Palmerston (C)	22360
Roper Gulf (R)	2600
Tiwi Islands (R)	2600
Victoria Daly (R)	2600
Wagait (S)	13000
West Arnhem (R)	2600
West Daly (R)	2600
Unincorporated NT	4160
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Unincorporated ACT	19760
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unincorp. Other Territories	7280
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
