LGA_NAME16	HomeCensusNight	persons
Greater Dandenong (C)	0	4399
Greater Dandenong (C)	1	147648
Greater Geelong (C)	0	12490
Greater Geelong (C)	1	220936
Greater Shepparton (C)	0	3666
Greater Shepparton (C)	1	60175
Hepburn (S)	0	1052
Hepburn (S)	1	14276
Hindmarsh (S)	0	366
Hindmarsh (S)	1	5355
Hobsons Bay (C)	0	3261
Hobsons Bay (C)	1	85521
Horsham (RC)	0	1355
Horsham (RC)	1	18287
Hume (C)	0	5806
Hume (C)	1	191570
Indigo (S)	0	1118
Indigo (S)	1	14838
Kingston (C) (Vic.)	0	6008
Kingston (C) (Vic.)	1	145375
Knox (C)	0	5573
Knox (C)	1	148538
Latrobe (C) (Vic.)	0	4367
Latrobe (C) (Vic.)	1	68890
Loddon (S)	0	494
Loddon (S)	1	7018
Macedon Ranges (S)	0	2396
Macedon Ranges (S)	1	43708
Manningham (C)	0	4269
Manningham (C)	1	111986
Mansfield (S)	0	888
Mansfield (S)	1	7699
Maribyrnong (C)	0	3029
Maribyrnong (C)	1	79263
Maroondah (C)	0	4382
Maroondah (C)	1	105992
Melbourne (C)	0	5394
Melbourne (C)	1	130564
Melton (C)	0	3760
Melton (C)	1	131679
Mildura (RC)	0	3143
Mildura (RC)	1	50736
Mitchell (S)	0	1847
Mitchell (S)	1	39073
Moira (S)	0	2190
Moira (S)	1	26921
Monash (C)	0	6129
Monash (C)	1	176485
Moonee Valley (C)	0	4525
Moonee Valley (C)	1	112146
Moorabool (S)	0	1399
Moorabool (S)	1	30423
Moreland (C)	0	5987
Moreland (C)	1	156575
Mornington Peninsula (S)	0	10400
Mornington Peninsula (S)	1	144597
Mount Alexander (S)	0	1159
Mount Alexander (S)	1	17604
Moyne (S)	0	1029
Moyne (S)	1	15468
Murrindindi (S)	0	1096
Murrindindi (S)	1	12633
Nillumbik (S)	0	2639
Nillumbik (S)	1	58631
Northern Grampians (S)	0	692
Northern Grampians (S)	1	10746
Port Phillip (C)	0	5185
Port Phillip (C)	1	95682
Pyrenees (S)	0	428
Pyrenees (S)	1	6811
Queenscliffe (B)	0	368
Queenscliffe (B)	1	2486
South Gippsland (S)	0	2073
South Gippsland (S)	1	26627
Southern Grampians (S)	0	1150
Southern Grampians (S)	1	14792
Stonnington (C)	0	5397
Stonnington (C)	1	98437
Strathbogie (S)	0	748
Strathbogie (S)	1	9530
Surf Coast (S)	0	2301
Surf Coast (S)	1	27097
Swan Hill (RC)	0	1257
Swan Hill (RC)	1	19325
Towong (S)	0	502
Towong (S)	1	5489
Wangaratta (RC)	0	1766
Wangaratta (RC)	1	26546
Warrnambool (C)	0	2135
Warrnambool (C)	1	31520
Wellington (S)	0	2939
Wellington (S)	1	40041
West Wimmera (S)	0	324
West Wimmera (S)	1	3577
Whitehorse (C)	0	5967
Whitehorse (C)	1	156117
Whittlesea (C)	0	5566
Whittlesea (C)	1	191923
Wodonga (C)	0	2484
Wodonga (C)	1	36870
Wyndham (C)	0	6173
Wyndham (C)	1	210946
Yarra (C)	0	4531
Yarra (C)	1	82124
Yarra Ranges (S)	0	7179
Yarra Ranges (S)	1	142366
Yarriambiack (S)	0	459
Yarriambiack (S)	1	6214
Unincorporated Vic	0	46
Unincorporated Vic	1	833
No usual address (Vic.)	0	7565
Migratory - Offshore - Shipping (Vic.)	0	3
Migratory - Offshore - Shipping (Vic.)	1	26
Aurukun (S)	0	108
Aurukun (S)	1	1166
Balonne (S)	0	412
Balonne (S)	1	3970
Banana (S)	0	861
Banana (S)	1	13450
Barcaldine (R)	0	304
Barcaldine (R)	1	2557
Barcoo (S)	0	33
Barcoo (S)	1	239
Blackall-Tambo (R)	0	196
Blackall-Tambo (R)	1	1702
Boulia (S)	0	51
Boulia (S)	1	374
Brisbane (C)	0	51232
Brisbane (C)	1	1079918
Bulloo (S)	0	36
Bulloo (S)	1	317
Bundaberg (R)	0	5523
Bundaberg (R)	1	87372
Burdekin (S)	0	839
Burdekin (S)	1	16227
Burke (S)	0	24
Burke (S)	1	306
Cairns (R)	0	8671
Cairns (R)	1	148232
Carpentaria (S)	0	197
Carpentaria (S)	1	1761
Cassowary Coast (R)	0	1623
Cassowary Coast (R)	1	27100
Central Highlands (R) (Qld)	0	2022
Central Highlands (R) (Qld)	1	25980
Charters Towers (R)	0	797
Charters Towers (R)	1	11079
Cherbourg (S)	0	31
Cherbourg (S)	1	1235
Cloncurry (S)	0	185
Cloncurry (S)	1	2847
Cook (S)	0	346
Cook (S)	1	3883
Croydon (S)	0	27
Croydon (S)	1	267
Diamantina (S)	0	52
Diamantina (S)	1	235
Doomadgee (S)	0	71
Doomadgee (S)	1	1331
Douglas (S)	0	617
Douglas (S)	1	11100
Etheridge (S)	0	82
Etheridge (S)	1	724
Flinders (S) (Qld)	0	141
Flinders (S) (Qld)	1	1393
Fraser Coast (R)	0	6099
Fraser Coast (R)	1	95402
Gladstone (R)	0	4194
Gladstone (R)	1	57449
Gold Coast (C)	0	24216
Gold Coast (C)	1	531511
Goondiwindi (R)	0	747
Goondiwindi (R)	1	9880
Gympie (R)	0	3033
Gympie (R)	1	46526
Hinchinbrook (S)	0	569
Hinchinbrook (S)	1	10313
Hope Vale (S)	0	85
Hope Vale (S)	1	840
Ipswich (C)	0	8040
Ipswich (C)	1	185696
Isaac (R)	0	1425
Isaac (R)	1	19508
Kowanyama (S)	0	43
Kowanyama (S)	1	903
Livingstone (S)	0	2996
Livingstone (S)	1	33274
Lockhart River (S)	0	50
Lockhart River (S)	1	662
Lockyer Valley (R)	0	1860
Lockyer Valley (R)	1	36746
Logan (C)	0	11851
Logan (C)	1	291533
Longreach (R)	0	322
Longreach (R)	1	3333
Mackay (R)	0	9546
Mackay (R)	1	105426
McKinlay (S)	0	67
McKinlay (S)	1	729
Mapoon (S)	0	23
Mapoon (S)	1	287
Maranoa (R)	0	959
