LGA_NAME16	Age	MaritalStatus	Registered	adults
Balranald (A)	25-34	Married	0	43
Balranald (A)	25-34	Married	1	88
Balranald (A)	25-34	Never married		63
Balranald (A)	35-44	Married	0	36
Balranald (A)	35-44	Married	1	131
Balranald (A)	35-44	Never married		61
Balranald (A)	45-54	Married	0	37
Balranald (A)	45-54	Married	1	157
Balranald (A)	45-54	Never married		65
Balranald (A)	55-64	Married	0	38
Balranald (A)	55-64	Married	1	204
Balranald (A)	55-64	Never married		79
Balranald (A)	65-74	Married	0	9
Balranald (A)	65-74	Married	1	121
Balranald (A)	65-74	Never married		52
Balranald (A)	75-84	Married	1	34
Balranald (A)	75-84	Never married		62
Balranald (A)	85+	Married	1	5
Balranald (A)	85+	Never married		17
Bathurst Regional (A)	15-19	Married	0	50
Bathurst Regional (A)	15-19	Never married		2271
Bathurst Regional (A)	20-24	Married	0	433
Bathurst Regional (A)	20-24	Married	1	103
Bathurst Regional (A)	20-24	Never married		1696
Bathurst Regional (A)	25-34	Married	0	990
Bathurst Regional (A)	25-34	Married	1	1659
Bathurst Regional (A)	25-34	Never married		1672
Bathurst Regional (A)	35-44	Married	0	581
Bathurst Regional (A)	35-44	Married	1	2462
Bathurst Regional (A)	35-44	Never married		1177
Bathurst Regional (A)	45-54	Married	0	548
Bathurst Regional (A)	45-54	Married	1	2745
Bathurst Regional (A)	45-54	Never married		1298
Bathurst Regional (A)	55-64	Married	0	323
Bathurst Regional (A)	55-64	Married	1	2768
Bathurst Regional (A)	55-64	Never married		1242
Bathurst Regional (A)	65-74	Married	0	169
Bathurst Regional (A)	65-74	Married	1	2065
Bathurst Regional (A)	65-74	Never married		1074
Bathurst Regional (A)	75-84	Married	0	39
Bathurst Regional (A)	75-84	Married	1	873
Bathurst Regional (A)	75-84	Never married		743
Bathurst Regional (A)	85+	Married	0	7
Bathurst Regional (A)	85+	Married	1	178
Bathurst Regional (A)	85+	Never married		410
Bega Valley (A)	15-19	Married	0	46
Bega Valley (A)	15-19	Never married		1517
Bega Valley (A)	20-24	Married	0	260
Bega Valley (A)	20-24	Married	1	41
Bega Valley (A)	20-24	Never married		668
Bega Valley (A)	25-34	Married	0	589
Bega Valley (A)	25-34	Married	1	713
Bega Valley (A)	25-34	Never married		815
Bega Valley (A)	35-44	Married	0	580
Bega Valley (A)	35-44	Married	1	1429
Bega Valley (A)	35-44	Never married		763
Bega Valley (A)	45-54	Married	0	650
Bega Valley (A)	45-54	Married	1	2147
Bega Valley (A)	45-54	Never married		1201
Bega Valley (A)	55-64	Married	0	648
Bega Valley (A)	55-64	Married	1	3093
Bega Valley (A)	55-64	Never married		1517
Bega Valley (A)	65-74	Married	0	335
Bega Valley (A)	65-74	Married	1	2701
Bega Valley (A)	65-74	Never married		1220
Bega Valley (A)	75-84	Married	0	75
Bega Valley (A)	75-84	Married	1	1229
Bega Valley (A)	75-84	Never married		809
Bega Valley (A)	85+	Married	0	11
Bega Valley (A)	85+	Married	1	236
Bega Valley (A)	85+	Never married		438
Bellingen (A)	15-19	Married	0	14
Bellingen (A)	15-19	Never married		642
Bellingen (A)	20-24	Married	0	58
Bellingen (A)	20-24	Married	1	18
Bellingen (A)	20-24	Never married		252
Bellingen (A)	25-34	Married	0	227
Bellingen (A)	25-34	Married	1	290
Bellingen (A)	25-34	Never married		327
Bellingen (A)	35-44	Married	0	274
Bellingen (A)	35-44	Married	1	540
Bellingen (A)	35-44	Never married		381
Bellingen (A)	45-54	Married	0	276
Bellingen (A)	45-54	Married	1	846
Bellingen (A)	45-54	Never married		516
Bellingen (A)	55-64	Married	0	298
Bellingen (A)	55-64	Married	1	1019
Bellingen (A)	55-64	Never married		671
Bellingen (A)	65-74	Married	0	125
Bellingen (A)	65-74	Married	1	861
Bellingen (A)	65-74	Never married		495
Bellingen (A)	75-84	Married	0	37
Bellingen (A)	75-84	Married	1	427
Bellingen (A)	75-84	Never married		342
Bellingen (A)	85+	Married	0	4
Bellingen (A)	85+	Married	1	66
Bellingen (A)	85+	Never married		181
Berrigan (A)	15-19	Married	0	6
Berrigan (A)	15-19	Never married		341
Berrigan (A)	20-24	Married	0	67
Berrigan (A)	20-24	Married	1	11
Berrigan (A)	20-24	Never married		197
Berrigan (A)	25-34	Married	0	130
Berrigan (A)	25-34	Married	1	269
Berrigan (A)	25-34	Never married		240
Berrigan (A)	35-44	Married	0	95
Berrigan (A)	35-44	Married	1	457
Berrigan (A)	35-44	Never married		199
Berrigan (A)	45-54	Married	0	101
Berrigan (A)	45-54	Married	1	469
Berrigan (A)	45-54	Never married		240
Berrigan (A)	55-64	Married	0	103
Berrigan (A)	55-64	Married	1	665
Berrigan (A)	55-64	Never married		316
Berrigan (A)	65-74	Married	0	54
Berrigan (A)	65-74	Married	1	702
Berrigan (A)	65-74	Never married		329
Berrigan (A)	75-84	Married	0	19
Berrigan (A)	75-84	Married	1	345
Berrigan (A)	75-84	Never married		219
Berrigan (A)	85+	Married	1	68
Berrigan (A)	85+	Never married		129
Blacktown (C)	15-19	Married	0	161
Blacktown (C)	15-19	Married	1	29
Blacktown (C)	15-19	Never married		21809
Blacktown (C)	20-24	Married	0	1503
Blacktown (C)	20-24	Married	1	1166
Blacktown (C)	20-24	Never married		18347
Blacktown (C)	25-34	Married	0	5066
Blacktown (C)	25-34	Married	1	24175
Blacktown (C)	25-34	Never married		19007
Blacktown (C)	35-44	Married	0	3733
Blacktown (C)	35-44	Married	1	34038
Blacktown (C)	35-44	Never married		10318
Blacktown (C)	45-54	Married	0	2963
Blacktown (C)	45-54	Married	1	26217
Blacktown (C)	45-54	Never married		10153
Blacktown (C)	55-64	Married	0	1667
Blacktown (C)	55-64	Married	1	20704
Blacktown (C)	55-64	Never married		9067
Blacktown (C)	65-74	Married	0	658
Blacktown (C)	65-74	Married	1	12521
Blacktown (C)	65-74	Never married		6614
Blacktown (C)	75-84	Married	0	140
Blacktown (C)	75-84	Married	1	4284
Blacktown (C)	75-84	Never married		4022
Blacktown (C)	85+	Married	0	26
Blacktown (C)	85+	Married	1	746
Blacktown (C)	85+	Never married		1652
Bland (A)	15-19	Married	0	8
Bland (A)	15-19	Never married		251
Bland (A)	20-24	Married	0	51
Bland (A)	20-24	Married	1	11
Bland (A)	20-24	Never married		149
Bland (A)	25-34	Married	0	103
Bland (A)	25-34	Married	1	211
Bland (A)	25-34	Never married		172
Bland (A)	35-44	Married	0	64
Bland (A)	35-44	Married	1	382
Bland (A)	35-44	Never married		132
Bland (A)	45-54	Married	0	59
Bland (A)	45-54	Married	1	400
Bland (A)	45-54	Never married		155
Bland (A)	55-64	Married	0	37
Bland (A)	55-64	Married	1	476
Bland (A)	55-64	Never married		197
Bland (A)	65-74	Married	0	15
Bland (A)	65-74	Married	1	348
Bland (A)	65-74	Never married		157
Bland (A)	75-84	Married	0	3
Bland (A)	75-84	Married	1	201
Bland (A)	75-84	Never married		160
Bland (A)	85+	Married	1	52
Bland (A)	85+	Never married		96
Blayney (A)	15-19	Married	0	6
Blayney (A)	15-19	Never married		402
Blayney (A)	20-24	Married	0	80
Blayney (A)	20-24	Married	1	18
Blayney (A)	20-24	Never married		171
Blayney (A)	25-34	Married	0	150
Blayney (A)	25-34	Married	1	279
Blayney (A)	25-34	Never married		203
Blayney (A)	35-44	Married	0	100
Blayney (A)	35-44	Married	1	497
Blayney (A)	35-44	Never married		174
Blayney (A)	45-54	Married	0	107
Blayney (A)	45-54	Married	1	556
Blayney (A)	45-54	Never married		261
Blayney (A)	55-64	Married	0	78
Blayney (A)	55-64	Married	1	556
Blayney (A)	55-64	Never married		251
Blayney (A)	65-74	Married	0	30
Blayney (A)	65-74	Married	1	418
Blayney (A)	65-74	Never married		211
Blayney (A)	75-84	Married	0	6
Blayney (A)	75-84	Married	1	199
Blayney (A)	75-84	Never married		154
Blayney (A)	85+	Married	1	47
Blayney (A)	85+	Never married		77
Blue Mountains (C)	15-19	Married	0	47
Blue Mountains (C)	15-19	Never married		4336
Blue Mountains (C)	20-24	Married	0	338
Blue Mountains (C)	20-24	Married	1	122
Blue Mountains (C)	20-24	Never married		2695
Blue Mountains (C)	25-34	Married	0	1321
Blue Mountains (C)	25-34	Married	1	2605
Blue Mountains (C)	25-34	Never married		2382
Blue Mountains (C)	35-44	Married	0	1478
Blue Mountains (C)	35-44	Married	1	5369
Blue Mountains (C)	35-44	Never married		2110
Blue Mountains (C)	45-54	Married	0	1359
Blue Mountains (C)	45-54	Married	1	6083
Blue Mountains (C)	45-54	Never married		2643
Blue Mountains (C)	55-64	Married	0	988
Blue Mountains (C)	55-64	Married	1	6539
Blue Mountains (C)	55-64	Never married		3087
Blue Mountains (C)	65-74	Married	0	500
Blue Mountains (C)	65-74	Married	1	4933
Blue Mountains (C)	65-74	Never married		2739
Blue Mountains (C)	75-84	Married	0	110
Blue Mountains (C)	75-84	Married	1	1843
Blue Mountains (C)	75-84	Never married		1569
Blue Mountains (C)	85+	Married	0	19
Blue Mountains (C)	85+	Married	1	324
Blue Mountains (C)	85+	Never married		754
Bogan (A)	15-19	Married	0	3
Bogan (A)	15-19	Never married		125
Bogan (A)	20-24	Married	0	36
Bogan (A)	20-24	Married	1	8
Bogan (A)	20-24	Never married		85
Bogan (A)	25-34	Married	0	64
Bogan (A)	25-34	Married	1	88
Bogan (A)	25-34	Never married		100
Bogan (A)	35-44	Married	0	35
Bogan (A)	35-44	Married	1	155
Bogan (A)	35-44	Never married		55
Bogan (A)	45-54	Married	0	40
Bogan (A)	45-54	Married	1	208
Bogan (A)	45-54	Never married		81
Bogan (A)	55-64	Married	0	20
Bogan (A)	55-64	Married	1	134
Bogan (A)	55-64	Never married		74
Bogan (A)	65-74	Married	0	13
Bogan (A)	65-74	Married	1	154
Bogan (A)	65-74	Never married		82
Bogan (A)	75-84	Married	0	4
Bogan (A)	75-84	Married	1	73
Bogan (A)	75-84	Never married		78
Bogan (A)	85+	Married	0	4
Bogan (A)	85+	Married	1	9
Bogan (A)	85+	Never married		26
Botany Bay (C)	15-19	Married	0	10
Botany Bay (C)	15-19	Married	1	3
Botany Bay (C)	15-19	Never married		2448
Botany Bay (C)	20-24	Married	0	343
Botany Bay (C)	20-24	Married	1	175
Botany Bay (C)	20-24	Never married		2904
Botany Bay (C)	25-34	Married	0	1436
Botany Bay (C)	25-34	Married	1	2910
Botany Bay (C)	25-34	Never married		3526
Botany Bay (C)	35-44	Married	0	718
Botany Bay (C)	35-44	Married	1	4092
Botany Bay (C)	35-44	Never married		1724
Botany Bay (C)	45-54	Married	0	534
Botany Bay (C)	45-54	Married	1	3166
Botany Bay (C)	45-54	Never married		1700
Botany Bay (C)	55-64	Married	0	263
Botany Bay (C)	55-64	Married	1	2323
Botany Bay (C)	55-64	Never married		1468
Botany Bay (C)	65-74	Married	0	117
Botany Bay (C)	65-74	Married	1	1655
Botany Bay (C)	65-74	Never married		1224
Botany Bay (C)	75-84	Married	0	55
Botany Bay (C)	75-84	Married	1	893
Botany Bay (C)	75-84	Never married		908
Botany Bay (C)	85+	Married	0	10
Botany Bay (C)	85+	Married	1	171
Botany Bay (C)	85+	Never married		422
Bourke (A)	15-19	Never married		92
Bourke (A)	20-24	Married	0	44
Bourke (A)	20-24	Married	1	4
Bourke (A)	20-24	Never married		66
Bourke (A)	25-34	Married	0	94
Bourke (A)	25-34	Married	1	80
Bourke (A)	25-34	Never married		108
Bourke (A)	35-44	Married	0	49
Bourke (A)	35-44	Married	1	87
Bourke (A)	35-44	Never married		83
Bourke (A)	45-54	Married	0	44
Bourke (A)	45-54	Married	1	134
Bourke (A)	45-54	Never married		110
Bourke (A)	55-64	Married	0	29
Bourke (A)	55-64	Married	1	122
Bourke (A)	55-64	Never married		84
Bourke (A)	65-74	Married	0	3
Bourke (A)	65-74	Married	1	84
Bourke (A)	65-74	Never married		81
Bourke (A)	75-84	Married	0	3
Bourke (A)	75-84	Married	1	36
Bourke (A)	75-84	Never married		42
Bourke (A)	85+	Married	1	7
Bourke (A)	85+	Never married		17
Brewarrina (A)	15-19	Never married		73
Brewarrina (A)	20-24	Married	0	31
Brewarrina (A)	20-24	Never married		59
Brewarrina (A)	25-34	Married	0	39
Brewarrina (A)	25-34	Married	1	27
Brewarrina (A)	25-34	Never married		112
Brewarrina (A)	35-44	Married	0	40
Brewarrina (A)	35-44	Married	1	28
Brewarrina (A)	35-44	Never married		70
Brewarrina (A)	45-54	Married	0	65
Brewarrina (A)	45-54	Married	1	52
Brewarrina (A)	45-54	Never married		101
Brewarrina (A)	55-64	Married	0	34
Brewarrina (A)	55-64	Married	1	72
Brewarrina (A)	55-64	Never married		74
Brewarrina (A)	65-74	Married	0	4
Brewarrina (A)	65-74	Married	1	42
Brewarrina (A)	65-74	Never married		52
Brewarrina (A)	75-84	Married	1	17
Brewarrina (A)	75-84	Never married		16
Brewarrina (A)	85+	Married	1	5
Brewarrina (A)	85+	Never married		9
Broken Hill (C)	15-19	Married	0	13
Broken Hill (C)	15-19	Never married		824
Broken Hill (C)	20-24	Married	0	190
Broken Hill (C)	20-24	Married	1	27
Broken Hill (C)	20-24	Never married		562
Broken Hill (C)	25-34	Married	0	443
Broken Hill (C)	25-34	Married	1	499
Broken Hill (C)	25-34	Never married		813
Broken Hill (C)	35-44	Married	0	267
Broken Hill (C)	35-44	Married	1	736
Broken Hill (C)	35-44	Never married		609
Broken Hill (C)	45-54	Married	0	243
Broken Hill (C)	45-54	Married	1	968
Broken Hill (C)	45-54	Never married		827
Broken Hill (C)	55-64	Married	0	191
Broken Hill (C)	55-64	Married	1	1278
Broken Hill (C)	55-64	Never married		853
Broken Hill (C)	65-74	Married	0	73
Broken Hill (C)	65-74	Married	1	1022
Broken Hill (C)	65-74	Never married		666
Broken Hill (C)	75-84	Married	0	17
Broken Hill (C)	75-84	Married	1	528
Broken Hill (C)	75-84	Never married		498
Broken Hill (C)	85+	Married	1	115
Broken Hill (C)	85+	Never married		287
Burwood (A)	15-19	Married	0	20
Burwood (A)	15-19	Married	1	4
Burwood (A)	15-19	Never married		2015
Burwood (A)	20-24	Married	0	264
Burwood (A)	20-24	Married	1	198
Burwood (A)	20-24	Never married		3608
Burwood (A)	25-34	Married	0	702
Burwood (A)	25-34	Married	1	2391
Burwood (A)	25-34	Never married		4096
Burwood (A)	35-44	Married	0	242
Burwood (A)	35-44	Married	1	2537
Burwood (A)	35-44	Never married		1229
Burwood (A)	45-54	Married	0	245
Burwood (A)	45-54	Married	1	2546
Burwood (A)	45-54	Never married		1206
Burwood (A)	55-64	Married	0	149
Burwood (A)	55-64	Married	1	2090
Burwood (A)	55-64	Never married		1029
Burwood (A)	65-74	Married	0	65
Burwood (A)	65-74	Married	1	1386
Burwood (A)	65-74	Never married		732
Burwood (A)	75-84	Married	0	29
Burwood (A)	75-84	Married	1	799
Burwood (A)	75-84	Never married		690
Burwood (A)	85+	Married	0	8
Burwood (A)	85+	Married	1	222
Burwood (A)	85+	Never married		402
Byron (A)	15-19	Married	0	7
Byron (A)	15-19	Never married		1378
Byron (A)	20-24	Married	0	98
Byron (A)	20-24	Married	1	23
Byron (A)	20-24	Never married		768
Byron (A)	25-34	Married	0	647
Byron (A)	25-34	Married	1	579
Byron (A)	25-34	Never married		1447
Byron (A)	35-44	Married	0	800
Byron (A)	35-44	Married	1	1574
Byron (A)	35-44	Never married		1290
Byron (A)	45-54	Married	0	800
Byron (A)	45-54	Married	1	1713
Byron (A)	45-54	Never married		1542
Byron (A)	55-64	Married	0	670
Byron (A)	55-64	Married	1	2016
Byron (A)	55-64	Never married		1784
Byron (A)	65-74	Married	0	278
Byron (A)	65-74	Married	1	1407
Byron (A)	65-74	Never married		1082
Byron (A)	75-84	Married	0	32
Byron (A)	75-84	Married	1	518
Byron (A)	75-84	Never married		479
Byron (A)	85+	Married	0	8
Byron (A)	85+	Married	1	120
Byron (A)	85+	Never married		320
Cabonne (A)	15-19	Married	0	27
Cabonne (A)	15-19	Never married		767
Cabonne (A)	20-24	Married	0	79
Cabonne (A)	20-24	Married	1	26
Cabonne (A)	20-24	Never married		311
Cabonne (A)	25-34	Married	0	184
Cabonne (A)	25-34	Married	1	506
Cabonne (A)	25-34	Never married		359
Cabonne (A)	35-44	Married	0	130
Cabonne (A)	35-44	Married	1	1014
Cabonne (A)	35-44	Never married		256
Cabonne (A)	45-54	Married	0	180
Cabonne (A)	45-54	Married	1	1176
Cabonne (A)	45-54	Never married		323
Cabonne (A)	55-64	Married	0	118
Cabonne (A)	55-64	Married	1	1105
Cabonne (A)	55-64	Never married		374
Cabonne (A)	65-74	Married	0	58
Cabonne (A)	65-74	Married	1	915
Cabonne (A)	65-74	Never married		363
Cabonne (A)	75-84	Married	0	11
Cabonne (A)	75-84	Married	1	380
Cabonne (A)	75-84	Never married		292
Cabonne (A)	85+	Married	0	3
Cabonne (A)	85+	Married	1	73
Cabonne (A)	85+	Never married		125
Camden (A)	15-19	Married	0	22
Camden (A)	15-19	Married	1	4
Camden (A)	15-19	Never married		4964
Camden (A)	20-24	Married	0	526
Camden (A)	20-24	Married	1	224
Camden (A)	20-24	Never married		3640
Camden (A)	25-34	Married	0	1923
Camden (A)	25-34	Married	1	6065
Camden (A)	25-34	Never married		3075
Camden (A)	35-44	Married	0	1209
Camden (A)	35-44	Married	1	8108
Camden (A)	35-44	Never married		1932
Camden (A)	45-54	Married	0	885
Camden (A)	45-54	Married	1	6513
Camden (A)	45-54	Never married		1833
Camden (A)	55-64	Married	0	464
Camden (A)	55-64	Married	1	4937
Camden (A)	55-64	Never married		1484
Camden (A)	65-74	Married	0	143
Camden (A)	65-74	Married	1	3194
Camden (A)	65-74	Never married		1177
Camden (A)	75-84	Married	0	39
Camden (A)	75-84	Married	1	1165
Camden (A)	75-84	Never married		765
Camden (A)	85+	Married	0	3
Camden (A)	85+	Married	1	178
Camden (A)	85+	Never married		424
Campbelltown (C) (NSW)	15-19	Married	0	118
Campbelltown (C) (NSW)	15-19	Married	1	15
Campbelltown (C) (NSW)	15-19	Never married		9735
Campbelltown (C) (NSW)	20-24	Married	0	1167
Campbelltown (C) (NSW)	20-24	Married	1	550
Campbelltown (C) (NSW)	20-24	Never married		8622
Campbelltown (C) (NSW)	25-34	Married	0	2995
Campbelltown (C) (NSW)	25-34	Married	1	9196
Campbelltown (C) (NSW)	25-34	Never married		9129
Campbelltown (C) (NSW)	35-44	Married	0	2122
Campbelltown (C) (NSW)	35-44	Married	1	11797
Campbelltown (C) (NSW)	35-44	Never married		5668
Campbelltown (C) (NSW)	45-54	Married	0	1705
Campbelltown (C) (NSW)	45-54	Married	1	11240
Campbelltown (C) (NSW)	45-54	Never married		5322
Campbelltown (C) (NSW)	55-64	Married	0	1115
Campbelltown (C) (NSW)	55-64	Married	1	11097
Campbelltown (C) (NSW)	55-64	Never married		4972
Campbelltown (C) (NSW)	65-74	Married	0	459
Campbelltown (C) (NSW)	65-74	Married	1	6806
Campbelltown (C) (NSW)	65-74	Never married		3712
Campbelltown (C) (NSW)	75-84	Married	0	97
Campbelltown (C) (NSW)	75-84	Married	1	2161
Campbelltown (C) (NSW)	75-84	Never married		1935
Campbelltown (C) (NSW)	85+	Married	0	12
Campbelltown (C) (NSW)	85+	Married	1	350
Campbelltown (C) (NSW)	85+	Never married		806
Canada Bay (A)	15-19	Married	0	21
Canada Bay (A)	15-19	Married	1	6
Canada Bay (A)	15-19	Never married		3713
Canada Bay (A)	20-24	Married	0	544
Canada Bay (A)	20-24	Married	1	182
Canada Bay (A)	20-24	Never married		5015
Canada Bay (A)	25-34	Married	0	2527
Canada Bay (A)	25-34	Married	1	6213
Canada Bay (A)	25-34	Never married		6357
Canada Bay (A)	35-44	Married	0	1278
Canada Bay (A)	35-44	Married	1	8087
Canada Bay (A)	35-44	Never married		2876
Canada Bay (A)	45-54	Married	0	945
Canada Bay (A)	45-54	Married	1	6639
Canada Bay (A)	45-54	Never married		2778
Canada Bay (A)	55-64	Married	0	613
Canada Bay (A)	55-64	Married	1	5375
Canada Bay (A)	55-64	Never married		2452
Canada Bay (A)	65-74	Married	0	282
Canada Bay (A)	65-74	Married	1	4063
Canada Bay (A)	65-74	Never married		1837
Canada Bay (A)	75-84	Married	0	63
Canada Bay (A)	75-84	Married	1	1986
Canada Bay (A)	75-84	Never married		1432
Canada Bay (A)	85+	Married	0	17
Canada Bay (A)	85+	Married	1	472
Canada Bay (A)	85+	Never married		937
Canterbury-Bankstown (A)	15-19	Married	0	69
Canterbury-Bankstown (A)	15-19	Married	1	84
Canterbury-Bankstown (A)	15-19	Never married		20510
Canterbury-Bankstown (A)	20-24	Married	0	867
Canterbury-Bankstown (A)	20-24	Married	1	2144
Canterbury-Bankstown (A)	20-24	Never married		19494
Canterbury-Bankstown (A)	25-34	Married	0	3601
Canterbury-Bankstown (A)	25-34	Married	1	22668
Canterbury-Bankstown (A)	25-34	Never married		22390
Canterbury-Bankstown (A)	35-44	Married	0	2908
Canterbury-Bankstown (A)	35-44	Married	1	28481
Canterbury-Bankstown (A)	35-44	Never married		11960
Canterbury-Bankstown (A)	45-54	Married	0	2580
Canterbury-Bankstown (A)	45-54	Married	1	25996
Canterbury-Bankstown (A)	45-54	Never married		12070
Canterbury-Bankstown (A)	55-64	Married	0	1754
Canterbury-Bankstown (A)	55-64	Married	1	21252
Canterbury-Bankstown (A)	55-64	Never married		11170
Canterbury-Bankstown (A)	65-74	Married	0	749
Canterbury-Bankstown (A)	65-74	Married	1	14154
Canterbury-Bankstown (A)	65-74	Never married		7737
Canterbury-Bankstown (A)	75-84	Married	0	227
Canterbury-Bankstown (A)	75-84	Married	1	7718
Canterbury-Bankstown (A)	75-84	Never married		5924
Canterbury-Bankstown (A)	85+	Married	0	24
Canterbury-Bankstown (A)	85+	Married	1	1832
Canterbury-Bankstown (A)	85+	Never married		3591
Carrathool (A)	15-19	Married	0	3
Carrathool (A)	15-19	Never married		110
Carrathool (A)	20-24	Married	0	41
Carrathool (A)	20-24	Married	1	11
Carrathool (A)	20-24	Never married		67
Carrathool (A)	25-34	Married	0	66
Carrathool (A)	25-34	Married	1	124
Carrathool (A)	25-34	Never married		108
Carrathool (A)	35-44	Married	0	45
Carrathool (A)	35-44	Married	1	169
Carrathool (A)	35-44	Never married		70
Carrathool (A)	45-54	Married	0	42
Carrathool (A)	45-54	Married	1	223
Carrathool (A)	45-54	Never married		84
Carrathool (A)	55-64	Married	0	26
Carrathool (A)	55-64	Married	1	193
Carrathool (A)	55-64	Never married		106
Carrathool (A)	65-74	Married	0	9
Carrathool (A)	65-74	Married	1	108
Carrathool (A)	65-74	Never married		58
Carrathool (A)	75-84	Married	0	3
Carrathool (A)	75-84	Married	1	62
Carrathool (A)	75-84	Never married		53
Carrathool (A)	85+	Married	1	16
Carrathool (A)	85+	Never married		23
Central Coast (C) (NSW)	15-19	Married	0	210
Central Coast (C) (NSW)	15-19	Married	1	16
Central Coast (C) (NSW)	15-19	Never married		18214
Central Coast (C) (NSW)	20-24	Married	0	2302
Central Coast (C) (NSW)	20-24	Married	1	596
Central Coast (C) (NSW)	20-24	Never married		13210
Central Coast (C) (NSW)	25-34	Married	0	7046
Central Coast (C) (NSW)	25-34	Married	1	12139
Central Coast (C) (NSW)	25-34	Never married		12728
Central Coast (C) (NSW)	35-44	Married	0	5380
Central Coast (C) (NSW)	35-44	Married	1	20944
Central Coast (C) (NSW)	35-44	Never married		9902
Central Coast (C) (NSW)	45-54	Married	0	4840
Central Coast (C) (NSW)	45-54	Married	1	22695
Central Coast (C) (NSW)	45-54	Never married		12508
Central Coast (C) (NSW)	55-64	Married	0	3111
Central Coast (C) (NSW)	55-64	Married	1	22788
Central Coast (C) (NSW)	55-64	Never married		12417
Central Coast (C) (NSW)	65-74	Married	0	1609
Central Coast (C) (NSW)	65-74	Married	1	19735
Central Coast (C) (NSW)	65-74	Never married		11096
Central Coast (C) (NSW)	75-84	Married	0	482
Central Coast (C) (NSW)	75-84	Married	1	10137
Central Coast (C) (NSW)	75-84	Never married		8236
Central Coast (C) (NSW)	85+	Married	0	110
Central Coast (C) (NSW)	85+	Married	1	2375
Central Coast (C) (NSW)	85+	Never married		4859
Central Darling (A)	15-19	Married	0	3
Central Darling (A)	15-19	Never married		93
Central Darling (A)	20-24	Married	0	20
Central Darling (A)	20-24	Married	1	4
Central Darling (A)	20-24	Never married		63
Central Darling (A)	25-34	Married	0	45
