LGA_NAME16	Age	Sex	Volunteer	adults
Armidale Regional (A)	75-84	M		84
Armidale Regional (A)	75-84	M	0	437
Armidale Regional (A)	75-84	M	1	178
Armidale Regional (A)	85+	F		66
Armidale Regional (A)	85+	F	0	322
Armidale Regional (A)	85+	F	1	41
Armidale Regional (A)	85+	M		39
Armidale Regional (A)	85+	M	0	142
Armidale Regional (A)	85+	M	1	44
Ballina (A)	15-19	F		107
Ballina (A)	15-19	F	0	775
Ballina (A)	15-19	F	1	255
Ballina (A)	15-19	M		135
Ballina (A)	15-19	M	0	864
Ballina (A)	15-19	M	1	251
Ballina (A)	20-24	F		55
Ballina (A)	20-24	F	0	589
Ballina (A)	20-24	F	1	151
Ballina (A)	20-24	M		65
Ballina (A)	20-24	M	0	604
Ballina (A)	20-24	M	1	118
Ballina (A)	25-34	F		120
Ballina (A)	25-34	F	0	1398
Ballina (A)	25-34	F	1	332
Ballina (A)	25-34	M		126
Ballina (A)	25-34	M	0	1324
Ballina (A)	25-34	M	1	278
Ballina (A)	35-44	F		160
Ballina (A)	35-44	F	0	1613
Ballina (A)	35-44	F	1	682
Ballina (A)	35-44	M		169
Ballina (A)	35-44	M	0	1604
Ballina (A)	35-44	M	1	440
Ballina (A)	45-54	F		206
Ballina (A)	45-54	F	0	1997
Ballina (A)	45-54	F	1	859
Ballina (A)	45-54	M		212
Ballina (A)	45-54	M	0	1846
Ballina (A)	45-54	M	1	640
Ballina (A)	55-64	F		255
Ballina (A)	55-64	F	0	2259
Ballina (A)	55-64	F	1	880
Ballina (A)	55-64	M		257
Ballina (A)	55-64	M	0	2147
Ballina (A)	55-64	M	1	630
Ballina (A)	65-74	F		230
Ballina (A)	65-74	F	0	1692
Ballina (A)	65-74	F	1	877
Ballina (A)	65-74	M		226
Ballina (A)	65-74	M	0	1766
Ballina (A)	65-74	M	1	705
Ballina (A)	75-84	F		273
Ballina (A)	75-84	F	0	1064
Ballina (A)	75-84	F	1	437
Ballina (A)	75-84	M		188
Ballina (A)	75-84	M	0	976
Ballina (A)	75-84	M	1	269
Ballina (A)	85+	F		276
Ballina (A)	85+	F	0	727
Ballina (A)	85+	F	1	99
Ballina (A)	85+	M		154
Ballina (A)	85+	M	0	434
Ballina (A)	85+	M	1	71
Balranald (A)	15-19	F		10
Balranald (A)	15-19	F	0	27
Balranald (A)	15-19	F	1	16
Balranald (A)	15-19	M		19
Balranald (A)	15-19	M	0	38
Balranald (A)	15-19	M	1	22
Balranald (A)	20-24	F		9
Balranald (A)	20-24	F	0	24
Balranald (A)	20-24	F	1	17
Balranald (A)	20-24	M		11
Balranald (A)	20-24	M	0	45
Balranald (A)	20-24	M	1	21
Balranald (A)	25-34	F		17
Balranald (A)	25-34	F	0	73
Balranald (A)	25-34	F	1	40
Balranald (A)	25-34	M		11
Balranald (A)	25-34	M	0	63
Balranald (A)	25-34	M	1	19
Balranald (A)	35-44	F		13
Balranald (A)	35-44	F	0	57
Balranald (A)	35-44	F	1	60
Balranald (A)	35-44	M		19
Balranald (A)	35-44	M	0	75
Balranald (A)	35-44	M	1	47
Balranald (A)	45-54	F		9
Balranald (A)	45-54	F	0	79
Balranald (A)	45-54	F	1	45
Balranald (A)	45-54	M		19
Balranald (A)	45-54	M	0	86
Balranald (A)	45-54	M	1	45
Balranald (A)	55-64	F		25
Balranald (A)	55-64	F	0	103
Balranald (A)	55-64	F	1	60
Balranald (A)	55-64	M		26
Balranald (A)	55-64	M	0	104
Balranald (A)	55-64	M	1	59
Balranald (A)	65-74	F		17
Balranald (A)	65-74	F	0	39
Balranald (A)	65-74	F	1	40
Balranald (A)	65-74	M		20
Balranald (A)	65-74	M	0	63
Balranald (A)	65-74	M	1	28
Balranald (A)	75-84	F		15
Balranald (A)	75-84	F	0	39
Balranald (A)	75-84	F	1	15
Balranald (A)	75-84	M		18
Balranald (A)	75-84	M	0	28
Balranald (A)	75-84	M	1	5
Balranald (A)	85+	F		4
Balranald (A)	85+	F	0	17
Balranald (A)	85+	M	0	11
Balranald (A)	85+	M	1	5
Bathurst Regional (A)	15-19	F		183
Bathurst Regional (A)	15-19	F	0	976
Bathurst Regional (A)	15-19	F	1	302
Bathurst Regional (A)	15-19	M		180
Bathurst Regional (A)	15-19	M	0	1066
Bathurst Regional (A)	15-19	M	1	271
Bathurst Regional (A)	20-24	F		160
Bathurst Regional (A)	20-24	F	0	1048
Bathurst Regional (A)	20-24	F	1	335
Bathurst Regional (A)	20-24	M		314
Bathurst Regional (A)	20-24	M	0	1043
Bathurst Regional (A)	20-24	M	1	249
Bathurst Regional (A)	25-34	F		146
Bathurst Regional (A)	25-34	F	0	1833
Bathurst Regional (A)	25-34	F	1	423
Bathurst Regional (A)	25-34	M		512
Bathurst Regional (A)	25-34	M	0	1878
Bathurst Regional (A)	25-34	M	1	378
Bathurst Regional (A)	35-44	F		138
Bathurst Regional (A)	35-44	F	0	1619
Bathurst Regional (A)	35-44	F	1	673
Bathurst Regional (A)	35-44	M		374
Bathurst Regional (A)	35-44	M	0	1665
Bathurst Regional (A)	35-44	M	1	410
Bathurst Regional (A)	45-54	F		186
Bathurst Regional (A)	45-54	F	0	1825
Bathurst Regional (A)	45-54	F	1	659
Bathurst Regional (A)	45-54	M		296
Bathurst Regional (A)	45-54	M	0	1741
Bathurst Regional (A)	45-54	M	1	539
Bathurst Regional (A)	55-64	F		206
Bathurst Regional (A)	55-64	F	0	1680
Bathurst Regional (A)	55-64	F	1	638
Bathurst Regional (A)	55-64	M		240
Bathurst Regional (A)	55-64	M	0	1732
Bathurst Regional (A)	55-64	M	1	505
Bathurst Regional (A)	65-74	F		200
Bathurst Regional (A)	65-74	F	0	1202
Bathurst Regional (A)	65-74	F	1	546
Bathurst Regional (A)	65-74	M		221
Bathurst Regional (A)	65-74	M	0	1232
Bathurst Regional (A)	65-74	M	1	460
Bathurst Regional (A)	75-84	F		180
Bathurst Regional (A)	75-84	F	0	722
Bathurst Regional (A)	75-84	F	1	236
Bathurst Regional (A)	75-84	M		115
Bathurst Regional (A)	75-84	M	0	605
Bathurst Regional (A)	75-84	M	1	160
Bathurst Regional (A)	85+	F		132
Bathurst Regional (A)	85+	F	0	411
Bathurst Regional (A)	85+	F	1	52
Bathurst Regional (A)	85+	M		60
Bathurst Regional (A)	85+	M	0	201
Bathurst Regional (A)	85+	M	1	39
Bega Valley (A)	15-19	F		122
Bega Valley (A)	15-19	F	0	571
Bega Valley (A)	15-19	F	1	189
Bega Valley (A)	15-19	M		132
Bega Valley (A)	15-19	M	0	604
Bega Valley (A)	15-19	M	1	180
Bega Valley (A)	20-24	F		39
Bega Valley (A)	20-24	F	0	439
Bega Valley (A)	20-24	F	1	89
Bega Valley (A)	20-24	M		63
Bega Valley (A)	20-24	M	0	476
Bega Valley (A)	20-24	M	1	84
Bega Valley (A)	25-34	F		108
Bega Valley (A)	25-34	F	0	904
Bega Valley (A)	25-34	F	1	276
Bega Valley (A)	25-34	M		109
Bega Valley (A)	25-34	M	0	903
Bega Valley (A)	25-34	M	1	179
Bega Valley (A)	35-44	F		118
Bega Valley (A)	35-44	F	0	1007
Bega Valley (A)	35-44	F	1	532
Bega Valley (A)	35-44	M		120
Bega Valley (A)	35-44	M	0	994
Bega Valley (A)	35-44	M	1	345
Bega Valley (A)	45-54	F		198
Bega Valley (A)	45-54	F	0	1494
Bega Valley (A)	45-54	F	1	760
Bega Valley (A)	45-54	M		205
Bega Valley (A)	45-54	M	0	1409
Bega Valley (A)	45-54	M	1	588
Bega Valley (A)	55-64	F		233
Bega Valley (A)	55-64	F	0	2001
Bega Valley (A)	55-64	F	1	936
Bega Valley (A)	55-64	M		250
Bega Valley (A)	55-64	M	0	1980
Bega Valley (A)	55-64	M	1	749
Bega Valley (A)	65-74	F		242
Bega Valley (A)	65-74	F	0	1404
Bega Valley (A)	65-74	F	1	855
Bega Valley (A)	65-74	M		237
Bega Valley (A)	65-74	M	0	1570
Bega Valley (A)	65-74	M	1	754
Bega Valley (A)	75-84	F		202
Bega Valley (A)	75-84	F	0	760
Bega Valley (A)	75-84	F	1	339
Bega Valley (A)	75-84	M		181
Bega Valley (A)	75-84	M	0	790
Bega Valley (A)	75-84	M	1	271
Bega Valley (A)	85+	F		119
Bega Valley (A)	85+	F	0	448
Bega Valley (A)	85+	F	1	52
Bega Valley (A)	85+	M		62
Bega Valley (A)	85+	M	0	270
Bega Valley (A)	85+	M	1	48
Bellingen (A)	15-19	F		44
Bellingen (A)	15-19	F	0	218
Bellingen (A)	15-19	F	1	71
Bellingen (A)	15-19	M		61
Bellingen (A)	15-19	M	0	258
Bellingen (A)	15-19	M	1	70
Bellingen (A)	20-24	F		21
Bellingen (A)	20-24	F	0	140
Bellingen (A)	20-24	F	1	35
Bellingen (A)	20-24	M		17
Bellingen (A)	20-24	M	0	149
Bellingen (A)	20-24	M	1	39
Bellingen (A)	25-34	F		35
Bellingen (A)	25-34	F	0	328
Bellingen (A)	25-34	F	1	126
Bellingen (A)	25-34	M		31
Bellingen (A)	25-34	M	0	346
Bellingen (A)	25-34	M	1	83
Bellingen (A)	35-44	F		46
Bellingen (A)	35-44	F	0	421
Bellingen (A)	35-44	F	1	223
Bellingen (A)	35-44	M		50
Bellingen (A)	35-44	M	0	444
Bellingen (A)	35-44	M	1	137
Bellingen (A)	45-54	F		58
Bellingen (A)	45-54	F	0	597
Bellingen (A)	45-54	F	1	347
Bellingen (A)	45-54	M		80
Bellingen (A)	45-54	M	0	514
Bellingen (A)	45-54	M	1	233
Bellingen (A)	55-64	F		73
Bellingen (A)	55-64	F	0	707
Bellingen (A)	55-64	F	1	378
Bellingen (A)	55-64	M		84
Bellingen (A)	55-64	M	0	712
Bellingen (A)	55-64	M	1	290
Bellingen (A)	65-74	F		79
Bellingen (A)	65-74	F	0	463
Bellingen (A)	65-74	F	1	315
Bellingen (A)	65-74	M		68
Bellingen (A)	65-74	M	0	555
Bellingen (A)	65-74	M	1	242
Bellingen (A)	75-84	F		73
Bellingen (A)	75-84	F	0	265
Bellingen (A)	75-84	F	1	136
Bellingen (A)	75-84	M		48
Bellingen (A)	75-84	M	0	299
Bellingen (A)	75-84	M	1	93
Bellingen (A)	85+	F		34
Bellingen (A)	85+	F	0	174
Bellingen (A)	85+	F	1	27
Bellingen (A)	85+	M		25
Bellingen (A)	85+	M	0	101
Bellingen (A)	85+	M	1	13
Berrigan (A)	15-19	F		39
Berrigan (A)	15-19	F	0	95
Berrigan (A)	15-19	F	1	70
Berrigan (A)	15-19	M		50
Berrigan (A)	15-19	M	0	117
Berrigan (A)	15-19	M	1	57
Berrigan (A)	20-24	F		21
Berrigan (A)	20-24	F	0	97
Berrigan (A)	20-24	F	1	32
Berrigan (A)	20-24	M		24
Berrigan (A)	20-24	M	0	119
Berrigan (A)	20-24	M	1	40
Berrigan (A)	25-34	F		39
Berrigan (A)	25-34	F	0	230
Berrigan (A)	25-34	F	1	111
Berrigan (A)	25-34	M		45
Berrigan (A)	25-34	M	0	240
Berrigan (A)	25-34	M	1	94
Berrigan (A)	35-44	F		42
Berrigan (A)	35-44	F	0	235
Berrigan (A)	35-44	F	1	167
Berrigan (A)	35-44	M		37
Berrigan (A)	35-44	M	0	226
Berrigan (A)	35-44	M	1	136
Berrigan (A)	45-54	F		57
Berrigan (A)	45-54	F	0	264
Berrigan (A)	45-54	F	1	176
Berrigan (A)	45-54	M		44
Berrigan (A)	45-54	M	0	251
Berrigan (A)	45-54	M	1	142
Berrigan (A)	55-64	F		63
Berrigan (A)	55-64	F	0	416
Berrigan (A)	55-64	F	1	188
Berrigan (A)	55-64	M		69
Berrigan (A)	55-64	M	0	407
Berrigan (A)	55-64	M	1	169
Berrigan (A)	65-74	F		71
Berrigan (A)	65-74	F	0	380
Berrigan (A)	65-74	F	1	203
Berrigan (A)	65-74	M		98
Berrigan (A)	65-74	M	0	442
Berrigan (A)	65-74	M	1	165
Berrigan (A)	75-84	F		56
Berrigan (A)	75-84	F	0	192
Berrigan (A)	75-84	F	1	118
Berrigan (A)	75-84	M		58
Berrigan (A)	75-84	M	0	233
Berrigan (A)	75-84	M	1	92
Berrigan (A)	85+	F		43
Berrigan (A)	85+	F	0	122
Berrigan (A)	85+	F	1	21
Berrigan (A)	85+	M		24
Berrigan (A)	85+	M	0	92
Berrigan (A)	85+	M	1	16
Blacktown (C)	15-19	F		795
Blacktown (C)	15-19	F	0	8358
Blacktown (C)	15-19	F	1	2069
Blacktown (C)	15-19	M		946
Blacktown (C)	15-19	M	0	9425
Blacktown (C)	15-19	M	1	1692
Blacktown (C)	20-24	F		627
Blacktown (C)	20-24	F	0	8508
Blacktown (C)	20-24	F	1	1925
Blacktown (C)	20-24	M		878
Blacktown (C)	20-24	M	0	9488
Blacktown (C)	20-24	M	1	1408
Blacktown (C)	25-34	F		1550
Blacktown (C)	25-34	F	0	21856
Blacktown (C)	25-34	F	1	3560
Blacktown (C)	25-34	M		1883
Blacktown (C)	25-34	M	0	20552
Blacktown (C)	25-34	M	1	2843
Blacktown (C)	35-44	F		1390
Blacktown (C)	35-44	F	0	19437
Blacktown (C)	35-44	F	1	4763
Blacktown (C)	35-44	M		1710
Blacktown (C)	35-44	M	0	20167
Blacktown (C)	35-44	M	1	3939
Blacktown (C)	45-54	F		1135
Blacktown (C)	45-54	F	0	16510
Blacktown (C)	45-54	F	1	3562
Blacktown (C)	45-54	M		1441
Blacktown (C)	45-54	M	0	16364
Blacktown (C)	45-54	M	1	3046
Blacktown (C)	55-64	F		1052
Blacktown (C)	55-64	F	0	13932
Blacktown (C)	55-64	F	1	2303
Blacktown (C)	55-64	M		1051
Blacktown (C)	55-64	M	0	13428
Blacktown (C)	55-64	M	1	1937
Blacktown (C)	65-74	F		961
Blacktown (C)	65-74	F	0	8820
Blacktown (C)	65-74	F	1	1370
Blacktown (C)	65-74	M		807
Blacktown (C)	65-74	M	0	8400
Blacktown (C)	65-74	M	1	1182
Blacktown (C)	75-84	F		616
Blacktown (C)	75-84	F	0	4281
Blacktown (C)	75-84	F	1	448
Blacktown (C)	75-84	M		453
Blacktown (C)	75-84	M	0	3501
Blacktown (C)	75-84	M	1	374
Blacktown (C)	85+	F		265
Blacktown (C)	85+	F	0	1976
Blacktown (C)	85+	F	1	62
Blacktown (C)	85+	M		175
Blacktown (C)	85+	M	0	1020
Blacktown (C)	85+	M	1	54
Bland (A)	15-19	F		30
Bland (A)	15-19	F	0	82
Bland (A)	15-19	F	1	55
Bland (A)	15-19	M		30
Bland (A)	15-19	M	0	94
Bland (A)	15-19	M	1	41
Bland (A)	20-24	F		15
Bland (A)	20-24	F	0	81
Bland (A)	20-24	F	1	26
Bland (A)	20-24	M		13
Bland (A)	20-24	M	0	94
Bland (A)	20-24	M	1	40
Bland (A)	25-34	F		33
Bland (A)	25-34	F	0	162
Bland (A)	25-34	F	1	103
Bland (A)	25-34	M		35
Bland (A)	25-34	M	0	195
Bland (A)	25-34	M	1	63
Bland (A)	35-44	F		29
Bland (A)	35-44	F	0	147
Bland (A)	35-44	F	1	159
Bland (A)	35-44	M		35
Bland (A)	35-44	M	0	175
Bland (A)	35-44	M	1	127
Bland (A)	45-54	F		46
Bland (A)	45-54	F	0	180
Bland (A)	45-54	F	1	128
Bland (A)	45-54	M		45
Bland (A)	45-54	M	0	207
Bland (A)	45-54	M	1	108
Bland (A)	55-64	F		46
Bland (A)	55-64	F	0	237
Bland (A)	55-64	F	1	122
Bland (A)	55-64	M		69
Bland (A)	55-64	M	0	266
Bland (A)	55-64	M	1	117
Bland (A)	65-74	F		42
Bland (A)	65-74	F	0	149
Bland (A)	65-74	F	1	104
Bland (A)	65-74	M		46
Bland (A)	65-74	M	0	174
Bland (A)	65-74	M	1	102
Bland (A)	75-84	F		51
Bland (A)	75-84	F	0	118
Bland (A)	75-84	F	1	72
Bland (A)	75-84	M		38
Bland (A)	75-84	M	0	118
Bland (A)	75-84	M	1	47
Bland (A)	85+	F		49
Bland (A)	85+	F	0	66
Bland (A)	85+	F	1	22
Bland (A)	85+	M		25
Bland (A)	85+	M	0	40
Bland (A)	85+	M	1	10
Blayney (A)	15-19	F		33
Blayney (A)	15-19	F	0	151
Blayney (A)	15-19	F	1	41
Blayney (A)	15-19	M		30
Blayney (A)	15-19	M	0	158
Blayney (A)	15-19	M	1	50
Blayney (A)	20-24	F		16
Blayney (A)	20-24	F	0	118
Blayney (A)	20-24	F	1	27
Blayney (A)	20-24	M		17
Blayney (A)	20-24	M	0	120
Blayney (A)	20-24	M	1	17
Blayney (A)	25-34	F		26
Blayney (A)	25-34	F	0	275
Blayney (A)	25-34	F	1	77
Blayney (A)	25-34	M		28
Blayney (A)	25-34	M	0	255
Blayney (A)	25-34	M	1	56
Blayney (A)	35-44	F		44
Blayney (A)	35-44	F	0	264
Blayney (A)	35-44	F	1	168
Blayney (A)	35-44	M		34
Blayney (A)	35-44	M	0	279
Blayney (A)	35-44	M	1	86
Blayney (A)	45-54	F		40
Blayney (A)	45-54	F	0	326
Blayney (A)	45-54	F	1	147
Blayney (A)	45-54	M		55
Blayney (A)	45-54	M	0	329
Blayney (A)	45-54	M	1	144
Blayney (A)	55-64	F		32
Blayney (A)	55-64	F	0	311
Blayney (A)	55-64	F	1	142
Blayney (A)	55-64	M		44
Blayney (A)	55-64	M	0	352
Blayney (A)	55-64	M	1	120
Blayney (A)	65-74	F		38
Blayney (A)	65-74	F	0	220
Blayney (A)	65-74	F	1	114
Blayney (A)	65-74	M		36
Blayney (A)	65-74	M	0	255
Blayney (A)	65-74	M	1	93
Blayney (A)	75-84	F		26
Blayney (A)	75-84	F	0	140
Blayney (A)	75-84	F	1	50
Blayney (A)	75-84	M		30
Blayney (A)	75-84	M	0	141
Blayney (A)	75-84	M	1	35
Blayney (A)	85+	F		10
Blayney (A)	85+	F	0	71
Blayney (A)	85+	F	1	13
Blayney (A)	85+	M		14
Blayney (A)	85+	M	0	44
Blayney (A)	85+	M	1	10
Blue Mountains (C)	15-19	F		143
Blue Mountains (C)	15-19	F	0	1567
Blue Mountains (C)	15-19	F	1	602
Blue Mountains (C)	15-19	M		154
Blue Mountains (C)	15-19	M	0	1778
Blue Mountains (C)	15-19	M	1	523
Blue Mountains (C)	20-24	F		85
Blue Mountains (C)	20-24	F	0	1270
Blue Mountains (C)	20-24	F	1	392
Blue Mountains (C)	20-24	M		90
Blue Mountains (C)	20-24	M	0	1430
Blue Mountains (C)	20-24	M	1	360
Blue Mountains (C)	25-34	F		170
Blue Mountains (C)	25-34	F	0	2663
Blue Mountains (C)	25-34	F	1	760
Blue Mountains (C)	25-34	M		175
Blue Mountains (C)	25-34	M	0	2644
Blue Mountains (C)	25-34	M	1	572
Blue Mountains (C)	35-44	F		208
Blue Mountains (C)	35-44	F	0	3271
Blue Mountains (C)	35-44	F	1	1583
Blue Mountains (C)	35-44	M		263
Blue Mountains (C)	35-44	M	0	3300
Blue Mountains (C)	35-44	M	1	1060
Blue Mountains (C)	45-54	F		268
Blue Mountains (C)	45-54	F	0	3770
Blue Mountains (C)	45-54	F	1	1723
Blue Mountains (C)	45-54	M		275
Blue Mountains (C)	45-54	M	0	3559
Blue Mountains (C)	45-54	M	1	1379
Blue Mountains (C)	55-64	F		300
Blue Mountains (C)	55-64	F	0	4238
Blue Mountains (C)	55-64	F	1	1675
Blue Mountains (C)	55-64	M		290
Blue Mountains (C)	55-64	M	0	3858
Blue Mountains (C)	55-64	M	1	1395
Blue Mountains (C)	65-74	F		345
Blue Mountains (C)	65-74	F	0	3041
Blue Mountains (C)	65-74	F	1	1507
Blue Mountains (C)	65-74	M		284
Blue Mountains (C)	65-74	M	0	2870
Blue Mountains (C)	65-74	M	1	1233
Blue Mountains (C)	75-84	F		226
Blue Mountains (C)	75-84	F	0	1508
Blue Mountains (C)	75-84	F	1	529
Blue Mountains (C)	75-84	M		160
Blue Mountains (C)	75-84	M	0	1246
Blue Mountains (C)	75-84	M	1	445
Blue Mountains (C)	85+	F		118
Blue Mountains (C)	85+	F	0	863
Blue Mountains (C)	85+	F	1	101
Blue Mountains (C)	85+	M		57
Blue Mountains (C)	85+	M	0	437
Blue Mountains (C)	85+	M	1	59
Bogan (A)	15-19	F		13
Bogan (A)	15-19	F	0	57
Bogan (A)	15-19	F	1	19
Bogan (A)	15-19	M		18
Bogan (A)	15-19	M	0	46
Bogan (A)	15-19	M	1	11
Bogan (A)	20-24	F		10
Bogan (A)	20-24	F	0	47
Bogan (A)	20-24	F	1	21
Bogan (A)	20-24	M		12
Bogan (A)	20-24	M	0	56
Bogan (A)	20-24	M	1	12
Bogan (A)	25-34	F		19
Bogan (A)	25-34	F	0	97
Bogan (A)	25-34	F	1	37
Bogan (A)	25-34	M		23
Bogan (A)	25-34	M	0	114
Bogan (A)	25-34	M	1	27
Bogan (A)	35-44	F		21
Bogan (A)	35-44	F	0	90
Bogan (A)	35-44	F	1	43
Bogan (A)	35-44	M		24
Bogan (A)	35-44	M	0	90
Bogan (A)	35-44	M	1	36
Bogan (A)	45-54	F		14
Bogan (A)	45-54	F	0	102
Bogan (A)	45-54	F	1	61
Bogan (A)	45-54	M		26
Bogan (A)	45-54	M	0	125
Bogan (A)	45-54	M	1	57
Bogan (A)	55-64	F		21
Bogan (A)	55-64	F	0	73
Bogan (A)	55-64	F	1	35
Bogan (A)	55-64	M		15
Bogan (A)	55-64	M	0	98
Bogan (A)	55-64	M	1	25
Bogan (A)	65-74	F		20
Bogan (A)	65-74	F	0	81
Bogan (A)	65-74	F	1	46
Bogan (A)	65-74	M		15
Bogan (A)	65-74	M	0	86
Bogan (A)	65-74	M	1	31
Bogan (A)	75-84	F		15
Bogan (A)	75-84	F	0	52
Bogan (A)	75-84	F	1	26
Bogan (A)	75-84	M		15
Bogan (A)	75-84	M	0	58
Bogan (A)	75-84	M	1	13
Bogan (A)	85+	F		8
Bogan (A)	85+	F	0	27
Bogan (A)	85+	F	1	4
Bogan (A)	85+	M		4
Bogan (A)	85+	M	0	16
Bogan (A)	85+	M	1	3
Botany Bay (C)	15-19	F		97
Botany Bay (C)	15-19	F	0	961
Botany Bay (C)	15-19	F	1	205
Botany Bay (C)	15-19	M		107
Botany Bay (C)	15-19	M	0	1068
Botany Bay (C)	15-19	M	1	207
Botany Bay (C)	20-24	F		138
Botany Bay (C)	20-24	F	0	1432
Botany Bay (C)	20-24	F	1	310
Botany Bay (C)	20-24	M		164
Botany Bay (C)	20-24	M	0	1512
Botany Bay (C)	20-24	M	1	238
Botany Bay (C)	25-34	F		355
Botany Bay (C)	25-34	F	0	3476
Botany Bay (C)	25-34	F	1	496
Botany Bay (C)	25-34	M		389
Botany Bay (C)	25-34	M	0	3613
Botany Bay (C)	25-34	M	1	440
Botany Bay (C)	35-44	F		241
Botany Bay (C)	35-44	F	0	2763
Botany Bay (C)	35-44	F	1	604
Botany Bay (C)	35-44	M		260
Botany Bay (C)	35-44	M	0	2838
Botany Bay (C)	35-44	M	1	443
Botany Bay (C)	45-54	F		166
Botany Bay (C)	45-54	F	0	2232
Botany Bay (C)	45-54	F	1	492
Botany Bay (C)	45-54	M		227
Botany Bay (C)	45-54	M	0	2302
Botany Bay (C)	45-54	M	1	427
Botany Bay (C)	55-64	F		178
Botany Bay (C)	55-64	F	0	1786
Botany Bay (C)	55-64	F	1	287
Botany Bay (C)	55-64	M		180
Botany Bay (C)	55-64	M	0	1796
Botany Bay (C)	55-64	M	1	216
Botany Bay (C)	65-74	F		154
Botany Bay (C)	65-74	F	0	1436
Botany Bay (C)	65-74	F	1	177
Botany Bay (C)	65-74	M		139
Botany Bay (C)	65-74	M	0	1246
Botany Bay (C)	65-74	M	1	112
Botany Bay (C)	75-84	F		134
Botany Bay (C)	75-84	F	0	884
Botany Bay (C)	75-84	F	1	79
Botany Bay (C)	75-84	M		136
Botany Bay (C)	75-84	M	0	745
Botany Bay (C)	75-84	M	1	70
Botany Bay (C)	85+	F		108
Botany Bay (C)	85+	F	0	379
Botany Bay (C)	85+	F	1	14
Botany Bay (C)	85+	M		57
Botany Bay (C)	85+	M	0	195
Botany Bay (C)	85+	M	1	13
Bourke (A)	15-19	F		17
