LGA_NAME16	Age	persons
Bland (A)	85+	211
Blayney (A)	0-4	451
Blayney (A)	5-14	1058
Blayney (A)	15-19	457
Blayney (A)	20-24	324
Blayney (A)	25-34	707
Blayney (A)	35-44	861
Blayney (A)	45-54	1029
Blayney (A)	55-64	1014
Blayney (A)	65-74	759
Blayney (A)	75-84	426
Blayney (A)	85+	165
Blue Mountains (C)	0-4	4232
Blue Mountains (C)	5-14	9837
Blue Mountains (C)	15-19	4769
Blue Mountains (C)	20-24	3631
Blue Mountains (C)	25-34	6985
Blue Mountains (C)	35-44	9687
Blue Mountains (C)	45-54	10982
Blue Mountains (C)	55-64	11758
Blue Mountains (C)	65-74	9280
Blue Mountains (C)	75-84	4107
Blue Mountains (C)	85+	1630
Bogan (A)	0-4	207
Bogan (A)	5-14	344
Bogan (A)	15-19	167
Bogan (A)	20-24	155
Bogan (A)	25-34	317
Bogan (A)	35-44	296
Bogan (A)	45-54	394
Bogan (A)	55-64	280
Bogan (A)	65-74	284
Bogan (A)	75-84	187
Bogan (A)	85+	65
Botany Bay (C)	0-4	2895
Botany Bay (C)	5-14	5024
Botany Bay (C)	15-19	2651
Botany Bay (C)	20-24	3793
Botany Bay (C)	25-34	8770
Botany Bay (C)	35-44	7156
Botany Bay (C)	45-54	5846
Botany Bay (C)	55-64	4430
Botany Bay (C)	65-74	3269
Botany Bay (C)	75-84	2052
Botany Bay (C)	85+	765
Bourke (A)	0-4	222
Bourke (A)	5-14	395
Bourke (A)	15-19	121
Bourke (A)	20-24	159
Bourke (A)	25-34	369
Bourke (A)	35-44	294
Bourke (A)	45-54	401
Bourke (A)	55-64	309
Bourke (A)	65-74	209
Bourke (A)	75-84	110
Bourke (A)	85+	40
Brewarrina (A)	0-4	124
Brewarrina (A)	5-14	255
Brewarrina (A)	15-19	95
Brewarrina (A)	20-24	123
Brewarrina (A)	25-34	231
Brewarrina (A)	35-44	155
Brewarrina (A)	45-54	270
Brewarrina (A)	55-64	216
Brewarrina (A)	65-74	110
Brewarrina (A)	75-84	45
Brewarrina (A)	85+	21
Broken Hill (C)	0-4	974
Broken Hill (C)	5-14	1972
Broken Hill (C)	15-19	949
Broken Hill (C)	20-24	962
Broken Hill (C)	25-34	2114
Broken Hill (C)	35-44	1861
Broken Hill (C)	45-54	2356
Broken Hill (C)	55-64	2663
Broken Hill (C)	65-74	2049
Broken Hill (C)	75-84	1219
Broken Hill (C)	85+	593
Burwood (A)	0-4	1670
Burwood (A)	5-14	3129
Burwood (A)	15-19	2156
Burwood (A)	20-24	4403
Burwood (A)	25-34	7860
Burwood (A)	35-44	4385
Burwood (A)	45-54	4337
Burwood (A)	55-64	3615
Burwood (A)	65-74	2484
Burwood (A)	75-84	1798
Burwood (A)	85+	976
Byron (A)	0-4	1553
Byron (A)	5-14	3739
Byron (A)	15-19	1607
Byron (A)	20-24	1194
Byron (A)	25-34	3390
Byron (A)	35-44	4381
Byron (A)	45-54	4879
Byron (A)	55-64	5482
Byron (A)	65-74	3371
Byron (A)	75-84	1270
Byron (A)	85+	687
Cabonne (A)	0-4	831
Cabonne (A)	5-14	2054
Cabonne (A)	15-19	907
Cabonne (A)	20-24	513
Cabonne (A)	25-34	1193
Cabonne (A)	35-44	1555
Cabonne (A)	45-54	1887
Cabonne (A)	55-64	1782
Cabonne (A)	65-74	1559
Cabonne (A)	75-84	792
Cabonne (A)	85+	306
Camden (A)	0-4	6552
Camden (A)	5-14	12151
Camden (A)	15-19	5357
Camden (A)	20-24	4846
Camden (A)	25-34	11903
Camden (A)	35-44	11954
Camden (A)	45-54	9839
Camden (A)	55-64	7377
Camden (A)	65-74	4977
Camden (A)	75-84	2292
Camden (A)	85+	980
Campbelltown (C) (NSW)	0-4	11605
Campbelltown (C) (NSW)	5-14	22257
Campbelltown (C) (NSW)	15-19	10656
Campbelltown (C) (NSW)	20-24	11451
Campbelltown (C) (NSW)	25-34	23307
Campbelltown (C) (NSW)	35-44	21097
Campbelltown (C) (NSW)	45-54	19566
Campbelltown (C) (NSW)	55-64	18553
Campbelltown (C) (NSW)	65-74	12079
Campbelltown (C) (NSW)	75-84	4780
Campbelltown (C) (NSW)	85+	1666
Canada Bay (A)	0-4	5463
Canada Bay (A)	5-14	8822
Canada Bay (A)	15-19	4009
Canada Bay (A)	20-24	6281
Canada Bay (A)	25-34	16685
Canada Bay (A)	35-44	13340
Canada Bay (A)	45-54	11236
Canada Bay (A)	55-64	9267
Canada Bay (A)	65-74	6867
Canada Bay (A)	75-84	4023
Canada Bay (A)	85+	2020
Canterbury-Bankstown (A)	0-4	24976
Canterbury-Bankstown (A)	5-14	46061
Canterbury-Bankstown (A)	15-19	21865
Canterbury-Bankstown (A)	20-24	24494
Canterbury-Bankstown (A)	25-34	53063
Canterbury-Bankstown (A)	35-44	46854
Canterbury-Bankstown (A)	45-54	43804
Canterbury-Bankstown (A)	55-64	36941
Canterbury-Bankstown (A)	65-74	24897
Canterbury-Bankstown (A)	75-84	15862
Canterbury-Bankstown (A)	85+	7487
Carrathool (A)	0-4	186
Carrathool (A)	5-14	351
Carrathool (A)	15-19	156
Carrathool (A)	20-24	155
Carrathool (A)	25-34	362
Carrathool (A)	35-44	328
Carrathool (A)	45-54	397
Carrathool (A)	55-64	382
Carrathool (A)	65-74	204
Carrathool (A)	75-84	135
Carrathool (A)	85+	60
Central Coast (C) (NSW)	0-4	19181
Central Coast (C) (NSW)	5-14	41245
Central Coast (C) (NSW)	15-19	19930
Central Coast (C) (NSW)	20-24	18174
Central Coast (C) (NSW)	25-34	35278
Central Coast (C) (NSW)	35-44	39376
Central Coast (C) (NSW)	45-54	43630
Central Coast (C) (NSW)	55-64	42364
Central Coast (C) (NSW)	65-74	36591
Central Coast (C) (NSW)	75-84	21691
Central Coast (C) (NSW)	85+	10278
Central Darling (A)	0-4	136
Central Darling (A)	5-14	211
Central Darling (A)	15-19	123
Central Darling (A)	20-24	108
Central Darling (A)	25-34	249
Central Darling (A)	35-44	201
Central Darling (A)	45-54	249
Central Darling (A)	55-64	268
Central Darling (A)	65-74	197
Central Darling (A)	75-84	73
Central Darling (A)	85+	23
Cessnock (C)	0-4	3792
Cessnock (C)	5-14	7587
Cessnock (C)	15-19	3454
Cessnock (C)	20-24	3443
Cessnock (C)	25-34	7149
Cessnock (C)	35-44	6867
Cessnock (C)	45-54	6988
Cessnock (C)	55-64	7177
Cessnock (C)	65-74	5519
Cessnock (C)	75-84	2538
Cessnock (C)	85+	1052
Clarence Valley (A)	0-4	2470
Clarence Valley (A)	5-14	5837
Clarence Valley (A)	15-19	2961
Clarence Valley (A)	20-24	2047
Clarence Valley (A)	25-34	4148
Clarence Valley (A)	35-44	5145
Clarence Valley (A)	45-54	6710
Clarence Valley (A)	55-64	8345
Clarence Valley (A)	65-74	7399
Clarence Valley (A)	75-84	3989
Clarence Valley (A)	85+	1618
Cobar (A)	0-4	369
Cobar (A)	5-14	662
Cobar (A)	15-19	252
Cobar (A)	20-24	257
Cobar (A)	25-34	708
Cobar (A)	35-44	588
Cobar (A)	45-54	586
Cobar (A)	55-64	591
Cobar (A)	65-74	350
Cobar (A)	75-84	212
Cobar (A)	85+	78
Coffs Harbour (C)	0-4	4055
Coffs Harbour (C)	5-14	9301
Coffs Harbour (C)	15-19	4331
Coffs Harbour (C)	20-24	3688
Coffs Harbour (C)	25-34	7649
Coffs Harbour (C)	35-44	8219
Coffs Harbour (C)	45-54	9633
Coffs Harbour (C)	55-64	10689
Coffs Harbour (C)	65-74	8512
Coffs Harbour (C)	75-84	4793
Coffs Harbour (C)	85+	2070
Coolamon (A)	0-4	242
Coolamon (A)	5-14	641
Coolamon (A)	15-19	259
Coolamon (A)	20-24	200
Coolamon (A)	25-34	354
Coolamon (A)	35-44	457
Coolamon (A)	45-54	594
Coolamon (A)	55-64	554
Coolamon (A)	65-74	550
Coolamon (A)	75-84	344
Coolamon (A)	85+	120
Coonamble (A)	0-4	270
Coonamble (A)	5-14	524
Coonamble (A)	15-19	201
Coonamble (A)	20-24	215
Coonamble (A)	25-34	440
Coonamble (A)	35-44	378
Coonamble (A)	45-54	568
Coonamble (A)	55-64	546
Coonamble (A)	65-74	439
Coonamble (A)	75-84	239
Coonamble (A)	85+	105
Cowra (A)	0-4	661
Cowra (A)	5-14	1505
Cowra (A)	15-19	739
Cowra (A)	20-24	655
Cowra (A)	25-34	1071
Cowra (A)	35-44	1261
Cowra (A)	45-54	1663
Cowra (A)	55-64	1812
Cowra (A)	65-74	1673
Cowra (A)	75-84	996
Cowra (A)	85+	433
Cumberland (A)	0-4	16880
Cumberland (A)	5-14	27486
Cumberland (A)	15-19	12528
Cumberland (A)	20-24	17158
Cumberland (A)	25-34	42160
Cumberland (A)	35-44	30455
Cumberland (A)	45-54	24715
Cumberland (A)	55-64	20582
Cumberland (A)	65-74	13403
Cumberland (A)	75-84	7431
Cumberland (A)	85+	3282
Dungog (A)	0-4	483
Dungog (A)	5-14	1178
Dungog (A)	15-19	557
Dungog (A)	20-24	373
Dungog (A)	25-34	815
Dungog (A)	35-44	1000
Dungog (A)	45-54	1320
Dungog (A)	55-64	1447
Dungog (A)	65-74	1058
Dungog (A)	75-84	559
Dungog (A)	85+	179
Edward River (A)	0-4	494
Edward River (A)	5-14	1086
Edward River (A)	15-19	507
Edward River (A)	20-24	477
Edward River (A)	25-34	865
Edward River (A)	35-44	977
Edward River (A)	45-54	1119
Edward River (A)	55-64	1362
Edward River (A)	65-74	1010
Edward River (A)	75-84	671
Edward River (A)	85+	295
Eurobodalla (A)	0-4	1474
Eurobodalla (A)	5-14	3838
Eurobodalla (A)	15-19	1799
Eurobodalla (A)	20-24	1278
Eurobodalla (A)	25-34	2615
Eurobodalla (A)	35-44	3405
Eurobodalla (A)	45-54	4667
Eurobodalla (A)	55-64	6778
Eurobodalla (A)	65-74	6609
Eurobodalla (A)	75-84	3382
Eurobodalla (A)	85+	1388
Fairfield (C)	0-4	12090
Fairfield (C)	5-14	25843
Fairfield (C)	15-19	14169
Fairfield (C)	20-24	15335
Fairfield (C)	25-34	27090
Fairfield (C)	35-44	24772
Fairfield (C)	45-54	27133
Fairfield (C)	55-64	24942
Fairfield (C)	65-74	15253
Fairfield (C)	75-84	8601
Fairfield (C)	85+	3585
Federation (A)	0-4	632
Federation (A)	5-14	1462
Federation (A)	15-19	672
Federation (A)	20-24	518
Federation (A)	25-34	985
Federation (A)	35-44	1198
Federation (A)	45-54	1542
Federation (A)	55-64	1883
Federation (A)	65-74	1875
Federation (A)	75-84	1093
Federation (A)	85+	411
Forbes (A)	0-4	628
Forbes (A)	5-14	1319
Forbes (A)	15-19	631
Forbes (A)	20-24	481
Forbes (A)	25-34	1001
Forbes (A)	35-44	984
Forbes (A)	45-54	1236
Forbes (A)	55-64	1221
Forbes (A)	65-74	1122
Forbes (A)	75-84	710
Forbes (A)	85+	254
Georges River (A)	0-4	8556
Georges River (A)	5-14	16060
Georges River (A)	15-19	8900
Georges River (A)	20-24	11199
Georges River (A)	25-34	24425
Georges River (A)	35-44	19243
Georges River (A)	45-54	19255
Georges River (A)	55-64	16677
Georges River (A)	65-74	11582
Georges River (A)	75-84	7179
Georges River (A)	85+	3763
Gilgandra (A)	0-4	250
Gilgandra (A)	5-14	541
Gilgandra (A)	15-19	233
Gilgandra (A)	20-24	216
Gilgandra (A)	25-34	410
Gilgandra (A)	35-44	428
Gilgandra (A)	45-54	552
Gilgandra (A)	55-64	607
Gilgandra (A)	65-74	511
Gilgandra (A)	75-84	354
Gilgandra (A)	85+	134
Glen Innes Severn (A)	0-4	455
Glen Innes Severn (A)	5-14	1059
Glen Innes Severn (A)	15-19	472
Glen Innes Severn (A)	20-24	386
Glen Innes Severn (A)	25-34	809
Glen Innes Severn (A)	35-44	929
Glen Innes Severn (A)	45-54	1072
Glen Innes Severn (A)	55-64	1368
Glen Innes Severn (A)	65-74	1297
Glen Innes Severn (A)	75-84	706
Glen Innes Severn (A)	85+	279
Goulburn Mulwaree (A)	0-4	1742
Goulburn Mulwaree (A)	5-14	3632
Goulburn Mulwaree (A)	15-19	1741
Goulburn Mulwaree (A)	20-24	1669
Goulburn Mulwaree (A)	25-34	3567
Goulburn Mulwaree (A)	35-44	3518
Goulburn Mulwaree (A)	45-54	4040
Goulburn Mulwaree (A)	55-64	3954
Goulburn Mulwaree (A)	65-74	3250
Goulburn Mulwaree (A)	75-84	1760
Goulburn Mulwaree (A)	85+	738
Greater Hume Shire (A)	0-4	627
Greater Hume Shire (A)	5-14	1610
Greater Hume Shire (A)	15-19	677
Greater Hume Shire (A)	20-24	399
Greater Hume Shire (A)	25-34	887
Greater Hume Shire (A)	35-44	1084
Greater Hume Shire (A)	45-54	1429
Greater Hume Shire (A)	55-64	1573
Greater Hume Shire (A)	65-74	1241
Greater Hume Shire (A)	75-84	558
Greater Hume Shire (A)	85+	259
Griffith (C)	0-4	1793
Griffith (C)	5-14	3573
Griffith (C)	15-19	1624
Griffith (C)	20-24	1537
Griffith (C)	25-34	3518
Griffith (C)	35-44	3097
Griffith (C)	45-54	3323
Griffith (C)	55-64	3035
Griffith (C)	65-74	2050
Griffith (C)	75-84	1418
Griffith (C)	85+	669
Gundagai (A)	0-4	583
Gundagai (A)	5-14	1436
Gundagai (A)	15-19	607
Gundagai (A)	20-24	482
Gundagai (A)	25-34	972
Gundagai (A)	35-44	1174
Gundagai (A)	45-54	1377
Gundagai (A)	55-64	1636
Gundagai (A)	65-74	1514
Gundagai (A)	75-84	969
Gundagai (A)	85+	391
Gunnedah (A)	0-4	918
Gunnedah (A)	5-14	1609
Gunnedah (A)	15-19	702
Gunnedah (A)	20-24	664
Gunnedah (A)	25-34	1520
Gunnedah (A)	35-44	1376
Gunnedah (A)	45-54	1532
Gunnedah (A)	55-64	1573
Gunnedah (A)	65-74	1192
Gunnedah (A)	75-84	801
Gunnedah (A)	85+	318
Gwydir (A)	0-4	330
Gwydir (A)	5-14	642
Gwydir (A)	15-19	248
Gwydir (A)	20-24	229
Gwydir (A)	25-34	440
Gwydir (A)	35-44	520
Gwydir (A)	45-54	737
Gwydir (A)	55-64	739
Gwydir (A)	65-74	773
Gwydir (A)	75-84	441
Gwydir (A)	85+	155
Hawkesbury (C)	0-4	4101
Hawkesbury (C)	5-14	8769
Hawkesbury (C)	15-19	4580
Hawkesbury (C)	20-24	4387
Hawkesbury (C)	25-34	8030
Hawkesbury (C)	35-44	8115
Hawkesbury (C)	45-54	9554
Hawkesbury (C)	55-64	7833
Hawkesbury (C)	65-74	5571
Hawkesbury (C)	75-84	2640
Hawkesbury (C)	85+	1010
Hay (A)	0-4	143
Hay (A)	5-14	378
Hay (A)	15-19	173
Hay (A)	20-24	150
Hay (A)	25-34	297
Hay (A)	35-44	277
Hay (A)	45-54	461
Hay (A)	55-64	424
Hay (A)	65-74	358
Hay (A)	75-84	233
Hay (A)	85+	60
Hilltops (A)	0-4	1102
Hilltops (A)	5-14	2511
Hilltops (A)	15-19	1148
Hilltops (A)	20-24	899
Hilltops (A)	25-34	1683
Hilltops (A)	35-44	2018
Hilltops (A)	45-54	2439
Hilltops (A)	55-64	2535
Hilltops (A)	65-74	2396
Hilltops (A)	75-84	1254
Hilltops (A)	85+	516
Hornsby (A)	0-4	8284
Hornsby (A)	5-14	19590
Hornsby (A)	15-19	9677
Hornsby (A)	20-24	8372
Hornsby (A)	25-34	14697
Hornsby (A)	35-44	20695
Hornsby (A)	45-54	21080
Hornsby (A)	55-64	17202
Hornsby (A)	65-74	12158
Hornsby (A)	75-84	7073
Hornsby (A)	85+	3841
Hunters Hill (A)	0-4	718
Hunters Hill (A)	5-14	1937
Hunters Hill (A)	15-19	1162
Hunters Hill (A)	20-24	686
Hunters Hill (A)	25-34	1134
Hunters Hill (A)	35-44	1699
Hunters Hill (A)	45-54	2004
Hunters Hill (A)	55-64	1640
Hunters Hill (A)	65-74	1425
Hunters Hill (A)	75-84	856
Hunters Hill (A)	85+	746
Inner West (A)	0-4	10743
Inner West (A)	5-14	17165
Inner West (A)	15-19	6783
Inner West (A)	20-24	12739
Inner West (A)	25-34	36902
Inner West (A)	35-44	31754
Inner West (A)	45-54	25239
Inner West (A)	55-64	18512
Inner West (A)	65-74	12191
Inner West (A)	75-84	6838
Inner West (A)	85+	3170
Inverell (A)	0-4	1082
Inverell (A)	5-14	2242
Inverell (A)	15-19	1042
Inverell (A)	20-24	898
Inverell (A)	25-34	1710
Inverell (A)	35-44	1754
Inverell (A)	45-54	2064
Inverell (A)	55-64	2192
Inverell (A)	65-74	1921
Inverell (A)	75-84	1165
Inverell (A)	85+	408
Junee (A)	0-4	340
Junee (A)	5-14	780
Junee (A)	15-19	332
Junee (A)	20-24	400
Junee (A)	25-34	870
Junee (A)	35-44	851
Junee (A)	45-54	840
Junee (A)	55-64	862
Junee (A)	65-74	624
Junee (A)	75-84	279
Junee (A)	85+	115
Kempsey (A)	0-4	1538
Kempsey (A)	5-14	3429
Kempsey (A)	15-19	1653
Kempsey (A)	20-24	1336
Kempsey (A)	25-34	2675
Kempsey (A)	35-44	2892
Kempsey (A)	45-54	3719
Kempsey (A)	55-64	4723
Kempsey (A)	65-74	4042
Kempsey (A)	75-84	1997
Kempsey (A)	85+	867
Kiama (A)	0-4	1109
Kiama (A)	5-14	2502
Kiama (A)	15-19	1254
Kiama (A)	20-24	1058
Kiama (A)	25-34	1853
Kiama (A)	35-44	2350
Kiama (A)	45-54	2828
Kiama (A)	55-64	3466
Kiama (A)	65-74	2846
Kiama (A)	75-84	1498
Kiama (A)	85+	704
Ku-ring-gai (A)	0-4	6027
Ku-ring-gai (A)	5-14	17836
Ku-ring-gai (A)	15-19	9293
Ku-ring-gai (A)	20-24	6638
Ku-ring-gai (A)	25-34	9662
Ku-ring-gai (A)	35-44	15085
Ku-ring-gai (A)	45-54	18515
Ku-ring-gai (A)	55-64	13543
Ku-ring-gai (A)	65-74	10518
Ku-ring-gai (A)	75-84	6907
Ku-ring-gai (A)	85+	4036
Kyogle (A)	0-4	388
Kyogle (A)	5-14	1071
Kyogle (A)	15-19	502
Kyogle (A)	20-24	329
Kyogle (A)	25-34	633
Kyogle (A)	35-44	855
Kyogle (A)	45-54	1358
Kyogle (A)	55-64	1747
Kyogle (A)	65-74	1217
Kyogle (A)	75-84	594
Kyogle (A)	85+	239
Lachlan (A)	0-4	497
Lachlan (A)	5-14	859
Lachlan (A)	15-19	322
Lachlan (A)	20-24	346
Lachlan (A)	25-34	738
Lachlan (A)	35-44	654
Lachlan (A)	45-54	708
Lachlan (A)	55-64	814
Lachlan (A)	65-74	651
Lachlan (A)	75-84	447
Lachlan (A)	85+	172
Lake Macquarie (C)	0-4	11845
Lake Macquarie (C)	5-14	24267
Lake Macquarie (C)	15-19	12210
Lake Macquarie (C)	20-24	10893
Lake Macquarie (C)	25-34	21737
Lake Macquarie (C)	35-44	23628
Lake Macquarie (C)	45-54	26085
Lake Macquarie (C)	55-64	26105
Lake Macquarie (C)	65-74	22286
Lake Macquarie (C)	75-84	12635
Lake Macquarie (C)	85+	5681
Lane Cove (A)	0-4	2425
Lane Cove (A)	5-14	4247
Lane Cove (A)	15-19	1925
Lane Cove (A)	20-24	2015
Lane Cove (A)	25-34	6278
Lane Cove (A)	35-44	5876
Lane Cove (A)	45-54	4673
Lane Cove (A)	55-64	3682
Lane Cove (A)	65-74	2708
Lane Cove (A)	75-84	1453
Lane Cove (A)	85+	777
Leeton (A)	0-4	702
Leeton (A)	5-14	1595
Leeton (A)	15-19	953
Leeton (A)	20-24	584
Leeton (A)	25-34	1197
Leeton (A)	35-44	1224
Leeton (A)	45-54	1481
Leeton (A)	55-64	1409
Leeton (A)	65-74	1074
Leeton (A)	75-84	708
Leeton (A)	85+	239
Lismore (C)	0-4	2256
Lismore (C)	5-14	5453
Lismore (C)	15-19	2785
Lismore (C)	20-24	2444
Lismore (C)	25-34	4395
Lismore (C)	35-44	5124
Lismore (C)	45-54	6124
Lismore (C)	55-64	6691
Lismore (C)	65-74	4429
Lismore (C)	75-84	2270
Lismore (C)	85+	1148
Lithgow (C)	0-4	1178
Lithgow (C)	5-14	2413
Lithgow (C)	15-19	1193
Lithgow (C)	20-24	1100
Lithgow (C)	25-34	2256
Lithgow (C)	35-44	2345
Lithgow (C)	45-54	2865
Lithgow (C)	55-64	3091
Lithgow (C)	65-74	2751
Lithgow (C)	75-84	1382
Lithgow (C)	85+	516
Liverpool (C)	0-4	15611
Liverpool (C)	5-14	30691
Liverpool (C)	15-19	14886
Liverpool (C)	20-24	14554
Liverpool (C)	25-34	29760
Liverpool (C)	35-44	29691
Liverpool (C)	45-54	27132
Liverpool (C)	55-64	20680
Liverpool (C)	65-74	12609
Liverpool (C)	75-84	6433
Liverpool (C)	85+	2283
Liverpool Plains (A)	0-4	456
Liverpool Plains (A)	5-14	986
Liverpool Plains (A)	15-19	424
Liverpool Plains (A)	20-24	335
Liverpool Plains (A)	25-34	773
Liverpool Plains (A)	35-44	820
Liverpool Plains (A)	45-54	1005
Liverpool Plains (A)	55-64	1188
Liverpool Plains (A)	65-74	976
Liverpool Plains (A)	75-84	543
Liverpool Plains (A)	85+	191
Lockhart (A)	0-4	198
Lockhart (A)	5-14	440
Lockhart (A)	15-19	189
Lockhart (A)	20-24	115
Lockhart (A)	25-34	253
Lockhart (A)	35-44	304
Lockhart (A)	45-54	429
Lockhart (A)	55-64	484
Lockhart (A)	65-74	372
Lockhart (A)	75-84	231
Lockhart (A)	85+	101
Maitland (C)	0-4	5761
Maitland (C)	5-14	11142
Maitland (C)	15-19	4943
Maitland (C)	20-24	4808
Maitland (C)	25-34	10574
Maitland (C)	35-44	10183
Maitland (C)	45-54	9977
Maitland (C)	55-64	8843
Maitland (C)	65-74	6554
Maitland (C)	75-84	3253
Maitland (C)	85+	1280
Mid-Coast (A)	0-4	4118
Mid-Coast (A)	5-14	9820
Mid-Coast (A)	15-19	4782
Mid-Coast (A)	20-24	3453
Mid-Coast (A)	25-34	6705
Mid-Coast (A)	35-44	8264
Mid-Coast (A)	45-54	11361
Mid-Coast (A)	55-64	14612
Mid-Coast (A)	65-74	15411
Mid-Coast (A)	75-84	8365
Mid-Coast (A)	85+	3421
Mid-Western Regional (A)	0-4	1686
Mid-Western Regional (A)	5-14	3218
Mid-Western Regional (A)	15-19	1325
Mid-Western Regional (A)	20-24	1105
Mid-Western Regional (A)	25-34	2677
Mid-Western Regional (A)	35-44	2756
Mid-Western Regional (A)	45-54	3410
Mid-Western Regional (A)	55-64	3164
Mid-Western Regional (A)	65-74	2823
Mid-Western Regional (A)	75-84	1425
Mid-Western Regional (A)	85+	487
Moree Plains (A)	0-4	1036
Moree Plains (A)	5-14	1846
Moree Plains (A)	15-19	755
Moree Plains (A)	20-24	769
Moree Plains (A)	25-34	1640
Moree Plains (A)	35-44	1642
Moree Plains (A)	45-54	1823
Moree Plains (A)	55-64	1606
Moree Plains (A)	65-74	1224
Moree Plains (A)	75-84	631
Moree Plains (A)	85+	176
Mosman (A)	0-4	1493
Mosman (A)	5-14	3521
Mosman (A)	15-19	1575
Mosman (A)	20-24	1280
Mosman (A)	25-34	3407
Mosman (A)	35-44	4088
Mosman (A)	45-54	4273
Mosman (A)	55-64	3390
Mosman (A)	65-74	3000
Mosman (A)	75-84	1542
Mosman (A)	85+	910
Murray River (A)	0-4	638
Murray River (A)	5-14	1356
Murray River (A)	15-19	600
Murray River (A)	20-24	434
Murray River (A)	25-34	1089
Murray River (A)	35-44	1112
Murray River (A)	45-54	1496
Murray River (A)	55-64	1822
Murray River (A)	65-74	1784
Murray River (A)	75-84	994
Murray River (A)	85+	341
Murrumbidgee (A)	0-4	218
Murrumbidgee (A)	5-14	569
Murrumbidgee (A)	15-19	251
Murrumbidgee (A)	20-24	174
Murrumbidgee (A)	25-34	436
Murrumbidgee (A)	35-44	448
Murrumbidgee (A)	45-54	542
Murrumbidgee (A)	55-64	535
Murrumbidgee (A)	65-74	373
Murrumbidgee (A)	75-84	220
Murrumbidgee (A)	85+	70
Muswellbrook (A)	0-4	1242
Muswellbrook (A)	5-14	2383
Muswellbrook (A)	15-19	988
Muswellbrook (A)	20-24	975
Muswellbrook (A)	25-34	2272
Muswellbrook (A)	35-44	2077
Muswellbrook (A)	45-54	2267
Muswellbrook (A)	55-64	1801
Muswellbrook (A)	65-74	1265
Muswellbrook (A)	75-84	617
