LGA_NAME16	FamilyComposition	families_with_children
Byron (A)	Intact family with no other children present	2532
Byron (A)	Intact family with other children present	24
Byron (A)	Other couple family with other children only	22
Byron (A)	Step family with no other children present	185
Cabonne (A)	Blended family with no other children present	83
Cabonne (A)	Intact family with no other children present	1385
Cabonne (A)	Intact family with other children present	11
Cabonne (A)	Other couple family with other children only	14
Cabonne (A)	Step family with no other children present	97
Camden (A)	Blended family with no other children present	551
Camden (A)	Blended family with other children present	16
Camden (A)	Intact family with no other children present	10231
Camden (A)	Intact family with other children present	117
Camden (A)	Other couple family with other children only	51
Camden (A)	Step family with no other children present	773
Camden (A)	Step family with other children present	17
Campbelltown (C) (NSW)	Blended family with no other children present	909
Campbelltown (C) (NSW)	Blended family with other children present	25
Campbelltown (C) (NSW)	Intact family with no other children present	17600
Campbelltown (C) (NSW)	Intact family with other children present	424
Campbelltown (C) (NSW)	Other couple family with other children only	137
Campbelltown (C) (NSW)	Step family with no other children present	1252
Campbelltown (C) (NSW)	Step family with other children present	48
Canada Bay (A)	Blended family with no other children present	141
Canada Bay (A)	Intact family with no other children present	10062
Canada Bay (A)	Intact family with other children present	58
Canada Bay (A)	Other couple family with other children only	30
Canada Bay (A)	Step family with no other children present	443
Canada Bay (A)	Step family with other children present	4
Canterbury-Bankstown (A)	Blended family with no other children present	1086
Canterbury-Bankstown (A)	Blended family with other children present	24
Canterbury-Bankstown (A)	Intact family with no other children present	42382
Canterbury-Bankstown (A)	Intact family with other children present	777
Canterbury-Bankstown (A)	Other couple family with other children only	148
Canterbury-Bankstown (A)	Step family with no other children present	1855
Canterbury-Bankstown (A)	Step family with other children present	62
Carrathool (A)	Blended family with no other children present	7
Carrathool (A)	Intact family with no other children present	263
Carrathool (A)	Intact family with other children present	3
Carrathool (A)	Other couple family with other children only	3
Carrathool (A)	Step family with no other children present	12
Central Coast (C) (NSW)	Blended family with no other children present	1875
Central Coast (C) (NSW)	Blended family with other children present	36
Central Coast (C) (NSW)	Intact family with no other children present	30757
Central Coast (C) (NSW)	Intact family with other children present	389
Central Coast (C) (NSW)	Other couple family with other children only	263
Central Coast (C) (NSW)	Step family with no other children present	2925
Central Coast (C) (NSW)	Step family with other children present	66
Central Darling (A)	Blended family with no other children present	4
Central Darling (A)	Intact family with no other children present	118
Central Darling (A)	Other couple family with other children only	4
Central Darling (A)	Step family with no other children present	14
Cessnock (C)	Blended family with no other children present	366
Cessnock (C)	Blended family with other children present	13
Cessnock (C)	Intact family with no other children present	4790
Cessnock (C)	Intact family with other children present	98
Cessnock (C)	Other couple family with other children only	79
Cessnock (C)	Step family with no other children present	506
Cessnock (C)	Step family with other children present	18
Clarence Valley (A)	Blended family with no other children present	272
Clarence Valley (A)	Blended family with other children present	5
Clarence Valley (A)	Intact family with no other children present	3595
Clarence Valley (A)	Intact family with other children present	87
Clarence Valley (A)	Other couple family with other children only	46
Clarence Valley (A)	Step family with no other children present	325
Clarence Valley (A)	Step family with other children present	9
Cobar (A)	Blended family with no other children present	42
Cobar (A)	Intact family with no other children present	379
Cobar (A)	Intact family with other children present	4
Cobar (A)	Other couple family with other children only	3
Cobar (A)	Step family with no other children present	33
Coffs Harbour (C)	Blended family with no other children present	343
Coffs Harbour (C)	Blended family with other children present	6
Coffs Harbour (C)	Intact family with no other children present	6050
Coffs Harbour (C)	Intact family with other children present	103
Coffs Harbour (C)	Other couple family with other children only	57
Coffs Harbour (C)	Step family with no other children present	575
Coffs Harbour (C)	Step family with other children present	8
Coolamon (A)	Blended family with no other children present	21
Coolamon (A)	Intact family with no other children present	387
Coolamon (A)	Intact family with other children present	3
Coolamon (A)	Other couple family with other children only	11
Coolamon (A)	Step family with no other children present	31
Coonamble (A)	Blended family with no other children present	15
Coonamble (A)	Blended family with other children present	3
Coonamble (A)	Intact family with no other children present	243
Coonamble (A)	Intact family with other children present	7
Coonamble (A)	Other couple family with other children only	9
Coonamble (A)	Step family with no other children present	15
Cowra (A)	Blended family with no other children present	52
Cowra (A)	Intact family with no other children present	987
Cowra (A)	Intact family with other children present	18
Cowra (A)	Other couple family with other children only	16
Cowra (A)	Step family with no other children present	92
Cowra (A)	Step family with other children present	3
Cumberland (A)	Blended family with no other children present	577
Cumberland (A)	Blended family with other children present	27
Cumberland (A)	Intact family with no other children present	26695
Cumberland (A)	Intact family with other children present	492
Cumberland (A)	Other couple family with other children only	86
Cumberland (A)	Step family with no other children present	1027
Cumberland (A)	Step family with other children present	33
Dungog (A)	Blended family with no other children present	59
Dungog (A)	Intact family with no other children present	864
Dungog (A)	Intact family with other children present	18
Dungog (A)	Other couple family with other children only	13
Dungog (A)	Step family with no other children present	52
Dungog (A)	Step family with other children present	5
Edward River (A)	Blended family with no other children present	34
Edward River (A)	Intact family with no other children present	694
Edward River (A)	Intact family with other children present	9
Edward River (A)	Other couple family with other children only	7
Edward River (A)	Step family with no other children present	50
Eurobodalla (A)	Blended family with no other children present	147
Eurobodalla (A)	Blended family with other children present	3
Eurobodalla (A)	Intact family with no other children present	2330
Eurobodalla (A)	Intact family with other children present	34
Eurobodalla (A)	Other couple family with other children only	26
Eurobodalla (A)	Step family with no other children present	257
Eurobodalla (A)	Step family with other children present	8
Fairfield (C)	Blended family with no other children present	656
Fairfield (C)	Blended family with other children present	26
Fairfield (C)	Intact family with no other children present	23732
Fairfield (C)	Intact family with other children present	622
Fairfield (C)	Other couple family with other children only	113
Fairfield (C)	Step family with no other children present	1119
Fairfield (C)	Step family with other children present	52
Federation (A)	Blended family with no other children present	75
Federation (A)	Intact family with no other children present	941
Federation (A)	Intact family with other children present	6
Federation (A)	Other couple family with other children only	11
Federation (A)	Step family with no other children present	75
Federation (A)	Step family with other children present	3
Forbes (A)	Blended family with no other children present	41
Forbes (A)	Intact family with no other children present	795
Forbes (A)	Intact family with other children present	6
Forbes (A)	Other couple family with other children only	13
Forbes (A)	Step family with no other children present	40
Forbes (A)	Step family with other children present	5
Georges River (A)	Blended family with no other children present	373
Georges River (A)	Blended family with other children present	9
Georges River (A)	Intact family with no other children present	18050
Georges River (A)	Intact family with other children present	298
Georges River (A)	Other couple family with other children only	52
Georges River (A)	Step family with no other children present	791
Georges River (A)	Step family with other children present	19
Gilgandra (A)	Blended family with no other children present	16
Gilgandra (A)	Intact family with no other children present	303
Gilgandra (A)	Intact family with other children present	11
Gilgandra (A)	Other couple family with other children only	5
Gilgandra (A)	Step family with no other children present	28
Glen Innes Severn (A)	Blended family with no other children present	36
Glen Innes Severn (A)	Intact family with no other children present	610
Glen Innes Severn (A)	Intact family with other children present	9
Glen Innes Severn (A)	Other couple family with other children only	8
Glen Innes Severn (A)	Step family with no other children present	50
Goulburn Mulwaree (A)	Blended family with no other children present	176
Goulburn Mulwaree (A)	Blended family with other children present	3
Goulburn Mulwaree (A)	Intact family with no other children present	2487
Goulburn Mulwaree (A)	Intact family with other children present	28
Goulburn Mulwaree (A)	Other couple family with other children only	25
Goulburn Mulwaree (A)	Step family with no other children present	243
Goulburn Mulwaree (A)	Step family with other children present	9
Greater Hume Shire (A)	Blended family with no other children present	55
Greater Hume Shire (A)	Intact family with no other children present	1000
Greater Hume Shire (A)	Intact family with other children present	17
Greater Hume Shire (A)	Other couple family with other children only	12
Greater Hume Shire (A)	Step family with no other children present	58
Greater Hume Shire (A)	Step family with other children present	5
Griffith (C)	Blended family with no other children present	91
Griffith (C)	Blended family with other children present	3
Griffith (C)	Intact family with no other children present	2649
Griffith (C)	Intact family with other children present	35
Griffith (C)	Other couple family with other children only	33
Griffith (C)	Step family with no other children present	146
Gundagai (A)	Blended family with no other children present	54
Gundagai (A)	Blended family with other children present	3
Gundagai (A)	Intact family with no other children present	879
Gundagai (A)	Intact family with other children present	15
Gundagai (A)	Other couple family with other children only	15
Gundagai (A)	Step family with no other children present	61
Gundagai (A)	Step family with other children present	5
Gunnedah (A)	Blended family with no other children present	59
Gunnedah (A)	Intact family with no other children present	1129
Gunnedah (A)	Intact family with other children present	15
Gunnedah (A)	Other couple family with other children only	12
Gunnedah (A)	Step family with no other children present	90
Gwydir (A)	Blended family with no other children present	23
Gwydir (A)	Intact family with no other children present	406
Gwydir (A)	Intact family with other children present	5
Gwydir (A)	Other couple family with other children only	3
Gwydir (A)	Step family with no other children present	29
Hawkesbury (C)	Blended family with no other children present	444
Hawkesbury (C)	Blended family with other children present	4
Hawkesbury (C)	Intact family with no other children present	7133
Hawkesbury (C)	Intact family with other children present	116
Hawkesbury (C)	Other couple family with other children only	52
Hawkesbury (C)	Step family with no other children present	629
Hawkesbury (C)	Step family with other children present	15
Hay (A)	Blended family with no other children present	7
Hay (A)	Intact family with no other children present	236
Hay (A)	Intact family with other children present	3
Hay (A)	Other couple family with other children only	9
Hay (A)	Step family with no other children present	17
Hilltops (A)	Blended family with no other children present	102
Hilltops (A)	Intact family with no other children present	1531
Hilltops (A)	Intact family with other children present	18
Hilltops (A)	Other couple family with other children only	11
Hilltops (A)	Step family with no other children present	121
Hornsby (A)	Blended family with no other children present	392
Hornsby (A)	Blended family with other children present	3
Hornsby (A)	Intact family with no other children present	20712
Hornsby (A)	Intact family with other children present	207
Hornsby (A)	Other couple family with other children only	40
Hornsby (A)	Step family with no other children present	880
Hornsby (A)	Step family with other children present	16
Hunters Hill (A)	Blended family with no other children present	26
Hunters Hill (A)	Intact family with no other children present	1730
Hunters Hill (A)	Intact family with other children present	7
Hunters Hill (A)	Step family with no other children present	73
Inner West (A)	Blended family with no other children present	301
Inner West (A)	Blended family with other children present	3
Inner West (A)	Intact family with no other children present	17492
Inner West (A)	Intact family with other children present	157
Inner West (A)	Other couple family with other children only	50
Inner West (A)	Step family with no other children present	931
Inner West (A)	Step family with other children present	11
Inverell (A)	Blended family with no other children present	91
Inverell (A)	Blended family with other children present	3
Inverell (A)	Intact family with no other children present	1286
Inverell (A)	Intact family with other children present	25
Inverell (A)	Other couple family with other children only	11
Inverell (A)	Step family with no other children present	129
Junee (A)	Blended family with no other children present	26
Junee (A)	Intact family with no other children present	460
Junee (A)	Intact family with other children present	9
Junee (A)	Other couple family with other children only	12
Junee (A)	Step family with no other children present	36
Kempsey (A)	Blended family with no other children present	137
Kempsey (A)	Blended family with other children present	6
Kempsey (A)	Intact family with no other children present	1896
Kempsey (A)	Intact family with other children present	40
Kempsey (A)	Other couple family with other children only	29
Kempsey (A)	Step family with no other children present	175
Kempsey (A)	Step family with other children present	8
Kiama (A)	Blended family with no other children present	102
Kiama (A)	Intact family with no other children present	2221
Kiama (A)	Intact family with other children present	24
Kiama (A)	Other couple family with other children only	11
Kiama (A)	Step family with no other children present	160
Kiama (A)	Step family with other children present	4
Ku-ring-gai (A)	Blended family with no other children present	261
Ku-ring-gai (A)	Blended family with other children present	9
Ku-ring-gai (A)	Intact family with no other children present	17613
Ku-ring-gai (A)	Intact family with other children present	147
Ku-ring-gai (A)	Other couple family with other children only	24
Ku-ring-gai (A)	Step family with no other children present	653
Ku-ring-gai (A)	Step family with other children present	4
Kyogle (A)	Blended family with no other children present	33
Kyogle (A)	Intact family with no other children present	595
Kyogle (A)	Intact family with other children present	15
Kyogle (A)	Other couple family with other children only	5
Kyogle (A)	Step family with no other children present	59
Lachlan (A)	Blended family with no other children present	22
Lachlan (A)	Blended family with other children present	3
Lachlan (A)	Intact family with no other children present	520
Lachlan (A)	Intact family with other children present	15
Lachlan (A)	Other couple family with other children only	7
Lachlan (A)	Step family with no other children present	21
Lake Macquarie (C)	Blended family with no other children present	1038
Lake Macquarie (C)	Blended family with other children present	25
Lake Macquarie (C)	Intact family with no other children present	19722
Lake Macquarie (C)	Intact family with other children present	268
Lake Macquarie (C)	Other couple family with other children only	169
Lake Macquarie (C)	Step family with no other children present	1834
Lake Macquarie (C)	Step family with other children present	44
Lane Cove (A)	Blended family with no other children present	62
Lane Cove (A)	Intact family with no other children present	4441
Lane Cove (A)	Intact family with other children present	22
Lane Cove (A)	Other couple family with other children only	6
Lane Cove (A)	Step family with no other children present	184
Leeton (A)	Blended family with no other children present	68
Leeton (A)	Blended family with other children present	3
Leeton (A)	Intact family with no other children present	973
Leeton (A)	Intact family with other children present	10
Leeton (A)	Other couple family with other children only	13
Leeton (A)	Step family with no other children present	56
Leeton (A)	Step family with other children present	5
Lismore (C)	Blended family with no other children present	190
Lismore (C)	Blended family with other children present	4
Lismore (C)	Intact family with no other children present	3444
Lismore (C)	Intact family with other children present	43
Lismore (C)	Other couple family with other children only	32
Lismore (C)	Step family with no other children present	315
Lismore (C)	Step family with other children present	8
Lithgow (C)	Blended family with no other children present	117
Lithgow (C)	Blended family with other children present	5
Lithgow (C)	Intact family with no other children present	1621
Lithgow (C)	Intact family with other children present	23
Lithgow (C)	Other couple family with other children only	31
Lithgow (C)	Step family with no other children present	136
Liverpool (C)	Blended family with no other children present	898
Liverpool (C)	Blended family with other children present	37
Liverpool (C)	Intact family with no other children present	26723
Liverpool (C)	Intact family with other children present	473
Liverpool (C)	Other couple family with other children only	106
Liverpool (C)	Step family with no other children present	1213
Liverpool (C)	Step family with other children present	34
Liverpool Plains (A)	Blended family with no other children present	35
Liverpool Plains (A)	Intact family with no other children present	616
Liverpool Plains (A)	Intact family with other children present	8
Liverpool Plains (A)	Other couple family with other children only	6
Liverpool Plains (A)	Step family with no other children present	47
Lockhart (A)	Blended family with no other children present	17
Lockhart (A)	Intact family with no other children present	277
Lockhart (A)	Intact family with other children present	6
Lockhart (A)	Other couple family with other children only	4
Lockhart (A)	Step family with no other children present	17
Maitland (C)	Blended family with no other children present	542
Maitland (C)	Blended family with other children present	9
Maitland (C)	Intact family with no other children present	8064
Maitland (C)	Intact family with other children present	100
Maitland (C)	Other couple family with other children only	69
Maitland (C)	Step family with no other children present	729
Maitland (C)	Step family with other children present	18
Mid-Coast (A)	Blended family with no other children present	389
Mid-Coast (A)	Blended family with other children present	16
Mid-Coast (A)	Intact family with no other children present	6093
Mid-Coast (A)	Intact family with other children present	111
Mid-Coast (A)	Other couple family with other children only	128
Mid-Coast (A)	Step family with no other children present	613
Mid-Coast (A)	Step family with other children present	13
Mid-Western Regional (A)	Blended family with no other children present	129
Mid-Western Regional (A)	Intact family with no other children present	2109
Mid-Western Regional (A)	Intact family with other children present	27
Mid-Western Regional (A)	Other couple family with other children only	38
Mid-Western Regional (A)	Step family with no other children present	171
Moree Plains (A)	Blended family with no other children present	50
Moree Plains (A)	Blended family with other children present	4
Moree Plains (A)	Intact family with no other children present	1043
Moree Plains (A)	Intact family with other children present	22
Moree Plains (A)	Other couple family with other children only	25
Moree Plains (A)	Step family with no other children present	74
Moree Plains (A)	Step family with other children present	3
Mosman (A)	Blended family with no other children present	46
Mosman (A)	Intact family with no other children present	3309
Mosman (A)	Intact family with other children present	10
Mosman (A)	Other couple family with other children only	4
Mosman (A)	Step family with no other children present	143
Murray River (A)	Blended family with no other children present	40
Murray River (A)	Intact family with no other children present	989
Murray River (A)	Intact family with other children present	8
Murray River (A)	Other couple family with other children only	11
Murray River (A)	Step family with no other children present	64
Murrumbidgee (A)	Blended family with no other children present	27
Murrumbidgee (A)	Intact family with no other children present	347
Murrumbidgee (A)	Intact family with other children present	3
Murrumbidgee (A)	Other couple family with other children only	3
Murrumbidgee (A)	Step family with no other children present	27
Muswellbrook (A)	Blended family with no other children present	108
Muswellbrook (A)	Intact family with no other children present	1473
Muswellbrook (A)	Intact family with other children present	13
Muswellbrook (A)	Other couple family with other children only	19
Muswellbrook (A)	Step family with no other children present	121
Muswellbrook (A)	Step family with other children present	3
Nambucca (A)	Blended family with no other children present	94
Nambucca (A)	Blended family with other children present	4
Nambucca (A)	Intact family with no other children present	1279
Nambucca (A)	Intact family with other children present	28
Nambucca (A)	Other couple family with other children only	9
Nambucca (A)	Step family with no other children present	123
Nambucca (A)	Step family with other children present	3
Narrabri (A)	Blended family with no other children present	63
Narrabri (A)	Blended family with other children present	4
Narrabri (A)	Intact family with no other children present	1174
Narrabri (A)	Intact family with other children present	12
Narrabri (A)	Other couple family with other children only	19
Narrabri (A)	Step family with no other children present	49
Narrandera (A)	Blended family with no other children present	25
Narrandera (A)	Intact family with no other children present	487
Narrandera (A)	Intact family with other children present	6
Narrandera (A)	Other couple family with other children only	5
Narrandera (A)	Step family with no other children present	30
Narrandera (A)	Step family with other children present	3
Narromine (A)	Blended family with no other children present	27
Narromine (A)	Intact family with no other children present	527
Narromine (A)	Intact family with other children present	3
Narromine (A)	Other couple family with other children only	10
Narromine (A)	Step family with no other children present	29
Newcastle (C)	Blended family with no other children present	607
Newcastle (C)	Blended family with other children present	4
Newcastle (C)	Intact family with no other children present	14094
Newcastle (C)	Intact family with other children present	137
Newcastle (C)	Other couple family with other children only	81
Newcastle (C)	Step family with no other children present	1090
Newcastle (C)	Step family with other children present	22
North Sydney (A)	Blended family with no other children present	100
North Sydney (A)	Intact family with no other children present	5460
North Sydney (A)	Intact family with other children present	18
North Sydney (A)	Other couple family with other children only	9
North Sydney (A)	Step family with no other children present	338
North Sydney (A)	Step family with other children present	5
Northern Beaches (A)	Blended family with no other children present	765
Northern Beaches (A)	Blended family with other children present	9
Northern Beaches (A)	Intact family with no other children present	31939
Northern Beaches (A)	Intact family with other children present	234
Northern Beaches (A)	Other couple family with other children only	77
Northern Beaches (A)	Step family with no other children present	1744
Northern Beaches (A)	Step family with other children present	26
Oberon (A)	Blended family with no other children present	28
Oberon (A)	Intact family with no other children present	433
Oberon (A)	Intact family with other children present	3
Oberon (A)	Other couple family with other children only	5
Oberon (A)	Step family with no other children present	37
Orange (C)	Blended family with no other children present	218
Orange (C)	Blended family with other children present	7
Orange (C)	Intact family with no other children present	3686
Orange (C)	Intact family with other children present	35
Orange (C)	Other couple family with other children only	31
Orange (C)	Step family with no other children present	299
Orange (C)	Step family with other children present	6
Parkes (A)	Blended family with no other children present	88
Parkes (A)	Intact family with no other children present	1250
Parkes (A)	Intact family with other children present	19
Parkes (A)	Other couple family with other children only	17
Parkes (A)	Step family with no other children present	80
Parkes (A)	Step family with other children present	3
Parramatta (C)	Blended family with no other children present	445
Parramatta (C)	Blended family with other children present	10
Parramatta (C)	Intact family with no other children present	29071
Parramatta (C)	Intact family with other children present	359
Parramatta (C)	Other couple family with other children only	73
Parramatta (C)	Step family with no other children present	1120
Parramatta (C)	Step family with other children present	24
Penrith (C)	Blended family with no other children present	1223
Penrith (C)	Blended family with other children present	33
Penrith (C)	Intact family with no other children present	21812
Penrith (C)	Intact family with other children present	352
Penrith (C)	Other couple family with other children only	153
Penrith (C)	Step family with no other children present	1781
Penrith (C)	Step family with other children present	56
Port Macquarie-Hastings (A)	Blended family with no other children present	361
Port Macquarie-Hastings (A)	Blended family with other children present	4
Port Macquarie-Hastings (A)	Intact family with no other children present	6084
Port Macquarie-Hastings (A)	Intact family with other children present	87
Port Macquarie-Hastings (A)	Other couple family with other children only	50
Port Macquarie-Hastings (A)	Step family with no other children present	587
Port Macquarie-Hastings (A)	Step family with other children present	13
Port Stephens (A)	Blended family with no other children present	379
Port Stephens (A)	Blended family with other children present	3
Port Stephens (A)	Intact family with no other children present	6102
Port Stephens (A)	Intact family with other children present	98
Port Stephens (A)	Other couple family with other children only	68
Port Stephens (A)	Step family with no other children present	581
Port Stephens (A)	Step family with other children present	12
Queanbeyan-Palerang Regional (A)	Blended family with no other children present	329
Queanbeyan-Palerang Regional (A)	Blended family with other children present	4
Queanbeyan-Palerang Regional (A)	Intact family with no other children present	6164
Queanbeyan-Palerang Regional (A)	Intact family with other children present	63
Queanbeyan-Palerang Regional (A)	Other couple family with other children only	40
Queanbeyan-Palerang Regional (A)	Step family with no other children present	502
Queanbeyan-Palerang Regional (A)	Step family with other children present	3
Randwick (C)	Blended family with no other children present	276
Randwick (C)	Blended family with other children present	4
Randwick (C)	Intact family with no other children present	13514
Randwick (C)	Intact family with other children present	107
Randwick (C)	Other couple family with other children only	42
Randwick (C)	Step family with no other children present	634
Randwick (C)	Step family with other children present	9
Richmond Valley (A)	Blended family with no other children present	129
Richmond Valley (A)	Intact family with no other children present	1736
Richmond Valley (A)	Intact family with other children present	38
Richmond Valley (A)	Other couple family with other children only	37
Richmond Valley (A)	Step family with no other children present	193
Richmond Valley (A)	Step family with other children present	7
Rockdale (C)	Blended family with no other children present	250
Rockdale (C)	Blended family with other children present	5
Rockdale (C)	Intact family with no other children present	11935
Rockdale (C)	Intact family with other children present	171
Rockdale (C)	Other couple family with other children only	28
Rockdale (C)	Step family with no other children present	551
Rockdale (C)	Step family with other children present	7
Ryde (C)	Blended family with no other children present	220
Ryde (C)	Blended family with other children present	4
Ryde (C)	Intact family with no other children present	14028
Ryde (C)	Intact family with other children present	147
Ryde (C)	Other couple family with other children only	38
Ryde (C)	Step family with no other children present	535
Ryde (C)	Step family with other children present	12
Shellharbour (C)	Blended family with no other children present	446
Shellharbour (C)	Blended family with other children present	4
Shellharbour (C)	Intact family with no other children present	7192
Shellharbour (C)	Intact family with other children present	121
Shellharbour (C)	Other couple family with other children only	76
Shellharbour (C)	Step family with no other children present	673
Shellharbour (C)	Step family with other children present	25
Shoalhaven (C)	Blended family with no other children present	475
Shoalhaven (C)	Blended family with other children present	13
Shoalhaven (C)	Intact family with no other children present	7387
Shoalhaven (C)	Intact family with other children present	127
Shoalhaven (C)	Other couple family with other children only	127
Shoalhaven (C)	Step family with no other children present	788
Shoalhaven (C)	Step family with other children present	18
Singleton (A)	Blended family with no other children present	133
Singleton (A)	Intact family with no other children present	2456
Singleton (A)	Intact family with other children present	24
Singleton (A)	Other couple family with other children only	18
Singleton (A)	Step family with no other children present	216
Singleton (A)	Step family with other children present	3
Snowy Monaro Regional (A)	Blended family with no other children present	96
Snowy Monaro Regional (A)	Intact family with no other children present	1725
Snowy Monaro Regional (A)	Intact family with other children present	11
Snowy Monaro Regional (A)	Other couple family with other children only	10
Snowy Monaro Regional (A)	Step family with no other children present	132
Snowy Valleys (A)	Blended family with no other children present	74
Snowy Valleys (A)	Intact family with no other children present	1179
Snowy Valleys (A)	Intact family with other children present	13
Snowy Valleys (A)	Other couple family with other children only	13
Snowy Valleys (A)	Step family with no other children present	98
Snowy Valleys (A)	Step family with other children present	3
Strathfield (A)	Blended family with no other children present	65
Strathfield (A)	Intact family with no other children present	4823
Strathfield (A)	Intact family with other children present	77
Strathfield (A)	Other couple family with other children only	12
Strathfield (A)	Step family with no other children present	183
Strathfield (A)	Step family with other children present	3
Sutherland Shire (A)	Blended family with no other children present	830
Sutherland Shire (A)	Blended family with other children present	10
Sutherland Shire (A)	Intact family with no other children present	28209
Sutherland Shire (A)	Intact family with other children present	210
Sutherland Shire (A)	Other couple family with other children only	65
Sutherland Shire (A)	Step family with no other children present	1623
Sutherland Shire (A)	Step family with other children present	9
Sydney (C)	Blended family with no other children present	126
Sydney (C)	Intact family with no other children present	8535
Sydney (C)	Intact family with other children present	61
Sydney (C)	Other couple family with other children only	35
Sydney (C)	Step family with no other children present	600
Sydney (C)	Step family with other children present	7
Tamworth Regional (A)	Blended family with no other children present	301
Tamworth Regional (A)	Blended family with other children present	11
Tamworth Regional (A)	Intact family with no other children present	5049
Tamworth Regional (A)	Intact family with other children present	72
Tamworth Regional (A)	Other couple family with other children only	54
Tamworth Regional (A)	Step family with no other children present	464
Tamworth Regional (A)	Step family with other children present	13
Temora (A)	Blended family with no other children present	17
Temora (A)	Intact family with no other children present	547
