LGA_NAME16	AgeStudent	Sex	students
Blacktown (C)	20-24	M	4298
Blacktown (C)	25+	F	7309
Blacktown (C)	25+	M	4702
Bland (A)	0-4	F	46
Bland (A)	0-4	M	34
Bland (A)	5-14	F	388
Bland (A)	5-14	M	381
Bland (A)	15-19	F	115
Bland (A)	15-19	M	102
Bland (A)	20-24	F	22
Bland (A)	20-24	M	13
Bland (A)	25+	F	67
Bland (A)	25+	M	25
Blayney (A)	0-4	F	60
Blayney (A)	0-4	M	62
Blayney (A)	5-14	F	476
Blayney (A)	5-14	M	494
Blayney (A)	15-19	F	182
Blayney (A)	15-19	M	154
Blayney (A)	20-24	F	45
Blayney (A)	20-24	M	27
Blayney (A)	25+	F	129
Blayney (A)	25+	M	59
Blue Mountains (C)	0-4	F	589
Blue Mountains (C)	0-4	M	574
Blue Mountains (C)	5-14	F	4510
Blue Mountains (C)	5-14	M	4754
Blue Mountains (C)	15-19	F	1824
Blue Mountains (C)	15-19	M	1948
Blue Mountains (C)	20-24	F	762
Blue Mountains (C)	20-24	M	704
Blue Mountains (C)	25+	F	1978
Blue Mountains (C)	25+	M	1092
Bogan (A)	0-4	F	36
Bogan (A)	0-4	M	19
Bogan (A)	5-14	F	143
Bogan (A)	5-14	M	155
Bogan (A)	15-19	F	54
Bogan (A)	15-19	M	47
Bogan (A)	20-24	F	18
Bogan (A)	20-24	M	9
Bogan (A)	25+	F	39
Bogan (A)	25+	M	13
Botany Bay (C)	0-4	F	318
Botany Bay (C)	0-4	M	322
Botany Bay (C)	5-14	F	2217
Botany Bay (C)	5-14	M	2367
Botany Bay (C)	15-19	F	1048
Botany Bay (C)	15-19	M	1121
Botany Bay (C)	20-24	F	947
Botany Bay (C)	20-24	M	937
Botany Bay (C)	25+	F	1314
Botany Bay (C)	25+	M	1094
Bourke (A)	0-4	F	28
Bourke (A)	0-4	M	17
Bourke (A)	5-14	F	141
Bourke (A)	5-14	M	154
Bourke (A)	15-19	F	42
Bourke (A)	15-19	M	27
Bourke (A)	20-24	F	12
Bourke (A)	20-24	M	4
Bourke (A)	25+	F	35
Bourke (A)	25+	M	19
Brewarrina (A)	0-4	F	10
Brewarrina (A)	0-4	M	19
Brewarrina (A)	5-14	F	111
Brewarrina (A)	5-14	M	110
Brewarrina (A)	15-19	F	37
Brewarrina (A)	15-19	M	18
Brewarrina (A)	20-24	F	6
Brewarrina (A)	20-24	M	3
Brewarrina (A)	25+	F	26
Brewarrina (A)	25+	M	13
Broken Hill (C)	0-4	F	120
Broken Hill (C)	0-4	M	129
Broken Hill (C)	5-14	F	881
Broken Hill (C)	5-14	M	889
Broken Hill (C)	15-19	F	290
Broken Hill (C)	15-19	M	300
Broken Hill (C)	20-24	F	83
Broken Hill (C)	20-24	M	68
Broken Hill (C)	25+	F	365
Broken Hill (C)	25+	M	156
Burwood (A)	0-4	F	169
Burwood (A)	0-4	M	174
Burwood (A)	5-14	F	1464
Burwood (A)	5-14	M	1460
Burwood (A)	15-19	F	1042
Burwood (A)	15-19	M	860
Burwood (A)	20-24	F	1448
Burwood (A)	20-24	M	1454
Burwood (A)	25+	F	1464
Burwood (A)	25+	M	1198
Byron (A)	0-4	F	187
Byron (A)	0-4	M	205
Byron (A)	5-14	F	1587
Byron (A)	5-14	M	1607
Byron (A)	15-19	F	549
Byron (A)	15-19	M	569
Byron (A)	20-24	F	150
Byron (A)	20-24	M	120
Byron (A)	25+	F	790
Byron (A)	25+	M	396
Cabonne (A)	0-4	F	113
Cabonne (A)	0-4	M	97
Cabonne (A)	5-14	F	907
Cabonne (A)	5-14	M	935
Cabonne (A)	15-19	F	325
Cabonne (A)	15-19	M	313
Cabonne (A)	20-24	F	70
Cabonne (A)	20-24	M	33
Cabonne (A)	25+	F	232
Cabonne (A)	25+	M	97
Camden (A)	0-4	F	775
Camden (A)	0-4	M	786
Camden (A)	5-14	F	5569
Camden (A)	5-14	M	5818
Camden (A)	15-19	F	2037
Camden (A)	15-19	M	2033
Camden (A)	20-24	F	797
Camden (A)	20-24	M	680
Camden (A)	25+	F	1400
Camden (A)	25+	M	683
Campbelltown (C) (NSW)	0-4	F	1175
Campbelltown (C) (NSW)	0-4	M	1230
Campbelltown (C) (NSW)	5-14	F	9764
Campbelltown (C) (NSW)	5-14	M	10347
Campbelltown (C) (NSW)	15-19	F	3786
Campbelltown (C) (NSW)	15-19	M	3793
Campbelltown (C) (NSW)	20-24	F	1846
Campbelltown (C) (NSW)	20-24	M	1740
Campbelltown (C) (NSW)	25+	F	3165
Campbelltown (C) (NSW)	25+	M	1921
Canada Bay (A)	0-4	F	549
Canada Bay (A)	0-4	M	607
Canada Bay (A)	5-14	F	4051
Canada Bay (A)	5-14	M	4175
Canada Bay (A)	15-19	F	1717
Canada Bay (A)	15-19	M	1701
Canada Bay (A)	20-24	F	1844
Canada Bay (A)	20-24	M	1651
Canada Bay (A)	25+	F	2391
Canada Bay (A)	25+	M	1898
Canterbury-Bankstown (A)	0-4	F	2430
Canterbury-Bankstown (A)	0-4	M	2667
Canterbury-Bankstown (A)	5-14	F	20099
Canterbury-Bankstown (A)	5-14	M	21429
Canterbury-Bankstown (A)	15-19	F	8803
Canterbury-Bankstown (A)	15-19	M	8849
Canterbury-Bankstown (A)	20-24	F	5214
Canterbury-Bankstown (A)	20-24	M	5637
Canterbury-Bankstown (A)	25+	F	8343
Canterbury-Bankstown (A)	25+	M	6349
Carrathool (A)	0-4	F	23
Carrathool (A)	0-4	M	21
Carrathool (A)	5-14	F	150
Carrathool (A)	5-14	M	160
Carrathool (A)	15-19	F	54
Carrathool (A)	15-19	M	39
Carrathool (A)	20-24	F	13
Carrathool (A)	20-24	M	3
Carrathool (A)	25+	F	33
Carrathool (A)	25+	M	9
Central Coast (C) (NSW)	0-4	F	2518
Central Coast (C) (NSW)	0-4	M	2658
Central Coast (C) (NSW)	5-14	F	18468
Central Coast (C) (NSW)	5-14	M	19640
Central Coast (C) (NSW)	15-19	F	7156
Central Coast (C) (NSW)	15-19	M	7140
Central Coast (C) (NSW)	20-24	F	2896
Central Coast (C) (NSW)	20-24	M	2587
Central Coast (C) (NSW)	25+	F	6538
Central Coast (C) (NSW)	25+	M	3229
Central Darling (A)	0-4	F	7
Central Darling (A)	0-4	M	13
Central Darling (A)	5-14	F	84
Central Darling (A)	5-14	M	75
Central Darling (A)	15-19	F	28
Central Darling (A)	15-19	M	21
Central Darling (A)	20-24	F	12
Central Darling (A)	25+	F	10
Central Darling (A)	25+	M	7
Cessnock (C)	0-4	F	452
Cessnock (C)	0-4	M	423
Cessnock (C)	5-14	F	3308
Cessnock (C)	5-14	M	3477
Cessnock (C)	15-19	F	1094
Cessnock (C)	15-19	M	1085
Cessnock (C)	20-24	F	345
Cessnock (C)	20-24	M	240
Cessnock (C)	25+	F	846
Cessnock (C)	25+	M	356
Clarence Valley (A)	0-4	F	295
Clarence Valley (A)	0-4	M	316
Clarence Valley (A)	5-14	F	2504
Clarence Valley (A)	5-14	M	2749
Clarence Valley (A)	15-19	F	983
Clarence Valley (A)	15-19	M	978
Clarence Valley (A)	20-24	F	223
Clarence Valley (A)	20-24	M	164
Clarence Valley (A)	25+	F	832
Clarence Valley (A)	25+	M	356
Cobar (A)	0-4	F	32
Cobar (A)	0-4	M	24
Cobar (A)	5-14	F	277
Cobar (A)	5-14	M	291
Cobar (A)	15-19	F	77
Cobar (A)	15-19	M	70
Cobar (A)	20-24	F	20
Cobar (A)	20-24	M	12
Cobar (A)	25+	F	86
Cobar (A)	25+	M	30
Coffs Harbour (C)	0-4	F	506
Coffs Harbour (C)	0-4	M	543
Coffs Harbour (C)	5-14	F	4168
Coffs Harbour (C)	5-14	M	4295
Coffs Harbour (C)	15-19	F	1484
Coffs Harbour (C)	15-19	M	1485
Coffs Harbour (C)	20-24	F	564
Coffs Harbour (C)	20-24	M	400
Coffs Harbour (C)	25+	F	1617
Coffs Harbour (C)	25+	M	739
Coolamon (A)	0-4	F	33
Coolamon (A)	0-4	M	28
Coolamon (A)	5-14	F	264
Coolamon (A)	5-14	M	303
Coolamon (A)	15-19	F	87
Coolamon (A)	15-19	M	95
Coolamon (A)	20-24	F	24
Coolamon (A)	20-24	M	12
Coolamon (A)	25+	F	69
Coolamon (A)	25+	M	27
Coonamble (A)	0-4	F	28
Coonamble (A)	0-4	M	31
Coonamble (A)	5-14	F	217
Coonamble (A)	5-14	M	214
Coonamble (A)	15-19	F	40
Coonamble (A)	15-19	M	56
Coonamble (A)	20-24	F	22
Coonamble (A)	20-24	M	10
Coonamble (A)	25+	F	56
Coonamble (A)	25+	M	14
Cowra (A)	0-4	F	82
Cowra (A)	0-4	M	88
Cowra (A)	5-14	F	663
Cowra (A)	5-14	M	658
Cowra (A)	15-19	F	238
Cowra (A)	15-19	M	221
Cowra (A)	20-24	F	57
Cowra (A)	20-24	M	40
Cowra (A)	25+	F	186
Cowra (A)	25+	M	75
Cumberland (A)	0-4	F	1518
Cumberland (A)	0-4	M	1586
Cumberland (A)	5-14	F	12029
Cumberland (A)	5-14	M	12689
Cumberland (A)	15-19	F	4910
Cumberland (A)	15-19	M	4984
Cumberland (A)	20-24	F	3488
Cumberland (A)	20-24	M	4117
Cumberland (A)	25+	F	5730
Cumberland (A)	25+	M	5021
Dungog (A)	0-4	F	75
Dungog (A)	0-4	M	71
Dungog (A)	5-14	F	514
Dungog (A)	5-14	M	563
Dungog (A)	15-19	F	197
Dungog (A)	15-19	M	195
Dungog (A)	20-24	F	53
Dungog (A)	20-24	M	39
Dungog (A)	25+	F	137
Dungog (A)	25+	M	46
Edward River (A)	0-4	F	43
Edward River (A)	0-4	M	60
Edward River (A)	5-14	F	490
Edward River (A)	5-14	M	476
Edward River (A)	15-19	F	176
Edward River (A)	15-19	M	156
Edward River (A)	20-24	F	44
Edward River (A)	20-24	M	33
Edward River (A)	25+	F	111
Edward River (A)	25+	M	49
Eurobodalla (A)	0-4	F	168
Eurobodalla (A)	0-4	M	193
Eurobodalla (A)	5-14	F	1644
Eurobodalla (A)	5-14	M	1772
Eurobodalla (A)	15-19	F	608
Eurobodalla (A)	15-19	M	585
Eurobodalla (A)	20-24	F	118
Eurobodalla (A)	20-24	M	100
Eurobodalla (A)	25+	F	540
Eurobodalla (A)	25+	M	236
Fairfield (C)	0-4	F	1090
Fairfield (C)	0-4	M	1125
Fairfield (C)	5-14	F	11197
Fairfield (C)	5-14	M	11892
Fairfield (C)	15-19	F	5745
Fairfield (C)	15-19	M	5688
Fairfield (C)	20-24	F	3336
Fairfield (C)	20-24	M	3175
Fairfield (C)	25+	F	4601
Fairfield (C)	25+	M	2993
Federation (A)	0-4	F	62
Federation (A)	0-4	M	85
Federation (A)	5-14	F	675
Federation (A)	5-14	M	649
Federation (A)	15-19	F	222
Federation (A)	15-19	M	218
Federation (A)	20-24	F	63
Federation (A)	20-24	M	39
Federation (A)	25+	F	171
Federation (A)	25+	M	63
Forbes (A)	0-4	F	99
Forbes (A)	0-4	M	73
Forbes (A)	5-14	F	575
Forbes (A)	5-14	M	617
Forbes (A)	15-19	F	214
Forbes (A)	15-19	M	199
Forbes (A)	20-24	F	54
Forbes (A)	20-24	M	42
Forbes (A)	25+	F	133
Forbes (A)	25+	M	39
Georges River (A)	0-4	F	935
Georges River (A)	0-4	M	1006
Georges River (A)	5-14	F	7345
Georges River (A)	5-14	M	7662
Georges River (A)	15-19	F	3816
Georges River (A)	15-19	M	3860
Georges River (A)	20-24	F	2951
Georges River (A)	20-24	M	3286
Georges River (A)	25+	F	3980
Georges River (A)	25+	M	3143
Gilgandra (A)	0-4	F	39
Gilgandra (A)	0-4	M	45
Gilgandra (A)	5-14	F	239
Gilgandra (A)	5-14	M	230
Gilgandra (A)	15-19	F	70
Gilgandra (A)	15-19	M	73
Gilgandra (A)	20-24	F	19
Gilgandra (A)	20-24	M	12
Gilgandra (A)	25+	F	46
Gilgandra (A)	25+	M	17
Glen Innes Severn (A)	0-4	F	48
Glen Innes Severn (A)	0-4	M	39
Glen Innes Severn (A)	5-14	F	449
Glen Innes Severn (A)	5-14	M	467
Glen Innes Severn (A)	15-19	F	157
Glen Innes Severn (A)	15-19	M	144
Glen Innes Severn (A)	20-24	F	38
Glen Innes Severn (A)	20-24	M	27
Glen Innes Severn (A)	25+	F	123
Glen Innes Severn (A)	25+	M	44
Goulburn Mulwaree (A)	0-4	F	223
Goulburn Mulwaree (A)	0-4	M	199
Goulburn Mulwaree (A)	5-14	F	1548
Goulburn Mulwaree (A)	5-14	M	1748
Goulburn Mulwaree (A)	15-19	F	545
Goulburn Mulwaree (A)	15-19	M	597
Goulburn Mulwaree (A)	20-24	F	187
Goulburn Mulwaree (A)	20-24	M	175
Goulburn Mulwaree (A)	25+	F	555
Goulburn Mulwaree (A)	25+	M	276
Greater Hume Shire (A)	0-4	F	87
Greater Hume Shire (A)	0-4	M	95
Greater Hume Shire (A)	5-14	F	722
Greater Hume Shire (A)	5-14	M	754
Greater Hume Shire (A)	15-19	F	248
Greater Hume Shire (A)	15-19	M	255
Greater Hume Shire (A)	20-24	F	53
Greater Hume Shire (A)	20-24	M	42
Greater Hume Shire (A)	25+	F	151
Greater Hume Shire (A)	25+	M	63
Griffith (C)	0-4	F	186
Griffith (C)	0-4	M	212
Griffith (C)	5-14	F	1533
Griffith (C)	5-14	M	1575
Griffith (C)	15-19	F	476
Griffith (C)	15-19	M	534
Griffith (C)	20-24	F	125
Griffith (C)	20-24	M	96
Griffith (C)	25+	F	375
Griffith (C)	25+	M	245
Gundagai (A)	0-4	F	70
Gundagai (A)	0-4	M	85
Gundagai (A)	5-14	F	611
Gundagai (A)	5-14	M	681
Gundagai (A)	15-19	F	197
Gundagai (A)	15-19	M	193
Gundagai (A)	20-24	F	63
Gundagai (A)	20-24	M	29
Gundagai (A)	25+	F	141
Gundagai (A)	25+	M	49
Gunnedah (A)	0-4	F	135
Gunnedah (A)	0-4	M	118
Gunnedah (A)	5-14	F	689
Gunnedah (A)	5-14	M	740
Gunnedah (A)	15-19	F	200
Gunnedah (A)	15-19	M	212
Gunnedah (A)	20-24	F	67
Gunnedah (A)	20-24	M	41
Gunnedah (A)	25+	F	219
Gunnedah (A)	25+	M	63
Gwydir (A)	0-4	F	46
Gwydir (A)	0-4	M	41
Gwydir (A)	5-14	F	264
Gwydir (A)	5-14	M	302
Gwydir (A)	15-19	F	79
Gwydir (A)	15-19	M	75
Gwydir (A)	20-24	F	26
Gwydir (A)	20-24	M	9
Gwydir (A)	25+	F	49
Gwydir (A)	25+	M	16
Hawkesbury (C)	0-4	F	505
Hawkesbury (C)	0-4	M	571
Hawkesbury (C)	5-14	F	3946
Hawkesbury (C)	5-14	M	4170
Hawkesbury (C)	15-19	F	1643
Hawkesbury (C)	15-19	M	1585
Hawkesbury (C)	20-24	F	688
Hawkesbury (C)	20-24	M	521
Hawkesbury (C)	25+	F	1142
Hawkesbury (C)	25+	M	571
Hay (A)	0-4	F	18
Hay (A)	0-4	M	16
Hay (A)	5-14	F	165
Hay (A)	5-14	M	158
Hay (A)	15-19	F	59
Hay (A)	15-19	M	57
Hay (A)	20-24	F	8
Hay (A)	20-24	M	10
Hay (A)	25+	F	28
Hay (A)	25+	M	11
Hilltops (A)	0-4	F	140
Hilltops (A)	0-4	M	125
Hilltops (A)	5-14	F	1102
Hilltops (A)	5-14	M	1164
Hilltops (A)	15-19	F	391
Hilltops (A)	15-19	M	377
Hilltops (A)	20-24	F	105
Hilltops (A)	20-24	M	76
Hilltops (A)	25+	F	297
Hilltops (A)	25+	M	86
Hornsby (A)	0-4	F	1104
Hornsby (A)	0-4	M	1190
Hornsby (A)	5-14	F	9189
Hornsby (A)	5-14	M	9573
Hornsby (A)	15-19	F	4246
Hornsby (A)	15-19	M	4332
Hornsby (A)	20-24	F	2213
Hornsby (A)	20-24	M	2262
Hornsby (A)	25+	F	3151
Hornsby (A)	25+	M	2064
Hunters Hill (A)	0-4	F	102
Hunters Hill (A)	0-4	M	123
Hunters Hill (A)	5-14	F	844
Hunters Hill (A)	5-14	M	989
Hunters Hill (A)	15-19	F	322
Hunters Hill (A)	15-19	M	744
Hunters Hill (A)	20-24	F	201
Hunters Hill (A)	20-24	M	212
Hunters Hill (A)	25+	F	256
Hunters Hill (A)	25+	M	164
Inner West (A)	0-4	F	1197
Inner West (A)	0-4	M	1189
Inner West (A)	5-14	F	7657
Inner West (A)	5-14	M	8164
Inner West (A)	15-19	F	2735
Inner West (A)	15-19	M	2853
Inner West (A)	20-24	F	3283
Inner West (A)	20-24	M	2967
Inner West (A)	25+	F	6542
Inner West (A)	25+	M	4679
Inverell (A)	0-4	F	116
Inverell (A)	0-4	M	138
Inverell (A)	5-14	F	983
Inverell (A)	5-14	M	1006
Inverell (A)	15-19	F	308
Inverell (A)	15-19	M	354
Inverell (A)	20-24	F	95
Inverell (A)	20-24	M	59
Inverell (A)	25+	F	250
Inverell (A)	25+	M	100
Junee (A)	0-4	F	46
Junee (A)	0-4	M	39
Junee (A)	5-14	F	321
Junee (A)	5-14	M	352
Junee (A)	15-19	F	97
Junee (A)	15-19	M	87
Junee (A)	20-24	F	34
Junee (A)	20-24	M	19
Junee (A)	25+	F	97
Junee (A)	25+	M	36
Kempsey (A)	0-4	F	190
Kempsey (A)	0-4	M	218
Kempsey (A)	5-14	F	1454
Kempsey (A)	5-14	M	1543
Kempsey (A)	15-19	F	521
Kempsey (A)	15-19	M	536
Kempsey (A)	20-24	F	112
Kempsey (A)	20-24	M	72
Kempsey (A)	25+	F	422
Kempsey (A)	25+	M	152
Kiama (A)	0-4	F	153
Kiama (A)	0-4	M	174
Kiama (A)	5-14	F	1107
Kiama (A)	5-14	M	1209
Kiama (A)	15-19	F	479
Kiama (A)	15-19	M	512
Kiama (A)	20-24	F	181
Kiama (A)	20-24	M	212
Kiama (A)	25+	F	399
Kiama (A)	25+	M	200
Ku-ring-gai (A)	0-4	F	911
Ku-ring-gai (A)	0-4	M	981
Ku-ring-gai (A)	5-14	F	8302
Ku-ring-gai (A)	5-14	M	8814
Ku-ring-gai (A)	15-19	F	4137
Ku-ring-gai (A)	15-19	M	4271
Ku-ring-gai (A)	20-24	F	2080
Ku-ring-gai (A)	20-24	M	2068
Ku-ring-gai (A)	25+	F	2440
Ku-ring-gai (A)	25+	M	1552
Kyogle (A)	0-4	F	55
Kyogle (A)	0-4	M	49
Kyogle (A)	5-14	F	471
Kyogle (A)	5-14	M	478
Kyogle (A)	15-19	F	184
Kyogle (A)	15-19	M	154
Kyogle (A)	20-24	F	39
Kyogle (A)	20-24	M	29
Kyogle (A)	25+	F	139
Kyogle (A)	25+	M	66
Lachlan (A)	0-4	F	64
Lachlan (A)	0-4	M	55
Lachlan (A)	5-14	F	359
Lachlan (A)	5-14	M	364
Lachlan (A)	15-19	F	104
Lachlan (A)	15-19	M	75
Lachlan (A)	20-24	F	25
Lachlan (A)	20-24	M	20
Lachlan (A)	25+	F	66
Lachlan (A)	25+	M	23
Lake Macquarie (C)	0-4	F	1523
Lake Macquarie (C)	0-4	M	1565
Lake Macquarie (C)	5-14	F	11155
Lake Macquarie (C)	5-14	M	11718
Lake Macquarie (C)	15-19	F	4407
Lake Macquarie (C)	15-19	M	4594
Lake Macquarie (C)	20-24	F	1824
Lake Macquarie (C)	20-24	M	1658
Lake Macquarie (C)	25+	F	3668
Lake Macquarie (C)	25+	M	1951
Lane Cove (A)	0-4	F	290
Lane Cove (A)	0-4	M	327
Lane Cove (A)	5-14	F	1935
Lane Cove (A)	5-14	M	2104
Lane Cove (A)	15-19	F	686
Lane Cove (A)	15-19	M	1074
Lane Cove (A)	20-24	F	528
Lane Cove (A)	20-24	M	566
Lane Cove (A)	25+	F	1047
Lane Cove (A)	25+	M	709
Leeton (A)	0-4	F	86
Leeton (A)	0-4	M	71
Leeton (A)	5-14	F	689
Leeton (A)	5-14	M	734
Leeton (A)	15-19	F	378
Leeton (A)	15-19	M	304
Leeton (A)	20-24	F	51
Leeton (A)	20-24	M	33
Leeton (A)	25+	F	142
Leeton (A)	25+	M	65
Lismore (C)	0-4	F	290
Lismore (C)	0-4	M	275
Lismore (C)	5-14	F	2397
Lismore (C)	5-14	M	2553
Lismore (C)	15-19	F	1007
Lismore (C)	15-19	M	954
Lismore (C)	20-24	F	451
Lismore (C)	20-24	M	334
Lismore (C)	25+	F	1144
Lismore (C)	25+	M	648
Lithgow (C)	0-4	F	133
Lithgow (C)	0-4	M	130
Lithgow (C)	5-14	F	1007
Lithgow (C)	5-14	M	1075
Lithgow (C)	15-19	F	378
Lithgow (C)	15-19	M	407
Lithgow (C)	20-24	F	124
Lithgow (C)	20-24	M	84
Lithgow (C)	25+	F	359
Lithgow (C)	25+	M	172
Liverpool (C)	0-4	F	1469
Liverpool (C)	0-4	M	1572
Liverpool (C)	5-14	F	13417
Liverpool (C)	5-14	M	14033
Liverpool (C)	15-19	F	5712
Liverpool (C)	15-19	M	5856
Liverpool (C)	20-24	F	2900
Liverpool (C)	20-24	M	2548
Liverpool (C)	25+	F	4213
Liverpool (C)	25+	M	2517
Liverpool Plains (A)	0-4	F	57
Liverpool Plains (A)	0-4	M	52
Liverpool Plains (A)	5-14	F	406
Liverpool Plains (A)	5-14	M	447
Liverpool Plains (A)	15-19	F	134
Liverpool Plains (A)	15-19	M	141
Liverpool Plains (A)	20-24	F	38
Liverpool Plains (A)	20-24	M	19
Liverpool Plains (A)	25+	F	109
Liverpool Plains (A)	25+	M	35
Lockhart (A)	0-4	F	23
Lockhart (A)	0-4	M	18
Lockhart (A)	5-14	F	213
Lockhart (A)	5-14	M	178
Lockhart (A)	15-19	F	50
Lockhart (A)	15-19	M	59
Lockhart (A)	20-24	F	15
Lockhart (A)	20-24	M	3
Lockhart (A)	25+	F	40
Lockhart (A)	25+	M	12
Maitland (C)	0-4	F	638
Maitland (C)	0-4	M	694
Maitland (C)	5-14	F	5011
Maitland (C)	5-14	M	5313
Maitland (C)	15-19	F	1736
Maitland (C)	15-19	M	1801
Maitland (C)	20-24	F	746
Maitland (C)	20-24	M	560
Maitland (C)	25+	F	1560
Maitland (C)	25+	M	841
Mid-Coast (A)	0-4	F	561
Mid-Coast (A)	0-4	M	606
Mid-Coast (A)	5-14	F	4325
Mid-Coast (A)	5-14	M	4515
Mid-Coast (A)	15-19	F	1616
Mid-Coast (A)	15-19	M	1605
Mid-Coast (A)	20-24	F	399
Mid-Coast (A)	20-24	M	268
Mid-Coast (A)	25+	F	1408
Mid-Coast (A)	25+	M	544
Mid-Western Regional (A)	0-4	F	182
Mid-Western Regional (A)	0-4	M	147
Mid-Western Regional (A)	5-14	F	1331
Mid-Western Regional (A)	5-14	M	1482
Mid-Western Regional (A)	15-19	F	402
Mid-Western Regional (A)	15-19	M	449
Mid-Western Regional (A)	20-24	F	109
Mid-Western Regional (A)	20-24	M	71
Mid-Western Regional (A)	25+	F	406
Mid-Western Regional (A)	25+	M	180
Moree Plains (A)	0-4	F	119
Moree Plains (A)	0-4	M	120
Moree Plains (A)	5-14	F	768
Moree Plains (A)	5-14	M	763
Moree Plains (A)	15-19	F	197
Moree Plains (A)	15-19	M	202
Moree Plains (A)	20-24	F	65
Moree Plains (A)	20-24	M	46
Moree Plains (A)	25+	F	192
Moree Plains (A)	25+	M	85
Mosman (A)	0-4	F	212
Mosman (A)	0-4	M	198
Mosman (A)	5-14	F	1586
Mosman (A)	5-14	M	1681
Mosman (A)	15-19	F	712
Mosman (A)	15-19	M	657
Mosman (A)	20-24	F	374
Mosman (A)	20-24	M	332
Mosman (A)	25+	F	701
Mosman (A)	25+	M	342
Murray River (A)	0-4	F	71
Murray River (A)	0-4	M	66
Murray River (A)	5-14	F	613
Murray River (A)	5-14	M	600
Murray River (A)	15-19	F	229
Murray River (A)	15-19	M	200
Murray River (A)	20-24	F	58
Murray River (A)	20-24	M	25
Murray River (A)	25+	F	147
Murray River (A)	25+	M	61
Murrumbidgee (A)	0-4	F	22
Murrumbidgee (A)	0-4	M	34
Murrumbidgee (A)	5-14	F	204
Murrumbidgee (A)	5-14	M	260
Murrumbidgee (A)	15-19	F	76
Murrumbidgee (A)	15-19	M	94
Murrumbidgee (A)	20-24	F	16
Murrumbidgee (A)	20-24	M	13
Murrumbidgee (A)	25+	F	42
Murrumbidgee (A)	25+	M	28
Muswellbrook (A)	0-4	F	126
Muswellbrook (A)	0-4	M	140
Muswellbrook (A)	5-14	F	1038
Muswellbrook (A)	5-14	M	1119
Muswellbrook (A)	15-19	F	336
Muswellbrook (A)	15-19	M	334
Muswellbrook (A)	20-24	F	95
Muswellbrook (A)	20-24	M	46
Muswellbrook (A)	25+	F	225
Muswellbrook (A)	25+	M	129
Nambucca (A)	0-4	F	115
Nambucca (A)	0-4	M	133
