LGA_NAME16	BornAust	Sex	persons
Hawkesbury (C)	0	F	4139
Hawkesbury (C)	0	M	3801
Hawkesbury (C)	1	F	26435
Hawkesbury (C)	1	M	26104
Hay (A)	0	F	104
Hay (A)	0	M	90
Hay (A)	1	F	1164
Hay (A)	1	M	1190
Hilltops (A)	0	F	632
Hilltops (A)	0	M	513
Hilltops (A)	1	F	7989
Hilltops (A)	1	M	7829
Hornsby (A)	0	F	27581
Hornsby (A)	0	M	25213
Hornsby (A)	1	F	42947
Hornsby (A)	1	M	42004
Hunters Hill (A)	0	F	1939
Hunters Hill (A)	0	M	1742
Hunters Hill (A)	1	F	4663
Hunters Hill (A)	1	M	4841
Inner West (A)	0	F	32118
Inner West (A)	0	M	30283
Inner West (A)	1	F	54304
Inner West (A)	1	M	51417
Inverell (A)	0	F	557
Inverell (A)	0	M	489
Inverell (A)	1	F	7052
Inverell (A)	1	M	6823
Junee (A)	0	F	170
Junee (A)	0	M	296
Junee (A)	1	F	2247
Junee (A)	1	M	2944
Kempsey (A)	0	F	1056
Kempsey (A)	0	M	998
Kempsey (A)	1	F	11891
Kempsey (A)	1	M	12046
Kiama (A)	0	F	1552
Kiama (A)	0	M	1410
Kiama (A)	1	F	8631
Kiama (A)	1	M	8409
Ku-ring-gai (A)	0	F	24365
Ku-ring-gai (A)	0	M	21599
Ku-ring-gai (A)	1	F	34665
Ku-ring-gai (A)	1	M	33010
Kyogle (A)	0	F	424
Kyogle (A)	0	M	424
Kyogle (A)	1	F	3546
Kyogle (A)	1	M	3598
Lachlan (A)	0	F	129
Lachlan (A)	0	M	105
Lachlan (A)	1	F	2577
Lachlan (A)	1	M	2578
Lake Macquarie (C)	0	F	10325
Lake Macquarie (C)	0	M	9370
Lake Macquarie (C)	1	F	85855
Lake Macquarie (C)	1	M	82400
Lane Cove (A)	0	F	6815
Lane Cove (A)	0	M	6245
Lane Cove (A)	1	F	10659
Lane Cove (A)	1	M	10608
Leeton (A)	0	F	434
Leeton (A)	0	M	467
Leeton (A)	1	F	4597
Leeton (A)	1	M	4494
Lismore (C)	0	F	2091
Lismore (C)	0	M	1957
Lismore (C)	1	F	18158
Lismore (C)	1	M	17201
Lithgow (C)	0	F	945
Lithgow (C)	0	M	1019
Lithgow (C)	1	F	8255
Lithgow (C)	1	M	8525
Liverpool (C)	0	F	42871
Liverpool (C)	0	M	40473
Liverpool (C)	1	F	52385
Liverpool (C)	1	M	53161
Liverpool Plains (A)	0	F	181
Liverpool Plains (A)	0	M	160
Liverpool Plains (A)	1	F	3206
Liverpool Plains (A)	1	M	3297
Lockhart (A)	0	F	85
Lockhart (A)	0	M	61
Lockhart (A)	1	F	1315
Lockhart (A)	1	M	1329
Maitland (C)	0	F	3190
Maitland (C)	0	M	2960
Maitland (C)	1	F	34258
Maitland (C)	1	M	32733
Mid-Coast (A)	0	F	4347
Mid-Coast (A)	0	M	4097
Mid-Coast (A)	1	F	37989
Mid-Coast (A)	1	M	36293
Mid-Western Regional (A)	0	F	956
Mid-Western Regional (A)	0	M	859
Mid-Western Regional (A)	1	F	9657
Mid-Western Regional (A)	1	M	9866
Moree Plains (A)	0	F	332
Moree Plains (A)	0	M	353
Moree Plains (A)	1	F	5299
Moree Plains (A)	1	M	5378
Mosman (A)	0	F	5146
Mosman (A)	0	M	4371
Mosman (A)	1	F	9089
Mosman (A)	1	M	7860
Murray River (A)	0	F	433
Murray River (A)	0	M	378
Murray River (A)	1	F	4905
Murray River (A)	1	M	4879
Murrumbidgee (A)	0	F	116
Murrumbidgee (A)	0	M	119
Murrumbidgee (A)	1	F	1459
Murrumbidgee (A)	1	M	1648
Muswellbrook (A)	0	F	592
Muswellbrook (A)	0	M	678
Muswellbrook (A)	1	F	6647
Muswellbrook (A)	1	M	6947
Nambucca (A)	0	F	930
Nambucca (A)	0	M	835
Nambucca (A)	1	F	7947
Nambucca (A)	1	M	7707
Narrabri (A)	0	F	283
Narrabri (A)	0	M	268
Narrabri (A)	1	F	5442
Narrabri (A)	1	M	5461
Narrandera (A)	0	F	129
Narrandera (A)	0	M	143
Narrandera (A)	1	F	2465
Narrandera (A)	1	M	2394
Narromine (A)	0	F	112
Narromine (A)	0	M	119
Narromine (A)	1	F	2755
Narromine (A)	1	M	2733
Newcastle (C)	0	F	11103
Newcastle (C)	0	M	10530
Newcastle (C)	1	F	64049
Newcastle (C)	1	M	62344
North Sydney (A)	0	F	13733
North Sydney (A)	0	M	11943
North Sydney (A)	1	F	19258
North Sydney (A)	1	M	17414
Northern Beaches (A)	0	F	37987
Northern Beaches (A)	0	M	35090
Northern Beaches (A)	1	F	84532
Northern Beaches (A)	1	M	81966
Oberon (A)	0	F	223
Oberon (A)	0	M	259
Oberon (A)	1	F	2012
Oberon (A)	1	M	2158
Orange (C)	0	F	1990
Orange (C)	0	M	1799
Orange (C)	1	F	17268
Orange (C)	1	M	16385
Parkes (A)	0	F	423
Parkes (A)	0	M	358
Parkes (A)	1	F	6240
Parkes (A)	1	M	6091
Parramatta (C)	0	F	56500
Parramatta (C)	0	M	55709
Parramatta (C)	1	F	50142
Parramatta (C)	1	M	50916
Penrith (C)	0	F	21639
Penrith (C)	0	M	20762
Penrith (C)	1	F	71637
Penrith (C)	1	M	70241
Port Macquarie-Hastings (A)	0	F	4728
Port Macquarie-Hastings (A)	0	M	4238
Port Macquarie-Hastings (A)	1	F	33215
Port Macquarie-Hastings (A)	1	M	30643
Port Stephens (A)	0	F	3961
Port Stephens (A)	0	M	3719
Port Stephens (A)	1	F	28405
Port Stephens (A)	1	M	27856
Queanbeyan-Palerang Regional (A)	0	F	4862
Queanbeyan-Palerang Regional (A)	0	M	4815
Queanbeyan-Palerang Regional (A)	1	F	20906
Queanbeyan-Palerang Regional (A)	1	M	21088
Randwick (C)	0	F	29670
Randwick (C)	0	M	27932
Randwick (C)	1	F	36454
Randwick (C)	1	M	35923
Richmond Valley (A)	0	F	723
Richmond Valley (A)	0	M	568
Richmond Valley (A)	1	F	9708
Richmond Valley (A)	1	M	9717
Rockdale (C)	0	F	26119
Rockdale (C)	0	M	25095
Rockdale (C)	1	F	25397
Rockdale (C)	1	M	25234
Ryde (C)	0	F	28807
Ryde (C)	0	M	25873
Ryde (C)	1	F	28334
Ryde (C)	1	M	28100
Shellharbour (C)	0	F	6009
Shellharbour (C)	0	M	5405
Shellharbour (C)	1	F	26907
Shellharbour (C)	1	M	26043
Shoalhaven (C)	0	F	6565
Shoalhaven (C)	0	M	6213
Shoalhaven (C)	1	F	39727
Shoalhaven (C)	1	M	39012
Singleton (A)	0	F	924
Singleton (A)	0	M	885
Singleton (A)	1	F	9434
Singleton (A)	1	M	9859
Snowy Monaro Regional (A)	0	F	1276
Snowy Monaro Regional (A)	0	M	1304
Snowy Monaro Regional (A)	1	F	7518
Snowy Monaro Regional (A)	1	M	8123
Snowy Valleys (A)	0	F	599
Snowy Valleys (A)	0	M	606
Snowy Valleys (A)	1	F	5772
Snowy Valleys (A)	1	M	5936
Strathfield (A)	0	F	11366
Strathfield (A)	0	M	11344
Strathfield (A)	1	F	7220
Strathfield (A)	1	M	7582
Sutherland Shire (A)	0	F	20752
Sutherland Shire (A)	0	M	18728
Sutherland Shire (A)	1	F	86233
Sutherland Shire (A)	1	M	83436
Sydney (C)	0	F	50119
Sydney (C)	0	M	49646
Sydney (C)	1	F	38520
Sydney (C)	1	M	43571
Tamworth Regional (A)	0	F	2011
Tamworth Regional (A)	0	M	2031
Tamworth Regional (A)	1	F	25935
Tamworth Regional (A)	1	M	24542
Temora (A)	0	F	145
Temora (A)	0	M	138
Temora (A)	1	F	2712
Temora (A)	1	M	2668
Tenterfield (A)	0	F	250
Tenterfield (A)	0	M	256
Tenterfield (A)	1	F	2668
Tenterfield (A)	1	M	2593
The Hills Shire (A)	0	F	28539
The Hills Shire (A)	0	M	26706
The Hills Shire (A)	1	F	48695
The Hills Shire (A)	1	M	48281
Tweed (A)	0	F	7067
Tweed (A)	0	M	6283
Tweed (A)	1	F	36331
Tweed (A)	1	M	34167
Upper Hunter Shire (A)	0	F	528
Upper Hunter Shire (A)	0	M	524
Upper Hunter Shire (A)	1	F	5849
Upper Hunter Shire (A)	1	M	5715
Upper Lachlan Shire (A)	0	F	281
Upper Lachlan Shire (A)	0	M	237
Upper Lachlan Shire (A)	1	F	3145
Upper Lachlan Shire (A)	1	M	3287
Uralla (A)	0	F	204
Uralla (A)	0	M	194
Uralla (A)	1	F	2652
Uralla (A)	1	M	2492
Wagga Wagga (C)	0	F	2874
Wagga Wagga (C)	0	M	2971
Wagga Wagga (C)	1	F	26999
Wagga Wagga (C)	1	M	25514
Walcha (A)	0	F	80
Walcha (A)	0	M	77
Walcha (A)	1	F	1260
Walcha (A)	1	M	1287
Walgett (A)	0	F	269
Walgett (A)	0	M	293
Walgett (A)	1	F	2211
Walgett (A)	1	M	2500
Warren (A)	0	F	68
Warren (A)	0	M	47
Warren (A)	1	F	1124
Warren (A)	1	M	1150
Warrumbungle Shire (A)	0	F	289
Warrumbungle Shire (A)	0	M	266
Warrumbungle Shire (A)	1	F	3818
Warrumbungle Shire (A)	1	M	3837
Waverley (A)	0	F	13617
Waverley (A)	0	M	12409
Waverley (A)	1	F	17008
Waverley (A)	1	M	16563
Weddin (A)	0	F	111
Weddin (A)	0	M	91
Weddin (A)	1	F	1531
Weddin (A)	1	M	1555
Wentworth (A)	0	F	185
Wentworth (A)	0	M	176
Wentworth (A)	1	F	2747
Wentworth (A)	1	M	2904
Western Plains Regional (A)	0	F	1827
Western Plains Regional (A)	0	M	1783
Western Plains Regional (A)	1	F	21443
Western Plains Regional (A)	1	M	20641
Willoughby (C)	0	F	18321
Willoughby (C)	0	M	15523
Willoughby (C)	1	F	18349
Willoughby (C)	1	M	18342
Wingecarribee (A)	0	F	4004
Wingecarribee (A)	0	M	3606
Wingecarribee (A)	1	F	19262
Wingecarribee (A)	1	M	17639
Wollondilly (A)	0	F	2977
Wollondilly (A)	0	M	2754
Wollondilly (A)	1	F	19862
Wollondilly (A)	1	M	19941
Wollongong (C)	0	F	22482
Wollongong (C)	0	M	21436
Wollongong (C)	1	F	74692
Wollongong (C)	1	M	73243
Woollahra (A)	0	F	9420
Woollahra (A)	0	M	8226
Woollahra (A)	1	F	16865
Woollahra (A)	1	M	14685
Yass Valley (A)	0	F	879
Yass Valley (A)	0	M	789
Yass Valley (A)	1	F	6757
Yass Valley (A)	1	M	6556
Unincorporated NSW	0	F	47
Unincorporated NSW	0	M	42
Unincorporated NSW	1	F	390
Unincorporated NSW	1	M	449
No usual address (NSW)	0	F	1346
No usual address (NSW)	0	M	1663
No usual address (NSW)	1	F	2726
No usual address (NSW)	1	M	4304
Migratory - Offshore - Shipping (NSW)	0	F	86
Migratory - Offshore - Shipping (NSW)	0	M	60
Migratory - Offshore - Shipping (NSW)	1	F	135
Migratory - Offshore - Shipping (NSW)	1	M	102
Alpine (S)	0	F	886
Alpine (S)	0	M	810
Alpine (S)	1	F	4752
Alpine (S)	1	M	4672
Ararat (RC)	0	F	483
Ararat (RC)	0	M	619
Ararat (RC)	1	F	4488
Ararat (RC)	1	M	5056
Ballarat (C)	0	F	5032
Ballarat (C)	0	M	4623
Ballarat (C)	1	F	44145
Ballarat (C)	1	M	40919
Banyule (C)	0	F	14891
Banyule (C)	0	M	13713
Banyule (C)	1	F	44526
Banyule (C)	1	M	42563
Bass Coast (S)	0	F	2430
Bass Coast (S)	0	M	2308
Bass Coast (S)	1	F	12980
Bass Coast (S)	1	M	12171
Baw Baw (S)	0	F	2759
Baw Baw (S)	0	M	2490
Baw Baw (S)	1	F	20182
Baw Baw (S)	1	M	19235
Bayside (C)	0	F	13161
Bayside (C)	0	M	11670
Bayside (C)	1	F	34914
Bayside (C)	1	M	32033
Benalla (RC)	0	F	590
Benalla (RC)	0	M	499
Benalla (RC)	1	F	5882
Benalla (RC)	1	M	5576
Boroondara (C)	0	F	27604
Boroondara (C)	0	M	24145
Boroondara (C)	1	F	55319
Boroondara (C)	1	M	52094
Brimbank (C)	0	F	46961
Brimbank (C)	0	M	46044
Brimbank (C)	1	F	43086
Brimbank (C)	1	M	44077
Buloke (S)	0	F	184
Buloke (S)	0	M	163
Buloke (S)	1	F	2570
Buloke (S)	1	M	2631
Campaspe (S)	0	F	1359
Campaspe (S)	0	M	1148
Campaspe (S)	1	F	15702
Campaspe (S)	1	M	15544
Cardinia (S)	0	F	9059
Cardinia (S)	0	M	8785
Cardinia (S)	1	F	35718
Cardinia (S)	1	M	34655
Casey (C)	0	F	57538
Casey (C)	0	M	56886
Casey (C)	1	F	84322
Casey (C)	1	M	83707
Central Goldfields (S)	0	F	602
Central Goldfields (S)	0	M	564
Central Goldfields (S)	1	F	5381
Central Goldfields (S)	1	M	5270
Colac-Otway (S)	0	F	895
Colac-Otway (S)	0	M	916
Colac-Otway (S)	1	F	8735
Colac-Otway (S)	1	M	8714
Corangamite (S)	0	F	515
Corangamite (S)	0	M	508
Corangamite (S)	1	F	6724
Corangamite (S)	1	M	6819
Darebin (C)	0	F	25076
Darebin (C)	0	M	23767
Darebin (C)	1	F	45105
Darebin (C)	1	M	41800
East Gippsland (S)	0	F	2546
East Gippsland (S)	0	M	2344
East Gippsland (S)	1	F	18061
East Gippsland (S)	1	M	17558
Frankston (C)	0	F	15146
Frankston (C)	0	M	13706
Frankston (C)	1	F	48783
Frankston (C)	1	M	47157
Gannawarra (S)	0	F	300
Gannawarra (S)	0	M	251
Gannawarra (S)	1	F	4575
Gannawarra (S)	1	M	4544
Glen Eira (C)	0	F	27097
Glen Eira (C)	0	M	24655
Glen Eira (C)	1	F	42026
Glen Eira (C)	1	M	40002
Glenelg (S)	0	F	782
Glenelg (S)	0	M	711
Glenelg (S)	1	F	8095
Glenelg (S)	1	M	8081
Golden Plains (S)	0	F	1023
Golden Plains (S)	0	M	1002
Golden Plains (S)	1	F	8942
Golden Plains (S)	1	M	9284
Greater Bendigo (C)	0	F	4539
Greater Bendigo (C)	0	M	4278
Greater Bendigo (C)	1	F	48081
Greater Bendigo (C)	1	M	45241
Greater Dandenong (C)	0	F	43382
Greater Dandenong (C)	0	M	44383
Greater Dandenong (C)	1	F	26388
Greater Dandenong (C)	1	M	28090
Greater Geelong (C)	0	F	19307
Greater Geelong (C)	0	M	18674
Greater Geelong (C)	1	F	92873
Greater Geelong (C)	1	M	87066
Greater Shepparton (C)	0	F	4733
Greater Shepparton (C)	0	M	4771
Greater Shepparton (C)	1	F	24464
Greater Shepparton (C)	1	M	24027
Hepburn (S)	0	F	1053
Hepburn (S)	0	M	966
Hepburn (S)	1	F	6007
Hepburn (S)	1	M	5642
Hindmarsh (S)	0	F	255
Hindmarsh (S)	0	M	212
Hindmarsh (S)	1	F	2366
Hindmarsh (S)	1	M	2414
Hobsons Bay (C)	0	F	13931
Hobsons Bay (C)	0	M	13165
Hobsons Bay (C)	1	F	28426
Hobsons Bay (C)	1	M	27753
Horsham (RC)	0	F	656
Horsham (RC)	0	M	536
Horsham (RC)	1	F	8769
Horsham (RC)	1	M	8444
Hume (C)	0	F	35227
Hume (C)	0	M	35306
Hume (C)	1	F	57397
Hume (C)	1	M	56444
Indigo (S)	0	F	713
Indigo (S)	0	M	653
Indigo (S)	1	F	6817
Indigo (S)	1	M	6638
Kingston (C) (Vic.)	0	F	24677
Kingston (C) (Vic.)	0	M	22568
Kingston (C) (Vic.)	1	F	48816
Kingston (C) (Vic.)	1	M	46968
Knox (C)	0	F	24486
Knox (C)	0	M	22027
Knox (C)	1	F	50867
Knox (C)	1	M	50050
Latrobe (C) (Vic.)	0	F	4786
Latrobe (C) (Vic.)	0	M	4321
Latrobe (C) (Vic.)	1	F	29210
Latrobe (C) (Vic.)	1	M	28188
Loddon (S)	0	F	303
Loddon (S)	0	M	311
Loddon (S)	1	F	2930
Loddon (S)	1	M	3046
Macedon Ranges (S)	0	F	2850
Macedon Ranges (S)	0	M	2879
Macedon Ranges (S)	1	F	18694
Macedon Ranges (S)	1	M	18096
Manningham (C)	0	F	24500
Manningham (C)	0	M	21883
Manningham (C)	1	F	32760
Manningham (C)	1	M	32011
Mansfield (S)	0	F	487
Mansfield (S)	0	M	463
Mansfield (S)	1	F	3417
Mansfield (S)	1	M	3383
Maribyrnong (C)	0	F	16282
Maribyrnong (C)	0	M	16706
Maribyrnong (C)	1	F	21540
Maribyrnong (C)	1	M	21597
Maroondah (C)	0	F	13457
Maroondah (C)	0	M	12147
Maroondah (C)	1	F	40832
Maroondah (C)	1	M	38826
Melbourne (C)	0	F	40259
Melbourne (C)	0	M	35538
Melbourne (C)	1	F	21721
Melbourne (C)	1	M	22715
Melton (C)	0	F	20736
Melton (C)	0	M	19878
Melton (C)	1	F	43350
Melton (C)	1	M	42676
Mildura (RC)	0	F	2913
Mildura (RC)	0	M	2900
Mildura (RC)	1	F	21820
Mildura (RC)	1	M	20920
Mitchell (S)	0	F	2342
Mitchell (S)	0	M	2373
Mitchell (S)	1	F	16026
Mitchell (S)	1	M	16324
Moira (S)	0	F	1340
Moira (S)	0	M	1334
Moira (S)	1	F	11909
Moira (S)	1	M	11841
Monash (C)	0	F	46291
Monash (C)	0	M	43298
Monash (C)	1	F	42049
Monash (C)	1	M	42018
Moonee Valley (C)	0	F	17107
Moonee Valley (C)	0	M	15158
Moonee Valley (C)	1	F	39354
Moonee Valley (C)	1	M	37544
Moorabool (S)	0	F	2009
Moorabool (S)	0	M	1911
Moorabool (S)	1	F	12923
Moorabool (S)	1	M	12716
Moreland (C)	0	F	27951
Moreland (C)	0	M	27276
Moreland (C)	1	F	49537
Moreland (C)	1	M	46753
Mornington Peninsula (S)	0	F	14419
Mornington Peninsula (S)	0	M	13209
Mornington Peninsula (S)	1	F	60275
Mornington Peninsula (S)	1	M	56671
Mount Alexander (S)	0	F	1010
Mount Alexander (S)	0	M	1147
Mount Alexander (S)	1	F	7437
Mount Alexander (S)	1	M	7411
Moyne (S)	0	F	623
Moyne (S)	0	M	572
Moyne (S)	1	F	6893
Moyne (S)	1	M	6950
Murrindindi (S)	0	F	753
Murrindindi (S)	0	M	767
Murrindindi (S)	1	F	5344
Murrindindi (S)	1	M	5519
Nillumbik (S)	0	F	4835
Nillumbik (S)	0	M	4716
Nillumbik (S)	1	F	24771
Nillumbik (S)	1	M	24185
Northern Grampians (S)	0	F	454
Northern Grampians (S)	0	M	393
Northern Grampians (S)	1	F	4827
Northern Grampians (S)	1	M	4810
Port Phillip (C)	0	F	16332
Port Phillip (C)	0	M	15543
Port Phillip (C)	1	F	29956
Port Phillip (C)	1	M	28471
Pyrenees (S)	0	F	315
Pyrenees (S)	0	M	360
Pyrenees (S)	1	F	2751
Pyrenees (S)	1	M	3118
Queenscliffe (B)	0	F	148
Queenscliffe (B)	0	M	150
Queenscliffe (B)	1	F	1232
Queenscliffe (B)	1	M	1048
South Gippsland (S)	0	F	1685
South Gippsland (S)	0	M	1462
South Gippsland (S)	1	F	11627
South Gippsland (S)	1	M	11337
Southern Grampians (S)	0	F	644
Southern Grampians (S)	0	M	533
Southern Grampians (S)	1	F	6890
Southern Grampians (S)	1	M	6626
Stonnington (C)	0	F	17406
Stonnington (C)	0	M	15327
Stonnington (C)	1	F	32951
Stonnington (C)	1	M	30206
Strathbogie (S)	0	F	490
Strathbogie (S)	0	M	434
Strathbogie (S)	1	F	4198
Strathbogie (S)	1	M	4144
Surf Coast (S)	0	F	1710
Surf Coast (S)	0	M	1645
Surf Coast (S)	1	F	12185
Surf Coast (S)	1	M	11983
Swan Hill (RC)	0	F	1186
Swan Hill (RC)	0	M	1210
Swan Hill (RC)	1	F	7661
Swan Hill (RC)	1	M	7701
Towong (S)	0	F	258
Towong (S)	0	M	224
Towong (S)	1	F	2401
Towong (S)	1	M	2556
Wangaratta (RC)	0	F	1182
Wangaratta (RC)	0	M	1097
Wangaratta (RC)	1	F	12272
Wangaratta (RC)	1	M	11439
Warrnambool (C)	0	F	1405
Warrnambool (C)	0	M	1326
Warrnambool (C)	1	F	14696
Warrnambool (C)	1	M	13573
Wellington (S)	0	F	2252
Wellington (S)	0	M	2303
Wellington (S)	1	F	17150
Wellington (S)	1	M	17475
West Wimmera (S)	0	F	125
West Wimmera (S)	0	M	112
West Wimmera (S)	1	F	1676
West Wimmera (S)	1	M	1724
Whitehorse (C)	0	F	32711
Whitehorse (C)	0	M	29635
Whitehorse (C)	1	F	47651
Whitehorse (C)	1	M	45109
Whittlesea (C)	0	F	35336
Whittlesea (C)	0	M	34805
Whittlesea (C)	1	F	58440
Whittlesea (C)	1	M	56867
Wodonga (C)	0	F	2019
Wodonga (C)	0	M	1934
Wodonga (C)	1	F	16645
Wodonga (C)	1	M	16035
Wyndham (C)	0	F	45207
Wyndham (C)	0	M	45041
Wyndham (C)	1	F	56937
Wyndham (C)	1	M	57611
Yarra (C)	0	F	13355
Yarra (C)	0	M	11782
Yarra (C)	1	F	26959
Yarra (C)	1	M	26099
Yarra Ranges (S)	0	F	12557
Yarra Ranges (S)	0	M	11865
Yarra Ranges (S)	1	F	58818
Yarra Ranges (S)	1	M	57731
Yarriambiack (S)	0	F	209
Yarriambiack (S)	0	M	187
Yarriambiack (S)	1	F	2787
Yarriambiack (S)	1	M	2866
Unincorporated Vic	0	F	85
