LGA_NAME16	PrivateDwelling	persons
Gunnedah (A)	0	1143
Gunnedah (A)	1	11098
Gwydir (A)	0	663
Gwydir (A)	1	4605
Hawkesbury (C)	0	4345
Hawkesbury (C)	1	59845
Hay (A)	0	530
Hay (A)	1	2459
Hilltops (A)	0	1496
Hilltops (A)	1	16755
Hornsby (A)	0	6179
Hornsby (A)	1	135035
Hunters Hill (A)	0	1687
Hunters Hill (A)	1	12114
Inner West (A)	0	16294
Inner West (A)	1	163454
Inverell (A)	0	1553
Inverell (A)	1	14774
Junee (A)	0	1343
Junee (A)	1	4798
Kempsey (A)	0	3792
Kempsey (A)	1	25405
Kiama (A)	0	1569
Kiama (A)	1	19435
Ku-ring-gai (A)	0	5471
Ku-ring-gai (A)	1	111307
Kyogle (A)	0	904
Kyogle (A)	1	7996
Lachlan (A)	0	792
Lachlan (A)	1	5335
Lake Macquarie (C)	0	8635
Lake Macquarie (C)	1	184894
Lane Cove (A)	0	2581
Lane Cove (A)	1	33460
Leeton (A)	0	1566
Leeton (A)	1	9585
Lismore (C)	0	4287
Lismore (C)	1	38934
Lithgow (C)	0	2554
Lithgow (C)	1	18148
Liverpool (C)	0	14256
Liverpool (C)	1	190283
Liverpool Plains (A)	0	719
Liverpool Plains (A)	1	6794
Lockhart (A)	0	306
Lockhart (A)	1	2731
Maitland (C)	0	3851
Maitland (C)	1	72432
Mid-Coast (A)	0	8051
Mid-Coast (A)	1	81805
Mid-Western Regional (A)	0	2895
Mid-Western Regional (A)	1	21066
Moree Plains (A)	0	2270
Moree Plains (A)	1	11277
Mosman (A)	0	2136
Mosman (A)	1	25708
Murray River (A)	0	1396
Murray River (A)	1	10322
Murrumbidgee (A)	0	479
Murrumbidgee (A)	1	3282
Muswellbrook (A)	0	1610
Muswellbrook (A)	1	14532
Nambucca (A)	0	1829
Nambucca (A)	1	17481
Narrabri (A)	0	1958
Narrabri (A)	1	11499
Narrandera (A)	0	812
Narrandera (A)	1	5049
Narromine (A)	0	671
Narromine (A)	1	5663
Newcastle (C)	0	11710
Newcastle (C)	1	142790
North Sydney (A)	0	6762
North Sydney (A)	1	60560
Northern Beaches (A)	0	14240
Northern Beaches (A)	1	234328
Oberon (A)	0	727
Oberon (A)	1	4492
Orange (C)	0	4176
Orange (C)	1	36425
Parkes (A)	0	1566
Parkes (A)	1	12852
Parramatta (C)	0	19751
Parramatta (C)	1	208589
Penrith (C)	0	12079
Penrith (C)	1	183219
Port Macquarie-Hastings (A)	0	7074
Port Macquarie-Hastings (A)	1	71753
Port Stephens (A)	0	5979
Port Stephens (A)	1	62924
Queanbeyan-Palerang Regional (A)	0	5144
Queanbeyan-Palerang Regional (A)	1	51031
Randwick (C)	0	16537
Randwick (C)	1	123906
Richmond Valley (A)	0	2306
Richmond Valley (A)	1	20790
Rockdale (C)	0	7774
Rockdale (C)	1	101689
Ryde (C)	0	8037
Ryde (C)	1	108478
Shellharbour (C)	0	3369
Shellharbour (C)	1	64137
Shoalhaven (C)	0	8934
Shoalhaven (C)	1	89073
Singleton (A)	0	2480
Singleton (A)	1	20541
Snowy Monaro Regional (A)	0	14847
Snowy Monaro Regional (A)	1	17740
Snowy Valleys (A)	0	1661
Snowy Valleys (A)	1	12572
Strathfield (A)	0	2639
Strathfield (A)	1	37202
Sutherland Shire (A)	0	9379
Sutherland Shire (A)	1	206020
Sydney (C)	0	53339
Sydney (C)	1	172394
Tamworth Regional (A)	0	5914
Tamworth Regional (A)	1	53537
Temora (A)	0	402
Temora (A)	1	5594
Tenterfield (A)	0	910
Tenterfield (A)	1	5815
The Hills Shire (A)	0	4799
The Hills Shire (A)	1	151270
Tweed (A)	0	9964
Tweed (A)	1	83464
Upper Hunter Shire (A)	0	1527
Upper Hunter Shire (A)	1	12467
Upper Lachlan Shire (A)	0	673
Upper Lachlan Shire (A)	1	6858
Uralla (A)	0	416
Uralla (A)	1	5493
Wagga Wagga (C)	0	7196
Wagga Wagga (C)	1	56079
Walcha (A)	0	401
Walcha (A)	1	2689
Walgett (A)	0	1326
Walgett (A)	1	5194
Warren (A)	0	306
Warren (A)	1	2346
Warrumbungle Shire (A)	0	1296
Warrumbungle Shire (A)	1	8071
Waverley (A)	0	8150
Waverley (A)	1	58269
Weddin (A)	0	330
Weddin (A)	1	3207
Wentworth (A)	0	1268
Wentworth (A)	1	5910
Western Plains Regional (A)	0	6687
Western Plains Regional (A)	1	44147
Willoughby (C)	0	5531
Willoughby (C)	1	68987
Wingecarribee (A)	0	4121
Wingecarribee (A)	1	43082
Wollondilly (A)	0	2427
Wollondilly (A)	1	45469
Wollongong (C)	0	13050
Wollongong (C)	1	188613
Woollahra (A)	0	5977
Woollahra (A)	1	47719
Yass Valley (A)	0	1137
Yass Valley (A)	1	14772
Unincorporated NSW	0	400
Unincorporated NSW	1	846
Migratory - Offshore - Shipping (NSW)	0	3279
Alpine (S)	0	2525
Alpine (S)	1	10814
Ararat (RC)	0	1745
Ararat (RC)	1	9711
Ballarat (C)	0	8037
Ballarat (C)	1	91959
Banyule (C)	0	6952
Banyule (C)	1	113665
Bass Coast (S)	0	3135
Bass Coast (S)	1	28843
Baw Baw (S)	0	3255
Baw Baw (S)	1	43853
Bayside (C)	0	5731
Bayside (C)	1	89101
Benalla (RC)	0	1201
Benalla (RC)	1	12289
Boroondara (C)	0	10484
Boroondara (C)	1	154120
Brimbank (C)	0	10712
Brimbank (C)	1	182733
Buloke (S)	0	632
Buloke (S)	1	5414
Campaspe (S)	0	3226
Campaspe (S)	1	33072
Cardinia (S)	0	4853
Cardinia (S)	1	87782
Casey (C)	0	13618
Casey (C)	1	283010
Central Goldfields (S)	0	934
Central Goldfields (S)	1	11839
Colac-Otway (S)	0	1820
Colac-Otway (S)	1	18623
Corangamite (S)	0	1311
Corangamite (S)	1	14233
Darebin (C)	0	11449
Darebin (C)	1	133890
East Gippsland (S)	0	4632
East Gippsland (S)	1	39078
Frankston (C)	0	8763
Frankston (C)	1	123791
Gannawarra (S)	0	811
Gannawarra (S)	1	9465
Glen Eira (C)	0	7547
Glen Eira (C)	1	131303
Glenelg (S)	0	1767
Glenelg (S)	1	17167
Golden Plains (S)	0	1020
Golden Plains (S)	1	20225
Greater Bendigo (C)	0	8532
Greater Bendigo (C)	1	100371
Greater Dandenong (C)	0	9553
Greater Dandenong (C)	1	141997
Greater Geelong (C)	0	17387
Greater Geelong (C)	1	211302
Greater Shepparton (C)	0	5900
Greater Shepparton (C)	1	56951
Hepburn (S)	0	1892
Hepburn (S)	1	13328
Hindmarsh (S)	0	462
Hindmarsh (S)	1	5104
Hobsons Bay (C)	0	4858
Hobsons Bay (C)	1	82884
Horsham (RC)	0	1399
Horsham (RC)	1	17785
Hume (C)	0	10921
Hume (C)	1	186083
Indigo (S)	0	1286
Indigo (S)	1	14167
Kingston (C) (Vic.)	0	7934
Kingston (C) (Vic.)	1	141078
Knox (C)	0	6638
Knox (C)	1	145655
Latrobe (C) (Vic.)	0	6271
Latrobe (C) (Vic.)	1	65570
Loddon (S)	0	833
Loddon (S)	1	6521
Macedon Ranges (S)	0	3249
Macedon Ranges (S)	1	41890
Manningham (C)	0	4988
Manningham (C)	1	109418
Mansfield (S)	0	1548
Mansfield (S)	1	7174
Maribyrnong (C)	0	6196
Maribyrnong (C)	1	75740
Maroondah (C)	0	5359
Maroondah (C)	1	103256
Melbourne (C)	0	43920
Melbourne (C)	1	113335
Melton (C)	0	7943
Melton (C)	1	126619
Mildura (RC)	0	5542
Mildura (RC)	1	48152
Mitchell (S)	0	3790
Mitchell (S)	1	36750
Moira (S)	0	2530
Moira (S)	1	25675
Monash (C)	0	12709
Monash (C)	1	169127
Moonee Valley (C)	0	6837
Moonee Valley (C)	1	108316
Moorabool (S)	0	1896
Moorabool (S)	1	29479
Moreland (C)	0	10207
Moreland (C)	1	150613
Mornington Peninsula (S)	0	11037
Mornington Peninsula (S)	1	139369
Mount Alexander (S)	0	2166
Mount Alexander (S)	1	16153
Moyne (S)	0	1318
Moyne (S)	1	14776
Murrindindi (S)	0	1350
Murrindindi (S)	1	11926
Nillumbik (S)	0	2242
Nillumbik (S)	1	57547
Northern Grampians (S)	0	1136
Northern Grampians (S)	1	10269
Port Phillip (C)	0	12884
Port Phillip (C)	1	87449
Pyrenees (S)	0	950
Pyrenees (S)	1	6117
Queenscliffe (B)	0	258
Queenscliffe (B)	1	2406
South Gippsland (S)	0	2351
South Gippsland (S)	1	25350
Southern Grampians (S)	0	1197
Southern Grampians (S)	1	14264
Stonnington (C)	0	9357
Stonnington (C)	1	93211
Strathbogie (S)	0	940
Strathbogie (S)	1	9052
Surf Coast (S)	0	2277
Surf Coast (S)	1	26349
Swan Hill (RC)	0	2850
Swan Hill (RC)	1	17644
Towong (S)	0	486
Towong (S)	1	5229
Wangaratta (RC)	0	2275
Wangaratta (RC)	1	25552
Warrnambool (C)	0	2936
Warrnambool (C)	1	30105
Wellington (S)	0	4405
Wellington (S)	1	37521
West Wimmera (S)	0	229
West Wimmera (S)	1	3513
Whitehorse (C)	0	8477
Whitehorse (C)	1	151832
Whittlesea (C)	0	9327
Whittlesea (C)	1	187260
Wodonga (C)	0	3399
Wodonga (C)	1	35443
Wyndham (C)	0	11349
Wyndham (C)	1	204224
Yarra (C)	0	9965
Yarra (C)	1	76777
Yarra Ranges (S)	0	7098
Yarra Ranges (S)	1	139138
Yarriambiack (S)	0	584
Yarriambiack (S)	1	5877
Unincorporated Vic	0	8008
Unincorporated Vic	1	361
Migratory - Offshore - Shipping (Vic.)	0	349
Aurukun (S)	0	102
Aurukun (S)	1	1183
Balonne (S)	0	688
Balonne (S)	1	3806
Banana (S)	0	2737
Banana (S)	1	12760
Barcaldine (R)	0	725
Barcaldine (R)	1	2515
Barcoo (S)	0	139
Barcoo (S)	1	232
Blackall-Tambo (R)	0	275
Blackall-Tambo (R)	1	1719
Boulia (S)	0	206
Boulia (S)	1	314
Brisbane (C)	0	86935
Brisbane (C)	1	1038684
Bulloo (S)	0	226
Bulloo (S)	1	298
Bundaberg (R)	0	9741
Bundaberg (R)	1	84406
Burdekin (S)	0	1769
Burdekin (S)	1	15624
Burke (S)	0	401
Burke (S)	1	338
Cairns (R)	0	27325
Cairns (R)	1	139402
Carpentaria (S)	0	1388
Carpentaria (S)	1	1740
Cassowary Coast (R)	0	5453
Cassowary Coast (R)	1	25495
Central Highlands (R) (Qld)	0	8602
Central Highlands (R) (Qld)	1	23643
Charters Towers (R)	0	2777
Charters Towers (R)	1	9994
Cherbourg (S)	0	58
Cherbourg (S)	1	1222
Cloncurry (S)	0	2193
Cloncurry (S)	1	2305
Cook (S)	0	2865
Cook (S)	1	3389
Croydon (S)	0	163
Croydon (S)	1	214
Diamantina (S)	0	250
Diamantina (S)	1	217
Doomadgee (S)	0	75
Doomadgee (S)	1	1395
Douglas (S)	0	7923
Douglas (S)	1	9666
Etheridge (S)	0	521
Etheridge (S)	1	711
Flinders (S) (Qld)	0	350
Flinders (S) (Qld)	1	1349
Fraser Coast (R)	0	13046
Fraser Coast (R)	1	91606
Gladstone (R)	0	7704
Gladstone (R)	1	55247
Gold Coast (C)	0	66966
Gold Coast (C)	1	504964
Goondiwindi (R)	0	1603
Goondiwindi (R)	1	9205
Gympie (R)	0	4891
Gympie (R)	1	44940
Hinchinbrook (S)	0	1726
Hinchinbrook (S)	1	9747
Hope Vale (S)	0	107
Hope Vale (S)	1	807
Ipswich (C)	0	13046
Ipswich (C)	1	178768
Isaac (R)	0	13036
Isaac (R)	1	16722
Kowanyama (S)	0	92
Kowanyama (S)	1	864
Livingstone (S)	0	4660
Livingstone (S)	1	31609
Lockhart River (S)	0	126
Lockhart River (S)	1	634
Lockyer Valley (R)	0	3528
Lockyer Valley (R)	1	34602
Logan (C)	0	17333
Logan (C)	1	282728
Longreach (R)	0	1469
Longreach (R)	1	3116
Mackay (R)	0	9955
Mackay (R)	1	102289
McKinlay (S)	0	809
McKinlay (S)	1	657
Mapoon (S)	0	40
Mapoon (S)	1	295
Maranoa (R)	0	2991
Maranoa (R)	1	10895
Mareeba (S)	0	3619
Mareeba (S)	1	18408
Moreton Bay (R)	0	23019
Moreton Bay (R)	1	396943
Mornington (S)	0	114
Mornington (S)	1	1029
Mount Isa (C)	0	3254
Mount Isa (C)	1	16184
Murweh (S)	0	737
Murweh (S)	1	3856
Napranum (S)	0	52
Napranum (S)	1	917
Noosa (S)	0	8974
Noosa (S)	1	47678
North Burnett (R)	0	1816
North Burnett (R)	1	9064
Northern Peninsula Area (R)	0	561
Northern Peninsula Area (R)	1	2663
Palm Island (S)	0	159
Palm Island (S)	1	2349
Paroo (S)	0	423
Paroo (S)	1	1437
Pormpuraaw (S)	0	67
Pormpuraaw (S)	1	711
Quilpie (S)	0	156
Quilpie (S)	1	721
Redland (C)	0	6540
Redland (C)	1	138134
Richmond (S)	0	214
Richmond (S)	1	720
Rockhampton (R)	0	8484
Rockhampton (R)	1	71081
Scenic Rim (R)	0	4344
Scenic Rim (R)	1	36317
Somerset (R)	0	2196
Somerset (R)	1	22292
South Burnett (R)	0	2889
South Burnett (R)	1	29105
Southern Downs (R)	0	2884
Southern Downs (R)	1	32011
Sunshine Coast (R)	0	28553
Sunshine Coast (R)	1	270603
Tablelands (R)	0	3410
Tablelands (R)	1	22201
Toowoomba (R)	0	14223
Toowoomba (R)	1	145309
Torres (S)	0	752
Torres (S)	1	3105
Torres Strait Island (R)	0	358
Torres Strait Island (R)	1	4109
Townsville (C)	0	22636
Townsville (C)	1	166950
Weipa (T)	0	1077
Weipa (T)	1	3311
Western Downs (R)	0	6834
Western Downs (R)	1	28665
Whitsunday (R)	0	12390
Whitsunday (R)	1	27269
Winton (S)	0	624
Winton (S)	1	1004
Woorabinda (S)	0	61
Woorabinda (S)	1	900
Wujal Wujal (S)	0	11
Wujal Wujal (S)	1	274
Yarrabah (S)	0	107
Yarrabah (S)	1	2476
Migratory - Offshore - Shipping (Qld)	0	1974
Adelaide (C)	0	11228
Adelaide (C)	1	16388
Adelaide Hills (DC)	0	1823
Adelaide Hills (DC)	1	36008
Alexandrina (DC)	0	1853
Alexandrina (DC)	1	23181
Anangu Pitjantjatjara (AC)	0	259
Anangu Pitjantjatjara (AC)	1	2064
Barossa (DC)	0	1446
Barossa (DC)	1	21667
Barunga West (DC)	0	241
Barunga West (DC)	1	2217
Berri and Barmera (DC)	0	951
Berri and Barmera (DC)	1	9625
Burnside (C)	0	2477
Burnside (C)	1	40886
Campbelltown (C) (SA)	0	1940
Campbelltown (C) (SA)	1	47552
Ceduna (DC)	0	915
Ceduna (DC)	1	3036
Charles Sturt (C)	0	5832
Charles Sturt (C)	1	104336
Clare and Gilbert Valleys (DC)	0	843
Clare and Gilbert Valleys (DC)	1	8088
Cleve (DC)	0	479
Cleve (DC)	1	1712
Coober Pedy (DC)	0	716
Coober Pedy (DC)	1	1391
Copper Coast (DC)	0	1259
Copper Coast (DC)	1	12600
Elliston (DC)	0	177
Elliston (DC)	1	956
Flinders Ranges (DC)	0	237
Flinders Ranges (DC)	1	1418
Franklin Harbour (DC)	0	357
Franklin Harbour (DC)	1	1117
Gawler (T)	0	1397
Gawler (T)	1	21286
Goyder (DC)	0	417
Goyder (DC)	1	3690
Grant (DC)	0	962
Grant (DC)	1	7073
Holdfast Bay (C)	0	3302
Holdfast Bay (C)	1	31677
Kangaroo Island (DC)	0	748
Kangaroo Island (DC)	1	3917
Karoonda East Murray (DC)	0	78
Karoonda East Murray (DC)	1	981
Kimba (DC)	0	139
Kimba (DC)	1	963
Kingston (DC) (SA)	0	181
Kingston (DC) (SA)	1	2062
Light (RegC)	0	855
Light (RegC)	1	13784
Lower Eyre Peninsula (DC)	0	635
Lower Eyre Peninsula (DC)	1	4809
Loxton Waikerie (DC)	0	875
Loxton Waikerie (DC)	1	10495
Mallala (DC)	0	498
Mallala (DC)	1	8161
Maralinga Tjarutja (AC)	0	11
Maralinga Tjarutja (AC)	1	51
Marion (C)	0	3989
Marion (C)	1	82914
Mid Murray (DC)	0	1048
Mid Murray (DC)	1	7501
Mitcham (C)	0	4002
Mitcham (C)	1	60180
Mount Barker (DC)	0	1899
Mount Barker (DC)	1	30899
Mount Gambier (C)	0	1911
Mount Gambier (C)	1	23886
Mount Remarkable (DC)	0	310
Mount Remarkable (DC)	1	2552
Murray Bridge (RC)	0	1648
Murray Bridge (RC)	1	18962
Naracoorte and Lucindale (DC)	0	524
Naracoorte and Lucindale (DC)	1	7565
Northern Areas (DC)	0	403
Northern Areas (DC)	1	4115
Norwood Payneham St Peters (C)	0	2408
Norwood Payneham St Peters (C)	1	32422
Onkaparinga (C)	0	8043
Onkaparinga (C)	1	155171
Orroroo/Carrieton (DC)	0	143
Orroroo/Carrieton (DC)	1	765
Peterborough (DC)	0	231
Peterborough (DC)	1	1475
Playford (C)	0	5819
Playford (C)	1	82912
Port Adelaide Enfield (C)	0	7736
Port Adelaide Enfield (C)	1	112156
Port Augusta (C)	0	2250
Port Augusta (C)	1	11774
Port Lincoln (C)	0	1455
Port Lincoln (C)	1	12287
Port Pirie City and Dists (M)	0	1649
Port Pirie City and Dists (M)	1	15734
Prospect (C)	0	933
Prospect (C)	1	19079
Renmark Paringa (DC)	0	1038
Renmark Paringa (DC)	1	8437
Robe (DC)	0	218
Robe (DC)	1	1172
Roxby Downs (M)	0	1386
Roxby Downs (M)	1	3227
Salisbury (C)	0	6796
Salisbury (C)	1	129813
Southern Mallee (DC)	0	233
Southern Mallee (DC)	1	1760
Streaky Bay (DC)	0	309
Streaky Bay (DC)	1	1819
Tatiara (DC)	0	584
Tatiara (DC)	1	5876
Tea Tree Gully (C)	0	3585
Tea Tree Gully (C)	1	92089
The Coorong (DC)	0	421
The Coorong (DC)	1	4846
Tumby Bay (DC)	0	370
Tumby Bay (DC)	1	2357
Unley (C)	0	2926
Unley (C)	1	34109
Victor Harbor (C)	0	1058
Victor Harbor (C)	1	13067
Wakefield (DC)	0	455
Wakefield (DC)	1	6202
Walkerville (M)	0	825
Walkerville (M)	1	6828
Wattle Range (DC)	0	798
Wattle Range (DC)	1	10437
West Torrens (C)	0	3589
West Torrens (C)	1	53656
Whyalla (C)	0	1828
Whyalla (C)	1	19851
Wudinna (DC)	0	204
Wudinna (DC)	1	1119
Yankalilla (DC)	0	496
Yankalilla (DC)	1	4569
Yorke Peninsula (DC)	0	968
Yorke Peninsula (DC)	1	9749
Unincorporated SA	0	3682
Unincorporated SA	1	2383
Migratory - Offshore - Shipping (SA)	0	219
Albany (C)	0	3537
Albany (C)	1	32229
Armadale (C)	0	4266
Armadale (C)	1	73930
Ashburton (S)	0	19641
Ashburton (S)	1	5226
Augusta-Margaret River (S)	0	1806
Augusta-Margaret River (S)	1	12323
Bassendean (T)	0	740
Bassendean (T)	1	14071
Bayswater (C)	0	4009
Bayswater (C)	1	59476
Belmont (C)	0	4506
Belmont (C)	1	34813
Beverley (S)	0	199
Beverley (S)	1	1463
Boddington (S)	0	729
Boddington (S)	1	1559
Boyup Brook (S)	0	142
Boyup Brook (S)	1	1499
Bridgetown-Greenbushes (S)	0	393
Bridgetown-Greenbushes (S)	1	4173
Brookton (S)	0	149
Brookton (S)	1	841
Broome (S)	0	8743
Broome (S)	1	14023
Broomehill-Tambellup (S)	0	136
Broomehill-Tambellup (S)	1	950
Bruce Rock (S)	0	94
Bruce Rock (S)	1	826
Bunbury (C)	0	3251
Bunbury (C)	1	28028
Busselton (C)	0	3682
Busselton (C)	1	32039
Cambridge (T)	0	1989
Cambridge (T)	1	24557
Canning (C)	0	4026
Canning (C)	1	84612
Capel (S)	0	933
Capel (S)	1	15573
Carnamah (S)	0	116
Carnamah (S)	1	474
Carnarvon (S)	0	3573
Carnarvon (S)	1	4513
Chapman Valley (S)	0	199
Chapman Valley (S)	1	1225
Chittering (S)	0	470
Chittering (S)	1	4820
Claremont (T)	0	1187
Claremont (T)	1	8721
Cockburn (C)	0	5979
Cockburn (C)	1	96504
Collie (S)	0	717
Collie (S)	1	7840
Coolgardie (S)	0	1115
Coolgardie (S)	1	2978
Coorow (S)	0	131
Coorow (S)	1	887
Corrigin (S)	0	117
Corrigin (S)	1	955
Cottesloe (T)	0	545
Cottesloe (T)	1	6806
Cranbrook (S)	0	120
Cranbrook (S)	1	910
Cuballing (S)	0	99
Cuballing (S)	1	699
Cue (S)	0	246
Cue (S)	1	131
Cunderdin (S)	0	277
Cunderdin (S)	1	1201
Dalwallinu (S)	0	179
Dalwallinu (S)	1	1234
Dandaragan (S)	0	659
Dandaragan (S)	1	2724
Dardanup (S)	0	894
Dardanup (S)	1	12633
Denmark (S)	0	794
Denmark (S)	1	4949
Derby-West Kimberley (S)	0	2985
Derby-West Kimberley (S)	1	6611
Donnybrook-Balingup (S)	0	555
Donnybrook-Balingup (S)	1	5075
Dowerin (S)	0	47
Dowerin (S)	1	631
Dumbleyung (S)	0	83
Dumbleyung (S)	1	580
Dundas (S)	0	981
Dundas (S)	1	555
East Fremantle (T)	0	513
East Fremantle (T)	1	6700
East Pilbara (S)	0	12888
East Pilbara (S)	1	4910
Esperance (S)	0	2260
Esperance (S)	1	11839
Exmouth (S)	0	2541
Exmouth (S)	1	2416
Fremantle (C)	0	3490
Fremantle (C)	1	25282
Gingin (S)	0	547
Gingin (S)	1	4504
Gnowangerup (S)	0	169
Gnowangerup (S)	1	1028
Goomalling (S)	0	123
Goomalling (S)	1	885
Gosnells (C)	0	5978
Gosnells (C)	1	110257
Greater Geraldton (C)	0	4203
Greater Geraldton (C)	1	34055
Halls Creek (S)	0	1398
Halls Creek (S)	1	2415
Harvey (S)	0	1839
Harvey (S)	1	23788
Irwin (S)	0	482
Irwin (S)	1	3193
Jerramungup (S)	0	180
Jerramungup (S)	1	917
Joondalup (C)	0	6042
Joondalup (C)	1	145377
Kalamunda (S)	0	3094
Kalamunda (S)	1	52927
Kalgoorlie/Boulder (C)	0	4446
Kalgoorlie/Boulder (C)	1	26092
Karratha (C)	0	7247
Karratha (C)	1	17734
Katanning (S)	0	604
Katanning (S)	1	3502
Kellerberrin (S)	0	142
Kellerberrin (S)	1	1060
Kent (S)	0	76
Kent (S)	1	458
Kojonup (S)	0	183
Kojonup (S)	1	1761
Kondinin (S)	0	329
Kondinin (S)	1	720
Koorda (S)	0	24
Koorda (S)	1	375
Kulin (S)	0	61
Kulin (S)	1	670
Kwinana (C)	0	3311
Kwinana (C)	1	34740
Lake Grace (S)	0	170
Lake Grace (S)	1	1059
Laverton (S)	0	2092
Laverton (S)	1	469
Leonora (S)	0	2023
Leonora (S)	1	756
Mandurah (C)	0	4987
Mandurah (C)	1	72603
Manjimup (S)	0	1087
Manjimup (S)	1	8135
Meekatharra (S)	0	1223
Meekatharra (S)	1	603
Melville (C)	0	5946
Melville (C)	1	90980
Menzies (S)	0	665
Menzies (S)	1	273
Merredin (S)	0	387
Merredin (S)	1	2963
Mingenew (S)	0	158
Mingenew (S)	1	420
Moora (S)	0	338
Moora (S)	1	2113
Morawa (S)	0	173
Morawa (S)	1	633
Mosman Park (T)	0	882
Mosman Park (T)	1	7683
Mount Magnet (S)	0	354
Mount Magnet (S)	1	340
Mount Marshall (S)	0	64
Mount Marshall (S)	1	467
Mukinbudin (S)	0	40
Mukinbudin (S)	1	496
Mundaring (S)	0	3520
Mundaring (S)	1	33648
Murchison (S)	0	169
Murchison (S)	1	95
Murray (S)	0	1311
Murray (S)	1	14819
Nannup (S)	0	184
Nannup (S)	1	1139
Narembeen (S)	0	74
Narembeen (S)	1	697
Narrogin (S)	0	793
Narrogin (S)	1	4345
Nedlands (C)	0	2166
Nedlands (C)	1	19565
Ngaanyatjarraku (S)	0	229
Ngaanyatjarraku (S)	1	1486
Northam (S)	0	1690
Northam (S)	1	9383
Northampton (S)	0	1685
Northampton (S)	1	2848
Nungarin (S)	0	19
Nungarin (S)	1	227
Peppermint Grove (S)	0	239
Peppermint Grove (S)	1	1370
Perenjori (S)	0	572
Perenjori (S)	1	395
Perth (C)	0	10281
Perth (C)	1	15946
Pingelly (S)	0	123
Pingelly (S)	1	983
Plantagenet (S)	0	575
Plantagenet (S)	1	4407
Port Hedland (T)	0	5694
Port Hedland (T)	1	11471
Quairading (S)	0	149
Quairading (S)	1	855
Ravensthorpe (S)	0	526
Ravensthorpe (S)	1	1326
Rockingham (C)	0	9193
Rockingham (C)	1	112503
Sandstone (S)	0	41
Sandstone (S)	1	107
Serpentine-Jarrahdale (S)	0	1712
Serpentine-Jarrahdale (S)	1	24554
Shark Bay (S)	0	1331
Shark Bay (S)	1	847
South Perth (C)	0	4259
South Perth (C)	1	37221
Stirling (C)	0	13535
Stirling (C)	1	192568
Subiaco (C)	0	2532
Subiaco (C)	1	16818
Swan (C)	0	8422
Swan (C)	1	123165
Tammin (S)	0	57
Tammin (S)	1	334
Three Springs (S)	0	82
Three Springs (S)	1	524
Toodyay (S)	0	449
Toodyay (S)	1	3905
Trayning (S)	0	64
Trayning (S)	1	278
Upper Gascoyne (S)	0	214
