LGA_NAME16	MaxSchoolingCompleted	Sex	persons
Botany Bay (C)	Year 12	F	12292
Botany Bay (C)	Year 12	M	11886
Bourke (A)	Did not go to school	M	10
Bourke (A)	Year 8	F	54
Bourke (A)	Year 8	M	76
Bourke (A)	Year 9	F	107
Bourke (A)	Year 9	M	90
Bourke (A)	Year 10	F	219
Bourke (A)	Year 10	M	256
Bourke (A)	Year 11	F	81
Bourke (A)	Year 11	M	72
Bourke (A)	Year 12	F	322
Bourke (A)	Year 12	M	251
Brewarrina (A)	Did not go to school	F	4
Brewarrina (A)	Did not go to school	M	9
Brewarrina (A)	Year 8	F	57
Brewarrina (A)	Year 8	M	82
Brewarrina (A)	Year 9	F	76
Brewarrina (A)	Year 9	M	89
Brewarrina (A)	Year 10	F	179
Brewarrina (A)	Year 10	M	190
Brewarrina (A)	Year 11	F	58
Brewarrina (A)	Year 11	M	35
Brewarrina (A)	Year 12	F	176
Brewarrina (A)	Year 12	M	133
Broken Hill (C)	Did not go to school	F	18
Broken Hill (C)	Did not go to school	M	27
Broken Hill (C)	Year 8	F	649
Broken Hill (C)	Year 8	M	699
Broken Hill (C)	Year 9	F	935
Broken Hill (C)	Year 9	M	822
Broken Hill (C)	Year 10	F	2512
Broken Hill (C)	Year 10	M	2372
Broken Hill (C)	Year 11	F	528
Broken Hill (C)	Year 11	M	602
Broken Hill (C)	Year 12	F	1978
Broken Hill (C)	Year 12	M	1691
Burwood (A)	Did not go to school	F	383
Burwood (A)	Did not go to school	M	276
Burwood (A)	Year 8	F	962
Burwood (A)	Year 8	M	627
Burwood (A)	Year 9	F	510
Burwood (A)	Year 9	M	462
Burwood (A)	Year 10	F	1585
Burwood (A)	Year 10	M	1450
Burwood (A)	Year 11	F	560
Burwood (A)	Year 11	M	554
Burwood (A)	Year 12	F	11539
Burwood (A)	Year 12	M	10977
Byron (A)	Did not go to school	F	17
Byron (A)	Did not go to school	M	36
Byron (A)	Year 8	F	340
Byron (A)	Year 8	M	330
Byron (A)	Year 9	F	597
Byron (A)	Year 9	M	604
Byron (A)	Year 10	F	2720
Byron (A)	Year 10	M	2650
Byron (A)	Year 11	F	924
Byron (A)	Year 11	M	944
Byron (A)	Year 12	F	7203
Byron (A)	Year 12	M	6112
Cabonne (A)	Did not go to school	F	12
Cabonne (A)	Did not go to school	M	16
Cabonne (A)	Year 8	F	276
Cabonne (A)	Year 8	M	383
Cabonne (A)	Year 9	F	426
Cabonne (A)	Year 9	M	502
Cabonne (A)	Year 10	F	1522
Cabonne (A)	Year 10	M	1759
Cabonne (A)	Year 11	F	384
Cabonne (A)	Year 11	M	338
Cabonne (A)	Year 12	F	2184
Cabonne (A)	Year 12	M	1725
Camden (A)	Did not go to school	F	152
Camden (A)	Did not go to school	M	111
Camden (A)	Year 8	F	1048
Camden (A)	Year 8	M	1004
Camden (A)	Year 9	F	2119
Camden (A)	Year 9	M	2056
Camden (A)	Year 10	F	8239
Camden (A)	Year 10	M	8819
Camden (A)	Year 11	F	1938
Camden (A)	Year 11	M	2181
Camden (A)	Year 12	F	15206
Camden (A)	Year 12	M	12888
Campbelltown (C) (NSW)	Did not go to school	F	712
Campbelltown (C) (NSW)	Did not go to school	M	448
Campbelltown (C) (NSW)	Year 8	F	2943
Campbelltown (C) (NSW)	Year 8	M	2608
Campbelltown (C) (NSW)	Year 9	F	4701
Campbelltown (C) (NSW)	Year 9	M	4409
Campbelltown (C) (NSW)	Year 10	F	15779
Campbelltown (C) (NSW)	Year 10	M	15516
Campbelltown (C) (NSW)	Year 11	F	4024
Campbelltown (C) (NSW)	Year 11	M	4134
Campbelltown (C) (NSW)	Year 12	F	30383
Campbelltown (C) (NSW)	Year 12	M	28004
Canada Bay (A)	Did not go to school	F	472
Canada Bay (A)	Did not go to school	M	341
Canada Bay (A)	Year 8	F	1741
Canada Bay (A)	Year 8	M	1301
Canada Bay (A)	Year 9	F	1371
Canada Bay (A)	Year 9	M	1114
Canada Bay (A)	Year 10	F	4946
Canada Bay (A)	Year 10	M	4142
Canada Bay (A)	Year 11	F	1319
Canada Bay (A)	Year 11	M	1425
Canada Bay (A)	Year 12	F	26069
Canada Bay (A)	Year 12	M	24300
Canterbury-Bankstown (A)	Did not go to school	F	4725
Canterbury-Bankstown (A)	Did not go to school	M	3342
Canterbury-Bankstown (A)	Year 8	F	10636
Canterbury-Bankstown (A)	Year 8	M	8962
Canterbury-Bankstown (A)	Year 9	F	7247
Canterbury-Bankstown (A)	Year 9	M	6743
Canterbury-Bankstown (A)	Year 10	F	22735
Canterbury-Bankstown (A)	Year 10	M	23087
Canterbury-Bankstown (A)	Year 11	F	6341
Canterbury-Bankstown (A)	Year 11	M	7019
Canterbury-Bankstown (A)	Year 12	F	77302
Canterbury-Bankstown (A)	Year 12	M	75950
Carrathool (A)	Did not go to school	F	3
Carrathool (A)	Did not go to school	M	8
Carrathool (A)	Year 8	F	59
Carrathool (A)	Year 8	M	105
Carrathool (A)	Year 9	F	93
Carrathool (A)	Year 9	M	112
Carrathool (A)	Year 10	F	262
Carrathool (A)	Year 10	M	377
Carrathool (A)	Year 11	F	81
Carrathool (A)	Year 11	M	90
Carrathool (A)	Year 12	F	414
Carrathool (A)	Year 12	M	324
Central Coast (C) (NSW)	Did not go to school	F	373
Central Coast (C) (NSW)	Did not go to school	M	440
Central Coast (C) (NSW)	Year 8	F	6243
Central Coast (C) (NSW)	Year 8	M	5782
Central Coast (C) (NSW)	Year 9	F	12641
Central Coast (C) (NSW)	Year 9	M	11066
Central Coast (C) (NSW)	Year 10	F	42386
Central Coast (C) (NSW)	Year 10	M	39168
Central Coast (C) (NSW)	Year 11	F	9137
Central Coast (C) (NSW)	Year 11	M	9614
Central Coast (C) (NSW)	Year 12	F	56725
Central Coast (C) (NSW)	Year 12	M	50879
Central Darling (A)	Did not go to school	M	8
Central Darling (A)	Year 8	F	58
Central Darling (A)	Year 8	M	101
Central Darling (A)	Year 9	F	78
Central Darling (A)	Year 9	M	99
Central Darling (A)	Year 10	F	195
Central Darling (A)	Year 10	M	187
Central Darling (A)	Year 11	F	56
Central Darling (A)	Year 11	M	56
Central Darling (A)	Year 12	F	174
Central Darling (A)	Year 12	M	164
Cessnock (C)	Did not go to school	F	53
Cessnock (C)	Did not go to school	M	66
Cessnock (C)	Year 8	F	1382
Cessnock (C)	Year 8	M	1383
Cessnock (C)	Year 9	F	2739
Cessnock (C)	Year 9	M	2421
Cessnock (C)	Year 10	F	7506
Cessnock (C)	Year 10	M	7958
Cessnock (C)	Year 11	F	1639
Cessnock (C)	Year 11	M	1727
Cessnock (C)	Year 12	F	6752
Cessnock (C)	Year 12	M	5387
Clarence Valley (A)	Did not go to school	F	56
Clarence Valley (A)	Did not go to school	M	75
Clarence Valley (A)	Year 8	F	1307
Clarence Valley (A)	Year 8	M	1561
Clarence Valley (A)	Year 9	F	2194
Clarence Valley (A)	Year 9	M	2289
Clarence Valley (A)	Year 10	F	7426
Clarence Valley (A)	Year 10	M	7089
Clarence Valley (A)	Year 11	F	1540
Clarence Valley (A)	Year 11	M	1385
Clarence Valley (A)	Year 12	F	6817
Clarence Valley (A)	Year 12	M	5952
Cobar (A)	Did not go to school	F	8
Cobar (A)	Did not go to school	M	6
Cobar (A)	Year 8	F	93
Cobar (A)	Year 8	M	152
Cobar (A)	Year 9	F	147
Cobar (A)	Year 9	M	174
Cobar (A)	Year 10	F	482
Cobar (A)	Year 10	M	636
Cobar (A)	Year 11	F	152
Cobar (A)	Year 11	M	157
Cobar (A)	Year 12	F	614
Cobar (A)	Year 12	M	451
Coffs Harbour (C)	Did not go to school	F	188
Coffs Harbour (C)	Did not go to school	M	159
Coffs Harbour (C)	Year 8	F	1463
Coffs Harbour (C)	Year 8	M	1610
Coffs Harbour (C)	Year 9	F	2604
Coffs Harbour (C)	Year 9	M	2572
Coffs Harbour (C)	Year 10	F	9121
Coffs Harbour (C)	Year 10	M	8464
Coffs Harbour (C)	Year 11	F	2259
Coffs Harbour (C)	Year 11	M	2234
Coffs Harbour (C)	Year 12	F	12364
Coffs Harbour (C)	Year 12	M	10723
Coolamon (A)	Did not go to school	F	4
Coolamon (A)	Did not go to school	M	3
Coolamon (A)	Year 8	F	83
Coolamon (A)	Year 8	M	134
Coolamon (A)	Year 9	F	186
Coolamon (A)	Year 9	M	202
Coolamon (A)	Year 10	F	523
Coolamon (A)	Year 10	M	595
Coolamon (A)	Year 11	F	108
Coolamon (A)	Year 11	M	119
Coolamon (A)	Year 12	F	593
Coolamon (A)	Year 12	M	408
Coonamble (A)	Did not go to school	F	11
Coonamble (A)	Did not go to school	M	15
Coonamble (A)	Year 8	F	104
Coonamble (A)	Year 8	M	173
Coonamble (A)	Year 9	F	130
Coonamble (A)	Year 9	M	168
Coonamble (A)	Year 10	F	386
Coonamble (A)	Year 10	M	432
Coonamble (A)	Year 11	F	121
Coonamble (A)	Year 11	M	109
Coonamble (A)	Year 12	F	516
Coonamble (A)	Year 12	M	342
Cowra (A)	Did not go to school	F	15
Cowra (A)	Did not go to school	M	24
Cowra (A)	Year 8	F	352
Cowra (A)	Year 8	M	492
Cowra (A)	Year 9	F	550
Cowra (A)	Year 9	M	608
Cowra (A)	Year 10	F	1720
Cowra (A)	Year 10	M	1792
Cowra (A)	Year 11	F	380
Cowra (A)	Year 11	M	306
Cowra (A)	Year 12	F	1634
Cowra (A)	Year 12	M	1294
Cumberland (A)	Did not go to school	F	3299
Cumberland (A)	Did not go to school	M	3215
Cumberland (A)	Year 8	F	5773
Cumberland (A)	Year 8	M	5853
Cumberland (A)	Year 9	F	3840
Cumberland (A)	Year 9	M	4188
Cumberland (A)	Year 10	F	12605
Cumberland (A)	Year 10	M	13473
Cumberland (A)	Year 11	F	3632
Cumberland (A)	Year 11	M	4375
Cumberland (A)	Year 12	F	48008
Cumberland (A)	Year 12	M	50758
Dungog (A)	Did not go to school	F	7
Dungog (A)	Did not go to school	M	9
Dungog (A)	Year 8	F	184
Dungog (A)	Year 8	M	235
Dungog (A)	Year 9	F	322
Dungog (A)	Year 9	M	377
Dungog (A)	Year 10	F	1238
Dungog (A)	Year 10	M	1402
Dungog (A)	Year 11	F	243
Dungog (A)	Year 11	M	257
Dungog (A)	Year 12	F	1336
Dungog (A)	Year 12	M	989
Edward River (A)	Did not go to school	F	18
Edward River (A)	Did not go to school	M	28
Edward River (A)	Year 8	F	217
Edward River (A)	Year 8	M	276
Edward River (A)	Year 9	F	351
Edward River (A)	Year 9	M	372
Edward River (A)	Year 10	F	907
Edward River (A)	Year 10	M	983
Edward River (A)	Year 11	F	360
Edward River (A)	Year 11	M	412
Edward River (A)	Year 12	F	1339
Edward River (A)	Year 12	M	1009
Eurobodalla (A)	Did not go to school	F	36
Eurobodalla (A)	Did not go to school	M	45
Eurobodalla (A)	Year 8	F	846
Eurobodalla (A)	Year 8	M	960
Eurobodalla (A)	Year 9	F	1505
Eurobodalla (A)	Year 9	M	1496
Eurobodalla (A)	Year 10	F	4847
Eurobodalla (A)	Year 10	M	4742
Eurobodalla (A)	Year 11	F	1208
Eurobodalla (A)	Year 11	M	1100
Eurobodalla (A)	Year 12	F	6116
Eurobodalla (A)	Year 12	M	5464
Fairfield (C)	Did not go to school	F	6435
Fairfield (C)	Did not go to school	M	4071
Fairfield (C)	Year 8	F	9339
Fairfield (C)	Year 8	M	7238
Fairfield (C)	Year 9	F	5039
Fairfield (C)	Year 9	M	4865
Fairfield (C)	Year 10	F	12876
Fairfield (C)	Year 10	M	13799
Fairfield (C)	Year 11	F	4098
Fairfield (C)	Year 11	M	4651
Fairfield (C)	Year 12	F	39148
Fairfield (C)	Year 12	M	38475
Federation (A)	Did not go to school	F	12
Federation (A)	Did not go to school	M	19
Federation (A)	Year 8	F	336
Federation (A)	Year 8	M	403
Federation (A)	Year 9	F	442
Federation (A)	Year 9	M	537
Federation (A)	Year 10	F	1274
Federation (A)	Year 10	M	1516
Federation (A)	Year 11	F	688
Federation (A)	Year 11	M	680
Federation (A)	Year 12	F	1746
Federation (A)	Year 12	M	1299
Forbes (A)	Did not go to school	F	7
Forbes (A)	Did not go to school	M	17
Forbes (A)	Year 8	F	198
Forbes (A)	Year 8	M	342
Forbes (A)	Year 9	F	341
Forbes (A)	Year 9	M	415
Forbes (A)	Year 10	F	1150
Forbes (A)	Year 10	M	1214
Forbes (A)	Year 11	F	300
Forbes (A)	Year 11	M	288
Forbes (A)	Year 12	F	1364
Forbes (A)	Year 12	M	1078
Georges River (A)	Did not go to school	F	1079
Georges River (A)	Did not go to school	M	731
Georges River (A)	Year 8	F	3150
Georges River (A)	Year 8	M	2350
Georges River (A)	Year 9	F	2952
Georges River (A)	Year 9	M	2393
Georges River (A)	Year 10	F	9282
Georges River (A)	Year 10	M	8181
Georges River (A)	Year 11	F	2554
Georges River (A)	Year 11	M	2848
Georges River (A)	Year 12	F	40458
Georges River (A)	Year 12	M	39173
Gilgandra (A)	Did not go to school	F	9
Gilgandra (A)	Did not go to school	M	3
Gilgandra (A)	Year 8	F	132
Gilgandra (A)	Year 8	M	192
Gilgandra (A)	Year 9	F	198
Gilgandra (A)	Year 9	M	213
Gilgandra (A)	Year 10	F	552
Gilgandra (A)	Year 10	M	579
Gilgandra (A)	Year 11	F	128
Gilgandra (A)	Year 11	M	106
Gilgandra (A)	Year 12	F	548
Gilgandra (A)	Year 12	M	393
Glen Innes Severn (A)	Did not go to school	F	14
Glen Innes Severn (A)	Did not go to school	M	10
Glen Innes Severn (A)	Year 8	F	289
Glen Innes Severn (A)	Year 8	M	334
Glen Innes Severn (A)	Year 9	F	328
Glen Innes Severn (A)	Year 9	M	404
Glen Innes Severn (A)	Year 10	F	1172
Glen Innes Severn (A)	Year 10	M	1141
Glen Innes Severn (A)	Year 11	F	233
Glen Innes Severn (A)	Year 11	M	209
Glen Innes Severn (A)	Year 12	F	1188
Glen Innes Severn (A)	Year 12	M	929
Goulburn Mulwaree (A)	Did not go to school	F	50
Goulburn Mulwaree (A)	Did not go to school	M	76
Goulburn Mulwaree (A)	Year 8	F	621
Goulburn Mulwaree (A)	Year 8	M	743
Goulburn Mulwaree (A)	Year 9	F	1073
Goulburn Mulwaree (A)	Year 9	M	1107
Goulburn Mulwaree (A)	Year 10	F	3668
Goulburn Mulwaree (A)	Year 10	M	3746
Goulburn Mulwaree (A)	Year 11	F	800
Goulburn Mulwaree (A)	Year 11	M	787
Goulburn Mulwaree (A)	Year 12	F	4545
Goulburn Mulwaree (A)	Year 12	M	3969
Greater Hume Shire (A)	Did not go to school	F	8
Greater Hume Shire (A)	Did not go to school	M	12
Greater Hume Shire (A)	Year 8	F	203
Greater Hume Shire (A)	Year 8	M	296
Greater Hume Shire (A)	Year 9	F	343
Greater Hume Shire (A)	Year 9	M	470
Greater Hume Shire (A)	Year 10	F	1144
Greater Hume Shire (A)	Year 10	M	1336
Greater Hume Shire (A)	Year 11	F	419
Greater Hume Shire (A)	Year 11	M	401
Greater Hume Shire (A)	Year 12	F	1550
Greater Hume Shire (A)	Year 12	M	1182
Griffith (C)	Did not go to school	F	150
Griffith (C)	Did not go to school	M	146
Griffith (C)	Year 8	F	772
Griffith (C)	Year 8	M	846
Griffith (C)	Year 9	F	771
Griffith (C)	Year 9	M	811
Griffith (C)	Year 10	F	2820
Griffith (C)	Year 10	M	3119
Griffith (C)	Year 11	F	696
Griffith (C)	Year 11	M	732
Griffith (C)	Year 12	F	3722
Griffith (C)	Year 12	M	3198
Gundagai (A)	Did not go to school	F	17
Gundagai (A)	Did not go to school	M	12
Gundagai (A)	Year 8	F	325
Gundagai (A)	Year 8	M	366
Gundagai (A)	Year 9	F	474
Gundagai (A)	Year 9	M	479
Gundagai (A)	Year 10	F	1481
Gundagai (A)	Year 10	M	1579
Gundagai (A)	Year 11	F	324
Gundagai (A)	Year 11	M	300
Gundagai (A)	Year 12	F	1591
Gundagai (A)	Year 12	M	1245
Gunnedah (A)	Did not go to school	F	19
Gunnedah (A)	Did not go to school	M	24
Gunnedah (A)	Year 8	F	275
Gunnedah (A)	Year 8	M	401
Gunnedah (A)	Year 9	F	431
Gunnedah (A)	Year 9	M	497
Gunnedah (A)	Year 10	F	1525
Gunnedah (A)	Year 10	M	1651
Gunnedah (A)	Year 11	F	351
Gunnedah (A)	Year 11	M	325
Gunnedah (A)	Year 12	F	1739
Gunnedah (A)	Year 12	M	1353
Gwydir (A)	Did not go to school	F	3
Gwydir (A)	Did not go to school	M	7
Gwydir (A)	Year 8	F	158
Gwydir (A)	Year 8	M	234
Gwydir (A)	Year 9	F	197
Gwydir (A)	Year 9	M	227
Gwydir (A)	Year 10	F	623
Gwydir (A)	Year 10	M	674
Gwydir (A)	Year 11	F	142
Gwydir (A)	Year 11	M	124
Gwydir (A)	Year 12	F	731
Gwydir (A)	Year 12	M	550
Hawkesbury (C)	Did not go to school	F	77
Hawkesbury (C)	Did not go to school	M	105
Hawkesbury (C)	Year 8	F	1038
Hawkesbury (C)	Year 8	M	1214
Hawkesbury (C)	Year 9	F	2062
Hawkesbury (C)	Year 9	M	2251
Hawkesbury (C)	Year 10	F	8091
Hawkesbury (C)	Year 10	M	8886
Hawkesbury (C)	Year 11	F	1813
Hawkesbury (C)	Year 11	M	1897
Hawkesbury (C)	Year 12	F	11340
Hawkesbury (C)	Year 12	M	9085
Hay (A)	Did not go to school	M	7
Hay (A)	Year 8	F	90
Hay (A)	Year 8	M	121
Hay (A)	Year 9	F	100
Hay (A)	Year 9	M	127
Hay (A)	Year 10	F	291
Hay (A)	Year 10	M	331
Hay (A)	Year 11	F	96
Hay (A)	Year 11	M	123
Hay (A)	Year 12	F	442
Hay (A)	Year 12	M	323
Hilltops (A)	Did not go to school	F	34
Hilltops (A)	Did not go to school	M	44
Hilltops (A)	Year 8	F	484
Hilltops (A)	Year 8	M	591
Hilltops (A)	Year 9	F	743
Hilltops (A)	Year 9	M	785
Hilltops (A)	Year 10	F	2253
Hilltops (A)	Year 10	M	2496
Hilltops (A)	Year 11	F	631
Hilltops (A)	Year 11	M	506
Hilltops (A)	Year 12	F	2682
Hilltops (A)	Year 12	M	2024
Hornsby (A)	Did not go to school	F	372
Hornsby (A)	Did not go to school	M	286
Hornsby (A)	Year 8	F	1310
Hornsby (A)	Year 8	M	1069
Hornsby (A)	Year 9	F	2372
Hornsby (A)	Year 9	M	2091
Hornsby (A)	Year 10	F	9034
Hornsby (A)	Year 10	M	7860
Hornsby (A)	Year 11	F	2779
Hornsby (A)	Year 11	M	2846
Hornsby (A)	Year 12	F	40431
Hornsby (A)	Year 12	M	38406
Hunters Hill (A)	Did not go to school	F	33
Hunters Hill (A)	Did not go to school	M	18
Hunters Hill (A)	Year 8	F	154
Hunters Hill (A)	Year 8	M	137
Hunters Hill (A)	Year 9	F	216
Hunters Hill (A)	Year 9	M	272
Hunters Hill (A)	Year 10	F	762
Hunters Hill (A)	Year 10	M	637
Hunters Hill (A)	Year 11	F	229
Hunters Hill (A)	Year 11	M	355
Hunters Hill (A)	Year 12	F	3876
Hunters Hill (A)	Year 12	M	3717
Inner West (A)	Did not go to school	F	1225
Inner West (A)	Did not go to school	M	787
Inner West (A)	Year 8	F	3514
Inner West (A)	Year 8	M	2766
Inner West (A)	Year 9	F	2004
Inner West (A)	Year 9	M	1958
Inner West (A)	Year 10	F	7384
Inner West (A)	Year 10	M	7750
Inner West (A)	Year 11	F	2699
Inner West (A)	Year 11	M	3016
Inner West (A)	Year 12	F	56003
Inner West (A)	Year 12	M	51325
Inverell (A)	Did not go to school	F	19
Inverell (A)	Did not go to school	M	24
Inverell (A)	Year 8	F	420
Inverell (A)	Year 8	M	582
Inverell (A)	Year 9	F	660
Inverell (A)	Year 9	M	701
Inverell (A)	Year 10	F	2103
Inverell (A)	Year 10	M	2106
Inverell (A)	Year 11	F	471
Inverell (A)	Year 11	M	415
Inverell (A)	Year 12	F	2312
Inverell (A)	Year 12	M	1813
Junee (A)	Did not go to school	F	11
Junee (A)	Did not go to school	M	4
Junee (A)	Year 8	F	126
Junee (A)	Year 8	M	137
Junee (A)	Year 9	F	209
Junee (A)	Year 9	M	223
Junee (A)	Year 10	F	655
Junee (A)	Year 10	M	758
Junee (A)	Year 11	F	155
Junee (A)	Year 11	M	166
Junee (A)	Year 12	F	751
Junee (A)	Year 12	M	590
Kempsey (A)	Did not go to school	F	30
Kempsey (A)	Did not go to school	M	48
Kempsey (A)	Year 8	F	871
Kempsey (A)	Year 8	M	969
Kempsey (A)	Year 9	F	1347
Kempsey (A)	Year 9	M	1396
Kempsey (A)	Year 10	F	3968
Kempsey (A)	Year 10	M	3815
Kempsey (A)	Year 11	F	767
Kempsey (A)	Year 11	M	832
Kempsey (A)	Year 12	F	3449
Kempsey (A)	Year 12	M	2937
Kiama (A)	Did not go to school	F	15
Kiama (A)	Did not go to school	M	24
Kiama (A)	Year 8	F	300
Kiama (A)	Year 8	M	315
Kiama (A)	Year 9	F	624
Kiama (A)	Year 9	M	575
Kiama (A)	Year 10	F	2515
Kiama (A)	Year 10	M	2316
Kiama (A)	Year 11	F	556
Kiama (A)	Year 11	M	584
Kiama (A)	Year 12	F	4444
Kiama (A)	Year 12	M	4165
Ku-ring-gai (A)	Did not go to school	F	202
Ku-ring-gai (A)	Did not go to school	M	132
Ku-ring-gai (A)	Year 8	F	765
Ku-ring-gai (A)	Year 8	M	615
Ku-ring-gai (A)	Year 9	F	1604
Ku-ring-gai (A)	Year 9	M	1390
Ku-ring-gai (A)	Year 10	F	5039
Ku-ring-gai (A)	Year 10	M	3439
