LGA_NAME16	PrivateDwelling	Sex	persons
Central Coast (C) (NSW)	0	F	10279
Central Coast (C) (NSW)	0	M	9276
Central Coast (C) (NSW)	1	F	156757
Central Coast (C) (NSW)	1	M	147250
Central Darling (A)	0	F	210
Central Darling (A)	0	M	299
Central Darling (A)	1	F	718
Central Darling (A)	1	M	796
Cessnock (C)	0	F	2375
Cessnock (C)	0	M	2924
Cessnock (C)	1	F	25500
Cessnock (C)	1	M	24593
Clarence Valley (A)	0	F	2980
Clarence Valley (A)	0	M	3278
Clarence Valley (A)	1	F	23161
Clarence Valley (A)	1	M	22562
Cobar (A)	0	F	351
Cobar (A)	0	M	540
Cobar (A)	1	F	1952
Cobar (A)	1	M	2044
Coffs Harbour (C)	0	F	4175
Coffs Harbour (C)	0	M	3983
Coffs Harbour (C)	1	F	34346
Coffs Harbour (C)	1	M	32084
Coolamon (A)	0	F	208
Coolamon (A)	0	M	205
Coolamon (A)	1	F	1886
Coolamon (A)	1	M	1886
Coonamble (A)	0	F	363
Coonamble (A)	0	M	346
Coonamble (A)	1	F	1610
Coonamble (A)	1	M	1615
Cowra (A)	0	F	623
Cowra (A)	0	M	585
Cowra (A)	1	F	5643
Cowra (A)	1	M	5537
Cumberland (A)	0	F	5577
Cumberland (A)	0	M	5436
Cumberland (A)	1	F	98947
Cumberland (A)	1	M	105092
Dungog (A)	0	F	318
Dungog (A)	0	M	332
Dungog (A)	1	F	4121
Dungog (A)	1	M	4062
Edward River (A)	0	F	544
Edward River (A)	0	M	555
Edward River (A)	1	F	3869
Edward River (A)	1	M	3799
Eurobodalla (A)	0	F	1953
Eurobodalla (A)	0	M	1935
Eurobodalla (A)	1	F	16821
Eurobodalla (A)	1	M	16110
Fairfield (C)	0	F	4483
Fairfield (C)	0	M	4148
Fairfield (C)	1	F	96085
Fairfield (C)	1	M	93407
Federation (A)	0	F	608
Federation (A)	0	M	625
Federation (A)	1	F	5486
Federation (A)	1	M	5410
Forbes (A)	0	F	576
Forbes (A)	0	M	647
Forbes (A)	1	F	4181
Forbes (A)	1	M	4222
Georges River (A)	0	F	3854
Georges River (A)	0	M	3291
Georges River (A)	1	F	71090
Georges River (A)	1	M	68206
Gilgandra (A)	0	F	210
Gilgandra (A)	0	M	213
Gilgandra (A)	1	F	1911
Gilgandra (A)	1	M	1842
Glen Innes Severn (A)	0	F	487
Glen Innes Severn (A)	0	M	640
Glen Innes Severn (A)	1	F	3904
Glen Innes Severn (A)	1	M	3688
Goulburn Mulwaree (A)	0	F	1266
Goulburn Mulwaree (A)	0	M	2140
Goulburn Mulwaree (A)	1	F	13288
Goulburn Mulwaree (A)	1	M	13028
Greater Hume Shire (A)	0	F	441
Greater Hume Shire (A)	0	M	356
Greater Hume Shire (A)	1	F	4677
Greater Hume Shire (A)	1	M	4730
Griffith (C)	0	F	1309
Griffith (C)	0	M	1476
Griffith (C)	1	F	11371
Griffith (C)	1	M	11297
Gundagai (A)	0	F	466
Gundagai (A)	0	M	511
Gundagai (A)	1	F	5037
Gundagai (A)	1	M	4908
Gunnedah (A)	0	F	533
Gunnedah (A)	0	M	607
Gunnedah (A)	1	F	5549
Gunnedah (A)	1	M	5547
Gwydir (A)	0	F	305
Gwydir (A)	0	M	357
Gwydir (A)	1	F	2268
Gwydir (A)	1	M	2343
Hawkesbury (C)	0	F	2100
Hawkesbury (C)	0	M	2243
Hawkesbury (C)	1	F	30285
Hawkesbury (C)	1	M	29565
Hay (A)	0	F	232
Hay (A)	0	M	298
Hay (A)	1	F	1234
Hay (A)	1	M	1222
Hilltops (A)	0	F	769
Hilltops (A)	0	M	730
Hilltops (A)	1	F	8497
Hilltops (A)	1	M	8256
Hornsby (A)	0	F	3542
Hornsby (A)	0	M	2631
Hornsby (A)	1	F	68997
Hornsby (A)	1	M	66034
Hunters Hill (A)	0	F	705
Hunters Hill (A)	0	M	984
Hunters Hill (A)	1	F	6237
Hunters Hill (A)	1	M	5869
Inner West (A)	0	F	7856
Inner West (A)	0	M	8439
Inner West (A)	1	F	84283
Inner West (A)	1	M	79169
Inverell (A)	0	F	794
Inverell (A)	0	M	758
Inverell (A)	1	F	7544
Inverell (A)	1	M	7234
Junee (A)	0	F	261
Junee (A)	0	M	1083
Junee (A)	1	F	2420
Junee (A)	1	M	2383
Kempsey (A)	0	F	1712
Kempsey (A)	0	M	2081
Kempsey (A)	1	F	12888
Kempsey (A)	1	M	12515
Kiama (A)	0	F	819
Kiama (A)	0	M	748
Kiama (A)	1	F	9909
Kiama (A)	1	M	9519
Ku-ring-gai (A)	0	F	3189
Ku-ring-gai (A)	0	M	2284
Ku-ring-gai (A)	1	F	57723
Ku-ring-gai (A)	1	M	53587
Kyogle (A)	0	F	430
Kyogle (A)	0	M	476
Kyogle (A)	1	F	3966
Kyogle (A)	1	M	4024
Lachlan (A)	0	F	368
Lachlan (A)	0	M	424
Lachlan (A)	1	F	2667
Lachlan (A)	1	M	2667
Lake Macquarie (C)	0	F	4667
Lake Macquarie (C)	0	M	3970
Lake Macquarie (C)	1	F	94744
Lake Macquarie (C)	1	M	90151
Lane Cove (A)	0	F	1197
Lane Cove (A)	0	M	1381
Lane Cove (A)	1	F	17174
Lane Cove (A)	1	M	16283
Leeton (A)	0	F	792
Leeton (A)	0	M	775
Leeton (A)	1	F	4815
Leeton (A)	1	M	4774
Lismore (C)	0	F	2164
Lismore (C)	0	M	2119
Lismore (C)	1	F	20005
Lismore (C)	1	M	18931
Lithgow (C)	0	F	1046
Lithgow (C)	0	M	1513
Lithgow (C)	1	F	9144
Lithgow (C)	1	M	9006
Liverpool (C)	0	F	6883
Liverpool (C)	0	M	7371
Liverpool (C)	1	F	96150
Liverpool (C)	1	M	94136
Liverpool Plains (A)	0	F	356
Liverpool Plains (A)	0	M	362
Liverpool Plains (A)	1	F	3358
Liverpool Plains (A)	1	M	3429
Lockhart (A)	0	F	176
Lockhart (A)	0	M	125
Lockhart (A)	1	F	1375
Lockhart (A)	1	M	1363
Maitland (C)	0	F	1960
Maitland (C)	0	M	1890
Maitland (C)	1	F	37138
Maitland (C)	1	M	35295
Mid-Coast (A)	0	F	4116
Mid-Coast (A)	0	M	3934
Mid-Coast (A)	1	F	41917
Mid-Coast (A)	1	M	39889
Mid-Western Regional (A)	0	F	1370
Mid-Western Regional (A)	0	M	1525
Mid-Western Regional (A)	1	F	10470
Mid-Western Regional (A)	1	M	10597
Moree Plains (A)	0	F	1036
Moree Plains (A)	0	M	1235
Moree Plains (A)	1	F	5613
Moree Plains (A)	1	M	5664
Mosman (A)	0	F	1160
Mosman (A)	0	M	976
Mosman (A)	1	F	13865
Mosman (A)	1	M	11848
Murray River (A)	0	F	660
Murray River (A)	0	M	736
Murray River (A)	1	F	5211
Murray River (A)	1	M	5109
Murrumbidgee (A)	0	F	210
Murrumbidgee (A)	0	M	268
Murrumbidgee (A)	1	F	1570
Murrumbidgee (A)	1	M	1712
Muswellbrook (A)	0	F	610
Muswellbrook (A)	0	M	1003
Muswellbrook (A)	1	F	7182
Muswellbrook (A)	1	M	7343
Nambucca (A)	0	F	910
Nambucca (A)	0	M	924
Nambucca (A)	1	F	8899
Nambucca (A)	1	M	8582
Narrabri (A)	0	F	820
Narrabri (A)	0	M	1142
Narrabri (A)	1	F	5743
Narrabri (A)	1	M	5757
Narrandera (A)	0	F	396
Narrandera (A)	0	M	417
Narrandera (A)	1	F	2552
Narrandera (A)	1	M	2494
Narromine (A)	0	F	342
Narromine (A)	0	M	328
Narromine (A)	1	F	2839
Narromine (A)	1	M	2828
Newcastle (C)	0	F	5875
Newcastle (C)	0	M	5838
Newcastle (C)	1	F	72549
Newcastle (C)	1	M	70240
North Sydney (A)	0	F	3360
North Sydney (A)	0	M	3398
North Sydney (A)	1	F	32128
North Sydney (A)	1	M	28428
Northern Beaches (A)	0	F	7664
Northern Beaches (A)	0	M	6574
Northern Beaches (A)	1	F	119855
Northern Beaches (A)	1	M	114466
Oberon (A)	0	F	296
Oberon (A)	0	M	429
Oberon (A)	1	F	2218
Oberon (A)	1	M	2274
Orange (C)	0	F	1968
Orange (C)	0	M	2209
Orange (C)	1	F	18819
Orange (C)	1	M	17609
Parkes (A)	0	F	804
Parkes (A)	0	M	769
Parkes (A)	1	F	6499
Parkes (A)	1	M	6353
Parramatta (C)	0	F	8899
Parramatta (C)	0	M	10851
Parramatta (C)	1	F	104967
Parramatta (C)	1	M	103624
Penrith (C)	0	F	5977
Penrith (C)	0	M	6103
Penrith (C)	1	F	92879
Penrith (C)	1	M	90341
Port Macquarie-Hastings (A)	0	F	3651
Port Macquarie-Hastings (A)	0	M	3422
Port Macquarie-Hastings (A)	1	F	37333
Port Macquarie-Hastings (A)	1	M	34417
Port Stephens (A)	0	F	2933
Port Stephens (A)	0	M	3042
Port Stephens (A)	1	F	32036
Port Stephens (A)	1	M	30890
Queanbeyan-Palerang Regional (A)	0	F	2280
Queanbeyan-Palerang Regional (A)	0	M	2857
Queanbeyan-Palerang Regional (A)	1	F	25547
Queanbeyan-Palerang Regional (A)	1	M	25486
Randwick (C)	0	F	7344
Randwick (C)	0	M	9193
Randwick (C)	1	F	64014
Randwick (C)	1	M	59888
Richmond Valley (A)	0	F	1157
Richmond Valley (A)	0	M	1149
Richmond Valley (A)	1	F	10501
Richmond Valley (A)	1	M	10292
Rockdale (C)	0	F	4024
Rockdale (C)	0	M	3744
Rockdale (C)	1	F	51346
Rockdale (C)	1	M	50348
Ryde (C)	0	F	4095
Ryde (C)	0	M	3940
Ryde (C)	1	F	55763
Ryde (C)	1	M	52717
Shellharbour (C)	0	F	1785
Shellharbour (C)	0	M	1587
Shellharbour (C)	1	F	32820
Shellharbour (C)	1	M	31321
Shoalhaven (C)	0	F	4051
Shoalhaven (C)	0	M	4878
Shoalhaven (C)	1	F	45480
Shoalhaven (C)	1	M	43595
Singleton (A)	0	F	882
Singleton (A)	0	M	1597
Singleton (A)	1	F	10236
Singleton (A)	1	M	10305
Snowy Monaro Regional (A)	0	F	6493
Snowy Monaro Regional (A)	0	M	8353
Snowy Monaro Regional (A)	1	F	8717
Snowy Monaro Regional (A)	1	M	9017
Snowy Valleys (A)	0	F	690
Snowy Valleys (A)	0	M	969
Snowy Valleys (A)	1	F	6269
Snowy Valleys (A)	1	M	6302
Strathfield (A)	0	F	1222
Strathfield (A)	0	M	1416
Strathfield (A)	1	F	18468
Strathfield (A)	1	M	18729
Sutherland Shire (A)	0	F	5153
Sutherland Shire (A)	0	M	4223
Sutherland Shire (A)	1	F	105247
Sutherland Shire (A)	1	M	100769
Sydney (C)	0	F	22694
Sydney (C)	0	M	30646
Sydney (C)	1	F	84372
Sydney (C)	1	M	88015
Tamworth Regional (A)	0	F	2804
Tamworth Regional (A)	0	M	3110
Tamworth Regional (A)	1	F	27555
Tamworth Regional (A)	1	M	25983
Temora (A)	0	F	201
Temora (A)	0	M	200
Temora (A)	1	F	2815
Temora (A)	1	M	2778
Tenterfield (A)	0	F	467
Tenterfield (A)	0	M	445
Tenterfield (A)	1	F	2952
Tenterfield (A)	1	M	2868
The Hills Shire (A)	0	F	2537
The Hills Shire (A)	0	M	2265
The Hills Shire (A)	1	F	76806
The Hills Shire (A)	1	M	74456
Tweed (A)	0	F	5169
Tweed (A)	0	M	4798
Tweed (A)	1	F	43291
Tweed (A)	1	M	40176
Upper Hunter Shire (A)	0	F	756
Upper Hunter Shire (A)	0	M	769
Upper Hunter Shire (A)	1	F	6329
Upper Hunter Shire (A)	1	M	6141
Upper Lachlan Shire (A)	0	F	330
Upper Lachlan Shire (A)	0	M	352
Upper Lachlan Shire (A)	1	F	3366
Upper Lachlan Shire (A)	1	M	3494
Uralla (A)	0	F	214
Uralla (A)	0	M	199
Uralla (A)	1	F	2826
Uralla (A)	1	M	2669
Wagga Wagga (C)	0	F	3206
Wagga Wagga (C)	0	M	3988
Wagga Wagga (C)	1	F	28907
Wagga Wagga (C)	1	M	27165
Walcha (A)	0	F	195
Walcha (A)	0	M	198
Walcha (A)	1	F	1343
Walcha (A)	1	M	1344
Walgett (A)	0	F	622
Walgett (A)	0	M	705
Walgett (A)	1	F	2467
Walgett (A)	1	M	2724
Warren (A)	0	F	156
Warren (A)	0	M	146
Warren (A)	1	F	1152
Warren (A)	1	M	1190
Warrumbungle Shire (A)	0	F	650
Warrumbungle Shire (A)	0	M	638
Warrumbungle Shire (A)	1	F	4015
Warrumbungle Shire (A)	1	M	4054
Waverley (A)	0	F	4152
Waverley (A)	0	M	3999
Waverley (A)	1	F	30013
Waverley (A)	1	M	28257
Weddin (A)	0	F	169
Weddin (A)	0	M	162
Weddin (A)	1	F	1599
Weddin (A)	1	M	1614
Wentworth (A)	0	F	515
Wentworth (A)	0	M	753
Wentworth (A)	1	F	2890
Wentworth (A)	1	M	3017
Western Plains Regional (A)	0	F	3011
Western Plains Regional (A)	0	M	3677
Western Plains Regional (A)	1	F	22806
Western Plains Regional (A)	1	M	21339
Willoughby (C)	0	F	3005
Willoughby (C)	0	M	2524
Willoughby (C)	1	F	35845
Willoughby (C)	1	M	33145
Wingecarribee (A)	0	F	2328
Wingecarribee (A)	0	M	1796
Wingecarribee (A)	1	F	22436
Wingecarribee (A)	1	M	20646
Wollondilly (A)	0	F	1241
Wollondilly (A)	0	M	1189
Wollondilly (A)	1	F	22811
Wollondilly (A)	1	M	22654
Wollongong (C)	0	F	6576
Wollongong (C)	0	M	6473
Wollongong (C)	1	F	95620
Wollongong (C)	1	M	92998
Woollahra (A)	0	F	3262
Woollahra (A)	0	M	2715
Woollahra (A)	1	F	25544
Woollahra (A)	1	M	22175
Yass Valley (A)	0	F	564
Yass Valley (A)	0	M	574
Yass Valley (A)	1	F	7516
Yass Valley (A)	1	M	7251
Unincorporated NSW	0	F	173
Unincorporated NSW	0	M	228
Unincorporated NSW	1	F	373
Unincorporated NSW	1	M	473
Migratory - Offshore - Shipping (NSW)	0	F	1860
Migratory - Offshore - Shipping (NSW)	0	M	1415
Alpine (S)	0	F	1289
Alpine (S)	0	M	1233
Alpine (S)	1	F	5489
Alpine (S)	1	M	5321
Ararat (RC)	0	F	464
Ararat (RC)	0	M	1284
Ararat (RC)	1	F	4861
Ararat (RC)	1	M	4845
Ballarat (C)	0	F	4222
Ballarat (C)	0	M	3819
Ballarat (C)	1	F	47716
Ballarat (C)	1	M	44244
Banyule (C)	0	F	3569
Banyule (C)	0	M	3382
Banyule (C)	1	F	58473
Banyule (C)	1	M	55195
Bass Coast (S)	0	F	1669
Bass Coast (S)	0	M	1467
Bass Coast (S)	1	F	14894
Bass Coast (S)	1	M	13947
Baw Baw (S)	0	F	1745
Baw Baw (S)	0	M	1508
Baw Baw (S)	1	F	22508
Baw Baw (S)	1	M	21342
Bayside (C)	0	F	3313
Bayside (C)	0	M	2418
Bayside (C)	1	F	46612
Bayside (C)	1	M	42488
Benalla (RC)	0	F	626
Benalla (RC)	0	M	576
Benalla (RC)	1	F	6328
Benalla (RC)	1	M	5959
Boroondara (C)	0	F	5638
Boroondara (C)	0	M	4848
Boroondara (C)	1	F	80237
Boroondara (C)	1	M	73879
Brimbank (C)	0	F	5462
Brimbank (C)	0	M	5256
Brimbank (C)	1	F	91228
Brimbank (C)	1	M	91509
Buloke (S)	0	F	300
Buloke (S)	0	M	331
Buloke (S)	1	F	2667
Buloke (S)	1	M	2744
Campaspe (S)	0	F	1645
Campaspe (S)	0	M	1583
Campaspe (S)	1	F	16710
Campaspe (S)	1	M	16366
Cardinia (S)	0	F	2528
Cardinia (S)	0	M	2327
Cardinia (S)	1	F	44550
Cardinia (S)	1	M	43236
Casey (C)	0	F	6992
Casey (C)	0	M	6628
Casey (C)	1	F	142047
Casey (C)	1	M	140967
Central Goldfields (S)	0	F	490
Central Goldfields (S)	0	M	447
Central Goldfields (S)	1	F	5994
Central Goldfields (S)	1	M	5848
Colac-Otway (S)	0	F	926
Colac-Otway (S)	0	M	891
Colac-Otway (S)	1	F	9274
Colac-Otway (S)	1	M	9349
Corangamite (S)	0	F	649
Corangamite (S)	0	M	658
Corangamite (S)	1	F	7056
Corangamite (S)	1	M	7175
Darebin (C)	0	F	6076
Darebin (C)	0	M	5370
Darebin (C)	1	F	69097
Darebin (C)	1	M	64794
East Gippsland (S)	0	F	2403
East Gippsland (S)	0	M	2227
East Gippsland (S)	1	F	19959
East Gippsland (S)	1	M	19124
Frankston (C)	0	F	4611
Frankston (C)	0	M	4156
Frankston (C)	1	F	63408
Frankston (C)	1	M	60390
Gannawarra (S)	0	F	428
Gannawarra (S)	0	M	385
Gannawarra (S)	1	F	4730
Gannawarra (S)	1	M	4738
Glen Eira (C)	0	F	4121
Glen Eira (C)	0	M	3424
Glen Eira (C)	1	F	67722
Glen Eira (C)	1	M	63581
Glenelg (S)	0	F	885
Glenelg (S)	0	M	884
Glenelg (S)	1	F	8606
Glenelg (S)	1	M	8560
Golden Plains (S)	0	F	516
Golden Plains (S)	0	M	511
Golden Plains (S)	1	F	9994
Golden Plains (S)	1	M	10225
Greater Bendigo (C)	0	F	4543
Greater Bendigo (C)	0	M	3989
Greater Bendigo (C)	1	F	51644
Greater Bendigo (C)	1	M	48725
Greater Dandenong (C)	0	F	4635
Greater Dandenong (C)	0	M	4912
Greater Dandenong (C)	1	F	69572
Greater Dandenong (C)	1	M	72427
Greater Geelong (C)	0	F	8792
Greater Geelong (C)	0	M	8594
Greater Geelong (C)	1	F	109103
Greater Geelong (C)	1	M	102204
Greater Shepparton (C)	0	F	2862
Greater Shepparton (C)	0	M	3044
Greater Shepparton (C)	1	F	28720
Greater Shepparton (C)	1	M	28227
Hepburn (S)	0	F	999
Hepburn (S)	0	M	889
Hepburn (S)	1	F	6895
Hepburn (S)	1	M	6434
Hindmarsh (S)	0	F	249
Hindmarsh (S)	0	M	210
Hindmarsh (S)	1	F	2547
Hindmarsh (S)	1	M	2555
Hobsons Bay (C)	0	F	2522
Hobsons Bay (C)	0	M	2336
Hobsons Bay (C)	1	F	42166
Hobsons Bay (C)	1	M	40719
Horsham (RC)	0	F	685
Horsham (RC)	0	M	715
Horsham (RC)	1	F	9128
Horsham (RC)	1	M	8656
Hume (C)	0	F	5382
Hume (C)	0	M	5538
Hume (C)	1	F	93496
Hume (C)	1	M	92584
Indigo (S)	0	F	567
Indigo (S)	0	M	719
Indigo (S)	1	F	7282
Indigo (S)	1	M	6886
Kingston (C) (Vic.)	0	F	4192
Kingston (C) (Vic.)	0	M	3743
Kingston (C) (Vic.)	1	F	72448
Kingston (C) (Vic.)	1	M	68636
Knox (C)	0	F	3657
Knox (C)	0	M	2980
Knox (C)	1	F	74294
Knox (C)	1	M	71361
Latrobe (C) (Vic.)	0	F	3296
Latrobe (C) (Vic.)	0	M	2976
Latrobe (C) (Vic.)	1	F	33533
Latrobe (C) (Vic.)	1	M	32036
Loddon (S)	0	F	400
Loddon (S)	0	M	435
Loddon (S)	1	F	3162
Loddon (S)	1	M	3361
Macedon Ranges (S)	0	F	1659
Macedon Ranges (S)	0	M	1588
Macedon Ranges (S)	1	F	21270
Macedon Ranges (S)	1	M	20623
Manningham (C)	0	F	2885
Manningham (C)	0	M	2106
Manningham (C)	1	F	56211
Manningham (C)	1	M	53204
Mansfield (S)	0	F	742
Mansfield (S)	0	M	802
Mansfield (S)	1	F	3624
Mansfield (S)	1	M	3552
Maribyrnong (C)	0	F	3045
Maribyrnong (C)	0	M	3149
Maribyrnong (C)	1	F	37652
Maribyrnong (C)	1	M	38087
Maroondah (C)	0	F	3013
Maroondah (C)	0	M	2340
Maroondah (C)	1	F	53164
Maroondah (C)	1	M	50086
Melbourne (C)	0	F	22049
Melbourne (C)	0	M	21868
Melbourne (C)	1	F	58500
Melbourne (C)	1	M	54831
Melton (C)	0	F	3847
Melton (C)	0	M	4099
Melton (C)	1	F	64287
Melton (C)	1	M	62331
Mildura (RC)	0	F	2713
Mildura (RC)	0	M	2831
Mildura (RC)	1	F	24552
Mildura (RC)	1	M	23604
Mitchell (S)	0	F	1679
Mitchell (S)	0	M	2110
Mitchell (S)	1	F	18367
Mitchell (S)	1	M	18385
Moira (S)	0	F	1278
Moira (S)	0	M	1252
Moira (S)	1	F	12879
Moira (S)	1	M	12795
Monash (C)	0	F	6653
Monash (C)	0	M	6056
Monash (C)	1	F	85844
Monash (C)	1	M	83284
Moonee Valley (C)	0	F	3574
Moonee Valley (C)	0	M	3260
Moonee Valley (C)	1	F	55954
Moonee Valley (C)	1	M	52355
Moorabool (S)	0	F	985
Moorabool (S)	0	M	915
Moorabool (S)	1	F	14910
Moorabool (S)	1	M	14568
Moreland (C)	0	F	5328
Moreland (C)	0	M	4888
Moreland (C)	1	F	76894
Moreland (C)	1	M	73716
Mornington Peninsula (S)	0	F	5676
Mornington Peninsula (S)	0	M	5364
Mornington Peninsula (S)	1	F	72243
Mornington Peninsula (S)	1	M	67125
Mount Alexander (S)	0	F	802
Mount Alexander (S)	0	M	1358
Mount Alexander (S)	1	F	8321
Mount Alexander (S)	1	M	7831
Moyne (S)	0	F	658
Moyne (S)	0	M	663
Moyne (S)	1	F	7364
Moyne (S)	1	M	7412
Murrindindi (S)	0	F	681
Murrindindi (S)	0	M	665
Murrindindi (S)	1	F	5864
Murrindindi (S)	1	M	6060
Nillumbik (S)	0	F	1203
Nillumbik (S)	0	M	1039
Nillumbik (S)	1	F	29125
Nillumbik (S)	1	M	28421
Northern Grampians (S)	0	F	586
Northern Grampians (S)	0	M	550
Northern Grampians (S)	1	F	5162
Northern Grampians (S)	1	M	5105
Port Phillip (C)	0	F	6155
Port Phillip (C)	0	M	6736
Port Phillip (C)	1	F	45021
Port Phillip (C)	1	M	42425
Pyrenees (S)	0	F	282
Pyrenees (S)	0	M	670
Pyrenees (S)	1	F	3069
Pyrenees (S)	1	M	3054
Queenscliffe (B)	0	F	142
Queenscliffe (B)	0	M	116
Queenscliffe (B)	1	F	1304
Queenscliffe (B)	1	M	1095
South Gippsland (S)	0	F	1251
South Gippsland (S)	0	M	1097
South Gippsland (S)	1	F	12914
South Gippsland (S)	1	M	12429
Southern Grampians (S)	0	F	643
Southern Grampians (S)	0	M	558
Southern Grampians (S)	1	F	7302
Southern Grampians (S)	1	M	6957
Stonnington (C)	0	F	4958
Stonnington (C)	0	M	4396
Stonnington (C)	1	F	48875
Stonnington (C)	1	M	44335
Strathbogie (S)	0	F	483
Strathbogie (S)	0	M	456
Strathbogie (S)	1	F	4582
Strathbogie (S)	1	M	4468
Surf Coast (S)	0	F	1176
Surf Coast (S)	0	M	1101
Surf Coast (S)	1	F	13339
Surf Coast (S)	1	M	13013
Swan Hill (RC)	0	F	1351
Swan Hill (RC)	0	M	1495
Swan Hill (RC)	1	F	8772
Swan Hill (RC)	1	M	8875
Towong (S)	0	F	239
Towong (S)	0	M	251
Towong (S)	1	F	2563
Towong (S)	1	M	2668
Wangaratta (RC)	0	F	1237
Wangaratta (RC)	0	M	1036
Wangaratta (RC)	1	F	13177
Wangaratta (RC)	1	M	12370
Warrnambool (C)	0	F	1527
Warrnambool (C)	0	M	1408
Warrnambool (C)	1	F	15655
Warrnambool (C)	1	M	14444
Wellington (S)	0	F	1711
Wellington (S)	0	M	2695
Wellington (S)	1	F	19036
Wellington (S)	1	M	18484
West Wimmera (S)	0	F	139
West Wimmera (S)	0	M	92
West Wimmera (S)	1	F	1735
West Wimmera (S)	1	M	1778
Whitehorse (C)	0	F	4688
Whitehorse (C)	0	M	3785
Whitehorse (C)	1	F	78561
Whitehorse (C)	1	M	73272
Whittlesea (C)	0	F	4892
Whittlesea (C)	0	M	4437
Whittlesea (C)	1	F	94651
Whittlesea (C)	1	M	92606
Wodonga (C)	0	F	1493
Wodonga (C)	0	M	1908
Wodonga (C)	1	F	18305
Wodonga (C)	1	M	17138
Wyndham (C)	0	F	5180
Wyndham (C)	0	M	6172
Wyndham (C)	1	F	102395
Wyndham (C)	1	M	101824
Yarra (C)	0	F	5017
Yarra (C)	0	M	4947
Yarra (C)	1	F	39719
Yarra (C)	1	M	37058
Yarra Ranges (S)	0	F	3662
Yarra Ranges (S)	0	M	3442
Yarra Ranges (S)	1	F	70482
Yarra Ranges (S)	1	M	68652
Yarriambiack (S)	0	F	331
Yarriambiack (S)	0	M	254
Yarriambiack (S)	1	F	2875
Yarriambiack (S)	1	M	3003
Unincorporated Vic	0	F	3723
Unincorporated Vic	0	M	4280
Unincorporated Vic	1	F	185
Unincorporated Vic	1	M	177
Migratory - Offshore - Shipping (Vic.)	0	F	38
Migratory - Offshore - Shipping (Vic.)	0	M	310
