LGA_NAME16	AgeStudent	students
Dungog (A)	0-4	143
Dungog (A)	5-14	1076
Dungog (A)	15-19	388
Dungog (A)	20-24	91
Dungog (A)	25+	184
Edward River (A)	0-4	100
Edward River (A)	5-14	965
Edward River (A)	15-19	328
Edward River (A)	20-24	73
Edward River (A)	25+	164
Eurobodalla (A)	0-4	367
Eurobodalla (A)	5-14	3423
Eurobodalla (A)	15-19	1190
Eurobodalla (A)	20-24	222
Eurobodalla (A)	25+	778
Fairfield (C)	0-4	2220
Fairfield (C)	5-14	23086
Fairfield (C)	15-19	11440
Fairfield (C)	20-24	6514
Fairfield (C)	25+	7593
Federation (A)	0-4	152
Federation (A)	5-14	1317
Federation (A)	15-19	440
Federation (A)	20-24	106
Federation (A)	25+	226
Forbes (A)	0-4	175
Forbes (A)	5-14	1184
Forbes (A)	15-19	416
Forbes (A)	20-24	97
Forbes (A)	25+	175
Georges River (A)	0-4	1941
Georges River (A)	5-14	15006
Georges River (A)	15-19	7672
Georges River (A)	20-24	6231
Georges River (A)	25+	7122
Gilgandra (A)	0-4	83
Gilgandra (A)	5-14	471
Gilgandra (A)	15-19	138
Gilgandra (A)	20-24	31
Gilgandra (A)	25+	65
Glen Innes Severn (A)	0-4	89
Glen Innes Severn (A)	5-14	913
Glen Innes Severn (A)	15-19	304
Glen Innes Severn (A)	20-24	65
Glen Innes Severn (A)	25+	171
Goulburn Mulwaree (A)	0-4	421
Goulburn Mulwaree (A)	5-14	3303
Goulburn Mulwaree (A)	15-19	1146
Goulburn Mulwaree (A)	20-24	355
Goulburn Mulwaree (A)	25+	832
Greater Hume Shire (A)	0-4	181
Greater Hume Shire (A)	5-14	1480
Greater Hume Shire (A)	15-19	503
Greater Hume Shire (A)	20-24	94
Greater Hume Shire (A)	25+	209
Griffith (C)	0-4	395
Griffith (C)	5-14	3109
Griffith (C)	15-19	1006
Griffith (C)	20-24	229
Griffith (C)	25+	617
Gundagai (A)	0-4	159
Gundagai (A)	5-14	1293
Gundagai (A)	15-19	393
Gundagai (A)	20-24	91
Gundagai (A)	25+	190
Gunnedah (A)	0-4	259
Gunnedah (A)	5-14	1424
Gunnedah (A)	15-19	413
Gunnedah (A)	20-24	102
Gunnedah (A)	25+	287
Gwydir (A)	0-4	86
Gwydir (A)	5-14	560
Gwydir (A)	15-19	159
Gwydir (A)	20-24	31
Gwydir (A)	25+	64
Hawkesbury (C)	0-4	1080
Hawkesbury (C)	5-14	8118
Hawkesbury (C)	15-19	3230
Hawkesbury (C)	20-24	1208
Hawkesbury (C)	25+	1717
Hay (A)	0-4	33
Hay (A)	5-14	321
Hay (A)	15-19	113
Hay (A)	20-24	18
Hay (A)	25+	36
Hilltops (A)	0-4	259
Hilltops (A)	5-14	2259
Hilltops (A)	15-19	765
Hilltops (A)	20-24	180
Hilltops (A)	25+	376
Hornsby (A)	0-4	2290
Hornsby (A)	5-14	18763
Hornsby (A)	15-19	8576
Hornsby (A)	20-24	4478
Hornsby (A)	25+	5210
Hunters Hill (A)	0-4	225
Hunters Hill (A)	5-14	1829
Hunters Hill (A)	15-19	1065
Hunters Hill (A)	20-24	412
Hunters Hill (A)	25+	423
Inner West (A)	0-4	2388
Inner West (A)	5-14	15819
Inner West (A)	15-19	5585
Inner West (A)	20-24	6249
Inner West (A)	25+	11218
Inverell (A)	0-4	261
Inverell (A)	5-14	1991
Inverell (A)	15-19	668
Inverell (A)	20-24	155
Inverell (A)	25+	349
Junee (A)	0-4	78
Junee (A)	5-14	676
Junee (A)	15-19	181
Junee (A)	20-24	53
Junee (A)	25+	134
Kempsey (A)	0-4	409
Kempsey (A)	5-14	3002
Kempsey (A)	15-19	1053
Kempsey (A)	20-24	182
Kempsey (A)	25+	573
Kiama (A)	0-4	327
Kiama (A)	5-14	2322
Kiama (A)	15-19	993
Kiama (A)	20-24	396
Kiama (A)	25+	597
Ku-ring-gai (A)	0-4	1895
Ku-ring-gai (A)	5-14	17113
Ku-ring-gai (A)	15-19	8408
Ku-ring-gai (A)	20-24	4147
Ku-ring-gai (A)	25+	3997
Kyogle (A)	0-4	101
Kyogle (A)	5-14	951
Kyogle (A)	15-19	339
Kyogle (A)	20-24	73
Kyogle (A)	25+	208
Lachlan (A)	0-4	123
Lachlan (A)	5-14	725
Lachlan (A)	15-19	179
Lachlan (A)	20-24	41
Lachlan (A)	25+	94
Lake Macquarie (C)	0-4	3093
Lake Macquarie (C)	5-14	22868
Lake Macquarie (C)	15-19	8998
Lake Macquarie (C)	20-24	3482
Lake Macquarie (C)	25+	5623
Lane Cove (A)	0-4	617
Lane Cove (A)	5-14	4035
Lane Cove (A)	15-19	1758
Lane Cove (A)	20-24	1094
Lane Cove (A)	25+	1755
Leeton (A)	0-4	155
Leeton (A)	5-14	1420
Leeton (A)	15-19	687
Leeton (A)	20-24	83
Leeton (A)	25+	215
Lismore (C)	0-4	563
Lismore (C)	5-14	4951
Lismore (C)	15-19	1962
Lismore (C)	20-24	778
Lismore (C)	25+	1793
Lithgow (C)	0-4	264
Lithgow (C)	5-14	2083
Lithgow (C)	15-19	782
Lithgow (C)	20-24	215
Lithgow (C)	25+	530
Liverpool (C)	0-4	3035
Liverpool (C)	5-14	27447
Liverpool (C)	15-19	11564
Liverpool (C)	20-24	5449
Liverpool (C)	25+	6728
Liverpool Plains (A)	0-4	111
Liverpool Plains (A)	5-14	853
Liverpool Plains (A)	15-19	276
Liverpool Plains (A)	20-24	55
Liverpool Plains (A)	25+	142
Lockhart (A)	0-4	41
Lockhart (A)	5-14	387
Lockhart (A)	15-19	106
Lockhart (A)	20-24	18
Lockhart (A)	25+	48
Maitland (C)	0-4	1340
Maitland (C)	5-14	10321
Maitland (C)	15-19	3539
Maitland (C)	20-24	1310
Maitland (C)	25+	2404
Mid-Coast (A)	0-4	1160
Mid-Coast (A)	5-14	8844
Mid-Coast (A)	15-19	3223
Mid-Coast (A)	20-24	666
Mid-Coast (A)	25+	1953
Mid-Western Regional (A)	0-4	330
Mid-Western Regional (A)	5-14	2817
Mid-Western Regional (A)	15-19	848
Mid-Western Regional (A)	20-24	182
Mid-Western Regional (A)	25+	591
Moree Plains (A)	0-4	234
Moree Plains (A)	5-14	1532
Moree Plains (A)	15-19	402
Moree Plains (A)	20-24	109
Moree Plains (A)	25+	268
Mosman (A)	0-4	417
Mosman (A)	5-14	3271
Mosman (A)	15-19	1370
Mosman (A)	20-24	701
Mosman (A)	25+	1042
Murray River (A)	0-4	134
Murray River (A)	5-14	1219
Murray River (A)	15-19	426
Murray River (A)	20-24	89
Murray River (A)	25+	205
Murrumbidgee (A)	0-4	51
Murrumbidgee (A)	5-14	460
Murrumbidgee (A)	15-19	171
Murrumbidgee (A)	20-24	30
Murrumbidgee (A)	25+	69
Muswellbrook (A)	0-4	264
Muswellbrook (A)	5-14	2153
Muswellbrook (A)	15-19	669
Muswellbrook (A)	20-24	149
Muswellbrook (A)	25+	355
Nambucca (A)	0-4	241
Nambucca (A)	5-14	2034
Nambucca (A)	15-19	691
Nambucca (A)	20-24	130
Nambucca (A)	25+	447
Narrabri (A)	0-4	191
Narrabri (A)	5-14	1592
Narrabri (A)	15-19	460
Narrabri (A)	20-24	94
Narrabri (A)	25+	235
Narrandera (A)	0-4	82
Narrandera (A)	5-14	658
Narrandera (A)	15-19	198
Narrandera (A)	20-24	54
Narrandera (A)	25+	125
Narromine (A)	0-4	100
Narromine (A)	5-14	807
Narromine (A)	15-19	232
Narromine (A)	20-24	51
Narromine (A)	25+	124
Newcastle (C)	0-4	2309
Newcastle (C)	5-14	16075
Newcastle (C)	15-19	6811
Newcastle (C)	20-24	6875
Newcastle (C)	25+	8015
North Sydney (A)	0-4	858
North Sydney (A)	5-14	4342
North Sydney (A)	15-19	1568
North Sydney (A)	20-24	1531
North Sydney (A)	25+	3668
Northern Beaches (A)	0-4	4355
Northern Beaches (A)	5-14	32252
Northern Beaches (A)	15-19	12058
Northern Beaches (A)	20-24	5684
Northern Beaches (A)	25+	8472
Oberon (A)	0-4	52
Oberon (A)	5-14	542
Oberon (A)	15-19	234
Oberon (A)	20-24	44
Oberon (A)	25+	95
Orange (C)	0-4	626
Orange (C)	5-14	5064
Orange (C)	15-19	1782
Orange (C)	20-24	636
Orange (C)	25+	1544
Parkes (A)	0-4	212
Parkes (A)	5-14	1794
Parkes (A)	15-19	658
Parkes (A)	20-24	144
Parkes (A)	25+	318
Parramatta (C)	0-4	3330
Parramatta (C)	5-14	23212
Parramatta (C)	15-19	9788
Parramatta (C)	20-24	7718
Parramatta (C)	25+	11473
Penrith (C)	0-4	3386
Penrith (C)	5-14	24823
Penrith (C)	15-19	9328
Penrith (C)	20-24	3880
Penrith (C)	25+	5861
Port Macquarie-Hastings (A)	0-4	1097
Port Macquarie-Hastings (A)	5-14	8562
Port Macquarie-Hastings (A)	15-19	3244
Port Macquarie-Hastings (A)	20-24	793
Port Macquarie-Hastings (A)	25+	2221
Port Stephens (A)	0-4	998
Port Stephens (A)	5-14	7946
Port Stephens (A)	15-19	2788
Port Stephens (A)	20-24	845
Port Stephens (A)	25+	1675
Queanbeyan-Palerang Regional (A)	0-4	705
Queanbeyan-Palerang Regional (A)	5-14	6677
Queanbeyan-Palerang Regional (A)	15-19	2624
Queanbeyan-Palerang Regional (A)	20-24	1028
Queanbeyan-Palerang Regional (A)	25+	2233
Randwick (C)	0-4	1887
Randwick (C)	5-14	12324
Randwick (C)	15-19	6993
Randwick (C)	20-24	9948
Randwick (C)	25+	8420
Richmond Valley (A)	0-4	357
Richmond Valley (A)	5-14	2624
Richmond Valley (A)	15-19	923
Richmond Valley (A)	20-24	196
Richmond Valley (A)	25+	518
Rockdale (C)	0-4	1397
Rockdale (C)	5-14	9844
Rockdale (C)	15-19	4500
Rockdale (C)	20-24	4132
Rockdale (C)	25+	6223
Ryde (C)	0-4	1653
Ryde (C)	5-14	11213
Ryde (C)	15-19	5391
Ryde (C)	20-24	6059
Ryde (C)	25+	6784
Shellharbour (C)	0-4	1225
Shellharbour (C)	5-14	8625
Shellharbour (C)	15-19	3376
Shellharbour (C)	20-24	1193
Shellharbour (C)	25+	1729
Shoalhaven (C)	0-4	1431
Shoalhaven (C)	5-14	10173
Shoalhaven (C)	15-19	3504
Shoalhaven (C)	20-24	939
Shoalhaven (C)	25+	2373
Singleton (A)	0-4	371
Singleton (A)	5-14	2965
Singleton (A)	15-19	1106
Singleton (A)	20-24	298
Singleton (A)	25+	592
Snowy Monaro Regional (A)	0-4	249
Snowy Monaro Regional (A)	5-14	2234
Snowy Monaro Regional (A)	15-19	757
Snowy Monaro Regional (A)	20-24	215
Snowy Monaro Regional (A)	25+	593
Snowy Valleys (A)	0-4	184
Snowy Valleys (A)	5-14	1610
Snowy Valleys (A)	15-19	530
Snowy Valleys (A)	20-24	127
Snowy Valleys (A)	25+	296
Strathfield (A)	0-4	483
Strathfield (A)	5-14	3582
Strathfield (A)	15-19	2095
Strathfield (A)	20-24	2041
Strathfield (A)	25+	2356
Sutherland Shire (A)	0-4	3806
Sutherland Shire (A)	5-14	26595
Sutherland Shire (A)	15-19	10897
Sutherland Shire (A)	20-24	5103
Sutherland Shire (A)	25+	6305
Sydney (C)	0-4	1208
Sydney (C)	5-14	6154
Sydney (C)	15-19	6652
Sydney (C)	20-24	17008
Sydney (C)	25+	20133
Tamworth Regional (A)	0-4	986
Tamworth Regional (A)	5-14	7396
Tamworth Regional (A)	15-19	2442
Tamworth Regional (A)	20-24	619
Tamworth Regional (A)	25+	1542
Temora (A)	0-4	101
Temora (A)	5-14	755
Temora (A)	15-19	276
Temora (A)	20-24	41
Temora (A)	25+	111
Tenterfield (A)	0-4	74
Tenterfield (A)	5-14	664
Tenterfield (A)	15-19	218
Tenterfield (A)	20-24	29
Tenterfield (A)	25+	131
The Hills Shire (A)	0-4	2762
The Hills Shire (A)	5-14	22768
The Hills Shire (A)	15-19	9870
The Hills Shire (A)	20-24	4988
The Hills Shire (A)	25+	4996
Tweed (A)	0-4	1032
Tweed (A)	5-14	9535
Tweed (A)	15-19	3593
Tweed (A)	20-24	1075
Tweed (A)	25+	2611
Upper Hunter Shire (A)	0-4	245
Upper Hunter Shire (A)	5-14	1804
Upper Hunter Shire (A)	15-19	540
Upper Hunter Shire (A)	20-24	101
Upper Hunter Shire (A)	25+	299
Upper Lachlan Shire (A)	0-4	119
Upper Lachlan Shire (A)	5-14	792
Upper Lachlan Shire (A)	15-19	279
Upper Lachlan Shire (A)	20-24	72
Upper Lachlan Shire (A)	25+	156
Uralla (A)	0-4	86
Uralla (A)	5-14	776
Uralla (A)	15-19	264
Uralla (A)	20-24	56
Uralla (A)	25+	158
Wagga Wagga (C)	0-4	923
Wagga Wagga (C)	5-14	7852
Wagga Wagga (C)	15-19	2964
Wagga Wagga (C)	20-24	1812
Wagga Wagga (C)	25+	2443
Walcha (A)	0-4	50
Walcha (A)	5-14	305
Walcha (A)	15-19	110
Walcha (A)	20-24	23
Walcha (A)	25+	49
Walgett (A)	0-4	113
Walgett (A)	5-14	677
Walgett (A)	15-19	145
Walgett (A)	20-24	30
Walgett (A)	25+	115
Warren (A)	0-4	57
Warren (A)	5-14	321
Warren (A)	15-19	80
Warren (A)	20-24	27
Warren (A)	25+	47
Warrumbungle Shire (A)	0-4	117
Warrumbungle Shire (A)	5-14	1036
Warrumbungle Shire (A)	15-19	330
Warrumbungle Shire (A)	20-24	84
Warrumbungle Shire (A)	25+	208
Waverley (A)	0-4	1109
Waverley (A)	5-14	5891
Waverley (A)	15-19	2032
Waverley (A)	20-24	1679
Waverley (A)	25+	3405
Weddin (A)	0-4	51
Weddin (A)	5-14	391
Weddin (A)	15-19	115
Weddin (A)	20-24	24
Weddin (A)	25+	54
Wentworth (A)	0-4	104
Wentworth (A)	5-14	739
Wentworth (A)	15-19	258
Wentworth (A)	20-24	55
Wentworth (A)	25+	126
Western Plains Regional (A)	0-4	839
Western Plains Regional (A)	5-14	6100
Western Plains Regional (A)	15-19	2038
Western Plains Regional (A)	20-24	567
Western Plains Regional (A)	25+	1449
Willoughby (C)	0-4	1311
Willoughby (C)	5-14	8966
Willoughby (C)	15-19	3575
Willoughby (C)	20-24	2681
Willoughby (C)	25+	3614
Wingecarribee (A)	0-4	677
Wingecarribee (A)	5-14	5529
Wingecarribee (A)	15-19	2259
Wingecarribee (A)	20-24	499
Wingecarribee (A)	25+	1220
Wollondilly (A)	0-4	924
Wollondilly (A)	5-14	6838
Wollondilly (A)	15-19	2487
Wollondilly (A)	20-24	823
Wollondilly (A)	25+	1086
Wollongong (C)	0-4	3351
Wollongong (C)	5-14	22934
Wollongong (C)	15-19	10126
Wollongong (C)	20-24	7457
Wollongong (C)	25+	8299
Woollahra (A)	0-4	743
Woollahra (A)	5-14	5199
Woollahra (A)	15-19	2271
Woollahra (A)	20-24	1457
Woollahra (A)	25+	2163
Yass Valley (A)	0-4	264
Yass Valley (A)	5-14	2192
Yass Valley (A)	15-19	763
Yass Valley (A)	20-24	230
Yass Valley (A)	25+	539
Unincorporated NSW	0-4	6
Unincorporated NSW	5-14	98
Unincorporated NSW	15-19	17
Unincorporated NSW	20-24	5
Unincorporated NSW	25+	23
No usual address (NSW)	0-4	43
No usual address (NSW)	5-14	304
No usual address (NSW)	15-19	172
No usual address (NSW)	20-24	283
No usual address (NSW)	25+	430
Migratory - Offshore - Shipping (NSW)	5-14	22
Migratory - Offshore - Shipping (NSW)	15-19	5
Migratory - Offshore - Shipping (NSW)	20-24	3
Migratory - Offshore - Shipping (NSW)	25+	8
Alpine (S)	0-4	113
Alpine (S)	5-14	1271
Alpine (S)	15-19	505
Alpine (S)	20-24	89
Alpine (S)	25+	240
Ararat (RC)	0-4	112
Ararat (RC)	5-14	1102
Ararat (RC)	15-19	382
Ararat (RC)	20-24	83
Ararat (RC)	25+	173
Ballarat (C)	0-4	1315
Ballarat (C)	5-14	11861
Ballarat (C)	15-19	4860
Ballarat (C)	20-24	2802
Ballarat (C)	25+	3310
Banyule (C)	0-4	1682
Banyule (C)	5-14	13405
Banyule (C)	15-19	5840
Banyule (C)	20-24	3762
Banyule (C)	25+	4481
Bass Coast (S)	0-4	306
Bass Coast (S)	5-14	3284
Bass Coast (S)	15-19	1136
Bass Coast (S)	20-24	221
Bass Coast (S)	25+	704
Baw Baw (S)	0-4	532
Baw Baw (S)	5-14	5778
Baw Baw (S)	15-19	2237
Baw Baw (S)	20-24	604
Baw Baw (S)	25+	1226
Bayside (C)	0-4	1434
Bayside (C)	5-14	12624
Bayside (C)	15-19	5497
Bayside (C)	20-24	2747
Bayside (C)	25+	2613
Benalla (RC)	0-4	103
Benalla (RC)	5-14	1340
Benalla (RC)	15-19	552
Benalla (RC)	20-24	110
Benalla (RC)	25+	223
Boroondara (C)	0-4	2139
Boroondara (C)	5-14	19970
Boroondara (C)	15-19	10922
Boroondara (C)	20-24	8436
Boroondara (C)	25+	7538
Brimbank (C)	0-4	2052
Brimbank (C)	5-14	20203
Brimbank (C)	15-19	9851
Brimbank (C)	20-24	6786
Brimbank (C)	25+	7812
Buloke (S)	0-4	42
Buloke (S)	5-14	678
Buloke (S)	15-19	278
Buloke (S)	20-24	37
Buloke (S)	25+	90
Campaspe (S)	0-4	354
Campaspe (S)	5-14	4092
Campaspe (S)	15-19	1630
Campaspe (S)	20-24	299
Campaspe (S)	25+	619
Cardinia (S)	0-4	1461
Cardinia (S)	5-14	12739
Cardinia (S)	15-19	4713
Cardinia (S)	20-24	1742
Cardinia (S)	25+	2608
Casey (C)	0-4	3951
Casey (C)	5-14	40197
Casey (C)	15-19	16694
Casey (C)	20-24	7332
Casey (C)	25+	9629
Central Goldfields (S)	0-4	119
Central Goldfields (S)	5-14	1277
Central Goldfields (S)	15-19	475
Central Goldfields (S)	20-24	104
Central Goldfields (S)	25+	202
Colac-Otway (S)	0-4	233
Colac-Otway (S)	5-14	2306
Colac-Otway (S)	15-19	818
Colac-Otway (S)	20-24	180
Colac-Otway (S)	25+	379
Corangamite (S)	0-4	151
Corangamite (S)	5-14	1839
Corangamite (S)	15-19	753
Corangamite (S)	20-24	144
Corangamite (S)	25+	228
Darebin (C)	0-4	1708
Darebin (C)	5-14	13284
Darebin (C)	15-19	5707
Darebin (C)	20-24	6080
Darebin (C)	25+	8804
East Gippsland (S)	0-4	454
East Gippsland (S)	5-14	4326
East Gippsland (S)	15-19	1563
East Gippsland (S)	20-24	311
East Gippsland (S)	25+	856
Frankston (C)	0-4	1873
Frankston (C)	5-14	14652
Frankston (C)	15-19	6000
Frankston (C)	20-24	2541
Frankston (C)	25+	4079
Gannawarra (S)	0-4	90
Gannawarra (S)	5-14	1055
Gannawarra (S)	15-19	469
Gannawarra (S)	20-24	65
Gannawarra (S)	25+	118
Glen Eira (C)	0-4	2173
Glen Eira (C)	5-14	16159
Glen Eira (C)	15-19	6884
Glen Eira (C)	20-24	6109
Glen Eira (C)	25+	6254
Glenelg (S)	0-4	185
Glenelg (S)	5-14	1979
Glenelg (S)	15-19	820
Glenelg (S)	20-24	139
Glenelg (S)	25+	377
Golden Plains (S)	0-4	314
Golden Plains (S)	5-14	3179
Golden Plains (S)	15-19	1116
Golden Plains (S)	20-24	281
Golden Plains (S)	25+	519
Greater Bendigo (C)	0-4	1223
Greater Bendigo (C)	5-14	12732
Greater Bendigo (C)	15-19	5112
Greater Bendigo (C)	20-24	2487
Greater Bendigo (C)	25+	2959
Greater Dandenong (C)	0-4	1540
Greater Dandenong (C)	5-14	14983
Greater Dandenong (C)	15-19	7332
Greater Dandenong (C)	20-24	5578
Greater Dandenong (C)	25+	6983
Greater Geelong (C)	0-4	2759
Greater Geelong (C)	5-14	25627
Greater Geelong (C)	15-19	11251
Greater Geelong (C)	20-24	6216
Greater Geelong (C)	25+	7556
Greater Shepparton (C)	0-4	671
Greater Shepparton (C)	5-14	7519
Greater Shepparton (C)	15-19	3124
Greater Shepparton (C)	20-24	795
Greater Shepparton (C)	25+	1610
Hepburn (S)	0-4	165
Hepburn (S)	5-14	1490
Hepburn (S)	15-19	430
Hepburn (S)	20-24	113
Hepburn (S)	25+	399
Hindmarsh (S)	0-4	43
Hindmarsh (S)	5-14	543
Hindmarsh (S)	15-19	244
Hindmarsh (S)	20-24	49
Hindmarsh (S)	25+	91
Hobsons Bay (C)	0-4	1165
Hobsons Bay (C)	5-14	9424
Hobsons Bay (C)	15-19	3780
Hobsons Bay (C)	20-24	2188
Hobsons Bay (C)	25+	3316
Horsham (RC)	0-4	196
Horsham (RC)	5-14	2316
Horsham (RC)	15-19	823
Horsham (RC)	20-24	177
Horsham (RC)	25+	392
Hume (C)	0-4	2482
Hume (C)	5-14	25131
Hume (C)	15-19	10953
Hume (C)	20-24	5400
Hume (C)	25+	7077
Indigo (S)	0-4	191
Indigo (S)	5-14	1908
Indigo (S)	15-19	702
Indigo (S)	20-24	152
Indigo (S)	25+	383
Kingston (C) (Vic.)	0-4	2075
Kingston (C) (Vic.)	5-14	16574
Kingston (C) (Vic.)	15-19	6896
Kingston (C) (Vic.)	20-24	4129
Kingston (C) (Vic.)	25+	5085
Knox (C)	0-4	1813
Knox (C)	5-14	17022
Knox (C)	15-19	8311
Knox (C)	20-24	4292
Knox (C)	25+	4790
Latrobe (C) (Vic.)	0-4	623
Latrobe (C) (Vic.)	5-14	7998
Latrobe (C) (Vic.)	15-19	3088
Latrobe (C) (Vic.)	20-24	1148
Latrobe (C) (Vic.)	25+	1805
Loddon (S)	0-4	64
Loddon (S)	5-14	731
Loddon (S)	15-19	282
Loddon (S)	20-24	31
Loddon (S)	25+	88
Macedon Ranges (S)	0-4	626
Macedon Ranges (S)	5-14	6030
Macedon Ranges (S)	15-19	2277
Macedon Ranges (S)	20-24	707
Macedon Ranges (S)	25+	1098
Manningham (C)	0-4	1351
Manningham (C)	5-14	12427
Manningham (C)	15-19	6755
Manningham (C)	20-24	4133
Manningham (C)	25+	3963
Mansfield (S)	0-4	98
Mansfield (S)	5-14	989
Mansfield (S)	15-19	375
Mansfield (S)	20-24	67
Mansfield (S)	25+	158
Maribyrnong (C)	0-4	980
Maribyrnong (C)	5-14	6778
Maribyrnong (C)	15-19	2991
Maribyrnong (C)	20-24	3863
Maribyrnong (C)	25+	5660
Maroondah (C)	0-4	1518
