POA_CODE_2016	EduInstitutionType	Sex	students
POA0852	Technical or Further Educational Institution	M	20
POA0852	University or other tertiary	F	40
POA0852	University or other tertiary	M	13
POA0853		F	25
POA0853		M	64
POA0853	Infants/Primary	F	43
POA0853	Infants/Primary	M	50
POA0853	Pre-school	F	14
POA0853	Pre-school	M	18
POA0853	Secondary	F	17
POA0853	Secondary	M	14
POA0853	Technical or Further Educational Institution	F	9
POA0853	University or other tertiary	F	14
POA0853	University or other tertiary	M	7
POA0854		F	47
POA0854		M	53
POA0854	Infants/Primary	F	53
POA0854	Infants/Primary	M	59
POA0854	Pre-school	F	5
POA0854	Pre-school	M	9
POA0854	Secondary	F	21
POA0854	Secondary	M	19
POA0854	University or other tertiary	F	3
POA0854	University or other tertiary	M	3
POA0860		F	167
POA0860		M	267
POA0860	Infants/Primary	F	123
POA0860	Infants/Primary	M	141
POA0860	Pre-school	F	21
POA0860	Pre-school	M	27
POA0860	Secondary	F	59
POA0860	Secondary	M	88
POA0860	Technical or Further Educational Institution	F	14
POA0860	Technical or Further Educational Institution	M	29
POA0860	University or other tertiary	F	46
POA0860	University or other tertiary	M	20
POA0862		F	30
POA0862		M	29
POA0862	Infants/Primary	F	51
POA0862	Infants/Primary	M	62
POA0862	Pre-school	F	3
POA0862	Pre-school	M	8
POA0862	Secondary	F	27
POA0862	Secondary	M	21
POA0862	Technical or Further Educational Institution	F	3
POA0862	Technical or Further Educational Institution	M	3
POA0862	University or other tertiary	F	3
POA0870		F	1398
POA0870		M	1267
POA0870	Infants/Primary	F	810
POA0870	Infants/Primary	M	854
POA0870	Pre-school	F	147
POA0870	Pre-school	M	155
POA0870	Secondary	F	556
POA0870	Secondary	M	642
POA0870	Technical or Further Educational Institution	F	185
POA0870	Technical or Further Educational Institution	M	142
POA0870	University or other tertiary	F	533
POA0870	University or other tertiary	M	226
POA0872		F	1259
POA0872		M	1729
POA0872	Infants/Primary	F	847
POA0872	Infants/Primary	M	858
POA0872	Pre-school	F	139
POA0872	Pre-school	M	150
POA0872	Secondary	F	324
POA0872	Secondary	M	367
POA0872	Technical or Further Educational Institution	F	86
POA0872	Technical or Further Educational Institution	M	64
POA0872	University or other tertiary	F	95
POA0872	University or other tertiary	M	56
POA0873		F	186
POA0873		M	201
POA0873	Infants/Primary	F	67
POA0873	Infants/Primary	M	99
POA0873	Pre-school	F	13
POA0873	Pre-school	M	12
POA0873	Secondary	F	63
POA0873	Secondary	M	60
POA0873	Technical or Further Educational Institution	F	18
POA0873	Technical or Further Educational Institution	M	12
POA0873	University or other tertiary	F	34
POA0873	University or other tertiary	M	9
POA0874		F	47
POA0874		M	39
POA0874	Infants/Primary	F	19
POA0874	Infants/Primary	M	18
POA0874	Pre-school	F	8
POA0874	Pre-school	M	3
POA0874	Secondary	F	22
POA0874	Secondary	M	16
POA0874	University or other tertiary	F	14
POA0874	University or other tertiary	M	12
POA0875		F	159
POA0875		M	172
POA0875	Infants/Primary	F	141
POA0875	Infants/Primary	M	133
POA0875	Pre-school	F	34
POA0875	Pre-school	M	13
POA0875	Secondary	F	70
POA0875	Secondary	M	89
POA0875	Technical or Further Educational Institution	F	26
POA0875	Technical or Further Educational Institution	M	17
POA0875	University or other tertiary	F	52
POA0875	University or other tertiary	M	18
POA0880		F	467
POA0880		M	568
POA0880	Infants/Primary	F	296
POA0880	Infants/Primary	M	282
POA0880	Pre-school	F	65
POA0880	Pre-school	M	46
POA0880	Secondary	F	223
POA0880	Secondary	M	191
POA0880	Technical or Further Educational Institution	F	26
POA0880	Technical or Further Educational Institution	M	19
POA0880	University or other tertiary	F	65
POA0880	University or other tertiary	M	28
POA0885		F	41
POA0885		M	69
POA0885	Infants/Primary	F	58
POA0885	Infants/Primary	M	68
POA0885	Pre-school	F	7
POA0885	Pre-school	M	16
POA0885	Secondary	F	3
POA0885	Secondary	M	9
POA0885	Technical or Further Educational Institution	F	4
POA0885	Technical or Further Educational Institution	M	3
POA0885	University or other tertiary	F	15
POA0885	University or other tertiary	M	11
POA0886		F	97
POA0886		M	106
POA0886	Infants/Primary	F	43
POA0886	Infants/Primary	M	60
POA0886	Pre-school	F	13
POA0886	Pre-school	M	5
POA0886	Secondary	F	16
POA0886	Secondary	M	17
POA0886	Technical or Further Educational Institution	F	3
POA0886	University or other tertiary	F	14
POA0886	University or other tertiary	M	8
POA2000		F	3616
POA2000		M	3352
POA2000	Infants/Primary	F	147
POA2000	Infants/Primary	M	165
POA2000	Pre-school	F	47
POA2000	Pre-school	M	59
POA2000	Secondary	F	200
POA2000	Secondary	M	195
POA2000	Technical or Further Educational Institution	F	961
POA2000	Technical or Further Educational Institution	M	759
POA2000	University or other tertiary	F	1843
POA2000	University or other tertiary	M	1500
POA2006		F	67
POA2006		M	87
POA2006	Infants/Primary	F	3
POA2006	Infants/Primary	M	3
POA2006	Secondary	F	4
POA2006	University or other tertiary	F	619
POA2006	University or other tertiary	M	427
POA2007		F	775
POA2007		M	727
POA2007	Infants/Primary	F	52
POA2007	Infants/Primary	M	51
POA2007	Pre-school	F	14
POA2007	Pre-school	M	16
POA2007	Secondary	F	60
POA2007	Secondary	M	47
POA2007	Technical or Further Educational Institution	F	184
POA2007	Technical or Further Educational Institution	M	151
POA2007	University or other tertiary	F	1839
POA2007	University or other tertiary	M	1408
POA2008		F	875
POA2008		M	857
POA2008	Infants/Primary	F	59
POA2008	Infants/Primary	M	64
POA2008	Pre-school	F	13
POA2008	Pre-school	M	13
POA2008	Secondary	F	71
POA2008	Secondary	M	80
POA2008	Technical or Further Educational Institution	F	181
POA2008	Technical or Further Educational Institution	M	140
POA2008	University or other tertiary	F	2616
POA2008	University or other tertiary	M	1815
POA2009		F	854
POA2009		M	883
POA2009	Infants/Primary	F	207
POA2009	Infants/Primary	M	185
POA2009	Pre-school	F	69
POA2009	Pre-school	M	50
POA2009	Secondary	F	128
POA2009	Secondary	M	122
POA2009	Technical or Further Educational Institution	F	238
POA2009	Technical or Further Educational Institution	M	180
POA2009	University or other tertiary	F	423
POA2009	University or other tertiary	M	416
POA2010		F	1986
POA2010		M	2852
POA2010	Infants/Primary	F	221
POA2010	Infants/Primary	M	208
POA2010	Pre-school	F	61
POA2010	Pre-school	M	60
POA2010	Secondary	F	166
POA2010	Secondary	M	143
POA2010	Technical or Further Educational Institution	F	320
POA2010	Technical or Further Educational Institution	M	333
POA2010	University or other tertiary	F	939
POA2010	University or other tertiary	M	1016
POA2011		F	1858
POA2011		M	3071
POA2011	Infants/Primary	F	120
POA2011	Infants/Primary	M	110
POA2011	Pre-school	F	38
POA2011	Pre-school	M	46
POA2011	Secondary	F	95
POA2011	Secondary	M	83
POA2011	Technical or Further Educational Institution	F	176
POA2011	Technical or Further Educational Institution	M	168
POA2011	University or other tertiary	F	568
POA2011	University or other tertiary	M	527
POA2015		F	450
POA2015		M	480
POA2015	Infants/Primary	F	202
POA2015	Infants/Primary	M	175
POA2015	Pre-school	F	50
POA2015	Pre-school	M	58
POA2015	Secondary	F	130
POA2015	Secondary	M	109
POA2015	Technical or Further Educational Institution	F	99
POA2015	Technical or Further Educational Institution	M	91
POA2015	University or other tertiary	F	402
POA2015	University or other tertiary	M	321
POA2016		F	788
POA2016		M	911
POA2016	Infants/Primary	F	135
POA2016	Infants/Primary	M	151
POA2016	Pre-school	F	52
POA2016	Pre-school	M	65
POA2016	Secondary	F	99
POA2016	Secondary	M	100
POA2016	Technical or Further Educational Institution	F	151
POA2016	Technical or Further Educational Institution	M	183
POA2016	University or other tertiary	F	679
POA2016	University or other tertiary	M	593
POA2017		F	1752
POA2017		M	1742
POA2017	Infants/Primary	F	252
POA2017	Infants/Primary	M	246
POA2017	Pre-school	F	89
POA2017	Pre-school	M	90
POA2017	Secondary	F	201
POA2017	Secondary	M	190
POA2017	Technical or Further Educational Institution	F	391
POA2017	Technical or Further Educational Institution	M	305
POA2017	University or other tertiary	F	2211
POA2017	University or other tertiary	M	2072
POA2018		F	696
POA2018		M	698
POA2018	Infants/Primary	F	507
POA2018	Infants/Primary	M	537
POA2018	Pre-school	F	101
POA2018	Pre-school	M	110
POA2018	Secondary	F	418
POA2018	Secondary	M	436
POA2018	Technical or Further Educational Institution	F	198
POA2018	Technical or Further Educational Institution	M	158
POA2018	University or other tertiary	F	814
POA2018	University or other tertiary	M	880
POA2019		F	505
POA2019		M	455
POA2019	Infants/Primary	F	465
POA2019	Infants/Primary	M	500
POA2019	Pre-school	F	96
POA2019	Pre-school	M	132
POA2019	Secondary	F	308
POA2019	Secondary	M	313
POA2019	Technical or Further Educational Institution	F	90
POA2019	Technical or Further Educational Institution	M	95
POA2019	University or other tertiary	F	257
POA2019	University or other tertiary	M	244
POA2020		F	661
POA2020		M	657
POA2020	Infants/Primary	F	350
POA2020	Infants/Primary	M	386
POA2020	Pre-school	F	104
POA2020	Pre-school	M	102
POA2020	Secondary	F	272
POA2020	Secondary	M	308
POA2020	Technical or Further Educational Institution	F	229
POA2020	Technical or Further Educational Institution	M	181
POA2020	University or other tertiary	F	768
POA2020	University or other tertiary	M	740
POA2021		F	898
POA2021		M	741
POA2021	Infants/Primary	F	415
POA2021	Infants/Primary	M	387
POA2021	Pre-school	F	103
POA2021	Pre-school	M	117
POA2021	Secondary	F	264
POA2021	Secondary	M	244
POA2021	Technical or Further Educational Institution	F	100
POA2021	Technical or Further Educational Institution	M	69
POA2021	University or other tertiary	F	617
POA2021	University or other tertiary	M	442
POA2022		F	944
POA2022		M	859
POA2022	Infants/Primary	F	334
POA2022	Infants/Primary	M	365
POA2022	Pre-school	F	108
POA2022	Pre-school	M	115
POA2022	Secondary	F	242
POA2022	Secondary	M	242
POA2022	Technical or Further Educational Institution	F	141
POA2022	Technical or Further Educational Institution	M	105
POA2022	University or other tertiary	F	383
POA2022	University or other tertiary	M	315
POA2023		F	517
POA2023		M	463
POA2023	Infants/Primary	F	403
POA2023	Infants/Primary	M	469
POA2023	Pre-school	F	96
POA2023	Pre-school	M	105
POA2023	Secondary	F	328
POA2023	Secondary	M	502
POA2023	Technical or Further Educational Institution	F	84
POA2023	Technical or Further Educational Institution	M	52
POA2023	University or other tertiary	F	361
POA2023	University or other tertiary	M	295
POA2024		F	631
POA2024		M	512
POA2024	Infants/Primary	F	438
POA2024	Infants/Primary	M	464
POA2024	Pre-school	F	92
POA2024	Pre-school	M	113
POA2024	Secondary	F	332
POA2024	Secondary	M	280
POA2024	Technical or Further Educational Institution	F	77
POA2024	Technical or Further Educational Institution	M	71
POA2024	University or other tertiary	F	330
POA2024	University or other tertiary	M	252
POA2025		F	477
POA2025		M	375
POA2025	Infants/Primary	F	229
POA2025	Infants/Primary	M	218
POA2025	Pre-school	F	58
POA2025	Pre-school	M	78
POA2025	Secondary	F	140
POA2025	Secondary	M	151
POA2025	Technical or Further Educational Institution	F	53
POA2025	Technical or Further Educational Institution	M	41
POA2025	University or other tertiary	F	225
POA2025	University or other tertiary	M	156
POA2026		F	2267
POA2026		M	2215
POA2026	Infants/Primary	F	900
POA2026	Infants/Primary	M	900
POA2026	Pre-school	F	258
POA2026	Pre-school	M	334
POA2026	Secondary	F	487
POA2026	Secondary	M	617
POA2026	Technical or Further Educational Institution	F	335
POA2026	Technical or Further Educational Institution	M	292
POA2026	University or other tertiary	F	915
POA2026	University or other tertiary	M	688
POA2027		F	626
POA2027		M	493
POA2027	Infants/Primary	F	170
POA2027	Infants/Primary	M	163
POA2027	Pre-school	F	34
POA2027	Pre-school	M	51
POA2027	Secondary	F	187
POA2027	Secondary	M	156
POA2027	Technical or Further Educational Institution	F	33
POA2027	Technical or Further Educational Institution	M	15
POA2027	University or other tertiary	F	222
POA2027	University or other tertiary	M	159
POA2028		F	299
POA2028		M	213
POA2028	Infants/Primary	F	94
POA2028	Infants/Primary	M	105
POA2028	Pre-school	F	32
POA2028	Pre-school	M	20
POA2028	Secondary	F	95
POA2028	Secondary	M	87
POA2028	Technical or Further Educational Institution	F	29
POA2028	Technical or Further Educational Institution	M	15
POA2028	University or other tertiary	F	179
POA2028	University or other tertiary	M	110
POA2029		F	505
POA2029		M	402
POA2029	Infants/Primary	F	395
POA2029	Infants/Primary	M	399
POA2029	Pre-school	F	94
POA2029	Pre-school	M	108
POA2029	Secondary	F	362
POA2029	Secondary	M	253
POA2029	Technical or Further Educational Institution	F	68
POA2029	Technical or Further Educational Institution	M	48
POA2029	University or other tertiary	F	278
POA2029	University or other tertiary	M	233
POA2030		F	533
POA2030		M	472
POA2030	Infants/Primary	F	694
POA2030	Infants/Primary	M	711
POA2030	Pre-school	F	156
POA2030	Pre-school	M	167
POA2030	Secondary	F	707
POA2030	Secondary	M	545
POA2030	Technical or Further Educational Institution	F	72
POA2030	Technical or Further Educational Institution	M	35
POA2030	University or other tertiary	F	477
POA2030	University or other tertiary	M	384
POA2031		F	1512
POA2031		M	1514
POA2031	Infants/Primary	F	1165
POA2031	Infants/Primary	M	1160
POA2031	Pre-school	F	305
POA2031	Pre-school	M	317
POA2031	Secondary	F	710
POA2031	Secondary	M	699
POA2031	Technical or Further Educational Institution	F	261
POA2031	Technical or Further Educational Institution	M	225
POA2031	University or other tertiary	F	1714
POA2031	University or other tertiary	M	1445
POA2032		F	581
POA2032		M	612
POA2032	Infants/Primary	F	421
POA2032	Infants/Primary	M	467
POA2032	Pre-school	F	77
POA2032	Pre-school	M	85
POA2032	Secondary	F	314
POA2032	Secondary	M	327
POA2032	Technical or Further Educational Institution	F	141
POA2032	Technical or Further Educational Institution	M	148
POA2032	University or other tertiary	F	2233
POA2032	University or other tertiary	M	2518
POA2033		F	564
POA2033		M	516
POA2033	Infants/Primary	F	307
POA2033	Infants/Primary	M	318
POA2033	Pre-school	F	63
POA2033	Pre-school	M	77
POA2033	Secondary	F	208
POA2033	Secondary	M	214
POA2033	Technical or Further Educational Institution	F	126
POA2033	Technical or Further Educational Institution	M	105
POA2033	University or other tertiary	F	1059
POA2033	University or other tertiary	M	1115
POA2034		F	1127
POA2034		M	1044
POA2034	Infants/Primary	F	687
POA2034	Infants/Primary	M	633
POA2034	Pre-school	F	191
POA2034	Pre-school	M	187
POA2034	Secondary	F	446
POA2034	Secondary	M	459
POA2034	Technical or Further Educational Institution	F	204
POA2034	Technical or Further Educational Institution	M	147
POA2034	University or other tertiary	F	750
POA2034	University or other tertiary	M	534
POA2035		F	1346
POA2035		M	1215
POA2035	Infants/Primary	F	1244
POA2035	Infants/Primary	M	1310
POA2035	Pre-school	F	291
POA2035	Pre-school	M	305
POA2035	Secondary	F	943
POA2035	Secondary	M	962
POA2035	Technical or Further Educational Institution	F	290
POA2035	Technical or Further Educational Institution	M	257
POA2035	University or other tertiary	F	1578
POA2035	University or other tertiary	M	1513
POA2036		F	1421
POA2036		M	2837
POA2036	Infants/Primary	F	1037
POA2036	Infants/Primary	M	1163
POA2036	Pre-school	F	219
POA2036	Pre-school	M	238
POA2036	Secondary	F	892
POA2036	Secondary	M	945
POA2036	Technical or Further Educational Institution	F	260
POA2036	Technical or Further Educational Institution	M	240
POA2036	University or other tertiary	F	843
POA2036	University or other tertiary	M	785
POA2037		F	1005
POA2037		M	897
POA2037	Infants/Primary	F	286
POA2037	Infants/Primary	M	288
POA2037	Pre-school	F	83
POA2037	Pre-school	M	84
POA2037	Secondary	F	308
POA2037	Secondary	M	202
POA2037	Technical or Further Educational Institution	F	178
POA2037	Technical or Further Educational Institution	M	120
POA2037	University or other tertiary	F	1288
POA2037	University or other tertiary	M	980
POA2038		F	395
POA2038		M	389
POA2038	Infants/Primary	F	336
POA2038	Infants/Primary	M	339
POA2038	Pre-school	F	75
POA2038	Pre-school	M	86
POA2038	Secondary	F	163
POA2038	Secondary	M	212
POA2038	Technical or Further Educational Institution	F	66
POA2038	Technical or Further Educational Institution	M	66
POA2038	University or other tertiary	F	460
POA2038	University or other tertiary	M	336
POA2039		F	417
POA2039		M	386
POA2039	Infants/Primary	F	323
POA2039	Infants/Primary	M	304
POA2039	Pre-school	F	76
POA2039	Pre-school	M	78
POA2039	Secondary	F	166
POA2039	Secondary	M	155
POA2039	Technical or Further Educational Institution	F	47
POA2039	Technical or Further Educational Institution	M	42
POA2039	University or other tertiary	F	259
POA2039	University or other tertiary	M	154
POA2040		F	898
POA2040		M	826
POA2040	Infants/Primary	F	875
POA2040	Infants/Primary	M	959
POA2040	Pre-school	F	225
POA2040	Pre-school	M	254
POA2040	Secondary	F	481
POA2040	Secondary	M	484
POA2040	Technical or Further Educational Institution	F	182
POA2040	Technical or Further Educational Institution	M	141
POA2040	University or other tertiary	F	770
POA2040	University or other tertiary	M	571
POA2041		F	749
POA2041		M	729
POA2041	Infants/Primary	F	552
POA2041	Infants/Primary	M	607
POA2041	Pre-school	F	151
POA2041	Pre-school	M	147
POA2041	Secondary	F	349
POA2041	Secondary	M	357
POA2041	Technical or Further Educational Institution	F	86
POA2041	Technical or Further Educational Institution	M	66
POA2041	University or other tertiary	F	483
POA2041	University or other tertiary	M	337
POA2042		F	1028
POA2042		M	1035
POA2042	Infants/Primary	F	401
POA2042	Infants/Primary	M	358
POA2042	Pre-school	F	72
POA2042	Pre-school	M	77
POA2042	Secondary	F	273
POA2042	Secondary	M	223
POA2042	Technical or Further Educational Institution	F	189
POA2042	Technical or Further Educational Institution	M	157
POA2042	University or other tertiary	F	1396
POA2042	University or other tertiary	M	1036
POA2043		F	371
POA2043		M	398
POA2043	Infants/Primary	F	159
POA2043	Infants/Primary	M	172
POA2043	Pre-school	F	43
POA2043	Pre-school	M	44
POA2043	Secondary	F	103
POA2043	Secondary	M	84
POA2043	Technical or Further Educational Institution	F	68
POA2043	Technical or Further Educational Institution	M	50
POA2043	University or other tertiary	F	370
POA2043	University or other tertiary	M	282
POA2044		F	290
POA2044		M	320
POA2044	Infants/Primary	F	226
POA2044	Infants/Primary	M	252
POA2044	Pre-school	F	55
POA2044	Pre-school	M	57
POA2044	Secondary	F	146
POA2044	Secondary	M	159
POA2044	Technical or Further Educational Institution	F	85
POA2044	Technical or Further Educational Institution	M	109
POA2044	University or other tertiary	F	302
POA2044	University or other tertiary	M	207
POA2045		F	176
POA2045		M	164
POA2045	Infants/Primary	F	289
POA2045	Infants/Primary	M	309
POA2045	Pre-school	F	54
POA2045	Pre-school	M	46
POA2045	Secondary	F	232
POA2045	Secondary	M	291
POA2045	Technical or Further Educational Institution	F	30
POA2045	Technical or Further Educational Institution	M	32
POA2045	University or other tertiary	F	179
POA2045	University or other tertiary	M	185
POA2046		F	947
POA2046		M	829
POA2046	Infants/Primary	F	1079
POA2046	Infants/Primary	M	1056
POA2046	Pre-school	F	227
POA2046	Pre-school	M	271
POA2046	Secondary	F	659
POA2046	Secondary	M	690
POA2046	Technical or Further Educational Institution	F	137
POA2046	Technical or Further Educational Institution	M	126
POA2046	University or other tertiary	F	744
POA2046	University or other tertiary	M	510
POA2047		F	572
POA2047		M	466
POA2047	Infants/Primary	F	373
POA2047	Infants/Primary	M	434
POA2047	Pre-school	F	98
POA2047	Pre-school	M	98
POA2047	Secondary	F	265
POA2047	Secondary	M	276
POA2047	Technical or Further Educational Institution	F	83
POA2047	Technical or Further Educational Institution	M	61
POA2047	University or other tertiary	F	335
POA2047	University or other tertiary	M	249
POA2048		F	395
POA2048		M	380
POA2048	Infants/Primary	F	206
POA2048	Infants/Primary	M	256
POA2048	Pre-school	F	42
POA2048	Pre-school	M	51
POA2048	Secondary	F	141
POA2048	Secondary	M	173
POA2048	Technical or Further Educational Institution	F	81
POA2048	Technical or Further Educational Institution	M	66
POA2048	University or other tertiary	F	408
POA2048	University or other tertiary	M	294
POA2049		F	524
POA2049		M	546
POA2049	Infants/Primary	F	305
POA2049	Infants/Primary	M	365
POA2049	Pre-school	F	77
POA2049	Pre-school	M	90
POA2049	Secondary	F	228
POA2049	Secondary	M	230
POA2049	Technical or Further Educational Institution	F	121
POA2049	Technical or Further Educational Institution	M	109
POA2049	University or other tertiary	F	542
POA2049	University or other tertiary	M	365
POA2050		F	448
POA2050		M	430
POA2050	Infants/Primary	F	120
POA2050	Infants/Primary	M	125
POA2050	Pre-school	F	33
POA2050	Pre-school	M	28
POA2050	Secondary	F	75
POA2050	Secondary	M	66
POA2050	Technical or Further Educational Institution	F	70
POA2050	Technical or Further Educational Institution	M	62
POA2050	University or other tertiary	F	1102
