POA_CODE_2016	AgeChild	CoupleFamily	ParentsBornAus	children
POA0828	0-4	1	Neither	15
POA0828	5-9	0	Both	9
POA0828	5-9	1	Both	17
POA0828	5-9	1	Father only	3
POA0828	5-9	1	Neither	8
POA0828	10-12	0	Both	7
POA0828	10-12	0	Mother only	3
POA0828	10-12	1	Both	6
POA0828	10-12	1	Father only	7
POA0828	10-12	1	Neither	8
POA0828	13-14	0	Both	4
POA0828	13-14	1	Both	6
POA0828	13-14	1	Mother only	3
POA0828	13-14	1	Neither	3
POA0828	15-17	0	Both	4
POA0828	15-17	1	Both	4
POA0828	15-17	1	Father only	8
POA0828	15-17	1	Mother only	3
POA0828	15-17	1	Neither	6
POA0828	18-20	1	Both	4
POA0829	0-4	1	Both	8
POA0829	5-9	0	Father only	3
POA0829	5-9	1	Both	5
POA0829	10-12	0	Both	4
POA0829	10-12	1	Both	3
POA0829	13-14	1	Both	3
POA0829	15-17	1	Both	3
POA0830	0-4	0		23
POA0830	0-4	0	Both	236
POA0830	0-4	0	Father only	15
POA0830	0-4	0	Mother only	19
POA0830	0-4	0	Neither	23
POA0830	0-4	1		3
POA0830	0-4	1	Both	763
POA0830	0-4	1	Father only	130
POA0830	0-4	1	Mother only	86
POA0830	0-4	1	Neither	197
POA0830	5-9	0		20
POA0830	5-9	0	Both	266
POA0830	5-9	0	Father only	18
POA0830	5-9	0	Mother only	23
POA0830	5-9	0	Neither	23
POA0830	5-9	1		4
POA0830	5-9	1	Both	675
POA0830	5-9	1	Father only	94
POA0830	5-9	1	Mother only	69
POA0830	5-9	1	Neither	175
POA0830	10-12	0		10
POA0830	10-12	0	Both	134
POA0830	10-12	0	Father only	10
POA0830	10-12	0	Mother only	13
POA0830	10-12	0	Neither	20
POA0830	10-12	1		4
POA0830	10-12	1	Both	334
POA0830	10-12	1	Father only	49
POA0830	10-12	1	Mother only	37
POA0830	10-12	1	Neither	80
POA0830	13-14	0		5
POA0830	13-14	0	Both	116
POA0830	13-14	0	Father only	11
POA0830	13-14	0	Mother only	6
POA0830	13-14	0	Neither	14
POA0830	13-14	1		5
POA0830	13-14	1	Both	202
POA0830	13-14	1	Father only	20
POA0830	13-14	1	Mother only	21
POA0830	13-14	1	Neither	67
POA0830	15-17	0		3
POA0830	15-17	0	Both	122
POA0830	15-17	0	Father only	9
POA0830	15-17	0	Mother only	13
POA0830	15-17	0	Neither	18
POA0830	15-17	1		3
POA0830	15-17	1	Both	198
POA0830	15-17	1	Father only	27
POA0830	15-17	1	Mother only	35
POA0830	15-17	1	Neither	91
POA0830	18-20	0	Both	9
POA0830	18-20	0	Father only	3
POA0830	18-20	0	Neither	5
POA0830	18-20	1	Both	39
POA0830	18-20	1	Father only	5
POA0830	18-20	1	Neither	28
POA0830	21-24	0	Both	3
POA0830	21-24	0	Neither	4
POA0830	21-24	1	Both	6
POA0830	21-24	1	Father only	3
POA0830	21-24	1	Neither	12
POA0832	0-4	0		4
POA0832	0-4	0	Both	105
POA0832	0-4	0	Father only	8
POA0832	0-4	0	Mother only	18
POA0832	0-4	0	Neither	15
POA0832	0-4	1		3
POA0832	0-4	1	Both	935
POA0832	0-4	1	Father only	120
POA0832	0-4	1	Mother only	103
POA0832	0-4	1	Neither	330
POA0832	5-9	0		3
POA0832	5-9	0	Both	126
POA0832	5-9	0	Father only	15
POA0832	5-9	0	Mother only	10
POA0832	5-9	0	Neither	13
POA0832	5-9	1		5
POA0832	5-9	1	Both	689
POA0832	5-9	1	Father only	90
POA0832	5-9	1	Mother only	84
POA0832	5-9	1	Neither	250
POA0832	10-12	0		3
POA0832	10-12	0	Both	69
POA0832	10-12	0	Father only	19
POA0832	10-12	0	Mother only	3
POA0832	10-12	0	Neither	12
POA0832	10-12	1		3
POA0832	10-12	1	Both	279
POA0832	10-12	1	Father only	37
POA0832	10-12	1	Mother only	50
POA0832	10-12	1	Neither	152
POA0832	13-14	0	Both	38
POA0832	13-14	0	Father only	4
POA0832	13-14	0	Neither	13
POA0832	13-14	1	Both	146
POA0832	13-14	1	Father only	16
POA0832	13-14	1	Mother only	27
POA0832	13-14	1	Neither	89
POA0832	15-17	0	Both	48
POA0832	15-17	0	Father only	6
POA0832	15-17	0	Mother only	8
POA0832	15-17	0	Neither	13
POA0832	15-17	1	Both	175
POA0832	15-17	1	Father only	24
POA0832	15-17	1	Mother only	26
POA0832	15-17	1	Neither	103
POA0832	18-20	0	Both	8
POA0832	18-20	0	Neither	3
POA0832	18-20	1	Both	28
POA0832	18-20	1	Neither	28
POA0832	21-24	0	Both	3
POA0832	21-24	1	Both	13
POA0832	21-24	1	Neither	6
POA0834	0-4	0	Both	6
POA0834	0-4	1	Both	53
POA0834	0-4	1	Father only	6
POA0834	0-4	1	Mother only	3
POA0834	0-4	1	Neither	8
POA0834	5-9	0	Both	20
POA0834	5-9	0	Father only	3
POA0834	5-9	0	Mother only	7
POA0834	5-9	1	Both	75
POA0834	5-9	1	Mother only	8
POA0834	10-12	0	Both	3
POA0834	10-12	0	Father only	3
POA0834	10-12	1	Both	45
POA0834	10-12	1	Father only	3
POA0834	10-12	1	Mother only	7
POA0834	10-12	1	Neither	3
POA0834	13-14	0	Both	8
POA0834	13-14	1	Both	35
POA0834	13-14	1	Father only	6
POA0834	13-14	1	Mother only	4
POA0834	13-14	1	Neither	3
POA0834	15-17	0	Both	7
POA0834	15-17	0	Neither	3
POA0834	15-17	1	Both	33
POA0834	15-17	1	Father only	4
POA0834	15-17	1	Neither	4
POA0834	18-20	1	Both	8
POA0834	18-20	1	Neither	4
POA0834	21-24	1	Both	3
POA0835	0-4	0	Both	9
POA0835	0-4	1	Both	89
POA0835	0-4	1	Father only	10
POA0835	0-4	1	Neither	6
POA0835	5-9	0	Both	33
POA0835	5-9	0	Neither	3
POA0835	5-9	1	Both	135
POA0835	5-9	1	Father only	13
POA0835	5-9	1	Mother only	11
POA0835	5-9	1	Neither	9
POA0835	10-12	0	Both	16
POA0835	10-12	0	Father only	3
POA0835	10-12	1	Both	91
POA0835	10-12	1	Father only	6
POA0835	10-12	1	Mother only	3
POA0835	10-12	1	Neither	5
POA0835	13-14	0	Both	11
POA0835	13-14	0	Father only	4
POA0835	13-14	1	Both	45
POA0835	13-14	1	Father only	4
POA0835	15-17	0	Both	14
POA0835	15-17	1	Both	56
POA0835	15-17	1	Father only	3
POA0835	15-17	1	Mother only	14
POA0835	15-17	1	Neither	4
POA0835	18-20	1	Both	13
POA0835	18-20	1	Mother only	3
POA0835	21-24	1	Father only	3
POA0835	21-24	1	Mother only	3
POA0836	0-4	0	Both	32
POA0836	0-4	0	Mother only	8
POA0836	0-4	1		8
POA0836	0-4	1	Both	374
POA0836	0-4	1	Father only	43
POA0836	0-4	1	Mother only	21
POA0836	0-4	1	Neither	19
POA0836	5-9	0		3
POA0836	5-9	0	Both	51
POA0836	5-9	0	Father only	5
POA0836	5-9	0	Mother only	3
POA0836	5-9	0	Neither	7
POA0836	5-9	1		3
POA0836	5-9	1	Both	407
POA0836	5-9	1	Father only	45
POA0836	5-9	1	Mother only	18
POA0836	5-9	1	Neither	16
POA0836	10-12	0		3
POA0836	10-12	0	Both	36
POA0836	10-12	1	Both	225
POA0836	10-12	1	Father only	13
POA0836	10-12	1	Mother only	15
POA0836	10-12	1	Neither	14
POA0836	13-14	0		3
POA0836	13-14	0	Both	30
POA0836	13-14	0	Father only	3
POA0836	13-14	0	Mother only	3
POA0836	13-14	1	Both	119
POA0836	13-14	1	Father only	15
POA0836	13-14	1	Mother only	4
POA0836	13-14	1	Neither	13
POA0836	15-17	0		3
POA0836	15-17	0	Both	34
POA0836	15-17	0	Father only	3
POA0836	15-17	0	Neither	3
POA0836	15-17	1		3
POA0836	15-17	1	Both	159
POA0836	15-17	1	Father only	15
POA0836	15-17	1	Mother only	14
POA0836	15-17	1	Neither	11
POA0836	18-20	1	Both	16
POA0836	18-20	1	Father only	3
POA0836	18-20	1	Neither	3
POA0836	21-24	1	Both	8
POA0836	21-24	1	Mother only	3
POA0836	21-24	1	Neither	3
POA0837	0-4	0	Both	4
POA0837	0-4	1	Both	12
POA0837	0-4	1	Father only	4
POA0837	5-9	0	Both	8
POA0837	5-9	1	Both	14
POA0837	5-9	1	Father only	3
POA0837	10-12	0	Both	3
POA0837	10-12	1	Both	5
POA0837	13-14	1	Both	5
POA0837	15-17	1	Both	3
POA0838	0-4	0	Both	3
POA0838	0-4	0	Mother only	5
POA0838	0-4	1	Both	48
POA0838	0-4	1	Father only	11
POA0838	0-4	1	Neither	4
POA0838	5-9	0	Both	7
POA0838	5-9	0	Father only	3
POA0838	5-9	1	Both	39
POA0838	5-9	1	Father only	6
POA0838	5-9	1	Mother only	3
POA0838	10-12	0	Both	4
POA0838	10-12	1	Both	21
POA0838	10-12	1	Neither	4
POA0838	13-14	0	Both	3
POA0838	13-14	1	Both	14
POA0838	13-14	1	Father only	3
POA0838	13-14	1	Neither	3
POA0838	15-17	0	Both	4
POA0838	15-17	1	Both	8
POA0838	15-17	1	Father only	3
POA0838	15-17	1	Neither	3
POA0839	0-4	0	Both	3
POA0839	0-4	1	Both	14
POA0839	0-4	1	Father only	3
POA0839	0-4	1	Mother only	3
POA0839	0-4	1	Neither	8
POA0839	5-9	0	Both	13
POA0839	5-9	0	Father only	3
POA0839	5-9	1	Both	8
POA0839	10-12	0	Both	4
POA0839	10-12	0	Father only	3
POA0839	10-12	1	Both	3
POA0839	13-14	0	Both	3
POA0839	13-14	1	Both	3
POA0839	15-17	0	Father only	3
POA0840	0-4	1	Both	6
POA0840	5-9	0	Both	3
POA0840	5-9	1	Both	8
POA0840	5-9	1	Father only	3
POA0840	10-12	0	Both	3
POA0840	15-17	0	Both	4
POA0841	0-4	1	Both	30
POA0841	0-4	1	Father only	3
POA0841	0-4	1	Neither	3
POA0841	5-9	0	Both	13
POA0841	5-9	1	Both	35
POA0841	10-12	0	Both	6
POA0841	10-12	1	Both	19
POA0841	13-14	0	Both	5
POA0841	13-14	1	Both	9
POA0841	15-17	0	Both	4
POA0841	15-17	0	Father only	6
POA0841	15-17	1	Both	16
POA0845	0-4	0	Both	13
POA0845	0-4	1	Both	14
POA0845	5-9	0		5
POA0845	5-9	0	Both	21
POA0845	5-9	1	Both	13
POA0845	10-12	0	Both	4
POA0845	10-12	0	Mother only	4
POA0845	10-12	1	Both	6
POA0845	13-14	0	Both	3
POA0845	13-14	1	Both	3
POA0845	15-17	0	Both	6
POA0845	15-17	0	Mother only	3
POA0845	15-17	1	Both	4
POA0846	0-4	0	Both	3
POA0846	0-4	1		3
POA0846	0-4	1	Both	10
POA0846	0-4	1	Mother only	4
POA0846	5-9	0	Both	12
POA0846	5-9	1	Both	17
POA0846	5-9	1	Mother only	3
POA0846	10-12	0	Both	7
POA0846	10-12	1	Both	4
POA0846	13-14	0	Both	3
POA0846	13-14	1	Both	3
POA0846	15-17	1	Both	4
POA0847	0-4	0	Both	3
POA0847	0-4	1	Both	12
POA0847	0-4	1	Father only	3
POA0847	5-9	0	Both	4
POA0847	5-9	1	Both	14
POA0847	10-12	1	Both	9
POA0847	13-14	1	Both	4
POA0847	15-17	1	Both	4
POA0850	0-4	0		3
POA0850	0-4	0	Both	89
POA0850	0-4	0	Father only	4
POA0850	0-4	0	Mother only	5
POA0850	0-4	0	Neither	3
POA0850	0-4	1		3
POA0850	0-4	1	Both	315
POA0850	0-4	1	Father only	32
POA0850	0-4	1	Mother only	16
POA0850	0-4	1	Neither	58
POA0850	5-9	0		8
POA0850	5-9	0	Both	98
POA0850	5-9	1		8
POA0850	5-9	1	Both	284
POA0850	5-9	1	Father only	15
POA0850	5-9	1	Mother only	19
POA0850	5-9	1	Neither	43
POA0850	10-12	0		6
POA0850	10-12	0	Both	66
POA0850	10-12	0	Father only	4
POA0850	10-12	0	Neither	4
POA0850	10-12	1		3
POA0850	10-12	1	Both	135
POA0850	10-12	1	Father only	11
POA0850	10-12	1	Mother only	7
POA0850	10-12	1	Neither	20
POA0850	13-14	0		3
POA0850	13-14	0	Both	40
POA0850	13-14	0	Father only	3
POA0850	13-14	0	Neither	3
POA0850	13-14	1		3
POA0850	13-14	1	Both	93
POA0850	13-14	1	Father only	11
POA0850	13-14	1	Neither	15
POA0850	15-17	0	Both	40
POA0850	15-17	1		3
POA0850	15-17	1	Both	73
POA0850	15-17	1	Father only	10
POA0850	15-17	1	Mother only	6
POA0850	15-17	1	Neither	23
POA0850	18-20	0	Both	3
POA0850	18-20	1	Both	7
POA0850	18-20	1	Father only	4
POA0850	18-20	1	Mother only	3
POA0850	18-20	1	Neither	7
POA0852	0-4	0		5
POA0852	0-4	0	Both	125
POA0852	0-4	1		6
POA0852	0-4	1	Both	510
POA0852	0-4	1	Father only	3
POA0852	0-4	1	Mother only	3
POA0852	0-4	1	Neither	3
POA0852	5-9	0		5
POA0852	5-9	0	Both	188
POA0852	5-9	0	Neither	3
POA0852	5-9	1		9
POA0852	5-9	1	Both	546
POA0852	5-9	1	Father only	4
POA0852	10-12	0	Both	111
POA0852	10-12	1		3
POA0852	10-12	1	Both	275
POA0852	10-12	1	Father only	4
POA0852	13-14	0	Both	79
POA0852	13-14	1	Both	174
POA0852	15-17	0	Both	26
POA0852	15-17	1	Both	89
POA0852	18-20	1	Both	7
POA0852	21-24	1	Both	4
POA0853	0-4	1	Both	85
POA0853	0-4	1	Father only	3
POA0853	0-4	1	Mother only	3
POA0853	0-4	1	Neither	5
POA0853	5-9	1	Both	65
POA0853	5-9	1	Father only	3
POA0853	5-9	1	Mother only	3
POA0853	5-9	1	Neither	5
POA0853	10-12	1	Both	19
POA0853	10-12	1	Father only	4
POA0853	13-14	1	Both	6
POA0853	15-17	1	Both	11
POA0853	18-20	1	Both	3
POA0854	0-4	0	Both	17
POA0854	0-4	1	Both	36
POA0854	5-9	0	Both	26
POA0854	5-9	1	Both	39
POA0854	5-9	1	Neither	3
POA0854	10-12	0	Both	18
POA0854	10-12	1	Both	25
POA0854	10-12	1	Neither	3
POA0854	13-14	0	Both	5
POA0854	13-14	1	Both	17
POA0854	15-17	0	Both	9
POA0854	15-17	1	Both	6
POA0860	0-4	0		7
POA0860	0-4	0	Both	55
POA0860	0-4	0	Mother only	3
POA0860	0-4	1		5
POA0860	0-4	1	Both	113
POA0860	0-4	1	Father only	3
POA0860	0-4	1	Mother only	4
POA0860	0-4	1	Neither	14
POA0860	5-9	0		14
POA0860	5-9	0	Both	61
POA0860	5-9	0	Father only	3
POA0860	5-9	1		3
POA0860	5-9	1	Both	105
POA0860	5-9	1	Father only	3
POA0860	5-9	1	Neither	20
POA0860	10-12	0		3
POA0860	10-12	0	Both	35
POA0860	10-12	1	Both	38
POA0860	10-12	1	Neither	8
POA0860	13-14	0		6
POA0860	13-14	0	Both	16
POA0860	13-14	1	Both	18
POA0860	13-14	1	Neither	3
POA0860	15-17	0	Both	12
POA0860	15-17	1	Both	25
POA0860	15-17	1	Neither	7
POA0860	21-24	1	Both	4
POA0862	0-4	0	Both	17
POA0862	0-4	1	Both	54
POA0862	5-9	0	Both	21
POA0862	5-9	1	Both	44
POA0862	10-12	0	Both	17
POA0862	10-12	1	Both	35
POA0862	13-14	0	Both	4
POA0862	13-14	1	Both	7
POA0862	15-17	0	Both	3
POA0862	15-17	1	Both	9
POA0870	0-4	0		15
POA0870	0-4	0	Both	143
POA0870	0-4	0	Father only	9
POA0870	0-4	0	Mother only	14
POA0870	0-4	0	Neither	6
POA0870	0-4	1		9
POA0870	0-4	1	Both	529
POA0870	0-4	1	Father only	107
POA0870	0-4	1	Mother only	79
POA0870	0-4	1	Neither	331
POA0870	5-9	0		9
POA0870	5-9	0	Both	205
POA0870	5-9	0	Father only	16
POA0870	5-9	0	Mother only	17
POA0870	5-9	0	Neither	21
POA0870	5-9	1		7
POA0870	5-9	1	Both	526
POA0870	5-9	1	Father only	75
POA0870	5-9	1	Mother only	71
POA0870	5-9	1	Neither	292
POA0870	10-12	0		10
POA0870	10-12	0	Both	118
POA0870	10-12	0	Father only	12
POA0870	10-12	0	Mother only	19
POA0870	10-12	0	Neither	20
POA0870	10-12	1	Both	294
POA0870	10-12	1	Father only	26
POA0870	10-12	1	Mother only	26
POA0870	10-12	1	Neither	138
POA0870	13-14	0		9
POA0870	13-14	0	Both	71
POA0870	13-14	0	Father only	6
POA0870	13-14	0	Mother only	10
POA0870	13-14	0	Neither	19
POA0870	13-14	1	Both	155
POA0870	13-14	1	Father only	26
POA0870	13-14	1	Mother only	24
POA0870	13-14	1	Neither	89
POA0870	15-17	0	Both	88
POA0870	15-17	0	Father only	11
POA0870	15-17	0	Mother only	7
POA0870	15-17	0	Neither	19
POA0870	15-17	1	Both	185
POA0870	15-17	1	Father only	40
POA0870	15-17	1	Mother only	25
POA0870	15-17	1	Neither	117
POA0870	18-20	0	Both	9
POA0870	18-20	1	Both	20
POA0870	18-20	1	Father only	3
POA0870	18-20	1	Mother only	3
POA0870	18-20	1	Neither	20
POA0870	21-24	1	Neither	4
POA0872	0-4	0		8
POA0872	0-4	0	Both	261
POA0872	0-4	1		8
POA0872	0-4	1	Both	752
POA0872	0-4	1	Father only	5
POA0872	0-4	1	Mother only	5
POA0872	0-4	1	Neither	19
POA0872	5-9	0		9
POA0872	5-9	0	Both	355
POA0872	5-9	1		9
POA0872	5-9	1	Both	811
POA0872	5-9	1	Father only	5
POA0872	5-9	1	Neither	7
POA0872	10-12	0		7
POA0872	10-12	0	Both	201
POA0872	10-12	1		12
POA0872	10-12	1	Both	407
POA0872	10-12	1	Mother only	3
POA0872	10-12	1	Neither	4
POA0872	13-14	0		6
POA0872	13-14	0	Both	119
POA0872	13-14	1		7
POA0872	13-14	1	Both	214
POA0872	15-17	0	Both	52
POA0872	15-17	1	Both	99
POA0872	15-17	1	Neither	3
POA0872	18-20	1	Both	22
POA0872	21-24	1	Both	3
POA0873	0-4	0	Both	25
POA0873	0-4	1	Both	73
POA0873	0-4	1	Father only	5
POA0873	0-4	1	Mother only	8
POA0873	0-4	1	Neither	4
POA0873	5-9	0	Both	28
POA0873	5-9	1	Both	73
POA0873	5-9	1	Father only	7
POA0873	5-9	1	Mother only	4
POA0873	5-9	1	Neither	3
POA0873	10-12	0	Both	21
POA0873	10-12	1	Both	35
POA0873	10-12	1	Father only	3
POA0873	10-12	1	Mother only	3
POA0873	13-14	0	Both	10
POA0873	13-14	1	Both	36
POA0873	13-14	1	Father only	7
POA0873	13-14	1	Mother only	3
POA0873	15-17	0	Both	8
POA0873	15-17	1	Both	32
POA0873	15-17	1	Neither	7
POA0873	18-20	0	Both	3
POA0873	18-20	1	Both	3
POA0873	21-24	0	Both	3
POA0874	0-4	1	Both	15
POA0874	0-4	1	Father only	3
POA0874	0-4	1	Neither	22
POA0874	5-9	0	Both	3
POA0874	5-9	1	Both	3
POA0874	5-9	1	Father only	3
POA0874	5-9	1	Mother only	3
POA0874	5-9	1	Neither	19
POA0874	10-12	1	Both	3
POA0874	10-12	1	Neither	10
POA0874	13-14	1	Neither	7
POA0874	15-17	1	Neither	10
