POA_CODE_2016	BornAust	persons
POA2370	0	483
POA2370	1	6316
POA2371	0	93
POA2371	1	899
POA2372	0	340
POA2372	1	3792
POA2379	0	14
POA2379	1	265
POA2380	0	514
POA2380	1	8943
POA2381	0	38
POA2381	1	1023
POA2382	0	45
POA2382	1	1129
POA2386	0	18
POA2386	1	294
POA2387	0	3
POA2387	1	162
POA2388	0	111
POA2388	1	2123
POA2390	0	391
POA2390	1	7354
POA2395	0	57
POA2395	1	532
POA2396	0	35
POA2396	1	756
POA2397	0	8
POA2397	1	328
POA2398	0	8
POA2398	1	211
POA2399	0	19
POA2399	1	465
POA2400	0	576
POA2400	1	8120
POA2401	0	13
POA2401	1	273
POA2402	0	70
POA2402	1	1550
POA2403	0	25
POA2403	1	607
POA2404	0	74
POA2404	1	1548
POA2405	0	17
POA2405	1	435
POA2406	0	56
POA2406	1	668
POA2408	0	22
POA2408	1	302
POA2409	0	24
POA2409	1	915
POA2410	0	9
POA2410	1	235
POA2411	0	8
POA2411	1	95
POA2415	0	30
POA2415	1	318
POA2420	0	196
POA2420	1	3431
POA2421	0	88
POA2421	1	1625
POA2422	0	393
POA2422	1	4492
POA2423	0	281
POA2423	1	2396
POA2424	0	37
POA2424	1	336
POA2425	0	142
POA2425	1	1515
POA2426	0	38
POA2426	1	608
POA2427	0	299
POA2427	1	2602
POA2428	0	2515
POA2428	1	19420
POA2429	0	749
POA2429	1	8080
POA2430	0	2993
POA2430	1	28324
POA2431	0	430
POA2431	1	4270
POA2439	0	258
POA2439	1	2366
POA2440	0	1421
POA2440	1	18164
POA2441	0	403
POA2441	1	3464
POA2443	0	961
POA2443	1	7075
POA2444	0	6104
POA2444	1	37073
POA2445	0	595
POA2445	1	5553
POA2446	0	993
POA2446	1	11228
POA2447	0	509
POA2447	1	5989
POA2448	0	990
POA2448	1	7170
POA2449	0	189
POA2449	1	1808
POA2450	0	6344
POA2450	1	33861
POA2452	0	1570
POA2452	1	12625
POA2453	0	266
POA2453	1	2285
POA2454	0	1051
POA2454	1	5939
POA2455	0	245
POA2455	1	2482
POA2456	0	2281
POA2456	1	11332
POA2460	0	1815
POA2460	1	24955
POA2462	0	161
POA2462	1	2044
POA2463	0	637
POA2463	1	6300
POA2464	0	798
POA2464	1	5308
POA2465	0	15
POA2465	1	258
POA2466	0	146
POA2466	1	1422
POA2469	0	432
POA2469	1	3121
POA2470	0	776
POA2470	1	13172
POA2471	0	159
POA2471	1	2079
POA2472	0	124
POA2472	1	1533
POA2473	0	197
POA2473	1	2596
POA2474	0	585
POA2474	1	5072
POA2475	0	23
POA2475	1	293
POA2476	0	53
POA2476	1	673
POA2477	0	1213
POA2477	1	10206
POA2478	0	3213
POA2478	1	22824
POA2479	0	786
POA2479	1	3460
POA2480	0	4311
POA2480	1	36353
POA2481	0	2230
POA2481	1	7553
POA2482	0	1139
POA2482	1	4198
POA2483	0	1642
POA2483	1	7813
POA2484	0	2131
POA2484	1	14853
POA2485	0	2717
POA2485	1	10119
POA2486	0	5042
POA2486	1	24536
POA2487	0	1767
POA2487	1	10503
POA2488	0	440
POA2488	1	2567
POA2489	0	993
POA2489	1	6012
POA2490	0	71
POA2490	1	525
POA2500	0	12398
POA2500	1	25143
POA2502	0	3974
POA2502	1	7405
POA2505	0	1276
POA2505	1	3320
POA2506	0	1645
POA2506	1	5407
POA2508	0	1142
POA2508	1	7425
POA2515	0	1696
POA2515	1	8863
POA2516	0	863
POA2516	1	4940
POA2517	0	1963
POA2517	1	11141
POA2518	0	3514
POA2518	1	14486
POA2519	0	4058
POA2519	1	11968
POA2522	0	97
POA2522	1	193
POA2525	0	2522
POA2525	1	8545
POA2526	0	2941
POA2526	1	11828
POA2527	0	2867
POA2527	1	17450
POA2528	0	4391
POA2528	1	17543
POA2529	0	4598
POA2529	1	20057
POA2530	0	5395
POA2530	1	25254
POA2533	0	2294
POA2533	1	12432
POA2534	0	640
POA2534	1	4509
POA2535	0	1050
POA2535	1	5675
POA2536	0	2503
POA2536	1	13658
POA2537	0	1492
POA2537	1	9300
POA2538	0	309
POA2538	1	1835
POA2539	0	2193
POA2539	1	14392
POA2540	0	5856
POA2540	1	35798
POA2541	0	3104
POA2541	1	20264
POA2545	0	117
POA2545	1	832
POA2546	0	1207
POA2546	1	6978
POA2548	0	1139
POA2548	1	5949
POA2549	0	393
POA2549	1	3105
POA2550	0	1612
POA2550	1	12824
POA2551	0	385
POA2551	1	2752
POA2555	0	60
POA2555	1	146
POA2556	0	529
POA2556	1	1814
POA2557	0	2126
POA2557	1	6036
POA2558	0	2829
POA2558	1	7882
POA2559	0	629
POA2559	1	1785
POA2560	0	19683
POA2560	1	51841
POA2563	0	33
POA2563	1	246
POA2564	0	5279
POA2564	1	7483
POA2565	0	7746
POA2565	1	10919
POA2566	0	9284
POA2566	1	15718
POA2567	0	6502
POA2567	1	30534
POA2568	0	140
POA2568	1	930
POA2569	0	166
POA2569	1	1093
POA2570	0	5868
POA2570	1	32121
POA2571	0	1373
POA2571	1	9808
POA2572	0	591
POA2572	1	3536
POA2573	0	607
POA2573	1	4074
POA2574	0	671
POA2574	1	4697
POA2575	0	2177
POA2575	1	12183
POA2576	0	2522
POA2576	1	10024
POA2577	0	2356
POA2577	1	11786
POA2578	0	495
POA2578	1	2048
POA2579	0	560
POA2579	1	3166
POA2580	0	2775
POA2580	1	24225
POA2581	0	189
POA2581	1	1740
POA2582	0	1213
POA2582	1	10354
POA2583	0	242
POA2583	1	3676
POA2584	0	40
POA2584	1	455
POA2585	0	13
POA2585	1	185
POA2586	0	173
POA2586	1	2237
POA2587	0	194
POA2587	1	2512
POA2588	0	13
POA2588	1	232
POA2590	0	437
POA2590	1	6046
POA2594	0	676
POA2594	1	10037
POA2600	0	1877
POA2600	1	4962
POA2601	0	3188
POA2601	1	2656
POA2602	0	7959
POA2602	1	20635
POA2603	0	2440
POA2603	1	6186
POA2604	0	2550
POA2604	1	6856
POA2605	0	3100
POA2605	1	7877
POA2606	0	3452
POA2606	1	5277
POA2607	0	3908
POA2607	1	9156
POA2609	0	156
POA2609	1	585
POA2611	0	6265
POA2611	1	20086
POA2612	0	4662
POA2612	1	9996
POA2614	0	5050
POA2614	1	13415
POA2615	0	9455
POA2615	1	32708
POA2617	0	10409
POA2617	1	20036
POA2618	0	193
POA2618	1	1137
POA2619	0	1510
POA2619	1	7686
POA2620	0	7387
POA2620	1	28643
POA2621	0	728
POA2621	1	4839
POA2622	0	450
POA2622	1	2974
POA2623	0	78
POA2623	1	472
POA2625	0	61
POA2625	1	220
POA2626	0	58
POA2626	1	382
POA2627	0	649
POA2627	1	3545
POA2628	0	211
POA2628	1	1560
POA2629	0	101
POA2629	1	358
POA2630	0	1213
POA2630	1	6632
POA2631	0	47
POA2631	1	468
POA2632	0	138
POA2632	1	1531
POA2633	0	23
POA2633	1	309
POA2640	0	3698
POA2640	1	29921
POA2641	0	1883
POA2641	1	11937
POA2642	0	291
POA2642	1	4073
POA2643	0	226
POA2643	1	2238
POA2644	0	122
POA2644	1	2070
POA2645	0	21
POA2645	1	302
POA2646	0	451
POA2646	1	5691
POA2647	0	146
POA2647	1	1808
POA2648	0	128
POA2648	1	1918
POA2649	0	3
POA2649	1	25
POA2650	0	5418
POA2650	1	48017
POA2651	0	217
POA2651	1	1937
POA2652	0	233
POA2652	1	3848
POA2653	0	206
POA2653	1	2097
POA2655	0	58
POA2655	1	1140
POA2656	0	53
POA2656	1	1096
POA2658	0	87
POA2658	1	1241
POA2659	0	46
POA2659	1	780
POA2660	0	121
POA2660	1	1365
POA2661	0	68
POA2661	1	458
POA2663	0	425
POA2663	1	4244
POA2665	0	88
POA2665	1	1882
POA2666	0	263
POA2666	1	4982
POA2668	0	22
POA2668	1	387
POA2669	0	67
POA2669	1	1413
POA2671	0	211
POA2671	1	3337
POA2672	0	68
POA2672	1	1284
POA2675	0	185
POA2675	1	1192
POA2678	0	40
POA2678	1	300
POA2680	0	4670
POA2680	1	16772
POA2681	0	154
POA2681	1	1390
POA2700	0	246
POA2700	1	4065
POA2701	0	81
POA2701	1	2044
POA2702	0	29
POA2702	1	661
POA2703	0	29
POA2703	1	863
POA2705	0	873
POA2705	1	8196
POA2706	0	66
POA2706	1	957
POA2707	0	71
POA2707	1	1131
POA2710	0	630
POA2710	1	8365
POA2711	0	218
POA2711	1	2676
POA2712	0	75
POA2712	1	1092
POA2713	0	214
POA2713	1	2280
POA2714	0	239
POA2714	1	2253
POA2715	0	66
POA2715	1	1266
POA2716	0	80
POA2716	1	842
POA2717	0	58
POA2717	1	1119
POA2720	0	612
POA2720	1	6490
POA2721	0	16
POA2721	1	188
POA2722	0	141
POA2722	1	2763
POA2725	0	25
POA2725	1	306
POA2726	0	10
POA2726	1	185
POA2727	0	6
POA2727	1	316
POA2729	0	80
POA2729	1	1464
POA2730	0	208
POA2730	1	1054
POA2731	0	508
POA2731	1	5380
POA2732	0	92
POA2732	1	1496
POA2733	0	32
POA2733	1	435
POA2734	0	19
POA2734	1	388
POA2735	0	24
POA2735	1	373
POA2736	0	43
POA2736	1	283
POA2737	0	76
POA2737	1	629
POA2738	0	71
POA2738	1	1453
POA2739	0	104
POA2739	1	1137
POA2745	0	5540
POA2745	1	22594
POA2747	0	9788
POA2747	1	30148
POA2748	0	434
POA2748	1	1325
POA2749	0	2536
POA2749	1	13435
POA2750	0	8496
POA2750	1	33679
POA2752	0	536
POA2752	1	4143
POA2753	0	2428
POA2753	1	13506
POA2754	0	704
POA2754	1	4724
POA2755	0	16
POA2755	1	152
POA2756	0	3752
POA2756	1	28063
POA2757	0	118
POA2757	1	695
POA2758	0	1038
POA2758	1	6963
POA2759	0	6628
POA2759	1	18383
POA2760	0	10519
POA2760	1	20708
POA2761	0	13155
POA2761	1	16259
POA2762	0	1497
POA2762	1	3212
POA2763	0	11967
POA2763	1	17774
POA2765	0	2882
POA2765	1	12059
POA2766	0	7479
POA2766	1	7185
POA2767	0	10982
POA2767	1	10514
POA2768	0	12969
POA2768	1	15024
POA2769	0	5392
POA2769	1	5894
POA2770	0	21166
POA2770	1	34812
POA2773	0	853
POA2773	1	4892
POA2774	0	1844
POA2774	1	10645
POA2775	0	216
POA2775	1	996
POA2776	0	565
POA2776	1	3320
POA2777	0	2714
POA2777	1	14265
POA2778	0	437
POA2778	1	1883
POA2779	0	766
POA2779	1	4015
POA2780	0	2873
POA2780	1	9300
POA2782	0	1171
POA2782	1	4532
POA2783	0	447
POA2783	1	2025
POA2784	0	194
POA2784	1	962
POA2785	0	885
POA2785	1	3328
POA2786	0	212
POA2786	1	885
POA2787	0	423
POA2787	1	3470
POA2790	0	1568
POA2790	1	12570
POA2791	0	27
POA2791	1	286
POA2792	0	40
POA2792	1	308
POA2793	0	82
POA2793	1	782
POA2794	0	602
POA2794	1	8870
POA2795	0	3648
POA2795	1	35562
POA2797	0	18
POA2797	1	372
POA2798	0	132
POA2798	1	1784
POA2799	0	251
POA2799	1	3521
POA2800	0	4084
POA2800	1	37679
POA2803	0	25
POA2803	1	222
POA2804	0	132
POA2804	1	2317
POA2805	0	29
POA2805	1	341
POA2806	0	41
POA2806	1	667
POA2807	0	48
POA2807	1	330
POA2808	0	26
POA2808	1	136
POA2809	0	23
POA2809	1	168
POA2810	0	167
POA2810	1	2700
POA2817	0	13
POA2817	1	258
POA2818	0	43
POA2818	1	743
POA2820	0	432
POA2820	1	5968
POA2821	0	164
POA2821	1	4153
POA2822	0	20
POA2822	1	347
POA2823	0	51
POA2823	1	1179
POA2824	0	101
POA2824	1	1812
POA2825	0	117
POA2825	1	1997
POA2826	0	12
POA2826	1	162
POA2827	0	142
POA2827	1	3181
POA2828	0	18
POA2828	1	684
POA2829	0	84
POA2829	1	2497
POA2830	0	3055
POA2830	1	34024
POA2831	0	74
POA2831	1	1636
POA2832	0	133
POA2832	1	2040
POA2833	0	17
POA2833	1	587
POA2834	0	383
POA2834	1	1606
POA2835	0	316
POA2835	1	3289
POA2836	0	36
POA2836	1	771
POA2838	0	4
POA2838	1	229
POA2839	0	26
POA2839	1	1163
POA2840	0	100
POA2840	1	2021
POA2842	0	40
POA2842	1	525
POA2843	0	67
POA2843	1	1066
POA2844	0	69
POA2844	1	1069
POA2845	0	116
POA2845	1	1607
POA2846	0	34
POA2846	1	196
POA2847	0	158
POA2847	1	1946
POA2848	0	152
POA2848	1	1290
POA2849	0	157
POA2849	1	1207
POA2850	0	1336
POA2850	1	14405
POA2852	0	202
POA2852	1	2852
POA2864	0	57
POA2864	1	703
POA2865	0	29
POA2865	1	711
POA2866	0	175
POA2866	1	2627
POA2867	0	41
POA2867	1	521
POA2868	0	41
POA2868	1	555
POA2869	0	88
POA2869	1	1147
POA2870	0	665
POA2870	1	10211
POA2871	0	369
POA2871	1	8019
POA2873	0	22
POA2873	1	437
POA2874	0	11
POA2874	1	370
POA2875	0	42
POA2875	1	824
POA2876	0	13
POA2876	1	353
POA2877	0	141
POA2877	1	3290
POA2878	0	22
POA2878	1	248
POA2879	0	25
POA2879	1	492
POA2880	0	823
POA2880	1	15842
POA2898	0	60
POA2898	1	287
POA2899	0	540
POA2899	1	1069
POA2900	0	713
POA2900	1	1109
POA2902	0	2820
POA2902	1	11305
POA2903	0	1955
POA2903	1	6827
POA2904	0	2743
POA2904	1	9445
POA2905	0	5295
POA2905	1	22038
POA2906	0	3208
POA2906	1	13666
POA2911	0	1697
POA2911	1	2601
POA2912	0	2540
POA2912	1	3232
POA2913	0	10817
POA2913	1	22565
POA2914	0	8601
POA2914	1	15623
POA3000	0	27959
POA3000	1	5509
POA3002	0	1273
POA3002	1	3112
POA3003	0	2621
POA3003	1	2318
POA3004	0	4178
POA3004	1	3926
POA3005	0	223
POA3005	1	167
POA3006	0	10815
POA3006	1	5539
POA3008	0	6295
POA3008	1	2809
POA3010	0	511
POA3010	1	1012
POA3011	0	8998
POA3011	1	10463
POA3012	0	10585
POA3012	1	13969
POA3013	0	3718
POA3013	1	10297
POA3015	0	4070
POA3015	1	12524
POA3016	0	3300
POA3016	1	11353
POA3018	0	3614
POA3018	1	8280
POA3019	0	5163
POA3019	1	3319
POA3020	0	23549
POA3020	1	17755
POA3021	0	29845
POA3021	1	19534
POA3022	0	1416
POA3022	1	1438
POA3023	0	28130
POA3023	1	32018
POA3024	0	7694
POA3024	1	14671
POA3025	0	4498
POA3025	1	6589
POA3026	0	23
POA3026	1	27
POA3027	0	3774
POA3027	1	2556
POA3028	0	10919
POA3028	1	16438
POA3029	0	42378
POA3029	1	46318
POA3030	0	40330
POA3030	1	54376
POA3031	0	6191
POA3031	1	10630
POA3032	0	10677
POA3032	1	16565
POA3033	0	4182
POA3033	1	9517
POA3034	0	4699
POA3034	1	6178
POA3036	0	1271
POA3036	1	4346
POA3037	0	18559
POA3037	1	29858
POA3038	0	9432
POA3038	1	16386
POA3039	0	3723
POA3039	1	9725
POA3040	0	5872
POA3040	1	18571
POA3041	0	2502
POA3041	1	9238
POA3042	0	3953
POA3042	1	10895
POA3043	0	5557
POA3043	1	10874
POA3044	0	7430
POA3044	1	17822
POA3045	0	7
