POA_CODE_2016	MaxSchoolingCompleted	adults
POA2038	Year 8	140
POA2038	Year 9	190
POA2038	Year 10	717
POA2038	Year 11	255
POA2038	Year 12	5882
POA2039	Did not go to school	28
POA2039	Year 8	94
POA2039	Year 9	138
POA2039	Year 10	639
POA2039	Year 11	284
POA2039	Year 12	5333
POA2040	Did not go to school	131
POA2040	Year 8	654
POA2040	Year 9	515
POA2040	Year 10	1969
POA2040	Year 11	679
POA2040	Year 12	12339
POA2041	Did not go to school	39
POA2041	Year 8	191
POA2041	Year 9	296
POA2041	Year 10	1164
POA2041	Year 11	460
POA2041	Year 12	9489
POA2042	Did not go to school	121
POA2042	Year 8	330
POA2042	Year 9	270
POA2042	Year 10	1207
POA2042	Year 11	546
POA2042	Year 12	12957
POA2043	Did not go to school	21
POA2043	Year 8	83
POA2043	Year 9	84
POA2043	Year 10	486
POA2043	Year 11	244
POA2043	Year 12	5534
POA2044	Did not go to school	119
POA2044	Year 8	300
POA2044	Year 9	160
POA2044	Year 10	808
POA2044	Year 11	313
POA2044	Year 12	4470
POA2045	Did not go to school	78
POA2045	Year 8	547
POA2045	Year 9	201
POA2045	Year 10	746
POA2045	Year 11	218
POA2045	Year 12	3159
POA2046	Did not go to school	263
POA2046	Year 8	1277
POA2046	Year 9	880
POA2046	Year 10	3383
POA2046	Year 11	857
POA2046	Year 12	13759
POA2047	Did not go to school	56
POA2047	Year 8	332
POA2047	Year 9	343
POA2047	Year 10	1220
POA2047	Year 11	398
POA2047	Year 12	6746
POA2048	Did not go to school	74
POA2048	Year 8	238
POA2048	Year 9	151
POA2048	Year 10	595
POA2048	Year 11	247
POA2048	Year 12	4873
POA2049	Did not go to school	108
POA2049	Year 8	374
POA2049	Year 9	276
POA2049	Year 10	953
POA2049	Year 11	337
POA2049	Year 12	6730
POA2050	Did not go to school	22
POA2050	Year 8	77
POA2050	Year 9	133
POA2050	Year 10	426
POA2050	Year 11	226
POA2050	Year 12	6632
POA2052	Did not go to school	3
POA2052	Year 8	12
POA2052	Year 9	19
POA2052	Year 10	30
POA2052	Year 11	55
POA2052	Year 12	3056
POA2060	Did not go to school	36
POA2060	Year 8	103
POA2060	Year 9	212
POA2060	Year 10	808
POA2060	Year 11	404
POA2060	Year 12	9803
POA2061	Did not go to school	19
POA2061	Year 8	66
POA2061	Year 9	74
POA2061	Year 10	332
POA2061	Year 11	152
POA2061	Year 12	4250
POA2062	Did not go to school	13
POA2062	Year 8	62
POA2062	Year 9	82
POA2062	Year 10	476
POA2062	Year 11	207
POA2062	Year 12	4518
POA2063	Did not go to school	15
POA2063	Year 8	80
POA2063	Year 9	137
POA2063	Year 10	466
POA2063	Year 11	235
POA2063	Year 12	3743
POA2064	Did not go to school	45
POA2064	Year 8	108
POA2064	Year 9	153
POA2064	Year 10	503
POA2064	Year 11	242
POA2064	Year 12	6146
POA2065	Did not go to school	72
POA2065	Year 8	291
POA2065	Year 9	409
POA2065	Year 10	1718
POA2065	Year 11	798
POA2065	Year 12	20513
POA2066	Did not go to school	99
POA2066	Year 8	402
POA2066	Year 9	657
POA2066	Year 10	2302
POA2066	Year 11	1069
POA2066	Year 12	19657
POA2067	Did not go to school	219
POA2067	Year 8	491
POA2067	Year 9	575
POA2067	Year 10	1429
POA2067	Year 11	727
POA2067	Year 12	17276
POA2068	Did not go to school	91
POA2068	Year 8	382
POA2068	Year 9	393
POA2068	Year 10	1306
POA2068	Year 11	540
POA2068	Year 12	9515
POA2069	Did not go to school	47
POA2069	Year 8	158
POA2069	Year 9	327
POA2069	Year 10	900
POA2069	Year 11	464
POA2069	Year 12	8724
POA2070	Did not go to school	45
POA2070	Year 8	179
POA2070	Year 9	304
POA2070	Year 10	861
POA2070	Year 11	495
POA2070	Year 12	8335
POA2071	Did not go to school	51
POA2071	Year 8	184
POA2071	Year 9	348
POA2071	Year 10	820
POA2071	Year 11	502
POA2071	Year 12	8585
POA2072	Did not go to school	28
POA2072	Year 8	89
POA2072	Year 9	167
POA2072	Year 10	381
POA2072	Year 11	243
POA2072	Year 12	4935
POA2073	Did not go to school	40
POA2073	Year 8	173
POA2073	Year 9	389
POA2073	Year 10	1058
POA2073	Year 11	541
POA2073	Year 12	10038
POA2074	Did not go to school	50
POA2074	Year 8	223
POA2074	Year 9	643
POA2074	Year 10	1922
POA2074	Year 11	889
POA2074	Year 12	13177
POA2075	Did not go to school	55
POA2075	Year 8	252
POA2075	Year 9	532
POA2075	Year 10	1606
POA2075	Year 11	797
POA2075	Year 12	12291
POA2076	Did not go to school	90
POA2076	Year 8	356
POA2076	Year 9	717
POA2076	Year 10	2291
POA2076	Year 11	969
POA2076	Year 12	14148
POA2077	Did not go to school	241
POA2077	Year 8	658
POA2077	Year 9	996
POA2077	Year 10	3798
POA2077	Year 11	1273
POA2077	Year 12	21768
POA2079	Did not go to school	12
POA2079	Year 8	96
POA2079	Year 9	233
POA2079	Year 10	1076
POA2079	Year 11	305
POA2079	Year 12	3698
POA2080	Did not go to school	7
POA2080	Year 8	31
POA2080	Year 9	70
POA2080	Year 10	271
POA2080	Year 11	81
POA2080	Year 12	819
POA2081	Year 8	81
POA2081	Year 9	191
POA2081	Year 10	906
POA2081	Year 11	261
POA2081	Year 12	2612
POA2082	Did not go to school	17
POA2082	Year 8	82
POA2082	Year 9	223
POA2082	Year 10	955
POA2082	Year 11	255
POA2082	Year 12	2430
POA2083	Did not go to school	4
POA2083	Year 8	40
POA2083	Year 9	54
POA2083	Year 10	310
POA2083	Year 11	79
POA2083	Year 12	718
POA2084	Did not go to school	13
POA2084	Year 8	68
POA2084	Year 9	152
POA2084	Year 10	628
POA2084	Year 11	185
POA2084	Year 12	1673
POA2085	Did not go to school	30
POA2085	Year 8	231
POA2085	Year 9	452
POA2085	Year 10	1805
POA2085	Year 11	546
POA2085	Year 12	5714
POA2086	Did not go to school	36
POA2086	Year 8	235
POA2086	Year 9	418
POA2086	Year 10	1796
POA2086	Year 11	563
POA2086	Year 12	6839
POA2087	Did not go to school	52
POA2087	Year 8	264
POA2087	Year 9	450
POA2087	Year 10	1544
POA2087	Year 11	512
POA2087	Year 12	6637
POA2088	Did not go to school	45
POA2088	Year 8	222
POA2088	Year 9	555
POA2088	Year 10	1892
POA2088	Year 11	1027
POA2088	Year 12	17798
POA2089	Did not go to school	20
POA2089	Year 8	64
POA2089	Year 9	134
POA2089	Year 10	681
POA2089	Year 11	364
POA2089	Year 12	8169
POA2090	Did not go to school	19
POA2090	Year 8	87
POA2090	Year 9	179
POA2090	Year 10	850
POA2090	Year 11	414
POA2090	Year 12	9225
POA2092	Did not go to school	10
POA2092	Year 8	82
POA2092	Year 9	164
POA2092	Year 10	609
POA2092	Year 11	264
POA2092	Year 12	3960
POA2093	Did not go to school	31
POA2093	Year 8	269
POA2093	Year 9	561
POA2093	Year 10	2182
POA2093	Year 11	887
POA2093	Year 12	12548
POA2094	Did not go to school	7
POA2094	Year 8	53
POA2094	Year 9	108
POA2094	Year 10	527
POA2094	Year 11	213
POA2094	Year 12	3607
POA2095	Did not go to school	18
POA2095	Year 8	142
POA2095	Year 9	311
POA2095	Year 10	1158
POA2095	Year 11	517
POA2095	Year 12	10195
POA2096	Did not go to school	18
POA2096	Year 8	160
POA2096	Year 9	349
POA2096	Year 10	1472
POA2096	Year 11	526
POA2096	Year 12	8359
POA2097	Did not go to school	34
POA2097	Year 8	255
POA2097	Year 9	552
POA2097	Year 10	2429
POA2097	Year 11	713
POA2097	Year 12	7518
POA2099	Did not go to school	296
POA2099	Year 8	1057
POA2099	Year 9	1412
POA2099	Year 10	5770
POA2099	Year 11	1763
POA2099	Year 12	19917
POA2100	Did not go to school	120
POA2100	Year 8	540
POA2100	Year 9	746
POA2100	Year 10	2992
POA2100	Year 11	911
POA2100	Year 12	10309
POA2101	Did not go to school	31
POA2101	Year 8	402
POA2101	Year 9	789
POA2101	Year 10	3250
POA2101	Year 11	905
POA2101	Year 12	9187
POA2102	Did not go to school	3
POA2102	Year 8	108
POA2102	Year 9	240
POA2102	Year 10	1104
POA2102	Year 11	334
POA2102	Year 12	3505
POA2103	Did not go to school	28
POA2103	Year 8	197
POA2103	Year 9	420
POA2103	Year 10	1769
POA2103	Year 11	496
POA2103	Year 12	5210
POA2104	Did not go to school	3
POA2104	Year 8	54
POA2104	Year 9	139
POA2104	Year 10	589
POA2104	Year 11	171
POA2104	Year 12	1872
POA2105	Did not go to school	3
POA2105	Year 8	24
POA2105	Year 9	36
POA2105	Year 10	239
POA2105	Year 11	69
POA2105	Year 12	1023
POA2106	Did not go to school	6
POA2106	Year 8	102
POA2106	Year 9	253
POA2106	Year 10	1358
POA2106	Year 11	486
POA2106	Year 12	4997
POA2107	Did not go to school	9
POA2107	Year 8	151
POA2107	Year 9	425
POA2107	Year 10	2102
POA2107	Year 11	761
POA2107	Year 12	7732
POA2108	Year 8	22
POA2108	Year 9	42
POA2108	Year 10	221
POA2108	Year 11	75
POA2108	Year 12	981
POA2109	Did not go to school	4
POA2109	Year 8	34
POA2109	Year 9	61
POA2109	Year 10	90
POA2109	Year 11	56
POA2109	Year 12	2363
POA2110	Did not go to school	29
POA2110	Year 8	208
POA2110	Year 9	386
POA2110	Year 10	1028
POA2110	Year 11	459
POA2110	Year 12	5479
POA2111	Did not go to school	95
POA2111	Year 8	442
POA2111	Year 9	482
POA2111	Year 10	1603
POA2111	Year 11	510
POA2111	Year 12	7950
POA2112	Did not go to school	290
POA2112	Year 8	1042
POA2112	Year 9	963
POA2112	Year 10	3714
POA2112	Year 11	1071
POA2112	Year 12	18331
POA2113	Did not go to school	170
POA2113	Year 8	523
POA2113	Year 9	549
POA2113	Year 10	1923
POA2113	Year 11	590
POA2113	Year 12	10678
POA2114	Did not go to school	217
POA2114	Year 8	563
POA2114	Year 9	563
POA2114	Year 10	2092
POA2114	Year 11	732
POA2114	Year 12	15022
POA2115	Did not go to school	153
POA2115	Year 8	415
POA2115	Year 9	431
POA2115	Year 10	1430
POA2115	Year 11	460
POA2115	Year 12	5093
POA2116	Did not go to school	63
POA2116	Year 8	208
POA2116	Year 9	275
POA2116	Year 10	898
POA2116	Year 11	260
POA2116	Year 12	3337
POA2117	Did not go to school	231
POA2117	Year 8	588
POA2117	Year 9	775
POA2117	Year 10	2588
POA2117	Year 11	781
POA2117	Year 12	11225
POA2118	Did not go to school	230
POA2118	Year 8	485
POA2118	Year 9	789
POA2118	Year 10	2370
POA2118	Year 11	861
POA2118	Year 12	14135
POA2119	Did not go to school	27
POA2119	Year 8	115
POA2119	Year 9	359
POA2119	Year 10	1063
POA2119	Year 11	440
POA2119	Year 12	6923
POA2120	Did not go to school	114
POA2120	Year 8	291
POA2120	Year 9	559
POA2120	Year 10	2213
POA2120	Year 11	777
POA2120	Year 12	11566
POA2121	Did not go to school	165
POA2121	Year 8	387
POA2121	Year 9	743
POA2121	Year 10	2172
POA2121	Year 11	870
POA2121	Year 12	18105
POA2122	Did not go to school	305
POA2122	Year 8	749
POA2122	Year 9	838
POA2122	Year 10	2442
POA2122	Year 11	868
POA2122	Year 12	19947
POA2125	Did not go to school	65
POA2125	Year 8	253
POA2125	Year 9	500
POA2125	Year 10	1729
POA2125	Year 11	632
POA2125	Year 12	9780
POA2126	Did not go to school	81
POA2126	Year 8	316
POA2126	Year 9	541
POA2126	Year 10	1866
POA2126	Year 11	749
POA2126	Year 12	11194
POA2127	Did not go to school	66
POA2127	Year 8	116
POA2127	Year 9	190
POA2127	Year 10	924
POA2127	Year 11	380
POA2127	Year 12	9097
POA2128	Did not go to school	43
POA2128	Year 8	77
POA2128	Year 9	66
POA2128	Year 10	206
POA2128	Year 11	79
POA2128	Year 12	1238
POA2130	Did not go to school	37
POA2130	Year 8	201
POA2130	Year 9	153
POA2130	Year 10	543
POA2130	Year 11	221
POA2130	Year 12	4494
POA2131	Did not go to school	339
POA2131	Year 8	907
POA2131	Year 9	584
POA2131	Year 10	1842
POA2131	Year 11	648
POA2131	Year 12	14846
POA2132	Did not go to school	196
POA2132	Year 8	528
POA2132	Year 9	312
POA2132	Year 10	1070
POA2132	Year 11	368
POA2132	Year 12	5816
POA2133	Did not go to school	187
POA2133	Year 8	567
POA2133	Year 9	344
POA2133	Year 10	1393
POA2133	Year 11	400
POA2133	Year 12	5616
POA2134	Did not go to school	317
POA2134	Year 8	591
POA2134	Year 9	398
POA2134	Year 10	923
POA2134	Year 11	457
POA2134	Year 12	10805
POA2135	Did not go to school	308
POA2135	Year 8	695
POA2135	Year 9	551
POA2135	Year 10	1686
POA2135	Year 11	644
POA2135	Year 12	16641
POA2136	Did not go to school	95
POA2136	Year 8	322
POA2136	Year 9	211
POA2136	Year 10	872
POA2136	Year 11	249
POA2136	Year 12	3969
POA2137	Did not go to school	243
POA2137	Year 8	1034
POA2137	Year 9	807
POA2137	Year 10	3221
POA2137	Year 11	940
POA2137	Year 12	14401
POA2138	Did not go to school	204
POA2138	Year 8	376
POA2138	Year 9	402
POA2138	Year 10	1195
POA2138	Year 11	497
POA2138	Year 12	13419
POA2139	Did not go to school	5
POA2139	Year 8	7
POA2139	Year 9	3
POA2139	Year 10	10
POA2139	Year 11	4
POA2139	Year 12	19
POA2140	Did not go to school	188
POA2140	Year 8	342
POA2140	Year 9	274
POA2140	Year 10	862
POA2140	Year 11	446
POA2140	Year 12	10194
POA2141	Did not go to school	927
POA2141	Year 8	1383
POA2141	Year 9	912
POA2141	Year 10	2608
POA2141	Year 11	955
POA2141	Year 12	15823
POA2142	Did not go to school	762
POA2142	Year 8	1180
POA2142	Year 9	817
POA2142	Year 10	2645
POA2142	Year 11	871
POA2142	Year 12	12666
POA2143	Did not go to school	234
POA2143	Year 8	488
POA2143	Year 9	365
POA2143	Year 10	1096
POA2143	Year 11	366
POA2143	Year 12	4124
POA2144	Did not go to school	2018
POA2144	Year 8	2515
POA2144	Year 9	1168
POA2144	Year 10	3220
POA2144	Year 11	1317
POA2144	Year 12	17622
POA2145	Did not go to school	939
POA2145	Year 8	3098
POA2145	Year 9	2776
POA2145	Year 10	10357
POA2145	Year 11	2682
POA2145	Year 12	37809
POA2146	Did not go to school	150
POA2146	Year 8	594
POA2146	Year 9	730
POA2146	Year 10	2668
POA2146	Year 11	720
POA2146	Year 12	8205
POA2147	Did not go to school	257
POA2147	Year 8	1399
POA2147	Year 9	1789
POA2147	Year 10	6629
POA2147	Year 11	1632
POA2147	Year 12	15450
POA2148	Did not go to school	742
POA2148	Year 8	2831
POA2148	Year 9	2914
POA2148	Year 10	9779
POA2148	Year 11	2743
POA2148	Year 12	27691
POA2150	Did not go to school	571
POA2150	Year 8	577
POA2150	Year 9	518
POA2150	Year 10	1795
POA2150	Year 11	650
POA2150	Year 12	19672
POA2151	Did not go to school	177
POA2151	Year 8	539
POA2151	Year 9	693
POA2151	Year 10	2551
POA2151	Year 11	791
POA2151	Year 12	11131
POA2152	Did not go to school	68
POA2152	Year 8	289
POA2152	Year 9	499
POA2152	Year 10	1647
POA2152	Year 11	462
POA2152	Year 12	5612
POA2153	Did not go to school	246
POA2153	Year 8	1125
POA2153	Year 9	1937
POA2153	Year 10	7833
POA2153	Year 11	2223
POA2153	Year 12	29481
POA2154	Did not go to school	197
POA2154	Year 8	678
POA2154	Year 9	1333
POA2154	Year 10	4808
POA2154	Year 11	1534
POA2154	Year 12	21629
POA2155	Did not go to school	186
POA2155	Year 8	881
POA2155	Year 9	1644
POA2155	Year 10	7107
POA2155	Year 11	2295
POA2155	Year 12	27415
POA2156	Did not go to school	39
POA2156	Year 8	265
POA2156	Year 9	623
POA2156	Year 10	2453
POA2156	Year 11	569
POA2156	Year 12	6159
POA2157	Did not go to school	29
POA2157	Year 8	128
POA2157	Year 9	162
POA2157	Year 10	723
POA2157	Year 11	195
POA2157	Year 12	1526
POA2158	Did not go to school	51
POA2158	Year 8	220
POA2158	Year 9	357
POA2158	Year 10	1387
POA2158	Year 11	385
POA2158	Year 12	4224
POA2159	Did not go to school	28
POA2159	Year 8	124
POA2159	Year 9	247
POA2159	Year 10	967
POA2159	Year 11	250
POA2159	Year 12	2251
POA2160	Did not go to school	1140
POA2160	Year 8	2118
POA2160	Year 9	1444
POA2160	Year 10	4654
POA2160	Year 11	1436
POA2160	Year 12	15507
POA2161	Did not go to school	1019
POA2161	Year 8	1915
POA2161	Year 9	1398
POA2161	Year 10	4353
POA2161	Year 11	1307
POA2161	Year 12	11867
POA2162	Did not go to school	584
POA2162	Year 8	1158
POA2162	Year 9	995
POA2162	Year 10	2729
POA2162	Year 11	842
POA2162	Year 12	7141
POA2163	Did not go to school	372
POA2163	Year 8	658
POA2163	Year 9	480
POA2163	Year 10	1219
POA2163	Year 11	397
POA2163	Year 12	3255
POA2164	Did not go to school	770
POA2164	Year 8	1613
POA2164	Year 9	1052
POA2164	Year 10	3166
POA2164	Year 11	835
POA2164	Year 12	7175
POA2165	Did not go to school	2406
POA2165	Year 8	3809
POA2165	Year 9	2212
POA2165	Year 10	5089
POA2165	Year 11	1882
POA2165	Year 12	16139
POA2166	Did not go to school	3604
POA2166	Year 8	4538
POA2166	Year 9	2638
POA2166	Year 10	6077
POA2166	Year 11	2403
POA2166	Year 12	20713
POA2167	Did not go to school	60
POA2167	Year 8	256
POA2167	Year 9	377
POA2167	Year 10	1255
POA2167	Year 11	344
POA2167	Year 12	4510
POA2168	Did not go to school	1391
POA2168	Year 8	2630
POA2168	Year 9	2363
POA2168	Year 10	6604
POA2168	Year 11	2184
POA2168	Year 12	15518
POA2170	Did not go to school	2153
POA2170	Year 8	5426
POA2170	Year 9	4558
POA2170	Year 10	14972
POA2170	Year 11	4588
POA2170	Year 12	42588
POA2171	Did not go to school	632
POA2171	Year 8	1166
POA2171	Year 9	1137
POA2171	Year 10	4671
POA2171	Year 11	1529
POA2171	Year 12	15505
POA2172	Did not go to school	5
POA2172	Year 8	56
POA2172	Year 9	85
POA2172	Year 10	445
POA2172	Year 11	113
POA2172	Year 12	1377
POA2173	Did not go to school	46
POA2173	Year 8	257
POA2173	Year 9	416
POA2173	Year 10	2184
POA2173	Year 11	772
POA2173	Year 12	6802
POA2174	Did not go to school	22
POA2174	Year 8	60
POA2174	Year 9	56
POA2174	Year 10	233
POA2174	Year 11	80
POA2174	Year 12	1073
POA2175	Did not go to school	34
POA2175	Year 8	195
POA2175	Year 9	108
POA2175	Year 10	421
POA2175	Year 11	80
POA2175	Year 12	548
POA2176	Did not go to school	2072
