POA_CODE_2016	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
POA0828	25-34	1	1	0	M	18
POA0828	35-44				F	13
POA0828	35-44				M	10
POA0828	35-44	0			F	21
POA0828	35-44	0			M	41
POA0828	35-44	1	0	1	F	5
POA0828	35-44	1	1	0	F	26
POA0828	35-44	1	1	0	M	17
POA0828	35-44	1	1	1	F	3
POA0828	45-54				F	12
POA0828	45-54				M	12
POA0828	45-54	0			F	50
POA0828	45-54	0			M	49
POA0828	45-54	1	0	1	F	8
POA0828	45-54	1	0	1	M	4
POA0828	45-54	1	1	0	F	11
POA0828	45-54	1	1	0	M	14
POA0828	55-64				F	12
POA0828	55-64				M	27
POA0828	55-64	0			F	36
POA0828	55-64	0			M	49
POA0828	55-64	1	0	1	F	10
POA0828	55-64	1	0	1	M	6
POA0828	55-64	1	1	0	F	4
POA0828	55-64	1	1	0	M	3
POA0828	65-74				F	11
POA0828	65-74				M	14
POA0828	65-74	0			F	27
POA0828	65-74	0			M	42
POA0828	65-74	1	0	1	F	3
POA0828	65-74	1	1	0	M	3
POA0828	75-84	0			F	6
POA0828	75-84	0			M	6
POA0828	85+	0			F	3
POA0828	85+	0			M	3
POA0829	15-19				M	24
POA0829	15-19	0			F	7
POA0829	15-19	0			M	61
POA0829	20-24				F	14
POA0829	20-24				M	161
POA0829	20-24	0			F	40
POA0829	20-24	0			M	260
POA0829	20-24	1	0	1	M	3
POA0829	25-34				F	24
POA0829	25-34				M	349
POA0829	25-34	0			F	24
POA0829	25-34	0			M	147
POA0829	25-34	1	1	0	F	5
POA0829	25-34	1	1	0	M	3
POA0829	35-44				F	24
POA0829	35-44				M	231
POA0829	35-44	0			F	8
POA0829	35-44	0			M	30
POA0829	35-44	1	1	0	F	4
POA0829	35-44	1	1	0	M	14
POA0829	45-54				F	17
POA0829	45-54				M	147
POA0829	45-54	0			F	14
POA0829	45-54	0			M	34
POA0829	45-54	1	1	0	F	4
POA0829	45-54	1	1	0	M	5
POA0829	55-64				F	9
POA0829	55-64				M	46
POA0829	55-64	0			F	20
POA0829	55-64	0			M	24
POA0829	55-64	1	0	1	F	3
POA0829	55-64	1	0	1	M	3
POA0829	55-64	1	1	0	M	3
POA0829	65-74				M	4
POA0829	65-74	0			F	8
POA0829	65-74	0			M	7
POA0829	75-84	0			M	3
POA0830	15-19				F	87
POA0830	15-19				M	96
POA0830	15-19	0			F	436
POA0830	15-19	0			M	478
POA0830	15-19	1	0	1	F	56
POA0830	15-19	1	0	1	M	26
POA0830	15-19	1	1	0	F	12
POA0830	15-19	1	1	0	M	5
POA0830	20-24				F	84
POA0830	20-24				M	77
POA0830	20-24	0			F	357
POA0830	20-24	0			M	519
POA0830	20-24	1	0	1	F	39
POA0830	20-24	1	0	1	M	29
POA0830	20-24	1	1	0	F	110
POA0830	20-24	1	1	0	M	39
POA0830	20-24	1	1	1	F	4
POA0830	25-34				F	201
POA0830	25-34				M	178
POA0830	25-34	0			F	649
POA0830	25-34	0			M	867
POA0830	25-34	1	0	1	F	67
POA0830	25-34	1	0	1	M	49
POA0830	25-34	1	1	0	F	721
POA0830	25-34	1	1	0	M	456
POA0830	25-34	1	1	1	F	45
POA0830	25-34	1	1	1	M	10
POA0830	35-44				F	143
POA0830	35-44				M	160
POA0830	35-44	0			F	480
POA0830	35-44	0			M	573
POA0830	35-44	1	0	1	F	52
POA0830	35-44	1	0	1	M	32
POA0830	35-44	1	1	0	F	738
POA0830	35-44	1	1	0	M	613
POA0830	35-44	1	1	1	F	31
POA0830	35-44	1	1	1	M	16
POA0830	45-54				F	115
POA0830	45-54				M	135
POA0830	45-54	0			F	689
POA0830	45-54	0			M	786
POA0830	45-54	1	0	1	F	114
POA0830	45-54	1	0	1	M	52
POA0830	45-54	1	1	0	F	231
POA0830	45-54	1	1	0	M	290
POA0830	45-54	1	1	1	F	15
POA0830	45-54	1	1	1	M	5
POA0830	55-64				F	94
POA0830	55-64				M	116
POA0830	55-64	0			F	515
POA0830	55-64	0			M	608
POA0830	55-64	1	0	1	F	142
POA0830	55-64	1	0	1	M	63
POA0830	55-64	1	1	0	F	26
POA0830	55-64	1	1	0	M	58
POA0830	65-74				F	56
POA0830	65-74				M	52
POA0830	65-74	0			F	257
POA0830	65-74	0			M	295
POA0830	65-74	1	0	1	F	54
POA0830	65-74	1	0	1	M	25
POA0830	65-74	1	1	0	F	4
POA0830	65-74	1	1	0	M	9
POA0830	75-84				F	25
POA0830	75-84				M	24
POA0830	75-84	0			F	100
POA0830	75-84	0			M	87
POA0830	75-84	1	0	1	F	11
POA0830	75-84	1	0	1	M	8
POA0830	75-84	1	1	0	M	3
POA0830	85+				F	8
POA0830	85+				M	3
POA0830	85+	0			F	27
POA0830	85+	0			M	25
POA0832	15-19				F	40
POA0832	15-19				M	47
POA0832	15-19	0			F	321
POA0832	15-19	0			M	357
POA0832	15-19	1	0	1	F	42
POA0832	15-19	1	0	1	M	36
POA0832	15-19	1	1	0	F	5
POA0832	20-24				F	57
POA0832	20-24				M	56
POA0832	20-24	0			F	461
POA0832	20-24	0			M	528
POA0832	20-24	1	0	1	F	58
POA0832	20-24	1	0	1	M	35
POA0832	20-24	1	1	0	F	117
POA0832	20-24	1	1	0	M	47
POA0832	20-24	1	1	1	F	4
POA0832	25-34				F	121
POA0832	25-34				M	142
POA0832	25-34	0			F	681
POA0832	25-34	0			M	980
POA0832	25-34	1	0	1	F	65
POA0832	25-34	1	0	1	M	47
POA0832	25-34	1	1	0	F	834
POA0832	25-34	1	1	0	M	577
POA0832	25-34	1	1	1	F	42
POA0832	25-34	1	1	1	M	7
POA0832	35-44				F	105
POA0832	35-44				M	97
POA0832	35-44	0			F	379
POA0832	35-44	0			M	535
POA0832	35-44	1	0	1	F	39
POA0832	35-44	1	0	1	M	27
POA0832	35-44	1	1	0	F	786
POA0832	35-44	1	1	0	M	669
POA0832	35-44	1	1	1	F	32
POA0832	35-44	1	1	1	M	17
POA0832	45-54				F	55
POA0832	45-54				M	64
POA0832	45-54	0			F	457
POA0832	45-54	0			M	505
POA0832	45-54	1	0	1	F	75
POA0832	45-54	1	0	1	M	32
POA0832	45-54	1	1	0	F	173
POA0832	45-54	1	1	0	M	228
POA0832	45-54	1	1	1	F	14
POA0832	45-54	1	1	1	M	6
POA0832	55-64				F	52
POA0832	55-64				M	44
POA0832	55-64	0			F	291
POA0832	55-64	0			M	319
POA0832	55-64	1	0	1	F	101
POA0832	55-64	1	0	1	M	49
POA0832	55-64	1	1	0	F	18
POA0832	55-64	1	1	0	M	30
POA0832	65-74				F	13
POA0832	65-74				M	8
POA0832	65-74	0			F	130
POA0832	65-74	0			M	112
POA0832	65-74	1	0	1	F	38
POA0832	65-74	1	0	1	M	18
POA0832	75-84				F	5
POA0832	75-84				M	3
POA0832	75-84	0			F	54
POA0832	75-84	0			M	44
POA0832	75-84	1	0	1	F	4
POA0832	75-84	1	0	1	M	3
POA0832	75-84	1	1	0	M	3
POA0832	85+				M	3
POA0832	85+	0			F	7
POA0832	85+	0			M	8
POA0832	85+	1	1	0	M	3
POA0834	15-19				F	6
POA0834	15-19				M	6
POA0834	15-19	0			F	38
POA0834	15-19	0			M	55
POA0834	15-19	1	0	1	F	3
POA0834	20-24				F	9
POA0834	20-24				M	3
POA0834	20-24	0			F	32
POA0834	20-24	0			M	48
POA0834	20-24	1	1	0	F	5
POA0834	20-24	1	1	0	M	3
POA0834	25-34				F	11
POA0834	25-34				M	16
POA0834	25-34	0			F	47
POA0834	25-34	0			M	62
POA0834	25-34	1	0	1	F	6
POA0834	25-34	1	1	0	F	43
POA0834	25-34	1	1	0	M	25
POA0834	35-44				F	9
POA0834	35-44				M	6
POA0834	35-44	0			F	42
POA0834	35-44	0			M	58
POA0834	35-44	1	0	1	M	3
POA0834	35-44	1	1	0	F	59
POA0834	35-44	1	1	0	M	54
POA0834	35-44	1	1	1	F	4
POA0834	45-54				F	23
POA0834	45-54				M	24
POA0834	45-54	0			F	89
POA0834	45-54	0			M	115
POA0834	45-54	1	0	1	F	14
POA0834	45-54	1	0	1	M	10
POA0834	45-54	1	1	0	F	42
POA0834	45-54	1	1	0	M	51
POA0834	45-54	1	1	1	F	3
POA0834	55-64				F	20
POA0834	55-64				M	16
POA0834	55-64	0			F	90
POA0834	55-64	0			M	106
POA0834	55-64	1	0	1	F	30
POA0834	55-64	1	0	1	M	21
POA0834	55-64	1	1	0	F	4
POA0834	55-64	1	1	0	M	3
POA0834	65-74				F	3
POA0834	65-74				M	11
POA0834	65-74	0			F	33
POA0834	65-74	0			M	46
POA0834	65-74	1	0	1	F	12
POA0834	65-74	1	0	1	M	10
POA0834	75-84				M	3
POA0834	75-84	0			F	14
POA0834	75-84	0			M	14
POA0834	85+	0			M	3
POA0835	15-19				F	20
POA0835	15-19				M	28
POA0835	15-19	0			F	65
POA0835	15-19	0			M	86
POA0835	15-19	1	0	1	F	7
POA0835	15-19	1	0	1	M	3
POA0835	20-24				F	7
POA0835	20-24				M	61
POA0835	20-24	0			F	55
POA0835	20-24	0			M	107
POA0835	20-24	1	0	1	F	4
POA0835	20-24	1	0	1	M	3
POA0835	20-24	1	1	0	F	4
POA0835	20-24	1	1	0	M	4
POA0835	25-34				F	22
POA0835	25-34				M	377
POA0835	25-34	0			F	75
POA0835	25-34	0			M	318
POA0835	25-34	1	0	1	F	3
POA0835	25-34	1	0	1	M	16
POA0835	25-34	1	1	0	F	59
POA0835	25-34	1	1	0	M	76
POA0835	25-34	1	1	1	F	6
POA0835	25-34	1	1	1	M	5
POA0835	35-44				F	26
POA0835	35-44				M	351
POA0835	35-44	0			F	62
POA0835	35-44	0			M	269
POA0835	35-44	1	0	1	F	5
POA0835	35-44	1	0	1	M	10
POA0835	35-44	1	1	0	F	116
POA0835	35-44	1	1	0	M	134
POA0835	35-44	1	1	1	F	6
POA0835	35-44	1	1	1	M	3
POA0835	45-54				F	44
POA0835	45-54				M	274
POA0835	45-54	0			F	180
POA0835	45-54	0			M	335
POA0835	45-54	1	0	1	F	19
POA0835	45-54	1	0	1	M	10
POA0835	45-54	1	1	0	F	65
POA0835	45-54	1	1	0	M	86
POA0835	45-54	1	1	1	F	3
POA0835	55-64				F	31
POA0835	55-64				M	133
POA0835	55-64	0			F	178
POA0835	55-64	0			M	292
POA0835	55-64	1	0	1	F	44
POA0835	55-64	1	0	1	M	30
POA0835	55-64	1	1	0	F	6
POA0835	55-64	1	1	0	M	9
POA0835	65-74				F	23
POA0835	65-74				M	39
POA0835	65-74	0			F	84
POA0835	65-74	0			M	131
POA0835	65-74	1	0	1	F	19
POA0835	65-74	1	0	1	M	22
POA0835	75-84				F	7
POA0835	75-84				M	3
POA0835	75-84	0			F	20
POA0835	75-84	0			M	41
POA0835	75-84	1	0	1	M	3
POA0835	75-84	1	1	0	M	3
POA0835	85+				F	3
POA0835	85+				M	3
POA0835	85+	0			F	6
POA0835	85+	0			M	11
POA0836	15-19				F	35
POA0836	15-19				M	63
POA0836	15-19	0			F	167
POA0836	15-19	0			M	219
POA0836	15-19	1	0	1	F	15
POA0836	15-19	1	0	1	M	15
POA0836	20-24				F	21
POA0836	20-24				M	22
POA0836	20-24	0			F	120
POA0836	20-24	0			M	175
POA0836	20-24	1	0	1	F	21
POA0836	20-24	1	0	1	M	6
POA0836	20-24	1	1	0	F	20
POA0836	20-24	1	1	0	M	10
POA0836	25-34				F	53
POA0836	25-34				M	58
POA0836	25-34	0			F	177
POA0836	25-34	0			M	269
POA0836	25-34	1	0	1	F	32
POA0836	25-34	1	0	1	M	19
POA0836	25-34	1	1	0	F	231
POA0836	25-34	1	1	0	M	152
POA0836	25-34	1	1	1	F	6
POA0836	25-34	1	1	1	M	3
POA0836	35-44				F	74
POA0836	35-44				M	68
POA0836	35-44	0			F	182
POA0836	35-44	0			M	226
POA0836	35-44	1	0	1	F	12
POA0836	35-44	1	0	1	M	13
POA0836	35-44	1	1	0	F	344
POA0836	35-44	1	1	0	M	300
POA0836	35-44	1	1	1	F	20
POA0836	35-44	1	1	1	M	3
POA0836	45-54				F	77
POA0836	45-54				M	88
POA0836	45-54	0			F	386
POA0836	45-54	0			M	459
POA0836	45-54	1	0	1	F	46
POA0836	45-54	1	0	1	M	27
POA0836	45-54	1	1	0	F	147
POA0836	45-54	1	1	0	M	160
POA0836	45-54	1	1	1	F	9
POA0836	45-54	1	1	1	M	5
POA0836	55-64				F	48
POA0836	55-64				M	65
POA0836	55-64	0			F	264
POA0836	55-64	0			M	338
POA0836	55-64	1	0	1	F	78
POA0836	55-64	1	0	1	M	39
POA0836	55-64	1	1	0	F	7
POA0836	55-64	1	1	0	M	33
POA0836	65-74				F	26
POA0836	65-74				M	47
POA0836	65-74	0			F	132
POA0836	65-74	0			M	190
POA0836	65-74	1	0	1	F	35
POA0836	65-74	1	0	1	M	28
POA0836	65-74	1	1	0	M	3
POA0836	75-84				F	7
POA0836	75-84				M	7
POA0836	75-84	0			F	37
POA0836	75-84	0			M	38
POA0836	75-84	1	0	1	M	6
POA0836	85+				F	3
POA0836	85+	0			F	8
POA0836	85+	0			M	7
POA0837	15-19				M	4
POA0837	15-19	0			F	8
POA0837	15-19	0			M	9
POA0837	20-24	0			F	3
POA0837	20-24	0			M	8
POA0837	20-24	1	1	0	M	3
POA0837	25-34	0			F	5
POA0837	25-34	0			M	9
POA0837	25-34	1	0	1	F	3
POA0837	25-34	1	1	0	F	11
POA0837	25-34	1	1	0	M	3
POA0837	35-44				F	6
POA0837	35-44				M	6
POA0837	35-44	0			F	4
POA0837	35-44	0			M	9
POA0837	35-44	1	0	1	F	3
POA0837	35-44	1	1	0	F	14
POA0837	35-44	1	1	0	M	13
POA0837	35-44	1	1	1	F	3
POA0837	45-54				F	3
POA0837	45-54				M	7
POA0837	45-54	0			F	25
POA0837	45-54	0			M	23
POA0837	45-54	1	0	1	F	3
POA0837	45-54	1	1	0	F	11
POA0837	45-54	1	1	0	M	10
POA0837	55-64				F	5
POA0837	55-64				M	3
POA0837	55-64	0			F	19
POA0837	55-64	0			M	32
POA0837	55-64	1	0	1	F	3
POA0837	65-74				F	4
POA0837	65-74				M	5
POA0837	65-74	0			F	11
POA0837	65-74	0			M	15
POA0837	65-74	1	0	1	F	3
POA0837	75-84	0			M	4
POA0838	15-19				F	7
POA0838	15-19				M	8
POA0838	15-19	0			F	17
POA0838	15-19	0			M	17
POA0838	15-19	1	0	1	F	3
POA0838	20-24				F	3
POA0838	20-24	0			F	15
POA0838	20-24	0			M	9
POA0838	20-24	1	0	1	F	3
POA0838	20-24	1	0	1	M	3
