POA_CODE_2016	Age5yr	Indigenous	Sex	persons
POA0810	55-59		F	86
POA0810	55-59		M	79
POA0810	55-59	0	F	753
POA0810	55-59	0	M	789
POA0810	55-59	1	F	54
POA0810	55-59	1	M	43
POA0810	60-64		F	95
POA0810	60-64		M	83
POA0810	60-64	0	F	643
POA0810	60-64	0	M	618
POA0810	60-64	1	F	48
POA0810	60-64	1	M	41
POA0810	65+		F	154
POA0810	65+		M	175
POA0810	65+	0	F	1342
POA0810	65+	0	M	1425
POA0810	65+	1	F	98
POA0810	65+	1	M	48
POA0812	0-4		F	55
POA0812	0-4		M	70
POA0812	0-4	0	F	504
POA0812	0-4	0	M	486
POA0812	0-4	1	F	111
POA0812	0-4	1	M	98
POA0812	5-9		F	76
POA0812	5-9		M	62
POA0812	5-9	0	F	494
POA0812	5-9	0	M	504
POA0812	5-9	1	F	143
POA0812	5-9	1	M	148
POA0812	10-14		F	48
POA0812	10-14		M	67
POA0812	10-14	0	F	453
POA0812	10-14	0	M	476
POA0812	10-14	1	F	137
POA0812	10-14	1	M	133
POA0812	15-19		F	50
POA0812	15-19		M	60
POA0812	15-19	0	F	423
POA0812	15-19	0	M	489
POA0812	15-19	1	F	98
POA0812	15-19	1	M	107
POA0812	20-24		F	59
POA0812	20-24		M	54
POA0812	20-24	0	F	385
POA0812	20-24	0	M	463
POA0812	20-24	1	F	80
POA0812	20-24	1	M	74
POA0812	25-29		F	84
POA0812	25-29		M	83
POA0812	25-29	0	F	550
POA0812	25-29	0	M	512
POA0812	25-29	1	F	90
POA0812	25-29	1	M	63
POA0812	30-34		F	80
POA0812	30-34		M	80
POA0812	30-34	0	F	590
POA0812	30-34	0	M	583
POA0812	30-34	1	F	78
POA0812	30-34	1	M	56
POA0812	35-39		F	51
POA0812	35-39		M	68
POA0812	35-39	0	F	631
POA0812	35-39	0	M	568
POA0812	35-39	1	F	67
POA0812	35-39	1	M	55
POA0812	40-44		F	66
POA0812	40-44		M	53
POA0812	40-44	0	F	553
POA0812	40-44	0	M	591
POA0812	40-44	1	F	69
POA0812	40-44	1	M	48
POA0812	45-49		F	57
POA0812	45-49		M	68
POA0812	45-49	0	F	553
POA0812	45-49	0	M	546
POA0812	45-49	1	F	68
POA0812	45-49	1	M	43
POA0812	50-54		F	71
POA0812	50-54		M	55
POA0812	50-54	0	F	585
POA0812	50-54	0	M	554
POA0812	50-54	1	F	53
POA0812	50-54	1	M	37
POA0812	55-59		F	56
POA0812	55-59		M	77
POA0812	55-59	0	F	551
POA0812	55-59	0	M	529
POA0812	55-59	1	F	46
POA0812	55-59	1	M	44
POA0812	60-64		F	57
POA0812	60-64		M	54
POA0812	60-64	0	F	435
POA0812	60-64	0	M	476
POA0812	60-64	1	F	46
POA0812	60-64	1	M	27
POA0812	65+		F	69
POA0812	65+		M	70
POA0812	65+	0	F	712
POA0812	65+	0	M	777
POA0812	65+	1	F	43
POA0812	65+	1	M	31
POA0815	15-19		F	4
POA0815	15-19		M	7
POA0815	15-19	0	F	12
POA0815	15-19	0	M	4
POA0815	20-24		F	10
POA0815	20-24		M	29
POA0815	20-24	0	F	16
POA0815	20-24	0	M	47
POA0815	25-29		F	11
POA0815	25-29		M	24
POA0815	25-29	0	F	15
POA0815	25-29	0	M	46
POA0815	30-34		F	5
POA0815	30-34		M	4
POA0815	30-34	0	F	9
POA0815	30-34	0	M	6
POA0815	35-39		M	7
POA0815	35-39	0	F	3
POA0815	35-39	0	M	6
POA0815	40-44		F	3
POA0815	40-44	0	M	3
POA0815	45-49	0	M	4
POA0815	55-59	0	M	3
POA0820	0-4		F	48
POA0820	0-4		M	46
POA0820	0-4	0	F	471
POA0820	0-4	0	M	467
POA0820	0-4	1	F	37
POA0820	0-4	1	M	41
POA0820	5-9		F	36
POA0820	5-9		M	45
POA0820	5-9	0	F	411
POA0820	5-9	0	M	430
POA0820	5-9	1	F	35
POA0820	5-9	1	M	45
POA0820	10-14		F	41
POA0820	10-14		M	41
POA0820	10-14	0	F	376
POA0820	10-14	0	M	405
POA0820	10-14	1	F	44
POA0820	10-14	1	M	40
POA0820	15-19		F	37
POA0820	15-19		M	48
POA0820	15-19	0	F	315
POA0820	15-19	0	M	358
POA0820	15-19	1	F	40
POA0820	15-19	1	M	57
POA0820	20-24		F	53
POA0820	20-24		M	118
POA0820	20-24	0	F	508
POA0820	20-24	0	M	564
POA0820	20-24	1	F	44
POA0820	20-24	1	M	51
POA0820	25-29		F	139
POA0820	25-29		M	173
POA0820	25-29	0	F	967
POA0820	25-29	0	M	995
POA0820	25-29	1	F	62
POA0820	25-29	1	M	53
POA0820	30-34		F	108
POA0820	30-34		M	130
POA0820	30-34	0	F	931
POA0820	30-34	0	M	944
POA0820	30-34	1	F	48
POA0820	30-34	1	M	45
POA0820	35-39		F	81
POA0820	35-39		M	95
POA0820	35-39	0	F	607
POA0820	35-39	0	M	744
POA0820	35-39	1	F	41
POA0820	35-39	1	M	28
POA0820	40-44		F	65
POA0820	40-44		M	87
POA0820	40-44	0	F	622
POA0820	40-44	0	M	595
POA0820	40-44	1	F	41
POA0820	40-44	1	M	33
POA0820	45-49		F	61
POA0820	45-49		M	91
POA0820	45-49	0	F	527
POA0820	45-49	0	M	660
POA0820	45-49	1	F	40
POA0820	45-49	1	M	28
POA0820	50-54		F	65
POA0820	50-54		M	64
POA0820	50-54	0	F	543
POA0820	50-54	0	M	617
POA0820	50-54	1	F	35
POA0820	50-54	1	M	24
POA0820	55-59		F	53
POA0820	55-59		M	51
POA0820	55-59	0	F	460
POA0820	55-59	0	M	492
POA0820	55-59	1	F	22
POA0820	55-59	1	M	21
POA0820	60-64		F	52
POA0820	60-64		M	59
POA0820	60-64	0	F	383
POA0820	60-64	0	M	449
POA0820	60-64	1	F	22
POA0820	60-64	1	M	14
POA0820	65+		F	69
POA0820	65+		M	108
POA0820	65+	0	F	685
POA0820	65+	0	M	815
POA0820	65+	1	F	33
POA0820	65+	1	M	31
POA0822	0-4		F	54
POA0822	0-4		M	49
POA0822	0-4	0	F	180
POA0822	0-4	0	M	173
POA0822	0-4	1	F	805
POA0822	0-4	1	M	873
POA0822	5-9		F	45
POA0822	5-9		M	46
POA0822	5-9	0	F	163
POA0822	5-9	0	M	205
POA0822	5-9	1	F	867
POA0822	5-9	1	M	924
POA0822	10-14		F	40
POA0822	10-14		M	53
POA0822	10-14	0	F	170
POA0822	10-14	0	M	151
POA0822	10-14	1	F	857
POA0822	10-14	1	M	1019
POA0822	15-19		F	26
POA0822	15-19		M	38
POA0822	15-19	0	F	107
POA0822	15-19	0	M	165
POA0822	15-19	1	F	902
POA0822	15-19	1	M	928
POA0822	20-24		F	38
POA0822	20-24		M	39
POA0822	20-24	0	F	125
POA0822	20-24	0	M	145
POA0822	20-24	1	F	828
POA0822	20-24	1	M	836
POA0822	25-29		F	49
POA0822	25-29		M	66
POA0822	25-29	0	F	188
POA0822	25-29	0	M	226
POA0822	25-29	1	F	794
POA0822	25-29	1	M	756
POA0822	30-34		F	56
POA0822	30-34		M	84
POA0822	30-34	0	F	240
POA0822	30-34	0	M	251
POA0822	30-34	1	F	819
POA0822	30-34	1	M	746
POA0822	35-39		F	54
POA0822	35-39		M	89
POA0822	35-39	0	F	219
POA0822	35-39	0	M	271
POA0822	35-39	1	F	647
POA0822	35-39	1	M	635
POA0822	40-44		F	38
POA0822	40-44		M	74
POA0822	40-44	0	F	213
POA0822	40-44	0	M	256
POA0822	40-44	1	F	607
POA0822	40-44	1	M	563
POA0822	45-49		F	57
POA0822	45-49		M	76
POA0822	45-49	0	F	240
POA0822	45-49	0	M	298
POA0822	45-49	1	F	543
POA0822	45-49	1	M	484
POA0822	50-54		F	47
POA0822	50-54		M	93
POA0822	50-54	0	F	227
POA0822	50-54	0	M	301
POA0822	50-54	1	F	480
POA0822	50-54	1	M	402
POA0822	55-59		F	55
POA0822	55-59		M	81
POA0822	55-59	0	F	243
POA0822	55-59	0	M	288
POA0822	55-59	1	F	335
POA0822	55-59	1	M	278
POA0822	60-64		F	39
POA0822	60-64		M	67
POA0822	60-64	0	F	176
POA0822	60-64	0	M	243
POA0822	60-64	1	F	244
POA0822	60-64	1	M	204
POA0822	65+		F	58
POA0822	65+		M	76
POA0822	65+	0	F	272
POA0822	65+	0	M	400
POA0822	65+	1	F	283
POA0822	65+	1	M	209
POA0828	0-4		F	3
POA0828	0-4	0	F	16
POA0828	0-4	0	M	20
POA0828	0-4	1	F	9
POA0828	0-4	1	M	5
POA0828	5-9		F	10
POA0828	5-9		M	4
POA0828	5-9	0	F	14
POA0828	5-9	0	M	11
POA0828	5-9	1	F	3
POA0828	5-9	1	M	10
POA0828	10-14		F	10
POA0828	10-14		M	12
POA0828	10-14	0	F	18
POA0828	10-14	0	M	23
POA0828	10-14	1	F	40
POA0828	10-14	1	M	45
POA0828	15-19		F	9
POA0828	15-19		M	5
POA0828	15-19	0	F	18
POA0828	15-19	0	M	23
POA0828	15-19	1	F	51
POA0828	15-19	1	M	46
POA0828	20-24		F	3
POA0828	20-24		M	7
POA0828	20-24	0	F	28
POA0828	20-24	0	M	33
POA0828	20-24	1	F	9
POA0828	20-24	1	M	7
POA0828	25-29		F	3
POA0828	25-29	0	F	23
POA0828	25-29	0	M	33
POA0828	25-29	1	F	7
POA0828	25-29	1	M	7
POA0828	30-34	0	F	24
POA0828	30-34	0	M	20
POA0828	30-34	1	F	11
POA0828	30-34	1	M	12
POA0828	35-39		F	5
POA0828	35-39		M	3
POA0828	35-39	0	F	18
POA0828	35-39	0	M	19
POA0828	35-39	1	F	5
POA0828	35-39	1	M	10
POA0828	40-44		M	8
POA0828	40-44	0	F	19
POA0828	40-44	0	M	21
POA0828	40-44	1	F	11
POA0828	40-44	1	M	10
POA0828	45-49		F	3
POA0828	45-49		M	7
POA0828	45-49	0	F	16
POA0828	45-49	0	M	33
POA0828	45-49	1	F	3
POA0828	45-49	1	M	3
POA0828	50-54		F	4
POA0828	50-54		M	5
POA0828	50-54	0	F	38
POA0828	50-54	0	M	25
POA0828	50-54	1	F	12
POA0828	50-54	1	M	7
POA0828	55-59		F	6
POA0828	55-59		M	3
POA0828	55-59	0	F	34
POA0828	55-59	0	M	30
POA0828	55-59	1	F	5
POA0828	55-59	1	M	5
POA0828	60-64		F	3
POA0828	60-64		M	11
POA0828	60-64	0	F	13
POA0828	60-64	0	M	29
POA0828	60-64	1	F	8
POA0828	60-64	1	M	8
POA0828	65+		F	3
POA0828	65+		M	8
POA0828	65+	0	F	37
POA0828	65+	0	M	55
POA0828	65+	1	F	7
POA0828	65+	1	M	8
POA0829	0-4		M	3
POA0829	0-4	0	F	5
POA0829	0-4	0	M	5
POA0829	5-9		F	3
POA0829	5-9		M	4
POA0829	5-9	0	F	6
POA0829	5-9	0	M	7
POA0829	10-14	0	F	7
POA0829	10-14	1	M	5
POA0829	15-19	0	F	7
POA0829	15-19	0	M	62
POA0829	15-19	1	M	22
POA0829	20-24		M	15
POA0829	20-24	0	F	38
POA0829	20-24	0	M	277
POA0829	20-24	1	F	13
POA0829	20-24	1	M	134
POA0829	25-29		M	9
POA0829	25-29	0	F	13
POA0829	25-29	0	M	141
POA0829	25-29	1	F	8
POA0829	25-29	1	M	138
POA0829	30-34		F	3
POA0829	30-34		M	6
POA0829	30-34	0	F	22
POA0829	30-34	0	M	83
POA0829	30-34	1	F	9
POA0829	30-34	1	M	129
POA0829	35-39	0	F	6
POA0829	35-39	0	M	47
POA0829	35-39	1	F	4
POA0829	35-39	1	M	92
POA0829	40-44		M	3
POA0829	40-44	0	F	10
POA0829	40-44	0	M	41
POA0829	40-44	1	F	10
POA0829	40-44	1	M	89
POA0829	45-49		F	4
POA0829	45-49		M	4
POA0829	45-49	0	F	12
POA0829	45-49	0	M	44
POA0829	45-49	1	F	4
POA0829	45-49	1	M	61
POA0829	50-54	0	F	9
POA0829	50-54	0	M	30
POA0829	50-54	1	F	7
POA0829	50-54	1	M	38
POA0829	55-59		F	7
POA0829	55-59		M	3
POA0829	55-59	0	F	21
POA0829	55-59	0	M	35
POA0829	55-59	1	F	3
POA0829	55-59	1	M	7
POA0829	60-64	0	F	3
POA0829	60-64	0	M	12
POA0829	60-64	1	M	12
POA0829	65+		F	3
POA0829	65+	0	F	9
POA0829	65+	0	M	18
POA0829	65+	1	M	3
POA0830	0-4		F	97
POA0830	0-4		M	95
POA0830	0-4	0	F	596
POA0830	0-4	0	M	583
POA0830	0-4	1	F	149
POA0830	0-4	1	M	180
POA0830	5-9		F	62
POA0830	5-9		M	74
POA0830	5-9	0	F	489
POA0830	5-9	0	M	582
POA0830	5-9	1	F	143
POA0830	5-9	1	M	160
POA0830	10-14		F	64
POA0830	10-14		M	47
POA0830	10-14	0	F	413
POA0830	10-14	0	M	434
POA0830	10-14	1	F	159
POA0830	10-14	1	M	171
POA0830	15-19		F	60
POA0830	15-19		M	59
POA0830	15-19	0	F	401
POA0830	15-19	0	M	401
POA0830	15-19	1	F	129
POA0830	15-19	1	M	137
POA0830	20-24		F	75
POA0830	20-24		M	62
POA0830	20-24	0	F	430
POA0830	20-24	0	M	497
POA0830	20-24	1	F	102
POA0830	20-24	1	M	105
POA0830	25-29		F	82
POA0830	25-29		M	87
POA0830	25-29	0	F	617
POA0830	25-29	0	M	609
POA0830	25-29	1	F	87
POA0830	25-29	1	M	88
POA0830	30-34		F	88
POA0830	30-34		M	76
POA0830	30-34	0	F	716
POA0830	30-34	0	M	659
POA0830	30-34	1	F	91
POA0830	30-34	1	M	51
POA0830	35-39		F	77
POA0830	35-39		M	72
POA0830	35-39	0	F	580
POA0830	35-39	0	M	582
POA0830	35-39	1	F	71
POA0830	35-39	1	M	65
POA0830	40-44		F	65
POA0830	40-44		M	60
POA0830	40-44	0	F	564
POA0830	40-44	0	M	568
POA0830	40-44	1	F	78
POA0830	40-44	1	M	59
POA0830	45-49		F	50
POA0830	45-49		M	61
POA0830	45-49	0	F	504
POA0830	45-49	0	M	571
POA0830	45-49	1	F	88
POA0830	45-49	1	M	56
POA0830	50-54		F	52
POA0830	50-54		M	59
POA0830	50-54	0	F	426
POA0830	50-54	0	M	473
POA0830	50-54	1	F	54
POA0830	50-54	1	M	52
POA0830	55-59		F	49
POA0830	55-59		M	53
POA0830	55-59	0	F	387
POA0830	55-59	0	M	395
POA0830	55-59	1	F	43
POA0830	55-59	1	M	31
POA0830	60-64		F	37
POA0830	60-64		M	37
POA0830	60-64	0	F	242
POA0830	60-64	0	M	298
POA0830	60-64	1	F	29
POA0830	60-64	1	M	21
POA0830	65+		F	47
POA0830	65+		M	61
POA0830	65+	0	F	446
POA0830	65+	0	M	428
POA0830	65+	1	F	47
POA0830	65+	1	M	38
POA0832	0-4		F	50
POA0832	0-4		M	55
POA0832	0-4	0	F	704
POA0832	0-4	0	M	776
POA0832	0-4	1	F	96
POA0832	0-4	1	M	97
POA0832	5-9		F	25
POA0832	5-9		M	42
POA0832	5-9	0	F	581
POA0832	5-9	0	M	561
POA0832	5-9	1	F	89
POA0832	5-9	1	M	86
POA0832	10-14		F	25
POA0832	10-14		M	28
POA0832	10-14	0	F	438
POA0832	10-14	0	M	395
POA0832	10-14	1	F	79
POA0832	10-14	1	M	60
POA0832	15-19		F	33
POA0832	15-19		M	31
POA0832	15-19	0	F	335
POA0832	15-19	0	M	358
POA0832	15-19	1	F	44
POA0832	15-19	1	M	53
POA0832	20-24		F	48
POA0832	20-24		M	50
POA0832	20-24	0	F	577
POA0832	20-24	0	M	557
POA0832	20-24	1	F	71
POA0832	20-24	1	M	66
POA0832	25-29		F	71
POA0832	25-29		M	61
POA0832	25-29	0	F	745
POA0832	25-29	0	M	761
POA0832	25-29	1	F	55
POA0832	25-29	1	M	58
POA0832	30-34		F	44
POA0832	30-34		M	54
POA0832	30-34	0	F	787
POA0832	30-34	0	M	774
POA0832	30-34	1	F	40
POA0832	30-34	1	M	58
POA0832	35-39		F	44
POA0832	35-39		M	47
POA0832	35-39	0	F	661
POA0832	35-39	0	M	621
POA0832	35-39	1	F	43
POA0832	35-39	1	M	53
POA0832	40-44		F	49
POA0832	40-44		M	42
POA0832	40-44	0	F	481
POA0832	40-44	0	M	561
POA0832	40-44	1	F	44
POA0832	40-44	1	M	28
POA0832	45-49		F	32
POA0832	45-49		M	40
POA0832	45-49	0	F	377
POA0832	45-49	0	M	425
POA0832	45-49	1	F	35
POA0832	45-49	1	M	25
POA0832	50-54		F	14
POA0832	50-54		M	18
POA0832	50-54	0	F	284
POA0832	50-54	0	M	309
POA0832	50-54	1	F	26
POA0832	50-54	1	M	25
POA0832	55-59		F	27
POA0832	55-59		M	19
POA0832	55-59	0	F	231
POA0832	55-59	0	M	194
POA0832	55-59	1	F	14
POA0832	55-59	1	M	16
POA0832	60-64		F	20
POA0832	60-64		M	20
POA0832	60-64	0	F	158
POA0832	60-64	0	M	182
POA0832	60-64	1	F	22
POA0832	60-64	1	M	15
POA0832	65+		F	11
POA0832	65+		M	17
POA0832	65+	0	F	224
POA0832	65+	0	M	186
POA0832	65+	1	F	19
POA0832	65+	1	M	10
POA0834	0-4		F	3
POA0834	0-4		M	9
POA0834	0-4	0	F	43
POA0834	0-4	0	M	41
POA0834	0-4	1	F	3
POA0834	0-4	1	M	5
POA0834	5-9		F	10
POA0834	5-9		M	10
POA0834	5-9	0	F	43
POA0834	5-9	0	M	47
POA0834	5-9	1	F	8
POA0834	5-9	1	M	9
POA0834	10-14		F	6
POA0834	10-14		M	8
POA0834	10-14	0	F	57
POA0834	10-14	0	M	53
POA0834	10-14	1	F	9
POA0834	10-14	1	M	7
POA0834	15-19		F	6
POA0834	15-19		M	7
POA0834	15-19	0	F	42
POA0834	15-19	0	M	59
POA0834	15-19	1	F	3
POA0834	15-19	1	M	3
POA0834	20-24		F	5
POA0834	20-24		M	3
POA0834	20-24	0	F	29
POA0834	20-24	0	M	43
POA0834	20-24	1	F	7
POA0834	20-24	1	M	8
POA0834	25-29		F	7
POA0834	25-29		M	6
POA0834	25-29	0	F	42
POA0834	25-29	0	M	41
POA0834	25-29	1	F	3
POA0834	25-29	1	M	9
POA0834	30-34		F	8
POA0834	30-34		M	3
POA0834	30-34	0	F	48
POA0834	30-34	0	M	37
POA0834	30-34	1	F	3
POA0834	30-34	1	M	5
POA0834	35-39		F	3
POA0834	35-39		M	5
POA0834	35-39	0	F	41
POA0834	35-39	0	M	40
POA0834	35-39	1	F	3
POA0834	40-44		F	6
POA0834	40-44		M	7
POA0834	40-44	0	F	62
POA0834	40-44	0	M	68
POA0834	40-44	1	M	3
POA0834	45-49		F	7
POA0834	45-49		M	9
POA0834	45-49	0	F	65
POA0834	45-49	0	M	82
POA0834	45-49	1	F	7
POA0834	45-49	1	M	10
POA0834	50-54		F	9
POA0834	50-54		M	13
POA0834	50-54	0	F	73
POA0834	50-54	0	M	86
POA0834	50-54	1	F	5
POA0834	50-54	1	M	6
POA0834	55-59		F	14
POA0834	55-59		M	8
POA0834	55-59	0	F	74
POA0834	55-59	0	M	64
POA0834	60-64		F	3
POA0834	60-64		M	4
POA0834	60-64	0	F	48
POA0834	60-64	0	M	65
POA0834	60-64	1	M	5
POA0834	65+		M	6
POA0834	65+	0	F	63
POA0834	65+	0	M	79
POA0834	65+	1	F	3
POA0835	0-4		F	3
POA0835	0-4		M	4
POA0835	0-4	0	F	51
POA0835	0-4	0	M	58
POA0835	0-4	1	F	4
POA0835	0-4	1	M	3
POA0835	5-9		F	12
POA0835	5-9		M	13
POA0835	5-9	0	F	94
POA0835	5-9	0	M	89
POA0835	5-9	1	F	10
POA0835	5-9	1	M	11
POA0835	10-14		F	10
POA0835	10-14		M	9
POA0835	10-14	0	F	80
POA0835	10-14	0	M	103
POA0835	10-14	1	F	15
POA0835	10-14	1	M	7
POA0835	15-19		F	10
POA0835	15-19		M	17
POA0835	15-19	0	F	72
POA0835	15-19	0	M	84
POA0835	15-19	1	F	8
POA0835	15-19	1	M	15
POA0835	20-24		F	6
POA0835	20-24		M	54
POA0835	20-24	0	F	67
POA0835	20-24	0	M	109
POA0835	20-24	1	F	6
POA0835	20-24	1	M	11
POA0835	25-29		F	12
POA0835	25-29		M	178
POA0835	25-29	0	F	54
POA0835	25-29	0	M	201
POA0835	25-29	1	F	5
POA0835	25-29	1	M	8
POA0835	30-34		F	14
POA0835	30-34		M	193
POA0835	30-34	0	F	78
POA0835	30-34	0	M	202
POA0835	30-34	1	F	3
POA0835	30-34	1	M	11
POA0835	35-39		F	14
POA0835	35-39		M	174
POA0835	35-39	0	F	68
POA0835	35-39	0	M	199
POA0835	35-39	1	F	6
POA0835	35-39	1	M	4
POA0835	40-44		F	14
POA0835	40-44		M	159
POA0835	40-44	0	F	102
POA0835	40-44	0	M	209
POA0835	40-44	1	F	9
POA0835	40-44	1	M	8
POA0835	45-49		F	23
POA0835	45-49		M	152
POA0835	45-49	0	F	146
POA0835	45-49	0	M	219
POA0835	45-49	1	F	10
POA0835	45-49	1	M	10
POA0835	50-54		F	16
POA0835	50-54		M	108
POA0835	50-54	0	F	115
POA0835	50-54	0	M	210
POA0835	50-54	1	F	5
POA0835	50-54	1	M	9
POA0835	55-59		F	22
POA0835	55-59		M	91
POA0835	55-59	0	F	127
POA0835	55-59	0	M	184
POA0835	55-59	1	F	4
POA0835	55-59	1	M	3
POA0835	60-64		F	9
POA0835	60-64		M	44
POA0835	60-64	0	F	96
POA0835	60-64	0	M	139
POA0835	60-64	1	F	7
POA0835	60-64	1	M	7
POA0835	65+		F	21
POA0835	65+		M	38
POA0835	65+	0	F	138
POA0835	65+	0	M	214
POA0835	65+	1	F	9
POA0835	65+	1	M	7
POA0836	0-4		F	45
POA0836	0-4		M	25
POA0836	0-4	0	F	224
POA0836	0-4	0	M	222
POA0836	0-4	1	F	29
POA0836	0-4	1	M	29
POA0836	5-9		F	38
POA0836	5-9		M	42
POA0836	5-9	0	F	221
POA0836	5-9	0	M	251
POA0836	5-9	1	F	36
POA0836	5-9	1	M	41
POA0836	10-14		F	17
POA0836	10-14		M	43
POA0836	10-14	0	F	205
POA0836	10-14	0	M	235
POA0836	10-14	1	F	29
POA0836	10-14	1	M	38
POA0836	15-19		F	25
POA0836	15-19		M	41
POA0836	15-19	0	F	173
POA0836	15-19	0	M	222
POA0836	15-19	1	F	19
POA0836	15-19	1	M	34
POA0836	20-24		F	19
POA0836	20-24		M	14
POA0836	20-24	0	F	153
POA0836	20-24	0	M	172
POA0836	20-24	1	F	9
POA0836	20-24	1	M	22
POA0836	25-29		F	24
POA0836	25-29		M	25
POA0836	25-29	0	F	189
POA0836	25-29	0	M	184
POA0836	25-29	1	F	14
POA0836	25-29	1	M	15
POA0836	30-34		F	29
POA0836	30-34		M	35
POA0836	30-34	0	F	233
POA0836	30-34	0	M	225
POA0836	30-34	1	F	19
POA0836	30-34	1	M	13
POA0836	35-39		F	36
POA0836	35-39		M	38
POA0836	35-39	0	F	264
POA0836	35-39	0	M	234
POA0836	35-39	1	F	20
POA0836	35-39	1	M	12
POA0836	40-44		F	37
POA0836	40-44		M	35
POA0836	40-44	0	F	265
POA0836	40-44	0	M	277
POA0836	40-44	1	F	16
POA0836	40-44	1	M	19
POA0836	45-49		F	37
POA0836	45-49		M	42
POA0836	45-49	0	F	314
POA0836	45-49	0	M	317
POA0836	45-49	1	F	19
POA0836	45-49	1	M	18
POA0836	50-54		F	35
POA0836	50-54		M	39
POA0836	50-54	0	F	230
POA0836	50-54	0	M	304
POA0836	50-54	1	F	22
POA0836	50-54	1	M	19
POA0836	55-59		F	20
