POA_CODE_2016	Age	MaritalStatus	Sex	responses
POA0820	65-74	Widowed	M	26
POA0820	75-84	Divorced	F	34
POA0820	75-84	Divorced	M	36
POA0820	75-84	Married	F	75
POA0820	75-84	Married	M	125
POA0820	75-84	Separated	F	3
POA0820	75-84	Separated	M	4
POA0820	75-84	Widowed	F	76
POA0820	75-84	Widowed	M	29
POA0820	85+	Divorced	F	7
POA0820	85+	Divorced	M	12
POA0820	85+	Married	F	11
POA0820	85+	Married	M	33
POA0820	85+	Widowed	F	61
POA0820	85+	Widowed	M	18
POA0822	15-19	Married	F	143
POA0822	15-19	Married	M	63
POA0822	15-19	Separated	F	4
POA0822	15-19	Separated	M	3
POA0822	20-24	Married	F	376
POA0822	20-24	Married	M	303
POA0822	20-24	Separated	F	15
POA0822	20-24	Separated	M	9
POA0822	20-24	Widowed	F	8
POA0822	20-24	Widowed	M	4
POA0822	25-34	Divorced	F	43
POA0822	25-34	Divorced	M	29
POA0822	25-34	Married	F	1019
POA0822	25-34	Married	M	983
POA0822	25-34	Separated	F	49
POA0822	25-34	Separated	M	39
POA0822	25-34	Widowed	F	24
POA0822	25-34	Widowed	M	12
POA0822	35-44	Divorced	F	65
POA0822	35-44	Divorced	M	67
POA0822	35-44	Married	F	985
POA0822	35-44	Married	M	1033
POA0822	35-44	Separated	F	46
POA0822	35-44	Separated	M	50
POA0822	35-44	Widowed	F	60
POA0822	35-44	Widowed	M	11
POA0822	45-54	Divorced	F	131
POA0822	45-54	Divorced	M	126
POA0822	45-54	Married	F	816
POA0822	45-54	Married	M	892
POA0822	45-54	Separated	F	59
POA0822	45-54	Separated	M	75
POA0822	45-54	Widowed	F	166
POA0822	45-54	Widowed	M	32
POA0822	55-64	Divorced	F	143
POA0822	55-64	Divorced	M	153
POA0822	55-64	Married	F	536
POA0822	55-64	Married	M	632
POA0822	55-64	Separated	F	45
POA0822	55-64	Separated	M	61
POA0822	55-64	Widowed	F	183
POA0822	55-64	Widowed	M	56
POA0822	65-74	Divorced	F	65
POA0822	65-74	Divorced	M	74
POA0822	65-74	Married	F	200
POA0822	65-74	Married	M	293
POA0822	65-74	Separated	F	16
POA0822	65-74	Separated	M	31
POA0822	65-74	Widowed	F	129
POA0822	65-74	Widowed	M	60
POA0822	75-84	Divorced	F	12
POA0822	75-84	Divorced	M	19
POA0822	75-84	Married	F	32
POA0822	75-84	Married	M	71
POA0822	75-84	Separated	M	9
POA0822	75-84	Widowed	F	71
POA0822	75-84	Widowed	M	30
POA0822	85+	Divorced	M	3
POA0822	85+	Married	F	8
POA0822	85+	Married	M	7
POA0822	85+	Widowed	F	14
POA0822	85+	Widowed	M	3
POA0828	15-19	Married	F	4
POA0828	20-24	Married	F	8
POA0828	20-24	Married	M	8
POA0828	25-34	Divorced	M	4
POA0828	25-34	Married	F	38
POA0828	25-34	Married	M	26
POA0828	25-34	Separated	F	3
POA0828	35-44	Divorced	F	10
POA0828	35-44	Divorced	M	3
POA0828	35-44	Married	F	26
POA0828	35-44	Married	M	34
POA0828	35-44	Separated	F	4
POA0828	35-44	Separated	M	4
POA0828	45-54	Divorced	F	4
POA0828	45-54	Divorced	M	16
POA0828	45-54	Married	F	42
POA0828	45-54	Married	M	38
POA0828	45-54	Separated	M	3
POA0828	45-54	Widowed	F	4
POA0828	55-64	Divorced	F	4
POA0828	55-64	Divorced	M	14
POA0828	55-64	Married	F	40
POA0828	55-64	Married	M	55
POA0828	55-64	Separated	F	3
POA0828	55-64	Separated	M	14
POA0828	55-64	Widowed	F	3
POA0828	65-74	Divorced	F	3
POA0828	65-74	Divorced	M	13
POA0828	65-74	Married	F	20
POA0828	65-74	Married	M	33
POA0828	65-74	Separated	F	8
POA0828	65-74	Separated	M	6
POA0828	65-74	Widowed	F	6
POA0828	65-74	Widowed	M	3
POA0828	75-84	Divorced	M	3
POA0828	75-84	Married	F	3
POA0828	75-84	Married	M	9
POA0828	85+	Widowed	F	3
POA0828	85+	Widowed	M	3
POA0829	15-19	Married	M	4
POA0829	20-24	Married	F	3
POA0829	20-24	Married	M	61
POA0829	20-24	Separated	M	5
POA0829	25-34	Divorced	M	7
POA0829	25-34	Married	F	18
POA0829	25-34	Married	M	180
POA0829	25-34	Separated	M	13
POA0829	35-44	Divorced	M	6
POA0829	35-44	Married	F	22
POA0829	35-44	Married	M	137
POA0829	35-44	Separated	M	9
POA0829	45-54	Divorced	F	9
POA0829	45-54	Divorced	M	5
POA0829	45-54	Married	F	22
POA0829	45-54	Married	M	109
POA0829	45-54	Separated	M	8
POA0829	45-54	Widowed	M	5
POA0829	55-64	Divorced	F	4
POA0829	55-64	Divorced	M	9
POA0829	55-64	Married	F	19
POA0829	55-64	Married	M	44
POA0829	55-64	Separated	M	3
POA0829	65-74	Married	F	5
POA0829	65-74	Married	M	15
POA0830	15-19	Married	M	3
POA0830	15-19	Widowed	M	3
POA0830	20-24	Divorced	M	3
POA0830	20-24	Married	F	65
POA0830	20-24	Married	M	31
POA0830	20-24	Separated	F	6
POA0830	20-24	Widowed	F	3
POA0830	25-34	Divorced	F	39
POA0830	25-34	Divorced	M	15
POA0830	25-34	Married	F	744
POA0830	25-34	Married	M	571
POA0830	25-34	Separated	F	54
POA0830	25-34	Separated	M	25
POA0830	25-34	Widowed	F	5
POA0830	35-44	Divorced	F	112
POA0830	35-44	Divorced	M	101
POA0830	35-44	Married	F	790
POA0830	35-44	Married	M	784
POA0830	35-44	Separated	F	62
POA0830	35-44	Separated	M	52
POA0830	35-44	Widowed	F	15
POA0830	35-44	Widowed	M	3
POA0830	45-54	Divorced	F	176
POA0830	45-54	Divorced	M	182
POA0830	45-54	Married	F	644
POA0830	45-54	Married	M	719
POA0830	45-54	Separated	F	71
POA0830	45-54	Separated	M	83
POA0830	45-54	Widowed	F	29
POA0830	45-54	Widowed	M	11
POA0830	55-64	Divorced	F	171
POA0830	55-64	Divorced	M	151
POA0830	55-64	Married	F	429
POA0830	55-64	Married	M	500
POA0830	55-64	Separated	F	38
POA0830	55-64	Separated	M	35
POA0830	55-64	Widowed	F	48
POA0830	55-64	Widowed	M	25
POA0830	65-74	Divorced	F	102
POA0830	65-74	Divorced	M	78
POA0830	65-74	Married	F	150
POA0830	65-74	Married	M	206
POA0830	65-74	Separated	F	17
POA0830	65-74	Separated	M	28
POA0830	65-74	Widowed	F	74
POA0830	65-74	Widowed	M	15
POA0830	75-84	Divorced	F	33
POA0830	75-84	Divorced	M	15
POA0830	75-84	Married	F	38
POA0830	75-84	Married	M	69
POA0830	75-84	Separated	F	3
POA0830	75-84	Separated	M	7
POA0830	75-84	Widowed	F	66
POA0830	75-84	Widowed	M	21
POA0830	85+	Divorced	M	6
POA0830	85+	Married	F	9
POA0830	85+	Married	M	7
POA0830	85+	Separated	M	3
POA0830	85+	Widowed	F	26
POA0830	85+	Widowed	M	6
POA0832	15-19	Married	M	3
POA0832	20-24	Divorced	F	8
POA0832	20-24	Divorced	M	4
POA0832	20-24	Married	F	74
POA0832	20-24	Married	M	45
POA0832	20-24	Separated	F	4
POA0832	20-24	Separated	M	3
POA0832	20-24	Widowed	M	3
POA0832	25-34	Divorced	F	44
POA0832	25-34	Divorced	M	27
POA0832	25-34	Married	F	875
POA0832	25-34	Married	M	696
POA0832	25-34	Separated	F	43
POA0832	25-34	Separated	M	36
POA0832	35-44	Divorced	F	111
POA0832	35-44	Divorced	M	83
POA0832	35-44	Married	F	863
POA0832	35-44	Married	M	918
POA0832	35-44	Separated	F	44
POA0832	35-44	Separated	M	35
POA0832	35-44	Widowed	F	7
POA0832	45-54	Divorced	F	136
POA0832	45-54	Divorced	M	113
POA0832	45-54	Married	F	450
POA0832	45-54	Married	M	555
POA0832	45-54	Separated	F	51
POA0832	45-54	Separated	M	35
POA0832	45-54	Widowed	F	17
POA0832	45-54	Widowed	M	3
POA0832	55-64	Divorced	F	105
POA0832	55-64	Divorced	M	68
POA0832	55-64	Married	F	242
POA0832	55-64	Married	M	307
POA0832	55-64	Separated	F	42
POA0832	55-64	Separated	M	18
POA0832	55-64	Widowed	F	50
POA0832	55-64	Widowed	M	4
POA0832	65-74	Divorced	F	46
POA0832	65-74	Divorced	M	26
POA0832	65-74	Married	F	83
POA0832	65-74	Married	M	88
POA0832	65-74	Separated	F	12
POA0832	65-74	Separated	M	3
POA0832	65-74	Widowed	F	39
POA0832	65-74	Widowed	M	11
POA0832	75-84	Divorced	F	10
POA0832	75-84	Divorced	M	9
POA0832	75-84	Married	F	17
POA0832	75-84	Married	M	37
POA0832	75-84	Separated	F	4
POA0832	75-84	Widowed	F	40
POA0832	75-84	Widowed	M	3
POA0832	85+	Married	F	3
POA0832	85+	Married	M	11
POA0832	85+	Widowed	F	4
POA0832	85+	Widowed	M	7
POA0834	20-24	Married	F	3
POA0834	25-34	Divorced	F	8
POA0834	25-34	Married	F	32
POA0834	25-34	Married	M	19
POA0834	25-34	Separated	F	7
POA0834	25-34	Separated	M	3
POA0834	35-44	Divorced	F	12
POA0834	35-44	Divorced	M	6
POA0834	35-44	Married	F	61
POA0834	35-44	Married	M	62
POA0834	35-44	Separated	F	3
POA0834	35-44	Separated	M	4
POA0834	45-54	Divorced	F	22
POA0834	45-54	Divorced	M	27
POA0834	45-54	Married	F	109
POA0834	45-54	Married	M	97
POA0834	45-54	Separated	F	3
POA0834	45-54	Separated	M	8
POA0834	45-54	Widowed	F	3
POA0834	55-64	Divorced	F	26
POA0834	55-64	Divorced	M	26
POA0834	55-64	Married	F	95
POA0834	55-64	Married	M	97
POA0834	55-64	Separated	F	7
POA0834	55-64	Separated	M	3
POA0834	55-64	Widowed	F	4
POA0834	65-74	Divorced	F	12
POA0834	65-74	Divorced	M	10
POA0834	65-74	Married	F	28
POA0834	65-74	Married	M	43
POA0834	65-74	Separated	M	6
POA0834	65-74	Widowed	F	3
POA0834	65-74	Widowed	M	7
POA0834	75-84	Divorced	F	3
POA0834	75-84	Divorced	M	3
POA0834	75-84	Married	F	9
POA0834	75-84	Married	M	12
POA0834	75-84	Widowed	F	6
POA0834	75-84	Widowed	M	4
POA0835	20-24	Married	F	7
POA0835	20-24	Married	M	8
POA0835	25-34	Divorced	F	5
POA0835	25-34	Divorced	M	13
POA0835	25-34	Married	F	51
POA0835	25-34	Married	M	172
POA0835	25-34	Separated	F	3
POA0835	25-34	Separated	M	18
POA0835	35-44	Divorced	F	12
POA0835	35-44	Divorced	M	35
POA0835	35-44	Married	F	118
POA0835	35-44	Married	M	383
POA0835	35-44	Separated	F	6
POA0835	35-44	Separated	M	18
POA0835	35-44	Widowed	F	3
POA0835	45-54	Divorced	F	40
POA0835	45-54	Divorced	M	95
POA0835	45-54	Married	F	198
POA0835	45-54	Married	M	410
POA0835	45-54	Separated	F	11
POA0835	45-54	Separated	M	41
POA0835	45-54	Widowed	F	3
POA0835	45-54	Widowed	M	3
POA0835	55-64	Divorced	F	39
POA0835	55-64	Divorced	M	84
POA0835	55-64	Married	F	170
POA0835	55-64	Married	M	270
POA0835	55-64	Separated	F	3
POA0835	55-64	Separated	M	27
POA0835	55-64	Widowed	F	13
POA0835	55-64	Widowed	M	5
POA0835	65-74	Divorced	F	9
POA0835	65-74	Divorced	M	39
POA0835	65-74	Married	F	86
POA0835	65-74	Married	M	122
POA0835	65-74	Separated	M	10
POA0835	65-74	Widowed	F	13
POA0835	65-74	Widowed	M	10
POA0835	75-84	Divorced	F	3
POA0835	75-84	Divorced	M	13
POA0835	75-84	Married	F	8
POA0835	75-84	Married	M	28
POA0835	75-84	Separated	M	3
POA0835	75-84	Widowed	F	18
POA0835	75-84	Widowed	M	5
POA0835	85+	Married	F	3
POA0835	85+	Married	M	7
POA0835	85+	Widowed	F	6
POA0835	85+	Widowed	M	3
POA0836	20-24	Married	F	6
POA0836	20-24	Married	M	6
POA0836	20-24	Separated	F	3
POA0836	25-34	Divorced	F	14
POA0836	25-34	Divorced	M	14
POA0836	25-34	Married	F	218
POA0836	25-34	Married	M	160
POA0836	25-34	Separated	F	9
POA0836	25-34	Separated	M	4
POA0836	35-44	Divorced	F	46
POA0836	35-44	Divorced	M	41
POA0836	35-44	Married	F	412
POA0836	35-44	Married	M	332
POA0836	35-44	Separated	F	20
POA0836	35-44	Separated	M	14
POA0836	35-44	Widowed	F	6
POA0836	35-44	Widowed	M	3
POA0836	45-54	Divorced	F	96
POA0836	45-54	Divorced	M	82
POA0836	45-54	Married	F	387
POA0836	45-54	Married	M	408
POA0836	45-54	Separated	F	22
POA0836	45-54	Separated	M	32
POA0836	45-54	Widowed	F	15
POA0836	45-54	Widowed	M	4
POA0836	55-64	Divorced	F	74
POA0836	55-64	Divorced	M	89
POA0836	55-64	Married	F	244
POA0836	55-64	Married	M	271
POA0836	55-64	Separated	F	11
POA0836	55-64	Separated	M	24
POA0836	55-64	Widowed	F	19
POA0836	55-64	Widowed	M	3
POA0836	65-74	Divorced	F	33
POA0836	65-74	Divorced	M	51
POA0836	65-74	Married	F	95
POA0836	65-74	Married	M	156
POA0836	65-74	Separated	F	16
POA0836	65-74	Separated	M	26
POA0836	65-74	Widowed	F	36
POA0836	65-74	Widowed	M	13
POA0836	75-84	Divorced	F	4
POA0836	75-84	Divorced	M	12
POA0836	75-84	Married	F	13
POA0836	75-84	Married	M	29
POA0836	75-84	Separated	M	3
POA0836	75-84	Widowed	F	33
POA0836	75-84	Widowed	M	8
POA0836	85+	Widowed	F	5
POA0836	85+	Widowed	M	4
POA0837	20-24	Married	M	3
POA0837	25-34	Married	F	4
POA0837	25-34	Married	M	3
POA0837	35-44	Divorced	F	3
POA0837	35-44	Married	F	25
POA0837	35-44	Married	M	20
POA0837	35-44	Separated	M	3
POA0837	45-54	Divorced	F	3
POA0837	45-54	Divorced	M	4
POA0837	45-54	Married	F	28
POA0837	45-54	Married	M	29
POA0837	45-54	Separated	M	5
POA0837	45-54	Widowed	F	4
POA0837	55-64	Divorced	F	3
POA0837	55-64	Divorced	M	8
POA0837	55-64	Married	F	14
POA0837	55-64	Married	M	11
POA0837	55-64	Separated	F	3
POA0837	55-64	Separated	M	4
POA0837	55-64	Widowed	F	3
POA0837	65-74	Divorced	F	5
POA0837	65-74	Divorced	M	3
POA0837	65-74	Married	F	12
POA0837	65-74	Married	M	13
POA0837	75-84	Married	M	3
POA0838	20-24	Married	F	4
POA0838	25-34	Married	F	20
POA0838	25-34	Married	M	13
POA0838	35-44	Divorced	F	3
POA0838	35-44	Divorced	M	4
POA0838	35-44	Married	F	30
POA0838	35-44	Married	M	32
POA0838	35-44	Separated	M	5
POA0838	45-54	Divorced	F	10
POA0838	45-54	Divorced	M	11
POA0838	45-54	Married	F	38
POA0838	45-54	Married	M	33
POA0838	55-64	Divorced	F	9
POA0838	55-64	Divorced	M	16
POA0838	55-64	Married	F	23
POA0838	55-64	Married	M	34
POA0838	55-64	Widowed	F	4
POA0838	65-74	Divorced	M	5
POA0838	65-74	Married	F	17
POA0838	65-74	Married	M	18
POA0838	65-74	Separated	F	3
POA0838	65-74	Separated	M	4
POA0838	75-84	Widowed	F	3
POA0839	20-24	Married	F	3
POA0839	20-24	Married	M	4
POA0839	25-34	Divorced	M	3
POA0839	25-34	Married	F	13
POA0839	25-34	Married	M	10
POA0839	35-44	Divorced	F	3
POA0839	35-44	Divorced	M	3
POA0839	35-44	Married	F	7
POA0839	35-44	Married	M	15
POA0839	35-44	Separated	F	3
POA0839	45-54	Divorced	F	11
POA0839	45-54	Divorced	M	3
POA0839	45-54	Married	F	15
POA0839	45-54	Married	M	11
POA0839	45-54	Separated	F	9
POA0839	55-64	Divorced	F	6
POA0839	55-64	Divorced	M	9
POA0839	55-64	Married	F	6
POA0839	55-64	Married	M	12
POA0839	55-64	Separated	F	3
POA0839	55-64	Widowed	F	3
POA0839	55-64	Widowed	M	5
POA0839	65-74	Divorced	F	3
POA0839	65-74	Divorced	M	3
POA0839	65-74	Married	F	8
POA0839	65-74	Married	M	15
POA0839	65-74	Widowed	F	3
POA0839	75-84	Divorced	M	4
POA0840	25-34	Married	F	5
POA0840	35-44	Married	F	12
POA0840	35-44	Married	M	11
POA0840	45-54	Divorced	F	7
POA0840	45-54	Divorced	M	3
POA0840	45-54	Married	F	16
POA0840	45-54	Married	M	4
POA0840	45-54	Separated	M	4
POA0840	55-64	Divorced	F	7
POA0840	55-64	Divorced	M	11
POA0840	55-64	Married	F	25
POA0840	55-64	Married	M	22
POA0840	55-64	Separated	F	4
POA0840	55-64	Separated	M	9
POA0840	65-74	Divorced	F	8
POA0840	65-74	Divorced	M	16
POA0840	65-74	Married	F	12
POA0840	65-74	Married	M	34
POA0840	65-74	Separated	F	7
POA0840	65-74	Separated	M	3
POA0840	65-74	Widowed	F	3
POA0840	65-74	Widowed	M	7
POA0840	75-84	Widowed	M	3
POA0841	20-24	Married	F	3
POA0841	25-34	Divorced	F	3
POA0841	25-34	Married	F	10
POA0841	25-34	Married	M	8
POA0841	35-44	Divorced	F	3
POA0841	35-44	Married	F	21
POA0841	35-44	Married	M	15
POA0841	35-44	Separated	F	5
POA0841	45-54	Divorced	F	7
POA0841	45-54	Divorced	M	14
POA0841	45-54	Married	F	17
POA0841	45-54	Married	M	25
POA0841	45-54	Separated	F	8
POA0841	45-54	Separated	M	9
POA0841	45-54	Widowed	M	3
POA0841	55-64	Divorced	F	3
POA0841	55-64	Divorced	M	16
POA0841	55-64	Married	F	24
POA0841	55-64	Married	M	19
POA0841	55-64	Separated	F	4
POA0841	55-64	Separated	M	9
POA0841	65-74	Divorced	F	4
POA0841	65-74	Divorced	M	9
POA0841	65-74	Married	F	19
POA0841	65-74	Married	M	18
POA0841	65-74	Separated	F	4
POA0841	65-74	Separated	M	3
POA0841	65-74	Widowed	F	3
POA0841	75-84	Divorced	M	3
POA0841	75-84	Widowed	M	3
POA0845	25-34	Married	F	7
POA0845	25-34	Married	M	3
POA0845	35-44	Divorced	F	3
POA0845	35-44	Married	F	8
POA0845	35-44	Married	M	3
POA0845	35-44	Separated	F	5
POA0845	45-54	Divorced	F	6
POA0845	45-54	Divorced	M	4
POA0845	45-54	Married	F	13
POA0845	45-54	Married	M	10
POA0845	45-54	Separated	M	8
POA0845	55-64	Divorced	F	4
POA0845	55-64	Divorced	M	7
POA0845	55-64	Married	F	15
POA0845	55-64	Married	M	18
POA0845	55-64	Separated	F	8
POA0845	55-64	Widowed	F	4
POA0845	55-64	Widowed	M	3
POA0845	65-74	Divorced	F	6
POA0845	65-74	Divorced	M	12
POA0845	65-74	Married	F	5
POA0845	65-74	Married	M	5
POA0845	65-74	Separated	M	4
POA0845	65-74	Widowed	F	4
POA0845	65-74	Widowed	M	3
POA0845	75-84	Divorced	M	5
POA0845	75-84	Married	M	3
POA0845	75-84	Widowed	M	3
POA0845	85+	Widowed	F	3
POA0846	25-34	Married	F	3
POA0846	25-34	Married	M	4
POA0846	25-34	Separated	F	4
POA0846	35-44	Married	F	3
POA0846	35-44	Married	M	3
POA0846	45-54	Divorced	M	7
POA0846	45-54	Married	F	21
POA0846	45-54	Married	M	11
POA0846	45-54	Separated	F	3
POA0846	45-54	Separated	M	5
POA0846	55-64	Divorced	F	3
POA0846	55-64	Divorced	M	3
POA0846	55-64	Married	F	8
POA0846	55-64	Married	M	14
POA0846	55-64	Separated	F	3
POA0846	55-64	Separated	M	3
POA0846	55-64	Widowed	M	5
POA0846	65-74	Divorced	M	11
POA0846	65-74	Married	F	5
POA0846	65-74	Married	M	13
POA0846	65-74	Separated	M	3
POA0846	65-74	Widowed	F	5
POA0846	75-84	Divorced	M	7
POA0846	75-84	Married	M	3
POA0846	75-84	Widowed	F	3
POA0846	75-84	Widowed	M	4
POA0846	85+	Divorced	F	3
POA0846	85+	Widowed	F	3
POA0847	15-19	Married	M	4
POA0847	20-24	Married	F	4
POA0847	20-24	Married	M	3
POA0847	25-34	Married	F	6
POA0847	25-34	Married	M	10
POA0847	35-44	Divorced	F	3
POA0847	35-44	Married	F	11
POA0847	35-44	Married	M	7
POA0847	35-44	Separated	M	3
POA0847	45-54	Divorced	M	3
POA0847	45-54	Married	F	8
POA0847	45-54	Married	M	11
POA0847	45-54	Widowed	F	3
POA0847	55-64	Divorced	F	4
POA0847	55-64	Divorced	M	3
POA0847	55-64	Married	F	4
POA0847	55-64	Married	M	13
POA0847	55-64	Separated	F	4
POA0847	55-64	Separated	M	3
POA0847	55-64	Widowed	F	3
