POA_CODE_2016	Age	MaritalStatus	Registered	adults
POA0820	35-44	Married	1	1416
POA0820	35-44	Never married		730
POA0820	45-54	Married	0	320
POA0820	45-54	Married	1	1265
POA0820	45-54	Never married		741
POA0820	55-64	Married	0	216
POA0820	55-64	Married	1	850
POA0820	55-64	Never married		645
POA0820	65-74	Married	0	70
POA0820	65-74	Married	1	525
POA0820	65-74	Never married		364
POA0820	75-84	Married	0	11
POA0820	75-84	Married	1	161
POA0820	75-84	Never married		172
POA0820	85+	Married	1	27
POA0820	85+	Never married		59
POA0822	15-19	Married	0	32
POA0822	15-19	Married	1	96
POA0822	15-19	Never married		1826
POA0822	20-24	Married	0	192
POA0822	20-24	Married	1	434
POA0822	20-24	Never married		1193
POA0822	25-34	Married	0	620
POA0822	25-34	Married	1	1380
POA0822	25-34	Never married		1599
POA0822	35-44	Married	0	529
POA0822	35-44	Married	1	1450
POA0822	35-44	Never married		1025
POA0822	45-54	Married	0	383
POA0822	45-54	Married	1	1293
POA0822	45-54	Never married		1017
POA0822	55-64	Married	0	188
POA0822	55-64	Married	1	879
POA0822	55-64	Never married		754
POA0822	65-74	Married	0	74
POA0822	65-74	Married	1	376
POA0822	65-74	Never married		390
POA0822	75-84	Married	0	20
POA0822	75-84	Married	1	74
POA0822	75-84	Never married		127
POA0822	85+	Married	1	14
POA0822	85+	Never married		13
POA0828	15-19	Married	0	3
POA0828	15-19	Never married		43
POA0828	20-24	Married	0	7
POA0828	20-24	Married	1	6
POA0828	20-24	Never married		40
POA0828	25-34	Married	0	16
POA0828	25-34	Married	1	52
POA0828	25-34	Never married		48
POA0828	35-44	Married	0	11
POA0828	35-44	Married	1	40
POA0828	35-44	Never married		37
POA0828	45-54	Married	0	23
POA0828	45-54	Married	1	44
POA0828	45-54	Never married		31
POA0828	55-64	Married	0	14
POA0828	55-64	Married	1	61
POA0828	55-64	Never married		29
POA0828	65-74	Married	0	6
POA0828	65-74	Married	1	33
POA0828	65-74	Never married		16
POA0828	75-84	Married	1	9
POA0828	85+	Never married		3
POA0829	15-19	Never married		6
POA0829	20-24	Never married		8
POA0829	25-34	Married	0	3
POA0829	25-34	Married	1	4
POA0829	25-34	Never married		6
POA0829	35-44	Married	1	9
POA0829	35-44	Never married		7
POA0829	45-54	Married	0	5
POA0829	45-54	Married	1	21
POA0829	45-54	Never married		10
POA0829	55-64	Married	0	3
POA0829	55-64	Married	1	28
POA0829	55-64	Never married		3
POA0829	65-74	Married	1	13
POA0829	65-74	Never married		4
POA0829	75-84	Never married		5
POA0830	15-19	Married	0	42
POA0830	15-19	Never married		999
POA0830	20-24	Married	0	298
POA0830	20-24	Married	1	73
POA0830	20-24	Never married		661
POA0830	25-34	Married	0	806
POA0830	25-34	Married	1	1085
POA0830	25-34	Never married		907
POA0830	35-44	Married	0	475
POA0830	35-44	Married	1	1339
POA0830	35-44	Never married		654
POA0830	45-54	Married	0	345
POA0830	45-54	Married	1	1153
POA0830	45-54	Never married		650
POA0830	55-64	Married	0	158
POA0830	55-64	Married	1	757
POA0830	55-64	Never married		457
POA0830	65-74	Married	0	43
POA0830	65-74	Married	1	292
POA0830	65-74	Never married		302
POA0830	75-84	Married	0	8
POA0830	75-84	Married	1	89
POA0830	75-84	Never married		119
POA0830	85+	Married	1	5
POA0830	85+	Never married		38
POA0832	15-19	Married	0	47
POA0832	15-19	Never married		715
POA0832	20-24	Married	0	459
POA0832	20-24	Married	1	96
POA0832	20-24	Never married		629
POA0832	25-34	Married	0	989
POA0832	25-34	Married	1	1370
POA0832	25-34	Never married		783
POA0832	35-44	Married	0	399
POA0832	35-44	Married	1	1587
POA0832	35-44	Never married		412
POA0832	45-54	Married	0	213
POA0832	45-54	Married	1	874
POA0832	45-54	Never married		347
POA0832	55-64	Married	0	71
POA0832	55-64	Married	1	445
POA0832	55-64	Never married		241
POA0832	65-74	Married	0	20
POA0832	65-74	Married	1	147
POA0832	65-74	Never married		116
POA0832	75-84	Married	0	5
POA0832	75-84	Married	1	47
POA0832	75-84	Never married		60
POA0832	85+	Married	1	13
POA0832	85+	Never married		10
POA0834	15-19	Never married		103
POA0834	20-24	Married	0	15
POA0834	20-24	Married	1	5
POA0834	20-24	Never married		66
POA0834	25-34	Married	0	69
POA0834	25-34	Married	1	40
POA0834	25-34	Never married		75
POA0834	35-44	Married	0	62
POA0834	35-44	Married	1	111
POA0834	35-44	Never married		49
POA0834	45-54	Married	0	69
POA0834	45-54	Married	1	174
POA0834	45-54	Never married		68
POA0834	55-64	Married	0	41
POA0834	55-64	Married	1	157
POA0834	55-64	Never married		56
POA0834	65-74	Married	0	5
POA0834	65-74	Married	1	67
POA0834	65-74	Never married		35
POA0834	75-84	Married	0	3
POA0834	75-84	Married	1	14
POA0834	75-84	Never married		12
POA0834	85+	Never married		3
POA0835	15-19	Married	0	5
POA0835	15-19	Never married		164
POA0835	20-24	Married	0	31
POA0835	20-24	Married	1	4
POA0835	20-24	Never married		109
POA0835	25-34	Married	0	80
POA0835	25-34	Married	1	70
POA0835	25-34	Never married		105
POA0835	35-44	Married	0	86
POA0835	35-44	Married	1	194
POA0835	35-44	Never married		84
POA0835	45-54	Married	0	122
POA0835	45-54	Married	1	298
POA0835	45-54	Never married		82
POA0835	55-64	Married	0	90
POA0835	55-64	Married	1	262
POA0835	55-64	Never married		102
POA0835	65-74	Married	0	14
POA0835	65-74	Married	1	158
POA0835	65-74	Never married		72
POA0835	75-84	Married	0	3
POA0835	75-84	Married	1	30
POA0835	75-84	Never married		36
POA0835	85+	Married	1	6
POA0835	85+	Never married		16
POA0836	15-19	Married	0	6
POA0836	15-19	Never married		438
POA0836	20-24	Married	0	69
POA0836	20-24	Married	1	11
POA0836	20-24	Never married		256
POA0836	25-34	Married	0	293
POA0836	25-34	Married	1	310
POA0836	25-34	Never married		255
POA0836	35-44	Married	0	254
POA0836	35-44	Married	1	645
POA0836	35-44	Never married		180
POA0836	45-54	Married	0	261
POA0836	45-54	Married	1	670
POA0836	45-54	Never married		276
POA0836	55-64	Married	0	108
POA0836	55-64	Married	1	427
POA0836	55-64	Never married		216
POA0836	65-74	Married	0	38
POA0836	65-74	Married	1	216
POA0836	65-74	Never married		137
POA0836	75-84	Married	0	4
POA0836	75-84	Married	1	36
POA0836	75-84	Never married		47
POA0836	85+	Never married		10
POA0837	15-19	Never married		13
POA0837	20-24	Married	0	4
POA0837	20-24	Never married		9
POA0837	25-34	Married	0	17
POA0837	25-34	Married	1	3
POA0837	25-34	Never married		12
POA0837	35-44	Married	0	3
POA0837	35-44	Married	1	30
POA0837	35-44	Never married		10
POA0837	45-54	Married	0	16
POA0837	45-54	Married	1	32
POA0837	45-54	Never married		15
POA0837	55-64	Married	0	9
POA0837	55-64	Married	1	21
POA0837	55-64	Never married		31
POA0837	65-74	Married	1	18
POA0837	65-74	Never married		13
POA0837	75-84	Married	1	3
