POA_CODE_2016	Age5yr	ChildrenEverBorn	females
POA0810	65-69	2	169
POA0810	65-69	3	143
POA0810	65-69	4	61
POA0810	65-69	5	27
POA0810	65-69	6	20
POA0810	70-74		40
POA0810	70-74	0	42
POA0810	70-74	1	28
POA0810	70-74	2	113
POA0810	70-74	3	86
POA0810	70-74	4	47
POA0810	70-74	5	10
POA0810	70-74	6	18
POA0810	75-79		42
POA0810	75-79	0	26
POA0810	75-79	1	23
POA0810	75-79	2	63
POA0810	75-79	3	49
POA0810	75-79	4	36
POA0810	75-79	5	23
POA0810	75-79	6	21
POA0810	80-84		19
POA0810	80-84	0	17
POA0810	80-84	1	12
POA0810	80-84	2	29
POA0810	80-84	3	24
POA0810	80-84	4	20
POA0810	80-84	5	9
POA0810	80-84	6	20
POA0810	85+		25
POA0810	85+	0	8
POA0810	85+	1	18
POA0810	85+	2	24
POA0810	85+	3	22
POA0810	85+	4	14
POA0810	85+	5	10
POA0810	85+	6	22
POA0812	15-19		92
POA0812	15-19	0	467
POA0812	15-19	1	7
POA0812	15-19	2	3
POA0812	20-24		79
POA0812	20-24	0	385
POA0812	20-24	1	42
POA0812	20-24	2	19
POA0812	20-24	3	3
POA0812	25-29		103
POA0812	25-29	0	404
POA0812	25-29	1	98
POA0812	25-29	2	77
POA0812	25-29	3	31
POA0812	25-29	4	3
POA0812	25-29	6	4
POA0812	30-34		89
POA0812	30-34	0	232
POA0812	30-34	1	152
POA0812	30-34	2	172
POA0812	30-34	3	68
POA0812	30-34	4	22
POA0812	30-34	5	9
POA0812	30-34	6	9
POA0812	35-39		57
POA0812	35-39	0	134
POA0812	35-39	1	134
POA0812	35-39	2	242
POA0812	35-39	3	118
POA0812	35-39	4	39
POA0812	35-39	5	22
POA0812	35-39	6	8
POA0812	40-44		66
POA0812	40-44	0	101
POA0812	40-44	1	118
POA0812	40-44	2	193
POA0812	40-44	3	116
POA0812	40-44	4	61
POA0812	40-44	5	20
POA0812	40-44	6	16
POA0812	45-49		65
POA0812	45-49	0	90
POA0812	45-49	1	81
POA0812	45-49	2	222
POA0812	45-49	3	125
POA0812	45-49	4	47
POA0812	45-49	5	18
POA0812	45-49	6	19
POA0812	50-54		69
POA0812	50-54	0	101
POA0812	50-54	1	86
POA0812	50-54	2	221
POA0812	50-54	3	133
POA0812	50-54	4	64
POA0812	50-54	5	13
POA0812	50-54	6	15
POA0812	55-59		59
POA0812	55-59	0	84
POA0812	55-59	1	71
POA0812	55-59	2	220
POA0812	55-59	3	128
POA0812	55-59	4	69
POA0812	55-59	5	22
POA0812	55-59	6	5
POA0812	60-64		66
POA0812	60-64	0	55
POA0812	60-64	1	47
POA0812	60-64	2	192
POA0812	60-64	3	119
POA0812	60-64	4	43
POA0812	60-64	5	14
POA0812	60-64	6	8
POA0812	65-69		34
POA0812	65-69	0	43
POA0812	65-69	1	37
POA0812	65-69	2	103
POA0812	65-69	3	72
POA0812	65-69	4	33
POA0812	65-69	5	16
POA0812	65-69	6	12
POA0812	70-74		21
POA0812	70-74	0	25
POA0812	70-74	1	25
POA0812	70-74	2	73
POA0812	70-74	3	45
POA0812	70-74	4	23
POA0812	70-74	5	5
POA0812	70-74	6	11
POA0812	75-79		15
POA0812	75-79	0	6
POA0812	75-79	1	9
POA0812	75-79	2	31
POA0812	75-79	3	33
POA0812	75-79	4	19
POA0812	75-79	5	13
POA0812	75-79	6	13
POA0812	80-84		3
POA0812	80-84	0	3
POA0812	80-84	1	3
POA0812	80-84	2	11
POA0812	80-84	3	13
POA0812	80-84	4	11
POA0812	80-84	5	6
POA0812	80-84	6	14
POA0812	85+		4
POA0812	85+	1	4
POA0812	85+	2	3
POA0812	85+	3	10
POA0812	85+	4	5
POA0812	85+	5	7
POA0812	85+	6	10
POA0815	15-19		4
POA0815	15-19	0	10
POA0815	20-24		10
POA0815	20-24	0	16
POA0815	25-29		12
POA0815	25-29	0	17
POA0815	30-34		5
POA0815	30-34	0	5
POA0815	30-34	2	3
POA0815	40-44		3
POA0820	15-19		55
POA0820	15-19	0	332
POA0820	15-19	1	4
POA0820	20-24		81
POA0820	20-24	0	470
POA0820	20-24	1	37
POA0820	20-24	2	13
POA0820	20-24	3	3
POA0820	25-29		185
POA0820	25-29	0	824
POA0820	25-29	1	98
POA0820	25-29	2	41
POA0820	25-29	3	10
POA0820	25-29	4	3
POA0820	30-34		129
POA0820	30-34	0	566
POA0820	30-34	1	190
POA0820	30-34	2	144
POA0820	30-34	3	40
POA0820	30-34	4	12
POA0820	30-34	5	4
POA0820	35-39		90
POA0820	35-39	0	231
POA0820	35-39	1	131
POA0820	35-39	2	173
POA0820	35-39	3	81
POA0820	35-39	4	24
POA0820	35-39	6	3
POA0820	40-44		80
POA0820	40-44	0	176
POA0820	40-44	1	105
POA0820	40-44	2	214
POA0820	40-44	3	107
POA0820	40-44	4	30
POA0820	40-44	6	6
POA0820	45-49		64
POA0820	45-49	0	130
POA0820	45-49	1	80
POA0820	45-49	2	213
POA0820	45-49	3	85
POA0820	45-49	4	33
POA0820	45-49	5	15
POA0820	45-49	6	4
POA0820	50-54		72
POA0820	50-54	0	142
POA0820	50-54	1	95
POA0820	50-54	2	174
POA0820	50-54	3	118
POA0820	50-54	4	24
POA0820	50-54	5	15
POA0820	50-54	6	3
POA0820	55-59		61
POA0820	55-59	0	93
POA0820	55-59	1	80
POA0820	55-59	2	164
POA0820	55-59	3	96
POA0820	55-59	4	27
POA0820	55-59	5	10
POA0820	55-59	6	4
POA0820	60-64		57
POA0820	60-64	0	69
POA0820	60-64	1	51
POA0820	60-64	2	138
POA0820	60-64	3	83
POA0820	60-64	4	35
POA0820	60-64	5	13
POA0820	60-64	6	3
POA0820	65-69		28
POA0820	65-69	0	49
POA0820	65-69	1	36
POA0820	65-69	2	110
POA0820	65-69	3	56
POA0820	65-69	4	28
POA0820	65-69	5	10
POA0820	65-69	6	8
POA0820	70-74		25
POA0820	70-74	0	18
POA0820	70-74	1	14
POA0820	70-74	2	57
POA0820	70-74	3	40
POA0820	70-74	4	23
POA0820	70-74	5	8
POA0820	75-79		16
POA0820	75-79	0	15
POA0820	75-79	1	9
POA0820	75-79	2	29
POA0820	75-79	3	29
POA0820	75-79	4	11
POA0820	75-79	5	9
POA0820	75-79	6	4
POA0820	80-84		9
POA0820	80-84	0	9
POA0820	80-84	2	9
POA0820	80-84	3	18
POA0820	80-84	4	8
POA0820	80-84	5	5
POA0820	80-84	6	10
POA0820	85+		23
POA0820	85+	0	4
POA0820	85+	1	5
POA0820	85+	2	17
POA0820	85+	3	10
POA0820	85+	4	4
POA0820	85+	5	4
POA0820	85+	6	10
POA0822	15-19		335
POA0822	15-19	0	594
POA0822	15-19	1	95
POA0822	15-19	2	7
POA0822	20-24		189
POA0822	20-24	0	360
POA0822	20-24	1	282
POA0822	20-24	2	121
POA0822	20-24	3	21
POA0822	20-24	4	9
POA0822	20-24	5	4
POA0822	20-24	6	3
POA0822	25-29		171
POA0822	25-29	0	268
POA0822	25-29	1	210
POA0822	25-29	2	224
POA0822	25-29	3	109
POA0822	25-29	4	35
POA0822	25-29	5	10
POA0822	25-29	6	4
POA0822	30-34		205
POA0822	30-34	0	216
POA0822	30-34	1	167
POA0822	30-34	2	194
POA0822	30-34	3	175
POA0822	30-34	4	94
POA0822	30-34	5	38
POA0822	30-34	6	20
POA0822	35-39		148
POA0822	35-39	0	131
POA0822	35-39	1	104
POA0822	35-39	2	171
POA0822	35-39	3	166
POA0822	35-39	4	90
POA0822	35-39	5	68
POA0822	35-39	6	44
POA0822	40-44		155
POA0822	40-44	0	131
POA0822	40-44	1	91
POA0822	40-44	2	170
POA0822	40-44	3	129
POA0822	40-44	4	103
POA0822	40-44	5	48
POA0822	40-44	6	36
POA0822	45-49		125
POA0822	45-49	0	129
POA0822	45-49	1	98
POA0822	45-49	2	172
POA0822	45-49	3	125
POA0822	45-49	4	93
POA0822	45-49	5	55
POA0822	45-49	6	46
POA0822	50-54		130
POA0822	50-54	0	109
POA0822	50-54	1	75
POA0822	50-54	2	130
POA0822	50-54	3	112
POA0822	50-54	4	89
POA0822	50-54	5	50
POA0822	50-54	6	57
POA0822	55-59		96
POA0822	55-59	0	71
POA0822	55-59	1	71
POA0822	55-59	2	113
POA0822	55-59	3	134
POA0822	55-59	4	74
POA0822	55-59	5	39
POA0822	55-59	6	42
POA0822	60-64		65
POA0822	60-64	0	61
POA0822	60-64	1	46
POA0822	60-64	2	75
POA0822	60-64	3	78
POA0822	60-64	4	57
POA0822	60-64	5	31
POA0822	60-64	6	42
POA0822	65-69		48
POA0822	65-69	0	30
POA0822	65-69	1	40
POA0822	65-69	2	59
POA0822	65-69	3	52
POA0822	65-69	4	28
POA0822	65-69	5	26
POA0822	65-69	6	20
POA0822	70-74		24
POA0822	70-74	0	20
POA0822	70-74	1	16
POA0822	70-74	2	23
POA0822	70-74	3	24
POA0822	70-74	4	7
POA0822	70-74	5	7
POA0822	70-74	6	23
POA0822	75-79		15
POA0822	75-79	0	9
POA0822	75-79	2	16
POA0822	75-79	3	14
POA0822	75-79	4	13
POA0822	75-79	5	13
POA0822	75-79	6	14
POA0822	80-84		13
POA0822	80-84	0	4
POA0822	80-84	2	5
POA0822	80-84	3	3
POA0822	80-84	4	6
POA0822	80-84	5	4
POA0822	80-84	6	7
POA0822	85+		10
POA0822	85+	2	3
POA0822	85+	3	3
POA0822	85+	4	3
POA0822	85+	6	3
POA0828	15-19		12
POA0828	15-19	0	66
POA0828	20-24		3
POA0828	20-24	0	33
POA0828	20-24	1	6
POA0828	25-29		7
POA0828	25-29	0	19
POA0828	25-29	4	3
POA0828	30-34		9
POA0828	30-34	0	9
POA0828	30-34	1	4
POA0828	30-34	2	7
POA0828	30-34	3	3
POA0828	30-34	4	4
POA0828	35-39		5
POA0828	35-39	0	8
POA0828	35-39	1	4
POA0828	35-39	2	3
POA0828	35-39	3	12
POA0828	40-44		4
POA0828	40-44	0	5
POA0828	40-44	1	3
POA0828	40-44	2	4
POA0828	40-44	3	9
POA0828	40-44	4	8
POA0828	40-44	5	3
POA0828	40-44	6	3
POA0828	45-49		3
POA0828	45-49	0	7
POA0828	45-49	2	10
POA0828	45-49	3	7
POA0828	45-49	4	4
POA0828	50-54		11
POA0828	50-54	0	11
POA0828	50-54	1	4
POA0828	50-54	2	17
POA0828	50-54	3	13
POA0828	50-54	4	3
POA0828	55-59		3
POA0828	55-59	0	4
POA0828	55-59	1	6
POA0828	55-59	2	13
POA0828	55-59	3	8
POA0828	55-59	4	8
POA0828	55-59	5	3
POA0828	60-64		3
POA0828	60-64	0	4
POA0828	60-64	1	8
POA0828	60-64	2	5
POA0828	60-64	6	3
POA0828	65-69		6
POA0828	65-69	0	3
POA0828	65-69	2	7
POA0828	65-69	3	5
POA0828	65-69	4	5
POA0828	65-69	6	3
POA0828	70-74		3
POA0828	70-74	2	3
POA0828	70-74	3	3
POA0828	70-74	4	4
POA0829	15-19	0	7
POA0829	20-24		14
POA0829	20-24	0	42
POA0829	25-29		10
POA0829	25-29	0	11
POA0829	30-34		15
POA0829	30-34	0	10
POA0829	30-34	2	3
POA0829	35-39		7
POA0829	35-39	0	3
POA0829	35-39	4	3
POA0829	40-44		14
POA0829	40-44	0	3
POA0829	45-49		12
POA0829	45-49	1	3
POA0829	45-49	2	3
POA0829	50-54		3
POA0829	50-54	0	4
POA0829	50-54	2	7
POA0829	55-59		11
POA0829	55-59	0	3
POA0829	55-59	1	3
POA0829	55-59	2	5
POA0829	55-59	3	7
POA0829	60-64	3	3
POA0829	65-69	0	3
POA0829	70-74	2	3
POA0830	15-19		105
POA0830	15-19	0	476
POA0830	15-19	1	11
POA0830	20-24		93
POA0830	20-24	0	366
POA0830	20-24	1	78
POA0830	20-24	2	43
POA0830	20-24	3	15
POA0830	25-29		109
POA0830	25-29	0	335
POA0830	25-29	1	162
POA0830	25-29	2	117
POA0830	25-29	3	47
POA0830	25-29	4	12
POA0830	25-29	5	8
POA0830	25-29	6	3
POA0830	30-34		106
POA0830	30-34	0	231
POA0830	30-34	1	186
POA0830	30-34	2	216
POA0830	30-34	3	102
POA0830	30-34	4	33
POA0830	30-34	5	13
POA0830	30-34	6	10
POA0830	35-39		76
POA0830	35-39	0	137
POA0830	35-39	1	99
POA0830	35-39	2	232
POA0830	35-39	3	114
POA0830	35-39	4	41
POA0830	35-39	5	19
POA0830	35-39	6	8
POA0830	40-44		71
POA0830	40-44	0	111
POA0830	40-44	1	93
POA0830	40-44	2	205
POA0830	40-44	3	118
POA0830	40-44	4	59
POA0830	40-44	5	21
POA0830	40-44	6	24
POA0830	45-49		58
POA0830	45-49	0	79
POA0830	45-49	1	85
POA0830	45-49	2	199
POA0830	45-49	3	123
POA0830	45-49	4	53
POA0830	45-49	5	22
POA0830	45-49	6	18
POA0830	50-54		47
POA0830	50-54	0	68
POA0830	50-54	1	67
POA0830	50-54	2	152
POA0830	50-54	3	108
POA0830	50-54	4	51
POA0830	50-54	5	29
POA0830	50-54	6	11
POA0830	55-59		62
POA0830	55-59	0	45
POA0830	55-59	1	44
POA0830	55-59	2	135
POA0830	55-59	3	102
POA0830	55-59	4	60
POA0830	55-59	5	14
POA0830	55-59	6	19
POA0830	60-64		42
POA0830	60-64	0	21
POA0830	60-64	1	28
POA0830	60-64	2	102
POA0830	60-64	3	57
POA0830	60-64	4	30
POA0830	60-64	5	14
POA0830	60-64	6	6
POA0830	65-69		30
POA0830	65-69	0	18
POA0830	65-69	1	29
POA0830	65-69	2	63
POA0830	65-69	3	54
POA0830	65-69	4	32
POA0830	65-69	5	11
POA0830	65-69	6	12
POA0830	70-74		21
POA0830	70-74	0	11
POA0830	70-74	1	9
POA0830	70-74	2	35
POA0830	70-74	3	24
POA0830	70-74	4	17
POA0830	70-74	5	3
POA0830	70-74	6	9
POA0830	75-79		15
POA0830	75-79	0	9
POA0830	75-79	1	7
POA0830	75-79	2	11
POA0830	75-79	3	30
POA0830	75-79	4	6
POA0830	75-79	5	8
POA0830	75-79	6	12
POA0830	80-84		8
POA0830	80-84	0	3
POA0830	80-84	1	3
POA0830	80-84	2	4
POA0830	80-84	3	3
POA0830	80-84	4	6
POA0830	80-84	5	3
POA0830	80-84	6	15
POA0830	85+		3
POA0830	85+	0	3
POA0830	85+	1	6
POA0830	85+	2	3
POA0830	85+	3	4
POA0830	85+	4	10
POA0830	85+	5	3
POA0830	85+	6	3
POA0832	15-19		59
POA0832	15-19	0	352
POA0832	15-19	1	3
POA0832	20-24		66
POA0832	20-24	0	491
POA0832	20-24	1	98
POA0832	20-24	2	30
POA0832	20-24	3	6
POA0832	20-24	6	3
POA0832	25-29		78
POA0832	25-29	0	421
POA0832	25-29	1	188
POA0832	25-29	2	135
POA0832	25-29	3	43
POA0832	25-29	4	9
POA0832	30-34		52
POA0832	30-34	0	210
POA0832	30-34	1	217
POA0832	30-34	2	257
POA0832	30-34	3	105
POA0832	30-34	4	27
POA0832	30-34	5	4
POA0832	35-39		50
POA0832	35-39	0	94
POA0832	35-39	1	145
POA0832	35-39	2	269
POA0832	35-39	3	131
POA0832	35-39	4	40
POA0832	35-39	5	15
POA0832	35-39	6	4
POA0832	40-44		51
POA0832	40-44	0	77
POA0832	40-44	1	82
POA0832	40-44	2	209
POA0832	40-44	3	113
POA0832	40-44	4	37
POA0832	40-44	5	8
POA0832	40-44	6	4
POA0832	45-49		35
POA0832	45-49	0	57
POA0832	45-49	1	53
POA0832	45-49	2	149
POA0832	45-49	3	96
POA0832	45-49	4	49
POA0832	45-49	5	5
POA0832	45-49	6	3
POA0832	50-54		14
POA0832	50-54	0	45
POA0832	50-54	1	43
POA0832	50-54	2	90
POA0832	50-54	3	80
POA0832	50-54	4	37
POA0832	50-54	5	5
POA0832	50-54	6	5
POA0832	55-59		27
POA0832	55-59	0	21
POA0832	55-59	1	29
POA0832	55-59	2	74
POA0832	55-59	3	66
POA0832	55-59	4	41
POA0832	55-59	5	8
POA0832	55-59	6	6
POA0832	60-64		21
POA0832	60-64	0	10
POA0832	60-64	1	14
POA0832	60-64	2	53
POA0832	60-64	3	56
POA0832	60-64	4	23
POA0832	60-64	5	11
POA0832	60-64	6	11
POA0832	65-69		12
POA0832	65-69	0	3
POA0832	65-69	1	8
POA0832	65-69	2	40
POA0832	65-69	3	32
POA0832	65-69	4	17
POA0832	65-69	5	3
POA0832	65-69	6	7
POA0832	70-74		3
POA0832	70-74	1	3
POA0832	70-74	2	16
POA0832	70-74	3	17
POA0832	70-74	4	9
POA0832	70-74	6	3
POA0832	75-79	0	3
POA0832	75-79	1	8
POA0832	75-79	2	11
POA0832	75-79	3	9
POA0832	75-79	4	4
POA0832	75-79	6	6
POA0832	80-84	0	3
POA0832	80-84	2	4
POA0832	80-84	3	3
POA0832	80-84	4	3
POA0832	80-84	5	9
POA0832	80-84	6	4
POA0832	85+	6	3
POA0834	15-19		13
POA0834	15-19	0	35
POA0834	20-24		7
POA0834	20-24	0	28
POA0834	20-24	2	6
POA0834	25-29		12
POA0834	25-29	0	29
POA0834	25-29	1	12
POA0834	25-29	2	3
POA0834	30-34		7
POA0834	30-34	0	19
POA0834	30-34	1	8
POA0834	30-34	2	19
POA0834	30-34	3	8
POA0834	35-39		4
POA0834	35-39	0	9
POA0834	35-39	1	12
POA0834	35-39	2	12
POA0834	35-39	3	7
POA0834	35-39	4	3
POA0834	40-44		9
POA0834	40-44	0	14
POA0834	40-44	1	7
POA0834	40-44	2	29
POA0834	40-44	3	16
POA0834	45-49		7
POA0834	45-49	0	10
POA0834	45-49	1	10
POA0834	45-49	2	27
POA0834	45-49	3	12
POA0834	45-49	4	8
POA0834	45-49	5	3
POA0834	50-54		12
POA0834	50-54	0	13
POA0834	50-54	1	8
POA0834	50-54	2	40
POA0834	50-54	3	14
POA0834	50-54	4	3
POA0834	55-59		13
POA0834	55-59	0	5
POA0834	55-59	1	8
POA0834	55-59	2	27
POA0834	55-59	3	16
POA0834	55-59	4	9
POA0834	55-59	5	4
POA0834	60-64		10
POA0834	60-64	0	4
POA0834	60-64	1	7
POA0834	60-64	2	18
POA0834	60-64	3	9
POA0834	60-64	4	4
POA0834	60-64	5	4
POA0834	65-69	0	3
POA0834	65-69	1	6
POA0834	65-69	2	8
POA0834	65-69	3	17
POA0834	65-69	4	3
POA0834	65-69	5	3
POA0834	70-74	2	7
POA0834	70-74	3	6
POA0834	75-79	2	3
POA0834	75-79	4	8
POA0834	80-84	6	5
POA0835	15-19		16
POA0835	15-19	0	66
POA0835	20-24		11
POA0835	20-24	0	59
POA0835	20-24	1	4
POA0835	20-24	2	3
POA0835	25-29		15
POA0835	25-29	0	45
POA0835	25-29	1	10
POA0835	25-29	2	5
POA0835	30-34		15
POA0835	30-34	0	27
POA0835	30-34	1	18
POA0835	30-34	2	20
POA0835	30-34	3	18
POA0835	35-39		15
POA0835	35-39	0	12
POA0835	35-39	1	12
POA0835	35-39	2	37
POA0835	35-39	3	10
POA0835	35-39	6	3
POA0835	40-44		15
POA0835	40-44	0	22
POA0835	40-44	1	7
POA0835	40-44	2	43
POA0835	40-44	3	23
POA0835	40-44	4	12
POA0835	45-49		24
POA0835	45-49	0	18
POA0835	45-49	1	25
POA0835	45-49	2	52
POA0835	45-49	3	32
POA0835	45-49	4	13
POA0835	45-49	5	3
POA0835	50-54		21
POA0835	50-54	0	20
POA0835	50-54	1	7
POA0835	50-54	2	49
POA0835	50-54	3	30
POA0835	50-54	4	6
POA0835	55-59		17
POA0835	55-59	0	17
POA0835	55-59	1	26
POA0835	55-59	2	38
POA0835	55-59	3	36
POA0835	55-59	4	12
POA0835	60-64		7
POA0835	60-64	0	18
POA0835	60-64	1	15
POA0835	60-64	2	37
POA0835	60-64	3	21
POA0835	60-64	4	11
POA0835	60-64	5	3
POA0835	65-69		9
POA0835	65-69	0	5
POA0835	65-69	1	5
POA0835	65-69	2	28
POA0835	65-69	3	20
POA0835	65-69	4	4
POA0835	70-74		6
POA0835	70-74	0	3
POA0835	70-74	2	16
POA0835	70-74	3	6
POA0835	70-74	4	9
POA0835	75-79	0	5
POA0835	75-79	2	3
POA0835	75-79	3	5
POA0835	80-84		4
POA0835	85+	3	3
POA0835	85+	5	3
POA0836	15-19		36
POA0836	15-19	0	183
POA0836	20-24		21
POA0836	20-24	0	133
POA0836	20-24	1	16
POA0836	20-24	2	4
POA0836	25-29		30
POA0836	25-29	0	103
POA0836	25-29	1	42
POA0836	25-29	2	34
POA0836	25-29	3	11
POA0836	30-34		29
POA0836	30-34	0	70
POA0836	30-34	1	52
POA0836	30-34	2	85
POA0836	30-34	3	37
POA0836	30-34	4	3
POA0836	30-34	5	3
POA0836	35-39		37
POA0836	35-39	0	52
POA0836	35-39	1	39
POA0836	35-39	2	109
POA0836	35-39	3	63
POA0836	35-39	4	15
POA0836	35-39	5	3
POA0836	40-44		39
POA0836	40-44	0	45
POA0836	40-44	1	34
POA0836	40-44	2	118
POA0836	40-44	3	43
POA0836	40-44	4	20
POA0836	40-44	5	9
POA0836	40-44	6	7
POA0836	45-49		38
POA0836	45-49	0	53
POA0836	45-49	1	44
POA0836	45-49	2	124
POA0836	45-49	3	73
POA0836	45-49	4	26
POA0836	45-49	5	4
POA0836	45-49	6	8
POA0836	50-54		37
POA0836	50-54	0	47
POA0836	50-54	1	33
POA0836	50-54	2	97
POA0836	50-54	3	50
POA0836	50-54	4	18
POA0836	50-54	5	10
POA0836	55-59		25
POA0836	55-59	0	25
POA0836	55-59	1	23
POA0836	55-59	2	72
POA0836	55-59	3	60
POA0836	55-59	4	18
POA0836	55-59	5	6
POA0836	55-59	6	3
POA0836	60-64		23
POA0836	60-64	0	14
POA0836	60-64	1	22
POA0836	60-64	2	55
POA0836	60-64	3	33
POA0836	60-64	4	12
POA0836	60-64	5	8
POA0836	60-64	6	3
POA0836	65-69		16
POA0836	65-69	0	14
POA0836	65-69	1	6
POA0836	65-69	2	34
POA0836	65-69	3	29
POA0836	65-69	4	11
POA0836	65-69	5	6
POA0836	65-69	6	3
POA0836	70-74		12
POA0836	70-74	0	5
POA0836	70-74	1	8
POA0836	70-74	2	17
POA0836	70-74	3	12
POA0836	70-74	4	11
POA0836	70-74	6	3
POA0836	75-79		6
POA0836	75-79	2	4
POA0836	75-79	3	7
POA0836	75-79	4	3
POA0836	80-84		5
POA0836	80-84	2	3
POA0836	80-84	4	7
POA0836	80-84	5	5
POA0836	80-84	6	4
POA0836	85+		3
POA0837	15-19	0	6
POA0837	20-24	0	5
POA0837	20-24	1	4
POA0837	25-29	0	8
POA0837	25-29	3	3
POA0837	30-34	0	3
POA0837	30-34	1	3
POA0837	35-39		8
POA0837	35-39	0	3
POA0837	35-39	2	4
POA0837	35-39	3	7
POA0837	40-44		3
POA0837	40-44	1	3
POA0837	40-44	2	3
POA0837	40-44	3	3
POA0837	45-49		3
POA0837	45-49	0	3
POA0837	45-49	2	9
POA0837	45-49	3	3
POA0837	45-49	4	3
POA0837	50-54	0	3
POA0837	50-54	2	3
POA0837	50-54	3	6
POA0837	55-59		4
POA0837	55-59	0	3
POA0837	55-59	4	4
POA0837	55-59	5	3
POA0837	60-64		4
POA0837	60-64	0	3
POA0837	60-64	2	4
POA0837	60-64	3	4
POA0837	65-69		3
POA0837	65-69	4	3
POA0837	70-74		3
POA0838	15-19		9
POA0838	15-19	0	16
POA0838	20-24		3
POA0838	20-24	0	18
POA0838	20-24	1	3
POA0838	20-24	2	3
POA0838	25-29		5
POA0838	25-29	0	9
POA0838	25-29	1	3
POA0838	25-29	2	4
POA0838	25-29	3	3
POA0838	30-34	0	6
POA0838	30-34	1	3
POA0838	30-34	2	7
POA0838	30-34	3	5
POA0838	35-39		6
POA0838	35-39	0	10
POA0838	35-39	1	3
POA0838	35-39	2	10
POA0838	35-39	3	3
POA0838	35-39	4	6
POA0838	40-44		4
POA0838	40-44	0	7
POA0838	40-44	1	3
POA0838	40-44	2	9
POA0838	40-44	3	6
POA0838	45-49	0	3
POA0838	45-49	1	4
POA0838	45-49	2	10
POA0838	45-49	3	4
POA0838	45-49	4	3
POA0838	50-54	0	3
