POA_CODE_2016	MaxSchoolingCompleted	Sex	persons
POA0854	Year 12	F	70
POA0854	Year 12	M	65
POA0860	Did not go to school	F	38
POA0860	Did not go to school	M	31
POA0860	Year 8	F	107
POA0860	Year 8	M	136
POA0860	Year 9	F	83
POA0860	Year 9	M	85
POA0860	Year 10	F	223
POA0860	Year 10	M	239
POA0860	Year 11	F	131
POA0860	Year 11	M	136
POA0860	Year 12	F	384
POA0860	Year 12	M	341
POA0862	Did not go to school	F	7
POA0862	Did not go to school	M	16
POA0862	Year 8	F	33
POA0862	Year 8	M	33
POA0862	Year 9	F	34
POA0862	Year 9	M	30
POA0862	Year 10	F	60
POA0862	Year 10	M	68
POA0862	Year 11	F	42
POA0862	Year 11	M	32
POA0862	Year 12	F	84
POA0862	Year 12	M	65
POA0870	Did not go to school	F	64
POA0870	Did not go to school	M	81
POA0870	Year 8	F	291
POA0870	Year 8	M	340
POA0870	Year 9	F	343
POA0870	Year 9	M	382
POA0870	Year 10	F	1136
POA0870	Year 10	M	1307
POA0870	Year 11	F	868
POA0870	Year 11	M	1003
POA0870	Year 12	F	4196
POA0870	Year 12	M	3339
POA0872	Did not go to school	F	277
POA0872	Did not go to school	M	238
POA0872	Year 8	F	1242
POA0872	Year 8	M	1140
POA0872	Year 9	F	573
POA0872	Year 9	M	536
POA0872	Year 10	F	838
POA0872	Year 10	M	882
POA0872	Year 11	F	484
POA0872	Year 11	M	397
POA0872	Year 12	F	1215
POA0872	Year 12	M	977
POA0873	Did not go to school	F	28
POA0873	Did not go to school	M	11
POA0873	Year 8	F	128
POA0873	Year 8	M	105
POA0873	Year 9	F	59
POA0873	Year 9	M	76
POA0873	Year 10	F	204
POA0873	Year 10	M	210
POA0873	Year 11	F	128
POA0873	Year 11	M	113
POA0873	Year 12	F	332
POA0873	Year 12	M	268
POA0874	Year 8	F	3
POA0874	Year 8	M	4
POA0874	Year 9	F	4
POA0874	Year 10	F	17
POA0874	Year 10	M	22
POA0874	Year 11	F	18
POA0874	Year 11	M	16
POA0874	Year 12	F	125
POA0874	Year 12	M	137
POA0875	Did not go to school	M	5
POA0875	Year 8	F	48
POA0875	Year 8	M	40
POA0875	Year 9	F	38
POA0875	Year 9	M	47
POA0875	Year 10	F	157
POA0875	Year 10	M	149
POA0875	Year 11	F	135
POA0875	Year 11	M	138
POA0875	Year 12	F	404
POA0875	Year 12	M	336
POA0880	Did not go to school	F	15
POA0880	Did not go to school	M	11
POA0880	Year 8	F	132
POA0880	Year 8	M	136
POA0880	Year 9	F	124
POA0880	Year 9	M	126
POA0880	Year 10	F	305
POA0880	Year 10	M	370
POA0880	Year 11	F	189
POA0880	Year 11	M	214
POA0880	Year 12	F	748
POA0880	Year 12	M	615
POA0885	Year 8	M	3
POA0885	Year 9	F	4
POA0885	Year 9	M	9
POA0885	Year 10	F	32
POA0885	Year 10	M	63
POA0885	Year 11	F	31
POA0885	Year 11	M	38
POA0885	Year 12	F	169
POA0885	Year 12	M	186
POA0886	Year 8	F	10
POA0886	Year 8	M	11
POA0886	Year 9	F	20
POA0886	Year 9	M	27
POA0886	Year 10	F	66
POA0886	Year 10	M	89
POA0886	Year 11	F	21
POA0886	Year 11	M	41
POA0886	Year 12	F	173
POA0886	Year 12	M	170
POA2000	Did not go to school	F	151
POA2000	Did not go to school	M	121
POA2000	Year 8	F	193
POA2000	Year 8	M	151
POA2000	Year 9	F	166
POA2000	Year 9	M	193
POA2000	Year 10	F	421
POA2000	Year 10	M	422
POA2000	Year 11	F	279
POA2000	Year 11	M	299
POA2000	Year 12	F	9746
POA2000	Year 12	M	9753
POA2006	Year 10	F	3
POA2006	Year 12	F	642
POA2006	Year 12	M	444
POA2007	Did not go to school	F	45
POA2007	Did not go to school	M	46
POA2007	Year 8	F	85
POA2007	Year 8	M	72
POA2007	Year 9	F	84
POA2007	Year 9	M	70
POA2007	Year 10	F	111
POA2007	Year 10	M	119
POA2007	Year 11	F	107
POA2007	Year 11	M	106
POA2007	Year 12	F	3462
POA2007	Year 12	M	3095
POA2008	Did not go to school	F	25
POA2008	Did not go to school	M	29
POA2008	Year 8	F	46
POA2008	Year 8	M	50
POA2008	Year 9	F	69
POA2008	Year 9	M	74
POA2008	Year 10	F	148
POA2008	Year 10	M	188
POA2008	Year 11	F	138
POA2008	Year 11	M	154
POA2008	Year 12	F	4793
POA2008	Year 12	M	4253
POA2009	Did not go to school	F	37
POA2009	Did not go to school	M	31
POA2009	Year 8	F	91
POA2009	Year 8	M	64
POA2009	Year 9	F	104
POA2009	Year 9	M	95
POA2009	Year 10	F	375
POA2009	Year 10	M	338
POA2009	Year 11	F	194
POA2009	Year 11	M	194
POA2009	Year 12	F	4321
POA2009	Year 12	M	4536
POA2010	Did not go to school	F	114
POA2010	Did not go to school	M	97
POA2010	Year 8	F	196
POA2010	Year 8	M	217
POA2010	Year 9	F	152
POA2010	Year 9	M	242
POA2010	Year 10	F	587
POA2010	Year 10	M	932
POA2010	Year 11	F	295
POA2010	Year 11	M	472
POA2010	Year 12	F	8156
POA2010	Year 12	M	10864
POA2011	Did not go to school	F	36
POA2011	Did not go to school	M	22
POA2011	Year 8	F	102
POA2011	Year 8	M	103
POA2011	Year 9	F	109
POA2011	Year 9	M	143
POA2011	Year 10	F	563
POA2011	Year 10	M	711
POA2011	Year 11	F	308
POA2011	Year 11	M	402
POA2011	Year 12	F	6011
POA2011	Year 12	M	7193
POA2015	Did not go to school	F	34
POA2015	Did not go to school	M	17
POA2015	Year 8	F	56
POA2015	Year 8	M	48
POA2015	Year 9	F	62
POA2015	Year 9	M	74
POA2015	Year 10	F	311
POA2015	Year 10	M	358
POA2015	Year 11	F	126
POA2015	Year 11	M	186
POA2015	Year 12	F	3367
POA2015	Year 12	M	3399
POA2016	Did not go to school	F	79
POA2016	Did not go to school	M	61
POA2016	Year 8	F	178
POA2016	Year 8	M	172
POA2016	Year 9	F	109
POA2016	Year 9	M	130
POA2016	Year 10	F	380
POA2016	Year 10	M	532
POA2016	Year 11	F	167
POA2016	Year 11	M	266
POA2016	Year 12	F	3965
POA2016	Year 12	M	4713
POA2017	Did not go to school	F	98
POA2017	Did not go to school	M	59
POA2017	Year 8	F	234
POA2017	Year 8	M	233
POA2017	Year 9	F	240
POA2017	Year 9	M	220
POA2017	Year 10	F	645
POA2017	Year 10	M	789
POA2017	Year 11	F	355
POA2017	Year 11	M	503
POA2017	Year 12	F	8161
POA2017	Year 12	M	8555
POA2018	Did not go to school	F	182
POA2018	Did not go to school	M	121
POA2018	Year 8	F	506
POA2018	Year 8	M	381
POA2018	Year 9	F	219
POA2018	Year 9	M	228
POA2018	Year 10	F	786
POA2018	Year 10	M	862
POA2018	Year 11	F	250
POA2018	Year 11	M	337
POA2018	Year 12	F	4709
POA2018	Year 12	M	4664
POA2019	Did not go to school	F	26
POA2019	Did not go to school	M	23
POA2019	Year 8	F	163
POA2019	Year 8	M	137
POA2019	Year 9	F	208
POA2019	Year 9	M	200
POA2019	Year 10	F	709
POA2019	Year 10	M	823
POA2019	Year 11	F	212
POA2019	Year 11	M	241
POA2019	Year 12	F	2621
POA2019	Year 12	M	2427
POA2020	Did not go to school	F	91
POA2020	Did not go to school	M	72
POA2020	Year 8	F	277
POA2020	Year 8	M	212
