POA_CODE_2016	FamilyComposition	families_with_children
POA3216	Blended family with no other children present	191
POA3216	Blended family with other children present	4
POA3216	Intact family with no other children present	5895
POA3216	Intact family with other children present	41
POA3216	Other couple family with other children only	17
POA3216	Step family with no other children present	390
POA3216	Step family with other children present	10
POA3217	Blended family with no other children present	50
POA3217	Intact family with no other children present	795
POA3217	Intact family with other children present	3
POA3217	Other couple family with other children only	3
POA3217	Step family with no other children present	62
POA3218	Blended family with no other children present	25
POA3218	Intact family with no other children present	1325
POA3218	Intact family with other children present	3
POA3218	Other couple family with other children only	3
POA3218	Step family with no other children present	74
POA3219	Blended family with no other children present	75
POA3219	Intact family with no other children present	1536
POA3219	Intact family with other children present	10
POA3219	Other couple family with other children only	15
POA3219	Step family with no other children present	151
POA3219	Step family with other children present	9
POA3220	Blended family with no other children present	27
POA3220	Intact family with no other children present	1613
POA3220	Intact family with other children present	4
POA3220	Other couple family with other children only	4
POA3220	Step family with no other children present	76
POA3221	Intact family with no other children present	105
POA3221	Step family with no other children present	10
POA3222	Blended family with no other children present	68
POA3222	Intact family with no other children present	1473
POA3222	Intact family with other children present	6
POA3222	Other couple family with other children only	15
POA3222	Step family with no other children present	123
POA3223	Blended family with no other children present	14
POA3223	Intact family with no other children present	454
POA3223	Intact family with other children present	6
POA3223	Other couple family with other children only	4
POA3223	Step family with no other children present	41
POA3223	Step family with other children present	3
POA3224	Blended family with no other children present	84
POA3224	Intact family with no other children present	1468
POA3224	Intact family with other children present	7
POA3224	Other couple family with other children only	6
POA3224	Step family with no other children present	154
POA3225	Blended family with no other children present	6
POA3225	Intact family with no other children present	299
POA3225	Other couple family with other children only	3
POA3225	Step family with no other children present	22
POA3226	Blended family with no other children present	53
POA3226	Intact family with no other children present	1581
POA3226	Intact family with other children present	8
POA3226	Other couple family with other children only	7
POA3226	Step family with no other children present	113
POA3227	Blended family with no other children present	6
POA3227	Intact family with no other children present	559
POA3227	Step family with no other children present	29
POA3228	Blended family with no other children present	72
POA3228	Intact family with no other children present	2232
POA3228	Intact family with other children present	3
POA3228	Other couple family with other children only	5
POA3228	Step family with no other children present	124
POA3230	Blended family with no other children present	4
POA3230	Intact family with no other children present	225
POA3230	Step family with no other children present	15
POA3231	Intact family with no other children present	94
POA3231	Step family with no other children present	7
POA3232	Blended family with no other children present	4
POA3232	Intact family with no other children present	74
POA3233	Blended family with no other children present	6
POA3233	Intact family with no other children present	144
POA3233	Step family with no other children present	8
POA3234	Intact family with no other children present	11
POA3235	Intact family with no other children present	28
POA3235	Step family with no other children present	3
POA3236	Intact family with no other children present	15
POA3237	Intact family with no other children present	19
POA3237	Step family with no other children present	3
POA3238	Intact family with no other children present	20
POA3239	Intact family with no other children present	40
POA3240	Blended family with no other children present	8
POA3240	Intact family with no other children present	284
POA3240	Step family with no other children present	14
POA3241	Blended family with no other children present	10
POA3241	Intact family with no other children present	217
POA3241	Intact family with other children present	3
POA3241	Step family with no other children present	24
POA3242	Blended family with no other children present	8
POA3242	Intact family with no other children present	82
POA3242	Step family with no other children present	3
POA3243	Intact family with no other children present	36
POA3249	Blended family with no other children present	16
POA3249	Intact family with no other children present	312
POA3249	Intact family with other children present	3
POA3249	Other couple family with other children only	3
POA3249	Step family with no other children present	29
POA3250	Blended family with no other children present	50
POA3250	Intact family with no other children present	1019
POA3250	Intact family with other children present	10
POA3250	Other couple family with other children only	3
POA3250	Step family with no other children present	89
POA3251	Blended family with no other children present	3
POA3251	Intact family with no other children present	44
POA3251	Step family with no other children present	3
POA3254	Intact family with no other children present	32
POA3260	Blended family with no other children present	19
POA3260	Intact family with no other children present	404
POA3260	Intact family with other children present	3
POA3260	Step family with no other children present	25
POA3264	Blended family with no other children present	14
POA3264	Intact family with no other children present	181
POA3264	Step family with no other children present	18
POA3265	Blended family with no other children present	11
POA3265	Intact family with no other children present	302
POA3265	Step family with no other children present	18
POA3266	Blended family with no other children present	25
POA3266	Intact family with no other children present	294
POA3266	Intact family with other children present	3
POA3266	Step family with no other children present	19
POA3267	Intact family with no other children present	31
POA3268	Blended family with no other children present	18
POA3268	Intact family with no other children present	253
POA3268	Other couple family with other children only	3
POA3268	Step family with no other children present	12
POA3269	Blended family with no other children present	3
POA3269	Intact family with no other children present	66
POA3269	Step family with no other children present	3
POA3270	Intact family with no other children present	18
POA3271	Intact family with no other children present	19
POA3271	Step family with no other children present	5
POA3272	Blended family with no other children present	7
POA3272	Intact family with no other children present	115
POA3272	Step family with no other children present	10
POA3273	Intact family with no other children present	15
POA3274	Intact family with no other children present	21
POA3275	Blended family with no other children present	3
POA3275	Intact family with no other children present	59
POA3275	Step family with no other children present	3
POA3276	Blended family with no other children present	7
POA3276	Intact family with no other children present	48
POA3277	Blended family with no other children present	10
POA3277	Intact family with no other children present	215
POA3277	Step family with no other children present	11
POA3278	Blended family with no other children present	5
POA3278	Intact family with no other children present	26
POA3278	Step family with no other children present	5
POA3279	Intact family with no other children present	37
POA3279	Step family with no other children present	4
POA3280	Blended family with no other children present	132
POA3280	Intact family with no other children present	2774
POA3280	Intact family with other children present	17
POA3280	Other couple family with other children only	18
POA3280	Step family with no other children present	194
POA3280	Step family with other children present	3
POA3281	Blended family with no other children present	10
POA3281	Intact family with no other children present	221
POA3281	Intact family with other children present	3
POA3281	Step family with no other children present	19
POA3282	Blended family with no other children present	8
POA3282	Intact family with no other children present	250
POA3282	Step family with no other children present	21
POA3283	Blended family with no other children present	3
POA3283	Intact family with no other children present	143
POA3283	Other couple family with other children only	3
POA3283	Step family with no other children present	11
POA3284	Blended family with no other children present	10
POA3284	Intact family with no other children present	294
POA3284	Other couple family with other children only	3
POA3284	Step family with no other children present	21
POA3285	Blended family with no other children present	9
POA3285	Intact family with no other children present	130
POA3285	Step family with no other children present	11
POA3286	Blended family with no other children present	3
POA3286	Intact family with no other children present	55
POA3287	Blended family with no other children present	3
POA3287	Intact family with no other children present	49
POA3287	Step family with no other children present	3
POA3289	Intact family with no other children present	77
POA3292	Intact family with no other children present	5
POA3292	Other couple family with other children only	3
POA3293	Blended family with no other children present	3
POA3293	Intact family with no other children present	22
POA3293	Step family with no other children present	3
POA3294	Intact family with no other children present	99
POA3294	Step family with no other children present	5
POA3300	Blended family with no other children present	44
POA3300	Intact family with no other children present	869
POA3300	Intact family with other children present	8
POA3300	Other couple family with other children only	7
POA3300	Step family with no other children present	55
POA3301	Blended family with no other children present	3
POA3301	Intact family with no other children present	155
POA3301	Step family with no other children present	3
POA3302	Intact family with no other children present	35
POA3302	Step family with no other children present	3
POA3303	Intact family with no other children present	36
POA3303	Step family with no other children present	3
POA3304	Blended family with no other children present	21
POA3304	Intact family with no other children present	202
POA3304	Other couple family with other children only	3
POA3304	Step family with no other children present	31
POA3305	Blended family with no other children present	64
POA3305	Intact family with no other children present	1052
POA3305	Intact family with other children present	6
POA3305	Other couple family with other children only	13
POA3305	Step family with no other children present	108
POA3309	Intact family with no other children present	11
POA3310	Blended family with no other children present	5
POA3310	Intact family with no other children present	20
POA3311	Blended family with no other children present	8
POA3311	Intact family with no other children present	106
POA3311	Other couple family with other children only	3
POA3312	Intact family with no other children present	98
POA3312	Step family with no other children present	6
POA3314	Blended family with no other children present	3
POA3314	Intact family with no other children present	57
POA3314	Step family with no other children present	3
POA3315	Blended family with no other children present	10
POA3315	Intact family with no other children present	136
POA3315	Intact family with other children present	4
POA3315	Step family with no other children present	6
POA3317	Intact family with no other children present	14
POA3318	Blended family with no other children present	7
POA3318	Intact family with no other children present	99
POA3318	Step family with no other children present	12
POA3319	Intact family with no other children present	31
POA3321	Blended family with no other children present	10
POA3321	Intact family with no other children present	209
POA3321	Step family with no other children present	12
POA3322	Intact family with no other children present	13
POA3323	Intact family with no other children present	5
POA3324	Blended family with no other children present	3
POA3324	Intact family with no other children present	40
POA3324	Step family with no other children present	8
POA3325	Blended family with no other children present	3
POA3325	Intact family with no other children present	46
POA3325	Step family with no other children present	5
POA3328	Blended family with no other children present	10
POA3328	Intact family with no other children present	224
POA3328	Step family with no other children present	16
POA3329	Intact family with no other children present	37
POA3329	Step family with no other children present	3
POA3330	Blended family with no other children present	3
POA3330	Intact family with no other children present	18
POA3331	Blended family with no other children present	30
POA3331	Intact family with no other children present	779
POA3331	Other couple family with other children only	4
POA3331	Step family with no other children present	48
POA3332	Blended family with no other children present	7
POA3332	Intact family with no other children present	122
POA3332	Intact family with other children present	3
POA3332	Step family with no other children present	8
POA3333	Blended family with no other children present	5
POA3333	Intact family with no other children present	80
POA3333	Step family with no other children present	4
POA3334	Intact family with no other children present	44
POA3334	Other couple family with other children only	3
POA3334	Step family with no other children present	6
POA3335	Blended family with no other children present	21
POA3335	Intact family with no other children present	717
POA3335	Intact family with other children present	5
POA3335	Step family with no other children present	48
POA3337	Blended family with no other children present	233
POA3337	Blended family with other children present	9
POA3337	Intact family with no other children present	3692
POA3337	Intact family with other children present	65
POA3337	Other couple family with other children only	21
POA3337	Step family with no other children present	336
POA3337	Step family with other children present	11
POA3338	Blended family with no other children present	141
POA3338	Blended family with other children present	5
POA3338	Intact family with no other children present	2463
POA3338	Intact family with other children present	36
POA3338	Other couple family with other children only	11
POA3338	Step family with no other children present	201
POA3338	Step family with other children present	3
POA3340	Blended family with no other children present	148
POA3340	Intact family with no other children present	2291
POA3340	Intact family with other children present	27
POA3340	Other couple family with other children only	20
POA3340	Step family with no other children present	203
POA3340	Step family with other children present	7
POA3341	Blended family with no other children present	5
POA3341	Intact family with no other children present	211
POA3341	Intact family with other children present	3
POA3341	Step family with no other children present	9
POA3342	Blended family with no other children present	13
POA3342	Intact family with no other children present	350
POA3342	Intact family with other children present	5
POA3342	Step family with no other children present	25
POA3345	Blended family with no other children present	5
POA3345	Intact family with no other children present	117
POA3345	Intact family with other children present	4
POA3345	Step family with no other children present	10
POA3350	Blended family with no other children present	238
POA3350	Intact family with no other children present	5390
POA3350	Intact family with other children present	34
POA3350	Other couple family with other children only	17
POA3350	Step family with no other children present	411
POA3350	Step family with other children present	5
POA3351	Blended family with no other children present	44
POA3351	Intact family with no other children present	926
POA3351	Intact family with other children present	12
POA3351	Other couple family with other children only	5
POA3351	Step family with no other children present	81
POA3351	Step family with other children present	3
POA3352	Blended family with no other children present	75
POA3352	Blended family with other children present	4
POA3352	Intact family with no other children present	1876
POA3352	Intact family with other children present	18
POA3352	Other couple family with other children only	7
POA3352	Step family with no other children present	125
POA3352	Step family with other children present	3
POA3355	Blended family with no other children present	68
POA3355	Intact family with no other children present	883
POA3355	Intact family with other children present	15
POA3355	Other couple family with other children only	8
POA3355	Step family with no other children present	98
POA3355	Step family with other children present	3
POA3356	Blended family with no other children present	112
POA3356	Intact family with no other children present	1198
POA3356	Intact family with other children present	19
POA3356	Other couple family with other children only	11
POA3356	Step family with no other children present	136
POA3356	Step family with other children present	3
POA3357	Blended family with no other children present	12
POA3357	Intact family with no other children present	440
POA3357	Step family with no other children present	17
POA3360	Blended family with no other children present	5
POA3360	Intact family with no other children present	55
POA3360	Intact family with other children present	3
POA3360	Step family with no other children present	7
POA3361	Blended family with no other children present	4
POA3361	Intact family with no other children present	54
POA3361	Step family with no other children present	3
POA3363	Blended family with no other children present	22
POA3363	Intact family with no other children present	278
POA3363	Intact family with other children present	5
POA3363	Step family with no other children present	20
POA3364	Blended family with no other children present	14
POA3364	Intact family with no other children present	200
POA3364	Step family with no other children present	13
POA3370	Blended family with no other children present	9
POA3370	Intact family with no other children present	110
POA3370	Intact family with other children present	4
POA3370	Other couple family with other children only	3
POA3370	Step family with no other children present	17
POA3371	Intact family with no other children present	64
POA3371	Other couple family with other children only	5
POA3371	Step family with no other children present	11
POA3373	Blended family with no other children present	16
POA3373	Intact family with no other children present	175
POA3373	Intact family with other children present	7
POA3373	Step family with no other children present	13
POA3374	Intact family with no other children present	35
POA3374	Step family with no other children present	9
POA3375	Intact family with no other children present	23
POA3377	Blended family with no other children present	55
POA3377	Intact family with no other children present	659
POA3377	Intact family with other children present	9
POA3377	Other couple family with other children only	4
POA3377	Step family with no other children present	59
POA3377	Step family with other children present	3
POA3378	Intact family with no other children present	21
POA3379	Blended family with no other children present	4
POA3379	Intact family with no other children present	56
POA3379	Step family with no other children present	7
POA3380	Blended family with no other children present	25
POA3380	Intact family with no other children present	437
POA3380	Intact family with other children present	3
POA3380	Other couple family with other children only	8
POA3380	Step family with no other children present	42
POA3381	Intact family with no other children present	109
POA3381	Intact family with other children present	3
POA3381	Other couple family with other children only	4
POA3381	Step family with no other children present	7
POA3384	Blended family with no other children present	4
POA3384	Intact family with no other children present	45
POA3384	Step family with no other children present	3
POA3385	Intact family with no other children present	53
POA3385	Step family with no other children present	6
POA3387	Blended family with no other children present	3
POA3387	Intact family with no other children present	30
POA3387	Step family with no other children present	3
POA3388	Intact family with no other children present	45
POA3388	Step family with no other children present	3
POA3390	Blended family with no other children present	5
POA3390	Intact family with no other children present	86
POA3390	Step family with no other children present	4
POA3391	Intact family with no other children present	15
POA3392	Intact family with no other children present	42
POA3393	Blended family with no other children present	10
POA3393	Intact family with no other children present	199
POA3393	Other couple family with other children only	3
POA3393	Step family with no other children present	16
POA3395	Blended family with no other children present	4
POA3395	Intact family with no other children present	27
POA3396	Blended family with no other children present	3
POA3396	Intact family with no other children present	45
POA3396	Step family with no other children present	3
POA3400	Blended family with no other children present	99
POA3400	Intact family with no other children present	1156
POA3400	Intact family with other children present	7
POA3400	Other couple family with other children only	14
POA3400	Step family with no other children present	100
POA3400	Step family with other children present	3
POA3401	Blended family with no other children present	19
POA3401	Intact family with no other children present	538
POA3401	Intact family with other children present	8
POA3401	Other couple family with other children only	3
POA3401	Step family with no other children present	28
POA3407	Blended family with no other children present	4
POA3407	Intact family with no other children present	46
POA3407	Step family with no other children present	3
POA3409	Blended family with no other children present	6
POA3409	Intact family with no other children present	86
POA3409	Step family with no other children present	3
POA3412	Intact family with no other children present	26
POA3413	Intact family with no other children present	25
POA3413	Step family with no other children present	3
POA3414	Blended family with no other children present	7
POA3414	Intact family with no other children present	122
POA3414	Other couple family with other children only	3
POA3414	Step family with no other children present	16
POA3415	Intact family with no other children present	4
POA3418	Blended family with no other children present	8
POA3418	Intact family with no other children present	260
POA3418	Other couple family with other children only	5
POA3418	Step family with no other children present	19
POA3419	Blended family with no other children present	3
POA3419	Intact family with no other children present	67
POA3419	Step family with no other children present	3
POA3420	Blended family with no other children present	3
POA3420	Intact family with no other children present	30
POA3423	Intact family with no other children present	27
POA3423	Other couple family with other children only	3
POA3424	Blended family with no other children present	3
POA3424	Intact family with no other children present	59
POA3424	Step family with no other children present	3
POA3427	Blended family with no other children present	7
POA3427	Intact family with no other children present	299
POA3427	Intact family with other children present	6
POA3427	Step family with no other children present	27
POA3428	Intact family with no other children present	83
POA3428	Intact family with other children present	3
POA3428	Step family with no other children present	7
POA3429	Blended family with no other children present	204
POA3429	Blended family with other children present	3
POA3429	Intact family with no other children present	4249
POA3429	Intact family with other children present	28
POA3429	Other couple family with other children only	18
POA3429	Step family with no other children present	339
POA3429	Step family with other children present	8
POA3430	Intact family with no other children present	31
POA3430	Intact family with other children present	3
POA3430	Step family with no other children present	4
POA3431	Blended family with no other children present	23
POA3431	Intact family with no other children present	542
POA3431	Intact family with other children present	3
POA3431	Step family with no other children present	28
POA3432	Intact family with no other children present	19
POA3433	Intact family with no other children present	24
POA3433	Step family with no other children present	3
POA3434	Blended family with no other children present	31
POA3434	Blended family with other children present	3
POA3434	Intact family with no other children present	612
POA3434	Intact family with other children present	8
POA3434	Other couple family with other children only	5
POA3434	Step family with no other children present	34
POA3435	Blended family with no other children present	15
POA3435	Intact family with no other children present	303
POA3435	Other couple family with other children only	5
POA3435	Step family with no other children present	17
POA3437	Blended family with no other children present	42
POA3437	Intact family with no other children present	1386
POA3437	Intact family with other children present	11
POA3437	Other couple family with other children only	3
POA3437	Step family with no other children present	72
POA3438	Blended family with no other children present	16
POA3438	Intact family with no other children present	328
POA3438	Step family with no other children present	17
POA3440	Blended family with no other children present	9
POA3440	Intact family with no other children present	258
POA3440	Intact family with other children present	3
POA3440	Step family with no other children present	8
POA3441	Blended family with no other children present	4
POA3441	Intact family with no other children present	156
POA3441	Step family with no other children present	18
POA3442	Blended family with no other children present	32
POA3442	Intact family with no other children present	896
POA3442	Intact family with other children present	3
POA3442	Other couple family with other children only	3
POA3442	Step family with no other children present	52
POA3442	Step family with other children present	3
POA3444	Blended family with no other children present	32
POA3444	Intact family with no other children present	844
POA3444	Intact family with other children present	12
POA3444	Other couple family with other children only	5
POA3444	Step family with no other children present	67
POA3444	Step family with other children present	3
POA3446	Blended family with no other children present	5
POA3446	Intact family with no other children present	98
POA3446	Step family with no other children present	4
POA3447	Intact family with no other children present	41
POA3447	Step family with no other children present	4
POA3448	Blended family with no other children present	3
POA3448	Intact family with no other children present	80
POA3448	Step family with no other children present	6
POA3450	Blended family with no other children present	19
POA3450	Intact family with no other children present	510
POA3450	Intact family with other children present	3
POA3450	Step family with no other children present	40
POA3451	Blended family with no other children present	14
POA3451	Intact family with no other children present	456
POA3451	Intact family with other children present	3
POA3451	Other couple family with other children only	3
POA3451	Step family with no other children present	35
POA3453	Blended family with no other children present	6
POA3453	Intact family with no other children present	184
POA3453	Step family with no other children present	15
POA3458	Blended family with no other children present	6
POA3458	Intact family with no other children present	142
POA3458	Step family with no other children present	18
POA3460	Blended family with no other children present	8
POA3460	Intact family with no other children present	168
POA3460	Step family with no other children present	9
POA3461	Blended family with no other children present	14
POA3461	Intact family with no other children present	345
POA3461	Other couple family with other children only	4
POA3461	Step family with no other children present	28
POA3462	Intact family with no other children present	101
POA3462	Step family with no other children present	5
POA3463	Blended family with no other children present	7
POA3463	Intact family with no other children present	167
POA3463	Step family with no other children present	16
POA3464	Blended family with no other children present	11
POA3464	Intact family with no other children present	106
POA3464	Other couple family with other children only	3
POA3464	Step family with no other children present	7
POA3465	Blended family with no other children present	47
POA3465	Intact family with no other children present	656
POA3465	Intact family with other children present	8
POA3465	Other couple family with other children only	9
POA3465	Step family with no other children present	69
POA3465	Step family with other children present	3
POA3467	Blended family with no other children present	10
POA3467	Intact family with no other children present	84
POA3467	Step family with no other children present	6
POA3468	Intact family with no other children present	19
POA3469	Intact family with no other children present	18
POA3472	Blended family with no other children present	6
POA3472	Intact family with no other children present	83
POA3472	Step family with no other children present	9
POA3475	Intact family with no other children present	23
POA3475	Step family with no other children present	7
POA3477	Blended family with no other children present	3
POA3477	Intact family with no other children present	76
POA3477	Step family with no other children present	3
POA3478	Blended family with no other children present	6
POA3478	Intact family with no other children present	185
POA3478	Step family with no other children present	11
POA3480	Blended family with no other children present	12
POA3480	Intact family with no other children present	144
POA3480	Step family with no other children present	11
POA3482	Intact family with no other children present	13
POA3483	Blended family with no other children present	3
POA3483	Intact family with no other children present	83
POA3483	Step family with no other children present	5
POA3485	Intact family with no other children present	30
POA3487	Intact family with no other children present	12
POA3488	Intact family with no other children present	12
POA3489	Intact family with no other children present	4
POA3490	Blended family with no other children present	8
POA3490	Intact family with no other children present	91
POA3490	Step family with no other children present	8
POA3491	Intact family with no other children present	15
POA3494	Blended family with no other children present	9
POA3494	Intact family with no other children present	44
POA3494	Step family with no other children present	3
POA3496	Blended family with no other children present	32
POA3496	Intact family with no other children present	559
POA3496	Intact family with other children present	4
POA3496	Step family with no other children present	65
POA3498	Blended family with no other children present	18
POA3498	Intact family with no other children present	599
POA3498	Intact family with other children present	12
POA3498	Other couple family with other children only	5
POA3498	Step family with no other children present	40
POA3500	Blended family with no other children present	154
POA3500	Blended family with other children present	5
POA3500	Intact family with no other children present	2519
POA3500	Intact family with other children present	39
POA3500	Other couple family with other children only	22
POA3500	Step family with no other children present	248
POA3500	Step family with other children present	10
POA3501	Blended family with no other children present	4
POA3501	Intact family with no other children present	262
POA3501	Step family with no other children present	18
POA3505	Blended family with no other children present	28
POA3505	Intact family with no other children present	471
POA3505	Intact family with other children present	5
POA3505	Other couple family with other children only	4
POA3505	Step family with no other children present	43
POA3506	Intact family with no other children present	3
POA3507	Intact family with no other children present	7
POA3509	Blended family with no other children present	3
POA3509	Intact family with no other children present	21
POA3512	Intact family with no other children present	38
POA3512	Step family with no other children present	3
POA3515	Blended family with no other children present	13
POA3515	Intact family with no other children present	226
POA3515	Intact family with other children present	3
POA3515	Step family with no other children present	18
POA3516	Intact family with no other children present	77
POA3516	Step family with no other children present	5
POA3517	Blended family with no other children present	3
POA3517	Intact family with no other children present	97
POA3517	Step family with no other children present	10
POA3518	Blended family with no other children present	4
POA3518	Intact family with no other children present	88
POA3518	Step family with no other children present	7
POA3520	Intact family with no other children present	8
POA3521	Blended family with no other children present	7
POA3521	Intact family with no other children present	67
POA3521	Intact family with other children present	7
POA3521	Step family with no other children present	6
POA3522	Intact family with no other children present	28
POA3522	Step family with no other children present	3
POA3523	Blended family with no other children present	12
POA3523	Intact family with no other children present	222
POA3523	Intact family with other children present	4
POA3523	Other couple family with other children only	3
POA3523	Step family with no other children present	30
POA3525	Blended family with no other children present	7
POA3525	Intact family with no other children present	90
POA3525	Step family with no other children present	4
POA3527	Intact family with no other children present	52
POA3527	Other couple family with other children only	4
POA3527	Step family with no other children present	6
POA3529	Intact family with no other children present	12
POA3530	Intact family with no other children present	10
POA3531	Intact family with no other children present	20
POA3533	Intact family with no other children present	60
POA3533	Step family with no other children present	7
POA3537	Blended family with no other children present	5
POA3537	Intact family with no other children present	82
POA3537	Step family with no other children present	4
POA3540	Intact family with no other children present	20
POA3542	Intact family with no other children present	15
POA3544	Intact family with no other children present	23
POA3546	Blended family with no other children present	9
POA3546	Intact family with no other children present	31
POA3549	Blended family with no other children present	11
POA3549	Intact family with no other children present	295
POA3549	Intact family with other children present	5
POA3549	Other couple family with other children only	4
POA3549	Step family with no other children present	14
POA3550	Blended family with no other children present	143
POA3550	Blended family with other children present	5
POA3550	Intact family with no other children present	3059
POA3550	Intact family with other children present	15
POA3550	Other couple family with other children only	22
POA3550	Step family with no other children present	257
POA3550	Step family with other children present	4
POA3551	Blended family with no other children present	176
POA3551	Intact family with no other children present	3692
POA3551	Intact family with other children present	25
POA3551	Other couple family with other children only	17
POA3551	Step family with no other children present	270
POA3551	Step family with other children present	4
POA3555	Blended family with no other children present	107
POA3555	Intact family with no other children present	1547
POA3555	Intact family with other children present	9
POA3555	Other couple family with other children only	8
POA3555	Step family with no other children present	151
POA3555	Step family with other children present	4
POA3556	Blended family with no other children present	89
POA3556	Intact family with no other children present	962
POA3556	Intact family with other children present	16
POA3556	Other couple family with other children only	18
POA3556	Step family with no other children present	97
POA3556	Step family with other children present	3
POA3557	Blended family with no other children present	7
POA3557	Intact family with no other children present	86
POA3557	Step family with no other children present	13
POA3558	Blended family with no other children present	5
POA3558	Intact family with no other children present	72
POA3558	Step family with no other children present	7
POA3559	Blended family with no other children present	4
POA3559	Intact family with no other children present	58
POA3559	Step family with no other children present	3
POA3561	Blended family with no other children present	26
POA3561	Intact family with no other children present	389
POA3561	Intact family with other children present	3
POA3561	Other couple family with other children only	3
POA3561	Step family with no other children present	22
POA3562	Blended family with no other children present	3
POA3562	Intact family with no other children present	30
POA3563	Blended family with no other children present	7
POA3563	Intact family with no other children present	69
POA3563	Step family with no other children present	6
POA3564	Blended family with no other children present	69
POA3564	Intact family with no other children present	1398
POA3564	Intact family with other children present	12
POA3564	Other couple family with other children only	9
POA3564	Step family with no other children present	132
POA3565	Intact family with no other children present	8
POA3566	Blended family with no other children present	3
POA3566	Intact family with no other children present	50
POA3566	Step family with no other children present	5
POA3567	Intact family with no other children present	62
POA3568	Blended family with no other children present	15
POA3568	Intact family with no other children present	240
POA3568	Other couple family with other children only	3
POA3568	Step family with no other children present	17
POA3570	Blended family with no other children present	3
POA3570	Intact family with no other children present	70
POA3570	Step family with no other children present	12
POA3571	Intact family with no other children present	30
POA3572	Blended family with no other children present	3
POA3572	Intact family with no other children present	18
POA3573	Blended family with no other children present	3
POA3573	Intact family with no other children present	26
POA3575	Blended family with no other children present	3
POA3575	Intact family with no other children present	61
POA3575	Step family with no other children present	4
POA3576	Intact family with no other children present	7
POA3579	Blended family with no other children present	29
POA3579	Intact family with no other children present	453
POA3579	Intact family with other children present	4
POA3579	Other couple family with other children only	7
POA3579	Step family with no other children present	27
POA3580	Intact family with no other children present	73
POA3580	Other couple family with other children only	3
POA3580	Step family with no other children present	5
POA3581	Intact family with no other children present	24
POA3581	Step family with no other children present	3
POA3583	Intact family with no other children present	25
POA3584	Blended family with no other children present	3
POA3584	Intact family with no other children present	114
POA3584	Intact family with other children present	3
POA3584	Step family with no other children present	11
POA3585	Blended family with no other children present	44
POA3585	Intact family with no other children present	937
POA3585	Intact family with other children present	16
POA3585	Other couple family with other children only	3
POA3585	Step family with no other children present	77
POA3586	Blended family with no other children present	4
POA3586	Intact family with no other children present	99
POA3586	Step family with no other children present	3
POA3588	Intact family with no other children present	35
POA3589	Intact family with no other children present	40
POA3589	Intact family with other children present	3
POA3590	Intact family with no other children present	38
POA3591	Intact family with no other children present	17
POA3591	Step family with no other children present	3
POA3594	Intact family with no other children present	38
POA3594	Intact family with other children present	3
POA3594	Step family with no other children present	9
POA3595	Blended family with no other children present	4
POA3595	Intact family with no other children present	42
POA3595	Step family with no other children present	6
POA3596	Intact family with no other children present	11
POA3597	Intact family with no other children present	46
POA3599	Intact family with no other children present	12
POA3607	Intact family with no other children present	15
POA3608	Blended family with no other children present	7
POA3608	Intact family with no other children present	183
POA3608	Step family with no other children present	19
POA3610	Blended family with no other children present	12
POA3610	Intact family with no other children present	119
POA3610	Step family with no other children present	12
POA3610	Step family with other children present	3
POA3612	Blended family with no other children present	8
POA3612	Intact family with no other children present	99
POA3612	Other couple family with other children only	3
POA3612	Step family with no other children present	9
POA3614	Blended family with no other children present	7
POA3614	Intact family with no other children present	112
POA3614	Step family with no other children present	4
POA3616	Blended family with no other children present	23
POA3616	Intact family with no other children present	515
POA3616	Intact family with other children present	7
POA3616	Step family with no other children present	38
POA3617	Intact family with no other children present	16
POA3618	Blended family with no other children present	6
POA3618	Intact family with no other children present	69
POA3620	Blended family with no other children present	36
POA3620	Intact family with no other children present	770
POA3620	Intact family with other children present	8
POA3620	Other couple family with other children only	4
POA3620	Step family with no other children present	61
POA3621	Blended family with no other children present	21
POA3621	Intact family with no other children present	227
POA3621	Step family with no other children present	12
POA3622	Intact family with no other children present	41
POA3622	Step family with no other children present	3
POA3623	Blended family with no other children present	3
POA3623	Intact family with no other children present	60
POA3623	Intact family with other children present	3
POA3623	Step family with no other children present	4
POA3624	Blended family with no other children present	4
POA3624	Intact family with no other children present	50
POA3624	Step family with no other children present	6
POA3629	Blended family with no other children present	41
POA3629	Intact family with no other children present	711
POA3629	Intact family with other children present	6
POA3629	Other couple family with other children only	9
POA3629	Step family with no other children present	61
POA3629	Step family with other children present	3
POA3630	Blended family with no other children present	133
POA3630	Blended family with other children present	3
POA3630	Intact family with no other children present	2648
POA3630	Intact family with other children present	40
POA3630	Other couple family with other children only	22
POA3630	Step family with no other children present	211
