POA_CODE_2016	FamilyComposition	families_with_children
POA2099	Blended family with no other children present	115
POA2099	Intact family with no other children present	4662
POA2099	Intact family with other children present	37
POA2099	Other couple family with other children only	15
POA2099	Step family with no other children present	271
POA2099	Step family with other children present	3
POA2100	Blended family with no other children present	70
POA2100	Intact family with no other children present	2882
POA2100	Intact family with other children present	19
POA2100	Other couple family with other children only	15
POA2100	Step family with no other children present	143
POA2101	Blended family with no other children present	59
POA2101	Intact family with no other children present	2224
POA2101	Intact family with other children present	12
POA2101	Other couple family with other children only	3
POA2101	Step family with no other children present	141
POA2101	Step family with other children present	4
POA2102	Blended family with no other children present	26
POA2102	Intact family with no other children present	999
POA2102	Intact family with other children present	8
POA2102	Other couple family with other children only	3
POA2102	Step family with no other children present	65
POA2103	Blended family with no other children present	39
POA2103	Intact family with no other children present	1256
POA2103	Intact family with other children present	14
POA2103	Step family with no other children present	90
POA2104	Blended family with no other children present	8
POA2104	Intact family with no other children present	377
POA2104	Intact family with other children present	7
POA2104	Step family with no other children present	21
POA2105	Blended family with no other children present	7
POA2105	Intact family with no other children present	206
POA2105	Step family with no other children present	18
POA2106	Blended family with no other children present	46
POA2106	Intact family with no other children present	1132
POA2106	Intact family with other children present	9
POA2106	Other couple family with other children only	6
POA2106	Step family with no other children present	84
POA2107	Blended family with no other children present	58
POA2107	Intact family with no other children present	1897
POA2107	Intact family with other children present	20
POA2107	Other couple family with other children only	5
POA2107	Step family with no other children present	124
POA2108	Blended family with no other children present	4
POA2108	Intact family with no other children present	137
POA2108	Step family with no other children present	7
POA2109	Intact family with no other children present	120
POA2109	Step family with no other children present	3
POA2110	Blended family with no other children present	23
POA2110	Intact family with no other children present	1271
POA2110	Intact family with other children present	5
POA2110	Step family with no other children present	49
POA2111	Blended family with no other children present	21
POA2111	Intact family with no other children present	1776
POA2111	Intact family with other children present	8
POA2111	Other couple family with other children only	3
POA2111	Step family with no other children present	67
POA2112	Blended family with no other children present	75
POA2112	Intact family with no other children present	4174
POA2112	Intact family with other children present	46
POA2112	Other couple family with other children only	11
POA2112	Step family with no other children present	161
POA2112	Step family with other children present	3
POA2113	Blended family with no other children present	46
POA2113	Intact family with no other children present	2333
POA2113	Intact family with other children present	17
POA2113	Other couple family with other children only	4
POA2113	Step family with no other children present	94
POA2113	Step family with other children present	4
POA2114	Blended family with no other children present	42
POA2114	Intact family with no other children present	2952
POA2114	Intact family with other children present	27
POA2114	Other couple family with other children only	7
POA2114	Step family with no other children present	102
POA2115	Blended family with no other children present	33
POA2115	Intact family with no other children present	1453
POA2115	Intact family with other children present	22
POA2115	Other couple family with other children only	9
POA2115	Step family with no other children present	59
POA2116	Blended family with no other children present	14
POA2116	Intact family with no other children present	842
POA2116	Intact family with other children present	13
POA2116	Step family with no other children present	43
POA2117	Blended family with no other children present	44
POA2117	Intact family with no other children present	2770
POA2117	Intact family with other children present	32
POA2117	Other couple family with other children only	3
POA2117	Step family with no other children present	129
POA2117	Step family with other children present	3
POA2118	Blended family with no other children present	62
POA2118	Intact family with no other children present	3698
POA2118	Intact family with other children present	48
POA2118	Other couple family with other children only	7
POA2118	Step family with no other children present	131
POA2118	Step family with other children present	4
POA2119	Blended family with no other children present	21
POA2119	Intact family with no other children present	1775
POA2119	Intact family with other children present	29
POA2119	Step family with no other children present	82
POA2120	Blended family with no other children present	67
POA2120	Intact family with no other children present	2993
POA2120	Intact family with other children present	24
POA2120	Other couple family with other children only	3
POA2120	Step family with no other children present	112
POA2120	Step family with other children present	4
