POA_CODE_2016	IndigenousStatus	persons
POA2040	Torres Strait Islander	20
POA2041	Aboriginal	108
POA2041	Non-indigenous	15576
POA2041	Torres Strait Islander	6
POA2042	Aboriginal	209
POA2042	Both Aboriginal & Torres Strait Islander	8
POA2042	Non-indigenous	18904
POA2042	Torres Strait Islander	8
POA2043	Aboriginal	82
POA2043	Non-indigenous	7932
POA2044	Aboriginal	129
POA2044	Both Aboriginal & Torres Strait Islander	5
POA2044	Non-indigenous	7712
POA2045	Aboriginal	37
POA2045	Non-indigenous	6420
POA2046	Aboriginal	152
POA2046	Non-indigenous	26662
POA2046	Torres Strait Islander	8
POA2047	Aboriginal	36
POA2047	Non-indigenous	11911
POA2047	Torres Strait Islander	3
POA2048	Aboriginal	65
POA2048	Non-indigenous	7870
POA2048	Torres Strait Islander	3
POA2049	Aboriginal	183
POA2049	Both Aboriginal & Torres Strait Islander	7
POA2049	Non-indigenous	11089
POA2049	Torres Strait Islander	3
POA2050	Aboriginal	65
POA2050	Both Aboriginal & Torres Strait Islander	3
POA2050	Non-indigenous	8892
POA2050	Torres Strait Islander	3
POA2052	Aboriginal	53
POA2052	Both Aboriginal & Torres Strait Islander	3
POA2052	Non-indigenous	3366
POA2052	Torres Strait Islander	3
POA2060	Aboriginal	43
POA2060	Non-indigenous	13942
POA2060	Torres Strait Islander	3
POA2061	Aboriginal	18
POA2061	Both Aboriginal & Torres Strait Islander	3
POA2061	Non-indigenous	5919
POA2061	Torres Strait Islander	3
POA2062	Aboriginal	21
POA2062	Non-indigenous	6976
POA2062	Torres Strait Islander	9
POA2063	Aboriginal	9
POA2063	Non-indigenous	6338
POA2064	Aboriginal	19
POA2064	Non-indigenous	9504
POA2065	Aboriginal	67
POA2065	Both Aboriginal & Torres Strait Islander	3
POA2065	Non-indigenous	30045
POA2065	Torres Strait Islander	4
POA2066	Aboriginal	108
POA2066	Both Aboriginal & Torres Strait Islander	3
POA2066	Non-indigenous	31515
POA2067	Aboriginal	40
POA2067	Non-indigenous	26363
POA2068	Aboriginal	30
POA2068	Non-indigenous	16783
POA2069	Aboriginal	18
POA2069	Non-indigenous	14235
POA2070	Aboriginal	20
POA2070	Non-indigenous	13485
POA2071	Aboriginal	12
POA2071	Non-indigenous	13533
POA2072	Aboriginal	17
POA2072	Non-indigenous	7651
POA2073	Aboriginal	19
POA2073	Non-indigenous	16330
POA2073	Torres Strait Islander	3
POA2074	Aboriginal	35
POA2074	Non-indigenous	22218
POA2074	Torres Strait Islander	5
POA2075	Aboriginal	29
POA2075	Both Aboriginal & Torres Strait Islander	5
POA2075	Non-indigenous	20417
POA2076	Aboriginal	96
POA2076	Both Aboriginal & Torres Strait Islander	3
POA2076	Non-indigenous	24544
POA2076	Torres Strait Islander	5
POA2077	Aboriginal	159
POA2077	Both Aboriginal & Torres Strait Islander	3
POA2077	Non-indigenous	37624
POA2077	Torres Strait Islander	5
POA2079	Aboriginal	58
POA2079	Non-indigenous	7037
POA2080	Aboriginal	33
POA2080	Non-indigenous	1675
POA2081	Aboriginal	42
POA2081	Non-indigenous	5327
POA2082	Aboriginal	44
POA2082	Non-indigenous	5353
POA2083	Aboriginal	16
POA2083	Non-indigenous	1503
POA2084	Aboriginal	27
POA2084	Non-indigenous	3598
POA2085	Aboriginal	32
POA2085	Non-indigenous	11592
POA2086	Aboriginal	54
POA2086	Both Aboriginal & Torres Strait Islander	3
POA2086	Non-indigenous	13348
POA2086	Torres Strait Islander	9
POA2087	Aboriginal	41
POA2087	Non-indigenous	12749
POA2087	Torres Strait Islander	8
POA2088	Aboriginal	57
POA2088	Non-indigenous	28418
POA2089	Aboriginal	28
POA2089	Non-indigenous	11890
POA2090	Aboriginal	22
POA2090	Non-indigenous	13702
POA2092	Aboriginal	28
POA2092	Non-indigenous	7111
POA2093	Aboriginal	76
POA2093	Both Aboriginal & Torres Strait Islander	3
POA2093	Non-indigenous	22791
POA2093	Torres Strait Islander	3
POA2094	Aboriginal	17
POA2094	Non-indigenous	5820
POA2094	Torres Strait Islander	3
POA2095	Aboriginal	64
POA2095	Both Aboriginal & Torres Strait Islander	3
POA2095	Non-indigenous	15799
POA2096	Aboriginal	74
POA2096	Non-indigenous	14577
POA2096	Torres Strait Islander	6
POA2097	Aboriginal	76
POA2097	Both Aboriginal & Torres Strait Islander	8
POA2097	Non-indigenous	15445
POA2099	Aboriginal	293
POA2099	Non-indigenous	39623
POA2099	Torres Strait Islander	9
POA2100	Aboriginal	114
POA2100	Non-indigenous	20790
POA2100	Torres Strait Islander	7
POA2101	Aboriginal	166
POA2101	Both Aboriginal & Torres Strait Islander	3
POA2101	Non-indigenous	19226
POA2102	Aboriginal	54
POA2102	Non-indigenous	7439
POA2102	Torres Strait Islander	8
POA2103	Aboriginal	69
POA2103	Both Aboriginal & Torres Strait Islander	3
POA2103	Non-indigenous	10595
POA2103	Torres Strait Islander	3
POA2104	Aboriginal	4
POA2104	Non-indigenous	3616
POA2105	Aboriginal	5
POA2105	Non-indigenous	1843
POA2106	Aboriginal	41
POA2106	Both Aboriginal & Torres Strait Islander	5
POA2106	Non-indigenous	9255
POA2107	Aboriginal	82
POA2107	Non-indigenous	14584
POA2107	Torres Strait Islander	3
POA2108	Aboriginal	10
POA2108	Non-indigenous	1663
POA2109	Aboriginal	22
POA2109	Non-indigenous	3064
POA2110	Aboriginal	68
POA2110	Both Aboriginal & Torres Strait Islander	3
POA2110	Non-indigenous	10272
POA2111	Aboriginal	57
POA2111	Both Aboriginal & Torres Strait Islander	3
POA2111	Non-indigenous	14341
POA2111	Torres Strait Islander	11
POA2112	Aboriginal	107
POA2112	Non-indigenous	32738
POA2112	Torres Strait Islander	7
POA2113	Aboriginal	57
POA2113	Non-indigenous	18311
POA2113	Torres Strait Islander	3
POA2114	Aboriginal	85
POA2114	Non-indigenous	23972
POA2115	Aboriginal	126
POA2115	Non-indigenous	10607
POA2115	Torres Strait Islander	4
POA2116	Aboriginal	57
POA2116	Both Aboriginal & Torres Strait Islander	4
POA2116	Non-indigenous	6577
POA2116	Torres Strait Islander	4
POA2117	Aboriginal	150
POA2117	Both Aboriginal & Torres Strait Islander	10
POA2117	Non-indigenous	21122
POA2117	Torres Strait Islander	3
POA2118	Aboriginal	63
POA2118	Non-indigenous	24278
POA2119	Aboriginal	22
POA2119	Non-indigenous	11621
POA2120	Aboriginal	82
POA2120	Non-indigenous	20118
POA2120	Torres Strait Islander	8
POA2121	Aboriginal	48
POA2121	Non-indigenous	28162
POA2121	Torres Strait Islander	4
POA2122	Aboriginal	72
POA2122	Both Aboriginal & Torres Strait Islander	5
POA2122	Non-indigenous	31079
POA2122	Torres Strait Islander	4
POA2125	Aboriginal	42
POA2125	Non-indigenous	16332
POA2126	Aboriginal	42
POA2126	Both Aboriginal & Torres Strait Islander	3
POA2126	Non-indigenous	18720
POA2127	Aboriginal	52
POA2127	Non-indigenous	14476
POA2127	Torres Strait Islander	4
POA2128	Aboriginal	346
POA2128	Both Aboriginal & Torres Strait Islander	8
POA2128	Non-indigenous	3802
POA2128	Torres Strait Islander	10
POA2130	Aboriginal	68
POA2130	Non-indigenous	7240
POA2130	Torres Strait Islander	3
POA2131	Aboriginal	130
POA2131	Both Aboriginal & Torres Strait Islander	9
POA2131	Non-indigenous	23686
POA2131	Torres Strait Islander	16
POA2132	Aboriginal	56
POA2132	Non-indigenous	10552
POA2132	Torres Strait Islander	4
POA2133	Aboriginal	77
POA2133	Non-indigenous	10935
POA2134	Aboriginal	31
POA2134	Non-indigenous	16002
POA2135	Aboriginal	58
POA2135	Non-indigenous	25188
POA2135	Torres Strait Islander	5
POA2136	Aboriginal	34
POA2136	Non-indigenous	7330
POA2137	Aboriginal	136
POA2137	Both Aboriginal & Torres Strait Islander	4
POA2137	Non-indigenous	26363
POA2137	Torres Strait Islander	4
POA2138	Aboriginal	56
POA2138	Non-indigenous	19962
POA2138	Torres Strait Islander	5
POA2139	Aboriginal	3
POA2139	Non-indigenous	54
POA2140	Aboriginal	33
POA2140	Non-indigenous	16131
POA2140	Torres Strait Islander	3
POA2141	Aboriginal	80
POA2141	Non-indigenous	28589
POA2141	Torres Strait Islander	6
POA2142	Aboriginal	141
POA2142	Both Aboriginal & Torres Strait Islander	4
POA2142	Non-indigenous	26144
POA2142	Torres Strait Islander	3
POA2143	Aboriginal	56
POA2143	Non-indigenous	8862
POA2143	Torres Strait Islander	3
POA2144	Aboriginal	61
POA2144	Non-indigenous	37297
POA2144	Torres Strait Islander	8
POA2145	Aboriginal	641
POA2145	Both Aboriginal & Torres Strait Islander	8
POA2145	Non-indigenous	78534
POA2145	Torres Strait Islander	28
POA2146	Aboriginal	244
POA2146	Both Aboriginal & Torres Strait Islander	3
POA2146	Non-indigenous	17207
POA2146	Torres Strait Islander	11
POA2147	Aboriginal	682
POA2147	Both Aboriginal & Torres Strait Islander	30
POA2147	Non-indigenous	35598
POA2147	Torres Strait Islander	31
POA2148	Aboriginal	1005
POA2148	Both Aboriginal & Torres Strait Islander	28
POA2148	Non-indigenous	61992
POA2148	Torres Strait Islander	46
POA2150	Aboriginal	130
POA2150	Both Aboriginal & Torres Strait Islander	4
POA2150	Non-indigenous	31362
POA2150	Torres Strait Islander	4
POA2151	Aboriginal	135
POA2151	Non-indigenous	21168
POA2151	Torres Strait Islander	3
POA2152	Aboriginal	74
POA2152	Non-indigenous	11137
POA2152	Torres Strait Islander	4
POA2153	Aboriginal	285
POA2153	Both Aboriginal & Torres Strait Islander	3
POA2153	Non-indigenous	56274
POA2154	Aboriginal	121
POA2154	Both Aboriginal & Torres Strait Islander	8
POA2154	Non-indigenous	39459
POA2154	Torres Strait Islander	6
POA2155	Aboriginal	341
POA2155	Both Aboriginal & Torres Strait Islander	11
POA2155	Non-indigenous	55096
POA2155	Torres Strait Islander	4
POA2156	Aboriginal	55
POA2156	Non-indigenous	12887
POA2157	Aboriginal	17
POA2157	Non-indigenous	3721
POA2157	Torres Strait Islander	3
POA2158	Aboriginal	44
POA2158	Non-indigenous	8524
POA2158	Torres Strait Islander	7
POA2159	Aboriginal	36
POA2159	Non-indigenous	4939
POA2160	Aboriginal	294
POA2160	Both Aboriginal & Torres Strait Islander	12
POA2160	Non-indigenous	35664
POA2160	Torres Strait Islander	3
POA2161	Aboriginal	258
POA2161	Both Aboriginal & Torres Strait Islander	4
POA2161	Non-indigenous	31148
POA2161	Torres Strait Islander	8
POA2162	Aboriginal	132
POA2162	Both Aboriginal & Torres Strait Islander	8
POA2162	Non-indigenous	18473
POA2162	Torres Strait Islander	9
POA2163	Aboriginal	108
POA2163	Both Aboriginal & Torres Strait Islander	3
POA2163	Non-indigenous	9475
POA2163	Torres Strait Islander	4
POA2164	Aboriginal	222
POA2164	Non-indigenous	19398
POA2164	Torres Strait Islander	4
POA2165	Aboriginal	224
POA2165	Both Aboriginal & Torres Strait Islander	3
POA2165	Non-indigenous	42200
POA2165	Torres Strait Islander	17
POA2166	Aboriginal	260
POA2166	Non-indigenous	52484
POA2166	Torres Strait Islander	18
POA2167	Aboriginal	126
POA2167	Both Aboriginal & Torres Strait Islander	4
POA2167	Non-indigenous	9500
POA2167	Torres Strait Islander	3
POA2168	Aboriginal	1066
POA2168	Both Aboriginal & Torres Strait Islander	9
POA2168	Non-indigenous	42355
POA2168	Torres Strait Islander	21
POA2170	Aboriginal	1314
POA2170	Both Aboriginal & Torres Strait Islander	13
POA2170	Non-indigenous	104085
POA2170	Torres Strait Islander	39
POA2171	Aboriginal	254
POA2171	Both Aboriginal & Torres Strait Islander	12
POA2171	Non-indigenous	34600
POA2172	Aboriginal	32
POA2172	Non-indigenous	2749
POA2173	Aboriginal	252
POA2173	Non-indigenous	14168
POA2173	Torres Strait Islander	13
POA2174	Aboriginal	6
POA2174	Non-indigenous	2261
POA2175	Aboriginal	21
POA2175	Non-indigenous	1816
POA2176	Aboriginal	291
POA2176	Non-indigenous	47491
POA2176	Torres Strait Islander	27
POA2177	Aboriginal	140
POA2177	Non-indigenous	15836
POA2177	Torres Strait Islander	3
POA2178	Aboriginal	55
POA2178	Non-indigenous	4175
POA2179	Aboriginal	100
POA2179	Non-indigenous	6427
POA2179	Torres Strait Islander	3
POA2190	Aboriginal	128
POA2190	Non-indigenous	25438
POA2191	Aboriginal	35
POA2191	Non-indigenous	6283
POA2191	Torres Strait Islander	4
POA2192	Aboriginal	89
POA2192	Both Aboriginal & Torres Strait Islander	7
POA2192	Non-indigenous	12614
POA2192	Torres Strait Islander	8
POA2193	Aboriginal	169
POA2193	Non-indigenous	15084
POA2193	Torres Strait Islander	3
POA2194	Aboriginal	105
POA2194	Non-indigenous	24436
POA2195	Aboriginal	66
POA2195	Non-indigenous	27085
POA2195	Torres Strait Islander	3
POA2196	Aboriginal	158
POA2196	Both Aboriginal & Torres Strait Islander	9
POA2196	Non-indigenous	31641
POA2196	Torres Strait Islander	7
POA2197	Aboriginal	61
POA2197	Non-indigenous	8997
POA2197	Torres Strait Islander	11
POA2198	Aboriginal	51
POA2198	Non-indigenous	8987
POA2199	Aboriginal	127
POA2199	Both Aboriginal & Torres Strait Islander	9
POA2199	Non-indigenous	17865
POA2199	Torres Strait Islander	12
POA2200	Aboriginal	166
POA2200	Both Aboriginal & Torres Strait Islander	4
POA2200	Non-indigenous	43506
POA2200	Torres Strait Islander	11
POA2203	Aboriginal	185
POA2203	Both Aboriginal & Torres Strait Islander	10
POA2203	Non-indigenous	13507
POA2203	Torres Strait Islander	5
POA2204	Aboriginal	413
POA2204	Both Aboriginal & Torres Strait Islander	6
POA2204	Non-indigenous	26080
POA2204	Torres Strait Islander	3
POA2205	Aboriginal	118
POA2205	Non-indigenous	19323
POA2205	Torres Strait Islander	6
POA2206	Aboriginal	155
POA2206	Non-indigenous	19239
POA2206	Torres Strait Islander	10
POA2207	Aboriginal	146
POA2207	Both Aboriginal & Torres Strait Islander	3
POA2207	Non-indigenous	28372
POA2207	Torres Strait Islander	13
POA2208	Aboriginal	85
POA2208	Non-indigenous	12350
POA2208	Torres Strait Islander	11
POA2209	Aboriginal	101
POA2209	Both Aboriginal & Torres Strait Islander	3
POA2209	Non-indigenous	15650
POA2209	Torres Strait Islander	15
POA2210	Aboriginal	231
POA2210	Non-indigenous	30352
POA2210	Torres Strait Islander	3
POA2211	Aboriginal	158
POA2211	Non-indigenous	16685
POA2211	Torres Strait Islander	3
POA2212	Aboriginal	158
POA2212	Non-indigenous	15686
POA2212	Torres Strait Islander	3
POA2213	Aboriginal	309
POA2213	Both Aboriginal & Torres Strait Islander	11
POA2213	Non-indigenous	21458
POA2213	Torres Strait Islander	6
POA2214	Aboriginal	94
POA2214	Non-indigenous	3858
POA2216	Aboriginal	180
POA2216	Both Aboriginal & Torres Strait Islander	4
POA2216	Non-indigenous	27880
POA2216	Torres Strait Islander	3
POA2217	Aboriginal	165
POA2217	Non-indigenous	26668
POA2217	Torres Strait Islander	10
POA2218	Aboriginal	80
POA2218	Both Aboriginal & Torres Strait Islander	3
POA2218	Non-indigenous	16340
POA2218	Torres Strait Islander	8
POA2219	Aboriginal	104
POA2219	Both Aboriginal & Torres Strait Islander	9
POA2219	Non-indigenous	13081
POA2219	Torres Strait Islander	6
POA2220	Aboriginal	89
POA2220	Non-indigenous	32391
POA2220	Torres Strait Islander	7
POA2221	Aboriginal	66
POA2221	Non-indigenous	16406
POA2221	Torres Strait Islander	9
POA2222	Aboriginal	51
POA2222	Non-indigenous	12735
POA2223	Aboriginal	150
POA2223	Non-indigenous	20760
POA2224	Aboriginal	124
POA2224	Non-indigenous	14086
POA2224	Torres Strait Islander	3
POA2225	Aboriginal	43
POA2225	Non-indigenous	5361
POA2225	Torres Strait Islander	3
POA2226	Aboriginal	128
POA2226	Both Aboriginal & Torres Strait Islander	4
POA2226	Non-indigenous	12372
POA2227	Aboriginal	131
POA2227	Both Aboriginal & Torres Strait Islander	3
POA2227	Non-indigenous	14477
POA2227	Torres Strait Islander	15
POA2228	Aboriginal	190
POA2228	Non-indigenous	18166
POA2228	Torres Strait Islander	5
POA2229	Aboriginal	288
POA2229	Both Aboriginal & Torres Strait Islander	14
POA2229	Non-indigenous	28403
POA2229	Torres Strait Islander	13
POA2230	Aboriginal	285
POA2230	Both Aboriginal & Torres Strait Islander	4
POA2230	Non-indigenous	28541
POA2230	Torres Strait Islander	13
POA2231	Aboriginal	62
POA2231	Non-indigenous	2205
POA2232	Aboriginal	356
POA2232	Both Aboriginal & Torres Strait Islander	11
POA2232	Non-indigenous	32493
POA2232	Torres Strait Islander	10
POA2233	Aboriginal	383
POA2233	Both Aboriginal & Torres Strait Islander	9
POA2233	Non-indigenous	29103
POA2233	Torres Strait Islander	3
POA2234	Aboriginal	299
POA2234	Both Aboriginal & Torres Strait Islander	3
POA2234	Non-indigenous	30271
POA2234	Torres Strait Islander	7
POA2250	Aboriginal	1786
POA2250	Both Aboriginal & Torres Strait Islander	28
POA2250	Non-indigenous	65325
POA2250	Torres Strait Islander	55
POA2251	Aboriginal	697
POA2251	Both Aboriginal & Torres Strait Islander	14
POA2251	Non-indigenous	31954
POA2251	Torres Strait Islander	37
POA2256	Aboriginal	665
POA2256	Both Aboriginal & Torres Strait Islander	10
POA2256	Non-indigenous	14920
POA2256	Torres Strait Islander	3
POA2257	Aboriginal	1010
POA2257	Both Aboriginal & Torres Strait Islander	10
POA2257	Non-indigenous	27966
POA2257	Torres Strait Islander	24
POA2258	Aboriginal	134
POA2258	Non-indigenous	5030
POA2259	Aboriginal	2704
POA2259	Both Aboriginal & Torres Strait Islander	50
POA2259	Non-indigenous	56705
POA2259	Torres Strait Islander	54
POA2260	Aboriginal	397
POA2260	Both Aboriginal & Torres Strait Islander	6
POA2260	Non-indigenous	23004
POA2260	Torres Strait Islander	10
POA2261	Aboriginal	2077
POA2261	Both Aboriginal & Torres Strait Islander	36
POA2261	Non-indigenous	50601
POA2261	Torres Strait Islander	40
POA2262	Aboriginal	1354
POA2262	Both Aboriginal & Torres Strait Islander	27
POA2262	Non-indigenous	19409
POA2262	Torres Strait Islander	40
POA2263	Aboriginal	1282
POA2263	Both Aboriginal & Torres Strait Islander	32
POA2263	Non-indigenous	22915
POA2263	Torres Strait Islander	38
POA2264	Aboriginal	556
POA2264	Both Aboriginal & Torres Strait Islander	9
POA2264	Non-indigenous	13640
POA2264	Torres Strait Islander	28
POA2265	Aboriginal	170
POA2265	Both Aboriginal & Torres Strait Islander	3
POA2265	Non-indigenous	5622
POA2265	Torres Strait Islander	10
POA2267	Aboriginal	108
POA2267	Both Aboriginal & Torres Strait Islander	3
POA2267	Non-indigenous	2645
POA2267	Torres Strait Islander	3
POA2278	Aboriginal	133
POA2278	Both Aboriginal & Torres Strait Islander	7
POA2278	Non-indigenous	2425
POA2278	Torres Strait Islander	5
POA2280	Aboriginal	811
POA2280	Both Aboriginal & Torres Strait Islander	11
POA2280	Non-indigenous	25849
POA2280	Torres Strait Islander	7
POA2281	Aboriginal	534
POA2281	Both Aboriginal & Torres Strait Islander	7
POA2281	Non-indigenous	13724
POA2281	Torres Strait Islander	9
POA2282	Aboriginal	275
POA2282	Both Aboriginal & Torres Strait Islander	8
POA2282	Non-indigenous	14491
POA2282	Torres Strait Islander	3
POA2283	Aboriginal	1161
POA2283	Both Aboriginal & Torres Strait Islander	37
POA2283	Non-indigenous	22070
POA2283	Torres Strait Islander	32
POA2284	Aboriginal	479
