SA3_NAME16	CountryOfBirth	persons
Bathurst	POL	23
Bathurst	SGP	22
Bathurst	THA	51
Bathurst	TWN	3
Bathurst	USA	77
Bathurst	VNM	66
Bathurst	ZAF	114
Bathurst	ZWE	30
Lachlan Valley		6050
Lachlan Valley	AFG	3
Lachlan Valley	AUS	46724
Lachlan Valley	BGD	5
Lachlan Valley	BIH	3
Lachlan Valley	CAN	35
Lachlan Valley	CHL	7
Lachlan Valley	CHN	103
Lachlan Valley	DEU	100
Lachlan Valley	EGY	13
Lachlan Valley	FJI	35
Lachlan Valley	FRA	11
Lachlan Valley	GBR	803
Lachlan Valley	GRC	19
Lachlan Valley	HKG	23
Lachlan Valley	HRV	22
Lachlan Valley	IDN	30
Lachlan Valley	IND	122
Lachlan Valley	IRL	50
Lachlan Valley	IRN	12
Lachlan Valley	IRQ	19
Lachlan Valley	ITA	51
Lachlan Valley	JPN	9
Lachlan Valley	KHM	5
Lachlan Valley	KOR	15
Lachlan Valley	LBN	15
Lachlan Valley	LKA	26
Lachlan Valley	MLT	27
Lachlan Valley	MMR	7
Lachlan Valley	MUS	4
Lachlan Valley	MYS	22
Lachlan Valley	NLD	100
Lachlan Valley	NPL	7
Lachlan Valley	NZL	318
Lachlan Valley	PAK	15
Lachlan Valley	PHL	213
Lachlan Valley	PNG	41
Lachlan Valley	POL	11
Lachlan Valley	SGP	5
Lachlan Valley	THA	30
Lachlan Valley	TUR	3
Lachlan Valley	TWN	11
Lachlan Valley	USA	56
Lachlan Valley	VNM	21
Lachlan Valley	ZAF	120
Lachlan Valley	ZWE	24
Lithgow - Mudgee		5761
Lithgow - Mudgee	AFG	4
Lithgow - Mudgee	AUS	37385
Lithgow - Mudgee	BGD	13
Lithgow - Mudgee	BIH	10
Lithgow - Mudgee	CAN	41
Lithgow - Mudgee	CHL	15
Lithgow - Mudgee	CHN	85
Lithgow - Mudgee	DEU	156
Lithgow - Mudgee	EGY	16
Lithgow - Mudgee	FJI	37
Lithgow - Mudgee	FRA	23
Lithgow - Mudgee	GBR	1350
Lithgow - Mudgee	GRC	38
Lithgow - Mudgee	HKG	18
Lithgow - Mudgee	HRV	32
Lithgow - Mudgee	IDN	25
Lithgow - Mudgee	IND	109
Lithgow - Mudgee	IRL	59
Lithgow - Mudgee	IRN	14
Lithgow - Mudgee	IRQ	18
Lithgow - Mudgee	ITA	80
Lithgow - Mudgee	JPN	9
Lithgow - Mudgee	KHM	8
Lithgow - Mudgee	KOR	16
Lithgow - Mudgee	LBN	18
Lithgow - Mudgee	LKA	20
Lithgow - Mudgee	MKD	6
Lithgow - Mudgee	MLT	35
Lithgow - Mudgee	MUS	3
Lithgow - Mudgee	MYS	45
Lithgow - Mudgee	NLD	121
