SA3_NAME16	BornAust	persons
Mornington Peninsula	0	27624
Mornington Peninsula	1	116942
Grampians	0	4230
Grampians	1	50084
Mildura	0	5810
Mildura	1	42733
Murray River - Swan Hill	0	3288
Murray River - Swan Hill	1	29683
Campaspe	0	2513
Campaspe	1	31377
Moira	0	2673
Moira	1	23747
Shepparton	0	9495
Shepparton	1	48330
Glenelg - Southern Grampians	0	2685
Glenelg - Southern Grampians	1	29743
Colac - Corangamite	0	2836
Colac - Corangamite	1	30978
Warrnambool	0	3917
Warrnambool	1	42089
Migratory - Offshore - Shipping (Vic.)	0	6
Migratory - Offshore - Shipping (Vic.)	1	17
No usual address (Vic.)	0	2011
No usual address (Vic.)	1	4389
Capalaba	0	15267
Capalaba	1	53191
Cleveland - Stradbroke	0	19536
Cleveland - Stradbroke	1	58904
Wynnum - Manly	0	16109
Wynnum - Manly	1	49105
Bald Hills - Everton Park	0	9865
Bald Hills - Everton Park	1	29317
Chermside	0	15362
Chermside	1	49819
Nundah	0	10060
Nundah	1	26244
Sandgate	0	14696
Sandgate	1	40224
Carindale	0	12624
Carindale	1	35113
Holland Park - Yeronga	0	18939
Holland Park - Yeronga	1	47419
Mt Gravatt	0	27927
Mt Gravatt	1	40013
Nathan	0	12228
Nathan	1	24467
Rocklea - Acacia Ridge	0	27141
Rocklea - Acacia Ridge	1	29541
Sunnybank	0	26811
Sunnybank	1	20685
Centenary	0	10673
Centenary	1	20909
Kenmore - Brookfield - Moggill	0	14153
Kenmore - Brookfield - Moggill	1	29644
Sherwood - Indooroopilly	0	17607
Sherwood - Indooroopilly	1	30803
The Gap - Enoggera	0	9791
The Gap - Enoggera	1	38127
Brisbane Inner	0	27105
Brisbane Inner	1	32939
Brisbane Inner - East	0	9462
Brisbane Inner - East	1	28534
Brisbane Inner - North	0	22658
Brisbane Inner - North	1	56901
Brisbane Inner - West	0	12612
Brisbane Inner - West	1	39879
Cairns - North	0	12161
Cairns - North	1	36346
Cairns - South	0	21182
Cairns - South	1	68946
Innisfail - Cassowary Coast	0	4356
Innisfail - Cassowary Coast	1	26858
