SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Lord Howe Island	1	5	6
Port Macquarie	0	1	8819
Port Macquarie	0	2	805
Port Macquarie	0	3	104
Port Macquarie	0	4	33
Port Macquarie	0	5	6
Port Macquarie	1	2	11612
Port Macquarie	1	3	3782
Port Macquarie	1	4	3422
Port Macquarie	1	5	1584
Port Macquarie	1	6	698
Taree - Gloucester	0	1	6039
Taree - Gloucester	0	2	530
Taree - Gloucester	0	3	48
Taree - Gloucester	0	4	10
Taree - Gloucester	0	5	5
Taree - Gloucester	1	2	7983
Taree - Gloucester	1	3	2628
Taree - Gloucester	1	4	2202
Taree - Gloucester	1	5	1071
Taree - Gloucester	1	6	557
Albury	0	1	6951
Albury	0	2	668
Albury	0	3	140
Albury	0	4	46
Albury	0	5	11
Albury	0	6	4
Albury	1	2	7428
Albury	1	3	3055
Albury	1	4	2972
Albury	1	5	1305
Albury	1	6	561
Lower Murray	0	1	1274
Lower Murray	0	2	88
Lower Murray	0	3	4
Lower Murray	0	4	4
Lower Murray	1	2	1602
Lower Murray	1	3	588
Lower Murray	1	4	503
Lower Murray	1	5	317
Lower Murray	1	6	123
Upper Murray exc. Albury	0	1	5026
Upper Murray exc. Albury	0	2	329
Upper Murray exc. Albury	0	3	28
Upper Murray exc. Albury	0	4	10
Upper Murray exc. Albury	0	5	3
Upper Murray exc. Albury	0	6	3
Upper Murray exc. Albury	1	2	6084
Upper Murray exc. Albury	1	3	1792
Upper Murray exc. Albury	1	4	1704
Upper Murray exc. Albury	1	5	868
Upper Murray exc. Albury	1	6	358
Armidale	0	1	3821
Armidale	0	2	379
Armidale	0	3	95
Armidale	0	4	47
Armidale	0	5	18
Armidale	0	6	4
Armidale	1	2	4433
Armidale	1	3	1681
Armidale	1	4	1627
Armidale	1	5	773
Armidale	1	6	334
Inverell - Tenterfield	0	1	4507
Inverell - Tenterfield	0	2	345
Inverell - Tenterfield	0	3	27
Inverell - Tenterfield	0	4	8
Inverell - Tenterfield	0	5	4
Inverell - Tenterfield	1	2	5312
Inverell - Tenterfield	1	3	1742
Inverell - Tenterfield	1	4	1466
Inverell - Tenterfield	1	5	834
Inverell - Tenterfield	1	6	394
Moree - Narrabri	0	1	2528
Moree - Narrabri	0	2	226
Moree - Narrabri	0	3	16
Moree - Narrabri	1	2	2823
Moree - Narrabri	1	3	1242
Moree - Narrabri	1	4	1135
Moree - Narrabri	1	5	621
Moree - Narrabri	1	6	314
Tamworth - Gunnedah	0	1	8239
Tamworth - Gunnedah	0	2	726
Tamworth - Gunnedah	0	3	106
Tamworth - Gunnedah	0	4	30
Tamworth - Gunnedah	0	5	11
Tamworth - Gunnedah	0	6	20
Tamworth - Gunnedah	1	2	9760
Tamworth - Gunnedah	1	3	4166
Tamworth - Gunnedah	1	4	3805
Tamworth - Gunnedah	1	5	1816
Tamworth - Gunnedah	1	6	868
Lake Macquarie - East	0	1	11259
Lake Macquarie - East	0	2	908
Lake Macquarie - East	0	3	128
Lake Macquarie - East	0	4	32
Lake Macquarie - East	0	5	6
Lake Macquarie - East	0	6	9
Lake Macquarie - East	1	2	14849
Lake Macquarie - East	1	3	6994
Lake Macquarie - East	1	4	7151
Lake Macquarie - East	1	5	2732
Lake Macquarie - East	1	6	1073
Lake Macquarie - West	0	1	6215
Lake Macquarie - West	0	2	557
Lake Macquarie - West	0	3	74
Lake Macquarie - West	0	4	19
Lake Macquarie - West	0	5	4
Lake Macquarie - West	0	6	4
Lake Macquarie - West	1	2	9292
Lake Macquarie - West	1	3	4189
Lake Macquarie - West	1	4	4169
Lake Macquarie - West	1	5	1791
Lake Macquarie - West	1	6	839
Newcastle	0	1	18241
Newcastle	0	2	2620
Newcastle	0	3	1010
Newcastle	0	4	362
Newcastle	0	5	121
Newcastle	0	6	87
Newcastle	1	2	18950
Newcastle	1	3	8949
