SA3_NAME16	PrivateDwelling	persons
South Perth	0	4318
South Perth	1	37221
Cockburn	0	5481
Cockburn	1	94404
Fremantle	0	4490
Fremantle	1	32060
Kwinana	0	3311
Kwinana	1	34740
Melville	0	5969
Melville	1	93481
Rockingham	0	9193
Rockingham	1	112503
Albany	0	6408
Albany	1	51472
Wheat Belt - North	0	7940
Wheat Belt - North	1	48083
Wheat Belt - South	0	3263
Wheat Belt - South	1	17218
Kimberley	0	17387
Kimberley	1	29081
East Pilbara	0	18584
East Pilbara	1	16384
West Pilbara	0	26887
West Pilbara	1	22955
Esperance	0	2791
Esperance	1	13172
Gascoyne	0	7659
Gascoyne	1	7987
Goldfields	0	11557
Goldfields	1	32617
Mid West	0	11672
Mid West	1	46353
Migratory - Offshore - Shipping (WA)	0	3668
Brighton	0	960
Brighton	1	15883
Hobart - North East	0	3252
Hobart - North East	1	48108
Hobart - North West	0	3214
Hobart - North West	1	49021
Hobart - South and West	0	1364
Hobart - South and West	1	30596
Hobart Inner	0	7052
Hobart Inner	1	44582
Sorell - Dodges Ferry	0	874
Sorell - Dodges Ferry	1	14721
Launceston	0	7398
Launceston	1	72700
Meander Valley - West Tamar	0	1477
Meander Valley - West Tamar	1	20279
North East	0	2942
North East	1	33077
Central Highlands (Tas.)	0	889
Central Highlands (Tas.)	1	10200
Huon - Bruny Island	0	1394
Huon - Bruny Island	1	17335
South East Coast	0	996
South East Coast	1	5556
Burnie - Ulverstone	0	3148
Burnie - Ulverstone	1	43218
Devonport	0	3047
Devonport	1	40046
West Coast	0	1803
West Coast	1	15402
Migratory - Offshore - Shipping (Tas.)	0	691
Darwin City	0	10093
Darwin City	1	21502
Darwin Suburbs	0	7976
Darwin Suburbs	1	47216
Litchfield	0	9298
Litchfield	1	17675
Palmerston	0	2845
Palmerston	1	30710
Alice Springs	0	11497
Alice Springs	1	29423
Barkly	0	1671
Barkly	1	4736
Daly - Tiwi - West Arnhem	0	4818
Daly - Tiwi - West Arnhem	1	13886
East Arnhem	0	1664
East Arnhem	1	11917
Katherine	0	7862
Katherine	1	15090
Migratory - Offshore - Shipping (NT)	0	252
Belconnen	0	6424
Belconnen	1	88092
Canberra East	0	952
Canberra East	1	928
Gungahlin	0	2799
Gungahlin	1	67414
North Canberra	0	12852
North Canberra	1	42266
South Canberra	0	4654
South Canberra	1	23490
Tuggeranong	0	3281
Tuggeranong	1	80233
Weston Creek	0	1182
Weston Creek	1	21117
Woden Valley	0	3100
Woden Valley	1	31748
Molonglo	0	344
Molonglo	1	4251
Urriarra - Namadgi	0	126
Urriarra - Namadgi	1	496
Migratory - Offshore - Shipping (ACT)	0	12
Christmas Island	0	892
Christmas Island	1	1062
Cocos (Keeling) Islands	0	137
Cocos (Keeling) Islands	1	503
Jervis Bay	0	248
Jervis Bay	1	295
Norfolk Island	0	450
Norfolk Island	1	1588
Migratory - Offshore - Shipping (OT)	0	19
