SA3_NAME16	medianTotalFamilyIncome
Goldfields	117520
Mid West	82420
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Brighton	68588
Hobart - North East	85280
Hobart - North West	67912
Hobart - South and West	90428
Hobart Inner	105092
Sorell - Dodges Ferry	73684
Launceston	73268
Meander Valley - West Tamar	64012
North East	62140
Central Highlands (Tas.)	64844
Huon - Bruny Island	65000
South East Coast	53404
Burnie - Ulverstone	65676
Devonport	65104
West Coast	70772
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	139984
Darwin Suburbs	118144
Litchfield	125008
Palmerston	123396
Alice Springs	97968
Barkly	57304
Daly - Tiwi - West Arnhem	40768
East Arnhem	59124
Katherine	65676
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	118820
Canberra East	99424
Gungahlin	127556
North Canberra	137540
South Canberra	165256
Tuggeranong	121680
Weston Creek	131196
Woden Valley	132808
Molonglo	141804
Urriarra - Namadgi	148044
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	124228
Cocos (Keeling) Islands	71500
Jervis Bay	74048
Norfolk Island	67080
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
