SA3_NAME16	medianTotalHouseholdIncome
Hobart Inner	74776
Sorell - Dodges Ferry	60112
Launceston	56108
Meander Valley - West Tamar	50804
North East	47840
Central Highlands (Tas.)	52104
Huon - Bruny Island	52052
South East Coast	43108
Burnie - Ulverstone	50128
Devonport	52052
West Coast	54548
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	120640
Darwin Suburbs	107900
Litchfield	115388
Palmerston	114348
Alice Springs	89180
Barkly	71032
Daly - Tiwi - West Arnhem	58968
East Arnhem	101088
Katherine	77220
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	99580
Canberra East	50544
Gungahlin	116844
North Canberra	103012
South Canberra	121316
Tuggeranong	106652
Weston Creek	107328
Woden Valley	106080
Molonglo	120588
Urriarra - Namadgi	138112
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	111332
Cocos (Keeling) Islands	96668
Jervis Bay	80184
Norfolk Island	52624
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
