SA3_NAME16	medianRent
Toowoomba	14820
Charters Towers - Ayr - Ingham	9880
Townsville	15600
Bundaberg	13520
Burnett	10400
Gympie - Cooloola	13000
Hervey Bay	15080
Maryborough	12480
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide City	19500
Adelaide Hills	16068
Burnside	16640
Campbelltown (SA)	15600
Norwood - Payneham - St Peters	15600
Prospect - Walkerville	15600
Unley	16380
Gawler - Two Wells	13520
Playford	12740
Port Adelaide - East	14560
Salisbury	14300
Tea Tree Gully	15600
Holdfast Bay	15600
Marion	15600
Mitcham	15600
Onkaparinga	15080
Charles Sturt	15080
Port Adelaide - West	13000
West Torrens	14560
Barossa	13000
Lower North	9880
Mid North	8580
Yorke Peninsula	10400
Eyre Peninsula and South West	9360
Outback - North and East	8320
Fleurieu - Kangaroo Island	13000
Limestone Coast	9204
Murray and Mallee	9568
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	17680
Bunbury	15600
Manjimup	10400
Mandurah	16640
Cottesloe - Claremont	23400
Perth City	20800
Bayswater - Bassendean	18200
Mundaring	18200
Swan	18460
Joondalup	21320
Stirling	18460
Wanneroo	19500
Armadale	16900
Belmont - Victoria Park	18720
Canning	19240
Gosnells	18200
Kalamunda	19760
Serpentine - Jarrahdale	19760
South Perth	19500
Cockburn	19760
Fremantle	18720
Kwinana	16900
Melville	20800
Rockingham	18200
Albany	12480
Wheat Belt - North	9620
Wheat Belt - South	8736
Kimberley	9360
East Pilbara	7800
West Pilbara	7800
Esperance	11960
Gascoyne	10400
Goldfields	13000
Mid West	13000
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Brighton	11180
Hobart - North East	13780
Hobart - North West	12480
Hobart - South and West	15600
Hobart Inner	15080
Sorell - Dodges Ferry	13520
Launceston	11960
Meander Valley - West Tamar	10400
North East	9360
Central Highlands (Tas.)	7852
Huon - Bruny Island	11856
South East Coast	9880
Burnie - Ulverstone	10400
Devonport	11440
West Coast	7800
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	24440
Darwin Suburbs	20280
Litchfield	20800
Palmerston	22360
Alice Springs	9360
Barkly	5200
Daly - Tiwi - West Arnhem	2860
East Arnhem	2600
Katherine	6760
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	19240
Canberra East	11856
Gungahlin	20280
North Canberra	20280
South Canberra	21840
Tuggeranong	19760
Weston Creek	18720
Woden Valley	18720
Molonglo	20800
Urriarra - Namadgi	15600
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	7904
Cocos (Keeling) Islands	8632
Jervis Bay	6656
Norfolk Island	7176
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
