SA3_NAME16	persons
Frankston	134143
Mornington Peninsula	154999
Grampians	58820
Mildura	53878
Murray River - Swan Hill	37336
Campaspe	37208
Moira	29112
Shepparton	63649
Glenelg - Southern Grampians	35558
Colac - Corangamite	37040
Warrnambool	50099
Migratory - Offshore - Shipping (Vic.)	29
No usual address (Vic.)	7565
Capalaba	71569
Cleveland - Stradbroke	82814
Wynnum - Manly	68703
Bald Hills - Everton Park	40790
Chermside	69069
Nundah	38666
Sandgate	57993
Carindale	50179
Holland Park - Yeronga	70983
Mt Gravatt	71208
Nathan	38872
Rocklea - Acacia Ridge	59530
Sunnybank	49805
Centenary	32529
Kenmore - Brookfield - Moggill	45374
Sherwood - Indooroopilly	51079
The Gap - Enoggera	50010
Brisbane Inner	67583
Brisbane Inner - East	40594
Brisbane Inner - North	86163
Brisbane Inner - West	55865
Cairns - North	52656
Cairns - South	100791
Innisfail - Cassowary Coast	34731
Port Douglas - Daintree	11609
Tablelands (East) - Kuranda	40401
Darling Downs (West) - Maranoa	44062
Darling Downs - East	42123
Granite Belt	40101
Central Highlands (Qld)	28960
Rockhampton	116000
Biloela	14319
Gladstone	61640
Broadbeach - Burleigh	61635
Coolangatta	53189
Gold Coast - North	65902
Gold Coast Hinterland	18512
Mudgeeraba - Tallebudgera	33382
Nerang	67285
Ormeau - Oxenford	120883
Robina	49477
Southport	58896
Surfers Paradise	40836
Forest Lake - Oxley	72230
Ipswich Hinterland	62726
Ipswich Inner	104207
Springfield - Redbank	83910
Beaudesert	13915
Beenleigh	40928
Browns Plains	79812
Jimboomba	45587
Loganlea - Carbrook	59779
Springwood - Kingston	77280
Bowen Basin - North	33494
Mackay	114969
Whitsunday	21224
Bribie - Beachmere	33043
Caboolture	67460
Caboolture Hinterland	13232
Narangba - Burpengary	62884
Redcliffe	59469
The Hills District	86194
North Lakes	71560
Strathpine	37215
Far North	32390
Outback - North	29651
Outback - South	17659
Buderim	54483
Caloundra	80512
Maroochy	56308
Noosa	41152
Sunshine Coast Hinterland	49582
Nambour	42624
Noosa Hinterland	21852
Toowoomba	149512
Charters Towers - Ayr - Ingham	42226
Townsville	186808
Bundaberg	87765
Burnett	49067
Gympie - Cooloola	49486
Hervey Bay	56678
Maryborough	44893
Migratory - Offshore - Shipping (Qld)	150
No usual address (Qld)	12510
Adelaide City	22063
Adelaide Hills	71892
Burnside	43911
Campbelltown (SA)	50525
Norwood - Payneham - St Peters	35362
Prospect - Walkerville	28079
Unley	37721
Gawler - Two Wells	34632
Playford	90154
Port Adelaide - East	68056
Salisbury	136635
Tea Tree Gully	93604
Holdfast Bay	33703
Marion	90067
Mitcham	63529
Onkaparinga	168041
Charles Sturt	108691
Port Adelaide - West	57965
West Torrens	61086
Barossa	35496
Lower North	22545
Mid North	27268
Yorke Peninsula	25202
Eyre Peninsula and South West	56613
Outback - North and East	26203
Fleurieu - Kangaroo Island	50397
Limestone Coast	64788
Murray and Mallee	69554
Migratory - Offshore - Shipping (SA)	3
No usual address (SA)	2863
Augusta - Margaret River - Busselton	50875
Bunbury	102644
Manjimup	22815
Mandurah	96736
Cottesloe - Claremont	67634
Perth City	101666
Bayswater - Bassendean	80443
Mundaring	42032
Swan	128540
Joondalup	154730
Stirling	192425
Wanneroo	187960
Armadale	79602
Belmont - Victoria Park	70718
Canning	93597
Gosnells	118073
Kalamunda	57449
Serpentine - Jarrahdale	26873
South Perth	42042
Cockburn	102028
Fremantle	36605
Kwinana	38918
Melville	100677
Rockingham	125114
Albany	59173
Wheat Belt - North	55935
Wheat Belt - South	20245
Kimberley	34364
East Pilbara	25055
West Pilbara	34497
Esperance	15971
Gascoyne	9485
Goldfields	39097
Mid West	54019
Migratory - Offshore - Shipping (WA)	434
No usual address (WA)	5950
Brighton	17072
Hobart - North East	52606
Hobart - North West	53154
Hobart - South and West	32879
Hobart Inner	50558
Sorell - Dodges Ferry	16083
Launceston	80916
Meander Valley - West Tamar	22448
North East	37118
Central Highlands (Tas.)	11224
Huon - Bruny Island	19144
South East Coast	6746
Burnie - Ulverstone	47530
Devonport	44254
West Coast	17238
Migratory - Offshore - Shipping (Tas.)	68
No usual address (Tas.)	912
Darwin City	25836
Darwin Suburbs	53762
Litchfield	23528
Palmerston	33695
Alice Springs	36077
Barkly	5536
Daly - Tiwi - West Arnhem	16105
East Arnhem	13014
Katherine	18710
Migratory - Offshore - Shipping (NT)	70
No usual address (NT)	2489
Belconnen	96049
Canberra East	1578
Gungahlin	71142
North Canberra	53002
South Canberra	27007
Tuggeranong	85154
Weston Creek	22988
Woden Valley	34760
Molonglo	4578
Urriarra - Namadgi	599
No usual address (ACT)	538
Christmas Island	1843
Cocos (Keeling) Islands	544
Jervis Bay	391
Norfolk Island	1748
Migratory - Offshore - Shipping (OT)	6
No usual address (OT)	55
