SA3_NAME16	FamilyComposition	families_with_children
Loganlea - Carbrook	Other couple family with other children only	40
Loganlea - Carbrook	Step family with no other children present	637
Loganlea - Carbrook	Step family with other children present	15
Springwood - Kingston	Blended family with no other children present	451
Springwood - Kingston	Blended family with other children present	11
Springwood - Kingston	Intact family with no other children present	7397
Springwood - Kingston	Intact family with other children present	186
Springwood - Kingston	Other couple family with other children only	64
Springwood - Kingston	Step family with no other children present	623
Springwood - Kingston	Step family with other children present	16
Bowen Basin - North	Blended family with no other children present	200
Bowen Basin - North	Intact family with no other children present	3122
Bowen Basin - North	Intact family with other children present	23
Bowen Basin - North	Other couple family with other children only	21
Bowen Basin - North	Step family with no other children present	228
Bowen Basin - North	Step family with other children present	4
Mackay	Blended family with no other children present	628
Mackay	Blended family with other children present	13
Mackay	Intact family with no other children present	11358
Mackay	Intact family with other children present	124
Mackay	Other couple family with other children only	74
Mackay	Step family with no other children present	930
Mackay	Step family with other children present	20
Whitsunday	Blended family with no other children present	84
Whitsunday	Blended family with other children present	3
Whitsunday	Intact family with no other children present	1624
Whitsunday	Intact family with other children present	17
Whitsunday	Other couple family with other children only	14
Whitsunday	Step family with no other children present	154
Whitsunday	Step family with other children present	3
Bribie - Beachmere	Blended family with no other children present	180
Bribie - Beachmere	Blended family with other children present	4
Bribie - Beachmere	Intact family with no other children present	2042
Bribie - Beachmere	Intact family with other children present	39
Bribie - Beachmere	Other couple family with other children only	24
Bribie - Beachmere	Step family with no other children present	299
Bribie - Beachmere	Step family with other children present	11
Caboolture	Blended family with no other children present	647
Caboolture	Blended family with other children present	16
Caboolture	Intact family with no other children present	5730
Caboolture	Intact family with other children present	104
Caboolture	Other couple family with other children only	65
Caboolture	Step family with no other children present	745
Caboolture	Step family with other children present	26
Caboolture Hinterland	Blended family with no other children present	78
Caboolture Hinterland	Blended family with other children present	3
Caboolture Hinterland	Intact family with no other children present	1072
Caboolture Hinterland	Intact family with other children present	12
Caboolture Hinterland	Other couple family with other children only	9
Caboolture Hinterland	Step family with no other children present	117
Caboolture Hinterland	Step family with other children present	5
Narangba - Burpengary	Blended family with no other children present	526
Narangba - Burpengary	Blended family with other children present	10
Narangba - Burpengary	Intact family with no other children present	6493
Narangba - Burpengary	Intact family with other children present	105
Narangba - Burpengary	Other couple family with other children only	32
Narangba - Burpengary	Step family with no other children present	758
Narangba - Burpengary	Step family with other children present	22
Redcliffe	Blended family with no other children present	323
Redcliffe	Blended family with other children present	8
Redcliffe	Intact family with no other children present	4493
Redcliffe	Intact family with other children present	65
Redcliffe	Other couple family with other children only	44
Redcliffe	Step family with no other children present	593
Redcliffe	Step family with other children present	15
The Hills District	Blended family with no other children present	492
The Hills District	Blended family with other children present	9
The Hills District	Intact family with no other children present	11656
The Hills District	Intact family with other children present	102
The Hills District	Other couple family with other children only	45
The Hills District	Step family with no other children present	834
The Hills District	Step family with other children present	9
North Lakes	Blended family with no other children present	573
North Lakes	Blended family with other children present	3
North Lakes	Intact family with no other children present	7894
North Lakes	Intact family with other children present	87
North Lakes	Other couple family with other children only	43
North Lakes	Step family with no other children present	795
North Lakes	Step family with other children present	18
Strathpine	Blended family with no other children present	237
Strathpine	Blended family with other children present	5
Strathpine	Intact family with no other children present	3761
Strathpine	Intact family with other children present	58
Strathpine	Other couple family with other children only	32
Strathpine	Step family with no other children present	363
Strathpine	Step family with other children present	14
Far North	Blended family with no other children present	162
Far North	Blended family with other children present	15
Far North	Intact family with no other children present	2361
Far North	Intact family with other children present	178
Far North	Other couple family with other children only	100
Far North	Step family with no other children present	205
Far North	Step family with other children present	27
Outback - North	Blended family with no other children present	157
Outback - North	Blended family with other children present	12
Outback - North	Intact family with no other children present	2468
Outback - North	Intact family with other children present	86
Outback - North	Other couple family with other children only	54
Outback - North	Step family with no other children present	198
Outback - North	Step family with other children present	14
Outback - South	Blended family with no other children present	59
Outback - South	Intact family with no other children present	1473
Outback - South	Intact family with other children present	19
Outback - South	Other couple family with other children only	18
Outback - South	Step family with no other children present	96
Outback - South	Step family with other children present	3
Buderim	Blended family with no other children present	262
Buderim	Blended family with other children present	4
Buderim	Intact family with no other children present	5669
Buderim	Intact family with other children present	52
Buderim	Other couple family with other children only	20
Buderim	Step family with no other children present	468
Buderim	Step family with other children present	3
Caloundra	Blended family with no other children present	390
Caloundra	Blended family with other children present	6
Caloundra	Intact family with no other children present	7279
Caloundra	Intact family with other children present	78
Caloundra	Other couple family with other children only	34
Caloundra	Step family with no other children present	685
Caloundra	Step family with other children present	14
Maroochy	Blended family with no other children present	173
Maroochy	Intact family with no other children present	4240
Maroochy	Intact family with other children present	31
Maroochy	Other couple family with other children only	15
Maroochy	Step family with no other children present	440
Maroochy	Step family with other children present	4
Noosa	Blended family with no other children present	145
Noosa	Intact family with no other children present	3577
Noosa	Intact family with other children present	15
Noosa	Other couple family with other children only	11
Noosa	Step family with no other children present	323
Noosa	Step family with other children present	3
Sunshine Coast Hinterland	Blended family with no other children present	277
Sunshine Coast Hinterland	Blended family with other children present	5
Sunshine Coast Hinterland	Intact family with no other children present	4644
Sunshine Coast Hinterland	Intact family with other children present	62
Sunshine Coast Hinterland	Other couple family with other children only	25
Sunshine Coast Hinterland	Step family with no other children present	488
Sunshine Coast Hinterland	Step family with other children present	7
Nambour	Blended family with no other children present	232
Nambour	Blended family with other children present	3
Nambour	Intact family with no other children present	4127
Nambour	Intact family with other children present	44
Nambour	Other couple family with other children only	22
Nambour	Step family with no other children present	391
Nambour	Step family with other children present	9
Noosa Hinterland	Blended family with no other children present	88
Noosa Hinterland	Intact family with no other children present	2132
Noosa Hinterland	Intact family with other children present	25
Noosa Hinterland	Other couple family with other children only	12
Noosa Hinterland	Step family with no other children present	190
Noosa Hinterland	Step family with other children present	10
Toowoomba	Blended family with no other children present	808
Toowoomba	Blended family with other children present	17
Toowoomba	Intact family with no other children present	13615
Toowoomba	Intact family with other children present	170
Toowoomba	Other couple family with other children only	104
Toowoomba	Step family with no other children present	1095
Toowoomba	Step family with other children present	21
Charters Towers - Ayr - Ingham	Blended family with no other children present	186
Charters Towers - Ayr - Ingham	Blended family with other children present	9
Charters Towers - Ayr - Ingham	Intact family with no other children present	3617
Charters Towers - Ayr - Ingham	Intact family with other children present	64
Charters Towers - Ayr - Ingham	Other couple family with other children only	36
Charters Towers - Ayr - Ingham	Step family with no other children present	274
Charters Towers - Ayr - Ingham	Step family with other children present	15
Townsville	Blended family with no other children present	1131
Townsville	Blended family with other children present	21
Townsville	Intact family with no other children present	16690
Townsville	Intact family with other children present	221
Townsville	Other couple family with other children only	130
Townsville	Step family with no other children present	1678
Townsville	Step family with other children present	33
Bundaberg	Blended family with no other children present	478
Bundaberg	Blended family with other children present	13
Bundaberg	Intact family with no other children present	6696
Bundaberg	Intact family with other children present	78
Bundaberg	Other couple family with other children only	73
Bundaberg	Step family with no other children present	722
Bundaberg	Step family with other children present	14
Burnett	Blended family with no other children present	279
Burnett	Blended family with other children present	8
Burnett	Intact family with no other children present	3560
Burnett	Intact family with other children present	46
Burnett	Other couple family with other children only	58
Burnett	Step family with no other children present	334
Burnett	Step family with other children present	19
Gympie - Cooloola	Blended family with no other children present	321
Gympie - Cooloola	Blended family with other children present	3
Gympie - Cooloola	Intact family with no other children present	3708
Gympie - Cooloola	Intact family with other children present	50
Gympie - Cooloola	Other couple family with other children only	37
Gympie - Cooloola	Step family with no other children present	371
Gympie - Cooloola	Step family with other children present	17
Hervey Bay	Blended family with no other children present	322
Hervey Bay	Blended family with other children present	9
Hervey Bay	Intact family with no other children present	3922
Hervey Bay	Intact family with other children present	52
Hervey Bay	Other couple family with other children only	35
Hervey Bay	Step family with no other children present	479
Hervey Bay	Step family with other children present	16
Maryborough	Blended family with no other children present	207
Maryborough	Blended family with other children present	8
Maryborough	Intact family with no other children present	3068
Maryborough	Intact family with other children present	56
Maryborough	Other couple family with other children only	29
Maryborough	Step family with no other children present	342
Maryborough	Step family with other children present	11
Adelaide City	Blended family with no other children present	19
Adelaide City	Intact family with no other children present	758
Adelaide City	Step family with no other children present	57
Adelaide Hills	Blended family with no other children present	333
Adelaide Hills	Intact family with no other children present	8335
Adelaide Hills	Intact family with other children present	55
Adelaide Hills	Other couple family with other children only	22
Adelaide Hills	Step family with no other children present	682
Adelaide Hills	Step family with other children present	3
Burnside	Blended family with no other children present	116
Burnside	Intact family with no other children present	5207
Burnside	Intact family with other children present	36
Burnside	Other couple family with other children only	19
Burnside	Step family with no other children present	297
Burnside	Step family with other children present	7
Campbelltown (SA)	Blended family with no other children present	139
Campbelltown (SA)	Intact family with no other children present	5895
Campbelltown (SA)	Intact family with other children present	40
Campbelltown (SA)	Other couple family with other children only	14
Campbelltown (SA)	Step family with no other children present	286
Campbelltown (SA)	Step family with other children present	7
Norwood - Payneham - St Peters	Blended family with no other children present	60
Norwood - Payneham - St Peters	Intact family with no other children present	3339
Norwood - Payneham - St Peters	Intact family with other children present	22
Norwood - Payneham - St Peters	Other couple family with other children only	12
Norwood - Payneham - St Peters	Step family with no other children present	191
Norwood - Payneham - St Peters	Step family with other children present	9
Prospect - Walkerville	Blended family with no other children present	62
Prospect - Walkerville	Intact family with no other children present	3145
Prospect - Walkerville	Intact family with other children present	26
Prospect - Walkerville	Other couple family with other children only	6
Prospect - Walkerville	Step family with no other children present	170
Unley	Blended family with no other children present	79
Unley	Intact family with no other children present	3940
Unley	Intact family with other children present	24
Unley	Other couple family with other children only	7
Unley	Step family with no other children present	244
Gawler - Two Wells	Blended family with no other children present	232
Gawler - Two Wells	Blended family with other children present	3
Gawler - Two Wells	Intact family with no other children present	3415
Gawler - Two Wells	Intact family with other children present	39
Gawler - Two Wells	Other couple family with other children only	27
Gawler - Two Wells	Step family with no other children present	384
Gawler - Two Wells	Step family with other children present	13
Playford	Blended family with no other children present	660
Playford	Blended family with other children present	15
Playford	Intact family with no other children present	7524
Playford	Intact family with other children present	138
Playford	Other couple family with other children only	77
Playford	Step family with no other children present	894
Playford	Step family with other children present	25
Port Adelaide - East	Blended family with no other children present	196
Port Adelaide - East	Blended family with other children present	4
Port Adelaide - East	Intact family with no other children present	6874
Port Adelaide - East	Intact family with other children present	91
Port Adelaide - East	Other couple family with other children only	29
Port Adelaide - East	Step family with no other children present	410
Port Adelaide - East	Step family with other children present	7
Salisbury	Blended family with no other children present	721
Salisbury	Blended family with other children present	24
Salisbury	Intact family with no other children present	13759
Salisbury	Intact family with other children present	248
Salisbury	Other couple family with other children only	79
Salisbury	Step family with no other children present	1199
Salisbury	Step family with other children present	37
Tea Tree Gully	Blended family with no other children present	417
Tea Tree Gully	Blended family with other children present	7
Tea Tree Gully	Intact family with no other children present	10254
Tea Tree Gully	Intact family with other children present	83
Tea Tree Gully	Other couple family with other children only	39
Tea Tree Gully	Step family with no other children present	908
Tea Tree Gully	Step family with other children present	10
Holdfast Bay	Blended family with no other children present	87
Holdfast Bay	Intact family with no other children present	2969
Holdfast Bay	Intact family with other children present	24
Holdfast Bay	Other couple family with other children only	8
Holdfast Bay	Step family with no other children present	210
Marion	Blended family with no other children present	296
Marion	Blended family with other children present	4
Marion	Intact family with no other children present	9111
Marion	Intact family with other children present	91
Marion	Other couple family with other children only	26
Marion	Step family with no other children present	674
Marion	Step family with other children present	20
Mitcham	Blended family with no other children present	200
Mitcham	Blended family with other children present	4
Mitcham	Intact family with no other children present	7486
Mitcham	Intact family with other children present	50
Mitcham	Other couple family with other children only	20
Mitcham	Step family with no other children present	472
Mitcham	Step family with other children present	3
Onkaparinga	Blended family with no other children present	1035
Onkaparinga	Blended family with other children present	11
Onkaparinga	Intact family with no other children present	16528
Onkaparinga	Intact family with other children present	158
Onkaparinga	Other couple family with other children only	99
Onkaparinga	Step family with no other children present	1729
Onkaparinga	Step family with other children present	25
Charles Sturt	Blended family with no other children present	293
Charles Sturt	Blended family with other children present	9
Charles Sturt	Intact family with no other children present	10784
Charles Sturt	Intact family with other children present	103
Charles Sturt	Other couple family with other children only	40
Charles Sturt	Step family with no other children present	801
Charles Sturt	Step family with other children present	9
Port Adelaide - West	Blended family with no other children present	216
Port Adelaide - West	Blended family with other children present	8
Port Adelaide - West	Intact family with no other children present	5159
Port Adelaide - West	Intact family with other children present	82
Port Adelaide - West	Other couple family with other children only	27
Port Adelaide - West	Step family with no other children present	474
Port Adelaide - West	Step family with other children present	12
West Torrens	Blended family with no other children present	156
West Torrens	Intact family with no other children present	5963
West Torrens	Intact family with other children present	59
West Torrens	Other couple family with other children only	16
West Torrens	Step family with no other children present	389
Barossa	Blended family with no other children present	221
Barossa	Intact family with no other children present	3587
Barossa	Intact family with other children present	28
Barossa	Other couple family with other children only	20
Barossa	Step family with no other children present	318
Barossa	Step family with other children present	6
Lower North	Blended family with no other children present	102
Lower North	Blended family with other children present	3
Lower North	Intact family with no other children present	1893
Lower North	Intact family with other children present	20
Lower North	Other couple family with other children only	18
Lower North	Step family with no other children present	138
Mid North	Blended family with no other children present	121
Mid North	Intact family with no other children present	2146
Mid North	Intact family with other children present	24
Mid North	Other couple family with other children only	32
Mid North	Step family with no other children present	170
Mid North	Step family with other children present	3
Yorke Peninsula	Blended family with no other children present	105
Yorke Peninsula	Intact family with no other children present	1723
Yorke Peninsula	Intact family with other children present	17
Yorke Peninsula	Other couple family with other children only	19
Yorke Peninsula	Step family with no other children present	166
Yorke Peninsula	Step family with other children present	6
Eyre Peninsula and South West	Blended family with no other children present	324
Eyre Peninsula and South West	Blended family with other children present	8
Eyre Peninsula and South West	Intact family with no other children present	4656
Eyre Peninsula and South West	Intact family with other children present	49
Eyre Peninsula and South West	Other couple family with other children only	59
Eyre Peninsula and South West	Step family with no other children present	408
Eyre Peninsula and South West	Step family with other children present	14
Outback - North and East	Blended family with no other children present	119
Outback - North and East	Blended family with other children present	5
Outback - North and East	Intact family with no other children present	1972
Outback - North and East	Intact family with other children present	64
Outback - North and East	Other couple family with other children only	31
Outback - North and East	Step family with no other children present	162
Outback - North and East	Step family with other children present	4
Fleurieu - Kangaroo Island	Blended family with no other children present	243
Fleurieu - Kangaroo Island	Intact family with no other children present	3624
Fleurieu - Kangaroo Island	Intact family with other children present	40
Fleurieu - Kangaroo Island	Other couple family with other children only	44
Fleurieu - Kangaroo Island	Step family with no other children present	351
Fleurieu - Kangaroo Island	Step family with other children present	6
Limestone Coast	Blended family with no other children present	350
Limestone Coast	Blended family with other children present	3
Limestone Coast	Intact family with no other children present	5728
Limestone Coast	Intact family with other children present	50
Limestone Coast	Other couple family with other children only	59
Limestone Coast	Step family with no other children present	523
Limestone Coast	Step family with other children present	14
Murray and Mallee	Blended family with no other children present	351
Murray and Mallee	Blended family with other children present	3
Murray and Mallee	Intact family with no other children present	5509
Murray and Mallee	Intact family with other children present	58
Murray and Mallee	Other couple family with other children only	62
Murray and Mallee	Step family with no other children present	504
Murray and Mallee	Step family with other children present	9
Augusta - Margaret River - Busselton	Blended family with no other children present	265
Augusta - Margaret River - Busselton	Intact family with no other children present	4975
Augusta - Margaret River - Busselton	Intact family with other children present	36
Augusta - Margaret River - Busselton	Other couple family with other children only	27
Augusta - Margaret River - Busselton	Step family with no other children present	382
Augusta - Margaret River - Busselton	Step family with other children present	7
Bunbury	Blended family with no other children present	642
Bunbury	Blended family with other children present	9
Bunbury	Intact family with no other children present	9840
Bunbury	Intact family with other children present	138
Bunbury	Other couple family with other children only	95
Bunbury	Step family with no other children present	884
Bunbury	Step family with other children present	21
Manjimup	Blended family with no other children present	89
Manjimup	Blended family with other children present	3
Manjimup	Intact family with no other children present	1902
Manjimup	Intact family with other children present	14
Manjimup	Other couple family with other children only	27
Manjimup	Step family with no other children present	129
Manjimup	Step family with other children present	3
Mandurah	Blended family with no other children present	567
Mandurah	Blended family with other children present	12
Mandurah	Intact family with no other children present	8251
Mandurah	Intact family with other children present	105
Mandurah	Other couple family with other children only	86
Mandurah	Step family with no other children present	891
Mandurah	Step family with other children present	18
Cottesloe - Claremont	Blended family with no other children present	125
Cottesloe - Claremont	Blended family with other children present	3
Cottesloe - Claremont	Intact family with no other children present	7992
Cottesloe - Claremont	Intact family with other children present	35
Cottesloe - Claremont	Other couple family with other children only	9
Cottesloe - Claremont	Step family with no other children present	378
Perth City	Blended family with no other children present	131
Perth City	Blended family with other children present	3
Perth City	Intact family with no other children present	8443
Perth City	Intact family with other children present	47
Perth City	Other couple family with other children only	14
Perth City	Step family with no other children present	434
Perth City	Step family with other children present	3
Bayswater - Bassendean	Blended family with no other children present	243
Bayswater - Bassendean	Blended family with other children present	7
Bayswater - Bassendean	Intact family with no other children present	7978
Bayswater - Bassendean	Intact family with other children present	80
Bayswater - Bassendean	Other couple family with other children only	31
Bayswater - Bassendean	Step family with no other children present	567
Bayswater - Bassendean	Step family with other children present	12
Mundaring	Blended family with no other children present	215
Mundaring	Intact family with no other children present	4303
Mundaring	Intact family with other children present	64
Mundaring	Other couple family with other children only	37
Mundaring	Step family with no other children present	385
Mundaring	Step family with other children present	16
Swan	Blended family with no other children present	718
Swan	Blended family with other children present	21
Swan	Intact family with no other children present	14554
Swan	Intact family with other children present	248
Swan	Other couple family with other children only	78
Swan	Step family with no other children present	1172
Swan	Step family with other children present	21
Joondalup	Blended family with no other children present	661
Joondalup	Blended family with other children present	3
Joondalup	Intact family with no other children present	20006
Joondalup	Intact family with other children present	159
Joondalup	Other couple family with other children only	82
Joondalup	Step family with no other children present	1350
Joondalup	Step family with other children present	20
Stirling	Blended family with no other children present	519
Stirling	Blended family with other children present	13
Stirling	Intact family with no other children present	19621
Stirling	Intact family with other children present	172
Stirling	Other couple family with other children only	60
Stirling	Step family with no other children present	1210
Stirling	Step family with other children present	22
Wanneroo	Blended family with no other children present	1223
Wanneroo	Blended family with other children present	24
Wanneroo	Intact family with no other children present	22777
Wanneroo	Intact family with other children present	328
Wanneroo	Other couple family with other children only	124
Wanneroo	Step family with no other children present	1715
Wanneroo	Step family with other children present	45
Armadale	Blended family with no other children present	472
Armadale	Blended family with other children present	10
Armadale	Intact family with no other children present	8810
Armadale	Intact family with other children present	139
Armadale	Other couple family with other children only	69
Armadale	Step family with no other children present	733
Armadale	Step family with other children present	22
Belmont - Victoria Park	Blended family with no other children present	198
Belmont - Victoria Park	Blended family with other children present	7
Belmont - Victoria Park	Intact family with no other children present	5771
Belmont - Victoria Park	Intact family with other children present	68
Belmont - Victoria Park	Other couple family with other children only	29
Belmont - Victoria Park	Step family with no other children present	417
Belmont - Victoria Park	Step family with other children present	5
Canning	Blended family with no other children present	271
Canning	Blended family with other children present	4
Canning	Intact family with no other children present	10624
Canning	Intact family with other children present	171
Canning	Other couple family with other children only	30
Canning	Step family with no other children present	540
Canning	Step family with other children present	14
Gosnells	Blended family with no other children present	573
Gosnells	Blended family with other children present	15
Gosnells	Intact family with no other children present	13674
Gosnells	Intact family with other children present	241
Gosnells	Other couple family with other children only	78
Gosnells	Step family with no other children present	940
Gosnells	Step family with other children present	28
Kalamunda	Blended family with no other children present	306
Kalamunda	Intact family with no other children present	6284
Kalamunda	Intact family with other children present	92
Kalamunda	Other couple family with other children only	39
Kalamunda	Step family with no other children present	545
Kalamunda	Step family with other children present	17
Serpentine - Jarrahdale	Blended family with no other children present	205
Serpentine - Jarrahdale	Blended family with other children present	12
Serpentine - Jarrahdale	Intact family with no other children present	3183
Serpentine - Jarrahdale	Intact family with other children present	43
Serpentine - Jarrahdale	Other couple family with other children only	29
Serpentine - Jarrahdale	Step family with no other children present	289
Serpentine - Jarrahdale	Step family with other children present	6
South Perth	Blended family with no other children present	59
South Perth	Intact family with no other children present	3906
South Perth	Intact family with other children present	36
South Perth	Other couple family with other children only	10
South Perth	Step family with no other children present	234
Cockburn	Blended family with no other children present	489
Cockburn	Blended family with other children present	3
Cockburn	Intact family with no other children present	11971
Cockburn	Intact family with other children present	134
Cockburn	Other couple family with other children only	38
Cockburn	Step family with no other children present	829
Cockburn	Step family with other children present	14
Fremantle	Blended family with no other children present	97
Fremantle	Intact family with no other children present	3303
Fremantle	Intact family with other children present	19
Fremantle	Other couple family with other children only	13
Fremantle	Step family with no other children present	259
Fremantle	Step family with other children present	3
Kwinana	Blended family with no other children present	248
Kwinana	Intact family with no other children present	3952
Kwinana	Intact family with other children present	73
Kwinana	Other couple family with other children only	36
Kwinana	Step family with no other children present	352
Kwinana	Step family with other children present	10
Melville	Blended family with no other children present	266
Melville	Intact family with no other children present	12069
Melville	Intact family with other children present	96
Melville	Other couple family with other children only	34
Melville	Step family with no other children present	675
Melville	Step family with other children present	13
Rockingham	Blended family with no other children present	953
Rockingham	Blended family with other children present	18
Rockingham	Intact family with no other children present	13204
Rockingham	Intact family with other children present	163
Rockingham	Other couple family with other children only	111
Rockingham	Step family with no other children present	1351
Rockingham	Step family with other children present	23
Albany	Blended family with no other children present	290
Albany	Blended family with other children present	4
Albany	Intact family with no other children present	5020
Albany	Intact family with other children present	59
Albany	Other couple family with other children only	48
Albany	Step family with no other children present	419
Albany	Step family with other children present	6
Wheat Belt - North	Blended family with no other children present	292
Wheat Belt - North	Blended family with other children present	8
Wheat Belt - North	Intact family with no other children present	4623
Wheat Belt - North	Intact family with other children present	76
Wheat Belt - North	Other couple family with other children only	82
Wheat Belt - North	Step family with no other children present	333
Wheat Belt - North	Step family with other children present	8
Wheat Belt - South	Blended family with no other children present	111
Wheat Belt - South	Intact family with no other children present	1718
Wheat Belt - South	Intact family with other children present	17
Wheat Belt - South	Other couple family with other children only	29
Wheat Belt - South	Step family with no other children present	88
Wheat Belt - South	Step family with other children present	3
Kimberley	Blended family with no other children present	145
Kimberley	Blended family with other children present	19
Kimberley	Intact family with no other children present	2411
Kimberley	Intact family with other children present	136
Kimberley	Other couple family with other children only	83
Kimberley	Step family with no other children present	223
Kimberley	Step family with other children present	28
East Pilbara	Blended family with no other children present	129
East Pilbara	Blended family with other children present	8
East Pilbara	Intact family with no other children present	1872
East Pilbara	Intact family with other children present	45
East Pilbara	Other couple family with other children only	25
East Pilbara	Step family with no other children present	151
East Pilbara	Step family with other children present	7
West Pilbara	Blended family with no other children present	167
West Pilbara	Blended family with other children present	3
West Pilbara	Intact family with no other children present	2963
West Pilbara	Intact family with other children present	46
West Pilbara	Other couple family with other children only	30
West Pilbara	Step family with no other children present	220
West Pilbara	Step family with other children present	11
Esperance	Blended family with no other children present	79
Esperance	Intact family with no other children present	1388
Esperance	Intact family with other children present	18
Esperance	Other couple family with other children only	12
Esperance	Step family with no other children present	125
Esperance	Step family with other children present	3
Gascoyne	Blended family with no other children present	40
Gascoyne	Intact family with no other children present	738
Gascoyne	Intact family with other children present	19
Gascoyne	Other couple family with other children only	14
Gascoyne	Step family with no other children present	57
Goldfields	Blended family with no other children present	262
Goldfields	Blended family with other children present	9
Goldfields	Intact family with no other children present	3653
Goldfields	Intact family with other children present	80
Goldfields	Other couple family with other children only	44
Goldfields	Step family with no other children present	292
Goldfields	Step family with other children present	17
Mid West	Blended family with no other children present	265
Mid West	Blended family with other children present	3
Mid West	Intact family with no other children present	4521
Mid West	Intact family with other children present	65
Mid West	Other couple family with other children only	66
Mid West	Step family with no other children present	384
Mid West	Step family with other children present	13
Brighton	Blended family with no other children present	148
Brighton	Intact family with no other children present	1533
Brighton	Intact family with other children present	18
Brighton	Other couple family with other children only	17
Brighton	Step family with no other children present	179
Brighton	Step family with other children present	3
Hobart - North East	Blended family with no other children present	288
Hobart - North East	Blended family with other children present	4
Hobart - North East	Intact family with no other children present	4787
Hobart - North East	Intact family with other children present	52
Hobart - North East	Other couple family with other children only	27
Hobart - North East	Step family with no other children present	522
Hobart - North East	Step family with other children present	8
Hobart - North West	Blended family with no other children present	371
Hobart - North West	Blended family with other children present	10
Hobart - North West	Intact family with no other children present	4066
Hobart - North West	Intact family with other children present	58
Hobart - North West	Other couple family with other children only	53
Hobart - North West	Step family with no other children present	537
Hobart - North West	Step family with other children present	13
Hobart - South and West	Blended family with no other children present	187
Hobart - South and West	Blended family with other children present	3
Hobart - South and West	Intact family with no other children present	3451
Hobart - South and West	Intact family with other children present	26
Hobart - South and West	Other couple family with other children only	19
Hobart - South and West	Step family with no other children present	313
Hobart - South and West	Step family with other children present	7
Hobart Inner	Blended family with no other children present	129
Hobart Inner	Intact family with no other children present	4255
Hobart Inner	Intact family with other children present	20
Hobart Inner	Other couple family with other children only	17
Hobart Inner	Step family with no other children present	316
Hobart Inner	Step family with other children present	3
Sorell - Dodges Ferry	Blended family with no other children present	104
Sorell - Dodges Ferry	Blended family with other children present	5
Sorell - Dodges Ferry	Intact family with no other children present	1389
Sorell - Dodges Ferry	Intact family with other children present	21
Sorell - Dodges Ferry	Other couple family with other children only	15
Sorell - Dodges Ferry	Step family with no other children present	170
Launceston	Blended family with no other children present	447
Launceston	Blended family with other children present	4
Launceston	Intact family with no other children present	6831
Launceston	Intact family with other children present	53
Launceston	Other couple family with other children only	47
Launceston	Step family with no other children present	673
Launceston	Step family with other children present	16
Meander Valley - West Tamar	Blended family with no other children present	122
Meander Valley - West Tamar	Blended family with other children present	3
Meander Valley - West Tamar	Intact family with no other children present	1935
Meander Valley - West Tamar	Intact family with other children present	21
Meander Valley - West Tamar	Other couple family with other children only	20
Meander Valley - West Tamar	Step family with no other children present	173
Meander Valley - West Tamar	Step family with other children present	3
North East	Blended family with no other children present	205
North East	Intact family with no other children present	2968
North East	Intact family with other children present	32
North East	Other couple family with other children only	25
North East	Step family with no other children present	292
North East	Step family with other children present	3
Central Highlands (Tas.)	Blended family with no other children present	60
Central Highlands (Tas.)	Intact family with no other children present	978
Central Highlands (Tas.)	Intact family with other children present	14
Central Highlands (Tas.)	Other couple family with other children only	13
Central Highlands (Tas.)	Step family with no other children present	109
Central Highlands (Tas.)	Step family with other children present	4
Huon - Bruny Island	Blended family with no other children present	95
Huon - Bruny Island	Blended family with other children present	5
Huon - Bruny Island	Intact family with no other children present	1634
Huon - Bruny Island	Intact family with other children present	18
Huon - Bruny Island	Other couple family with other children only	9
Huon - Bruny Island	Step family with no other children present	166
South East Coast	Blended family with no other children present	19
South East Coast	Intact family with no other children present	382
South East Coast	Intact family with other children present	5
South East Coast	Other couple family with other children only	7
South East Coast	Step family with no other children present	32
Burnie - Ulverstone	Blended family with no other children present	283
Burnie - Ulverstone	Intact family with no other children present	3821
Burnie - Ulverstone	Intact family with other children present	27
Burnie - Ulverstone	Other couple family with other children only	35
Burnie - Ulverstone	Step family with no other children present	450
Burnie - Ulverstone	Step family with other children present	4
Devonport	Blended family with no other children present	252
Devonport	Blended family with other children present	3
Devonport	Intact family with no other children present	3518
Devonport	Intact family with other children present	34
Devonport	Other couple family with other children only	37
Devonport	Step family with no other children present	449
Devonport	Step family with other children present	8
West Coast	Blended family with no other children present	126
West Coast	Intact family with no other children present	1465
West Coast	Intact family with other children present	9
West Coast	Other couple family with other children only	15
West Coast	Step family with no other children present	144
West Coast	Step family with other children present	4
Darwin City	Blended family with no other children present	60
Darwin City	Intact family with no other children present	1877
Darwin City	Intact family with other children present	24
Darwin City	Other couple family with other children only	4
Darwin City	Step family with no other children present	167
Darwin City	Step family with other children present	3
Darwin Suburbs	Blended family with no other children present	235
Darwin Suburbs	Blended family with other children present	7
Darwin Suburbs	Intact family with no other children present	5392
Darwin Suburbs	Intact family with other children present	133
Darwin Suburbs	Other couple family with other children only	38
Darwin Suburbs	Step family with no other children present	424
Darwin Suburbs	Step family with other children present	14
Litchfield	Blended family with no other children present	149
Litchfield	Blended family with other children present	3
Litchfield	Intact family with no other children present	1990
Litchfield	Intact family with other children present	31
Litchfield	Other couple family with other children only	17
Litchfield	Step family with no other children present	202
Litchfield	Step family with other children present	3
Palmerston	Blended family with no other children present	278
Palmerston	Blended family with other children present	3
Palmerston	Intact family with no other children present	3649
Palmerston	Intact family with other children present	57
Palmerston	Other couple family with other children only	26
