SA3_NAME16	Age5yr	Indigenous	Sex	persons
Gosford	60-64	1	M	66
Gosford	65+		F	1273
Gosford	65+		M	936
Gosford	65+	0	F	18504
Gosford	65+	0	M	15071
Gosford	65+	1	F	139
Gosford	65+	1	M	109
Wyong	0-4		F	209
Wyong	0-4		M	238
Wyong	0-4	0	F	4011
Wyong	0-4	0	M	4179
Wyong	0-4	1	F	470
Wyong	0-4	1	M	501
Wyong	5-9		F	249
Wyong	5-9		M	247
Wyong	5-9	0	F	4294
Wyong	5-9	0	M	4719
Wyong	5-9	1	F	447
Wyong	5-9	1	M	486
Wyong	10-14		F	232
Wyong	10-14		M	250
Wyong	10-14	0	F	4208
Wyong	10-14	0	M	4493
Wyong	10-14	1	F	443
Wyong	10-14	1	M	510
Wyong	15-19		F	242
Wyong	15-19		M	249
Wyong	15-19	0	F	4192
Wyong	15-19	0	M	4327
Wyong	15-19	1	F	421
Wyong	15-19	1	M	436
Wyong	20-24		F	274
Wyong	20-24		M	245
Wyong	20-24	0	F	4033
Wyong	20-24	0	M	4029
Wyong	20-24	1	F	319
Wyong	20-24	1	M	342
Wyong	25-29		F	214
Wyong	25-29		M	234
Wyong	25-29	0	F	3932
Wyong	25-29	0	M	3665
Wyong	25-29	1	F	262
Wyong	25-29	1	M	248
Wyong	30-34		F	213
Wyong	30-34		M	234
Wyong	30-34	0	F	4197
Wyong	30-34	0	M	3941
Wyong	30-34	1	F	251
Wyong	30-34	1	M	168
Wyong	35-39		F	217
Wyong	35-39		M	222
Wyong	35-39	0	F	4162
Wyong	35-39	0	M	3937
Wyong	35-39	1	F	211
Wyong	35-39	1	M	184
Wyong	40-44		F	242
Wyong	40-44		M	239
Wyong	40-44	0	F	4694
Wyong	40-44	0	M	4281
Wyong	40-44	1	F	219
Wyong	40-44	1	M	163
Wyong	45-49		F	284
Wyong	45-49		M	283
Wyong	45-49	0	F	4846
Wyong	45-49	0	M	4483
Wyong	45-49	1	F	204
Wyong	45-49	1	M	195
Wyong	50-54		F	266
Wyong	50-54		M	251
Wyong	50-54	0	F	4783
Wyong	50-54	0	M	4607
