SA4_NAME16	Age5yr	ChildrenEverBorn	females
Central West	85+	5	255
Central West	85+	6	292
Coffs Harbour - Grafton	15-19		509
Coffs Harbour - Grafton	15-19	0	3287
Coffs Harbour - Grafton	15-19	1	54
Coffs Harbour - Grafton	15-19	2	11
Coffs Harbour - Grafton	15-19	3	3
Coffs Harbour - Grafton	15-19	6	3
Coffs Harbour - Grafton	20-24		281
Coffs Harbour - Grafton	20-24	0	2075
Coffs Harbour - Grafton	20-24	1	383
Coffs Harbour - Grafton	20-24	2	165
Coffs Harbour - Grafton	20-24	3	57
Coffs Harbour - Grafton	20-24	4	3
Coffs Harbour - Grafton	20-24	5	3
Coffs Harbour - Grafton	25-29		279
Coffs Harbour - Grafton	25-29	0	1486
Coffs Harbour - Grafton	25-29	1	603
Coffs Harbour - Grafton	25-29	2	551
Coffs Harbour - Grafton	25-29	3	215
Coffs Harbour - Grafton	25-29	4	65
Coffs Harbour - Grafton	25-29	5	11
Coffs Harbour - Grafton	25-29	6	10
Coffs Harbour - Grafton	30-34		233
Coffs Harbour - Grafton	30-34	0	767
Coffs Harbour - Grafton	30-34	1	607
Coffs Harbour - Grafton	30-34	2	971
Coffs Harbour - Grafton	30-34	3	492
Coffs Harbour - Grafton	30-34	4	181
Coffs Harbour - Grafton	30-34	5	36
Coffs Harbour - Grafton	30-34	6	23
Coffs Harbour - Grafton	35-39		236
Coffs Harbour - Grafton	35-39	0	517
Coffs Harbour - Grafton	35-39	1	499
Coffs Harbour - Grafton	35-39	2	1151
Coffs Harbour - Grafton	35-39	3	744
Coffs Harbour - Grafton	35-39	4	233
Coffs Harbour - Grafton	35-39	5	87
Coffs Harbour - Grafton	35-39	6	54
Coffs Harbour - Grafton	40-44		290
Coffs Harbour - Grafton	40-44	0	477
Coffs Harbour - Grafton	40-44	1	509
Coffs Harbour - Grafton	40-44	2	1449
Coffs Harbour - Grafton	40-44	3	881
Coffs Harbour - Grafton	40-44	4	380
Coffs Harbour - Grafton	40-44	5	108
Coffs Harbour - Grafton	40-44	6	83
Coffs Harbour - Grafton	45-49		335
Coffs Harbour - Grafton	45-49	0	549
Coffs Harbour - Grafton	45-49	1	561
Coffs Harbour - Grafton	45-49	2	1566
Coffs Harbour - Grafton	45-49	3	979
Coffs Harbour - Grafton	45-49	4	414
Coffs Harbour - Grafton	45-49	5	145
Coffs Harbour - Grafton	45-49	6	93
Coffs Harbour - Grafton	50-54		342
Coffs Harbour - Grafton	50-54	0	659
Coffs Harbour - Grafton	50-54	1	552
Coffs Harbour - Grafton	50-54	2	1608
Coffs Harbour - Grafton	50-54	3	1118
Coffs Harbour - Grafton	50-54	4	487
Coffs Harbour - Grafton	50-54	5	120
Coffs Harbour - Grafton	50-54	6	98
Coffs Harbour - Grafton	55-59		407
Coffs Harbour - Grafton	55-59	0	696
Coffs Harbour - Grafton	55-59	1	560
Coffs Harbour - Grafton	55-59	2	1823
Coffs Harbour - Grafton	55-59	3	1287
Coffs Harbour - Grafton	55-59	4	565
Coffs Harbour - Grafton	55-59	5	153
Coffs Harbour - Grafton	55-59	6	96
Coffs Harbour - Grafton	60-64		357
Coffs Harbour - Grafton	60-64	0	615
Coffs Harbour - Grafton	60-64	1	510
Coffs Harbour - Grafton	60-64	2	1760
Coffs Harbour - Grafton	60-64	3	1320
Coffs Harbour - Grafton	60-64	4	522
Coffs Harbour - Grafton	60-64	5	131
Coffs Harbour - Grafton	60-64	6	85
Coffs Harbour - Grafton	65-69		375
Coffs Harbour - Grafton	65-69	0	488
Coffs Harbour - Grafton	65-69	1	411
Coffs Harbour - Grafton	65-69	2	1798
Coffs Harbour - Grafton	65-69	3	1206
Coffs Harbour - Grafton	65-69	4	506
Coffs Harbour - Grafton	65-69	5	161
Coffs Harbour - Grafton	65-69	6	73
Coffs Harbour - Grafton	70-74		312
Coffs Harbour - Grafton	70-74	0	350
Coffs Harbour - Grafton	70-74	1	277
Coffs Harbour - Grafton	70-74	2	1245
Coffs Harbour - Grafton	70-74	3	949
Coffs Harbour - Grafton	70-74	4	456
Coffs Harbour - Grafton	70-74	5	147
Coffs Harbour - Grafton	70-74	6	73
Coffs Harbour - Grafton	75-79		289
Coffs Harbour - Grafton	75-79	0	215
Coffs Harbour - Grafton	75-79	1	206
Coffs Harbour - Grafton	75-79	2	755
Coffs Harbour - Grafton	75-79	3	726
Coffs Harbour - Grafton	75-79	4	478
Coffs Harbour - Grafton	75-79	5	158
Coffs Harbour - Grafton	75-79	6	130
Coffs Harbour - Grafton	80-84		281
Coffs Harbour - Grafton	80-84	0	151
Coffs Harbour - Grafton	80-84	1	124
Coffs Harbour - Grafton	80-84	2	483
Coffs Harbour - Grafton	80-84	3	493
Coffs Harbour - Grafton	80-84	4	334
Coffs Harbour - Grafton	80-84	5	167
Coffs Harbour - Grafton	80-84	6	145
Coffs Harbour - Grafton	85+		485
Coffs Harbour - Grafton	85+	0	155
Coffs Harbour - Grafton	85+	1	172
Coffs Harbour - Grafton	85+	2	501
Coffs Harbour - Grafton	85+	3	498
Coffs Harbour - Grafton	85+	4	362
Coffs Harbour - Grafton	85+	5	179
Coffs Harbour - Grafton	85+	6	163
Far West and Orana	15-19		513
Far West and Orana	15-19	0	2564
Far West and Orana	15-19	1	80
Far West and Orana	15-19	2	14
Far West and Orana	15-19	3	4
Far West and Orana	20-24		391
Far West and Orana	20-24	0	1961
Far West and Orana	20-24	1	481
Far West and Orana	20-24	2	254
Far West and Orana	20-24	3	76
Far West and Orana	20-24	4	18
Far West and Orana	20-24	5	5
Far West and Orana	25-29		405
Far West and Orana	25-29	0	1673
Far West and Orana	25-29	1	599
Far West and Orana	25-29	2	592
Far West and Orana	25-29	3	272
Far West and Orana	25-29	4	80
Far West and Orana	25-29	5	31
Far West and Orana	25-29	6	23
Far West and Orana	30-34		348
Far West and Orana	30-34	0	781
Far West and Orana	30-34	1	592
Far West and Orana	30-34	2	919
Far West and Orana	30-34	3	528
Far West and Orana	30-34	4	203
Far West and Orana	30-34	5	85
Far West and Orana	30-34	6	45
Far West and Orana	35-39		281
Far West and Orana	35-39	0	442
Far West and Orana	35-39	1	379
Far West and Orana	35-39	2	854
Far West and Orana	35-39	3	646
Far West and Orana	35-39	4	317
Far West and Orana	35-39	5	112
Far West and Orana	35-39	6	83
Far West and Orana	40-44		336
Far West and Orana	40-44	0	372
Far West and Orana	40-44	1	335
Far West and Orana	40-44	2	940
Far West and Orana	40-44	3	743
Far West and Orana	40-44	4	345
Far West and Orana	40-44	5	145
Far West and Orana	40-44	6	118
Far West and Orana	45-49		373
Far West and Orana	45-49	0	410
Far West and Orana	45-49	1	337
Far West and Orana	45-49	2	1099
Far West and Orana	45-49	3	805
Far West and Orana	45-49	4	385
Far West and Orana	45-49	5	127
Far West and Orana	45-49	6	119
Far West and Orana	50-54		392
Far West and Orana	50-54	0	420
Far West and Orana	50-54	1	329
Far West and Orana	50-54	2	1204
Far West and Orana	50-54	3	899
Far West and Orana	50-54	4	400
Far West and Orana	50-54	5	122
Far West and Orana	50-54	6	122
Far West and Orana	55-59		396
Far West and Orana	55-59	0	390
Far West and Orana	55-59	1	311
Far West and Orana	55-59	2	1274
Far West and Orana	55-59	3	983
Far West and Orana	55-59	4	451
Far West and Orana	55-59	5	137
Far West and Orana	55-59	6	97
Far West and Orana	60-64		380
Far West and Orana	60-64	0	286
Far West and Orana	60-64	1	292
Far West and Orana	60-64	2	1047
Far West and Orana	60-64	3	885
Far West and Orana	60-64	4	408
Far West and Orana	60-64	5	133
Far West and Orana	60-64	6	101
Far West and Orana	65-69		343
Far West and Orana	65-69	0	214
Far West and Orana	65-69	1	204
Far West and Orana	65-69	2	964
Far West and Orana	65-69	3	787
Far West and Orana	65-69	4	430
Far West and Orana	65-69	5	118
Far West and Orana	65-69	6	95
Far West and Orana	70-74		301
Far West and Orana	70-74	0	181
Far West and Orana	70-74	1	167
Far West and Orana	70-74	2	673
Far West and Orana	70-74	3	628
Far West and Orana	70-74	4	377
Far West and Orana	70-74	5	164
Far West and Orana	70-74	6	116
Far West and Orana	75-79		281
Far West and Orana	75-79	0	125
Far West and Orana	75-79	1	85
Far West and Orana	75-79	2	458
Far West and Orana	75-79	3	508
Far West and Orana	75-79	4	359
Far West and Orana	75-79	5	176
Far West and Orana	75-79	6	129
Far West and Orana	80-84		226
Far West and Orana	80-84	0	87
Far West and Orana	80-84	1	87
Far West and Orana	80-84	2	253
Far West and Orana	80-84	3	322
Far West and Orana	80-84	4	273
Far West and Orana	80-84	5	141
Far West and Orana	80-84	6	149
Far West and Orana	85+		349
Far West and Orana	85+	0	104
Far West and Orana	85+	1	95
Far West and Orana	85+	2	279
Far West and Orana	85+	3	332
Far West and Orana	85+	4	279
Far West and Orana	85+	5	104
Far West and Orana	85+	6	165
Hunter Valley exc Newcastle	15-19		911
Hunter Valley exc Newcastle	15-19	0	6916
Hunter Valley exc Newcastle	15-19	1	145
Hunter Valley exc Newcastle	15-19	2	16
Hunter Valley exc Newcastle	15-19	3	3
Hunter Valley exc Newcastle	15-19	6	3
Hunter Valley exc Newcastle	20-24		568
Hunter Valley exc Newcastle	20-24	0	5336
Hunter Valley exc Newcastle	20-24	1	920
Hunter Valley exc Newcastle	20-24	2	489
Hunter Valley exc Newcastle	20-24	3	104
Hunter Valley exc Newcastle	20-24	4	17
Hunter Valley exc Newcastle	20-24	5	3
Hunter Valley exc Newcastle	25-29		574
Hunter Valley exc Newcastle	25-29	0	3512
Hunter Valley exc Newcastle	25-29	1	1581
Hunter Valley exc Newcastle	25-29	2	1517
Hunter Valley exc Newcastle	25-29	3	520
Hunter Valley exc Newcastle	25-29	4	146
Hunter Valley exc Newcastle	25-29	5	36
Hunter Valley exc Newcastle	25-29	6	25
Hunter Valley exc Newcastle	30-34		568
Hunter Valley exc Newcastle	30-34	0	1852
Hunter Valley exc Newcastle	30-34	1	1556
Hunter Valley exc Newcastle	30-34	2	2469
Hunter Valley exc Newcastle	30-34	3	1191
Hunter Valley exc Newcastle	30-34	4	357
Hunter Valley exc Newcastle	30-34	5	115
Hunter Valley exc Newcastle	30-34	6	58
Hunter Valley exc Newcastle	35-39		429
Hunter Valley exc Newcastle	35-39	0	1000
Hunter Valley exc Newcastle	35-39	1	1039
Hunter Valley exc Newcastle	35-39	2	2636
Hunter Valley exc Newcastle	35-39	3	1644
Hunter Valley exc Newcastle	35-39	4	623
Hunter Valley exc Newcastle	35-39	5	195
Hunter Valley exc Newcastle	35-39	6	125
Hunter Valley exc Newcastle	40-44		563
Hunter Valley exc Newcastle	40-44	0	901
Hunter Valley exc Newcastle	40-44	1	980
Hunter Valley exc Newcastle	40-44	2	3099
Hunter Valley exc Newcastle	40-44	3	1960
Hunter Valley exc Newcastle	40-44	4	759
Hunter Valley exc Newcastle	40-44	5	219
Hunter Valley exc Newcastle	40-44	6	167
Hunter Valley exc Newcastle	45-49		565
Hunter Valley exc Newcastle	45-49	0	901
Hunter Valley exc Newcastle	45-49	1	972
Hunter Valley exc Newcastle	45-49	2	3268
Hunter Valley exc Newcastle	45-49	3	2019
Hunter Valley exc Newcastle	45-49	4	734
Hunter Valley exc Newcastle	45-49	5	239
Hunter Valley exc Newcastle	45-49	6	158
Hunter Valley exc Newcastle	50-54		560
Hunter Valley exc Newcastle	50-54	0	900
Hunter Valley exc Newcastle	50-54	1	893
Hunter Valley exc Newcastle	50-54	2	3231
Hunter Valley exc Newcastle	50-54	3	2044
Hunter Valley exc Newcastle	50-54	4	817
Hunter Valley exc Newcastle	50-54	5	231
Hunter Valley exc Newcastle	50-54	6	164
Hunter Valley exc Newcastle	55-59		567
Hunter Valley exc Newcastle	55-59	0	824
Hunter Valley exc Newcastle	55-59	1	817
Hunter Valley exc Newcastle	55-59	2	3142
Hunter Valley exc Newcastle	55-59	3	2254
Hunter Valley exc Newcastle	55-59	4	836
Hunter Valley exc Newcastle	55-59	5	244
Hunter Valley exc Newcastle	55-59	6	138
Hunter Valley exc Newcastle	60-64		588
Hunter Valley exc Newcastle	60-64	0	725
Hunter Valley exc Newcastle	60-64	1	657
Hunter Valley exc Newcastle	60-64	2	2887
Hunter Valley exc Newcastle	60-64	3	2191
Hunter Valley exc Newcastle	60-64	4	815
Hunter Valley exc Newcastle	60-64	5	213
Hunter Valley exc Newcastle	60-64	6	127
Hunter Valley exc Newcastle	65-69		621
Hunter Valley exc Newcastle	65-69	0	631
Hunter Valley exc Newcastle	65-69	1	590
Hunter Valley exc Newcastle	65-69	2	2725
Hunter Valley exc Newcastle	65-69	3	2016
Hunter Valley exc Newcastle	65-69	4	856
Hunter Valley exc Newcastle	65-69	5	241
Hunter Valley exc Newcastle	65-69	6	120
Hunter Valley exc Newcastle	70-74		526
Hunter Valley exc Newcastle	70-74	0	420
Hunter Valley exc Newcastle	70-74	1	394
Hunter Valley exc Newcastle	70-74	2	1895
Hunter Valley exc Newcastle	70-74	3	1570
Hunter Valley exc Newcastle	70-74	4	738
Hunter Valley exc Newcastle	70-74	5	221
Hunter Valley exc Newcastle	70-74	6	129
Hunter Valley exc Newcastle	75-79		426
Hunter Valley exc Newcastle	75-79	0	323
