SA4_NAME16	Age	Sex	Volunteer	adults
Coffs Harbour - Grafton	15-19	M		487
Coffs Harbour - Grafton	15-19	M	0	2967
Coffs Harbour - Grafton	15-19	M	1	700
Coffs Harbour - Grafton	20-24	F		234
Coffs Harbour - Grafton	20-24	F	0	2214
Coffs Harbour - Grafton	20-24	F	1	518
Coffs Harbour - Grafton	20-24	M		318
Coffs Harbour - Grafton	20-24	M	0	2422
Coffs Harbour - Grafton	20-24	M	1	434
Coffs Harbour - Grafton	25-34	F		484
Coffs Harbour - Grafton	25-34	F	0	4851
Coffs Harbour - Grafton	25-34	F	1	1199
Coffs Harbour - Grafton	25-34	M		631
Coffs Harbour - Grafton	25-34	M	0	4750
Coffs Harbour - Grafton	25-34	M	1	843
Coffs Harbour - Grafton	35-44	F		530
Coffs Harbour - Grafton	35-44	F	0	5106
Coffs Harbour - Grafton	35-44	F	1	2059
Coffs Harbour - Grafton	35-44	M		608
Coffs Harbour - Grafton	35-44	M	0	5018
Coffs Harbour - Grafton	35-44	M	1	1367
Coffs Harbour - Grafton	45-54	F		692
Coffs Harbour - Grafton	45-54	F	0	6618
Coffs Harbour - Grafton	45-54	F	1	2325
Coffs Harbour - Grafton	45-54	M		711
Coffs Harbour - Grafton	45-54	M	0	6060
Coffs Harbour - Grafton	45-54	M	1	1755
Coffs Harbour - Grafton	55-64	F		786
Coffs Harbour - Grafton	55-64	F	0	7437
Coffs Harbour - Grafton	55-64	F	1	2658
Coffs Harbour - Grafton	55-64	M		933
Coffs Harbour - Grafton	55-64	M	0	7295
Coffs Harbour - Grafton	55-64	M	1	2181
Coffs Harbour - Grafton	65-74	F		796
Coffs Harbour - Grafton	65-74	F	0	5454
Coffs Harbour - Grafton	65-74	F	1	2582
Coffs Harbour - Grafton	65-74	M		799
Coffs Harbour - Grafton	65-74	M	0	6061
Coffs Harbour - Grafton	65-74	M	1	1936
Coffs Harbour - Grafton	75-84	F		841
Coffs Harbour - Grafton	75-84	F	0	3272
Coffs Harbour - Grafton	75-84	F	1	1031
Coffs Harbour - Grafton	75-84	M		644
Coffs Harbour - Grafton	75-84	M	0	3131
Coffs Harbour - Grafton	75-84	M	1	789
Coffs Harbour - Grafton	85+	F		565
Coffs Harbour - Grafton	85+	F	0	1798
Coffs Harbour - Grafton	85+	F	1	171
Coffs Harbour - Grafton	85+	M		318
Coffs Harbour - Grafton	85+	M	0	1111
Coffs Harbour - Grafton	85+	M	1	104
Far West and Orana	15-19	F		422
Far West and Orana	15-19	F	0	2138
Far West and Orana	15-19	F	1	613
Far West and Orana	15-19	M		496
Far West and Orana	15-19	M	0	2308
Far West and Orana	15-19	M	1	527
Far West and Orana	20-24	F		328
Far West and Orana	20-24	F	0	2337
Far West and Orana	20-24	F	1	511
Far West and Orana	20-24	M		488
Far West and Orana	20-24	M	0	2381
Far West and Orana	20-24	M	1	401
Far West and Orana	25-34	F		732
Far West and Orana	25-34	F	0	5041
Far West and Orana	25-34	F	1	1416
Far West and Orana	25-34	M		1027
Far West and Orana	25-34	M	0	4799
Far West and Orana	25-34	M	1	998
Far West and Orana	35-44	F		651
Far West and Orana	35-44	F	0	3886
Far West and Orana	35-44	F	1	1908
Far West and Orana	35-44	M		802
Far West and Orana	35-44	M	0	3953
Far West and Orana	35-44	M	1	1453
Far West and Orana	45-54	F		760
Far West and Orana	45-54	F	0	4718
Far West and Orana	45-54	F	1	2064
Far West and Orana	45-54	M		892
Far West and Orana	45-54	M	0	4797
Far West and Orana	45-54	M	1	1683
Far West and Orana	55-64	F		795
Far West and Orana	55-64	F	0	4974
Far West and Orana	55-64	F	1	1811
Far West and Orana	55-64	M		878
Far West and Orana	55-64	M	0	5297
Far West and Orana	55-64	M	1	1550
Far West and Orana	65-74	F		722
Far West and Orana	65-74	F	0	3406
Far West and Orana	65-74	F	1	1639
Far West and Orana	65-74	M		781
Far West and Orana	65-74	M	0	4011
Far West and Orana	65-74	M	1	1263
Far West and Orana	75-84	F		598
Far West and Orana	75-84	F	0	2195
Far West and Orana	75-84	F	1	852
Far West and Orana	75-84	M		493
Far West and Orana	75-84	M	0	2066
Far West and Orana	75-84	M	1	534
Far West and Orana	85+	F		290
Far West and Orana	85+	F	0	1248
Far West and Orana	85+	F	1	174
Far West and Orana	85+	M		205
Far West and Orana	85+	M	0	720
Far West and Orana	85+	M	1	110
Hunter Valley exc Newcastle	15-19	F		759
Hunter Valley exc Newcastle	15-19	F	0	5889
Hunter Valley exc Newcastle	15-19	F	1	1343
Hunter Valley exc Newcastle	15-19	M		825
Hunter Valley exc Newcastle	15-19	M	0	6493
Hunter Valley exc Newcastle	15-19	M	1	1103
Hunter Valley exc Newcastle	20-24	F		478
Hunter Valley exc Newcastle	20-24	F	0	5890
Hunter Valley exc Newcastle	20-24	F	1	1065
Hunter Valley exc Newcastle	20-24	M		731
Hunter Valley exc Newcastle	20-24	M	0	6096
Hunter Valley exc Newcastle	20-24	M	1	827
Hunter Valley exc Newcastle	25-34	F		1106
Hunter Valley exc Newcastle	25-34	F	0	12423
Hunter Valley exc Newcastle	25-34	F	1	2548
Hunter Valley exc Newcastle	25-34	M		1555
Hunter Valley exc Newcastle	25-34	M	0	12184
Hunter Valley exc Newcastle	25-34	M	1	1790
Hunter Valley exc Newcastle	35-44	F		1007
Hunter Valley exc Newcastle	35-44	F	0	11196
Hunter Valley exc Newcastle	35-44	F	1	4142
Hunter Valley exc Newcastle	35-44	M		1473
Hunter Valley exc Newcastle	35-44	M	0	11943
Hunter Valley exc Newcastle	35-44	M	1	2717
Hunter Valley exc Newcastle	45-54	F		1163
Hunter Valley exc Newcastle	45-54	F	0	12843
Hunter Valley exc Newcastle	45-54	F	1	3691
Hunter Valley exc Newcastle	45-54	M		1410
Hunter Valley exc Newcastle	45-54	M	0	12778
Hunter Valley exc Newcastle	45-54	M	1	2897
Hunter Valley exc Newcastle	55-64	F		1209
Hunter Valley exc Newcastle	55-64	F	0	12359
Hunter Valley exc Newcastle	55-64	F	1	3446
Hunter Valley exc Newcastle	55-64	M		1314
Hunter Valley exc Newcastle	55-64	M	0	12524
Hunter Valley exc Newcastle	55-64	M	1	2714
Hunter Valley exc Newcastle	65-74	F		1342
Hunter Valley exc Newcastle	65-74	F	0	9122
Hunter Valley exc Newcastle	65-74	F	1	3243
Hunter Valley exc Newcastle	65-74	M		1306
Hunter Valley exc Newcastle	65-74	M	0	9612
Hunter Valley exc Newcastle	65-74	M	1	2692
Hunter Valley exc Newcastle	75-84	F		1070
Hunter Valley exc Newcastle	75-84	F	0	4917
Hunter Valley exc Newcastle	75-84	F	1	1278
Hunter Valley exc Newcastle	75-84	M		912
Hunter Valley exc Newcastle	75-84	M	0	4481
Hunter Valley exc Newcastle	75-84	M	1	1018
Hunter Valley exc Newcastle	85+	F		595
Hunter Valley exc Newcastle	85+	F	0	2511
Hunter Valley exc Newcastle	85+	F	1	236
Hunter Valley exc Newcastle	85+	M		333
Hunter Valley exc Newcastle	85+	M	0	1385
Hunter Valley exc Newcastle	85+	M	1	161
Illawarra	15-19	F		635
Illawarra	15-19	F	0	6620
Illawarra	15-19	F	1	2008
Illawarra	15-19	M		656
Illawarra	15-19	M	0	7358
Illawarra	15-19	M	1	1702
Illawarra	20-24	F		588
Illawarra	20-24	F	0	7327
Illawarra	20-24	F	1	2074
Illawarra	20-24	M		620
Illawarra	20-24	M	0	8617
Illawarra	20-24	M	1	1624
Illawarra	25-34	F		967
Illawarra	25-34	F	0	14096
Illawarra	25-34	F	1	2968
Illawarra	25-34	M		1120
Illawarra	25-34	M	0	14404
Illawarra	25-34	M	1	2345
Illawarra	35-44	F		869
Illawarra	35-44	F	0	13277
Illawarra	35-44	F	1	4630
Illawarra	35-44	M		1014
Illawarra	35-44	M	0	13728
Illawarra	35-44	M	1	3274
Illawarra	45-54	F		996
Illawarra	45-54	F	0	14426
Illawarra	45-54	F	1	4202
Illawarra	45-54	M		1120
Illawarra	45-54	M	0	14237
Illawarra	45-54	M	1	3539
Illawarra	55-64	F		1042
Illawarra	55-64	F	0	14092
Illawarra	55-64	F	1	3591
Illawarra	55-64	M		1072
Illawarra	55-64	M	0	13339
Illawarra	55-64	M	1	3106
Illawarra	65-74	F		1223
Illawarra	65-74	F	0	10029
Illawarra	65-74	F	1	3224
Illawarra	65-74	M		1065
Illawarra	65-74	M	0	9806
Illawarra	65-74	M	1	2710
Illawarra	75-84	F		1179
Illawarra	75-84	F	0	6859
Illawarra	75-84	F	1	1322
Illawarra	75-84	M		911
Illawarra	75-84	M	0	5745
Illawarra	75-84	M	1	1053
Illawarra	85+	F		804
Illawarra	85+	F	0	3544
Illawarra	85+	F	1	260
Illawarra	85+	M		426
Illawarra	85+	M	0	2116
Illawarra	85+	M	1	180
Mid North Coast	15-19	F		675
Mid North Coast	15-19	F	0	3823
Mid North Coast	15-19	F	1	1204
Mid North Coast	15-19	M		768
Mid North Coast	15-19	M	0	4217
Mid North Coast	15-19	M	1	1014
Mid North Coast	20-24	F		336
Mid North Coast	20-24	F	0	3167
Mid North Coast	20-24	F	1	689
Mid North Coast	20-24	M		448
Mid North Coast	20-24	M	0	3341
Mid North Coast	20-24	M	1	540
Mid North Coast	25-34	F		664
Mid North Coast	25-34	F	0	6703
Mid North Coast	25-34	F	1	1608
Mid North Coast	25-34	M		887
Mid North Coast	25-34	M	0	6266
Mid North Coast	25-34	M	1	1139
Mid North Coast	35-44	F		727
Mid North Coast	35-44	F	0	7130
Mid North Coast	35-44	F	1	2965
Mid North Coast	35-44	M		842
Mid North Coast	35-44	M	0	7075
Mid North Coast	35-44	M	1	1968
Mid North Coast	45-54	F		1045
Mid North Coast	45-54	F	0	9769
Mid North Coast	45-54	F	1	3380
Mid North Coast	45-54	M		1148
Mid North Coast	45-54	M	0	9240
Mid North Coast	45-54	M	1	2654
Mid North Coast	55-64	F		1224
Mid North Coast	55-64	F	0	11820
Mid North Coast	55-64	F	1	4117
Mid North Coast	55-64	M		1329
Mid North Coast	55-64	M	0	11369
Mid North Coast	55-64	M	1	3259
Mid North Coast	65-74	F		1602
Mid North Coast	65-74	F	0	10575
Mid North Coast	65-74	F	1	4434
Mid North Coast	65-74	M		1588
Mid North Coast	65-74	M	0	11178
Mid North Coast	65-74	M	1	3559
Mid North Coast	75-84	F		1490
Mid North Coast	75-84	F	0	6171
Mid North Coast	75-84	F	1	1886
Mid North Coast	75-84	M		1243
Mid North Coast	75-84	M	0	6013
Mid North Coast	75-84	M	1	1453
Mid North Coast	85+	F		1002
Mid North Coast	85+	F	0	3400
Mid North Coast	85+	F	1	317
Mid North Coast	85+	M		620
Mid North Coast	85+	M	0	2148
Mid North Coast	85+	M	1	259
Murray	15-19	F		365
Murray	15-19	F	0	2075
Murray	15-19	F	1	948
Murray	15-19	M		446
Murray	15-19	M	0	2257
Murray	15-19	M	1	804
Murray	20-24	F		290
Murray	20-24	F	0	2199
Murray	20-24	F	1	634
Murray	20-24	M		316
Murray	20-24	M	0	2323
Murray	20-24	M	1	549
Murray	25-34	F		539
Murray	25-34	F	0	4360
Murray	25-34	F	1	1460
Murray	25-34	M		563
Murray	25-34	M	0	4392
Murray	25-34	M	1	1095
Murray	35-44	F		513
Murray	35-44	F	0	3850
Murray	35-44	F	1	2278
Murray	35-44	M		534
Murray	35-44	M	0	4024
Murray	35-44	M	1	1643
Murray	45-54	F		583
Murray	45-54	F	0	4650
Murray	45-54	F	1	2351
Murray	45-54	M		646
Murray	45-54	M	0	4599
Murray	45-54	M	1	2023
Murray	55-64	F		728
Murray	55-64	F	0	5256
Murray	55-64	F	1	2255
Murray	55-64	M		753
Murray	55-64	M	0	5395
Murray	55-64	M	1	1935
Murray	65-74	F		750
Murray	65-74	F	0	4034
Murray	65-74	F	1	2026
Murray	65-74	M		791
Murray	65-74	M	0	4520
Murray	65-74	M	1	1605
Murray	75-84	F		722
Murray	75-84	F	0	2460
Murray	75-84	F	1	950
Murray	75-84	M		592
Murray	75-84	M	0	2351
Murray	75-84	M	1	705
Murray	85+	F		381
Murray	85+	F	0	1379
Murray	85+	F	1	182
Murray	85+	M		274
Murray	85+	M	0	865
Murray	85+	M	1	126
New England and North West	15-19	F		758
New England and North West	15-19	F	0	3485
New England and North West	15-19	F	1	1364
New England and North West	15-19	M		872
New England and North West	15-19	M	0	3931
New England and North West	15-19	M	1	1190
New England and North West	20-24	F		528
New England and North West	20-24	F	0	3682
New England and North West	20-24	F	1	1059
New England and North West	20-24	M		529
New England and North West	20-24	M	0	3828
New England and North West	20-24	M	1	878
New England and North West	25-34	F		898
New England and North West	25-34	F	0	7103
New England and North West	25-34	F	1	2361
New England and North West	25-34	M		1035
New England and North West	25-34	M	0	7112
New England and North West	25-34	M	1	1705
New England and North West	35-44	F		874
New England and North West	35-44	F	0	6205
New England and North West	35-44	F	1	3381
New England and North West	35-44	M		1041
New England and North West	35-44	M	0	6329
New England and North West	35-44	M	1	2438
New England and North West	45-54	F		1051
New England and North West	45-54	F	0	7445
New England and North West	45-54	F	1	3457
New England and North West	45-54	M		1104
New England and North West	45-54	M	0	7451
New England and North West	45-54	M	1	2885
New England and North West	55-64	F		1140
New England and North West	55-64	F	0	7819
New England and North West	55-64	F	1	3322
New England and North West	55-64	M		1275
New England and North West	55-64	M	0	8120
New England and North West	55-64	M	1	2757
New England and North West	65-74	F		1145
New England and North West	65-74	F	0	5684
New England and North West	65-74	F	1	3165
New England and North West	65-74	M		1225
New England and North West	65-74	M	0	6217
New England and North West	65-74	M	1	2543
New England and North West	75-84	F		1034
New England and North West	75-84	F	0	3549
New England and North West	75-84	F	1	1468
New England and North West	75-84	M		824
New England and North West	75-84	M	0	3309
New England and North West	75-84	M	1	1090
New England and North West	85+	F		586
New England and North West	85+	F	0	1920
New England and North West	85+	F	1	281
New England and North West	85+	M		282
New England and North West	85+	M	0	1008
New England and North West	85+	M	1	173
Newcastle and Lake Macquarie	15-19	F		539
Newcastle and Lake Macquarie	15-19	F	0	7734
Newcastle and Lake Macquarie	15-19	F	1	2094
Newcastle and Lake Macquarie	15-19	M		665
Newcastle and Lake Macquarie	15-19	M	0	8739
Newcastle and Lake Macquarie	15-19	M	1	1651
Newcastle and Lake Macquarie	20-24	F		605
Newcastle and Lake Macquarie	20-24	F	0	9214
Newcastle and Lake Macquarie	20-24	F	1	2463
Newcastle and Lake Macquarie	20-24	M		610
Newcastle and Lake Macquarie	20-24	M	0	10128
Newcastle and Lake Macquarie	20-24	M	1	1882
Newcastle and Lake Macquarie	25-34	F		1041
Newcastle and Lake Macquarie	25-34	F	0	18230
Newcastle and Lake Macquarie	25-34	F	1	3928
Newcastle and Lake Macquarie	25-34	M		1261
Newcastle and Lake Macquarie	25-34	M	0	18736
Newcastle and Lake Macquarie	25-34	M	1	3143
Newcastle and Lake Macquarie	35-44	F		926
Newcastle and Lake Macquarie	35-44	F	0	16087
Newcastle and Lake Macquarie	35-44	F	1	5740
Newcastle and Lake Macquarie	35-44	M		1125
Newcastle and Lake Macquarie	35-44	M	0	16473
Newcastle and Lake Macquarie	35-44	M	1	3987
Newcastle and Lake Macquarie	45-54	F		1065
Newcastle and Lake Macquarie	45-54	F	0	17509
Newcastle and Lake Macquarie	45-54	F	1	5158
Newcastle and Lake Macquarie	45-54	M		1354
Newcastle and Lake Macquarie	45-54	M	0	17256
Newcastle and Lake Macquarie	45-54	M	1	4222
Newcastle and Lake Macquarie	55-64	F		1211
Newcastle and Lake Macquarie	55-64	F	0	17610
Newcastle and Lake Macquarie	55-64	F	1	4398
Newcastle and Lake Macquarie	55-64	M		1303
Newcastle and Lake Macquarie	55-64	M	0	16950
Newcastle and Lake Macquarie	55-64	M	1	3673
Newcastle and Lake Macquarie	65-74	F		1386
Newcastle and Lake Macquarie	65-74	F	0	13300
Newcastle and Lake Macquarie	65-74	F	1	4220
Newcastle and Lake Macquarie	65-74	M		1325
Newcastle and Lake Macquarie	65-74	M	0	12556
Newcastle and Lake Macquarie	65-74	M	1	3485
Newcastle and Lake Macquarie	75-84	F		1584
Newcastle and Lake Macquarie	75-84	F	0	8195
Newcastle and Lake Macquarie	75-84	F	1	1747
Newcastle and Lake Macquarie	75-84	M		1099
Newcastle and Lake Macquarie	75-84	M	0	6666
Newcastle and Lake Macquarie	75-84	M	1	1485
Newcastle and Lake Macquarie	85+	F		1672
Newcastle and Lake Macquarie	85+	F	0	4417
Newcastle and Lake Macquarie	85+	F	1	318
Newcastle and Lake Macquarie	85+	M		707
Newcastle and Lake Macquarie	85+	M	0	2556
Newcastle and Lake Macquarie	85+	M	1	259
Richmond - Tweed	15-19	F		783
Richmond - Tweed	15-19	F	0	4560
Richmond - Tweed	15-19	F	1	1391
Richmond - Tweed	15-19	M		889
Richmond - Tweed	15-19	M	0	5003
Richmond - Tweed	15-19	M	1	1158
Richmond - Tweed	20-24	F		477
Richmond - Tweed	20-24	F	0	3818
Richmond - Tweed	20-24	F	1	894
Richmond - Tweed	20-24	M		555
Richmond - Tweed	20-24	M	0	4116
Richmond - Tweed	20-24	M	1	732
Richmond - Tweed	25-34	F		967
Richmond - Tweed	25-34	F	0	8392
Richmond - Tweed	25-34	F	1	2175
Richmond - Tweed	25-34	M		1034
Richmond - Tweed	25-34	M	0	8103
Richmond - Tweed	25-34	M	1	1531
Richmond - Tweed	35-44	F		1197
Richmond - Tweed	35-44	F	0	9358
Richmond - Tweed	35-44	F	1	4147
Richmond - Tweed	35-44	M		1174
Richmond - Tweed	35-44	M	0	9247
Richmond - Tweed	35-44	M	1	2640
Richmond - Tweed	45-54	F		1439
Richmond - Tweed	45-54	F	0	11272
Richmond - Tweed	45-54	F	1	4599
Richmond - Tweed	45-54	M		1461
Richmond - Tweed	45-54	M	0	10869
Richmond - Tweed	45-54	M	1	3341
Richmond - Tweed	55-64	F		1655
Richmond - Tweed	55-64	F	0	12799
Richmond - Tweed	55-64	F	1	4774
Richmond - Tweed	55-64	M		1740
Richmond - Tweed	55-64	M	0	12518
Richmond - Tweed	55-64	M	1	3760
Richmond - Tweed	65-74	F		1436
Richmond - Tweed	65-74	F	0	9142
Richmond - Tweed	65-74	F	1	4127
Richmond - Tweed	65-74	M		1496
Richmond - Tweed	65-74	M	0	10004
Richmond - Tweed	65-74	M	1	3152
Richmond - Tweed	75-84	F		1371
Richmond - Tweed	75-84	F	0	5753
Richmond - Tweed	75-84	F	1	1847
Richmond - Tweed	75-84	M		1072
Richmond - Tweed	75-84	M	0	5262
Richmond - Tweed	75-84	M	1	1243
Richmond - Tweed	85+	F		1101
Richmond - Tweed	85+	F	0	3463
Richmond - Tweed	85+	F	1	417
Richmond - Tweed	85+	M		623
Richmond - Tweed	85+	M	0	2203
Richmond - Tweed	85+	M	1	237
Riverina	15-19	F		529
Riverina	15-19	F	0	3192
Riverina	15-19	F	1	1137
Riverina	15-19	M		624
Riverina	15-19	M	0	3650
Riverina	15-19	M	1	1015
Riverina	20-24	F		364
Riverina	20-24	F	0	3517
Riverina	20-24	F	1	939
Riverina	20-24	M		549
Riverina	20-24	M	0	3669
Riverina	20-24	M	1	729
Riverina	25-34	F		687
Riverina	25-34	F	0	6882
Riverina	25-34	F	1	1905
Riverina	25-34	M		1113
Riverina	25-34	M	0	6890
Riverina	25-34	M	1	1502
Riverina	35-44	F		703
Riverina	35-44	F	0	5546
Riverina	35-44	F	1	2807
Riverina	35-44	M		1075
Riverina	35-44	M	0	5940
Riverina	35-44	M	1	2110
Riverina	45-54	F		763
Riverina	45-54	F	0	6332
Riverina	45-54	F	1	2831
Riverina	45-54	M		1055
Riverina	45-54	M	0	6391
Riverina	45-54	M	1	2506
Riverina	55-64	F		889
Riverina	55-64	F	0	6412
Riverina	55-64	F	1	2562
Riverina	55-64	M		1027
Riverina	55-64	M	0	6601
Riverina	55-64	M	1	2330
Riverina	65-74	F		817
Riverina	65-74	F	0	4355
Riverina	65-74	F	1	2433
Riverina	65-74	M		895
Riverina	65-74	M	0	4638
Riverina	65-74	M	1	1917
Riverina	75-84	F		811
Riverina	75-84	F	0	2928
Riverina	75-84	F	1	1143
Riverina	75-84	M		684
Riverina	75-84	M	0	2647
Riverina	75-84	M	1	851
Riverina	85+	F		539
Riverina	85+	F	0	1767
Riverina	85+	F	1	223
Riverina	85+	M		267
Riverina	85+	M	0	1019
Riverina	85+	M	1	134
Southern Highlands and Shoalhaven	15-19	F		439
Southern Highlands and Shoalhaven	15-19	F	0	2872
Southern Highlands and Shoalhaven	15-19	F	1	868
Southern Highlands and Shoalhaven	15-19	M		530
Southern Highlands and Shoalhaven	15-19	M	0	3034
Southern Highlands and Shoalhaven	15-19	M	1	586
Southern Highlands and Shoalhaven	20-24	F		242
Southern Highlands and Shoalhaven	20-24	F	0	2337
Southern Highlands and Shoalhaven	20-24	F	1	473
Southern Highlands and Shoalhaven	20-24	M		388
Southern Highlands and Shoalhaven	20-24	M	0	2665
Southern Highlands and Shoalhaven	20-24	M	1	411
Southern Highlands and Shoalhaven	25-34	F		456
Southern Highlands and Shoalhaven	25-34	F	0	5019
Southern Highlands and Shoalhaven	25-34	F	1	1131
Southern Highlands and Shoalhaven	25-34	M		777
Southern Highlands and Shoalhaven	25-34	M	0	5009
Southern Highlands and Shoalhaven	25-34	M	1	877
Southern Highlands and Shoalhaven	35-44	F		515
Southern Highlands and Shoalhaven	35-44	F	0	5109
Southern Highlands and Shoalhaven	35-44	F	1	2136
Southern Highlands and Shoalhaven	35-44	M		779
Southern Highlands and Shoalhaven	35-44	M	0	5210
Southern Highlands and Shoalhaven	35-44	M	1	1388
Southern Highlands and Shoalhaven	45-54	F		687
Southern Highlands and Shoalhaven	45-54	F	0	6693
Southern Highlands and Shoalhaven	45-54	F	1	2415
Southern Highlands and Shoalhaven	45-54	M		814
Southern Highlands and Shoalhaven	45-54	M	0	6325
Southern Highlands and Shoalhaven	45-54	M	1	1815
Southern Highlands and Shoalhaven	55-64	F		821
Southern Highlands and Shoalhaven	55-64	F	0	7916
Southern Highlands and Shoalhaven	55-64	F	1	2775
Southern Highlands and Shoalhaven	55-64	M		816
Southern Highlands and Shoalhaven	55-64	M	0	7452
Southern Highlands and Shoalhaven	55-64	M	1	2187
Southern Highlands and Shoalhaven	65-74	F		985
Southern Highlands and Shoalhaven	65-74	F	0	7142
Southern Highlands and Shoalhaven	65-74	F	1	3200
Southern Highlands and Shoalhaven	65-74	M		976
Southern Highlands and Shoalhaven	65-74	M	0	7199
Southern Highlands and Shoalhaven	65-74	M	1	2568
Southern Highlands and Shoalhaven	75-84	F		905
Southern Highlands and Shoalhaven	75-84	F	0	3992
Southern Highlands and Shoalhaven	75-84	F	1	1374
Southern Highlands and Shoalhaven	75-84	M		757
