SA4_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Capital Region	GBR	2011	64
Capital Region	GBR	2012	80
Capital Region	GBR	2013	62
Capital Region	GBR	2014	59
Capital Region	GBR	2015	57
Capital Region	GBR	2016	20
Capital Region	GRC		15
Capital Region	GRC	1955	37
Capital Region	GRC	1965	118
Capital Region	GRC	1975	74
Capital Region	GRC	1985	10
Capital Region	GRC	1995	7
Capital Region	GRC	2005	4
Capital Region	GRC	2010	3
Capital Region	GRC	2011	3
Capital Region	HKG		17
Capital Region	HKG	1946	3
Capital Region	HKG	1965	13
Capital Region	HKG	1975	15
Capital Region	HKG	1985	14
Capital Region	HKG	1995	24
Capital Region	HKG	2005	9
Capital Region	HKG	2010	12
Capital Region	HKG	2014	8
Capital Region	HKG	2015	3
Capital Region	HRV		20
Capital Region	HRV	1955	9
Capital Region	HRV	1965	99
Capital Region	HRV	1975	200
Capital Region	HRV	1985	9
Capital Region	HRV	1995	22
Capital Region	HRV	2005	12
Capital Region	IDN		5
Capital Region	IDN	1955	21
Capital Region	IDN	1965	16
Capital Region	IDN	1975	12
Capital Region	IDN	1985	16
Capital Region	IDN	1995	31
Capital Region	IDN	2005	31
Capital Region	IDN	2010	21
Capital Region	IDN	2011	3
Capital Region	IDN	2012	7
Capital Region	IDN	2013	8
Capital Region	IDN	2014	12
Capital Region	IDN	2015	20
Capital Region	IDN	2016	8
Capital Region	IND		30
Capital Region	IND	1946	3
Capital Region	IND	1955	13
Capital Region	IND	1965	16
Capital Region	IND	1975	50
Capital Region	IND	1985	14
Capital Region	IND	1995	46
Capital Region	IND	2005	114
Capital Region	IND	2010	482
Capital Region	IND	2011	54
Capital Region	IND	2012	64
Capital Region	IND	2013	64
Capital Region	IND	2014	115
Capital Region	IND	2015	85
Capital Region	IND	2016	52
Capital Region	IRL		13
Capital Region	IRL	1955	14
Capital Region	IRL	1965	33
Capital Region	IRL	1975	98
Capital Region	IRL	1985	41
Capital Region	IRL	1995	37
Capital Region	IRL	2005	31
Capital Region	IRL	2010	52
Capital Region	IRL	2011	16
Capital Region	IRL	2012	30
Capital Region	IRL	2013	12
Capital Region	IRL	2014	8
Capital Region	IRL	2015	4
Capital Region	IRL	2016	3
Capital Region	IRN		6
Capital Region	IRN	1975	3
Capital Region	IRN	1985	8
Capital Region	IRN	1995	11
Capital Region	IRN	2005	4
Capital Region	IRN	2010	15
Capital Region	IRN	2012	3
Capital Region	IRN	2014	3
Capital Region	IRN	2015	12
Capital Region	IRN	2016	3
Capital Region	IRQ		8
Capital Region	IRQ	1975	4
Capital Region	IRQ	1985	3
Capital Region	IRQ	1995	3
Capital Region	IRQ	2005	5
Capital Region	IRQ	2010	6
Capital Region	IRQ	2011	7
Capital Region	IRQ	2014	7
Capital Region	ITA		37
Capital Region	ITA	1946	10
Capital Region	ITA	1955	154
Capital Region	ITA	1965	310
Capital Region	ITA	1975	163
Capital Region	ITA	1985	33
Capital Region	ITA	1995	15
Capital Region	ITA	2005	13
Capital Region	ITA	2010	9
Capital Region	ITA	2013	3
Capital Region	ITA	2014	3
Capital Region	ITA	2015	3
Capital Region	JPN		8
Capital Region	JPN	1955	7
Capital Region	JPN	1975	6
Capital Region	JPN	1985	5
Capital Region	JPN	1995	9
Capital Region	JPN	2005	19
Capital Region	JPN	2010	8
Capital Region	JPN	2011	8
Capital Region	JPN	2012	6
Capital Region	JPN	2013	4
Capital Region	JPN	2015	4
Capital Region	KOR		10
Capital Region	KOR	1975	5
Capital Region	KOR	1985	10
Capital Region	KOR	1995	19
Capital Region	KOR	2005	35
Capital Region	KOR	2010	27
Capital Region	KOR	2011	6
Capital Region	KOR	2012	3
Capital Region	KOR	2013	6
Capital Region	KOR	2014	10
Capital Region	KOR	2015	16
Capital Region	KOR	2016	26
Capital Region	LBN		21
Capital Region	LBN	1955	5
Capital Region	LBN	1965	9
Capital Region	LBN	1975	37
Capital Region	LBN	1985	28
Capital Region	LBN	1995	24
Capital Region	LBN	2005	23
Capital Region	LBN	2010	11
Capital Region	LBN	2014	4
Capital Region	LBN	2015	4
Capital Region	LBN	2016	6
Capital Region	LKA		7
Capital Region	LKA	1955	7
Capital Region	LKA	1965	5
Capital Region	LKA	1975	11
Capital Region	LKA	1985	7
Capital Region	LKA	1995	26
Capital Region	LKA	2005	21
Capital Region	LKA	2010	46
Capital Region	LKA	2011	8
Capital Region	LKA	2012	4
Capital Region	LKA	2013	17
Capital Region	LKA	2014	3
Capital Region	LKA	2015	10
Capital Region	LKA	2016	3
Capital Region	MKD		24
Capital Region	MKD	1955	13
Capital Region	MKD	1965	28
Capital Region	MKD	1975	192
Capital Region	MKD	1985	59
Capital Region	MKD	1995	143
Capital Region	MKD	2005	49
Capital Region	MKD	2010	25
Capital Region	MKD	2011	3
Capital Region	MKD	2012	5
Capital Region	MKD	2013	12
Capital Region	MKD	2014	11
Capital Region	MKD	2015	8
Capital Region	MLT		13
Capital Region	MLT	1946	3
Capital Region	MLT	1955	90
Capital Region	MLT	1965	82
Capital Region	MLT	1975	21
Capital Region	MLT	1985	9
Capital Region	MYS		14
Capital Region	MYS	1955	4
Capital Region	MYS	1965	31
Capital Region	MYS	1975	43
Capital Region	MYS	1985	43
Capital Region	MYS	1995	24
Capital Region	MYS	2005	25
Capital Region	MYS	2010	24
Capital Region	MYS	2011	6
Capital Region	NLD		31
Capital Region	NLD	1946	3
Capital Region	NLD	1955	287
Capital Region	NLD	1965	236
Capital Region	NLD	1975	72
Capital Region	NLD	1985	69
Capital Region	NLD	1995	26
Capital Region	NLD	2005	46
Capital Region	NLD	2010	11
Capital Region	NLD	2011	3
Capital Region	NLD	2012	4
Capital Region	NLD	2013	6
Capital Region	NLD	2014	5
Capital Region	NLD	2015	5
Capital Region	NLD	2016	3
Capital Region	NZL		133
Capital Region	NZL	1946	8
Capital Region	NZL	1955	34
Capital Region	NZL	1965	109
Capital Region	NZL	1975	437
Capital Region	NZL	1985	605
Capital Region	NZL	1995	432
Capital Region	NZL	2005	400
Capital Region	NZL	2010	218
Capital Region	NZL	2011	55
Capital Region	NZL	2012	46
Capital Region	NZL	2013	50
Capital Region	NZL	2014	37
Capital Region	NZL	2015	34
Capital Region	NZL	2016	16
Capital Region	PAK		9
Capital Region	PAK	1965	3
Capital Region	PAK	1975	7
Capital Region	PAK	1985	4
Capital Region	PAK	1995	3
Capital Region	PAK	2005	16
Capital Region	PAK	2010	42
Capital Region	PAK	2011	11
Capital Region	PAK	2012	8
Capital Region	PAK	2013	7
Capital Region	PAK	2014	15
Capital Region	PAK	2015	15
Capital Region	PAK	2016	10
Capital Region	PHL		35
Capital Region	PHL	1965	6
Capital Region	PHL	1975	12
Capital Region	PHL	1985	89
Capital Region	PHL	1995	149
Capital Region	PHL	2005	127
Capital Region	PHL	2010	199
Capital Region	PHL	2011	58
Capital Region	PHL	2012	54
Capital Region	PHL	2013	65
Capital Region	PHL	2014	83
Capital Region	PHL	2015	45
Capital Region	PHL	2016	31
Capital Region	POL		11
Capital Region	POL	1955	34
Capital Region	POL	1965	38
Capital Region	POL	1975	15
Capital Region	POL	1985	48
Capital Region	POL	1995	34
Capital Region	POL	2005	9
Capital Region	POL	2010	10
Capital Region	POL	2012	7
Capital Region	POL	2014	3
Capital Region	SGP		6
Capital Region	SGP	1955	6
Capital Region	SGP	1965	5
Capital Region	SGP	1975	18
Capital Region	SGP	1985	19
Capital Region	SGP	1995	20
Capital Region	SGP	2005	14
Capital Region	SGP	2010	9
Capital Region	SGP	2011	3
Capital Region	SGP	2014	6
Capital Region	SGP	2015	8
Capital Region	THA		19
Capital Region	THA	1965	3
Capital Region	THA	1975	14
Capital Region	THA	1985	15
Capital Region	THA	1995	34
Capital Region	THA	2005	58
Capital Region	THA	2010	66
Capital Region	THA	2011	18
Capital Region	THA	2012	8
Capital Region	THA	2013	17
Capital Region	THA	2014	11
Capital Region	THA	2015	11
Capital Region	THA	2016	10
Capital Region	TUR		3
Capital Region	TUR	1975	13
Capital Region	TUR	1985	7
Capital Region	TUR	1995	14
Capital Region	TUR	2005	8
Capital Region	TUR	2014	3
Capital Region	USA		27
Capital Region	USA	1955	9
Capital Region	USA	1965	28
Capital Region	USA	1975	135
Capital Region	USA	1985	92
Capital Region	USA	1995	108
Capital Region	USA	2005	166
Capital Region	USA	2010	117
Capital Region	USA	2011	44
Capital Region	USA	2012	24
Capital Region	USA	2013	16
Capital Region	USA	2014	20
Capital Region	USA	2015	26
Capital Region	USA	2016	11
Capital Region	VNM		38
Capital Region	VNM	1965	3
Capital Region	VNM	1975	7
Capital Region	VNM	1985	50
Capital Region	VNM	1995	28
Capital Region	VNM	2005	18
Capital Region	VNM	2010	33
Capital Region	VNM	2011	3
Capital Region	VNM	2012	4
Capital Region	VNM	2013	6
Capital Region	VNM	2014	6
Capital Region	ZAF		17
Capital Region	ZAF	1965	37
Capital Region	ZAF	1975	57
Capital Region	ZAF	1985	82
Capital Region	ZAF	1995	64
Capital Region	ZAF	2005	134
Capital Region	ZAF	2010	101
Capital Region	ZAF	2011	17
Capital Region	ZAF	2012	12
Capital Region	ZAF	2013	10
Capital Region	ZAF	2014	7
Capital Region	ZAF	2015	20
Capital Region	ZAF	2016	16
Capital Region	ZWE	1965	14
Capital Region	ZWE	1975	6
Capital Region	ZWE	1985	21
Capital Region	ZWE	1995	6
Capital Region	ZWE	2005	31
Capital Region	ZWE	2010	21
Capital Region	ZWE	2011	8
Capital Region	ZWE	2012	4
Capital Region	ZWE	2014	4
Capital Region	ZWE	2015	4
Capital Region	ZWE	2016	3
Central Coast			197
Central Coast		1946	30
Central Coast		1955	301
Central Coast		1965	521
Central Coast		1975	1466
Central Coast		1985	757
Central Coast		1995	770
Central Coast		2005	875
Central Coast		2010	646
Central Coast		2011	117
Central Coast		2012	125
Central Coast		2013	89
Central Coast		2014	113
Central Coast		2015	93
Central Coast		2016	53
Central Coast	CAN		11
Central Coast	CAN	1955	8
Central Coast	CAN	1965	20
Central Coast	CAN	1975	89
Central Coast	CAN	1985	74
Central Coast	CAN	1995	73
Central Coast	CAN	2005	136
Central Coast	CAN	2010	88
Central Coast	CAN	2011	9
Central Coast	CAN	2012	18
Central Coast	CAN	2013	14
Central Coast	CAN	2014	4
Central Coast	CAN	2015	12
Central Coast	CAN	2016	6
Central Coast	CHN		70
Central Coast	CHN	1946	13
Central Coast	CHN	1955	42
Central Coast	CHN	1965	79
Central Coast	CHN	1975	15
Central Coast	CHN	1985	60
Central Coast	CHN	1995	204
Central Coast	CHN	2005	376
Central Coast	CHN	2010	326
Central Coast	CHN	2011	56
Central Coast	CHN	2012	60
Central Coast	CHN	2013	68
Central Coast	CHN	2014	61
Central Coast	CHN	2015	43
Central Coast	CHN	2016	32
Central Coast	DEU		45
Central Coast	DEU	1946	7
Central Coast	DEU	1955	338
Central Coast	DEU	1965	252
Central Coast	DEU	1975	135
Central Coast	DEU	1985	96
Central Coast	DEU	1995	73
Central Coast	DEU	2005	102
Central Coast	DEU	2010	84
Central Coast	DEU	2011	9
Central Coast	DEU	2012	10
Central Coast	DEU	2013	13
Central Coast	DEU	2014	7
Central Coast	DEU	2016	5
Central Coast	EGY		12
Central Coast	EGY	1955	72
Central Coast	EGY	1965	95
Central Coast	EGY	1975	78
Central Coast	EGY	1985	21
Central Coast	EGY	1995	25
Central Coast	EGY	2005	10
Central Coast	EGY	2010	15
Central Coast	EGY	2011	6
Central Coast	EGY	2012	6
Central Coast	EGY	2013	4
Central Coast	EGY	2016	3
Central Coast	FJI		25
Central Coast	FJI	1955	4
Central Coast	FJI	1965	18
Central Coast	FJI	1975	42
Central Coast	FJI	1985	58
Central Coast	FJI	1995	115
Central Coast	FJI	2005	45
Central Coast	FJI	2010	32
Central Coast	FJI	2011	12
Central Coast	FJI	2012	10
Central Coast	FJI	2013	5
Central Coast	FJI	2014	3
Central Coast	FJI	2015	4
Central Coast	FJI	2016	5
Central Coast	GBR		603
Central Coast	GBR	1946	119
Central Coast	GBR	1955	1313
Central Coast	GBR	1965	2989
Central Coast	GBR	1975	4487
Central Coast	GBR	1985	1951
Central Coast	GBR	1995	1831
Central Coast	GBR	2005	2041
Central Coast	GBR	2010	1491
Central Coast	GBR	2011	255
Central Coast	GBR	2012	262
Central Coast	GBR	2013	220
Central Coast	GBR	2014	178
Central Coast	GBR	2015	150
Central Coast	GBR	2016	63
Central Coast	GRC		10
Central Coast	GRC	1955	54
Central Coast	GRC	1965	135
Central Coast	GRC	1975	92
Central Coast	GRC	1985	13
Central Coast	GRC	1995	3
Central Coast	GRC	2005	11
Central Coast	GRC	2012	4
Central Coast	HKG		14
Central Coast	HKG	1946	6
Central Coast	HKG	1955	5
Central Coast	HKG	1965	15
Central Coast	HKG	1975	33
Central Coast	HKG	1985	41
Central Coast	HKG	1995	65
Central Coast	HKG	2005	47
Central Coast	HKG	2010	15
Central Coast	HKG	2011	3
Central Coast	HKG	2012	5
Central Coast	HKG	2013	3
Central Coast	HKG	2014	8
Central Coast	HKG	2015	4
Central Coast	HRV		13
Central Coast	HRV	1955	15
Central Coast	HRV	1965	75
Central Coast	HRV	1975	115
Central Coast	HRV	1985	9
Central Coast	HRV	1995	14
Central Coast	HRV	2005	6
Central Coast	HRV	2010	4
Central Coast	HRV	2013	8
Central Coast	IDN		12
Central Coast	IDN	1946	3
Central Coast	IDN	1955	24
Central Coast	IDN	1965	16
Central Coast	IDN	1975	23
Central Coast	IDN	1985	42
Central Coast	IDN	1995	45
Central Coast	IDN	2005	75
Central Coast	IDN	2010	54
Central Coast	IDN	2011	16
Central Coast	IDN	2012	8
Central Coast	IDN	2013	17
Central Coast	IDN	2014	16
Central Coast	IDN	2015	18
Central Coast	IDN	2016	5
Central Coast	IND		51
Central Coast	IND	1946	3
Central Coast	IND	1955	35
Central Coast	IND	1965	33
Central Coast	IND	1975	127
Central Coast	IND	1985	61
Central Coast	IND	1995	70
Central Coast	IND	2005	169
Central Coast	IND	2010	393
Central Coast	IND	2011	88
Central Coast	IND	2012	104
Central Coast	IND	2013	76
Central Coast	IND	2014	77
Central Coast	IND	2015	66
Central Coast	IND	2016	46
Central Coast	IRL		35
Central Coast	IRL	1946	5
Central Coast	IRL	1955	35
Central Coast	IRL	1965	83
Central Coast	IRL	1975	259
Central Coast	IRL	1985	105
Central Coast	IRL	1995	178
Central Coast	IRL	2005	131
Central Coast	IRL	2010	121
Central Coast	IRL	2011	22
Central Coast	IRL	2012	36
Central Coast	IRL	2013	8
Central Coast	IRL	2014	12
Central Coast	IRL	2016	9
Central Coast	IRN	1975	16
Central Coast	IRN	1985	11
Central Coast	IRN	1995	23
Central Coast	IRN	2005	23
Central Coast	IRN	2010	19
Central Coast	IRN	2011	10
Central Coast	IRN	2012	3
Central Coast	IRN	2013	3
Central Coast	IRN	2015	4
Central Coast	IRN	2016	8
Central Coast	IRQ		4
Central Coast	IRQ	1965	3
Central Coast	IRQ	1975	7
Central Coast	IRQ	1985	3
Central Coast	IRQ	1995	8
Central Coast	IRQ	2005	9
Central Coast	IRQ	2010	8
Central Coast	IRQ	2011	3
Central Coast	IRQ	2013	3
Central Coast	IRQ	2016	6
Central Coast	ITA		44
Central Coast	ITA	1946	16
Central Coast	ITA	1955	225
Central Coast	ITA	1965	310
Central Coast	ITA	1975	188
Central Coast	ITA	1985	30
Central Coast	ITA	1995	14
Central Coast	ITA	2005	12
Central Coast	ITA	2010	20
Central Coast	ITA	2011	6
Central Coast	ITA	2012	6
Central Coast	ITA	2013	7
Central Coast	ITA	2014	3
Central Coast	JPN		11
Central Coast	JPN	1955	3
Central Coast	JPN	1965	3
Central Coast	JPN	1975	9
Central Coast	JPN	1985	22
Central Coast	JPN	1995	52
Central Coast	JPN	2005	98
Central Coast	JPN	2010	37
Central Coast	JPN	2011	5
Central Coast	JPN	2012	7
Central Coast	JPN	2013	5
Central Coast	JPN	2014	5
Central Coast	JPN	2015	10
Central Coast	KOR		5
Central Coast	KOR	1975	3
Central Coast	KOR	1985	42
Central Coast	KOR	1995	101
Central Coast	KOR	2005	187
Central Coast	KOR	2010	150
Central Coast	KOR	2011	23
Central Coast	KOR	2012	8
Central Coast	KOR	2013	17
Central Coast	KOR	2014	13
Central Coast	KOR	2015	22
Central Coast	KOR	2016	11
Central Coast	LBN		10
Central Coast	LBN	1955	13
Central Coast	LBN	1965	22
Central Coast	LBN	1975	65
Central Coast	LBN	1985	26
Central Coast	LBN	1995	21
Central Coast	LBN	2005	14
Central Coast	LBN	2010	11
Central Coast	LKA		9
Central Coast	LKA	1946	3
Central Coast	LKA	1955	3
Central Coast	LKA	1965	31
Central Coast	LKA	1975	43
Central Coast	LKA	1985	30
Central Coast	LKA	1995	41
Central Coast	LKA	2005	21
Central Coast	LKA	2010	27
Central Coast	LKA	2011	12
Central Coast	LKA	2012	8
Central Coast	LKA	2013	3
Central Coast	LKA	2014	3
Central Coast	LKA	2015	11
Central Coast	LKA	2016	3
Central Coast	MKD	1965	3
Central Coast	MKD	1975	24
Central Coast	MKD	1985	3
Central Coast	MKD	1995	6
Central Coast	MLT		24
Central Coast	MLT	1946	4
Central Coast	MLT	1955	258
Central Coast	MLT	1965	223
Central Coast	MLT	1975	93
Central Coast	MLT	1985	17
Central Coast	MLT	1995	12
Central Coast	MLT	2005	8
Central Coast	MLT	2010	3
Central Coast	MYS		24
Central Coast	MYS	1946	5
Central Coast	MYS	1955	6
Central Coast	MYS	1965	34
Central Coast	MYS	1975	60
Central Coast	MYS	1985	72
Central Coast	MYS	1995	67
Central Coast	MYS	2005	46
Central Coast	MYS	2010	34
Central Coast	MYS	2011	11
Central Coast	MYS	2012	11
Central Coast	MYS	2013	7
Central Coast	MYS	2014	8
Central Coast	MYS	2015	17
Central Coast	MYS	2016	6
Central Coast	NLD		38
Central Coast	NLD	1946	8
Central Coast	NLD	1955	340
Central Coast	NLD	1965	278
Central Coast	NLD	1975	124
Central Coast	NLD	1985	70
Central Coast	NLD	1995	41
Central Coast	NLD	2005	45
Central Coast	NLD	2010	40
Central Coast	NLD	2011	4
Central Coast	NLD	2012	3
Central Coast	NLD	2013	3
Central Coast	NLD	2014	12
Central Coast	NZL		238
Central Coast	NZL	1946	31
Central Coast	NZL	1955	61
Central Coast	NZL	1965	185
Central Coast	NZL	1975	685
Central Coast	NZL	1985	1374
Central Coast	NZL	1995	1106
Central Coast	NZL	2005	1061
Central Coast	NZL	2010	412
Central Coast	NZL	2011	80
Central Coast	NZL	2012	90
Central Coast	NZL	2013	47
Central Coast	NZL	2014	55
Central Coast	NZL	2015	56
Central Coast	NZL	2016	39
Central Coast	PAK		8
Central Coast	PAK	1965	3
Central Coast	PAK	1975	6
Central Coast	PAK	1985	7
Central Coast	PAK	1995	22
Central Coast	PAK	2005	18
Central Coast	PAK	2010	26
Central Coast	PAK	2011	5
Central Coast	PAK	2012	5
Central Coast	PAK	2013	3
Central Coast	PAK	2014	6
Central Coast	PAK	2015	19
Central Coast	PAK	2016	13
Central Coast	PHL		69
Central Coast	PHL	1965	14
Central Coast	PHL	1975	59
Central Coast	PHL	1985	229
Central Coast	PHL	1995	490
Central Coast	PHL	2005	303
Central Coast	PHL	2010	250
Central Coast	PHL	2011	38
Central Coast	PHL	2012	65
Central Coast	PHL	2013	88
Central Coast	PHL	2014	65
Central Coast	PHL	2015	59
Central Coast	PHL	2016	24
Central Coast	POL		7
Central Coast	POL	1955	31
Central Coast	POL	1965	33
Central Coast	POL	1975	21
Central Coast	POL	1985	110
Central Coast	POL	1995	56
Central Coast	POL	2005	38
Central Coast	POL	2010	27
Central Coast	POL	2011	3
Central Coast	POL	2013	9
Central Coast	POL	2015	3
Central Coast	SGP		8
Central Coast	SGP	1955	3
Central Coast	SGP	1965	16
Central Coast	SGP	1975	38
Central Coast	SGP	1985	28
Central Coast	SGP	1995	20
Central Coast	SGP	2005	37
Central Coast	SGP	2010	20
Central Coast	SGP	2011	5
Central Coast	SGP	2012	4
Central Coast	SGP	2013	12
Central Coast	SGP	2014	7
Central Coast	SGP	2015	3
Central Coast	SGP	2016	5
Central Coast	THA		39
Central Coast	THA	1975	3
Central Coast	THA	1985	13
Central Coast	THA	1995	59
Central Coast	THA	2005	153
Central Coast	THA	2010	139
Central Coast	THA	2011	26
Central Coast	THA	2012	16
Central Coast	THA	2013	40
Central Coast	THA	2014	33
Central Coast	THA	2015	27
Central Coast	THA	2016	8
Central Coast	TUR		5
Central Coast	TUR	1975	26
Central Coast	TUR	1985	10
Central Coast	TUR	1995	15
Central Coast	TUR	2005	18
Central Coast	TUR	2010	3
Central Coast	USA		34
Central Coast	USA	1946	3
Central Coast	USA	1955	13
Central Coast	USA	1965	47
Central Coast	USA	1975	135
Central Coast	USA	1985	100
Central Coast	USA	1995	148
Central Coast	USA	2005	226
Central Coast	USA	2010	169
Central Coast	USA	2011	45
Central Coast	USA	2012	41
Central Coast	USA	2013	24
Central Coast	USA	2014	29
Central Coast	USA	2015	28
Central Coast	USA	2016	24
Central Coast	VNM		22
Central Coast	VNM	1975	12
Central Coast	VNM	1985	64
Central Coast	VNM	1995	46
Central Coast	VNM	2005	35
Central Coast	VNM	2010	43
Central Coast	VNM	2011	10
Central Coast	VNM	2012	14
Central Coast	VNM	2013	14
Central Coast	VNM	2014	17
Central Coast	VNM	2015	21
Central Coast	VNM	2016	5
Central Coast	ZAF		38
Central Coast	ZAF	1946	3
Central Coast	ZAF	1955	3
Central Coast	ZAF	1965	42
Central Coast	ZAF	1975	126
Central Coast	ZAF	1985	216
Central Coast	ZAF	1995	201
Central Coast	ZAF	2005	499
Central Coast	ZAF	2010	304
Central Coast	ZAF	2011	53
Central Coast	ZAF	2012	20
Central Coast	ZAF	2013	33
Central Coast	ZAF	2014	22
Central Coast	ZAF	2015	39
Central Coast	ZAF	2016	20
Central Coast	ZWE		3
Central Coast	ZWE	1965	5
Central Coast	ZWE	1975	9
Central Coast	ZWE	1985	33
Central Coast	ZWE	1995	16
Central Coast	ZWE	2005	97
Central Coast	ZWE	2010	75
Central Coast	ZWE	2011	5
Central Coast	ZWE	2013	18
Central Coast	ZWE	2014	10
Central Coast	ZWE	2015	5
Central Coast	ZWE	2016	4
Central West			144
Central West		1946	15
Central West		1955	135
Central West		1965	176
Central West		1975	401
Central West		1985	167
Central West		1995	167
Central West		2005	320
Central West		2010	284
Central West		2011	50
Central West		2012	67
Central West		2013	44
Central West		2014	64
Central West		2015	59
Central West		2016	53
Central West	CAN		3
Central West	CAN	1946	3
Central West	CAN	1955	4
Central West	CAN	1965	5
Central West	CAN	1975	26
Central West	CAN	1985	19
Central West	CAN	1995	17
Central West	CAN	2005	30
Central West	CAN	2010	44
Central West	CAN	2011	10
Central West	CAN	2012	3
Central West	CAN	2013	7
Central West	CAN	2014	12
Central West	CAN	2015	4
Central West	CAN	2016	6
Central West	CHN		50
Central West	CHN	1955	6
Central West	CHN	1965	32
Central West	CHN	1975	12
Central West	CHN	1985	35
Central West	CHN	1995	50
Central West	CHN	2005	81
Central West	CHN	2010	93
Central West	CHN	2011	23
Central West	CHN	2012	25
Central West	CHN	2013	16
Central West	CHN	2014	28
Central West	CHN	2015	15
Central West	CHN	2016	9
Central West	DEU		23
Central West	DEU	1946	3
Central West	DEU	1955	239
Central West	DEU	1965	101
Central West	DEU	1975	55
Central West	DEU	1985	40
Central West	DEU	1995	40
Central West	DEU	2005	9
Central West	DEU	2010	12
Central West	DEU	2011	7
Central West	DEU	2012	4
Central West	DEU	2015	3
Central West	EGY		6
Central West	EGY	1955	3
Central West	EGY	1965	6
Central West	EGY	1975	8
Central West	EGY	1995	3
Central West	EGY	2005	11
Central West	EGY	2010	15
Central West	EGY	2012	8
Central West	FJI		17
Central West	FJI	1965	6
Central West	FJI	1975	5
Central West	FJI	1985	14
Central West	FJI	1995	45
Central West	FJI	2005	30
Central West	FJI	2010	23
Central West	FJI	2011	5
Central West	FJI	2012	4
Central West	FJI	2014	5
Central West	FJI	2015	3
Central West	GBR		222
Central West	GBR	1946	61
Central West	GBR	1955	496
Central West	GBR	1965	926
Central West	GBR	1975	1398
Central West	GBR	1985	465
Central West	GBR	1995	309
Central West	GBR	2005	285
Central West	GBR	2010	173
Central West	GBR	2011	40
Central West	GBR	2012	58
Central West	GBR	2013	54
Central West	GBR	2014	24
Central West	GBR	2015	29
Central West	GBR	2016	24
Central West	GRC		9
Central West	GRC	1955	18
Central West	GRC	1965	46
Central West	GRC	1975	30
Central West	GRC	1985	5
Central West	GRC	2005	3
Central West	HKG		14
Central West	HKG	1965	9
Central West	HKG	1975	16
Central West	HKG	1985	28
Central West	HKG	1995	19
Central West	HKG	2005	7
Central West	HKG	2010	7
Central West	HKG	2014	6
Central West	HKG	2015	3
Central West	HKG	2016	3
Central West	HRV		7
Central West	HRV	1955	7
Central West	HRV	1965	33
Central West	HRV	1975	61
Central West	HRV	1985	3
Central West	HRV	1995	3
Central West	HRV	2005	6
Central West	IDN		8
Central West	IDN	1955	10
Central West	IDN	1965	13
Central West	IDN	1975	4
Central West	IDN	1985	3
Central West	IDN	1995	10
Central West	IDN	2005	14
Central West	IDN	2010	13
Central West	IDN	2011	3
Central West	IDN	2012	10
Central West	IDN	2013	4
Central West	IDN	2015	4
