SA4_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Capital Region	35-44	Year 12	F	8339
Capital Region	35-44	Year 12	M	6596
Capital Region	45-54		F	1256
Capital Region	45-54		M	1538
Capital Region	45-54	Did not go to school	F	25
Capital Region	45-54	Did not go to school	M	44
Capital Region	45-54	Year 8 or below	F	279
Capital Region	45-54	Year 8 or below	M	416
Capital Region	45-54	Year 9	F	713
Capital Region	45-54	Year 9	M	916
Capital Region	45-54	Year 10	F	5081
Capital Region	45-54	Year 10	M	5477
Capital Region	45-54	Year 11	F	1192
Capital Region	45-54	Year 11	M	1120
Capital Region	45-54	Year 12	F	7451
Capital Region	45-54	Year 12	M	5974
Capital Region	55-64		F	1405
Capital Region	55-64		M	1533
Capital Region	55-64	Did not go to school	F	46
Capital Region	55-64	Did not go to school	M	71
Capital Region	55-64	Year 8 or below	F	713
Capital Region	55-64	Year 8 or below	M	913
Capital Region	55-64	Year 9	F	1228
Capital Region	55-64	Year 9	M	1241
Capital Region	55-64	Year 10	F	5678
Capital Region	55-64	Year 10	M	5426
Capital Region	55-64	Year 11	F	1020
Capital Region	55-64	Year 11	M	969
Capital Region	55-64	Year 12	F	6391
Capital Region	55-64	Year 12	M	6091
Capital Region	65-74		F	1536
Capital Region	65-74		M	1527
Capital Region	65-74	Did not go to school	F	60
Capital Region	65-74	Did not go to school	M	72
Capital Region	65-74	Year 8 or below	F	1067
Capital Region	65-74	Year 8 or below	M	1400
Capital Region	65-74	Year 9	F	1614
Capital Region	65-74	Year 9	M	1756
Capital Region	65-74	Year 10	F	4204
Capital Region	65-74	Year 10	M	3558
Capital Region	65-74	Year 11	F	741
Capital Region	65-74	Year 11	M	575
Capital Region	65-74	Year 12	F	3830
Capital Region	65-74	Year 12	M	4615
Capital Region	75-84		F	1293
Capital Region	75-84		M	1079
Capital Region	75-84	Did not go to school	F	78
Capital Region	75-84	Did not go to school	M	77
Capital Region	75-84	Year 8 or below	F	970
Capital Region	75-84	Year 8 or below	M	1027
Capital Region	75-84	Year 9	F	895
Capital Region	75-84	Year 9	M	807
Capital Region	75-84	Year 10	F	1806
Capital Region	75-84	Year 10	M	1491
Capital Region	75-84	Year 11	F	338
Capital Region	75-84	Year 11	M	252
Capital Region	75-84	Year 12	F	1425
Capital Region	75-84	Year 12	M	1685
Capital Region	85+		F	998
Capital Region	85+		M	464
Capital Region	85+	Did not go to school	F	29
Capital Region	85+	Did not go to school	M	26
Capital Region	85+	Year 8 or below	F	683
Capital Region	85+	Year 8 or below	M	391
Capital Region	85+	Year 9	F	382
Capital Region	85+	Year 9	M	244
Capital Region	85+	Year 10	F	601
Capital Region	85+	Year 10	M	309
Capital Region	85+	Year 11	F	103
Capital Region	85+	Year 11	M	74
Capital Region	85+	Year 12	F	496
Capital Region	85+	Year 12	M	471
Central Coast	15-19		F	440
Central Coast	15-19		M	496
Central Coast	15-19	Did not go to school	F	6
Central Coast	15-19	Did not go to school	M	4
Central Coast	15-19	Year 8 or below	F	39
Central Coast	15-19	Year 8 or below	M	50
Central Coast	15-19	Year 9	F	165
Central Coast	15-19	Year 9	M	238
Central Coast	15-19	Year 10	F	855
Central Coast	15-19	Year 10	M	1021
Central Coast	15-19	Year 11	F	543
Central Coast	15-19	Year 11	M	719
Central Coast	15-19	Year 12	F	2282
Central Coast	15-19	Year 12	M	2056
Central Coast	20-24		F	538
Central Coast	20-24		M	563
Central Coast	20-24	Did not go to school	F	12
Central Coast	20-24	Did not go to school	M	14
Central Coast	20-24	Year 8 or below	F	37
Central Coast	20-24	Year 8 or below	M	79
Central Coast	20-24	Year 9	F	196
Central Coast	20-24	Year 9	M	249
Central Coast	20-24	Year 10	F	1444
Central Coast	20-24	Year 10	M	1812
Central Coast	20-24	Year 11	F	671
Central Coast	20-24	Year 11	M	940
Central Coast	20-24	Year 12	F	5998
Central Coast	20-24	Year 12	M	5593
Central Coast	25-34		F	961
Central Coast	25-34		M	1069
Central Coast	25-34	Did not go to school	F	22
Central Coast	25-34	Did not go to school	M	25
Central Coast	25-34	Year 8 or below	F	135
Central Coast	25-34	Year 8 or below	M	197
Central Coast	25-34	Year 9	F	538
Central Coast	25-34	Year 9	M	626
Central Coast	25-34	Year 10	F	3374
Central Coast	25-34	Year 10	M	4386
Central Coast	25-34	Year 11	F	1277
Central Coast	25-34	Year 11	M	1502
Central Coast	25-34	Year 12	F	11712
Central Coast	25-34	Year 12	M	9421
Central Coast	35-44		F	1083
Central Coast	35-44		M	1175
Central Coast	35-44	Did not go to school	F	30
Central Coast	35-44	Did not go to school	M	29
Central Coast	35-44	Year 8 or below	F	160
Central Coast	35-44	Year 8 or below	M	271
Central Coast	35-44	Year 9	F	649
Central Coast	35-44	Year 9	M	817
Central Coast	35-44	Year 10	F	4443
Central Coast	35-44	Year 10	M	5153
Central Coast	35-44	Year 11	F	1368
Central Coast	35-44	Year 11	M	1493
Central Coast	35-44	Year 12	F	12590
Central Coast	35-44	Year 12	M	10083
Central Coast	45-54		F	1401
Central Coast	45-54		M	1428
Central Coast	45-54	Did not go to school	F	45
Central Coast	45-54	Did not go to school	M	59
Central Coast	45-54	Year 8 or below	F	447
Central Coast	45-54	Year 8 or below	M	476
Central Coast	45-54	Year 9	F	1265
Central Coast	45-54	Year 9	M	1347
Central Coast	45-54	Year 10	F	9020
Central Coast	45-54	Year 10	M	9103
Central Coast	45-54	Year 11	F	1367
Central Coast	45-54	Year 11	M	1276
Central Coast	45-54	Year 12	F	9014
Central Coast	45-54	Year 12	M	7361
Central Coast	55-64		F	1507
Central Coast	55-64		M	1534
Central Coast	55-64	Did not go to school	F	66
Central Coast	55-64	Did not go to school	M	87
Central Coast	55-64	Year 8 or below	F	1128
Central Coast	55-64	Year 8 or below	M	995
Central Coast	55-64	Year 9	F	2230
Central Coast	55-64	Year 9	M	1615
Central Coast	55-64	Year 10	F	9263
Central Coast	55-64	Year 10	M	7623
Central Coast	55-64	Year 11	F	990
Central Coast	55-64	Year 11	M	1005
Central Coast	55-64	Year 12	F	7120
Central Coast	55-64	Year 12	M	7178
Central Coast	65-74		F	1999
Central Coast	65-74		M	1685
Central Coast	65-74	Did not go to school	F	75
Central Coast	65-74	Did not go to school	M	112
Central Coast	65-74	Year 8 or below	F	1395
Central Coast	65-74	Year 8 or below	M	1459
Central Coast	65-74	Year 9	F	3160
Central Coast	65-74	Year 9	M	2671
Central Coast	65-74	Year 10	F	7385
Central Coast	65-74	Year 10	M	5206
Central Coast	65-74	Year 11	F	811
Central Coast	65-74	Year 11	M	744
Central Coast	65-74	Year 12	F	4502
Central Coast	65-74	Year 12	M	5365
Central Coast	75-84		F	2154
Central Coast	75-84		M	1538
Central Coast	75-84	Did not go to school	F	70
Central Coast	75-84	Did not go to school	M	76
Central Coast	75-84	Year 8 or below	F	1358
Central Coast	75-84	Year 8 or below	M	1072
Central Coast	75-84	Year 9	F	1986
Central Coast	75-84	Year 9	M	1446
Central Coast	75-84	Year 10	F	3712
Central Coast	75-84	Year 10	M	2661
Central Coast	75-84	Year 11	F	490
Central Coast	75-84	Year 11	M	419
Central Coast	75-84	Year 12	F	2200
Central Coast	75-84	Year 12	M	2503
Central Coast	85+		F	1893
Central Coast	85+		M	947
Central Coast	85+	Did not go to school	F	48
Central Coast	85+	Did not go to school	M	27
Central Coast	85+	Year 8 or below	F	1135
Central Coast	85+	Year 8 or below	M	625
Central Coast	85+	Year 9	F	1049
Central Coast	85+	Year 9	M	524
Central Coast	85+	Year 10	F	1322
Central Coast	85+	Year 10	M	710
Central Coast	85+	Year 11	F	160
Central Coast	85+	Year 11	M	143
Central Coast	85+	Year 12	F	801
Central Coast	85+	Year 12	M	894
Central West	15-19		F	544
Central West	15-19		M	574
Central West	15-19	Did not go to school	F	3
Central West	15-19	Year 8 or below	F	28
Central West	15-19	Year 8 or below	M	40
Central West	15-19	Year 9	F	138
Central West	15-19	Year 9	M	186
Central West	15-19	Year 10	F	492
Central West	15-19	Year 10	M	823
Central West	15-19	Year 11	F	305
Central West	15-19	Year 11	M	428
Central West	15-19	Year 12	F	1365
Central West	15-19	Year 12	M	1101
Central West	20-24		F	516
Central West	20-24		M	834
Central West	20-24	Did not go to school	F	4
Central West	20-24	Did not go to school	M	5
Central West	20-24	Year 8 or below	F	43
Central West	20-24	Year 8 or below	M	64
Central West	20-24	Year 9	F	187
Central West	20-24	Year 9	M	187
Central West	20-24	Year 10	F	927
Central West	20-24	Year 10	M	1460
Central West	20-24	Year 11	F	433
Central West	20-24	Year 11	M	546
Central West	20-24	Year 12	F	3479
Central West	20-24	Year 12	M	2867
Central West	25-34		F	912
Central West	25-34		M	1500
Central West	25-34	Did not go to school	F	14
Central West	25-34	Did not go to school	M	21
Central West	25-34	Year 8 or below	F	101
Central West	25-34	Year 8 or below	M	157
Central West	25-34	Year 9	F	382
Central West	25-34	Year 9	M	479
Central West	25-34	Year 10	F	2074
Central West	25-34	Year 10	M	3254
Central West	25-34	Year 11	F	813
Central West	25-34	Year 11	M	873
Central West	25-34	Year 12	F	7214
Central West	25-34	Year 12	M	5284
Central West	35-44		F	1024
Central West	35-44		M	1338
Central West	35-44	Did not go to school	F	27
Central West	35-44	Did not go to school	M	27
Central West	35-44	Year 8 or below	F	127
Central West	35-44	Year 8 or below	M	214
Central West	35-44	Year 9	F	447
Central West	35-44	Year 9	M	556
Central West	35-44	Year 10	F	2486
Central West	35-44	Year 10	M	3518
Central West	35-44	Year 11	F	840
Central West	35-44	Year 11	M	891
Central West	35-44	Year 12	F	7084
Central West	35-44	Year 12	M	5067
Central West	45-54		F	1281
Central West	45-54		M	1531
Central West	45-54	Did not go to school	F	37
Central West	45-54	Did not go to school	M	34
Central West	45-54	Year 8 or below	F	276
Central West	45-54	Year 8 or below	M	511
Central West	45-54	Year 9	F	838
Central West	45-54	Year 9	M	1007
Central West	45-54	Year 10	F	5226
Central West	45-54	Year 10	M	5838
Central West	45-54	Year 11	F	901
Central West	45-54	Year 11	M	723
Central West	45-54	Year 12	F	5092
Central West	45-54	Year 12	M	3707
Central West	55-64		F	1294
Central West	55-64		M	1465
Central West	55-64	Did not go to school	F	50
Central West	55-64	Did not go to school	M	61
Central West	55-64	Year 8 or below	F	797
Central West	55-64	Year 8 or below	M	1080
Central West	55-64	Year 9	F	1218
Central West	55-64	Year 9	M	1226
Central West	55-64	Year 10	F	5383
Central West	55-64	Year 10	M	5251
Central West	55-64	Year 11	F	599
Central West	55-64	Year 11	M	556
Central West	55-64	Year 12	F	3986
Central West	55-64	Year 12	M	3798
Central West	65-74		F	1507
Central West	65-74		M	1532
Central West	65-74	Did not go to school	F	48
Central West	65-74	Did not go to school	M	89
Central West	65-74	Year 8 or below	F	1027
Central West	65-74	Year 8 or below	M	1509
Central West	65-74	Year 9	F	1570
Central West	65-74	Year 9	M	1801
Central West	65-74	Year 10	F	4041
Central West	65-74	Year 10	M	3324
Central West	65-74	Year 11	F	492
Central West	65-74	Year 11	M	409
Central West	65-74	Year 12	F	2488
Central West	65-74	Year 12	M	2643
Central West	75-84		F	1243
Central West	75-84		M	996
Central West	75-84	Did not go to school	F	40
Central West	75-84	Did not go to school	M	46
Central West	75-84	Year 8 or below	F	1002
Central West	75-84	Year 8 or below	M	1080
Central West	75-84	Year 9	F	990
Central West	75-84	Year 9	M	926
Central West	75-84	Year 10	F	2041
Central West	75-84	Year 10	M	1496
Central West	75-84	Year 11	F	288
Central West	75-84	Year 11	M	210
Central West	75-84	Year 12	F	1095
Central West	75-84	Year 12	M	1043
Central West	85+		F	632
Central West	85+		M	353
Central West	85+	Did not go to school	F	17
Central West	85+	Did not go to school	M	17
Central West	85+	Year 8 or below	F	786
Central West	85+	Year 8 or below	M	493
Central West	85+	Year 9	F	565
Central West	85+	Year 9	M	254
Central West	85+	Year 10	F	708
Central West	85+	Year 10	M	324
Central West	85+	Year 11	F	113
Central West	85+	Year 11	M	65
Central West	85+	Year 12	F	425
Central West	85+	Year 12	M	323
Coffs Harbour - Grafton	15-19		F	244
Coffs Harbour - Grafton	15-19		M	267
Coffs Harbour - Grafton	15-19	Did not go to school	F	3
Coffs Harbour - Grafton	15-19	Did not go to school	M	10
Coffs Harbour - Grafton	15-19	Year 8 or below	F	25
Coffs Harbour - Grafton	15-19	Year 8 or below	M	28
Coffs Harbour - Grafton	15-19	Year 9	F	93
Coffs Harbour - Grafton	15-19	Year 9	M	162
Coffs Harbour - Grafton	15-19	Year 10	F	350
Coffs Harbour - Grafton	15-19	Year 10	M	512
Coffs Harbour - Grafton	15-19	Year 11	F	207
Coffs Harbour - Grafton	15-19	Year 11	M	292
Coffs Harbour - Grafton	15-19	Year 12	F	711
Coffs Harbour - Grafton	15-19	Year 12	M	615
Coffs Harbour - Grafton	20-24		F	238
Coffs Harbour - Grafton	20-24		M	303
Coffs Harbour - Grafton	20-24	Did not go to school	F	4
Coffs Harbour - Grafton	20-24	Did not go to school	M	13
Coffs Harbour - Grafton	20-24	Year 8 or below	F	31
Coffs Harbour - Grafton	20-24	Year 8 or below	M	43
Coffs Harbour - Grafton	20-24	Year 9	F	98
Coffs Harbour - Grafton	20-24	Year 9	M	109
Coffs Harbour - Grafton	20-24	Year 10	F	497
Coffs Harbour - Grafton	20-24	Year 10	M	805
Coffs Harbour - Grafton	20-24	Year 11	F	278
Coffs Harbour - Grafton	20-24	Year 11	M	307
Coffs Harbour - Grafton	20-24	Year 12	F	1800
Coffs Harbour - Grafton	20-24	Year 12	M	1575
Coffs Harbour - Grafton	25-34		F	498
Coffs Harbour - Grafton	25-34		M	616
Coffs Harbour - Grafton	25-34	Did not go to school	F	32
Coffs Harbour - Grafton	25-34	Did not go to school	M	25
Coffs Harbour - Grafton	25-34	Year 8 or below	F	100
Coffs Harbour - Grafton	25-34	Year 8 or below	M	149
Coffs Harbour - Grafton	25-34	Year 9	F	232
Coffs Harbour - Grafton	25-34	Year 9	M	273
Coffs Harbour - Grafton	25-34	Year 10	F	1174
Coffs Harbour - Grafton	25-34	Year 10	M	1630
Coffs Harbour - Grafton	25-34	Year 11	F	476
Coffs Harbour - Grafton	25-34	Year 11	M	495
Coffs Harbour - Grafton	25-34	Year 12	F	4027
Coffs Harbour - Grafton	25-34	Year 12	M	3023
Coffs Harbour - Grafton	35-44		F	553
Coffs Harbour - Grafton	35-44		M	639
Coffs Harbour - Grafton	35-44	Did not go to school	F	38
Coffs Harbour - Grafton	35-44	Did not go to school	M	25
Coffs Harbour - Grafton	35-44	Year 8 or below	F	132
Coffs Harbour - Grafton	35-44	Year 8 or below	M	184
Coffs Harbour - Grafton	35-44	Year 9	F	267
Coffs Harbour - Grafton	35-44	Year 9	M	345
Coffs Harbour - Grafton	35-44	Year 10	F	1700
Coffs Harbour - Grafton	35-44	Year 10	M	1963
Coffs Harbour - Grafton	35-44	Year 11	F	558
Coffs Harbour - Grafton	35-44	Year 11	M	548
Coffs Harbour - Grafton	35-44	Year 12	F	4449
Coffs Harbour - Grafton	35-44	Year 12	M	3281
Coffs Harbour - Grafton	45-54		F	749
Coffs Harbour - Grafton	45-54		M	760
Coffs Harbour - Grafton	45-54	Did not go to school	F	49
Coffs Harbour - Grafton	45-54	Did not go to school	M	34
Coffs Harbour - Grafton	45-54	Year 8 or below	F	222
Coffs Harbour - Grafton	45-54	Year 8 or below	M	317
Coffs Harbour - Grafton	45-54	Year 9	F	587
Coffs Harbour - Grafton	45-54	Year 9	M	661
Coffs Harbour - Grafton	45-54	Year 10	F	3769
Coffs Harbour - Grafton	45-54	Year 10	M	3595
Coffs Harbour - Grafton	45-54	Year 11	F	678
Coffs Harbour - Grafton	45-54	Year 11	M	563
Coffs Harbour - Grafton	45-54	Year 12	F	3579
Coffs Harbour - Grafton	45-54	Year 12	M	2591
Coffs Harbour - Grafton	55-64		F	889
Coffs Harbour - Grafton	55-64		M	1003
Coffs Harbour - Grafton	55-64	Did not go to school	F	38
Coffs Harbour - Grafton	55-64	Did not go to school	M	36
Coffs Harbour - Grafton	55-64	Year 8 or below	F	457
Coffs Harbour - Grafton	55-64	Year 8 or below	M	588
Coffs Harbour - Grafton	55-64	Year 9	F	949
Coffs Harbour - Grafton	55-64	Year 9	M	845
Coffs Harbour - Grafton	55-64	Year 10	F	4483
Coffs Harbour - Grafton	55-64	Year 10	M	3887
Coffs Harbour - Grafton	55-64	Year 11	F	605
Coffs Harbour - Grafton	55-64	Year 11	M	607
Coffs Harbour - Grafton	55-64	Year 12	F	3457
Coffs Harbour - Grafton	55-64	Year 12	M	3440
Coffs Harbour - Grafton	65-74		F	919
Coffs Harbour - Grafton	65-74		M	902
Coffs Harbour - Grafton	65-74	Did not go to school	F	31
Coffs Harbour - Grafton	65-74	Did not go to school	M	39
Coffs Harbour - Grafton	65-74	Year 8 or below	F	627
Coffs Harbour - Grafton	65-74	Year 8 or below	M	866
Coffs Harbour - Grafton	65-74	Year 9	F	1318
Coffs Harbour - Grafton	65-74	Year 9	M	1428
Coffs Harbour - Grafton	65-74	Year 10	F	3333
Coffs Harbour - Grafton	65-74	Year 10	M	2638
Coffs Harbour - Grafton	65-74	Year 11	F	450
Coffs Harbour - Grafton	65-74	Year 11	M	413
Coffs Harbour - Grafton	65-74	Year 12	F	2134
Coffs Harbour - Grafton	65-74	Year 12	M	2508
Coffs Harbour - Grafton	75-84		F	925
Coffs Harbour - Grafton	75-84		M	727
Coffs Harbour - Grafton	75-84	Did not go to school	F	35
Coffs Harbour - Grafton	75-84	Did not go to school	M	35
Coffs Harbour - Grafton	75-84	Year 8 or below	F	687
Coffs Harbour - Grafton	75-84	Year 8 or below	M	716
Coffs Harbour - Grafton	75-84	Year 9	F	784
Coffs Harbour - Grafton	75-84	Year 9	M	695
Coffs Harbour - Grafton	75-84	Year 10	F	1590
Coffs Harbour - Grafton	75-84	Year 10	M	1167
Coffs Harbour - Grafton	75-84	Year 11	F	231
Coffs Harbour - Grafton	75-84	Year 11	M	197
Coffs Harbour - Grafton	75-84	Year 12	F	896
Coffs Harbour - Grafton	75-84	Year 12	M	1020
Coffs Harbour - Grafton	85+		F	660
Coffs Harbour - Grafton	85+		M	350
Coffs Harbour - Grafton	85+	Did not go to school	F	24
Coffs Harbour - Grafton	85+	Did not go to school	M	10
Coffs Harbour - Grafton	85+	Year 8 or below	F	594
Coffs Harbour - Grafton	85+	Year 8 or below	M	332
Coffs Harbour - Grafton	85+	Year 9	F	373
Coffs Harbour - Grafton	85+	Year 9	M	221
Coffs Harbour - Grafton	85+	Year 10	F	490
Coffs Harbour - Grafton	85+	Year 10	M	275
Coffs Harbour - Grafton	85+	Year 11	F	74
Coffs Harbour - Grafton	85+	Year 11	M	55
Coffs Harbour - Grafton	85+	Year 12	F	307
Coffs Harbour - Grafton	85+	Year 12	M	290
Far West and Orana	15-19		F	265
Far West and Orana	15-19		M	295
Far West and Orana	15-19	Did not go to school	M	3
Far West and Orana	15-19	Year 8 or below	F	17
Far West and Orana	15-19	Year 8 or below	M	39
Far West and Orana	15-19	Year 9	F	81
Far West and Orana	15-19	Year 9	M	144
Far West and Orana	15-19	Year 10	F	294
Far West and Orana	15-19	Year 10	M	471
Far West and Orana	15-19	Year 11	F	227
Far West and Orana	15-19	Year 11	M	237
Far West and Orana	15-19	Year 12	F	558
Far West and Orana	15-19	Year 12	M	495
Far West and Orana	20-24		F	325
Far West and Orana	20-24		M	473
Far West and Orana	20-24	Year 8 or below	F	30
Far West and Orana	20-24	Year 8 or below	M	64
Far West and Orana	20-24	Year 9	F	142
Far West and Orana	20-24	Year 9	M	156
Far West and Orana	20-24	Year 10	F	607
Far West and Orana	20-24	Year 10	M	827
Far West and Orana	20-24	Year 11	F	282
Far West and Orana	20-24	Year 11	M	352
Far West and Orana	20-24	Year 12	F	1792
Far West and Orana	20-24	Year 12	M	1393
Far West and Orana	25-34		F	741
Far West and Orana	25-34		M	1027
Far West and Orana	25-34	Did not go to school	F	6
Far West and Orana	25-34	Did not go to school	M	8
Far West and Orana	25-34	Year 8 or below	F	88
Far West and Orana	25-34	Year 8 or below	M	138
Far West and Orana	25-34	Year 9	F	329
Far West and Orana	25-34	Year 9	M	333
Far West and Orana	25-34	Year 10	F	1346
Far West and Orana	25-34	Year 10	M	1781
Far West and Orana	25-34	Year 11	F	507
Far West and Orana	25-34	Year 11	M	533
Far West and Orana	25-34	Year 12	F	4164
Far West and Orana	25-34	Year 12	M	2992
Far West and Orana	35-44		F	650
Far West and Orana	35-44		M	810
Far West and Orana	35-44	Did not go to school	F	4
Far West and Orana	35-44	Did not go to school	M	16
Far West and Orana	35-44	Year 8 or below	F	109
Far West and Orana	35-44	Year 8 or below	M	178
Far West and Orana	35-44	Year 9	F	355
Far West and Orana	35-44	Year 9	M	347
Far West and Orana	35-44	Year 10	F	1341
Far West and Orana	35-44	Year 10	M	1780
Far West and Orana	35-44	Year 11	F	511
Far West and Orana	35-44	Year 11	M	482
Far West and Orana	35-44	Year 12	F	3467
Far West and Orana	35-44	Year 12	M	2601
Far West and Orana	45-54		F	806
Far West and Orana	45-54		M	912
Far West and Orana	45-54	Did not go to school	F	17
Far West and Orana	45-54	Did not go to school	M	30
Far West and Orana	45-54	Year 8 or below	F	214
Far West and Orana	45-54	Year 8 or below	M	359
Far West and Orana	45-54	Year 9	F	527
Far West and Orana	45-54	Year 9	M	645
Far West and Orana	45-54	Year 10	F	2893
Far West and Orana	45-54	Year 10	M	3194
Far West and Orana	45-54	Year 11	F	523
Far West and Orana	45-54	Year 11	M	460
Far West and Orana	45-54	Year 12	F	2541
Far West and Orana	45-54	Year 12	M	1757
Far West and Orana	55-64		F	882
Far West and Orana	55-64		M	964
Far West and Orana	55-64	Did not go to school	F	30
Far West and Orana	55-64	Did not go to school	M	51
Far West and Orana	55-64	Year 8 or below	F	552
Far West and Orana	55-64	Year 8 or below	M	805
Far West and Orana	55-64	Year 9	F	804
Far West and Orana	55-64	Year 9	M	851
Far West and Orana	55-64	Year 10	F	3000
Far West and Orana	55-64	Year 10	M	2971
Far West and Orana	55-64	Year 11	F	416
Far West and Orana	55-64	Year 11	M	347
Far West and Orana	55-64	Year 12	F	1897
Far West and Orana	55-64	Year 12	M	1728
Far West and Orana	65-74		F	851
Far West and Orana	65-74		M	896
Far West and Orana	65-74	Did not go to school	F	36
Far West and Orana	65-74	Did not go to school	M	58
Far West and Orana	65-74	Year 8 or below	F	705
Far West and Orana	65-74	Year 8 or below	M	982
Far West and Orana	65-74	Year 9	F	842
Far West and Orana	65-74	Year 9	M	995
Far West and Orana	65-74	Year 10	F	2078
Far West and Orana	65-74	Year 10	M	1790
Far West and Orana	65-74	Year 11	F	242
Far West and Orana	65-74	Year 11	M	221
Far West and Orana	65-74	Year 12	F	1010
Far West and Orana	65-74	Year 12	M	1117
Far West and Orana	75-84		F	761
Far West and Orana	75-84		M	573
Far West and Orana	75-84	Did not go to school	F	28
Far West and Orana	75-84	Did not go to school	M	41
Far West and Orana	75-84	Year 8 or below	F	596
Far West and Orana	75-84	Year 8 or below	M	659
Far West and Orana	75-84	Year 9	F	546
Far West and Orana	75-84	Year 9	M	509
Far West and Orana	75-84	Year 10	F	1056
Far West and Orana	75-84	Year 10	M	743
Far West and Orana	75-84	Year 11	F	153
Far West and Orana	75-84	Year 11	M	103
Far West and Orana	75-84	Year 12	F	502
Far West and Orana	75-84	Year 12	M	463
Far West and Orana	85+		F	455
Far West and Orana	85+		M	235
Far West and Orana	85+	Did not go to school	F	22
Far West and Orana	85+	Did not go to school	M	8
Far West and Orana	85+	Year 8 or below	F	353
Far West and Orana	85+	Year 8 or below	M	274
Far West and Orana	85+	Year 9	F	299
Far West and Orana	85+	Year 9	M	157
Far West and Orana	85+	Year 10	F	353
Far West and Orana	85+	Year 10	M	195
Far West and Orana	85+	Year 11	F	45
Far West and Orana	85+	Year 11	M	33
Far West and Orana	85+	Year 12	F	187
Far West and Orana	85+	Year 12	M	129
Hunter Valley exc Newcastle	15-19		F	460
Hunter Valley exc Newcastle	15-19		M	477
Hunter Valley exc Newcastle	15-19	Did not go to school	F	3
Hunter Valley exc Newcastle	15-19	Did not go to school	M	4
Hunter Valley exc Newcastle	15-19	Year 8 or below	F	42
Hunter Valley exc Newcastle	15-19	Year 8 or below	M	63
Hunter Valley exc Newcastle	15-19	Year 9	F	181
Hunter Valley exc Newcastle	15-19	Year 9	M	284
Hunter Valley exc Newcastle	15-19	Year 10	F	794
Hunter Valley exc Newcastle	15-19	Year 10	M	997
Hunter Valley exc Newcastle	15-19	Year 11	F	530
Hunter Valley exc Newcastle	15-19	Year 11	M	694
Hunter Valley exc Newcastle	15-19	Year 12	F	1614
Hunter Valley exc Newcastle	15-19	Year 12	M	1496
Hunter Valley exc Newcastle	20-24		F	441
Hunter Valley exc Newcastle	20-24		M	684
Hunter Valley exc Newcastle	20-24	Did not go to school	F	3
Hunter Valley exc Newcastle	20-24	Did not go to school	M	10
Hunter Valley exc Newcastle	20-24	Year 8 or below	F	59
Hunter Valley exc Newcastle	20-24	Year 8 or below	M	89
Hunter Valley exc Newcastle	20-24	Year 9	F	282
Hunter Valley exc Newcastle	20-24	Year 9	M	275
Hunter Valley exc Newcastle	20-24	Year 10	F	1616
Hunter Valley exc Newcastle	20-24	Year 10	M	2075
Hunter Valley exc Newcastle	20-24	Year 11	F	725
Hunter Valley exc Newcastle	20-24	Year 11	M	935
Hunter Valley exc Newcastle	20-24	Year 12	F	4290
Hunter Valley exc Newcastle	20-24	Year 12	M	3573
Hunter Valley exc Newcastle	25-34		F	1104
Hunter Valley exc Newcastle	25-34		M	1532
Hunter Valley exc Newcastle	25-34	Did not go to school	F	17
Hunter Valley exc Newcastle	25-34	Did not go to school	M	28
