SA4_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Central Coast	Real estate agent	10500	487
Central Coast	Real estate agent	11812	1276
Central Coast	Real estate agent	14437	4781
Central Coast	Real estate agent	18375	8586
Central Coast	Real estate agent	23625	3468
Central Coast	Real estate agent	28875	924
Central Coast	Real estate agent	34125	303
Central Coast	Real estate agent	39375	113
Central Coast	Real estate agent	44625	45
Central Coast	Real estate agent	49875	57
Central Coast	State or territory housing authority	0	148
Central Coast	State or territory housing authority	3937	135
Central Coast	State or territory housing authority	5250	1364
Central Coast	State or territory housing authority	7875	658
Central Coast	State or territory housing authority	10500	305
Central Coast	State or territory housing authority	11812	248
Central Coast	State or territory housing authority	14437	344
Central Coast	State or territory housing authority	18375	141
Central Coast	State or territory housing authority	23625	9
Central Coast	State or territory housing authority	28875	10
Central Coast	State or territory housing authority	34125	4
Central West		0	473
Central West		5250	28
Central West		7875	41
Central West		10500	15
Central West		11812	21
Central West		14437	19
Central West		18375	9
Central West	(Other)	0	324
Central West	(Other)	3937	32
Central West	(Other)	5250	107
Central West	(Other)	7875	116
Central West	(Other)	10500	71
Central West	(Other)	11812	88
Central West	(Other)	14437	79
Central West	(Other)	18375	32
Central West	(Other)	23625	5
Central West	(Other)	28875	4
Central West	(Other)	39375	3
Central West	(Other)	49875	3
Central West	Co-op/church group etc	0	82
Central West	Co-op/church group etc	3937	55
Central West	Co-op/church group etc	5250	111
Central West	Co-op/church group etc	7875	113
Central West	Co-op/church group etc	10500	26
Central West	Co-op/church group etc	11812	32
Central West	Co-op/church group etc	14437	26
Central West	Co-op/church group etc	18375	23
Central West	Co-op/church group etc	23625	7
Central West	Person not in same household	0	630
Central West	Person not in same household	3937	84
Central West	Person not in same household	5250	495
Central West	Person not in same household	7875	797
Central West	Person not in same household	10500	694
Central West	Person not in same household	11812	758
Central West	Person not in same household	14437	707
Central West	Person not in same household	18375	340
Central West	Person not in same household	23625	51
Central West	Person not in same household	28875	19
Central West	Person not in same household	34125	6
Central West	Person not in same household	39375	4
Central West	Person not in same household	49875	21
Central West	Real estate agent	0	42
Central West	Real estate agent	3937	26
Central West	Real estate agent	5250	430
Central West	Real estate agent	7875	1361
Central West	Real estate agent	10500	1136
Central West	Real estate agent	11812	2388
Central West	Real estate agent	14437	3079
Central West	Real estate agent	18375	2139
Central West	Real estate agent	23625	266
Central West	Real estate agent	28875	36
Central West	Real estate agent	34125	9
Central West	Real estate agent	39375	4
Central West	Real estate agent	49875	13
Central West	State or territory housing authority	0	152
Central West	State or territory housing authority	3937	135
Central West	State or territory housing authority	5250	939
Central West	State or territory housing authority	7875	639
Central West	State or territory housing authority	10500	283
Central West	State or territory housing authority	11812	220
Central West	State or territory housing authority	14437	182
Central West	State or territory housing authority	18375	46
Central West	State or territory housing authority	23625	4
Central West	State or territory housing authority	28875	7
Coffs Harbour - Grafton		0	188
Coffs Harbour - Grafton		5250	14
Coffs Harbour - Grafton		7875	18
Coffs Harbour - Grafton		10500	4
Coffs Harbour - Grafton		11812	15
Coffs Harbour - Grafton		14437	31
Coffs Harbour - Grafton		18375	22
Coffs Harbour - Grafton		23625	3
Coffs Harbour - Grafton	(Other)	0	55
Coffs Harbour - Grafton	(Other)	3937	18
Coffs Harbour - Grafton	(Other)	5250	108
Coffs Harbour - Grafton	(Other)	7875	99
Coffs Harbour - Grafton	(Other)	10500	62
Coffs Harbour - Grafton	(Other)	11812	88
Coffs Harbour - Grafton	(Other)	14437	93
Coffs Harbour - Grafton	(Other)	18375	57
Coffs Harbour - Grafton	(Other)	23625	18
Coffs Harbour - Grafton	(Other)	28875	4
Coffs Harbour - Grafton	(Other)	39375	3
Coffs Harbour - Grafton	(Other)	44625	3
Coffs Harbour - Grafton	Co-op/church group etc	0	51
Coffs Harbour - Grafton	Co-op/church group etc	3937	17
Coffs Harbour - Grafton	Co-op/church group etc	5250	78
Coffs Harbour - Grafton	Co-op/church group etc	7875	118
Coffs Harbour - Grafton	Co-op/church group etc	10500	36
Coffs Harbour - Grafton	Co-op/church group etc	11812	36
Coffs Harbour - Grafton	Co-op/church group etc	14437	47
Coffs Harbour - Grafton	Co-op/church group etc	18375	10
Coffs Harbour - Grafton	Co-op/church group etc	23625	4
Coffs Harbour - Grafton	Person not in same household	0	269
Coffs Harbour - Grafton	Person not in same household	3937	29
Coffs Harbour - Grafton	Person not in same household	5250	231
Coffs Harbour - Grafton	Person not in same household	7875	370
Coffs Harbour - Grafton	Person not in same household	10500	403
Coffs Harbour - Grafton	Person not in same household	11812	610
Coffs Harbour - Grafton	Person not in same household	14437	855
Coffs Harbour - Grafton	Person not in same household	18375	591
Coffs Harbour - Grafton	Person not in same household	23625	121
Coffs Harbour - Grafton	Person not in same household	28875	26
Coffs Harbour - Grafton	Person not in same household	34125	10
Coffs Harbour - Grafton	Person not in same household	39375	5
Coffs Harbour - Grafton	Person not in same household	49875	9
Coffs Harbour - Grafton	Real estate agent	0	10
Coffs Harbour - Grafton	Real estate agent	3937	8
Coffs Harbour - Grafton	Real estate agent	5250	71
Coffs Harbour - Grafton	Real estate agent	7875	334
Coffs Harbour - Grafton	Real estate agent	10500	421
Coffs Harbour - Grafton	Real estate agent	11812	1325
Coffs Harbour - Grafton	Real estate agent	14437	2352
Coffs Harbour - Grafton	Real estate agent	18375	2406
Coffs Harbour - Grafton	Real estate agent	23625	652
Coffs Harbour - Grafton	Real estate agent	28875	121
Coffs Harbour - Grafton	Real estate agent	34125	36
Coffs Harbour - Grafton	Real estate agent	39375	5
Coffs Harbour - Grafton	Real estate agent	49875	13
Coffs Harbour - Grafton	State or territory housing authority	0	55
Coffs Harbour - Grafton	State or territory housing authority	3937	49
Coffs Harbour - Grafton	State or territory housing authority	5250	596
Coffs Harbour - Grafton	State or territory housing authority	7875	302
Coffs Harbour - Grafton	State or territory housing authority	10500	145
Coffs Harbour - Grafton	State or territory housing authority	11812	133
Coffs Harbour - Grafton	State or territory housing authority	14437	151
Coffs Harbour - Grafton	State or territory housing authority	18375	34
Coffs Harbour - Grafton	State or territory housing authority	23625	4
Coffs Harbour - Grafton	State or territory housing authority	34125	3
Far West and Orana		0	384
Far West and Orana		3937	17
Far West and Orana		5250	36
Far West and Orana		7875	25
Far West and Orana		10500	15
Far West and Orana		11812	13
Far West and Orana		14437	3
Far West and Orana		18375	3
Far West and Orana		49875	5
Far West and Orana	(Other)	0	591
Far West and Orana	(Other)	3937	103
Far West and Orana	(Other)	5250	173
Far West and Orana	(Other)	7875	229
Far West and Orana	(Other)	10500	78
Far West and Orana	(Other)	11812	64
Far West and Orana	(Other)	14437	46
Far West and Orana	(Other)	18375	22
Far West and Orana	(Other)	23625	9
Far West and Orana	(Other)	49875	8
Far West and Orana	Co-op/church group etc	0	75
Far West and Orana	Co-op/church group etc	3937	140
Far West and Orana	Co-op/church group etc	5250	222
Far West and Orana	Co-op/church group etc	7875	205
Far West and Orana	Co-op/church group etc	10500	43
Far West and Orana	Co-op/church group etc	11812	31
Far West and Orana	Co-op/church group etc	14437	13
Far West and Orana	Co-op/church group etc	18375	3
Far West and Orana	Person not in same household	0	395
Far West and Orana	Person not in same household	3937	69
Far West and Orana	Person not in same household	5250	440
Far West and Orana	Person not in same household	7875	616
Far West and Orana	Person not in same household	10500	453
Far West and Orana	Person not in same household	11812	410
Far West and Orana	Person not in same household	14437	380
Far West and Orana	Person not in same household	18375	137
Far West and Orana	Person not in same household	23625	23
Far West and Orana	Person not in same household	28875	7
Far West and Orana	Person not in same household	34125	8
Far West and Orana	Person not in same household	39375	3
Far West and Orana	Person not in same household	44625	3
Far West and Orana	Person not in same household	49875	20
Far West and Orana	Real estate agent	0	28
Far West and Orana	Real estate agent	3937	12
Far West and Orana	Real estate agent	5250	257
Far West and Orana	Real estate agent	7875	901
Far West and Orana	Real estate agent	10500	632
Far West and Orana	Real estate agent	11812	980
Far West and Orana	Real estate agent	14437	1145
Far West and Orana	Real estate agent	18375	713
Far West and Orana	Real estate agent	23625	93
Far West and Orana	Real estate agent	28875	14
Far West and Orana	Real estate agent	34125	6
Far West and Orana	Real estate agent	39375	4
Far West and Orana	Real estate agent	49875	4
Far West and Orana	State or territory housing authority	0	143
Far West and Orana	State or territory housing authority	3937	107
Far West and Orana	State or territory housing authority	5250	538
Far West and Orana	State or territory housing authority	7875	444
Far West and Orana	State or territory housing authority	10500	192
Far West and Orana	State or territory housing authority	11812	144
Far West and Orana	State or territory housing authority	14437	74
Far West and Orana	State or territory housing authority	18375	21
Far West and Orana	State or territory housing authority	23625	3
Hunter Valley exc Newcastle		0	350
Hunter Valley exc Newcastle		5250	18
Hunter Valley exc Newcastle		7875	26
Hunter Valley exc Newcastle		10500	15
Hunter Valley exc Newcastle		11812	28
Hunter Valley exc Newcastle		14437	21
Hunter Valley exc Newcastle		18375	18
Hunter Valley exc Newcastle		23625	3
Hunter Valley exc Newcastle	(Other)	0	202
Hunter Valley exc Newcastle	(Other)	3937	13
Hunter Valley exc Newcastle	(Other)	5250	86
Hunter Valley exc Newcastle	(Other)	7875	130
Hunter Valley exc Newcastle	(Other)	10500	94
Hunter Valley exc Newcastle	(Other)	11812	596
Hunter Valley exc Newcastle	(Other)	14437	193
Hunter Valley exc Newcastle	(Other)	18375	65
Hunter Valley exc Newcastle	(Other)	23625	22
Hunter Valley exc Newcastle	(Other)	28875	8
Hunter Valley exc Newcastle	(Other)	34125	7
Hunter Valley exc Newcastle	(Other)	49875	5
Hunter Valley exc Newcastle	Co-op/church group etc	0	19
Hunter Valley exc Newcastle	Co-op/church group etc	3937	40
Hunter Valley exc Newcastle	Co-op/church group etc	5250	64
Hunter Valley exc Newcastle	Co-op/church group etc	7875	124
Hunter Valley exc Newcastle	Co-op/church group etc	10500	28
Hunter Valley exc Newcastle	Co-op/church group etc	11812	31
Hunter Valley exc Newcastle	Co-op/church group etc	14437	19
Hunter Valley exc Newcastle	Co-op/church group etc	18375	8
Hunter Valley exc Newcastle	Person not in same household	0	413
Hunter Valley exc Newcastle	Person not in same household	3937	44
Hunter Valley exc Newcastle	Person not in same household	5250	244
Hunter Valley exc Newcastle	Person not in same household	7875	403
Hunter Valley exc Newcastle	Person not in same household	10500	445
Hunter Valley exc Newcastle	Person not in same household	11812	725
Hunter Valley exc Newcastle	Person not in same household	14437	1079
Hunter Valley exc Newcastle	Person not in same household	18375	684
Hunter Valley exc Newcastle	Person not in same household	23625	146
Hunter Valley exc Newcastle	Person not in same household	28875	47
Hunter Valley exc Newcastle	Person not in same household	34125	15
Hunter Valley exc Newcastle	Person not in same household	39375	5
Hunter Valley exc Newcastle	Person not in same household	44625	3
Hunter Valley exc Newcastle	Person not in same household	49875	12
Hunter Valley exc Newcastle	Real estate agent	0	34
Hunter Valley exc Newcastle	Real estate agent	3937	17
Hunter Valley exc Newcastle	Real estate agent	5250	194
Hunter Valley exc Newcastle	Real estate agent	7875	857
Hunter Valley exc Newcastle	Real estate agent	10500	808
Hunter Valley exc Newcastle	Real estate agent	11812	2314
Hunter Valley exc Newcastle	Real estate agent	14437	5507
Hunter Valley exc Newcastle	Real estate agent	18375	5392
Hunter Valley exc Newcastle	Real estate agent	23625	842
Hunter Valley exc Newcastle	Real estate agent	28875	159
Hunter Valley exc Newcastle	Real estate agent	34125	40
Hunter Valley exc Newcastle	Real estate agent	39375	13
Hunter Valley exc Newcastle	Real estate agent	44625	6
Hunter Valley exc Newcastle	Real estate agent	49875	15
Hunter Valley exc Newcastle	State or territory housing authority	0	143
Hunter Valley exc Newcastle	State or territory housing authority	3937	143
Hunter Valley exc Newcastle	State or territory housing authority	5250	1082
Hunter Valley exc Newcastle	State or territory housing authority	7875	762
Hunter Valley exc Newcastle	State or territory housing authority	10500	295
Hunter Valley exc Newcastle	State or territory housing authority	11812	360
Hunter Valley exc Newcastle	State or territory housing authority	14437	259
Hunter Valley exc Newcastle	State or territory housing authority	18375	28
Hunter Valley exc Newcastle	State or territory housing authority	23625	3
Hunter Valley exc Newcastle	State or territory housing authority	28875	3
Hunter Valley exc Newcastle	State or territory housing authority	34125	7
Hunter Valley exc Newcastle	State or territory housing authority	44625	4
Illawarra		0	232
Illawarra		3937	5
Illawarra		5250	42
Illawarra		7875	25
Illawarra		10500	19
Illawarra		11812	22
Illawarra		14437	26
Illawarra		18375	25
Illawarra		23625	8
Illawarra		34125	3
Illawarra	(Other)	0	51
Illawarra	(Other)	3937	9
Illawarra	(Other)	5250	71
Illawarra	(Other)	7875	59
Illawarra	(Other)	10500	41
Illawarra	(Other)	11812	66
Illawarra	(Other)	14437	81
Illawarra	(Other)	18375	100
Illawarra	(Other)	23625	30
Illawarra	(Other)	28875	13
Illawarra	(Other)	34125	9
Illawarra	(Other)	49875	7
Illawarra	Co-op/church group etc	0	27
Illawarra	Co-op/church group etc	3937	40
Illawarra	Co-op/church group etc	5250	86
Illawarra	Co-op/church group etc	7875	112
Illawarra	Co-op/church group etc	10500	54
Illawarra	Co-op/church group etc	11812	49
Illawarra	Co-op/church group etc	14437	47
Illawarra	Co-op/church group etc	18375	29
Illawarra	Co-op/church group etc	23625	7
Illawarra	Co-op/church group etc	28875	7
Illawarra	Co-op/church group etc	34125	3
Illawarra	Person not in same household	0	353
Illawarra	Person not in same household	3937	22
Illawarra	Person not in same household	5250	160
Illawarra	Person not in same household	7875	330
Illawarra	Person not in same household	10500	332
Illawarra	Person not in same household	11812	554
Illawarra	Person not in same household	14437	941
Illawarra	Person not in same household	18375	1342
Illawarra	Person not in same household	23625	488
Illawarra	Person not in same household	28875	164
Illawarra	Person not in same household	34125	76
Illawarra	Person not in same household	39375	25
Illawarra	Person not in same household	44625	12
Illawarra	Person not in same household	49875	22
Illawarra	Real estate agent	0	46
Illawarra	Real estate agent	3937	7
Illawarra	Real estate agent	5250	90
Illawarra	Real estate agent	7875	397
Illawarra	Real estate agent	10500	465
Illawarra	Real estate agent	11812	1395
Illawarra	Real estate agent	14437	3273
Illawarra	Real estate agent	18375	5755
Illawarra	Real estate agent	23625	3211
Illawarra	Real estate agent	28875	1176
Illawarra	Real estate agent	34125	364
Illawarra	Real estate agent	39375	114
Illawarra	Real estate agent	44625	58
Illawarra	Real estate agent	49875	45
Illawarra	State or territory housing authority	0	337
Illawarra	State or territory housing authority	3937	262
Illawarra	State or territory housing authority	5250	2674
Illawarra	State or territory housing authority	7875	1298
Illawarra	State or territory housing authority	10500	559
Illawarra	State or territory housing authority	11812	402
Illawarra	State or territory housing authority	14437	611
Illawarra	State or territory housing authority	18375	411
Illawarra	State or territory housing authority	23625	42
Illawarra	State or territory housing authority	28875	5
Illawarra	State or territory housing authority	39375	3
Illawarra	State or territory housing authority	49875	3
Mid North Coast		0	362
Mid North Coast		3937	3
Mid North Coast		5250	19
Mid North Coast		7875	25
Mid North Coast		10500	18
Mid North Coast		11812	27
Mid North Coast		14437	35
Mid North Coast		18375	13
Mid North Coast		23625	3
Mid North Coast		28875	7
Mid North Coast	(Other)	0	115
Mid North Coast	(Other)	3937	25
Mid North Coast	(Other)	5250	130
Mid North Coast	(Other)	7875	169
Mid North Coast	(Other)	10500	90
Mid North Coast	(Other)	11812	89
Mid North Coast	(Other)	14437	91
Mid North Coast	(Other)	18375	52
Mid North Coast	(Other)	23625	3
Mid North Coast	(Other)	28875	3
Mid North Coast	(Other)	34125	3
Mid North Coast	(Other)	44625	3
Mid North Coast	(Other)	49875	6
Mid North Coast	Co-op/church group etc	0	25
Mid North Coast	Co-op/church group etc	3937	42
Mid North Coast	Co-op/church group etc	5250	110
Mid North Coast	Co-op/church group etc	7875	264
Mid North Coast	Co-op/church group etc	10500	73
Mid North Coast	Co-op/church group etc	11812	56
Mid North Coast	Co-op/church group etc	14437	43
Mid North Coast	Co-op/church group etc	18375	18
Mid North Coast	Co-op/church group etc	23625	8
Mid North Coast	Person not in same household	0	400
Mid North Coast	Person not in same household	3937	36
Mid North Coast	Person not in same household	5250	362
Mid North Coast	Person not in same household	7875	592
Mid North Coast	Person not in same household	10500	572
Mid North Coast	Person not in same household	11812	809
Mid North Coast	Person not in same household	14437	957
Mid North Coast	Person not in same household	18375	641
Mid North Coast	Person not in same household	23625	135
Mid North Coast	Person not in same household	28875	27
Mid North Coast	Person not in same household	34125	11
Mid North Coast	Person not in same household	39375	6
Mid North Coast	Person not in same household	49875	14
Mid North Coast	Real estate agent	0	28
Mid North Coast	Real estate agent	3937	9
Mid North Coast	Real estate agent	5250	160
Mid North Coast	Real estate agent	7875	866
Mid North Coast	Real estate agent	10500	900
Mid North Coast	Real estate agent	11812	2288
Mid North Coast	Real estate agent	14437	3713
Mid North Coast	Real estate agent	18375	3169
Mid North Coast	Real estate agent	23625	797
Mid North Coast	Real estate agent	28875	176
Mid North Coast	Real estate agent	34125	31
Mid North Coast	Real estate agent	39375	10
Mid North Coast	Real estate agent	44625	6
Mid North Coast	Real estate agent	49875	18
Mid North Coast	State or territory housing authority	0	85
Mid North Coast	State or territory housing authority	3937	75
Mid North Coast	State or territory housing authority	5250	885
Mid North Coast	State or territory housing authority	7875	548
Mid North Coast	State or territory housing authority	10500	240
Mid North Coast	State or territory housing authority	11812	219
Mid North Coast	State or territory housing authority	14437	180
Mid North Coast	State or territory housing authority	18375	37
Mid North Coast	State or territory housing authority	34125	4
Mid North Coast	State or territory housing authority	49875	3
Murray		0	257
Murray		3937	6
Murray		5250	18
Murray		7875	31
Murray		10500	9
Murray		11812	13
Murray		14437	5
Murray		18375	3
Murray	(Other)	0	287
Murray	(Other)	3937	44
Murray	(Other)	5250	107
Murray	(Other)	7875	100
Murray	(Other)	10500	51
Murray	(Other)	11812	52
Murray	(Other)	14437	33
Murray	(Other)	18375	15
Murray	(Other)	23625	4
Murray	Co-op/church group etc	0	53
Murray	Co-op/church group etc	3937	54
Murray	Co-op/church group etc	5250	91
Murray	Co-op/church group etc	7875	67
Murray	Co-op/church group etc	10500	24
Murray	Co-op/church group etc	11812	17
Murray	Co-op/church group etc	14437	4
Murray	Co-op/church group etc	18375	3
Murray	Person not in same household	0	337
Murray	Person not in same household	3937	56
Murray	Person not in same household	5250	425
Murray	Person not in same household	7875	600
Murray	Person not in same household	10500	408
Murray	Person not in same household	11812	420
Murray	Person not in same household	14437	278
Murray	Person not in same household	18375	117
Murray	Person not in same household	23625	24
Murray	Person not in same household	28875	3
Murray	Person not in same household	34125	3
Murray	Person not in same household	39375	4
Murray	Person not in same household	49875	19
Murray	Real estate agent	0	34
Murray	Real estate agent	3937	49
Murray	Real estate agent	5250	606
Murray	Real estate agent	7875	1470
Murray	Real estate agent	10500	840
Murray	Real estate agent	11812	1502
Murray	Real estate agent	14437	1496
Murray	Real estate agent	18375	780
Murray	Real estate agent	23625	114
Murray	Real estate agent	28875	14
Murray	Real estate agent	34125	3
Murray	Real estate agent	39375	3
Murray	Real estate agent	49875	11
Murray	State or territory housing authority	0	48
Murray	State or territory housing authority	3937	61
Murray	State or territory housing authority	5250	375
Murray	State or territory housing authority	7875	239
Murray	State or territory housing authority	10500	96
Murray	State or territory housing authority	11812	94
Murray	State or territory housing authority	14437	29
Murray	State or territory housing authority	18375	6
New England and North West		0	639
New England and North West		3937	14
New England and North West		5250	37
New England and North West		7875	50
New England and North West		10500	20
New England and North West		11812	23
New England and North West		14437	25
New England and North West		18375	5
New England and North West	(Other)	0	629
New England and North West	(Other)	3937	50
New England and North West	(Other)	5250	187
New England and North West	(Other)	7875	171
New England and North West	(Other)	10500	97
New England and North West	(Other)	11812	100
New England and North West	(Other)	14437	93
New England and North West	(Other)	18375	44
New England and North West	(Other)	23625	15
New England and North West	(Other)	28875	6
New England and North West	(Other)	49875	3
New England and North West	Co-op/church group etc	0	106
New England and North West	Co-op/church group etc	3937	45
New England and North West	Co-op/church group etc	5250	154
New England and North West	Co-op/church group etc	7875	224
New England and North West	Co-op/church group etc	10500	57
New England and North West	Co-op/church group etc	11812	59
New England and North West	Co-op/church group etc	14437	24
New England and North West	Co-op/church group etc	18375	3
New England and North West	Person not in same household	0	609
New England and North West	Person not in same household	3937	78
New England and North West	Person not in same household	5250	572
New England and North West	Person not in same household	7875	765
New England and North West	Person not in same household	10500	643
New England and North West	Person not in same household	11812	676
New England and North West	Person not in same household	14437	734
New England and North West	Person not in same household	18375	345
New England and North West	Person not in same household	23625	72
New England and North West	Person not in same household	28875	23
New England and North West	Person not in same household	34125	8
New England and North West	Person not in same household	39375	3
New England and North West	Person not in same household	49875	27
New England and North West	Real estate agent	0	40
New England and North West	Real estate agent	3937	52
New England and North West	Real estate agent	5250	446
New England and North West	Real estate agent	7875	1440
New England and North West	Real estate agent	10500	1089
New England and North West	Real estate agent	11812	2150
New England and North West	Real estate agent	14437	2854
New England and North West	Real estate agent	18375	1791
New England and North West	Real estate agent	23625	329
New England and North West	Real estate agent	28875	47
New England and North West	Real estate agent	34125	9
New England and North West	Real estate agent	39375	6
New England and North West	Real estate agent	44625	3
New England and North West	Real estate agent	49875	16
New England and North West	State or territory housing authority	0	105
New England and North West	State or territory housing authority	3937	124
New England and North West	State or territory housing authority	5250	629
New England and North West	State or territory housing authority	7875	639
New England and North West	State or territory housing authority	10500	238
New England and North West	State or territory housing authority	11812	270
New England and North West	State or territory housing authority	14437	99
New England and North West	State or territory housing authority	18375	27
New England and North West	State or territory housing authority	23625	4
New England and North West	State or territory housing authority	44625	3
Newcastle and Lake Macquarie		0	307
Newcastle and Lake Macquarie		3937	6
Newcastle and Lake Macquarie		5250	21
Newcastle and Lake Macquarie		7875	26
Newcastle and Lake Macquarie		10500	10
Newcastle and Lake Macquarie		11812	18
Newcastle and Lake Macquarie		14437	38
Newcastle and Lake Macquarie		18375	29
Newcastle and Lake Macquarie		23625	9
Newcastle and Lake Macquarie		34125	3
Newcastle and Lake Macquarie	(Other)	0	57
Newcastle and Lake Macquarie	(Other)	3937	18
Newcastle and Lake Macquarie	(Other)	5250	83
Newcastle and Lake Macquarie	(Other)	7875	113
Newcastle and Lake Macquarie	(Other)	10500	79
Newcastle and Lake Macquarie	(Other)	11812	127
Newcastle and Lake Macquarie	(Other)	14437	182
Newcastle and Lake Macquarie	(Other)	18375	134
Newcastle and Lake Macquarie	(Other)	23625	29
Newcastle and Lake Macquarie	(Other)	28875	15
Newcastle and Lake Macquarie	(Other)	34125	8
Newcastle and Lake Macquarie	(Other)	39375	4
Newcastle and Lake Macquarie	(Other)	49875	6
Newcastle and Lake Macquarie	Co-op/church group etc	0	63
Newcastle and Lake Macquarie	Co-op/church group etc	3937	61
Newcastle and Lake Macquarie	Co-op/church group etc	5250	141
Newcastle and Lake Macquarie	Co-op/church group etc	7875	217
Newcastle and Lake Macquarie	Co-op/church group etc	10500	102
Newcastle and Lake Macquarie	Co-op/church group etc	11812	80
Newcastle and Lake Macquarie	Co-op/church group etc	14437	53
Newcastle and Lake Macquarie	Co-op/church group etc	18375	27
Newcastle and Lake Macquarie	Co-op/church group etc	23625	6
Newcastle and Lake Macquarie	Co-op/church group etc	39375	3
Newcastle and Lake Macquarie	Person not in same household	0	426
Newcastle and Lake Macquarie	Person not in same household	3937	35
Newcastle and Lake Macquarie	Person not in same household	5250	291
Newcastle and Lake Macquarie	Person not in same household	7875	529
Newcastle and Lake Macquarie	Person not in same household	10500	531
Newcastle and Lake Macquarie	Person not in same household	11812	778
Newcastle and Lake Macquarie	Person not in same household	14437	1723
Newcastle and Lake Macquarie	Person not in same household	18375	2054
Newcastle and Lake Macquarie	Person not in same household	23625	607
Newcastle and Lake Macquarie	Person not in same household	28875	171
Newcastle and Lake Macquarie	Person not in same household	34125	67
Newcastle and Lake Macquarie	Person not in same household	39375	36
Newcastle and Lake Macquarie	Person not in same household	44625	16
