SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	28800	22
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	36000	22
Coffs Harbour - Grafton	Semi-detached, row/terrace house, townhouse etc.	48000	10
Coffs Harbour - Grafton	Separate house	0	738
Coffs Harbour - Grafton	Separate house	3600	429
Coffs Harbour - Grafton	Separate house	5400	411
Coffs Harbour - Grafton	Separate house	7200	674
Coffs Harbour - Grafton	Separate house	9600	1000
Coffs Harbour - Grafton	Separate house	12000	2517
Coffs Harbour - Grafton	Separate house	16800	2675
Coffs Harbour - Grafton	Separate house	21600	2532
Coffs Harbour - Grafton	Separate house	28800	883
Coffs Harbour - Grafton	Separate house	36000	553
Coffs Harbour - Grafton	Separate house	48000	283
Far West and Orana		0	15
Far West and Orana		3600	3
Far West and Orana		5400	5
Far West and Orana		7200	4
Far West and Orana		9600	3
Far West and Orana		12000	17
Far West and Orana		16800	6
Far West and Orana		21600	5
Far West and Orana		28800	3
Far West and Orana		36000	3
Far West and Orana		48000	3
Far West and Orana	(Other)	0	14
Far West and Orana	(Other)	3600	5
Far West and Orana	(Other)	5400	3
Far West and Orana	(Other)	7200	16
Far West and Orana	(Other)	9600	12
Far West and Orana	(Other)	12000	22
Far West and Orana	(Other)	16800	13
Far West and Orana	(Other)	21600	17
Far West and Orana	(Other)	28800	3
Far West and Orana	(Other)	36000	3
Far West and Orana	(Other)	48000	3
Far West and Orana	Flat/apartment	0	5
Far West and Orana	Flat/apartment	3600	3
Far West and Orana	Flat/apartment	5400	3
Far West and Orana	Flat/apartment	7200	7
Far West and Orana	Flat/apartment	9600	12
Far West and Orana	Flat/apartment	12000	11
Far West and Orana	Flat/apartment	16800	13
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	0	7
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	3600	5
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	5400	7
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	7200	11
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	9600	11
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	12000	36
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	16800	24
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	21600	4
Far West and Orana	Semi-detached, row/terrace house, townhouse etc.	28800	4
Far West and Orana	Separate house	0	769
Far West and Orana	Separate house	3600	494
Far West and Orana	Separate house	5400	466
Far West and Orana	Separate house	7200	905
Far West and Orana	Separate house	9600	1139
Far West and Orana	Separate house	12000	2425
Far West and Orana	Separate house	16800	1865
Far West and Orana	Separate house	21600	1492
Far West and Orana	Separate house	28800	476
Far West and Orana	Separate house	36000	352
Far West and Orana	Separate house	48000	253
Hunter Valley exc Newcastle		0	4
Hunter Valley exc Newcastle		7200	6
Hunter Valley exc Newcastle		9600	7
