SA4_NAME16	Sex	persons
Northern Territory - Outback	M	45287
Migratory - Offshore - Shipping (NT)	F	14
Migratory - Offshore - Shipping (NT)	M	61
No usual address (NT)	F	1157
No usual address (NT)	M	1332
Australian Capital Territory	F	201425
Australian Capital Territory	M	195432
No usual address (ACT)	F	228
No usual address (ACT)	M	312
Other Territories	F	2090
Other Territories	M	2432
Migratory - Offshore - Shipping (OT)	M	3
No usual address (OT)	F	28
No usual address (OT)	M	21
