SA4_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Illawarra	Semi-detached, row/terrace house, townhouse etc.		454
Illawarra	Semi-detached, row/terrace house, townhouse etc.	0	3140
Illawarra	Semi-detached, row/terrace house, townhouse etc.	1	9748
Illawarra	Separate house		1678
Illawarra	Separate house	0	10714
Illawarra	Separate house	1	63960
Mid North Coast			71
Mid North Coast		0	116
Mid North Coast		1	418
Mid North Coast	(Other)		128
Mid North Coast	(Other)	0	745
Mid North Coast	(Other)	1	1037
Mid North Coast	Flat/apartment		312
Mid North Coast	Flat/apartment	0	2273
Mid North Coast	Flat/apartment	1	3903
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.		331
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	0	2620
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	1	5082
Mid North Coast	Separate house		1799
Mid North Coast	Separate house	0	12614
Mid North Coast	Separate house	1	51900
Murray			25
Murray		0	56
Murray		1	154
Murray	(Other)		42
Murray	(Other)	0	202
Murray	(Other)	1	346
Murray	Flat/apartment		104
Murray	Flat/apartment	0	599
Murray	Flat/apartment	1	806
Murray	Semi-detached, row/terrace house, townhouse etc.		180
Murray	Semi-detached, row/terrace house, townhouse etc.	0	1252
Murray	Semi-detached, row/terrace house, townhouse etc.	1	2553
Murray	Separate house		1048
Murray	Separate house	0	7192
Murray	Separate house	1	29276
New England and North West			47
New England and North West		0	127
New England and North West		1	363
New England and North West	(Other)		63
New England and North West	(Other)	0	323
New England and North West	(Other)	1	530
New England and North West	Flat/apartment		177
New England and North West	Flat/apartment	0	1103
New England and North West	Flat/apartment	1	1311
New England and North West	Semi-detached, row/terrace house, townhouse etc.		198
New England and North West	Semi-detached, row/terrace house, townhouse etc.	0	1245
New England and North West	Semi-detached, row/terrace house, townhouse etc.	1	2165
New England and North West	Separate house		1812
New England and North West	Separate house	0	13233
New England and North West	Separate house	1	43608
Newcastle and Lake Macquarie			74
Newcastle and Lake Macquarie		0	61
Newcastle and Lake Macquarie		1	304
Newcastle and Lake Macquarie	(Other)		56
Newcastle and Lake Macquarie	(Other)	0	318
Newcastle and Lake Macquarie	(Other)	1	472
Newcastle and Lake Macquarie	Flat/apartment		427
Newcastle and Lake Macquarie	Flat/apartment	0	2947
Newcastle and Lake Macquarie	Flat/apartment	1	7068
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.		514
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	0	4058
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	1	11858
Newcastle and Lake Macquarie	Separate house		2235
Newcastle and Lake Macquarie	Separate house	0	15004
Newcastle and Lake Macquarie	Separate house	1	90122
Richmond - Tweed			82
Richmond - Tweed		0	140
Richmond - Tweed		1	481
Richmond - Tweed	(Other)		169
Richmond - Tweed	(Other)	0	990
Richmond - Tweed	(Other)	1	1604
Richmond - Tweed	Flat/apartment		367
Richmond - Tweed	Flat/apartment	0	2041
Richmond - Tweed	Flat/apartment	1	4756
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		515
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	0	3294
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1	9154
Richmond - Tweed	Separate house		1779
Richmond - Tweed	Separate house	0	10197
Richmond - Tweed	Separate house	1	55383
Riverina			25
Riverina		0	62
Riverina		1	225
Riverina	(Other)		45
Riverina	(Other)	0	163
Riverina	(Other)	1	304
Riverina	Flat/apartment		214
Riverina	Flat/apartment	0	1298
Riverina	Flat/apartment	1	2312
Riverina	Semi-detached, row/terrace house, townhouse etc.		91
Riverina	Semi-detached, row/terrace house, townhouse etc.	0	709
Riverina	Semi-detached, row/terrace house, townhouse etc.	1	1139
Riverina	Separate house		1425
Riverina	Separate house	0	9905
Riverina	Separate house	1	37599
Southern Highlands and Shoalhaven			49
Southern Highlands and Shoalhaven		0	80
Southern Highlands and Shoalhaven		1	278
Southern Highlands and Shoalhaven	(Other)		82
Southern Highlands and Shoalhaven	(Other)	0	447
Southern Highlands and Shoalhaven	(Other)	1	609
Southern Highlands and Shoalhaven	Flat/apartment		88
Southern Highlands and Shoalhaven	Flat/apartment	0	381
Southern Highlands and Shoalhaven	Flat/apartment	1	810
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		148
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	0	1112
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1	2387
Southern Highlands and Shoalhaven	Separate house		1257
Southern Highlands and Shoalhaven	Separate house	0	7721
Southern Highlands and Shoalhaven	Separate house	1	40443
Sydney - Baulkham Hills and Hawkesbury			49
Sydney - Baulkham Hills and Hawkesbury		0	36
Sydney - Baulkham Hills and Hawkesbury		1	201
Sydney - Baulkham Hills and Hawkesbury	(Other)		27
Sydney - Baulkham Hills and Hawkesbury	(Other)	0	93
Sydney - Baulkham Hills and Hawkesbury	(Other)	1	168
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		108
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	0	596
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1	2751
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		130
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	0	679
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1	6371
Sydney - Baulkham Hills and Hawkesbury	Separate house		929
Sydney - Baulkham Hills and Hawkesbury	Separate house	0	3142
Sydney - Baulkham Hills and Hawkesbury	Separate house	1	54539
Sydney - Blacktown			71
Sydney - Blacktown		0	48
Sydney - Blacktown		1	238
Sydney - Blacktown	(Other)		58
Sydney - Blacktown	(Other)	0	115
Sydney - Blacktown	(Other)	1	278
Sydney - Blacktown	Flat/apartment		232
Sydney - Blacktown	Flat/apartment	0	1140
Sydney - Blacktown	Flat/apartment	1	4055
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		435
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	0	1900
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1	14174
Sydney - Blacktown	Separate house		2199
Sydney - Blacktown	Separate house	0	9271
Sydney - Blacktown	Separate house	1	67710
Sydney - City and Inner South			233
Sydney - City and Inner South		0	78
Sydney - City and Inner South		1	517
Sydney - City and Inner South	(Other)		80
Sydney - City and Inner South	(Other)	0	120
Sydney - City and Inner South	(Other)	1	846
Sydney - City and Inner South	Flat/apartment		2530
Sydney - City and Inner South	Flat/apartment	0	8548
Sydney - City and Inner South	Flat/apartment	1	71821
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		793
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	0	2509
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1	23313
Sydney - City and Inner South	Separate house		406
Sydney - City and Inner South	Separate house	0	1973
Sydney - City and Inner South	Separate house	1	10901
Sydney - Eastern Suburbs			82
Sydney - Eastern Suburbs		0	35
Sydney - Eastern Suburbs		1	326
Sydney - Eastern Suburbs	(Other)		34
Sydney - Eastern Suburbs	(Other)	0	95
Sydney - Eastern Suburbs	(Other)	1	837
Sydney - Eastern Suburbs	Flat/apartment		1900
Sydney - Eastern Suburbs	Flat/apartment	0	6093
Sydney - Eastern Suburbs	Flat/apartment	1	48716
Sydney - Eastern Suburbs	Semi-detached, row/terrace house, townhouse etc.		439
Sydney - Eastern Suburbs	Semi-detached, row/terrace house, townhouse etc.	0	1362
Sydney - Eastern Suburbs	Semi-detached, row/terrace house, townhouse etc.	1	16815
Sydney - Eastern Suburbs	Separate house		478
Sydney - Eastern Suburbs	Separate house	0	1845
Sydney - Eastern Suburbs	Separate house	1	19765
Sydney - Inner South West			127
Sydney - Inner South West		0	93
Sydney - Inner South West		1	461
Sydney - Inner South West	(Other)		49
Sydney - Inner South West	(Other)	0	208
Sydney - Inner South West	(Other)	1	841
Sydney - Inner South West	Flat/apartment		1976
Sydney - Inner South West	Flat/apartment	0	9029
Sydney - Inner South West	Flat/apartment	1	46808
Sydney - Inner South West	Semi-detached, row/terrace house, townhouse etc.		831
Sydney - Inner South West	Semi-detached, row/terrace house, townhouse etc.	0	4133
Sydney - Inner South West	Semi-detached, row/terrace house, townhouse etc.	1	22014
Sydney - Inner South West	Separate house		2731
Sydney - Inner South West	Separate house	0	14577
Sydney - Inner South West	Separate house	1	80518
Sydney - Inner West			227
Sydney - Inner West		0	59
Sydney - Inner West		1	475
Sydney - Inner West	(Other)		51
Sydney - Inner West	(Other)	0	110
Sydney - Inner West	(Other)	1	950
Sydney - Inner West	Flat/apartment		1386
Sydney - Inner West	Flat/apartment	0	4792
Sydney - Inner West	Flat/apartment	1	41034
Sydney - Inner West	Semi-detached, row/terrace house, townhouse etc.		413
Sydney - Inner West	Semi-detached, row/terrace house, townhouse etc.	0	1566
Sydney - Inner West	Semi-detached, row/terrace house, townhouse etc.	1	18597
Sydney - Inner West	Separate house		740
Sydney - Inner West	Separate house	0	4456
Sydney - Inner West	Separate house	1	30099
Sydney - North Sydney and Hornsby			68
Sydney - North Sydney and Hornsby		0	42
Sydney - North Sydney and Hornsby		1	313
Sydney - North Sydney and Hornsby	(Other)		16
Sydney - North Sydney and Hornsby	(Other)	0	27
Sydney - North Sydney and Hornsby	(Other)	1	235
Sydney - North Sydney and Hornsby	Flat/apartment		1304
Sydney - North Sydney and Hornsby	Flat/apartment	0	5147
Sydney - North Sydney and Hornsby	Flat/apartment	1	55930
Sydney - North Sydney and Hornsby	Semi-detached, row/terrace house, townhouse etc.		239
Sydney - North Sydney and Hornsby	Semi-detached, row/terrace house, townhouse etc.	0	804
Sydney - North Sydney and Hornsby	Semi-detached, row/terrace house, townhouse etc.	1	10906
Sydney - North Sydney and Hornsby	Separate house		1016
Sydney - North Sydney and Hornsby	Separate house	0	3559
Sydney - North Sydney and Hornsby	Separate house	1	67103
Sydney - Northern Beaches			59
Sydney - Northern Beaches		0	47
Sydney - Northern Beaches		1	271
Sydney - Northern Beaches	(Other)		45
Sydney - Northern Beaches	(Other)	0	52
Sydney - Northern Beaches	(Other)	1	352
Sydney - Northern Beaches	Flat/apartment		761
Sydney - Northern Beaches	Flat/apartment	0	3375
Sydney - Northern Beaches	Flat/apartment	1	24359
Sydney - Northern Beaches	Semi-detached, row/terrace house, townhouse etc.		263
Sydney - Northern Beaches	Semi-detached, row/terrace house, townhouse etc.	0	1087
Sydney - Northern Beaches	Semi-detached, row/terrace house, townhouse etc.	1	6540
Sydney - Northern Beaches	Separate house		886
Sydney - Northern Beaches	Separate house	0	2990
Sydney - Northern Beaches	Separate house	1	46840
Sydney - Outer South West			26
Sydney - Outer South West		0	47
Sydney - Outer South West		1	209
Sydney - Outer South West	(Other)		9
Sydney - Outer South West	(Other)	0	89
Sydney - Outer South West	(Other)	1	161
Sydney - Outer South West	Flat/apartment		90
Sydney - Outer South West	Flat/apartment	0	628
Sydney - Outer South West	Flat/apartment	1	1777
Sydney - Outer South West	Semi-detached, row/terrace house, townhouse etc.		375
Sydney - Outer South West	Semi-detached, row/terrace house, townhouse etc.	0	2471
Sydney - Outer South West	Semi-detached, row/terrace house, townhouse etc.	1	7396
Sydney - Outer South West	Separate house		1531
Sydney - Outer South West	Separate house	0	7473
Sydney - Outer South West	Separate house	1	60434
Sydney - Outer West and Blue Mountains			51
Sydney - Outer West and Blue Mountains		0	76
Sydney - Outer West and Blue Mountains		1	294
Sydney - Outer West and Blue Mountains	(Other)		27
Sydney - Outer West and Blue Mountains	(Other)	0	90
Sydney - Outer West and Blue Mountains	(Other)	1	190
Sydney - Outer West and Blue Mountains	Flat/apartment		194
Sydney - Outer West and Blue Mountains	Flat/apartment	0	1327
Sydney - Outer West and Blue Mountains	Flat/apartment	1	3293
Sydney - Outer West and Blue Mountains	Semi-detached, row/terrace house, townhouse etc.		434
Sydney - Outer West and Blue Mountains	Semi-detached, row/terrace house, townhouse etc.	0	2353
Sydney - Outer West and Blue Mountains	Semi-detached, row/terrace house, townhouse etc.	1	8153
Sydney - Outer West and Blue Mountains	Separate house		1829
Sydney - Outer West and Blue Mountains	Separate house	0	9336
Sydney - Outer West and Blue Mountains	Separate house	1	76506
Sydney - Parramatta			146
Sydney - Parramatta		0	81
Sydney - Parramatta		1	414
Sydney - Parramatta	(Other)		35
Sydney - Parramatta	(Other)	0	95
Sydney - Parramatta	(Other)	1	518
Sydney - Parramatta	Flat/apartment		1599
Sydney - Parramatta	Flat/apartment	0	6044
Sydney - Parramatta	Flat/apartment	1	37181
Sydney - Parramatta	Semi-detached, row/terrace house, townhouse etc.		710
Sydney - Parramatta	Semi-detached, row/terrace house, townhouse etc.	0	2954
Sydney - Parramatta	Semi-detached, row/terrace house, townhouse etc.	1	18288
Sydney - Parramatta	Separate house		2080
Sydney - Parramatta	Separate house	0	9442
Sydney - Parramatta	Separate house	1	61270
Sydney - Ryde			48
Sydney - Ryde		0	24
Sydney - Ryde		1	199
Sydney - Ryde	(Other)		9
Sydney - Ryde	(Other)	0	18
Sydney - Ryde	(Other)	1	109
Sydney - Ryde	Flat/apartment		432
Sydney - Ryde	Flat/apartment	0	2093
Sydney - Ryde	Flat/apartment	1	16592
Sydney - Ryde	Semi-detached, row/terrace house, townhouse etc.		235
Sydney - Ryde	Semi-detached, row/terrace house, townhouse etc.	0	943
Sydney - Ryde	Semi-detached, row/terrace house, townhouse etc.	1	7966
Sydney - Ryde	Separate house		628
Sydney - Ryde	Separate house	0	2704
Sydney - Ryde	Separate house	1	30763
Sydney - South West			130
Sydney - South West		0	105
Sydney - South West		1	302
Sydney - South West	(Other)		39
Sydney - South West	(Other)	0	158
Sydney - South West	(Other)	1	357
Sydney - South West	Flat/apartment		623
Sydney - South West	Flat/apartment	0	3950
Sydney - South West	Flat/apartment	1	10023
Sydney - South West	Semi-detached, row/terrace house, townhouse etc.		535
Sydney - South West	Semi-detached, row/terrace house, townhouse etc.	0	2541
Sydney - South West	Semi-detached, row/terrace house, townhouse etc.	1	10159
Sydney - South West	Separate house		2615
Sydney - South West	Separate house	0	11659
Sydney - South West	Separate house	1	73685
Sydney - Sutherland			36
Sydney - Sutherland		0	21
Sydney - Sutherland		1	135
Sydney - Sutherland	(Other)		26
Sydney - Sutherland	(Other)	0	96
Sydney - Sutherland	(Other)	1	253
Sydney - Sutherland	Flat/apartment		438
Sydney - Sutherland	Flat/apartment	0	2619
Sydney - Sutherland	Flat/apartment	1	13653
Sydney - Sutherland	Semi-detached, row/terrace house, townhouse etc.		253
Sydney - Sutherland	Semi-detached, row/terrace house, townhouse etc.	0	1433
Sydney - Sutherland	Semi-detached, row/terrace house, townhouse etc.	1	8687
Sydney - Sutherland	Separate house		807
Sydney - Sutherland	Separate house	0	3593
Sydney - Sutherland	Separate house	1	44124
Ballarat			53
Ballarat		0	76
Ballarat		1	218
Ballarat	(Other)		30
Ballarat	(Other)	0	165
Ballarat	(Other)	1	486
Ballarat	Flat/apartment		83
Ballarat	Flat/apartment	0	436
Ballarat	Flat/apartment	1	884
Ballarat	Semi-detached, row/terrace house, townhouse etc.		220
Ballarat	Semi-detached, row/terrace house, townhouse etc.	0	1526
Ballarat	Semi-detached, row/terrace house, townhouse etc.	1	4080
Ballarat	Separate house		1317
Ballarat	Separate house	0	8741
Ballarat	Separate house	1	41436
Bendigo			42
Bendigo		0	58
Bendigo		1	219
Bendigo	(Other)		26
Bendigo	(Other)	0	129
Bendigo	(Other)	1	229
Bendigo	Flat/apartment		47
Bendigo	Flat/apartment	0	240
Bendigo	Flat/apartment	1	452
Bendigo	Semi-detached, row/terrace house, townhouse etc.		192
Bendigo	Semi-detached, row/terrace house, townhouse etc.	0	1200
Bendigo	Semi-detached, row/terrace house, townhouse etc.	1	2325
Bendigo	Separate house		1326
Bendigo	Separate house	0	8332
Bendigo	Separate house	1	42690
Geelong			33
Geelong		0	52
Geelong		1	264
Geelong	(Other)		28
Geelong	(Other)	0	168
Geelong	(Other)	1	435
Geelong	Flat/apartment		129
Geelong	Flat/apartment	0	724
Geelong	Flat/apartment	1	1786
Geelong	Semi-detached, row/terrace house, townhouse etc.		352
Geelong	Semi-detached, row/terrace house, townhouse etc.	0	2538
Geelong	Semi-detached, row/terrace house, townhouse etc.	1	7284
Geelong	Separate house		2072
Geelong	Separate house	0	12480
Geelong	Separate house	1	74295
Hume			25
Hume		0	58
Hume		1	329
Hume	(Other)		80
Hume	(Other)	0	177
Hume	(Other)	1	323
Hume	Flat/apartment		111
Hume	Flat/apartment	0	669
Hume	Flat/apartment	1	912
Hume	Semi-detached, row/terrace house, townhouse etc.		194
Hume	Semi-detached, row/terrace house, townhouse etc.	0	1222
Hume	Semi-detached, row/terrace house, townhouse etc.	1	2091
Hume	Separate house		1606
Hume	Separate house	0	10107
Hume	Separate house	1	46187
Latrobe - Gippsland			139
Latrobe - Gippsland		0	83
Latrobe - Gippsland		1	372
Latrobe - Gippsland	(Other)		62
Latrobe - Gippsland	(Other)	0	389
Latrobe - Gippsland	(Other)	1	528
Latrobe - Gippsland	Flat/apartment		179
Latrobe - Gippsland	Flat/apartment	0	1280
Latrobe - Gippsland	Flat/apartment	1	1931
Latrobe - Gippsland	Semi-detached, row/terrace house, townhouse etc.		240
Latrobe - Gippsland	Semi-detached, row/terrace house, townhouse etc.	0	1749
Latrobe - Gippsland	Semi-detached, row/terrace house, townhouse etc.	1	2527
Latrobe - Gippsland	Separate house		2564
Latrobe - Gippsland	Separate house	0	16439
Latrobe - Gippsland	Separate house	1	75007
Melbourne - Inner			145
Melbourne - Inner		0	95
Melbourne - Inner		1	950
Melbourne - Inner	(Other)		95
Melbourne - Inner	(Other)	0	104
Melbourne - Inner	(Other)	1	1143
Melbourne - Inner	Flat/apartment		3933
Melbourne - Inner	Flat/apartment	0	13746
Melbourne - Inner	Flat/apartment	1	116548
Melbourne - Inner	Semi-detached, row/terrace house, townhouse etc.		1281
Melbourne - Inner	Semi-detached, row/terrace house, townhouse etc.	0	4568
Melbourne - Inner	Semi-detached, row/terrace house, townhouse etc.	1	50884
Melbourne - Inner	Separate house		1237
Melbourne - Inner	Separate house	0	6636
Melbourne - Inner	Separate house	1	45539
Melbourne - Inner East			110
Melbourne - Inner East		0	34
Melbourne - Inner East		1	291
Melbourne - Inner East	(Other)		8
Melbourne - Inner East	(Other)	0	15
Melbourne - Inner East	(Other)	1	220
Melbourne - Inner East	Flat/apartment		630
Melbourne - Inner East	Flat/apartment	0	2103
Melbourne - Inner East	Flat/apartment	1	17446
Melbourne - Inner East	Semi-detached, row/terrace house, townhouse etc.		562
Melbourne - Inner East	Semi-detached, row/terrace house, townhouse etc.	0	2790
Melbourne - Inner East	Semi-detached, row/terrace house, townhouse etc.	1	23858
Melbourne - Inner East	Separate house		1542
Melbourne - Inner East	Separate house	0	7461
Melbourne - Inner East	Separate house	1	71267
Melbourne - Inner South			73
Melbourne - Inner South		0	79
Melbourne - Inner South		1	440
Melbourne - Inner South	(Other)		21
Melbourne - Inner South	(Other)	0	120
Melbourne - Inner South	(Other)	1	697
Melbourne - Inner South	Flat/apartment		832
Melbourne - Inner South	Flat/apartment	0	3878
Melbourne - Inner South	Flat/apartment	1	24336
Melbourne - Inner South	Semi-detached, row/terrace house, townhouse etc.		819
Melbourne - Inner South	Semi-detached, row/terrace house, townhouse etc.	0	4095
Melbourne - Inner South	Semi-detached, row/terrace house, townhouse etc.	1	32235
Melbourne - Inner South	Separate house		1545
Melbourne - Inner South	Separate house	0	7547
Melbourne - Inner South	Separate house	1	73017
Melbourne - North East			64
Melbourne - North East		0	57
Melbourne - North East		1	298
Melbourne - North East	(Other)		8
Melbourne - North East	(Other)	0	44
Melbourne - North East	(Other)	1	265
Melbourne - North East	Flat/apartment		272
Melbourne - North East	Flat/apartment	0	1429
Melbourne - North East	Flat/apartment	1	6777
Melbourne - North East	Semi-detached, row/terrace house, townhouse etc.		723
Melbourne - North East	Semi-detached, row/terrace house, townhouse etc.	0	3886
Melbourne - North East	Semi-detached, row/terrace house, townhouse etc.	1	20320
Melbourne - North East	Separate house		3182
Melbourne - North East	Separate house	0	16862
Melbourne - North East	Separate house	1	114493
Melbourne - North West			56
Melbourne - North West		0	49
Melbourne - North West		1	209
Melbourne - North West	(Other)		40
Melbourne - North West	(Other)	0	178
Melbourne - North West	(Other)	1	360
Melbourne - North West	Flat/apartment		155
Melbourne - North West	Flat/apartment	0	863
Melbourne - North West	Flat/apartment	1	2849
Melbourne - North West	Semi-detached, row/terrace house, townhouse etc.		588
Melbourne - North West	Semi-detached, row/terrace house, townhouse etc.	0	2765
Melbourne - North West	Semi-detached, row/terrace house, townhouse etc.	1	14712
Melbourne - North West	Separate house		2568
Melbourne - North West	Separate house	0	13408
Melbourne - North West	Separate house	1	79814
Melbourne - Outer East			67
Melbourne - Outer East		0	63
Melbourne - Outer East		1	336
Melbourne - Outer East	(Other)		28
Melbourne - Outer East	(Other)	0	174
Melbourne - Outer East	(Other)	1	394
Melbourne - Outer East	Flat/apartment		140
Melbourne - Outer East	Flat/apartment	0	668
Melbourne - Outer East	Flat/apartment	1	2408
Melbourne - Outer East	Semi-detached, row/terrace house, townhouse etc.		575
Melbourne - Outer East	Semi-detached, row/terrace house, townhouse etc.	0	3231
Melbourne - Outer East	Semi-detached, row/terrace house, townhouse etc.	1	14038
Melbourne - Outer East	Separate house		2937
Melbourne - Outer East	Separate house	0	13809
Melbourne - Outer East	Separate house	1	136434
Melbourne - South East			100
Melbourne - South East		0	72
Melbourne - South East		1	399
Melbourne - South East	(Other)		63
Melbourne - South East	(Other)	0	313
Melbourne - South East	(Other)	1	505
Melbourne - South East	Flat/apartment		495
Melbourne - South East	Flat/apartment	0	2449
Melbourne - South East	Flat/apartment	1	11226
Melbourne - South East	Semi-detached, row/terrace house, townhouse etc.		1110
Melbourne - South East	Semi-detached, row/terrace house, townhouse etc.	0	4810
Melbourne - South East	Semi-detached, row/terrace house, townhouse etc.	1	23928
Melbourne - South East	Separate house		5054
Melbourne - South East	Separate house	0	21293
Melbourne - South East	Separate house	1	171214
Melbourne - West			87
Melbourne - West		0	84
Melbourne - West		1	365
Melbourne - West	(Other)		51
Melbourne - West	(Other)	0	196
Melbourne - West	(Other)	1	448
Melbourne - West	Flat/apartment		525
Melbourne - West	Flat/apartment	0	2809
Melbourne - West	Flat/apartment	1	10739
Melbourne - West	Semi-detached, row/terrace house, townhouse etc.		1141
Melbourne - West	Semi-detached, row/terrace house, townhouse etc.	0	5459
Melbourne - West	Semi-detached, row/terrace house, townhouse etc.	1	31707
Melbourne - West	Separate house		5085
Melbourne - West	Separate house	0	22336
Melbourne - West	Separate house	1	155398
Mornington Peninsula			29
Mornington Peninsula		0	42
Mornington Peninsula		1	164
Mornington Peninsula	(Other)		52
Mornington Peninsula	(Other)	0	363
Mornington Peninsula	(Other)	1	496
Mornington Peninsula	Flat/apartment		201
Mornington Peninsula	Flat/apartment	0	1069
Mornington Peninsula	Flat/apartment	1	2776
Mornington Peninsula	Semi-detached, row/terrace house, townhouse etc.		534
Mornington Peninsula	Semi-detached, row/terrace house, townhouse etc.	0	3213
Mornington Peninsula	Semi-detached, row/terrace house, townhouse etc.	1	10576
Mornington Peninsula	Separate house		2189
Mornington Peninsula	Separate house	0	9834
Mornington Peninsula	Separate house	1	75954
North West			46
North West		0	69
North West		1	280
North West	(Other)		41
North West	(Other)	0	226
North West	(Other)	1	326
North West	Flat/apartment		178
North West	Flat/apartment	0	1143
North West	Flat/apartment	1	1224
North West	Semi-detached, row/terrace house, townhouse etc.		143
