SA4_NAME16	CountryOfBirth	Sex	persons
Coffs Harbour - Grafton	AUS	M	53896
Coffs Harbour - Grafton	BGD	F	4
Coffs Harbour - Grafton	BGD	M	19
Coffs Harbour - Grafton	BIH	F	9
Coffs Harbour - Grafton	BIH	M	7
Coffs Harbour - Grafton	CAN	F	121
Coffs Harbour - Grafton	CAN	M	91
Coffs Harbour - Grafton	CHL	F	20
Coffs Harbour - Grafton	CHL	M	12
Coffs Harbour - Grafton	CHN	F	125
Coffs Harbour - Grafton	CHN	M	69
Coffs Harbour - Grafton	DEU	F	334
Coffs Harbour - Grafton	DEU	M	291
Coffs Harbour - Grafton	EGY	F	32
Coffs Harbour - Grafton	EGY	M	38
Coffs Harbour - Grafton	FJI	F	61
Coffs Harbour - Grafton	FJI	M	55
Coffs Harbour - Grafton	FRA	F	62
Coffs Harbour - Grafton	FRA	M	49
Coffs Harbour - Grafton	GBR	F	2583
Coffs Harbour - Grafton	GBR	M	2560
Coffs Harbour - Grafton	GRC	F	18
Coffs Harbour - Grafton	GRC	M	23
Coffs Harbour - Grafton	HKG	F	53
Coffs Harbour - Grafton	HKG	M	52
Coffs Harbour - Grafton	HRV	F	14
Coffs Harbour - Grafton	HRV	M	21
Coffs Harbour - Grafton	IDN	F	60
Coffs Harbour - Grafton	IDN	M	18
Coffs Harbour - Grafton	IND	F	574
Coffs Harbour - Grafton	IND	M	584
Coffs Harbour - Grafton	IRL	F	109
Coffs Harbour - Grafton	IRL	M	117
Coffs Harbour - Grafton	IRN	F	22
Coffs Harbour - Grafton	IRN	M	24
Coffs Harbour - Grafton	IRQ	F	8
Coffs Harbour - Grafton	IRQ	M	4
Coffs Harbour - Grafton	ITA	F	75
Coffs Harbour - Grafton	ITA	M	103
Coffs Harbour - Grafton	JPN	F	67
Coffs Harbour - Grafton	JPN	M	25
Coffs Harbour - Grafton	KHM	F	8
Coffs Harbour - Grafton	KOR	F	39
Coffs Harbour - Grafton	KOR	M	34
Coffs Harbour - Grafton	LBN	F	5
Coffs Harbour - Grafton	LBN	M	8
Coffs Harbour - Grafton	LKA	F	28
Coffs Harbour - Grafton	LKA	M	29
Coffs Harbour - Grafton	MKD	F	3
Coffs Harbour - Grafton	MKD	M	3
Coffs Harbour - Grafton	MLT	F	39
Coffs Harbour - Grafton	MLT	M	31
Coffs Harbour - Grafton	MMR	F	165
Coffs Harbour - Grafton	MMR	M	144
