SA2_NAME16	Sex	persons
Dorrigo	F	1627
Dorrigo	M	1620
Korora - Emerald Beach	F	4477
Korora - Emerald Beach	M	4265
Sawtell - Boambee	F	10035
Sawtell - Boambee	M	9435
Urunga	F	2359
Urunga	M	2308
Woolgoolga - Arrawarra	F	6300
Woolgoolga - Arrawarra	M	6222
Bourke - Brewarrina	F	1978
Bourke - Brewarrina	M	2019
Cobar	F	2262
Cobar	M	2398
Coonamble	F	2074
Coonamble	M	2035
Nyngan - Warren	F	2489
Nyngan - Warren	M	2479
Walgett - Lightning Ridge	F	3036
Walgett - Lightning Ridge	M	3378
Broken Hill	F	9091
Broken Hill	M	8615
Far West	F	1162
Far West	M	1348
Coonabarabran	F	3986
Coonabarabran	M	3964
Dubbo - East	F	5376
Dubbo - East	M	5003
Dubbo - South	F	8929
Dubbo - South	M	8014
Dubbo - West	F	4511
Dubbo - West	M	4262
Dubbo Region	F	2718
Dubbo Region	M	2910
Gilgandra	F	2203
Gilgandra	M	2168
Narromine	F	3269
Narromine	M	3270
Wellington	F	4227
Wellington	M	4606
Branxton - Greta - Pokolbin	F	5033
Branxton - Greta - Pokolbin	M	5092
Cessnock	F	11057
Cessnock	M	10941
Cessnock Region	F	4007
Cessnock Region	M	3920
Dungog	F	4479
Dungog	M	4497
Kurri Kurri - Abermain	F	8876
Kurri Kurri - Abermain	M	8764
Singleton	F	7916
Singleton	M	8177
Singleton Region	F	2398
Singleton Region	M	2525
Maitland	F	3334
Maitland	M	3272
Maitland - East	F	14152
Maitland - East	M	13265
Maitland - North	F	3858
Maitland - North	M	3752
Maitland - West	F	11570
Maitland - West	M	10958
Thornton - Millers Forest	F	5032
Thornton - Millers Forest	M	4968
Anna Bay	F	2904
Anna Bay	M	2824
Lemon Tree Passage - Tanilba Bay	F	3334
Lemon Tree Passage - Tanilba Bay	M	3352
Nelson Bay Peninsula	F	10875
Nelson Bay Peninsula	M	10141
Raymond Terrace	F	7005
Raymond Terrace	M	6823
Seaham - Woodville	F	2708
Seaham - Woodville	M	2701
Tea Gardens - Hawks Nest	F	2539
Tea Gardens - Hawks Nest	M	2500
Williamtown - Medowie - Karuah	F	6725
Williamtown - Medowie - Karuah	M	6945
Muswellbrook	F	5889
Muswellbrook	M	6183
Muswellbrook Region	F	1948
Muswellbrook Region	M	2061
Scone	F	2977
Scone	M	2854
Scone Region	F	4166
Scone Region	M	4119
Dapto - Avondale	F	12062
Dapto - Avondale	M	11402
Horsley - Kembla Grange	F	4430
Horsley - Kembla Grange	M	4230
Port Kembla Industrial	M	7
Unanderra - Mount Kembla	F	7906
Unanderra - Mount Kembla	M	7475
Berkeley - Lake Heights - Cringila	F	6964
Berkeley - Lake Heights - Cringila	M	6841
Port Kembla - Warrawong	F	4890
Port Kembla - Warrawong	M	4859
Windang - Primbee	F	2110
Windang - Primbee	M	2190
Illawarra Catchment Reserve	F	3
Illawarra Catchment Reserve	M	4
Albion Park - Macquarie Pass	F	7389
Albion Park - Macquarie Pass	M	6943
Albion Park Rail	F	3540
Albion Park Rail	M	3372
Kiama	F	3930
Kiama	M	3769
Kiama Downs - Minnamurra	F	2954
Kiama Downs - Minnamurra	M	2918
Kiama Hinterland - Gerringong	F	4017
Kiama Hinterland - Gerringong	M	3797
Shellharbour - Flinders	F	8489
Shellharbour - Flinders	M	8340
Shellharbour - Oak Flats	F	5152
Shellharbour - Oak Flats	M	4804
Warilla	F	10440
Warilla	M	9984
Balgownie - Fairy Meadow	F	10810
Balgownie - Fairy Meadow	M	10391
Corrimal - Tarrawanna - Bellambi	F	7951
Corrimal - Tarrawanna - Bellambi	M	7476
Figtree - Keiraville	F	10609
Figtree - Keiraville	M	10473
Helensburgh	F	4335
Helensburgh	M	4450
Thirroul - Austinmer - Coalcliff	F	5707
Thirroul - Austinmer - Coalcliff	M	5590
Woonona - Bulli - Russell Vale	F	10254
Woonona - Bulli - Russell Vale	M	9580
Wollongong - East	F	6918
Wollongong - East	M	7043
Wollongong - West	F	8156
Wollongong - West	M	8551
Bulahdelah - Stroud	F	2332
Bulahdelah - Stroud	M	2388
Forster	F	7498
Forster	M	6777
Forster-Tuncurry Region	F	2943
Forster-Tuncurry Region	M	3148
Tuncurry	F	3238
Tuncurry	M	2944
Kempsey	F	7443
Kempsey	M	7310
Kempsey Region	F	4394
Kempsey Region	M	4632
Macksville - Scotts Head	F	2449
Macksville - Scotts Head	M	2339
Nambucca Heads	F	3534
Nambucca Heads	M	3220
Nambucca Heads Region	F	3805
Nambucca Heads Region	M	3860
South West Rocks	F	2618
South West Rocks	M	2516
Lord Howe Island	F	191
Lord Howe Island	M	192
Laurieton - Bonny Hills	F	8580
Laurieton - Bonny Hills	M	8160
Port Macquarie - East	F	14620
Port Macquarie - East	M	13424
Port Macquarie - West	F	9281
Port Macquarie - West	M	8048
Port Macquarie Region	F	2575
Port Macquarie Region	M	2723
Wauchope	F	5801
Wauchope	M	5348
Gloucester	F	2553
Gloucester	M	2476
Old Bar - Manning Point - Red Head	F	5425
Old Bar - Manning Point - Red Head	M	5107
Taree	F	10666
Taree	M	9817
Taree Region	F	6126
Taree Region	M	6309
Wingham	F	2821
Wingham	M	2552
Albury - East	F	7812
Albury - East	M	7232
Albury - North	F	5036
Albury - North	M	4802
Albury - South	F	5346
Albury - South	M	4953
Albury Region	F	5802
Albury Region	M	5804
Lavington	F	7512
Lavington	M	6962
Hay	F	1474
Hay	M	1496
Wentworth - Buronga	F	2939
Wentworth - Buronga	M	3033
Wentworth-Balranald Region	F	1703
Wentworth-Balranald Region	M	1907
Corowa	F	2804
Corowa	M	2674
Corowa Region	F	3338
Corowa Region	M	3403
Deniliquin	F	3856
Deniliquin	M	3581
Deniliquin Region	F	3277
Deniliquin Region	M	3479
Moama	F	3013
Moama	M	2836
Tocumwal - Finley - Jerilderie	F	4840
Tocumwal - Finley - Jerilderie	M	4890
Armidale	F	12209
Armidale	M	11142
Armidale Region - North	F	2218
Armidale Region - North	M	2276
Armidale Region - South	F	3098
Armidale Region - South	M	2922
Walcha	F	1611
Walcha	M	1620
Glen Innes	F	4453
Glen Innes	M	4380
Inverell	F	6070
Inverell	M	5590
Inverell Region - East	F	2584
Inverell Region - East	M	2653
Inverell Region - West	F	2958
Inverell Region - West	M	3030
Tenterfield	F	3375
Tenterfield	M	3253
Moree	F	4139
Moree	M	4067
Moree Region	F	2610
Moree Region	M	2842
Narrabri	F	3690
Narrabri	M	3484
Narrabri Region	F	2322
Narrabri Region	M	2477
Gunnedah	F	4691
Gunnedah	M	4500
Gunnedah Region	F	1969
Gunnedah Region	M	2167
Quirindi	F	3815
Quirindi	M	3872
Tamworth - East	F	10365
Tamworth - East	M	10003
Tamworth - North	F	7990
Tamworth - North	M	7083
Tamworth - West	F	2841
Tamworth - West	M	2717
Tamworth Region	F	9292
Tamworth Region	M	9183
Belmont - Bennetts Green	F	9038
Belmont - Bennetts Green	M	8686
Belmont South - Blacksmiths	F	2853
Belmont South - Blacksmiths	M	2756
Charlestown - Dudley	F	12285
Charlestown - Dudley	M	11680
Glendale - Cardiff - Hillsborough	F	11907
Glendale - Cardiff - Hillsborough	M	11482
Mount Hutton - Windale	F	4678
Mount Hutton - Windale	M	4225
Redhead	F	1809
Redhead	M	1703
Swansea - Caves Beach	F	5884
Swansea - Caves Beach	M	5665
Valentine - Eleebana	F	6115
Valentine - Eleebana	M	5882
Warners Bay - Boolaroo	F	6939
Warners Bay - Boolaroo	M	6425
Bolton Point - Teralba	F	4374
Bolton Point - Teralba	M	4148
Bonnells Bay - Silverwater	F	4441
Bonnells Bay - Silverwater	M	4277
Edgeworth - Cameron Park	F	7312
Edgeworth - Cameron Park	M	6884
Morisset - Cooranbong	F	7672
Morisset - Cooranbong	M	7292
Toronto - Awaba	F	6979
Toronto - Awaba	M	6445
Wangi Wangi - Rathmines	F	4437
Wangi Wangi - Rathmines	M	4459
West Wallsend - Barnsley - Killingworth	F	3259
West Wallsend - Barnsley - Killingworth	M	3220
Adamstown - Kotara	F	7938
Adamstown - Kotara	M	7660
Beresfield - Hexham	F	4238
Beresfield - Hexham	M	4116
Hamilton - Broadmeadow	F	5965
Hamilton - Broadmeadow	M	5879
Lambton - New Lambton	F	8578
Lambton - New Lambton	M	7947
Maryland - Fletcher - Minmi	F	6840
Maryland - Fletcher - Minmi	M	6729
Mayfield - Warabrook	F	7484
Mayfield - Warabrook	M	7382
Merewether - The Junction	F	6855
Merewether - The Junction	M	6758
Newcastle - Cooks Hill	F	5307
Newcastle - Cooks Hill	M	5455
Newcastle Port - Kooragang	F	6
Newcastle Port - Kooragang	M	7
Shortland - Jesmond	F	5734
Shortland - Jesmond	M	5808
Stockton - Fullerton Cove	F	3755
Stockton - Fullerton Cove	M	3740
Wallsend - Elermore Vale	F	10196
Wallsend - Elermore Vale	M	9426
Waratah - North Lambton	F	6190
Waratah - North Lambton	M	5867
Wickham - Carrington - Tighes Hill	F	3987
Wickham - Carrington - Tighes Hill	M	4017
Ballina	F	9030
Ballina	M	8081
Ballina Region	F	8583
Ballina Region	M	8252
Bangalow	F	2892
Bangalow	M	2771
Brunswick Heads - Ocean Shores	F	4334
Brunswick Heads - Ocean Shores	M	3872
Byron Bay	F	4924
Byron Bay	M	4581
Evans Head	F	2574
Evans Head	M	2642
Lennox Head - Skennars Head	F	3994
Lennox Head - Skennars Head	M	3745
Mullumbimby	F	4127
Mullumbimby	M	3871
Casino	F	6299
Casino	M	5927
Casino Region	F	3380
Casino Region	M	3589
Goonellabah	F	7013
Goonellabah	M	6114
Kyogle	F	3631
Kyogle	M	3682
Lismore	F	7821
Lismore	M	7467
Lismore Region	F	7467
Lismore Region	M	7556
Kingscliff - Fingal Head	F	6714
Kingscliff - Fingal Head	M	6434
Murwillumbah	F	4713
Murwillumbah	M	4227
Murwillumbah Region	F	4730
Murwillumbah Region	M	4928
Pottsville	F	6730
Pottsville	M	6448
Tweed Heads	F	10020
Tweed Heads	M	9399
Banora Point	F	8322
Banora Point	M	7315
Terranora - North Tumblegum	F	1631
Terranora - North Tumblegum	M	1617
Tweed Heads South	F	4396
Tweed Heads South	M	3747
Griffith (NSW)	F	9703
Griffith (NSW)	M	9439
Griffith Region	F	6176
Griffith Region	M	6705
Leeton	F	5127
Leeton	M	4962
Narrandera	F	3039
Narrandera	M	2995
Tumbarumba	F	1642
Tumbarumba	M	1808
Tumut	F	3203
Tumut	M	3064
Tumut Region	F	2294
Tumut Region	M	2422
Cootamundra	F	3856
Cootamundra	M	3712
Gundagai	F	1775
Gundagai	M	1816
Junee	F	2700
Junee	M	3544
Temora	F	3372
Temora	M	3349
Wagga Wagga - East	F	8461
Wagga Wagga - East	M	8124
Wagga Wagga - North	F	2338
Wagga Wagga - North	M	2069
Wagga Wagga - South	F	11027
Wagga Wagga - South	M	10246
Wagga Wagga - West	F	6215
Wagga Wagga - West	M	5946
Wagga Wagga Region	F	7287
Wagga Wagga Region	M	7526
Berry - Kangaroo Valley	F	4512
Berry - Kangaroo Valley	M	4275
Callala Bay - Currarong	F	1781
Callala Bay - Currarong	M	1832
Culburra Beach	F	2422
Culburra Beach	M	2537
Ettrema - Sassafras - Budawang	F	21
Ettrema - Sassafras - Budawang	M	32
Huskisson - Vincentia	F	2175
Huskisson - Vincentia	M	2016
North Nowra - Bomaderry	F	8034
North Nowra - Bomaderry	M	7722
Nowra	F	9940
Nowra	M	10098
St Georges Basin - Erowal Bay	F	7223
St Georges Basin - Erowal Bay	M	6785
Sussex Inlet - Berrara	F	2153
Sussex Inlet - Berrara	M	2190
Tomerong - Wandandian - Woollamia	F	1670
Tomerong - Wandandian - Woollamia	M	1738
Ulladulla	F	7905
Ulladulla	M	7368
Ulladulla Region	F	2455
Ulladulla Region	M	2612
Bowral	F	6949
Bowral	M	6001
Hill Top - Colo Vale	F	3001
Hill Top - Colo Vale	M	3027
Mittagong	F	4829
Mittagong	M	4170
Moss Vale - Berrima	F	5056
Moss Vale - Berrima	M	4746
Robertson - Fitzroy Falls	F	1759
Robertson - Fitzroy Falls	M	1743
Southern Highlands	F	3396
Southern Highlands	M	3191
Baulkham Hills (East)	F	11659
Baulkham Hills (East)	M	11280
Baulkham Hills (West) - Bella Vista	F	10236
Baulkham Hills (West) - Bella Vista	M	9838
Glenhaven	F	3232
Glenhaven	M	3022
West Pennant Hills	F	6389
West Pennant Hills	M	6244
Castle Hill - Central	F	3904
Castle Hill - Central	M	3713
Castle Hill - East	F	3087
Castle Hill - East	M	2512
Castle Hill - North	F	5995
Castle Hill - North	M	5892
Castle Hill - South	F	4902
Castle Hill - South	M	4612
Castle Hill - West	F	2678
Castle Hill - West	M	2565
Cherrybrook	F	9552
Cherrybrook	M	9210
Kellyville	F	11790
Kellyville	M	11436
Dural - Kenthurst - Wisemans Ferry	F	10543
Dural - Kenthurst - Wisemans Ferry	M	10476
Galston - Laughtondale	F	2623
Galston - Laughtondale	M	2591
Bilpin - Colo - St Albans	F	1316
Bilpin - Colo - St Albans	M	1376
Kurrajong Heights - Ebenezer	F	10860
Kurrajong Heights - Ebenezer	M	11038
Pitt Town - McGraths Hill	F	5213
Pitt Town - McGraths Hill	M	5320
Rouse Hill - Beaumont Hills	F	11377
Rouse Hill - Beaumont Hills	M	11274
Blacktown (East) - Kings Park	F	8330
Blacktown (East) - Kings Park	M	8591
Blacktown (North) - Marayong	F	9015
Blacktown (North) - Marayong	M	9012
Doonside - Woodcroft	F	11410
Doonside - Woodcroft	M	11115
Lalor Park - Kings Langley	F	12471
Lalor Park - Kings Langley	M	12406
Seven Hills - Toongabbie	F	11858
Seven Hills - Toongabbie	M	12061
Blacktown (South)	F	6145
Blacktown (South)	M	6174
Blacktown (West)	F	8085
Blacktown (West)	M	8070
Glenwood	F	8148
Glenwood	M	7983
Parklea - Kellyville Ridge	F	16017
Parklea - Kellyville Ridge	M	16626
Riverstone - Marsden Park	F	8553
Riverstone - Marsden Park	M	8762
Acacia Gardens	F	1899
Acacia Gardens	M	1899
Quakers Hill	F	11631
Quakers Hill	M	11313
Bidwill - Hebersham - Emerton	F	9493
Bidwill - Hebersham - Emerton	M	8954
Glendenning - Dean Park	F	4240
Glendenning - Dean Park	M	4111
Hassall Grove - Plumpton	F	10521
Hassall Grove - Plumpton	M	10153
Lethbridge Park - Tregear	F	10672
Lethbridge Park - Tregear	M	10033
Mount Druitt - Whalan	F	11483
Mount Druitt - Whalan	M	11218
Prospect Reservoir	F	10
Prospect Reservoir	M	32
Rooty Hill - Minchinbury	F	10728
Rooty Hill - Minchinbury	M	10425
Banksmeadow	F	6
Banksmeadow	M	10
Botany	F	5414
Botany	M	5408
Mascot - Eastlakes	F	12177
Mascot - Eastlakes	M	12228
Pagewood - Hillsdale - Daceyville	F	5807
Pagewood - Hillsdale - Daceyville	M	5567
Port Botany Industrial	F	3
Port Botany Industrial	M	3
Sydney Airport	F	23
Sydney Airport	M	38
Marrickville	F	13536
Marrickville	M	12998
Petersham - Stanmore	F	10187
Petersham - Stanmore	M	10044
Sydenham - Tempe - St Peters	F	3912
Sydenham - Tempe - St Peters	M	3933
Darlinghurst	F	4773
Darlinghurst	M	6547
Erskineville - Alexandria	F	7932
Erskineville - Alexandria	M	8301
Glebe - Forest Lodge	F	10268
Glebe - Forest Lodge	M	9344
Newtown - Camperdown - Darlington	F	12656
Newtown - Camperdown - Darlington	M	12181
Potts Point - Woolloomooloo	F	9253
Potts Point - Woolloomooloo	M	11950
Pyrmont - Ultimo	F	10918
Pyrmont - Ultimo	M	10733
Redfern - Chippendale	F	10877
Redfern - Chippendale	M	11625
Surry Hills	F	6985
Surry Hills	M	9431
Sydney - Haymarket - The Rocks	F	13597
Sydney - Haymarket - The Rocks	M	13815
Waterloo - Beaconsfield	F	16147
Waterloo - Beaconsfield	M	16916
Bondi - Tamarama - Bronte	F	9325
Bondi - Tamarama - Bronte	M	9077
Bondi Beach - North Bondi	F	10453
Bondi Beach - North Bondi	M	10275
Bondi Junction - Waverly	F	8906
Bondi Junction - Waverly	M	7947
Double Bay - Bellevue Hill	F	13244
Double Bay - Bellevue Hill	M	11629
Dover Heights	F	5647
Dover Heights	M	5180
Paddington - Moore Park	F	7969
Paddington - Moore Park	M	7203
Rose Bay - Vaucluse - Watsons Bay	F	6312
Rose Bay - Vaucluse - Watsons Bay	M	5532
Woollahra	F	4195
Woollahra	M	3487
Coogee - Clovelly	F	13419
Coogee - Clovelly	M	12028
Malabar - La Perouse - Chifley	F	11493
Malabar - La Perouse - Chifley	M	12545
Kensington (NSW)	F	7407
Kensington (NSW)	M	7476
Kingsford	F	7639
Kingsford	M	7967
Maroubra - North	F	5090
Maroubra - North	M	4721
Maroubra - South	F	5542
Maroubra - South	M	5140
Maroubra - West	F	5198
Maroubra - West	M	5002
Randwick - North	F	8901
Randwick - North	M	7972
Randwick - South	F	6787
Randwick - South	M	6327
Bass Hill - Georges Hall	F	11114
Bass Hill - Georges Hall	M	10713
Chullora	F	457
Chullora	M	438
Condell Park	F	5653
Condell Park	M	5653
Greenacre - Mount Lewis	F	13083
Greenacre - Mount Lewis	M	12883
Padstow	F	8422
Padstow	M	8053
Panania - Milperra - Picnic Point	F	13185
Panania - Milperra - Picnic Point	M	12600
Revesby	F	8353
Revesby	M	7870
Yagoona - Birrong	F	10390
Yagoona - Birrong	M	10320
Bankstown - North	F	8325
Bankstown - North	M	7908
Bankstown - South	F	8016
Bankstown - South	M	7978
Belmore - Belfield	F	9649
Belmore - Belfield	M	9391
Canterbury (South) - Campsie	F	15332
Canterbury (South) - Campsie	M	15292
Kingsgrove (North) - Earlwood	F	12044
Kingsgrove (North) - Earlwood	M	11637
Punchbowl	F	10134
Punchbowl	M	10622
Roselands	F	6959
Roselands	M	6781
Lakemba	F	7827
Lakemba	M	9196
Wiley Park	F	4838
Wiley Park	M	5384
Hurstville	F	11991
Hurstville	M	11620
Mortdale - Penshurst	F	12375
Mortdale - Penshurst	M	11533
Narwee - Beverly Hills	F	7166
Narwee - Beverly Hills	M	6617
Oatley - Hurstville Grove	F	6431
Oatley - Hurstville Grove	M	6183
Peakhurst - Lugarno	F	9261
Peakhurst - Lugarno	M	8670
Riverwood	F	5739
Riverwood	M	5534
South Hurstville - Blakehurst	F	12348
South Hurstville - Blakehurst	M	11721
Arncliffe - Bardwell Valley	F	10692
Arncliffe - Bardwell Valley	M	10754
Bexley	F	13336
Bexley	M	13143
Kingsgrove (South) - Bardwell Park	F	6441
Kingsgrove (South) - Bardwell Park	M	6174
Kogarah	F	5682
Kogarah	M	5627
Kogarah Bay - Carlton - Allawah	F	8011
Kogarah Bay - Carlton - Allawah	M	7958
Monterey - Brighton-le-Sands - Kyeemagh	F	7219
Monterey - Brighton-le-Sands - Kyeemagh	M	6747
Rockdale - Banksia	F	9758
Rockdale - Banksia	M	10209
Sans Souci - Ramsgate	F	8424
Sans Souci - Ramsgate	M	7550
Concord - Mortlake - Cabarita	F	11301
Concord - Mortlake - Cabarita	M	10444
Concord West - North Strathfield	F	12631
Concord West - North Strathfield	M	12212
Drummoyne - Rodd Point	F	9704
Drummoyne - Rodd Point	M	8625
Five Dock - Abbotsford	F	10795
Five Dock - Abbotsford	M	9649
Balmain	F	8170
Balmain	M	7518
Leichhardt - Annandale	F	13733
Leichhardt - Annandale	M	12656
Lilyfield - Rozelle	F	7317
Lilyfield - Rozelle	M	6670
Ashfield	F	12384
Ashfield	M	12111
Burwood - Croydon	F	12833
Burwood - Croydon	M	11821
Canterbury (North) - Ashbury	F	5330
Canterbury (North) - Ashbury	M	5113
Croydon Park - Enfield	F	9065
Croydon Park - Enfield	M	8158
Dulwich Hill - Lewisham	F	8774
Dulwich Hill - Lewisham	M	8038
Haberfield - Summer Hill	F	6886
Haberfield - Summer Hill	M	6587
Homebush	F	7657
Homebush	M	8555
Strathfield	F	12483
Strathfield	M	12537
Strathfield South	F	1804
Strathfield South	M	1743
Chatswood (East) - Artarmon	F	15057
Chatswood (East) - Artarmon	M	13630
Chatswood (West) - Lane Cove North	F	10759
Chatswood (West) - Lane Cove North	M	10096
Lane Cove - Greenwich	F	13562
Lane Cove - Greenwich	M	13174
St Leonards - Naremburn	F	5403
St Leonards - Naremburn	M	5097
Willoughby - Castle Cove - Northbridge	F	13134
Willoughby - Castle Cove - Northbridge	M	12331
Asquith - Mount Colah	F	9294
Asquith - Mount Colah	M	8991
Berowra - Brooklyn - Cowan	F	5877
Berowra - Brooklyn - Cowan	M	5823
Normanhurst - Thornleigh - Westleigh	F	9506
Normanhurst - Thornleigh - Westleigh	M	9027
Hornsby - East	F	6043
Hornsby - East	M	5752
Hornsby - West	F	5404
Hornsby - West	M	5278
Waitara - Wahroonga (West)	F	4980
Waitara - Wahroonga (West)	M	4627
Gordon - Killara	F	11090
Gordon - Killara	M	10239
Lindfield - Roseville	F	11914
Lindfield - Roseville	M	11231
Pymble	F	8585
Pymble	M	7767
St Ives	F	10663
St Ives	M	9789
Turramurra	F	10087
Turramurra	M	9175
Wahroonga (East) - Warrawee	F	9214
Wahroonga (East) - Warrawee	M	8611
Cremorne - Cammeray	F	10226
Cremorne - Cammeray	M	8854
Crows Nest - Waverton	F	9561
Crows Nest - Waverton	M	8462
Mosman	F	15290
Mosman	M	13189
Neutral Bay - Kirribilli	F	9494
Neutral Bay - Kirribilli	M	8366
North Sydney - Lavender Bay	F	5437
North Sydney - Lavender Bay	M	5262
Balgowlah - Clontarf - Seaforth	F	10475
Balgowlah - Clontarf - Seaforth	M	9712
Manly - Fairlight	F	11028
Manly - Fairlight	M	10672
Avalon - Palm Beach	F	6327
Avalon - Palm Beach	M	6049
Bayview - Elanora Heights	F	5504
Bayview - Elanora Heights	M	5242
Newport - Bilgola	F	6689
Newport - Bilgola	M	6496
Warriewood - Mona Vale	F	12453
Warriewood - Mona Vale	M	11684
Beacon Hill - Narraweena	F	7099
Beacon Hill - Narraweena	M	6778
Cromer	F	3875
Cromer	M	3608
Dee Why - North Curl Curl	F	12673
Dee Why - North Curl Curl	M	12277
Forestville - Killarney Heights	F	6616
Forestville - Killarney Heights	M	6185
Frenchs Forest - Belrose	F	12815
Frenchs Forest - Belrose	M	12360
Freshwater - Brookvale	F	10545
Freshwater - Brookvale	M	10430
Manly Vale - Allambie Heights	F	8653
Manly Vale - Allambie Heights	M	8213
Narrabeen - Collaroy	F	12770
Narrabeen - Collaroy	M	12004
Terrey Hills - Duffys Forest	F	1848
Terrey Hills - Duffys Forest	M	1802
Camden - Ellis Lane	F	6768
Camden - Ellis Lane	M	6196
Elderslie - Harrington Park	F	10763
Elderslie - Harrington Park	M	10221
Mount Annan - Currans Hill	F	14618
Mount Annan - Currans Hill	M	13955
Bradbury - Wedderburn	F	9785
Bradbury - Wedderburn	M	9182
Campbelltown - Woodbine	F	9197
Campbelltown - Woodbine	M	8994
