SA2_NAME16	medianRent
Concord West - North Strathfield	30680
Drummoyne - Rodd Point	29120
Five Dock - Abbotsford	28600
Balmain	31200
Leichhardt - Annandale	28600
Lilyfield - Rozelle	31720
Ashfield	22880
Burwood - Croydon	26000
Canterbury (North) - Ashbury	23400
Croydon Park - Enfield	21840
Dulwich Hill - Lewisham	23400
Haberfield - Summer Hill	23400
Homebush	23920
Strathfield	26000
Strathfield South	25480
Chatswood (East) - Artarmon	29640
Chatswood (West) - Lane Cove North	26520
Lane Cove - Greenwich	28600
St Leonards - Naremburn	30784
Willoughby - Castle Cove - Northbridge	33280
Asquith - Mount Colah	28080
Berowra - Brooklyn - Cowan	27820
Normanhurst - Thornleigh - Westleigh	26520
Hornsby - East	23920
Hornsby - West	22360
Waitara - Wahroonga (West)	26520
Gordon - Killara	33800
Lindfield - Roseville	32240
Pymble	34892
St Ives	36400
Turramurra	31200
Wahroonga (East) - Warrawee	31824
Cremorne - Cammeray	30732
Crows Nest - Waverton	29640
Mosman	29120
Neutral Bay - Kirribilli	27924
North Sydney - Lavender Bay	32240
Balgowlah - Clontarf - Seaforth	32240
Manly - Fairlight	33800
Avalon - Palm Beach	33800
Bayview - Elanora Heights	31096
Newport - Bilgola	29120
Warriewood - Mona Vale	32240
Beacon Hill - Narraweena	26000
Cromer	31408
Dee Why - North Curl Curl	26000
Forestville - Killarney Heights	34320
Frenchs Forest - Belrose	41080
Freshwater - Brookvale	28600
Manly Vale - Allambie Heights	26000
Narrabeen - Collaroy	27560
Terrey Hills - Duffys Forest	33800
Camden - Ellis Lane	20800
Elderslie - Harrington Park	24440
Mount Annan - Currans Hill	23400
Bradbury - Wedderburn	17160
Campbelltown - Woodbine	19240
Claymore - Eagle Vale - Raby	17992
Holsworthy Military Area	
Ingleburn - Denham Court	19240
Leumeah - Minto Heights	18200
Macquarie Fields - Glenfield	17680
Minto - St Andrews	18200
Rosemeadow - Glen Alpine	18200
Bargo	19240
Douglas Park - Appin	20800
Picton - Tahmoor - Buxton	18720
The Oaks - Oakdale	18200
Blackheath - Megalong Valley	16640
Blaxland - Warrimoo - Lapstone	20800
Blue Mountains - North	
Katoomba - Leura	16120
Lawson - Hazelbrook - Linden	18200
Springwood - Winmalee	19240
Wentworth Falls	19240
Blue Mountains - South	
Cambridge Park	19760
Castlereagh - Cranebrook	21840
Emu Plains - Leonay	20800
Glenmore Park - Regentville	22360
Jamisontown - South Penrith	19240
Kingswood - Werrington	17680
Mulgoa - Luddenham - Orchard Hills	24960
Penrith	17160
Warragamba - Silverdale	18720
Richmond - Clarendon	18720
Windsor - Bligh Park	18720
Yarramundi - Londonderry	20540
Erskine Park	21320
St Clair	21320
Colyton - Oxley Park	19240
St Marys - North St Marys	17680
Homebush Bay - Silverwater	27040
Rookwood Cemetery	
Auburn - Central	22880
Auburn - North	19760
Auburn - South	21580
Berala	19500
Lidcombe	24440
Regents Park	19240
Carlingford	26780
Ermington - Rydalmere	19500
Oatlands - Dundas Valley	19500
Chester Hill - Sefton	18720
Fairfield - East	14560
Granville - Clyde	20800
Greystanes - Pemulwuy	23400
Guildford - South Granville	18200
Guildford West - Merrylands West	19760
Merrylands - Holroyd	20280
Smithfield Industrial	
Yennora Industrial	
North Parramatta	21840
North Rocks	28600
Northmead	22880
Parramatta - Rosehill	21320
Toongabbie - Constitution Hill	21580
Winston Hills	26260
Pendle Hill - Girraween	20800
Wentworthville - Westmead	21320
Epping - North Epping	27560
Pennant Hills - Cheltenham	27560
Eastwood - Denistone	23920
Gladesville - Huntleys Point	22360
Hunters Hill - Woolwich	26000
Macquarie Park - Marsfield	24440
North Ryde - East Ryde	27560
West Ryde - Meadowbank	21840
Putney	33800
Ryde	24440
Ashcroft - Busby - Miller	11024
Austral - Greendale	20280
Cobbitty - Leppington	27560
Badgerys Creek	9620
Cecil Hills	26000
Green Valley	21840
Hinchinbrook	23400
Hoxton Park - Carnes Hill - Horningsea Park	24960
West Hoxton - Middleton Grange	26520
Bonnyrigg Heights - Bonnyrigg	17160
Bossley Park - Abbotsbury	22880
Cabramatta - Lansvale	16120
Cabramatta West - Mount Pritchard	18200
Canley Vale - Canley Heights	17680
Edensor Park	22100
Fairfield	18200
Fairfield - West	21320
Greenfield Park - Prairiewood	21840
Horsley Park - Kemps Creek	19240
Smithfield - Wetherill Park	19916
St Johns Park - Wakeley	21840
Wetherill Park Industrial	
Casula	21840
Chipping Norton - Moorebank	23400
Holsworthy - Wattle Grove	23400
Liverpool	17680
Lurnea - Cartwright	14300
Prestons - Edmondson Park	26000
Warwick Farm	15600
Gymea - Grays Point	24960
Miranda - Yowie Bay	22880
Sylvania - Taren Point	23660
Caringbah	22360
Caringbah South	31720
Cronulla - Kurnell - Bundeena	23400
Lilli Pilli - Port Hacking - Dolans Bay	39520
Woolaware - Burraneer	22308
Heathcote - Waterfall	22360
Illawong - Alfords Point	32760
Menai - Lucas Heights - Woronora	27040
Oyster Bay - Como - Jannali	23400
Royal National Park	19656
Sutherland - Kirrawee	21840
Engadine	22360
Loftus - Yarrawarrah	27560
Woronora Heights	28860
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	16120
Ballarat	13520
Ballarat - North	13000
Ballarat - South	12480
Buninyong	15600
Delacombe	13520
Smythes Creek	12272
Wendouree - Miners Rest	11440
Bacchus Marsh Region	13000
Creswick - Clunes	10400
Daylesford	13832
Gordon (Vic.)	9880
Avoca	7800
Beaufort	8580
Golden Plains - North	10400
Maryborough (Vic.)	10400
Maryborough Region	8320
Bendigo	12480
California Gully - Eaglehawk	12740
East Bendigo - Kennington	13260
Flora Hill - Spring Gully	13520
Kangaroo Flat - Golden Square	13000
Maiden Gully	17160
Strathfieldsaye	18200
White Hills - Ascot	15080
Bendigo Region - South	13780
Castlemaine	13780
Castlemaine Region	11960
Heathcote	10400
Kyneton	15600
Woodend	16640
Bendigo Region - North	9360
Loddon	6500
Bannockburn	16380
Golden Plains - South	10400
Winchelsea	12480
Belmont	15080
Corio - Norlane	11960
Geelong	15080
Geelong West - Hamlyn Heights	14560
Grovedale	17160
Highton	16120
Lara	16120
Leopold	17160
Newcomb - Moolap	13520
Newtown (Vic.)	15600
North Geelong - Bell Park	14768
Clifton Springs	15600
Lorne - Anglesea	16640
Ocean Grove - Barwon Heads	18200
Portarlington	14040
Point Lonsdale - Queenscliff	15600
Torquay	20800
Alexandra	10400
Euroa	9100
Kilmore - Broadford	14560
Mansfield (Vic.)	12012
Nagambie	11440
Seymour	10400
Seymour Region	13000
Upper Yarra Valley	10400
Yea	12480
Benalla	10400
Benalla Region	8320
Rutherglen	10400
Wangaratta	11440
Wangaratta Region	8320
Beechworth	13000
Bright - Mount Beauty	11440
Chiltern - Indigo Valley	10556
Myrtleford	10140
Towong	7800
West Wodonga	13000
Wodonga	13000
Yackandandah	11440
Drouin	14040
Mount Baw Baw Region	10140
Trafalgar (Vic.)	13000
Warragul	13000
Alps - East	
Bairnsdale	12480
Bruthen - Omeo	8424
Lake King	
Lakes Entrance	11700
Orbost	7800
Paynesville	13000
Foster	9620
French Island	7800
Korumburra	11440
Leongatha	11960
Phillip Island	13520
Wilsons Promontory	6240
Wonthaggi - Inverloch	12480
Churchill	10400
Moe - Newborough	8840
Morwell	9360
Traralgon	12480
Yallourn North - Glengarry	10400
Alps - West	
Longford - Loch Sport	9360
Maffra	10400
Rosedale	7800
Sale	12480
Yarram	9152
Brunswick	20852
Brunswick East	20800
Brunswick West	16692
Coburg	19240
Pascoe Vale South	19656
Alphington - Fairfield	17940
Northcote	21008
Thornbury	17680
Ascot Vale	16952
Essendon - Aberfeldie	17940
Flemington	15600
Moonee Ponds	19032
Carlton	19760
Docklands	26052
East Melbourne	23452
Flemington Racecourse	19500
Kensington (Vic.)	20384
Melbourne	23868
North Melbourne	20800
Parkville	20800
South Yarra - West	21840
Southbank	26624
West Melbourne	
Albert Park	26000
Elwood	20280
Port Melbourne	25792
Port Melbourne Industrial	
South Melbourne	22776
St Kilda	19500
St Kilda East	18720
Armadale	19812
Prahran - Windsor	20800
South Yarra - East	21320
Toorak	22412
Abbotsford	22152
Carlton North - Princes Hill	25480
Collingwood	20800
Fitzroy	20800
Fitzroy North	22880
Richmond (Vic.)	21632
Yarra - North	22776
Ashburton (Vic.)	20800
Balwyn	21112
Balwyn North	25012
Camberwell	22880
Glen Iris - East	24440
Hawthorn	19292
Hawthorn East	20332
Kew	22776
Kew East	22308
Surrey Hills (West) - Canterbury	21632
Bulleen	20800
Doncaster	21840
Templestowe	23452
Templestowe Lower	21840
Doncaster East (North)	23660
Doncaster East (South)	20852
Blackburn	19812
Blackburn South	18252
Box Hill	18512
Box Hill North	20332
Burwood	19812
Burwood East	20800
Surrey Hills (East) - Mont Albert	21372
Beaumaris	28080
Brighton (Vic.)	27092
Brighton East	26416
Cheltenham - Highett (West)	18980
Hampton	20800
Sandringham - Black Rock	22360
Bentleigh - McKinnon	22360
Carnegie	18616
Caulfield - North	20800
Caulfield - South	21840
Elsternwick	19760
Hughesdale	20540
Murrumbeena	17732
Ormond - Glen Huntly	18720
Bentleigh East (North)	22360
Bentleigh East (South)	21892
Aspendale Gardens - Waterways	23504
Braeside	18564
Carrum - Patterson Lakes	18720
Chelsea - Bonbeach	16796
Chelsea Heights	17680
Cheltenham - Highett (East)	19240
Edithvale - Aspendale	19240
Mentone	18200
Moorabbin - Heatherton	20176
Moorabbin Airport	
Mordialloc - Parkdale	18200
Malvern - Glen Iris	19812
Malvern East	20332
Bundoora - East	18200
Greensborough	18200
Heidelberg - Rosanna	18772
Heidelberg West	15600
Ivanhoe	19500
Ivanhoe East - Eaglemont	20800
Montmorency - Briar Hill	18200
Viewbank - Yallambie	18200
Watsonia	17680
Kingsbury	17680
Reservoir - East	16120
Reservoir - West	16640
Preston - East	18200
Preston - West	18252
Eltham	19604
Hurstbridge	17212
Kinglake	14820
Panton Hill - St Andrews	10920
Plenty - Yarrambat	20800
Research - North Warrandyte	21060
Wattle Glen - Diamond Creek	19188
Bundoora - North	17732
Bundoora - West	17680
Lalor	16380
Mill Park - North	17212
Mill Park - South	17212
Thomastown	16172
Wallan	16536
Whittlesea	15600
Doreen	18252
Epping - East	16692
Epping - South	16172
Epping - West	18200
Mernda	17992
South Morang (North)	18772
South Morang (South)	17732
Wollert	17992
Airport West	18200
Essendon Airport	
Keilor	18252
Keilor East	18200
Niddrie - Essendon West	19292
Strathmore	20800
Gisborne	18252
Macedon	17836
Riddells Creek	17160
Romsey	15340
Coburg North	17992
Fawkner	17160
Pascoe Vale	18200
Glenroy	16952
Gowanbrae	19760
Hadfield	16380
Sunbury	16380
Sunbury - South	16380
Broadmeadows	15340
Campbellfield - Coolaroo	15080
Gladstone Park - Westmeadows	17004
Greenvale - Bulla	20280
Meadow Heights	15600
Melbourne Airport	
Roxburgh Park - Somerton	17992
Tullamarine	16432
Craigieburn - Central	16640
Craigieburn - North	17680
Craigieburn - South	17160
Craigieburn - West	17940
Mickleham - Yuroke	18200
Bayswater	17212
Knoxfield - Scoresby	19552
Lysterfield	20072
Rowville - Central	20280
Rowville - North	20800
Rowville - South	22100
Wantirna	19552
Wantirna South	19812
Boronia	17420
Ferntree Gully (North)	16848
Ferntree Gully (South) - Upper Ferntree Gully	18252
The Basin	16900
Donvale - Park Orchards	20592
Warrandyte - Wonga Park	19552
Bayswater North	16172
Croydon Hills - Warranwood	19812
Ringwood	17420
Ringwood East	17888
Ringwood North	19812
Croydon - East	17160
Croydon - West	18044
Croydon South	18252
Forest Hill	18720
Mitcham (Vic.)	18876
Nunawading	18200
Vermont	19500
Vermont South	22932
Belgrave - Selby	16900
Chirnside Park	19760
Healesville - Yarra Glen	15600
Kilsyth	18200
Lilydale - Coldstream	17160
Monbulk - Silvan	16640
Montrose	17420
Mooroolbark	18200
Mount Dandenong - Olinda	17680
Mount Evelyn	16120
Upwey - Tecoma	17472
Wandin - Seville	16640
Yarra Valley	14040
Beaconsfield - Officer	18252
Bunyip - Garfield	13156
Emerald - Cockatoo	16692
Koo Wee Rup	13000
Pakenham - North	16380
Pakenham - South	16692
Berwick - North	17732
Berwick - South	19760
Doveton	14560
Hallam	16796
Narre Warren North	18408
Endeavour Hills - North	17160
Endeavour Hills - South	17940
Narre Warren - North East	17680
Narre Warren - South West	16640
Cranbourne	15600
Cranbourne East	19760
Cranbourne North	17940
Cranbourne South	18200
Cranbourne West	17472
Hampton Park - Lynbrook	16640
Lynbrook - Lyndhurst	19812
Pearcedale - Tooradin	15600
Narre Warren South (East)	20800
Narre Warren South (West)	18720
Clarinda - Oakleigh South	18252
Clayton South	17784
Dandenong	14612
Dandenong North	15600
Dingley Village	19760
Keysborough	18720
Noble Park North	16692
Springvale	16120
Springvale South	16588
Noble Park - East	15548
Noble Park - West	15600
Ashwood - Chadstone	19500
Clayton	18720
Glen Waverley - East	22932
Glen Waverley - West	21840
Mount Waverley - North	21892
Mount Waverley - South	21840
Mulgrave	19812
Oakleigh - Huntingdale	19292
Wheelers Hill	21840
Ardeer - Albion	14300
Cairnlea	19188
Deer Park - Derrimut	16640
Delahey	15600
Keilor Downs	16640
Kings Park (Vic.)	15080
St Albans - North	14976
St Albans - South	14560
Sunshine	15600
Sunshine North	15600
Sunshine West	15600
Sydenham	17160
Taylors Lakes	18876
Altona	17420
Altona Meadows	16120
Altona North	17680
Newport	20800
Seabrook	16900
Williamstown	19240
Braybrook	15600
Footscray	16120
Maribyrnong	19760
Seddon - Kingsville	17940
West Footscray - Tottenham	15652
Yarraville	20800
Bacchus Marsh	14040
Hillside	17992
Melton	13520
Melton South	14872
Melton West	15080
Rockbank - Mount Cottrell	10920
Taylors Hill	19188
Burnside	18200
Burnside Heights	19188
Caroline Springs	18980
Hoppers Crossing - North	15600
Hoppers Crossing - South	15340
Laverton	16224
Tarneit	17160
Truganina	17680
Werribee - South	14612
Wyndham Vale	15652
Point Cook - East	19812
Point Cook - North	18772
Point Cook - South	19760
Werribee - East	14404
Werribee - West	14560
Carrum Downs	16900
Frankston	14872
Frankston North	15080
Frankston South	18460
Langwarrin	16640
Seaford (Vic.)	15600
Skye - Sandhurst	20800
Dromana	17160
Flinders	15600
Hastings - Somers	14560
Mornington	17420
Mount Eliza	22256
Mount Martha	20800
Point Nepean	15600
Rosebud - McCrae	14820
Somerville	16796
Ararat	10400
Ararat Region	5200
Horsham	10400
Horsham Region	6240
Nhill Region	6760
St Arnaud	7280
Stawell	9100
West Wimmera	4160
Yarriambiack	6916
Irymple	10400
Merbein	9360
Mildura Region	5200
Red Cliffs	9880
Mildura - North	11440
Mildura - South	13000
Buloke	6240
Gannawarra	7280
Kerang	8840
Robinvale	9204
Swan Hill	10400
Swan Hill Region	7800
Echuca	13000
Kyabram	9620
Lockington - Gunbower	7540
Rochester	8840
Rushworth	8060
Cobram	10400
Moira	7800
Numurkah	9100
Yarrawonga	12480
Mooroopna	10400
Shepparton - North	11960
Shepparton - South	12220
Shepparton Region - East	9360
Shepparton Region - West	10400
Glenelg (Vic.)	7280
Hamilton (Vic.)	10400
Portland	10400
Southern Grampians	5200
Camperdown	10400
Colac	11180
Colac Region	9100
Corangamite - North	7800
Corangamite - South	7800
Otway	12740
Moyne - East	7800
Moyne - West	11596
Warrnambool - North	13000
Warrnambool - South	13000
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	19500
Belmont - Gumdale	22360
Birkdale	20800
Capalaba	18200
Thorneside	18460
Wellington Point	21840
Cleveland	19500
Ormiston	21840
Redland Bay	23400
Sheldon - Mount Cotton	23920
Thornlands	23400
Victoria Point	21840
Redland Islands	12480
Brisbane Port - Lytton	
Manly - Lota	20280
Manly West	20800
Murarrie	21840
Tingalpa	20800
Wakerley	24960
Wynnum	18720
Wynnum West - Hemmant	20800
Bald Hills	19500
Bridgeman Downs	21840
Carseldine	20800
Everton Park	19500
McDowall	20800
Aspley	20176
Chermside	18200
Chermside West	21580
Geebung	20020
Kedron - Gordon Park	18200
Stafford	18200
Stafford Heights	18460
Wavell Heights	20800
Boondall	20540
Brisbane Airport	15600
Eagle Farm - Pinkenba	22360
Northgate - Virginia	18460
Nudgee - Banyo	20280
Nundah	18720
Bracken Ridge	19760
Brighton (Qld)	18720
Deagon	16848
Sandgate - Shorncliffe	14300
Taigum - Fitzgibbon	19396
Zillmere	17680
Camp Hill	21320
Cannon Hill	22360
Carina	21840
Carina Heights	20488
Carindale	25480
Annerley	17940
Coorparoo	18720
Fairfield - Dutton Park	19760
Greenslopes	18720
Holland Park	18460
Holland Park West	19500
Woolloongabba	20800
Yeronga	19240
Eight Mile Plains	21580
Macgregor (Qld)	22100
Mansfield (Qld)	20540
Mount Gravatt	19240
Rochedale - Burbank	24180
Upper Mount Gravatt	20800
Wishart	21840
Coopers Plains	18200
Moorooka	18200
Robertson	21580
Salisbury - Nathan	18720
Tarragindi	22100
Algester	20280
Calamvale - Stretton	20800
Pallara - Willawong	22100
Parkinson - Drewvale	22360
Rocklea - Acacia Ridge	16900
Kuraby	20280
Runcorn	20280
Sunnybank	20800
Sunnybank Hills	20800
Jindalee - Mount Ommaney	21840
Middle Park - Jamboree Heights	20800
Riverhills	20540
Seventeen Mile Rocks - Sinnamon Park	22620
Westlake	26000
Bellbowrie - Moggill	21476
Brookfield - Kenmore Hills	23400
Chapel Hill	25740
Fig Tree Pocket	28080
