SA2_NAME16	medianTotalHouseholdIncome
St Georges Basin - Erowal Bay	46540
Sussex Inlet - Berrara	40352
Tomerong - Wandandian - Woollamia	72956
Ulladulla	47476
Ulladulla Region	49556
Bowral	70772
Hill Top - Colo Vale	81120
Mittagong	65260
Moss Vale - Berrima	64532
Robertson - Fitzroy Falls	76908
Southern Highlands	65572
Baulkham Hills (East)	105456
Baulkham Hills (West) - Bella Vista	127088
Glenhaven	116376
West Pennant Hills	146432
Castle Hill - Central	107952
Castle Hill - East	88140
Castle Hill - North	121888
Castle Hill - South	113100
Castle Hill - West	148148
Cherrybrook	127036
Kellyville	131352
Dural - Kenthurst - Wisemans Ferry	114140
Galston - Laughtondale	100984
Bilpin - Colo - St Albans	69836
Kurrajong Heights - Ebenezer	102024
Pitt Town - McGraths Hill	105508
Rouse Hill - Beaumont Hills	135824
Blacktown (East) - Kings Park	76856
Blacktown (North) - Marayong	75920
Doonside - Woodcroft	90636
Lalor Park - Kings Langley	86424
Seven Hills - Toongabbie	85540
Blacktown (South)	77012
Blacktown (West)	80912
Glenwood	128752
Parklea - Kellyville Ridge	129480
Riverstone - Marsden Park	100204
Acacia Gardens	123708
Quakers Hill	107172
Bidwill - Hebersham - Emerton	55484
Glendenning - Dean Park	93496
Hassall Grove - Plumpton	95992
Lethbridge Park - Tregear	65364
Mount Druitt - Whalan	62400
Prospect Reservoir	
Rooty Hill - Minchinbury	94484
Banksmeadow	
Botany	105456
Mascot - Eastlakes	82992
Pagewood - Hillsdale - Daceyville	69368
Port Botany Industrial	
Sydney Airport	
Marrickville	93964
Petersham - Stanmore	107224
Sydenham - Tempe - St Peters	108784
Darlinghurst	112216
Erskineville - Alexandria	127244
Glebe - Forest Lodge	94328
Newtown - Camperdown - Darlington	98540
Potts Point - Woolloomooloo	96772
Pyrmont - Ultimo	100932
Redfern - Chippendale	81224
Surry Hills	111488
Sydney - Haymarket - The Rocks	101036
Waterloo - Beaconsfield	90844
Bondi - Tamarama - Bronte	124020
Bondi Beach - North Bondi	122356
Bondi Junction - Waverly	111956
Centennial Park	
Double Bay - Bellevue Hill	139620
Dover Heights	119340
Paddington - Moore Park	124592
Rose Bay - Vaucluse - Watsons Bay	150696
Woollahra	132964
Coogee - Clovelly	121784
Malabar - La Perouse - Chifley	91884
Kensington (NSW)	85384
Kingsford	71708
Maroubra - North	107588
Maroubra - South	79508
Maroubra - West	86424
Randwick - North	113464
Randwick - South	111696
Bass Hill - Georges Hall	62244
Chullora	102596
Condell Park	72072
Greenacre - Mount Lewis	61568
Padstow	79872
Panania - Milperra - Picnic Point	91676
Revesby	81536
Yagoona - Birrong	63700
Bankstown - North	58240
Bankstown - South	58500
Belmore - Belfield	65520
Canterbury (South) - Campsie	66820
Kingsgrove (North) - Earlwood	91364
Punchbowl	59956
Roselands	72124
Lakemba	52624
Wiley Park	55848
Hurstville	71708
Mortdale - Penshurst	87256
Narwee - Beverly Hills	73684
Oatley - Hurstville Grove	108628
Peakhurst - Lugarno	90220
Riverwood	52988
South Hurstville - Blakehurst	90376
Arncliffe - Bardwell Valley	90844
Bexley	80444
Kingsgrove (South) - Bardwell Park	85384
Kogarah	87360
Kogarah Bay - Carlton - Allawah	84968
Monterey - Brighton-le-Sands - Kyeemagh	73632
Rockdale - Banksia	85228
Sans Souci - Ramsgate	78208
Concord - Mortlake - Cabarita	111488
Concord West - North Strathfield	96720
Drummoyne - Rodd Point	119600
Five Dock - Abbotsford	108108
Balmain	138996
Leichhardt - Annandale	119652
Lilyfield - Rozelle	135252
Ashfield	85436
Burwood - Croydon	80340
Canterbury (North) - Ashbury	92352
Croydon Park - Enfield	84396
Dulwich Hill - Lewisham	95524
Haberfield - Summer Hill	105040
Homebush	89388
Strathfield	98384
Strathfield South	94068
Chatswood (East) - Artarmon	101400
Chatswood (West) - Lane Cove North	113672
Lane Cove - Greenwich	131664
St Leonards - Naremburn	124748
Willoughby - Castle Cove - Northbridge	148564
Asquith - Mount Colah	113776
Berowra - Brooklyn - Cowan	111956
Normanhurst - Thornleigh - Westleigh	119496
Hornsby - East	84968
Hornsby - West	95056
Waitara - Wahroonga (West)	95784
Gordon - Killara	126256
Lindfield - Roseville	143520
Pymble	156520
St Ives	132184
Turramurra	127868
Wahroonga (East) - Warrawee	146120
Cremorne - Cammeray	124020
Crows Nest - Waverton	122928
Mosman	131144
Neutral Bay - Kirribilli	117780
North Sydney - Lavender Bay	128232
Balgowlah - Clontarf - Seaforth	145756
Manly - Fairlight	129012
Avalon - Palm Beach	112788
Bayview - Elanora Heights	110604
Newport - Bilgola	112684
Warriewood - Mona Vale	107848
Beacon Hill - Narraweena	105612
Cromer	104104
Dee Why - North Curl Curl	93184
Forestville - Killarney Heights	118924
Frenchs Forest - Belrose	124696
Freshwater - Brookvale	117052
Manly Vale - Allambie Heights	113724
Narrabeen - Collaroy	104468
Terrey Hills - Duffys Forest	128908
Camden - Ellis Lane	94328
Elderslie - Harrington Park	110448
Mount Annan - Currans Hill	107952
Bradbury - Wedderburn	70408
Campbelltown - Woodbine	69940
Claymore - Eagle Vale - Raby	84292
Holsworthy Military Area	
Ingleburn - Denham Court	78936
Leumeah - Minto Heights	74412
Macquarie Fields - Glenfield	72956
Minto - St Andrews	77532
Rosemeadow - Glen Alpine	79716
Bargo	82056
Douglas Park - Appin	112840
Picton - Tahmoor - Buxton	84552
The Oaks - Oakdale	100308
Blackheath - Megalong Valley	55848
Blaxland - Warrimoo - Lapstone	102180
Blue Mountains - North	84500
Katoomba - Leura	54392
Lawson - Hazelbrook - Linden	76076
Springwood - Winmalee	90012
Wentworth Falls	64428
Blue Mountains - South	
Cambridge Park	85124
Castlereagh - Cranebrook	102960
Emu Plains - Leonay	96928
Glenmore Park - Regentville	112060
Jamisontown - South Penrith	77740
Kingswood - Werrington	73320
Mulgoa - Luddenham - Orchard Hills	116220
Penrith	59384
Warragamba - Silverdale	101920
Richmond - Clarendon	68484
Windsor - Bligh Park	80288
Yarramundi - Londonderry	99528
Erskine Park	109408
St Clair	96668
Colyton - Oxley Park	72124
St Marys - North St Marys	60892
Homebush Bay - Silverwater	101348
Rookwood Cemetery	
Auburn - Central	65520
Auburn - North	61672
Auburn - South	66924
Berala	68588
Lidcombe	81536
Regents Park	62920
Carlingford	97344
Ermington - Rydalmere	84448
Oatlands - Dundas Valley	80444
Chester Hill - Sefton	60944
Fairfield - East	53404
Granville - Clyde	67860
Greystanes - Pemulwuy	91624
Guildford - South Granville	55744
Guildford West - Merrylands West	62556
Merrylands - Holroyd	68692
Smithfield Industrial	
Yennora Industrial	
North Parramatta	82524
North Rocks	111540
Northmead	95004
Parramatta - Rosehill	86112
Toongabbie - Constitution Hill	84812
Winston Hills	110812
Pendle Hill - Girraween	84344
Wentworthville - Westmead	87360
Epping - North Epping	106652
Pennant Hills - Cheltenham	127400
Eastwood - Denistone	93860
Gladesville - Huntleys Point	103948
Hunters Hill - Woolwich	142376
Macquarie Park - Marsfield	85540
North Ryde - East Ryde	109980
West Ryde - Meadowbank	88816
Putney	127868
Ryde	89492
Ashcroft - Busby - Miller	46332
Austral - Greendale	76544
Cobbitty - Leppington	109512
Badgerys Creek	59540
Cecil Hills	111124
Green Valley	81744
Hinchinbrook	95316
Hoxton Park - Carnes Hill - Horningsea Park	102232
West Hoxton - Middleton Grange	111904
Bonnyrigg Heights - Bonnyrigg	73372
Bossley Park - Abbotsbury	86788
Cabramatta - Lansvale	52000
Cabramatta West - Mount Pritchard	61880
Canley Vale - Canley Heights	60008
Edensor Park	85124
Fairfield	50388
Fairfield - West	62556
Greenfield Park - Prairiewood	74360
Horsley Park - Kemps Creek	102752
Smithfield - Wetherill Park	66144
St Johns Park - Wakeley	75556
Wetherill Park Industrial	58500
Casula	82368
Chipping Norton - Moorebank	95576
Holsworthy - Wattle Grove	110396
Liverpool	56576
Lurnea - Cartwright	50908
Prestons - Edmondson Park	105664
Warwick Farm	51012
Gymea - Grays Point	110604
Miranda - Yowie Bay	85852
Sylvania - Taren Point	89232
Caringbah	81588
Caringbah South	113464
Cronulla - Kurnell - Bundeena	94744
Lilli Pilli - Port Hacking - Dolans Bay	155376
Woolaware - Burraneer	121108
Heathcote - Waterfall	96824
Illawong - Alfords Point	130468
Menai - Lucas Heights - Woronora	121836
Oyster Bay - Como - Jannali	118820
Royal National Park	97500
Sutherland - Kirrawee	87984
Engadine	101972
Loftus - Yarrawarrah	111956
Woronora Heights	143988
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	82420
Ballarat	69004
Ballarat - North	62296
Ballarat - South	49140
Buninyong	84968
Delacombe	66144
Smythes Creek	82316
Wendouree - Miners Rest	49816
Bacchus Marsh Region	71188
Creswick - Clunes	51688
Daylesford	52832
Gordon (Vic.)	69108
Avoca	41132
Beaufort	49764
Golden Plains - North	58448
Maryborough (Vic.)	39988
Maryborough Region	40664
Bendigo	53508
California Gully - Eaglehawk	49452
East Bendigo - Kennington	60008
Flora Hill - Spring Gully	60788
Kangaroo Flat - Golden Square	55120
Maiden Gully	95056
Strathfieldsaye	96252
White Hills - Ascot	72436
Bendigo Region - South	82264
Castlemaine	50180
Castlemaine Region	54236
Heathcote	46540
Kyneton	65988
Woodend	87828
Bendigo Region - North	61724
Loddon	42848
Bannockburn	88920
Golden Plains - South	72800
Winchelsea	70616
Belmont	59384
Corio - Norlane	45032
Geelong	66352
Geelong West - Hamlyn Heights	66300
Grovedale	71552
Highton	87152
Lara	80808
Leopold	70616
Newcomb - Moolap	49712
Newtown (Vic.)	87048
North Geelong - Bell Park	56992
Clifton Springs	60476
Lorne - Anglesea	65624
Ocean Grove - Barwon Heads	82004
Portarlington	46592
Point Lonsdale - Queenscliff	62972
Torquay	91884
Alexandra	48672
Euroa	47528
Kilmore - Broadford	68796
Mansfield (Vic.)	55276
Nagambie	55172
Seymour	50804
Seymour Region	79300
Upper Yarra Valley	38844
Yea	52156
Benalla	47060
Benalla Region	58292
Rutherglen	59436
Wangaratta	53352
Wangaratta Region	62920
Beechworth	60996
Bright - Mount Beauty	54028
Chiltern - Indigo Valley	69732
Myrtleford	49920
Towong	54028
West Wodonga	68380
Wodonga	64740
Yackandandah	75140
Drouin	60840
Mount Baw Baw Region	62816
Trafalgar (Vic.)	63440
Warragul	62972
Alps - East	
Bairnsdale	51220
Bruthen - Omeo	56264
Lake King	
Lakes Entrance	46228
Orbost	39988
Paynesville	47528
Foster	47424
French Island	24804
Korumburra	55900
Leongatha	58656
Phillip Island	49244
Wilsons Promontory	116948
Wonthaggi - Inverloch	47268
Churchill	65780
Moe - Newborough	45344
Morwell	42016
Traralgon	67600
Yallourn North - Glengarry	71240
Alps - West	44200
Longford - Loch Sport	49036
Maffra	58500
Rosedale	68328
Sale	60424
Yarram	46852
Brunswick	89700
Brunswick East	89596
Brunswick West	73632
Coburg	85072
Pascoe Vale South	95680
Alphington - Fairfield	94536
Northcote	96824
Thornbury	79924
Ascot Vale	91364
Essendon - Aberfeldie	93340
Flemington	65780
Moonee Ponds	96772
Carlton	29172
Docklands	97136
East Melbourne	118820
Flemington Racecourse	93184
Kensington (Vic.)	101712
Melbourne	50804
North Melbourne	71708
Parkville	83720
South Yarra - West	104936
Southbank	96564
West Melbourne	
Albert Park	113620
Elwood	98436
Port Melbourne	113880
Port Melbourne Industrial	97448
South Melbourne	97136
St Kilda	84500
St Kilda East	85072
Armadale	104364
Prahran - Windsor	95732
South Yarra - East	91988
Toorak	120276
Abbotsford	104052
Carlton North - Princes Hill	103532
Collingwood	89024
Fitzroy	89180
Fitzroy North	99840
Richmond (Vic.)	104780
Yarra - North	114036
Ashburton (Vic.)	117052
Balwyn	90324
Balwyn North	103792
Camberwell	115024
Glen Iris - East	126776
Hawthorn	94692
Hawthorn East	101400
Kew	114660
Kew East	111904
Surrey Hills (West) - Canterbury	121732
Bulleen	78052
Doncaster	70928
Templestowe	99632
Templestowe Lower	82992
Doncaster East (North)	90636
Doncaster East (South)	68432
Blackburn	88036
Blackburn South	78832
Box Hill	62400
Box Hill North	80288
Burwood	58552
Burwood East	71396
Surrey Hills (East) - Mont Albert	111644
Beaumaris	115076
Brighton (Vic.)	125268
Brighton East	113360
Cheltenham - Highett (West)	89648
Hampton	105612
Sandringham - Black Rock	109772
Bentleigh - McKinnon	95160
Carnegie	76804
Caulfield - North	99944
Caulfield - South	99372
Elsternwick	97604
Hughesdale	87776
Murrumbeena	86112
Ormond - Glen Huntly	80756
Bentleigh East (North)	91676
Bentleigh East (South)	88660
Aspendale Gardens - Waterways	106028
Braeside	46800
Carrum - Patterson Lakes	80444
Chelsea - Bonbeach	71552
Chelsea Heights	78780
Cheltenham - Highett (East)	76232
Edithvale - Aspendale	92924
Mentone	79092
Moorabbin - Heatherton	81588
Moorabbin Airport	
Mordialloc - Parkdale	88452
Malvern - Glen Iris	107900
Malvern East	100724
Bundoora - East	70824
Greensborough	89804
Heidelberg - Rosanna	90012
Heidelberg West	62088
Ivanhoe	100100
Ivanhoe East - Eaglemont	125632
Montmorency - Briar Hill	90012
Viewbank - Yallambie	87568
Watsonia	80340
Kingsbury	71084
Reservoir - East	59176
Reservoir - West	65936
Preston - East	72072
Preston - West	79508
Eltham	110604
Hurstbridge	93548
Kinglake	74568
Panton Hill - St Andrews	97812
Plenty - Yarrambat	113516
Research - North Warrandyte	119340
Wattle Glen - Diamond Creek	107432
Bundoora - North	74464
Bundoora - West	60112
Lalor	57824
Mill Park - North	79456
Mill Park - South	76388
Thomastown	52884
Wallan	85644
Whittlesea	75504
Doreen	94172
Epping - East	72956
Epping - South	62660
Epping - West	83512
Mernda	86268
South Morang (North)	98228
South Morang (South)	82784
Wollert	83824
Airport West	71500
Essendon Airport	
Keilor	79404
Keilor East	73372
Niddrie - Essendon West	90844
Strathmore	107588
Gisborne	97188
Macedon	100464
Riddells Creek	95160
Romsey	82108
Coburg North	78156
Fawkner	56576
Pascoe Vale	80340
Glenroy	65208
Gowanbrae	92508
Hadfield	58708
Sunbury	88816
Sunbury - South	78520
Broadmeadows	47476
Campbellfield - Coolaroo	48204
Gladstone Park - Westmeadows	72072
Greenvale - Bulla	105040
Meadow Heights	54288
Melbourne Airport	117000
Roxburgh Park - Somerton	70616
Tullamarine	62088
Craigieburn - Central	70200
Craigieburn - North	86788
Craigieburn - South	77428
Craigieburn - West	78520
Mickleham - Yuroke	94432
Bayswater	67652
Knoxfield - Scoresby	82628
Lysterfield	121524
Rowville - Central	91676
Rowville - North	99944
Rowville - South	106808
Wantirna	81848
Wantirna South	82004
Boronia	68120
Ferntree Gully (North)	70512
Ferntree Gully (South) - Upper Ferntree Gully	81848
The Basin	89596
Donvale - Park Orchards	101140
Warrandyte - Wonga Park	121316
Bayswater North	78988
Croydon Hills - Warranwood	104936
Ringwood	70720
Ringwood East	82784
Ringwood North	99320
Croydon - East	68328
Croydon - West	72176
Croydon South	82524
Forest Hill	69888
Mitcham (Vic.)	85800
Nunawading	78520
Vermont	86528
Vermont South	86580
Belgrave - Selby	90896
Chirnside Park	89856
Healesville - Yarra Glen	66456
Kilsyth	69836
Lilydale - Coldstream	76232
Monbulk - Silvan	78260
Montrose	88972
Mooroolbark	82888
Mount Dandenong - Olinda	87360
Mount Evelyn	86060
Upwey - Tecoma	91624
Wandin - Seville	83772
Yarra Valley	59384
Beaconsfield - Officer	97500
Bunyip - Garfield	78104
Emerald - Cockatoo	89232
Koo Wee Rup	69420
Pakenham - North	71292
Pakenham - South	72280
Berwick - North	81016
Berwick - South	98852
Doveton	50596
Hallam	67444
Narre Warren North	113464
Endeavour Hills - North	77220
Endeavour Hills - South	76336
Narre Warren - North East	84188
Narre Warren - South West	69940
Cranbourne	65052
Cranbourne East	88920
Cranbourne North	82732
Cranbourne South	96980
Cranbourne West	81328
Hampton Park - Lynbrook	67964
Lynbrook - Lyndhurst	101296
Pearcedale - Tooradin	79872
Narre Warren South (East)	104312
Narre Warren South (West)	86008
Clarinda - Oakleigh South	73684
Clayton South	65364
Dandenong	51688
Dandenong North	61516
Dingley Village	82992
Keysborough	82524
Noble Park North	63076
Springvale	56004
Springvale South	63440
Noble Park - East	58084
Noble Park - West	57304
Ashwood - Chadstone	80808
Clayton	55640
Glen Waverley - East	81328
Glen Waverley - West	80132
Mount Waverley - North	84656
Mount Waverley - South	86060
Mulgrave	81744
Oakleigh - Huntingdale	79040
Wheelers Hill	86840
Ardeer - Albion	55692
Cairnlea	90896
Deer Park - Derrimut	72956
Delahey	67080
Keilor Downs	71708
Kings Park (Vic.)	55848
St Albans - North	51480
St Albans - South	53924
Sunshine	61620
Sunshine North	56888
Sunshine West	59644
Sydenham	79404
Taylors Lakes	96044
Altona	74880
Altona Meadows	71240
Altona North	66248
Newport	107692
Seabrook	87152
Williamstown	104364
Braybrook	64064
Footscray	68328
Maribyrnong	91780
Seddon - Kingsville	96772
West Footscray - Tottenham	75348
Yarraville	106236
Bacchus Marsh	74204
Hillside	97448
Melton	61360
Melton South	69576
Melton West	74152
Rockbank - Mount Cottrell	58188
Taylors Hill	98280
Burnside	73424
Burnside Heights	95732
Caroline Springs	94588
Hoppers Crossing - North	77636
Hoppers Crossing - South	68848
Laverton	82524
Tarneit	89336
Truganina	90688
Werribee - South	68276
Wyndham Vale	78572
Point Cook - East	110812
Point Cook - North	102336
Point Cook - South	109408
Werribee - East	62296
Werribee - West	77792
Carrum Downs	69628
Frankston	57148
Frankston North	54236
Frankston South	84084
Langwarrin	82940
Seaford (Vic.)	62816
Skye - Sandhurst	99528
Dromana	60164
Flinders	89180
Hastings - Somers	61100
Mornington	62556
Mount Eliza	105560
Mount Martha	88764
Point Nepean	56992
Rosebud - McCrae	48360
Somerville	76908
Ararat	51896
Ararat Region	52312
Horsham	57304
Horsham Region	59592
Nhill Region	48256
St Arnaud	43940
Stawell	50596
West Wimmera	50232
Yarriambiack	45812
Irymple	67080
Merbein	54912
Mildura Region	52988
Red Cliffs	56316
Mildura - North	50700
Mildura - South	56524
Buloke	43628
Gannawarra	47996
Kerang	46072
Robinvale	56420
Swan Hill	57096
Swan Hill Region	56732
Echuca	59488
Kyabram	55432
Lockington - Gunbower	62036
Rochester	52104
Rushworth	47476
Cobram	49868
Moira	58760
Numurkah	54496
Yarrawonga	50024
Mooroopna	51792
Shepparton - North	63492
Shepparton - South	59540
Shepparton Region - East	73216
Shepparton Region - West	60476
Glenelg (Vic.)	53456
Hamilton (Vic.)	53820
Portland	54600
Southern Grampians	55536
Camperdown	47892
Colac	54860
Colac Region	59800
Corangamite - North	51688
Corangamite - South	59644
Otway	48672
Moyne - East	62920
Moyne - West	63284
Warrnambool - North	62920
Warrnambool - South	59488
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	83200
Belmont - Gumdale	114192
Birkdale	88660
Capalaba	76648
Thorneside	67548
Wellington Point	99476
Cleveland	66300
Ormiston	83044
Redland Bay	91208
Sheldon - Mount Cotton	114920
Thornlands	100672
Victoria Point	72124
Redland Islands	38220
Brisbane Port - Lytton	
Manly - Lota	87932
Manly West	89804
Murarrie	107900
Tingalpa	87880
Wakerley	128128
Wynnum	79144
Wynnum West - Hemmant	75712
Bald Hills	85800
Bridgeman Downs	124124
Carseldine	90584
Everton Park	82420
McDowall	110552
Aspley	79092
Chermside	63284
Chermside West	92820
Geebung	88348
Kedron - Gordon Park	92820
Stafford	77740
Stafford Heights	82992
Wavell Heights	106860
Boondall	82420
Brisbane Airport	117000
Eagle Farm - Pinkenba	88868
Northgate - Virginia	93704
Nudgee - Banyo	94120
Nundah	81588
Bracken Ridge	87568
Brighton (Qld)	83512
Deagon	66456
Sandgate - Shorncliffe	77584
Taigum - Fitzgibbon	73216
Zillmere	63492
Camp Hill	116896
Cannon Hill	96616
Carina	90688
Carina Heights	86580
Carindale	110448
Annerley	82576
Coorparoo	93392
Fairfield - Dutton Park	83096
Greenslopes	86632
Holland Park	100776
Holland Park West	99164
Woolloongabba	78832
Yeronga	94016
Eight Mile Plains	84136
Macgregor (Qld)	71292
Mansfield (Qld)	87672
Mount Gravatt	84812
Rochedale - Burbank	121472
Upper Mount Gravatt	70304
Wishart	88920
Coopers Plains	67860
Moorooka	81068
Robertson	72488
Salisbury - Nathan	83928
Tarragindi	114400
Algester	79352
Calamvale - Stretton	86008
Pallara - Willawong	110552
Parkinson - Drewvale	105352
Rocklea - Acacia Ridge	61204
Kuraby	91728
Runcorn	76960
Sunnybank	69108
Sunnybank Hills	74100
Jindalee - Mount Ommaney	103324
Middle Park - Jamboree Heights	97500
Riverhills	90584
Seventeen Mile Rocks - Sinnamon Park	116324
Westlake	117468
Bellbowrie - Moggill	107640
