SA2_NAME16	persons
Oyster Bay - Como - Jannali	21254
Royal National Park	27
Sutherland - Kirrawee	20868
Engadine	16993
Loftus - Yarrawarrah	7246
Woronora Heights	3652
Migratory - Offshore - Shipping (NSW)	412
No usual address (NSW)	12288
Alfredton	11654
Ballarat	12046
Ballarat - North	23083
Ballarat - South	24231
Buninyong	7153
Delacombe	7082
Smythes Creek	3932
Wendouree - Miners Rest	14633
Bacchus Marsh Region	5870
Creswick - Clunes	7821
Daylesford	8956
Gordon (Vic.)	5656
Avoca	3302
Beaufort	4395
Golden Plains - North	4483
Maryborough (Vic.)	7921
Maryborough Region	5268
Bendigo	14460
California Gully - Eaglehawk	11965
East Bendigo - Kennington	13507
Flora Hill - Spring Gully	9295
Kangaroo Flat - Golden Square	19687
Maiden Gully	5084
Strathfieldsaye	8630
White Hills - Ascot	11747
Bendigo Region - South	7184
Castlemaine	10583
Castlemaine Region	8474
Heathcote	4513
Kyneton	9648
Woodend	6899
Bendigo Region - North	4363
Loddon	7057
Bannockburn	6420
Golden Plains - South	6855
Winchelsea	5745
Belmont	14021
Corio - Norlane	26348
Geelong	12694
Geelong West - Hamlyn Heights	19468
Grovedale	23275
Highton	22098
Lara	18088
Leopold	12814
Newcomb - Moolap	14593
Newtown (Vic.)	10155
North Geelong - Bell Park	14631
Clifton Springs	13349
Lorne - Anglesea	5051
Ocean Grove - Barwon Heads	23421
Portarlington	7397
Point Lonsdale - Queenscliff	4148
Torquay	18362
Alexandra	6337
Euroa	6278
Kilmore - Broadford	13871
Mansfield (Vic.)	8848
Nagambie	4004
Seymour	6327
Seymour Region	4432
Upper Yarra Valley	182
Yea	3560
Benalla	10330
Benalla Region	3595
Rutherglen	3869
Wangaratta	18710
Wangaratta Region	9600
Beechworth	4569
Bright - Mount Beauty	8154
Chiltern - Indigo Valley	3100
Myrtleford	4634
Towong	5956
West Wodonga	14955
Wodonga	24398
Yackandandah	4487
Drouin	16207
Mount Baw Baw Region	6019
Trafalgar (Vic.)	7641
Warragul	18758
Alps - East	4
Bairnsdale	14728
Bruthen - Omeo	7743
Lakes Entrance	9916
Orbost	6448
Paynesville	6313
Foster	8731
French Island	119
Korumburra	9122
Leongatha	11079
Phillip Island	10387
Wilsons Promontory	13
Wonthaggi - Inverloch	22228
Churchill	11401
Moe - Newborough	16551
Morwell	13808
Traralgon	26785
Yallourn North - Glengarry	4550
Alps - West	25
Longford - Loch Sport	4299
Maffra	13868
Rosedale	4723
Sale	14646
Yarram	5305
Brunswick	25440
Brunswick East	10962
Brunswick West	13737
Coburg	26166
Pascoe Vale South	9960
Alphington - Fairfield	8934
Northcote	24667
Thornbury	18466
Ascot Vale	14750
Essendon - Aberfeldie	27487
Flemington	10115
Moonee Ponds	14250
Carlton	19001
Docklands	10965
East Melbourne	4962
Flemington Racecourse	85
Kensington (Vic.)	10812
Melbourne	37321
North Melbourne	20637
Parkville	7409
South Yarra - West	6096
Southbank	18669
West Melbourne	3
Albert Park	15384
Elwood	15222
Port Melbourne	16163
Port Melbourne Industrial	18
South Melbourne	11550
St Kilda	26124
St Kilda East	16417
Armadale	8972
Prahran - Windsor	19714
South Yarra - East	20728
Toorak	13050
Abbotsford	8184
Carlton North - Princes Hill	8428
Collingwood	8513
Fitzroy	10445
Fitzroy North	12339
Richmond (Vic.)	30499
Yarra - North	9044
Ashburton (Vic.)	7751
Balwyn	15831
Balwyn North	20224
Camberwell	21400
Glen Iris - East	16326
Hawthorn	22973
Hawthorn East	15166
Kew	24725
Kew East	6513
Surrey Hills (West) - Canterbury	16319
Bulleen	11045
Doncaster	20584
Templestowe	16618
Templestowe Lower	13598
Doncaster East (North)	14573
Doncaster East (South)	13956
Blackburn	21382
Blackburn South	10793
Box Hill	19828
Box Hill North	17552
Burwood	12248
Burwood East	10273
Surrey Hills (East) - Mont Albert	9965
Beaumaris	13472
Brighton (Vic.)	22695
Brighton East	15838
Cheltenham - Highett (West)	10938
Hampton	17640
Sandringham - Black Rock	16506
Bentleigh - McKinnon	22415
Carnegie	18066
Caulfield - North	20976
Caulfield - South	17448
Elsternwick	11354
Hughesdale	7556
Murrumbeena	9251
Ormond - Glen Huntly	13339
Bentleigh East (North)	14784
Bentleigh East (South)	13238
Aspendale Gardens - Waterways	8989
Braeside	58
Carrum - Patterson Lakes	11548
Chelsea - Bonbeach	14191
Chelsea Heights	5335
Cheltenham - Highett (East)	22270
Edithvale - Aspendale	12747
Mentone	12965
Moorabbin - Heatherton	8803
Mordialloc - Parkdale	19917
Malvern - Glen Iris	20042
Malvern East	21321
Bundoora - East	9894
Greensborough	20463
Heidelberg - Rosanna	14775
Heidelberg West	14149
Ivanhoe	11390
Ivanhoe East - Eaglemont	7691
