SA2_NAME16	MaxSchoolingCompleted	adults
Narooma - Bermagui	Did not go to school	23
Narooma - Bermagui	Year 8	443
Narooma - Bermagui	Year 9	712
Narooma - Bermagui	Year 10	2240
Narooma - Bermagui	Year 11	586
Narooma - Bermagui	Year 12	2880
Goulburn	Did not go to school	103
Goulburn	Year 8	1052
Goulburn	Year 9	1701
Goulburn	Year 10	5654
Goulburn	Year 11	1237
Goulburn	Year 12	6491
Goulburn Region	Did not go to school	36
Goulburn Region	Year 8	666
Goulburn Region	Year 9	925
Goulburn Region	Year 10	3260
Goulburn Region	Year 11	683
Goulburn Region	Year 12	3692
Yass	Did not go to school	17
Yass	Year 8	227
Yass	Year 9	362
Yass	Year 10	1327
Yass	Year 11	390
Yass	Year 12	2275
Yass Region	Did not go to school	21
Yass Region	Year 8	278
Yass Region	Year 9	480
Yass Region	Year 10	1941
Yass Region	Year 11	589
Yass Region	Year 12	5065
Young	Did not go to school	46
Young	Year 8	595
Young	Year 9	842
Young	Year 10	2733
Young	Year 11	693
Young	Year 12	2545
Young Region	Did not go to school	28
Young Region	Year 8	454
Young Region	Year 9	644
Young Region	Year 10	1881
Young Region	Year 11	404
Young Region	Year 12	1980
Avoca Beach - Copacabana	Did not go to school	8
Avoca Beach - Copacabana	Year 8	122
Avoca Beach - Copacabana	Year 9	308
Avoca Beach - Copacabana	Year 10	1375
Avoca Beach - Copacabana	Year 11	376
Avoca Beach - Copacabana	Year 12	3256
Box Head - MacMasters Beach	Did not go to school	19
Box Head - MacMasters Beach	Year 8	269
Box Head - MacMasters Beach	Year 9	676
Box Head - MacMasters Beach	Year 10	2505
Box Head - MacMasters Beach	Year 11	565
Box Head - MacMasters Beach	Year 12	4277
Calga - Kulnura	Did not go to school	18
Calga - Kulnura	Year 8	181
Calga - Kulnura	Year 9	282
Calga - Kulnura	Year 10	1144
Calga - Kulnura	Year 11	238
Calga - Kulnura	Year 12	1631
Erina - Green Point	Did not go to school	30
Erina - Green Point	Year 8	444
Erina - Green Point	Year 9	934
Erina - Green Point	Year 10	3120
Erina - Green Point	Year 11	688
Erina - Green Point	Year 12	5230
Gosford - Springfield	Did not go to school	56
Gosford - Springfield	Year 8	614
Gosford - Springfield	Year 9	1088
Gosford - Springfield	Year 10	3800
Gosford - Springfield	Year 11	976
Gosford - Springfield	Year 12	7732
Kariong	Did not go to school	20
Kariong	Year 8	155
Kariong	Year 9	317
Kariong	Year 10	1398
Kariong	Year 11	365
Kariong	Year 12	2321
Kincumber - Picketts Valley	Did not go to school	8
Kincumber - Picketts Valley	Year 8	254
Kincumber - Picketts Valley	Year 9	579
Kincumber - Picketts Valley	Year 10	1892
Kincumber - Picketts Valley	Year 11	418
Kincumber - Picketts Valley	Year 12	2514
Narara	Did not go to school	34
Narara	Year 8	174
Narara	Year 9	375
Narara	Year 10	1518
Narara	Year 11	401
Narara	Year 12	2535
Niagara Park - Lisarow	Did not go to school	6
Niagara Park - Lisarow	Year 8	223
Niagara Park - Lisarow	Year 9	427
Niagara Park - Lisarow	Year 10	1799
Niagara Park - Lisarow	Year 11	496
Niagara Park - Lisarow	Year 12	3074
Point Clare - Koolewong	Did not go to school	18
Point Clare - Koolewong	Year 8	156
Point Clare - Koolewong	Year 9	371
Point Clare - Koolewong	Year 10	1355
Point Clare - Koolewong	Year 11	325
Point Clare - Koolewong	Year 12	2549
Saratoga - Davistown	Did not go to school	8
Saratoga - Davistown	Year 8	178
Saratoga - Davistown	Year 9	488
Saratoga - Davistown	Year 10	1704
Saratoga - Davistown	Year 11	394
Saratoga - Davistown	Year 12	2496
Terrigal - North Avoca	Did not go to school	17
Terrigal - North Avoca	Year 8	233
Terrigal - North Avoca	Year 9	601
Terrigal - North Avoca	Year 10	2683
Terrigal - North Avoca	Year 11	726
Terrigal - North Avoca	Year 12	6070
Umina - Booker Bay - Patonga	Did not go to school	46
Umina - Booker Bay - Patonga	Year 8	994
Umina - Booker Bay - Patonga	Year 9	1979
Umina - Booker Bay - Patonga	Year 10	6101
Umina - Booker Bay - Patonga	Year 11	1318
Umina - Booker Bay - Patonga	Year 12	7374
Wamberal - Forresters Beach	Did not go to school	11
Wamberal - Forresters Beach	Year 8	203
Wamberal - Forresters Beach	Year 9	468
Wamberal - Forresters Beach	Year 10	2010
Wamberal - Forresters Beach	Year 11	520
Wamberal - Forresters Beach	Year 12	4015
Woy Woy - Blackwall	Did not go to school	42
Woy Woy - Blackwall	Year 8	648
Woy Woy - Blackwall	Year 9	1183
Woy Woy - Blackwall	Year 10	3504
Woy Woy - Blackwall	Year 11	793
Woy Woy - Blackwall	Year 12	4500
Wyoming	Did not go to school	25
Wyoming	Year 8	415
Wyoming	Year 9	786
Wyoming	Year 10	2546
Wyoming	Year 11	707
Wyoming	Year 12	3953
Bateau Bay - Killarney Vale	Did not go to school	44
Bateau Bay - Killarney Vale	Year 8	913
Bateau Bay - Killarney Vale	Year 9	1642
Bateau Bay - Killarney Vale	Year 10	5804
Bateau Bay - Killarney Vale	Year 11	1296
Bateau Bay - Killarney Vale	Year 12	6497
Blue Haven - San Remo	Did not go to school	28
Blue Haven - San Remo	Year 8	497
Blue Haven - San Remo	Year 9	983
Blue Haven - San Remo	Year 10	3132
Blue Haven - San Remo	Year 11	733
Blue Haven - San Remo	Year 12	2540
Budgewoi - Buff Point - Halekulani	Did not go to school	28
Budgewoi - Buff Point - Halekulani	Year 8	478
Budgewoi - Buff Point - Halekulani	Year 9	871
Budgewoi - Buff Point - Halekulani	Year 10	2823
Budgewoi - Buff Point - Halekulani	Year 11	589
Budgewoi - Buff Point - Halekulani	Year 12	2270
Chittaway Bay - Tumbi Umbi	Did not go to school	23
Chittaway Bay - Tumbi Umbi	Year 8	493
Chittaway Bay - Tumbi Umbi	Year 9	1110
Chittaway Bay - Tumbi Umbi	Year 10	4079
Chittaway Bay - Tumbi Umbi	Year 11	917
Chittaway Bay - Tumbi Umbi	Year 12	4900
Gorokan - Kanwal - Charmhaven	Did not go to school	48
Gorokan - Kanwal - Charmhaven	Year 8	1141
Gorokan - Kanwal - Charmhaven	Year 9	1961
Gorokan - Kanwal - Charmhaven	Year 10	5975
Gorokan - Kanwal - Charmhaven	Year 11	1365
Gorokan - Kanwal - Charmhaven	Year 12	5361
Jilliby - Yarramalong	Did not go to school	9
Jilliby - Yarramalong	Year 8	91
Jilliby - Yarramalong	Year 9	184
Jilliby - Yarramalong	Year 10	811
Jilliby - Yarramalong	Year 11	162
Jilliby - Yarramalong	Year 12	1194
Lake Munmorah - Mannering Park	Did not go to school	7
Lake Munmorah - Mannering Park	Year 8	501
Lake Munmorah - Mannering Park	Year 9	1149
Lake Munmorah - Mannering Park	Year 10	3458
Lake Munmorah - Mannering Park	Year 11	642
Lake Munmorah - Mannering Park	Year 12	2459
Ourimbah - Fountaindale	Did not go to school	13
Ourimbah - Fountaindale	Year 8	128
Ourimbah - Fountaindale	Year 9	253
Ourimbah - Fountaindale	Year 10	1121
Ourimbah - Fountaindale	Year 11	282
Ourimbah - Fountaindale	Year 12	1909
Summerland Point - Gwandalan	Did not go to school	13
Summerland Point - Gwandalan	Year 8	225
Summerland Point - Gwandalan	Year 9	553
Summerland Point - Gwandalan	Year 10	1863
Summerland Point - Gwandalan	Year 11	349
Summerland Point - Gwandalan	Year 12	1436
The Entrance	Did not go to school	29
The Entrance	Year 8	672
The Entrance	Year 9	1242
The Entrance	Year 10	4068
The Entrance	Year 11	807
The Entrance	Year 12	4352
Toukley - Norah Head	Did not go to school	26
Toukley - Norah Head	Year 8	503
Toukley - Norah Head	Year 9	821
Toukley - Norah Head	Year 10	2863
Toukley - Norah Head	Year 11	534
Toukley - Norah Head	Year 12	2393
Tuggerah - Kangy Angy	Did not go to school	3
Tuggerah - Kangy Angy	Year 8	134
Tuggerah - Kangy Angy	Year 9	336
Tuggerah - Kangy Angy	Year 10	1223
Tuggerah - Kangy Angy	Year 11	307
Tuggerah - Kangy Angy	Year 12	1840
Warnervale - Wadalba	Did not go to school	130
Warnervale - Wadalba	Year 8	544
Warnervale - Wadalba	Year 9	1004
Warnervale - Wadalba	Year 10	3612
Warnervale - Wadalba	Year 11	913
Warnervale - Wadalba	Year 12	4522
Wyong	Did not go to school	33
Wyong	Year 8	450
Wyong	Year 9	759
Wyong	Year 10	2258
Wyong	Year 11	546
Wyong	Year 12	2395
Bathurst	Did not go to school	50
Bathurst	Year 8	858
Bathurst	Year 9	1365
Bathurst	Year 10	4966
Bathurst	Year 11	1255
Bathurst	Year 12	8683
Bathurst - East	Did not go to school	36
Bathurst - East	Year 8	408
Bathurst - East	Year 9	737
Bathurst - East	Year 10	2573
Bathurst - East	Year 11	615
Bathurst - East	Year 12	3425
Bathurst Region	Did not go to school	11
Bathurst Region	Year 8	213
Bathurst Region	Year 9	412
Bathurst Region	Year 10	1659
Bathurst Region	Year 11	358
Bathurst Region	Year 12	2150
Oberon	Did not go to school	13
Oberon	Year 8	237
Oberon	Year 9	336
Oberon	Year 10	1269
Oberon	Year 11	238
Oberon	Year 12	1153
Condobolin	Did not go to school	36
Condobolin	Year 8	397
Condobolin	Year 9	492
Condobolin	Year 10	1577
Condobolin	Year 11	341
Condobolin	Year 12	1604
Cowra	Did not go to school	30
Cowra	Year 8	643
Cowra	Year 9	860
Cowra	Year 10	2516
Cowra	Year 11	500
Cowra	Year 12	2128
Cowra Region	Did not go to school	22
Cowra Region	Year 8	351
Cowra Region	Year 9	497
Cowra Region	Year 10	1552
Cowra Region	Year 11	289
Cowra Region	Year 12	1316
Forbes	Did not go to school	29
Forbes	Year 8	602
Forbes	Year 9	809
Forbes	Year 10	2543
Forbes	Year 11	619
Forbes	Year 12	2577
Grenfell	Did not go to school	5
Grenfell	Year 8	227
Grenfell	Year 9	326
Grenfell	Year 10	990
Grenfell	Year 11	197
Grenfell	Year 12	923
Parkes (NSW)	Did not go to school	23
Parkes (NSW)	Year 8	559
Parkes (NSW)	Year 9	786
Parkes (NSW)	Year 10	2801
Parkes (NSW)	Year 11	661
Parkes (NSW)	Year 12	2755
Parkes Region	Did not go to school	10
Parkes Region	Year 8	201
Parkes Region	Year 9	284
Parkes Region	Year 10	876
Parkes Region	Year 11	183
Parkes Region	Year 12	844
West Wyalong	Did not go to school	7
West Wyalong	Year 8	319
West Wyalong	Year 9	469
West Wyalong	Year 10	1589
West Wyalong	Year 11	312
West Wyalong	Year 12	1311
Lithgow	Did not go to school	37
Lithgow	Year 8	684
Lithgow	Year 9	1067
Lithgow	Year 10	3583
Lithgow	Year 11	735
Lithgow	Year 12	2994
Lithgow Region	Did not go to school	11
Lithgow Region	Year 8	416
Lithgow Region	Year 9	634
Lithgow Region	Year 10	2343
Lithgow Region	Year 11	453
Lithgow Region	Year 12	1944
Mudgee	Did not go to school	23
Mudgee	Year 8	481
Mudgee	Year 9	721
Mudgee	Year 10	2808
Mudgee	Year 11	736
Mudgee	Year 12	3357
Mudgee Region - East	Did not go to school	11
Mudgee Region - East	Year 8	273
Mudgee Region - East	Year 9	305
Mudgee Region - East	Year 10	930
Mudgee Region - East	Year 11	209
Mudgee Region - East	Year 12	737
Mudgee Region - West	Did not go to school	28
Mudgee Region - West	Year 8	528
Mudgee Region - West	Year 9	835
Mudgee Region - West	Year 10	2636
Mudgee Region - West	Year 11	524
Mudgee Region - West	Year 12	2540
Blayney	Did not go to school	8
Blayney	Year 8	345
Blayney	Year 9	493
Blayney	Year 10	1893
Blayney	Year 11	393
Blayney	Year 12	2049
Orange	Did not go to school	72
Orange	Year 8	1091
Orange	Year 9	1440
Orange	Year 10	4459
Orange	Year 11	1000
Orange	Year 12	5790
Orange - North	Did not go to school	70
Orange - North	Year 8	629
Orange - North	Year 9	1102
Orange - North	Year 10	4278
Orange - North	Year 11	1048
Orange - North	Year 12	6745
Orange Region	Did not go to school	12
Orange Region	Year 8	447
Orange Region	Year 9	714
Orange Region	Year 10	2763
Orange Region	Year 11	602
Orange Region	Year 12	3683
Grafton	Did not go to school	58
Grafton	Year 8	1092
Grafton	Year 9	1577
Grafton	Year 10	5115
Grafton	Year 11	992
Grafton	Year 12	4579
Grafton Region	Did not go to school	52
Grafton Region	Year 8	878
Grafton Region	Year 9	1399
Grafton Region	Year 10	4561
Grafton Region	Year 11	899
Grafton Region	Year 12	3626
Maclean - Yamba - Iluka	Did not go to school	26
Maclean - Yamba - Iluka	Year 8	879
Maclean - Yamba - Iluka	Year 9	1473
Maclean - Yamba - Iluka	Year 10	4744
Maclean - Yamba - Iluka	Year 11	1008
Maclean - Yamba - Iluka	Year 12	4457
Bellingen	Did not go to school	9
Bellingen	Year 8	172
Bellingen	Year 9	319
Bellingen	Year 10	1134
Bellingen	Year 11	329
Bellingen	Year 12	2179
Coffs Harbour - North	Did not go to school	118
Coffs Harbour - North	Year 8	816
Coffs Harbour - North	Year 9	1303
Coffs Harbour - North	Year 10	4251
Coffs Harbour - North	Year 11	1091
Coffs Harbour - North	Year 12	5248
Coffs Harbour - South	Did not go to school	84
Coffs Harbour - South	Year 8	504
Coffs Harbour - South	Year 9	707
Coffs Harbour - South	Year 10	2243
Coffs Harbour - South	Year 11	607
Coffs Harbour - South	Year 12	3271
Coramba - Nana Glen - Bucca	Did not go to school	6
Coramba - Nana Glen - Bucca	Year 8	140
Coramba - Nana Glen - Bucca	Year 9	234
Coramba - Nana Glen - Bucca	Year 10	987
Coramba - Nana Glen - Bucca	Year 11	239
Coramba - Nana Glen - Bucca	Year 12	1158
Dorrigo	Did not go to school	11
Dorrigo	Year 8	169
Dorrigo	Year 9	298
Dorrigo	Year 10	805
Dorrigo	Year 11	197
Dorrigo	Year 12	921
Korora - Emerald Beach	Did not go to school	14
Korora - Emerald Beach	Year 8	189
Korora - Emerald Beach	Year 9	454
Korora - Emerald Beach	Year 10	1936
Korora - Emerald Beach	Year 11	533
Korora - Emerald Beach	Year 12	3348
Sawtell - Boambee	Did not go to school	35
Sawtell - Boambee	Year 8	886
Sawtell - Boambee	Year 9	1504
Sawtell - Boambee	Year 10	4946
Sawtell - Boambee	Year 11	1248
Sawtell - Boambee	Year 12	6025
Urunga	Did not go to school	5
Urunga	Year 8	222
Urunga	Year 9	438
Urunga	Year 10	1309
Urunga	Year 11	285
Urunga	Year 12	1360
Woolgoolga - Arrawarra	Did not go to school	94
Woolgoolga - Arrawarra	Year 8	504
Woolgoolga - Arrawarra	Year 9	920
Woolgoolga - Arrawarra	Year 10	3066
Woolgoolga - Arrawarra	Year 11	748
Woolgoolga - Arrawarra	Year 12	3902
Bourke - Brewarrina	Did not go to school	25
Bourke - Brewarrina	Year 8	243
Bourke - Brewarrina	Year 9	349
Bourke - Brewarrina	Year 10	765
Bourke - Brewarrina	Year 11	236
Bourke - Brewarrina	Year 12	821
Cobar	Did not go to school	13
Cobar	Year 8	244
Cobar	Year 9	324
Cobar	Year 10	1121
Cobar	Year 11	317
Cobar	Year 12	1065
Coonamble	Did not go to school	28
Coonamble	Year 8	272
Coonamble	Year 9	307
Coonamble	Year 10	850
Coonamble	Year 11	241
Coonamble	Year 12	946
Nyngan - Warren	Did not go to school	19
Nyngan - Warren	Year 8	247
Nyngan - Warren	Year 9	399
Nyngan - Warren	Year 10	1205
Nyngan - Warren	Year 11	258
Nyngan - Warren	Year 12	1265
Walgett - Lightning Ridge	Did not go to school	56
Walgett - Lightning Ridge	Year 8	478
Walgett - Lightning Ridge	Year 9	535
Walgett - Lightning Ridge	Year 10	1391
Walgett - Lightning Ridge	Year 11	391
Walgett - Lightning Ridge	Year 12	1491
Broken Hill	Did not go to school	38
Broken Hill	Year 8	1353
Broken Hill	Year 9	1759
Broken Hill	Year 10	4885
Broken Hill	Year 11	1133
Broken Hill	Year 12	3674
Far West	Did not go to school	7
Far West	Year 8	197
Far West	Year 9	219
Far West	Year 10	531
Far West	Year 11	173
Far West	Year 12	519
Coonabarabran	Did not go to school	18
Coonabarabran	Year 8	529
Coonabarabran	Year 9	693
Coonabarabran	Year 10	2089
Coonabarabran	Year 11	441
Coonabarabran	Year 12	1965
Dubbo - East	Did not go to school	44
Dubbo - East	Year 8	471
Dubbo - East	Year 9	685
Dubbo - East	Year 10	2559
Dubbo - East	Year 11	615
Dubbo - East	Year 12	3083
Dubbo - South	Did not go to school	46
Dubbo - South	Year 8	672
Dubbo - South	Year 9	1005
Dubbo - South	Year 10	3904
Dubbo - South	Year 11	929
Dubbo - South	Year 12	5657
Dubbo - West	Did not go to school	32
Dubbo - West	Year 8	328
Dubbo - West	Year 9	614
Dubbo - West	Year 10	2113
Dubbo - West	Year 11	538
Dubbo - West	Year 12	2457
Dubbo Region	Did not go to school	5
Dubbo Region	Year 8	218
Dubbo Region	Year 9	363
Dubbo Region	Year 10	1448
Dubbo Region	Year 11	288
Dubbo Region	Year 12	1634
Gilgandra	Did not go to school	9
Gilgandra	Year 8	336
Gilgandra	Year 9	412
Gilgandra	Year 10	1173
Gilgandra	Year 11	237
Gilgandra	Year 12	982
Narromine	Did not go to school	18
Narromine	Year 8	343
Narromine	Year 9	518
Narromine	Year 10	1607
Narromine	Year 11	355
Narromine	Year 12	1648
Wellington	Did not go to school	23
Wellington	Year 8	493
Wellington	Year 9	762
Wellington	Year 10	1986
Wellington	Year 11	410
Wellington	Year 12	1901
Branxton - Greta - Pokolbin	Did not go to school	18
Branxton - Greta - Pokolbin	Year 8	343
Branxton - Greta - Pokolbin	Year 9	762
Branxton - Greta - Pokolbin	Year 10	2688
Branxton - Greta - Pokolbin	Year 11	604
Branxton - Greta - Pokolbin	Year 12	2741
Cessnock	Did not go to school	58
Cessnock	Year 8	1201
Cessnock	Year 9	2080
Cessnock	Year 10	5891
Cessnock	Year 11	1376
Cessnock	Year 12	4530
Cessnock Region	Did not go to school	9
Cessnock Region	Year 8	303
Cessnock Region	Year 9	585
Cessnock Region	Year 10	2104
Cessnock Region	Year 11	490
Cessnock Region	Year 12	2090
Dungog	Did not go to school	13
Dungog	Year 8	417
Dungog	Year 9	702
Dungog	Year 10	2642
Dungog	Year 11	506
Dungog	Year 12	2325
Kurri Kurri - Abermain	Did not go to school	33
Kurri Kurri - Abermain	Year 8	983
Kurri Kurri - Abermain	Year 9	1916
Kurri Kurri - Abermain	Year 10	5375
Kurri Kurri - Abermain	Year 11	1025
Kurri Kurri - Abermain	Year 12	3407
Singleton	Did not go to school	27
Singleton	Year 8	636
Singleton	Year 9	1163
Singleton	Year 10	4260
Singleton	Year 11	1180
Singleton	Year 12	4419
Singleton Region	Did not go to school	7
Singleton Region	Year 8	176
Singleton Region	Year 9	349
Singleton Region	Year 10	1355
Singleton Region	Year 11	292
Singleton Region	Year 12	1155
Maitland	Did not go to school	15
Maitland	Year 8	287
Maitland	Year 9	492
Maitland	Year 10	1571
Maitland	Year 11	409
Maitland	Year 12	1967
Maitland - East	Did not go to school	57
Maitland - East	Year 8	1006
Maitland - East	Year 9	2127
Maitland - East	Year 10	7003
Maitland - East	Year 11	1634
Maitland - East	Year 12	8447
Maitland - North	Did not go to school	8
Maitland - North	Year 8	157
Maitland - North	Year 9	446
Maitland - North	Year 10	1780
Maitland - North	Year 11	427
Maitland - North	Year 12	2706
Maitland - West	Did not go to school	50
Maitland - West	Year 8	822
Maitland - West	Year 9	1788
Maitland - West	Year 10	6194
Maitland - West	Year 11	1476
Maitland - West	Year 12	5686
Thornton - Millers Forest	Did not go to school	17
Thornton - Millers Forest	Year 8	302
Thornton - Millers Forest	Year 9	674
Thornton - Millers Forest	Year 10	2764
Thornton - Millers Forest	Year 11	594
Thornton - Millers Forest	Year 12	3080
Anna Bay	Did not go to school	19
Anna Bay	Year 8	197
Anna Bay	Year 9	466
Anna Bay	Year 10	1537
Anna Bay	Year 11	412
Anna Bay	Year 12	1601
Lemon Tree Passage - Tanilba Bay	Did not go to school	9
Lemon Tree Passage - Tanilba Bay	Year 8	294
Lemon Tree Passage - Tanilba Bay	Year 9	677
Lemon Tree Passage - Tanilba Bay	Year 10	2026
Lemon Tree Passage - Tanilba Bay	Year 11	401
Lemon Tree Passage - Tanilba Bay	Year 12	1554
Nelson Bay Peninsula	Did not go to school	90
Nelson Bay Peninsula	Year 8	725
Nelson Bay Peninsula	Year 9	1561
Nelson Bay Peninsula	Year 10	5513
Nelson Bay Peninsula	Year 11	1333
Nelson Bay Peninsula	Year 12	6705
Raymond Terrace	Did not go to school	36
Raymond Terrace	Year 8	665
Raymond Terrace	Year 9	1343
Raymond Terrace	Year 10	3828
Raymond Terrace	Year 11	827
Raymond Terrace	Year 12	3199
Seaham - Woodville	Did not go to school	7
Seaham - Woodville	Year 8	137
Seaham - Woodville	Year 9	372
Seaham - Woodville	Year 10	1545
Seaham - Woodville	Year 11	307
Seaham - Woodville	Year 12	1683
Tea Gardens - Hawks Nest	Did not go to school	15
Tea Gardens - Hawks Nest	Year 8	230
Tea Gardens - Hawks Nest	Year 9	525
Tea Gardens - Hawks Nest	Year 10	1641
Tea Gardens - Hawks Nest	Year 11	324
Tea Gardens - Hawks Nest	Year 12	1450
Williamtown - Medowie - Karuah	Did not go to school	19
Williamtown - Medowie - Karuah	Year 8	412
Williamtown - Medowie - Karuah	Year 9	1034
Williamtown - Medowie - Karuah	Year 10	3591
Williamtown - Medowie - Karuah	Year 11	834
Williamtown - Medowie - Karuah	Year 12	3838
Muswellbrook	Did not go to school	29
Muswellbrook	Year 8	541
Muswellbrook	Year 9	966
Muswellbrook	Year 10	3141
Muswellbrook	Year 11	813
Muswellbrook	Year 12	2789
Muswellbrook Region	Did not go to school	13
Muswellbrook Region	Year 8	196
Muswellbrook Region	Year 9	326
Muswellbrook Region	Year 10	1129
Muswellbrook Region	Year 11	239
Muswellbrook Region	Year 12	894
Scone	Did not go to school	13
Scone	Year 8	285
Scone	Year 9	398
Scone	Year 10	1395
Scone	Year 11	313
Scone	Year 12	1686
Scone Region	Did not go to school	21
Scone Region	Year 8	419
Scone Region	Year 9	650
Scone Region	Year 10	2182
Scone Region	Year 11	426
Scone Region	Year 12	2039
Dapto - Avondale	Did not go to school	85
Dapto - Avondale	Year 8	1118
Dapto - Avondale	Year 9	2077
Dapto - Avondale	Year 10	6820
Dapto - Avondale	Year 11	1448
Dapto - Avondale	Year 12	6274
Horsley - Kembla Grange	Did not go to school	25
Horsley - Kembla Grange	Year 8	229
Horsley - Kembla Grange	Year 9	535
Horsley - Kembla Grange	Year 10	2171
Horsley - Kembla Grange	Year 11	539
Horsley - Kembla Grange	Year 12	2768
Port Kembla Industrial	Year 10	3
Port Kembla Industrial	Year 12	3
Unanderra - Mount Kembla	Did not go to school	92
Unanderra - Mount Kembla	Year 8	686
Unanderra - Mount Kembla	Year 9	866
Unanderra - Mount Kembla	Year 10	3452
Unanderra - Mount Kembla	Year 11	808
Unanderra - Mount Kembla	Year 12	5558
Berkeley - Lake Heights - Cringila	Did not go to school	245
Berkeley - Lake Heights - Cringila	Year 8	1134
Berkeley - Lake Heights - Cringila	Year 9	997
Berkeley - Lake Heights - Cringila	Year 10	3256
Berkeley - Lake Heights - Cringila	Year 11	777
Berkeley - Lake Heights - Cringila	Year 12	3728
Port Kembla - Warrawong	Did not go to school	238
Port Kembla - Warrawong	Year 8	1064
Port Kembla - Warrawong	Year 9	643
Port Kembla - Warrawong	Year 10	2197
Port Kembla - Warrawong	Year 11	553
Port Kembla - Warrawong	Year 12	2483
Windang - Primbee	Did not go to school	21
Windang - Primbee	Year 8	333
Windang - Primbee	Year 9	435
Windang - Primbee	Year 10	1226
Windang - Primbee	Year 11	228
Windang - Primbee	Year 12	1090
Illawarra Catchment Reserve	Year 9	4
Illawarra Catchment Reserve	Year 12	3
Albion Park - Macquarie Pass	Did not go to school	45
Albion Park - Macquarie Pass	Year 8	480
Albion Park - Macquarie Pass	Year 9	955
Albion Park - Macquarie Pass	Year 10	4068
