SA2_NAME16	medianTotalFamilyIncome
Cronulla - Kurnell - Bundeena	119236
Lilli Pilli - Port Hacking - Dolans Bay	164008
Woolaware - Burraneer	139724
Heathcote - Waterfall	115128
Illawong - Alfords Point	132808
Menai - Lucas Heights - Woronora	128232
Oyster Bay - Como - Jannali	131976
Royal National Park	
Sutherland - Kirrawee	109928
Engadine	111904
Loftus - Yarrawarrah	120432
Woronora Heights	144560
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	95316
Ballarat	97084
Ballarat - North	81848
Ballarat - South	64584
Buninyong	99892
Delacombe	76180
Smythes Creek	90740
Wendouree - Miners Rest	64168
Bacchus Marsh Region	84812
Creswick - Clunes	66144
Daylesford	68172
Gordon (Vic.)	83356
Avoca	54912
Beaufort	62764
Golden Plains - North	69108
Maryborough (Vic.)	51324
Maryborough Region	53144
Bendigo	67236
California Gully - Eaglehawk	61776
East Bendigo - Kennington	77636
Flora Hill - Spring Gully	80288
Kangaroo Flat - Golden Square	68848
Maiden Gully	101140
Strathfieldsaye	104104
White Hills - Ascot	80652
Bendigo Region - South	91260
Castlemaine	69784
Castlemaine Region	66352
Heathcote	59332
Kyneton	81900
Woodend	105300
Bendigo Region - North	73892
Loddon	57824
Bannockburn	93860
Golden Plains - South	83616
Winchelsea	81328
Belmont	80340
Corio - Norlane	55016
Geelong	94640
Geelong West - Hamlyn Heights	92248
Grovedale	85644
Highton	106236
Lara	93756
Leopold	82576
Newcomb - Moolap	63440
Newtown (Vic.)	117780
North Geelong - Bell Park	72956
Clifton Springs	73060
Lorne - Anglesea	82940
Ocean Grove - Barwon Heads	97604
Portarlington	60996
Point Lonsdale - Queenscliff	83096
Torquay	105872
Alexandra	67132
Euroa	64272
Kilmore - Broadford	80912
Mansfield (Vic.)	69680
Nagambie	72436
Seymour	65156
Seymour Region	87672
Upper Yarra Valley	67132
Yea	66404
Benalla	62660
Benalla Region	68484
Rutherglen	75244
Wangaratta	70460
Wangaratta Region	75348
Beechworth	75972
Bright - Mount Beauty	69472
Chiltern - Indigo Valley	82368
Myrtleford	68120
Towong	69368
West Wodonga	80964
Wodonga	80340
Yackandandah	88816
Drouin	73060
Mount Baw Baw Region	75608
Trafalgar (Vic.)	77116
Warragul	79196
Alps - East	
Bairnsdale	65624
Bruthen - Omeo	66196
Lake King	
Lakes Entrance	58916
Orbost	55432
Paynesville	59540
Foster	62660
French Island	43836
Korumburra	69368
Leongatha	72852
Phillip Island	62816
Wilsons Promontory	
Wonthaggi - Inverloch	61412
Churchill	78572
Moe - Newborough	63700
Morwell	56784
Traralgon	86476
Yallourn North - Glengarry	86892
Alps - West	
Longford - Loch Sport	68224
Maffra	72332
Rosedale	80132
Sale	80236
Yarram	61412
Brunswick	114816
Brunswick East	114660
Brunswick West	102128
Coburg	103480
Pascoe Vale South	112528
Alphington - Fairfield	127244
Northcote	125476
Thornbury	107068
Ascot Vale	120276
Essendon - Aberfeldie	122200
Flemington	84344
Moonee Ponds	126048
Carlton	70668
Docklands	117052
East Melbourne	162240
Flemington Racecourse	121316
Kensington (Vic.)	128960
Melbourne	74204
North Melbourne	106496
Parkville	114140
South Yarra - West	146380
Southbank	119392
West Melbourne	
Albert Park	153192
Elwood	137020
Port Melbourne	148304
Port Melbourne Industrial	
South Melbourne	138476
St Kilda	121316
St Kilda East	118716
Armadale	142376
Prahran - Windsor	131560
South Yarra - East	124748
Toorak	173680
Abbotsford	127868
Carlton North - Princes Hill	134888
Collingwood	114400
Fitzroy	115596
Fitzroy North	135356
Richmond (Vic.)	132652
Yarra - North	147784
Ashburton (Vic.)	143208
Balwyn	115284
Balwyn North	117936
Camberwell	145132
Glen Iris - East	156364
Hawthorn	138372
Hawthorn East	138268
Kew	144924
Kew East	134992
Surrey Hills (West) - Canterbury	153972
Bulleen	94172
Doncaster	82160
Templestowe	108680
Templestowe Lower	97136
Doncaster East (North)	97760
Doncaster East (South)	79456
Blackburn	109720
Blackburn South	102128
Box Hill	86060
Box Hill North	99060
Burwood	84708
Burwood East	83460
Surrey Hills (East) - Mont Albert	139620
Beaumaris	140452
Brighton (Vic.)	174252
Brighton East	141648
Cheltenham - Highett (West)	119600
Hampton	140244
Sandringham - Black Rock	145756
Bentleigh - McKinnon	119496
Carnegie	106652
Caulfield - North	130572
Caulfield - South	127712
Elsternwick	133692
Hughesdale	107796
Murrumbeena	114504
Ormond - Glen Huntly	108056
Bentleigh East (North)	108264
Bentleigh East (South)	105872
Aspendale Gardens - Waterways	113360
Braeside	107848
Carrum - Patterson Lakes	103168
Chelsea - Bonbeach	98904
Chelsea Heights	93912
Cheltenham - Highett (East)	100880
Edithvale - Aspendale	113620
Mentone	109772
Moorabbin - Heatherton	100932
Moorabbin Airport	
Mordialloc - Parkdale	116324
Malvern - Glen Iris	148356
Malvern East	137904
Bundoora - East	81224
Greensborough	106080
Heidelberg - Rosanna	114244
Heidelberg West	78988
Ivanhoe	127036
Ivanhoe East - Eaglemont	153972
Montmorency - Briar Hill	109044
Viewbank - Yallambie	104832
Watsonia	98436
Kingsbury	85852
Reservoir - East	72176
Reservoir - West	75868
Preston - East	88504
Preston - West	97656
Eltham	124072
Hurstbridge	105768
Kinglake	88036
Panton Hill - St Andrews	107692
Plenty - Yarrambat	121888
Research - North Warrandyte	128388
Wattle Glen - Diamond Creek	116012
Bundoora - North	92872
Bundoora - West	72072
Lalor	63544
Mill Park - North	88608
Mill Park - South	81640
Thomastown	57668
Wallan	92976
Whittlesea	91780
Doreen	100152
Epping - East	77324
Epping - South	68484
Epping - West	86060
Mernda	92144
South Morang (North)	101348
South Morang (South)	91156
Wollert	83564
Airport West	88192
Essendon Airport	
Keilor	95888
Keilor East	86112
Niddrie - Essendon West	113932
Strathmore	124748
Gisborne	110916
Macedon	116740
Riddells Creek	107640
Romsey	93964
Coburg North	96304
Fawkner	64220
Pascoe Vale	99632
Glenroy	74724
Gowanbrae	109200
Hadfield	70824
Sunbury	98956
Sunbury - South	93756
Broadmeadows	52260
Campbellfield - Coolaroo	52208
Gladstone Park - Westmeadows	83304
Greenvale - Bulla	105040
Meadow Heights	55952
Melbourne Airport	168948
Roxburgh Park - Somerton	68536
Tullamarine	74568
Craigieburn - Central	73788
Craigieburn - North	87672
Craigieburn - South	78416
Craigieburn - West	78104
Mickleham - Yuroke	96512
Bayswater	81848
Knoxfield - Scoresby	91676
Lysterfield	125996
Rowville - Central	101088
Rowville - North	106860
Rowville - South	112216
Wantirna	93288
Wantirna South	96408
Boronia	82108
Ferntree Gully (North)	89284
Ferntree Gully (South) - Upper Ferntree Gully	93288
The Basin	99632
Donvale - Park Orchards	117468
Warrandyte - Wonga Park	132132
Bayswater North	94016
Croydon Hills - Warranwood	115856
Ringwood	89804
Ringwood East	102648
Ringwood North	112424
Croydon - East	86736
Croydon - West	92092
Croydon South	95316
Forest Hill	88140
Mitcham (Vic.)	106496
Nunawading	98124
Vermont	101452
Vermont South	95056
Belgrave - Selby	101712
Chirnside Park	100048
Healesville - Yarra Glen	82004
Kilsyth	86424
Lilydale - Coldstream	91416
Monbulk - Silvan	88348
Montrose	101764
Mooroolbark	93132
Mount Dandenong - Olinda	103064
Mount Evelyn	96824
Upwey - Tecoma	105976
Wandin - Seville	92092
Yarra Valley	72748
Beaconsfield - Officer	104936
Bunyip - Garfield	91624
Emerald - Cockatoo	99580
Koo Wee Rup	80340
Pakenham - North	79300
Pakenham - South	81224
Berwick - North	99372
Berwick - South	102492
Doveton	55328
Hallam	70616
Narre Warren North	113256
Endeavour Hills - North	82004
Endeavour Hills - South	80652
Narre Warren - North East	88868
Narre Warren - South West	76336
Cranbourne	72332
Cranbourne East	91676
Cranbourne North	86424
Cranbourne South	103480
Cranbourne West	83200
Hampton Park - Lynbrook	70616
Lynbrook - Lyndhurst	98488
Pearcedale - Tooradin	90012
Narre Warren South (East)	103844
Narre Warren South (West)	85904
Clarinda - Oakleigh South	82940
Clayton South	69784
Dandenong	57824
Dandenong North	68380
Dingley Village	100828
Keysborough	84136
Noble Park North	70304
Springvale	58240
Springvale South	62816
Noble Park - East	64740
Noble Park - West	61828
Ashwood - Chadstone	100984
Clayton	71396
Glen Waverley - East	93548
Glen Waverley - West	91312
Mount Waverley - North	98904
Mount Waverley - South	102336
Mulgrave	90064
Oakleigh - Huntingdale	95940
Wheelers Hill	98072
Ardeer - Albion	67392
Cairnlea	85020
Deer Park - Derrimut	75608
Delahey	73008
Keilor Downs	77480
Kings Park (Vic.)	58032
St Albans - North	56524
St Albans - South	56784
Sunshine	67860
Sunshine North	60632
Sunshine West	63128
Sydenham	85748
Taylors Lakes	101920
Altona	101556
Altona Meadows	82472
Altona North	78572
Newport	129168
Seabrook	92404
Williamstown	135512
Braybrook	71864
Footscray	86320
Maribyrnong	105248
Seddon - Kingsville	124072
West Footscray - Tottenham	95836
Yarraville	130676
Bacchus Marsh	88816
Hillside	101140
Melton	70772
Melton South	78052
Melton West	80236
Rockbank - Mount Cottrell	68640
Taylors Hill	99736
Burnside	79040
Burnside Heights	93028
Caroline Springs	99996
Hoppers Crossing - North	84292
Hoppers Crossing - South	73840
Laverton	87048
Tarneit	88556
Truganina	89076
Werribee - South	84032
Wyndham Vale	83408
Point Cook - East	112112
Point Cook - North	105820
Point Cook - South	110500
Werribee - East	70356
Werribee - West	89596
Carrum Downs	79716
Frankston	75296
Frankston North	65884
Frankston South	106704
Langwarrin	97136
Seaford (Vic.)	83772
Skye - Sandhurst	105612
Dromana	74152
Flinders	100724
Hastings - Somers	75556
Mornington	82368
Mount Eliza	122356
Mount Martha	105872
Point Nepean	71968
Rosebud - McCrae	64584
Somerville	89544
Ararat	66768
Ararat Region	64688
Horsham	73424
Horsham Region	72384
Nhill Region	64584
St Arnaud	60164
Stawell	67652
West Wimmera	66248
Yarriambiack	61152
Irymple	80756
Merbein	68536
Mildura Region	69472
Red Cliffs	69524
Mildura - North	64636
Mildura - South	71240
Buloke	57720
Gannawarra	61568
Kerang	62140
Robinvale	65676
Swan Hill	73164
Swan Hill Region	68900
Echuca	74516
Kyabram	68744
Lockington - Gunbower	71864
Rochester	67548
Rushworth	60580
Cobram	65780
Moira	69368
Numurkah	68172
Yarrawonga	64116
Mooroopna	67392
Shepparton - North	78624
Shepparton - South	70512
Shepparton Region - East	86164
Shepparton Region - West	73528
Glenelg (Vic.)	71500
Hamilton (Vic.)	71864
Portland	69940
Southern Grampians	71032
Camperdown	63284
Colac	72748
Colac Region	71552
Corangamite - North	66508
Corangamite - South	71396
Otway	62660
Moyne - East	77064
Moyne - West	76440
Warrnambool - North	78520
Warrnambool - South	77896
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	93028
Belmont - Gumdale	119236
Birkdale	101140
Capalaba	90480
Thorneside	83668
Wellington Point	109148
Cleveland	89232
Ormiston	103064
Redland Bay	97188
Sheldon - Mount Cotton	118040
Thornlands	108160
Victoria Point	86008
Redland Islands	47060
Brisbane Port - Lytton	
Manly - Lota	114348
Manly West	104832
Murarrie	117156
Tingalpa	99840
Wakerley	135304
Wynnum	104624
Wynnum West - Hemmant	93184
Bald Hills	94276
Bridgeman Downs	134264
Carseldine	105092
Everton Park	104156
McDowall	120120
Aspley	102284
Chermside	80496
Chermside West	105560
Geebung	100932
Kedron - Gordon Park	120276
Stafford	101088
Stafford Heights	102024
Wavell Heights	126620
Boondall	91832
Brisbane Airport	160316
Eagle Farm - Pinkenba	114556
Northgate - Virginia	117312
Nudgee - Banyo	108056
Nundah	104572
Bracken Ridge	94744
Brighton (Qld)	105092
Deagon	89856
Sandgate - Shorncliffe	115856
Taigum - Fitzgibbon	90064
Zillmere	73008
Camp Hill	142636
Cannon Hill	119028
Carina	108888
Carina Heights	100672
Carindale	123032
Annerley	109044
Coorparoo	120276
Fairfield - Dutton Park	109096
Greenslopes	112476
Holland Park	122928
Holland Park West	119756
Woolloongabba	101972
Yeronga	125684
Eight Mile Plains	89076
Macgregor (Qld)	73112
Mansfield (Qld)	99320
Mount Gravatt	105040
Rochedale - Burbank	127088
Upper Mount Gravatt	86632
Wishart	96668
Coopers Plains	75556
Moorooka	105924
Robertson	74984
Salisbury - Nathan	100100
Tarragindi	131196
Algester	86632
Calamvale - Stretton	86840
Pallara - Willawong	112528
Parkinson - Drewvale	106600
Rocklea - Acacia Ridge	66300
Kuraby	94328
Runcorn	75972
Sunnybank	71084
Sunnybank Hills	77532
Jindalee - Mount Ommaney	114868
Middle Park - Jamboree Heights	105456
Riverhills	104572
Seventeen Mile Rocks - Sinnamon Park	126204
Westlake	124436
