SA2_NAME16	OnlyEnglishSpokenHome	persons
Warnervale - Wadalba	1	13500
Wyong	0	722
Wyong	1	7488
Bathurst	0	1158
Bathurst	1	20409
Bathurst - East	0	425
Bathurst - East	1	10117
Bathurst Region	0	121
Bathurst Region	1	5942
Oberon	0	172
Oberon	1	3896
Condobolin	0	137
Condobolin	1	5758
Cowra	0	261
Cowra	1	8127
Cowra Region	0	130
Cowra Region	1	4913
Forbes	0	211
Forbes	1	9070
Grenfell	0	46
Grenfell	1	3263
Parkes (NSW)	0	344
Parkes (NSW)	1	9735
Parkes Region	0	64
Parkes Region	1	2981
West Wyalong	0	130
West Wyalong	1	5084
Lithgow	0	514
Lithgow	1	10849
Lithgow Region	0	217
Lithgow Region	1	7047
Mudgee	0	374
Mudgee	1	10370
Mudgee Region - East	0	93
Mudgee Region - East	1	2978
Mudgee Region - West	0	199
Mudgee Region - West	1	8882
Blayney	0	115
Blayney	1	6660
Orange	0	1010
Orange	1	16529
Orange - North	0	1369
Orange - North	1	17403
Orange Region	0	226
Orange Region	1	10591
Grafton	0	428
Grafton	1	16861
Grafton Region	0	260
Grafton Region	1	13788
Maclean - Yamba - Iluka	0	383
Maclean - Yamba - Iluka	1	14741
Bellingen	0	248
Bellingen	1	5162
Coffs Harbour - North	0	1533
Coffs Harbour - North	1	14636
Coffs Harbour - South	0	1051
Coffs Harbour - South	1	8136
Coramba - Nana Glen - Bucca	0	141
Coramba - Nana Glen - Bucca	1	3372
Dorrigo	0	91
Dorrigo	1	2874
Korora - Emerald Beach	0	507
Korora - Emerald Beach	1	7763
Sawtell - Boambee	0	801
Sawtell - Boambee	1	17657
Urunga	0	86
Urunga	1	4277
Woolgoolga - Arrawarra	0	1412
Woolgoolga - Arrawarra	1	10190
Bourke - Brewarrina	0	105
Bourke - Brewarrina	1	3225
Cobar	0	189
Cobar	1	3919
Coonamble	0	51
Coonamble	1	3449
Nyngan - Warren	0	112
Nyngan - Warren	1	4326
Walgett - Lightning Ridge	0	350
Walgett - Lightning Ridge	1	5298
Broken Hill	0	443
Broken Hill	1	15703
Far West	0	60
Far West	1	2069
Coonabarabran	0	180
Coonabarabran	1	7015
Dubbo - East	0	499
Dubbo - East	1	9158
Dubbo - South	0	1225
Dubbo - South	1	14674
Dubbo - West	0	435
Dubbo - West	1	7662
Dubbo Region	0	48
Dubbo Region	1	5082
Gilgandra	0	88
Gilgandra	1	3933
Narromine	0	85
Narromine	1	5832
Wellington	0	143
Wellington	1	7104
Branxton - Greta - Pokolbin	0	252
Branxton - Greta - Pokolbin	1	9231
Cessnock	0	428
Cessnock	1	19425
Cessnock Region	0	124
Cessnock Region	1	6958
Dungog	0	76
Dungog	1	8282
Kurri Kurri - Abermain	0	290
Kurri Kurri - Abermain	1	16223
Singleton	0	587
Singleton	1	14556
Singleton Region	0	98
Singleton Region	1	4195
Maitland	0	250
Maitland	1	5881
Maitland - East	0	1313
Maitland - East	1	24728
Maitland - North	0	166
Maitland - North	1	7084
Maitland - West	0	826
Maitland - West	1	20532
Thornton - Millers Forest	0	391
Thornton - Millers Forest	1	9332
Anna Bay	0	182
Anna Bay	1	5060
Lemon Tree Passage - Tanilba Bay	0	155
Lemon Tree Passage - Tanilba Bay	1	6078
Nelson Bay Peninsula	0	1020
Nelson Bay Peninsula	1	18436
Raymond Terrace	0	453
Raymond Terrace	1	12362
Seaham - Woodville	0	93
Seaham - Woodville	1	5066
Tea Gardens - Hawks Nest	0	195
Tea Gardens - Hawks Nest	1	4558
Williamtown - Medowie - Karuah	0	358
Williamtown - Medowie - Karuah	1	12278
Muswellbrook	0	499
Muswellbrook	1	10571
Muswellbrook Region	0	62
Muswellbrook Region	1	3615
Scone	0	283
Scone	1	5147
Scone Region	0	138
Scone Region	1	7298
Dapto - Avondale	0	1716
Dapto - Avondale	1	20865
Horsley - Kembla Grange	0	965
Horsley - Kembla Grange	1	7471
Port Kembla Industrial	1	6
Unanderra - Mount Kembla	0	2457
Unanderra - Mount Kembla	1	12162
Berkeley - Lake Heights - Cringila	0	4012
Berkeley - Lake Heights - Cringila	1	9035
Port Kembla - Warrawong	0	3139
Port Kembla - Warrawong	1	5981
Windang - Primbee	0	491
Windang - Primbee	1	3571
Illawarra Catchment Reserve	1	7
Albion Park - Macquarie Pass	0	823
Albion Park - Macquarie Pass	1	12992
Albion Park Rail	0	406
Albion Park Rail	1	6140
Kiama	0	411
Kiama	1	6826
Kiama Downs - Minnamurra	0	231
Kiama Downs - Minnamurra	1	5417
Kiama Hinterland - Gerringong	0	272
Kiama Hinterland - Gerringong	1	6900
Shellharbour - Flinders	0	2113
Shellharbour - Flinders	1	13948
Shellharbour - Oak Flats	0	1429
Shellharbour - Oak Flats	1	8091
Warilla	0	2339
Warilla	1	16778
Balgownie - Fairy Meadow	0	4182
Balgownie - Fairy Meadow	1	16086
Corrimal - Tarrawanna - Bellambi	0	1888
Corrimal - Tarrawanna - Bellambi	1	12836
Figtree - Keiraville	0	4481
Figtree - Keiraville	1	15874
Helensburgh	0	442
Helensburgh	1	7933
Thirroul - Austinmer - Coalcliff	0	634
Thirroul - Austinmer - Coalcliff	1	10147
Woonona - Bulli - Russell Vale	0	1227
Woonona - Bulli - Russell Vale	1	17788
Wollongong - East	0	3289
Wollongong - East	1	9052
Wollongong - West	0	5380
Wollongong - West	1	10499
Bulahdelah - Stroud	0	84
Bulahdelah - Stroud	1	4337
Forster	0	408
Forster	1	12823
Forster-Tuncurry Region	0	140
Forster-Tuncurry Region	1	5508
Tuncurry	0	186
Tuncurry	1	5510
Kempsey	0	365
Kempsey	1	12507
Kempsey Region	0	175
Kempsey Region	1	8069
Macksville - Scotts Head	0	101
Macksville - Scotts Head	1	4316
Nambucca Heads	0	202
Nambucca Heads	1	5991
Nambucca Heads Region	0	153
Nambucca Heads Region	1	6972
South West Rocks	0	107
South West Rocks	1	4703
Lord Howe Island	0	22
Lord Howe Island	1	321
Laurieton - Bonny Hills	0	301
Laurieton - Bonny Hills	1	15462
Port Macquarie - East	0	1013
Port Macquarie - East	1	25560
Port Macquarie - West	0	782
Port Macquarie - West	1	15351
Port Macquarie Region	0	107
Port Macquarie Region	1	4656
Wauchope	0	196
Wauchope	1	10251
Gloucester	0	88
Gloucester	1	4595
Old Bar - Manning Point - Red Head	0	290
Old Bar - Manning Point - Red Head	1	9682
Taree	0	663
Taree	1	18349
Taree Region	0	188
Taree Region	1	11256
Wingham	0	118
Wingham	1	4922
Albury - East	0	797
Albury - East	1	13547
Albury - North	0	632
Albury - North	1	8403
Albury - South	0	705
Albury - South	1	8730
Albury Region	0	220
Albury Region	1	10661
Lavington	0	1294
Lavington	1	12125
Hay	0	112
Hay	1	2504
Wentworth - Buronga	0	192
Wentworth - Buronga	1	5149
Wentworth-Balranald Region	0	199
Wentworth-Balranald Region	1	2985
Corowa	0	136
Corowa	1	4958
Corowa Region	0	107
Corowa Region	1	6036
Deniliquin	0	266
Deniliquin	1	6492
Deniliquin Region	0	118
Deniliquin Region	1	6011
Moama	0	156
Moama	1	5305
Tocumwal - Finley - Jerilderie	0	316
Tocumwal - Finley - Jerilderie	1	8426
Armidale	0	2200
Armidale	1	19446
Armidale Region - North	0	110
Armidale Region - North	1	4062
Armidale Region - South	0	108
Armidale Region - South	1	5521
Walcha	0	43
Walcha	1	2819
Glen Innes	0	189
Glen Innes	1	7633
Inverell	0	426
Inverell	1	10447
Inverell Region - East	0	93
Inverell Region - East	1	4585
Inverell Region - West	0	61
Inverell Region - West	1	5345
Tenterfield	0	163
Tenterfield	1	5730
Moree	0	357
Moree	1	6846
Moree Region	0	120
Moree Region	1	4669
Narrabri	0	157
Narrabri	1	6307
Narrabri Region	0	46
Narrabri Region	1	4143
Gunnedah	0	239
Gunnedah	1	8267
Gunnedah Region	0	51
Gunnedah Region	1	3703
Quirindi	0	87
Quirindi	1	6907
Tamworth - East	0	910
Tamworth - East	1	18104
Tamworth - North	0	827
Tamworth - North	1	13093
Tamworth - West	0	229
Tamworth - West	1	4784
Tamworth Region	0	268
Tamworth Region	1	16797
Belmont - Bennetts Green	0	627
Belmont - Bennetts Green	1	16323
Belmont South - Blacksmiths	0	139
Belmont South - Blacksmiths	1	5217
Charlestown - Dudley	0	1473
Charlestown - Dudley	1	21509
Glendale - Cardiff - Hillsborough	0	1319
Glendale - Cardiff - Hillsborough	1	21224
Mount Hutton - Windale	0	312
Mount Hutton - Windale	1	8046
Redhead	0	142
Redhead	1	3186
Swansea - Caves Beach	0	314
Swansea - Caves Beach	1	10711
Valentine - Eleebana	0	497
Valentine - Eleebana	1	11137
Warners Bay - Boolaroo	0	623
Warners Bay - Boolaroo	1	12223
Bolton Point - Teralba	0	288
Bolton Point - Teralba	1	7665
Bonnells Bay - Silverwater	0	356
Bonnells Bay - Silverwater	1	8003
Edgeworth - Cameron Park	0	912
Edgeworth - Cameron Park	1	12792
Morisset - Cooranbong	0	721
Morisset - Cooranbong	1	13431
Toronto - Awaba	0	423
Toronto - Awaba	1	12347
Wangi Wangi - Rathmines	0	261
Wangi Wangi - Rathmines	1	8333
West Wallsend - Barnsley - Killingworth	0	126
West Wallsend - Barnsley - Killingworth	1	6098
Adamstown - Kotara	0	1246
Adamstown - Kotara	1	13950
Beresfield - Hexham	0	358
Beresfield - Hexham	1	7513
Hamilton - Broadmeadow	0	1267
Hamilton - Broadmeadow	1	9866
Lambton - New Lambton	0	1289
Lambton - New Lambton	1	14635
Maryland - Fletcher - Minmi	0	1482
Maryland - Fletcher - Minmi	1	11707
Mayfield - Warabrook	0	1509
Mayfield - Warabrook	1	12450
Merewether - The Junction	0	713
Merewether - The Junction	1	12269
Newcastle - Cooks Hill	0	879
Newcastle - Cooks Hill	1	8996
Newcastle Port - Kooragang	1	20
Shortland - Jesmond	0	2958
Shortland - Jesmond	1	8083
Stockton - Fullerton Cove	0	219
Stockton - Fullerton Cove	1	6411
Wallsend - Elermore Vale	0	2149
Wallsend - Elermore Vale	1	16616
Waratah - North Lambton	0	1214
Waratah - North Lambton	1	9886
Wickham - Carrington - Tighes Hill	0	540
Wickham - Carrington - Tighes Hill	1	6981
Ballina	0	631
Ballina	1	14990
Ballina Region	0	633
Ballina Region	1	15103
Bangalow	0	292
Bangalow	1	4749
Brunswick Heads - Ocean Shores	0	498
Brunswick Heads - Ocean Shores	1	6989
Byron Bay	0	771
Byron Bay	1	7250
Evans Head	0	86
Evans Head	1	4674
Lennox Head - Skennars Head	0	314
Lennox Head - Skennars Head	1	7035
Mullumbimby	0	566
Mullumbimby	1	6407
Casino	0	214
Casino	1	11198
Casino Region	0	140
Casino Region	1	6187
Goonellabah	0	679
Goonellabah	1	11531
Kyogle	0	192
Kyogle	1	6438
Lismore	0	720
Lismore	1	13319
Lismore Region	0	596
Lismore Region	1	13169
Kingscliff - Fingal Head	0	392
Kingscliff - Fingal Head	1	11770
Murwillumbah	0	351
Murwillumbah	1	7974
Murwillumbah Region	0	304
Murwillumbah Region	1	8360
Pottsville	0	492
Pottsville	1	11869
Tweed Heads	0	1028
Tweed Heads	1	16704
Banora Point	0	671
Banora Point	1	14289
Terranora - North Tumblegum	0	118
Terranora - North Tumblegum	1	2983
Tweed Heads South	0	486
Tweed Heads South	1	7111
Griffith (NSW)	0	4531
Griffith (NSW)	1	12863
Griffith Region	0	1108
Griffith Region	1	10529
Leeton	0	767
Leeton	1	8447
Narrandera	0	154
Narrandera	1	5252
Tumbarumba	0	84
Tumbarumba	1	2952
Tumut	0	205
Tumut	1	5423
Tumut Region	0	215
Tumut Region	1	4135
Cootamundra	0	151
Cootamundra	1	6911
Gundagai	0	70
Gundagai	1	3269
Junee	0	194
Junee	1	4715
Temora	0	139
Temora	1	6158
Wagga Wagga - East	0	996
Wagga Wagga - East	1	14857
Wagga Wagga - North	0	437
Wagga Wagga - North	1	3747
Wagga Wagga - South	0	1511
Wagga Wagga - South	1	18749
Wagga Wagga - West	0	954
Wagga Wagga - West	1	10241
Wagga Wagga Region	0	310
Wagga Wagga Region	1	13262
Berry - Kangaroo Valley	0	250
Berry - Kangaroo Valley	1	7878
Callala Bay - Currarong	0	188
Callala Bay - Currarong	1	3193
Culburra Beach	0	151
Culburra Beach	1	4410
Ettrema - Sassafras - Budawang	0	3
Ettrema - Sassafras - Budawang	1	37
Huskisson - Vincentia	0	307
Huskisson - Vincentia	1	3644
North Nowra - Bomaderry	0	637
North Nowra - Bomaderry	1	14135
Nowra	0	911
Nowra	1	16798
St Georges Basin - Erowal Bay	0	580
St Georges Basin - Erowal Bay	1	12620
Sussex Inlet - Berrara	0	120
Sussex Inlet - Berrara	1	3963
Tomerong - Wandandian - Woollamia	0	146
Tomerong - Wandandian - Woollamia	1	3062
Ulladulla	0	569
Ulladulla	1	13726
Ulladulla Region	0	141
Ulladulla Region	1	4539
Bowral	0	792
Bowral	1	11440
Hill Top - Colo Vale	0	246
Hill Top - Colo Vale	1	5451
Mittagong	0	608
Mittagong	1	7781
Moss Vale - Berrima	0	707
Moss Vale - Berrima	1	8517
Robertson - Fitzroy Falls	0	98
Robertson - Fitzroy Falls	1	3115
Southern Highlands	0	250
Southern Highlands	1	5941
Baulkham Hills (East)	0	8362
Baulkham Hills (East)	1	13959
Baulkham Hills (West) - Bella Vista	0	7747
Baulkham Hills (West) - Bella Vista	1	11862
Glenhaven	0	762
Glenhaven	1	5306
West Pennant Hills	0	4759
West Pennant Hills	1	7593
Castle Hill - Central	0	2771
Castle Hill - Central	1	4613
Castle Hill - East	0	1847
Castle Hill - East	1	3118
Castle Hill - North	0	3728
Castle Hill - North	1	7829
Castle Hill - South	0	3391
Castle Hill - South	1	5851
Castle Hill - West	0	2141
Castle Hill - West	1	2974
Cherrybrook	0	7922
Cherrybrook	1	10412
Kellyville	0	7833
Kellyville	1	14769
Dural - Kenthurst - Wisemans Ferry	0	3465
Dural - Kenthurst - Wisemans Ferry	1	16600
Galston - Laughtondale	0	475
Galston - Laughtondale	1	4518
Bilpin - Colo - St Albans	0	95
Bilpin - Colo - St Albans	1	2221
Kurrajong Heights - Ebenezer	0	1007
Kurrajong Heights - Ebenezer	1	19599
Pitt Town - McGraths Hill	0	832
Pitt Town - McGraths Hill	1	9207
Rouse Hill - Beaumont Hills	0	6255
Rouse Hill - Beaumont Hills	1	15709
Blacktown (East) - Kings Park	0	8789
Blacktown (East) - Kings Park	1	7128
Blacktown (North) - Marayong	0	7502
Blacktown (North) - Marayong	1	9804
Doonside - Woodcroft	0	11538
Doonside - Woodcroft	1	10057
Lalor Park - Kings Langley	0	6667
Lalor Park - Kings Langley	1	16963
Seven Hills - Toongabbie	0	10956
Seven Hills - Toongabbie	1	11793
Blacktown (South)	0	5705
Blacktown (South)	1	6015
Blacktown (West)	0	7681
Blacktown (West)	1	7731
Glenwood	0	7768
Glenwood	1	8061
Parklea - Kellyville Ridge	0	13243
Parklea - Kellyville Ridge	1	17252
Riverstone - Marsden Park	0	4862
Riverstone - Marsden Park	1	11337
Acacia Gardens	0	1648
Acacia Gardens	1	2053
Quakers Hill	0	8301
Quakers Hill	1	13926
Bidwill - Hebersham - Emerton	0	5201
Bidwill - Hebersham - Emerton	1	11605
Glendenning - Dean Park	0	3705
Glendenning - Dean Park	1	4329
Hassall Grove - Plumpton	0	9442
Hassall Grove - Plumpton	1	10242
Lethbridge Park - Tregear	0	5440
Lethbridge Park - Tregear	1	13484
Mount Druitt - Whalan	0	11625
Mount Druitt - Whalan	1	9663
Prospect Reservoir	0	3
Prospect Reservoir	1	15
Rooty Hill - Minchinbury	0	9884
Rooty Hill - Minchinbury	1	10387
Banksmeadow	0	3
Banksmeadow	1	16
Botany	0	2753
Botany	1	7395
Mascot - Eastlakes	0	13209
Mascot - Eastlakes	1	9811
Pagewood - Hillsdale - Daceyville	0	4813
Pagewood - Hillsdale - Daceyville	1	5721
Port Botany Industrial	0	5
Port Botany Industrial	1	3
Sydney Airport	0	7
Sydney Airport	1	16
Marrickville	0	9893
Marrickville	1	14778
Petersham - Stanmore	0	4196
Petersham - Stanmore	1	14268
Sydenham - Tempe - St Peters	0	2339
Sydenham - Tempe - St Peters	1	5014
Darlinghurst	0	2386
Darlinghurst	1	7115
Erskineville - Alexandria	0	2983
Erskineville - Alexandria	1	11899
Glebe - Forest Lodge	0	5196
Glebe - Forest Lodge	1	12450
Newtown - Camperdown - Darlington	0	5643
Newtown - Camperdown - Darlington	1	16984
Potts Point - Woolloomooloo	0	3871
Potts Point - Woolloomooloo	1	12842
Pyrmont - Ultimo	0	11013
Pyrmont - Ultimo	1	8387
Redfern - Chippendale	0	8876
Redfern - Chippendale	1	11049
Surry Hills	0	4685
Surry Hills	1	9565
Sydney - Haymarket - The Rocks	0	16612
Sydney - Haymarket - The Rocks	1	6885
Waterloo - Beaconsfield	0	15198
Waterloo - Beaconsfield	1	14558
Bondi - Tamarama - Bronte	0	3677
Bondi - Tamarama - Bronte	1	12887
Bondi Beach - North Bondi	0	3957
Bondi Beach - North Bondi	1	14361
Bondi Junction - Waverly	0	3917
Bondi Junction - Waverly	1	10919
Double Bay - Bellevue Hill	0	4064
Double Bay - Bellevue Hill	1	18381
Dover Heights	0	2464
Dover Heights	1	7707
Paddington - Moore Park	0	2104
Paddington - Moore Park	1	11584
Rose Bay - Vaucluse - Watsons Bay	0	1984
Rose Bay - Vaucluse - Watsons Bay	1	9074
Woollahra	0	1075
Woollahra	1	5825
Coogee - Clovelly	0	4389
Coogee - Clovelly	1	18910
Malabar - La Perouse - Chifley	0	5922
Malabar - La Perouse - Chifley	1	14788
Kensington (NSW)	0	6753
Kensington (NSW)	1	7046
Kingsford	0	8899
Kingsford	1	5942
Maroubra - North	0	3529
Maroubra - North	1	5841
Maroubra - South	0	3444
Maroubra - South	1	6480
Maroubra - West	0	4899
Maroubra - West	1	4687
Randwick - North	0	3806
Randwick - North	1	11977
Randwick - South	0	3462
Randwick - South	1	8278
Bass Hill - Georges Hall	0	11971
Bass Hill - Georges Hall	1	8728
Chullora	0	634
Chullora	1	183
Condell Park	0	7380
Condell Park	1	3336
Greenacre - Mount Lewis	0	17832
Greenacre - Mount Lewis	1	6634
Padstow	0	6613
Padstow	1	9141
Panania - Milperra - Picnic Point	0	7074
Panania - Milperra - Picnic Point	1	17677
Revesby	0	7047
Revesby	1	8470
Yagoona - Birrong	0	13438
Yagoona - Birrong	1	6116
Bankstown - North	0	12029
Bankstown - North	1	3013
Bankstown - South	0	11970
Bankstown - South	1	2657
Belmore - Belfield	0	11848
Belmore - Belfield	1	6190
Canterbury (South) - Campsie	0	22374
Canterbury (South) - Campsie	1	6638
Kingsgrove (North) - Earlwood	0	12025
Kingsgrove (North) - Earlwood	1	10346
Punchbowl	0	14965
Punchbowl	1	4541
Roselands	0	7982
Roselands	1	4956
Lakemba	0	13334
Lakemba	1	2503
Wiley Park	0	7698
Wiley Park	1	1733
Hurstville	0	17964
Hurstville	1	4569
Mortdale - Penshurst	0	10619
Mortdale - Penshurst	1	12174
Narwee - Beverly Hills	0	8211
Narwee - Beverly Hills	1	4962
Oatley - Hurstville Grove	0	4402
Oatley - Hurstville Grove	1	7816
Peakhurst - Lugarno	0	5589
Peakhurst - Lugarno	1	11785
Riverwood	0	7060
Riverwood	1	3557
South Hurstville - Blakehurst	0	13827
South Hurstville - Blakehurst	1	9410
Arncliffe - Bardwell Valley	0	12720
Arncliffe - Bardwell Valley	1	7381
Bexley	0	15895
Bexley	1	9026
Kingsgrove (South) - Bardwell Park	0	6843
Kingsgrove (South) - Bardwell Park	1	5261
Kogarah	0	7429
Kogarah	1	3322
Kogarah Bay - Carlton - Allawah	0	9240
Kogarah Bay - Carlton - Allawah	1	6040
Monterey - Brighton-le-Sands - Kyeemagh	0	6867
Monterey - Brighton-le-Sands - Kyeemagh	1	6072
Rockdale - Banksia	0	13042
Rockdale - Banksia	1	5560
Sans Souci - Ramsgate	0	6070
Sans Souci - Ramsgate	1	8969
Concord - Mortlake - Cabarita	0	8191
Concord - Mortlake - Cabarita	1	12646
Concord West - North Strathfield	0	15022
Concord West - North Strathfield	1	8449
Drummoyne - Rodd Point	0	4334
Drummoyne - Rodd Point	1	12790
Five Dock - Abbotsford	0	6322
Five Dock - Abbotsford	1	12816
Balmain	0	1767
Balmain	1	12593
Leichhardt - Annandale	0	4675
Leichhardt - Annandale	1	19822
Lilyfield - Rozelle	0	2150
Lilyfield - Rozelle	1	10798
Ashfield	0	13151
Ashfield	1	9794
Burwood - Croydon	0	16128
Burwood - Croydon	1	7295
Canterbury (North) - Ashbury	0	4484
Canterbury (North) - Ashbury	1	5400
Croydon Park - Enfield	0	8274
Croydon Park - Enfield	1	8219
Dulwich Hill - Lewisham	0	5044
Dulwich Hill - Lewisham	1	10593
Haberfield - Summer Hill	0	4146
Haberfield - Summer Hill	1	8655
Homebush	0	11350
Homebush	1	3375
Strathfield	0	16341
Strathfield	1	7281
Strathfield South	0	1946
Strathfield South	1	1438
Chatswood (East) - Artarmon	0	16194
Chatswood (East) - Artarmon	1	10917
Chatswood (West) - Lane Cove North	0	8565
Chatswood (West) - Lane Cove North	1	11327
Lane Cove - Greenwich	0	5848
Lane Cove - Greenwich	1	19792
St Leonards - Naremburn	0	3563
St Leonards - Naremburn	1	6227
Willoughby - Castle Cove - Northbridge	0	6070
Willoughby - Castle Cove - Northbridge	1	18382
Asquith - Mount Colah	0	3621
Asquith - Mount Colah	1	14185
Berowra - Brooklyn - Cowan	0	1134
Berowra - Brooklyn - Cowan	1	10233
Normanhurst - Thornleigh - Westleigh	0	4588
Normanhurst - Thornleigh - Westleigh	1	13388
Hornsby - East	0	7140
Hornsby - East	1	4254
Hornsby - West	0	3742
Hornsby - West	1	6408
Waitara - Wahroonga (West)	0	4845
Waitara - Wahroonga (West)	1	4333
Gordon - Killara	0	8348
Gordon - Killara	1	12252
Lindfield - Roseville	0	6679
Lindfield - Roseville	1	15661
Pymble	0	4363
Pymble	1	11513
St Ives	0	5645
St Ives	1	14214
Turramurra	0	3919
Turramurra	1	14454
Wahroonga (East) - Warrawee	0	3830
Wahroonga (East) - Warrawee	1	13247
Cremorne - Cammeray	0	3456
Cremorne - Cammeray	1	14385
Crows Nest - Waverton	0	4282
Crows Nest - Waverton	1	12579
Mosman	0	4306
Mosman	1	22190
Neutral Bay - Kirribilli	0	3594
Neutral Bay - Kirribilli	1	12714
North Sydney - Lavender Bay	0	2860
North Sydney - Lavender Bay	1	6833
Balgowlah - Clontarf - Seaforth	0	2630
Balgowlah - Clontarf - Seaforth	1	16674
Manly - Fairlight	0	3260
Manly - Fairlight	1	16715
Avalon - Palm Beach	0	739
Avalon - Palm Beach	1	11084
Bayview - Elanora Heights	0	850
Bayview - Elanora Heights	1	9272
Newport - Bilgola	0	952
Newport - Bilgola	1	11805
Warriewood - Mona Vale	0	2676
Warriewood - Mona Vale	1	20200
Beacon Hill - Narraweena	0	2954
Beacon Hill - Narraweena	1	10332
Cromer	0	980
Cromer	1	6191
Dee Why - North Curl Curl	0	7147
Dee Why - North Curl Curl	1	16207
Forestville - Killarney Heights	0	3032
Forestville - Killarney Heights	1	9422
Frenchs Forest - Belrose	0	4016
Frenchs Forest - Belrose	1	20303
Freshwater - Brookvale	0	3172
Freshwater - Brookvale	1	16561
Manly Vale - Allambie Heights	0	2637
Manly Vale - Allambie Heights	1	13494
Narrabeen - Collaroy	0	2830
Narrabeen - Collaroy	1	20408
Terrey Hills - Duffys Forest	0	332
Terrey Hills - Duffys Forest	1	3111
Camden - Ellis Lane	0	689
Camden - Ellis Lane	1	11760
Elderslie - Harrington Park	0	2469
Elderslie - Harrington Park	1	17737
Mount Annan - Currans Hill	0	3513
Mount Annan - Currans Hill	1	24114
Bradbury - Wedderburn	0	3320
Bradbury - Wedderburn	1	14540
Campbelltown - Woodbine	0	5255
Campbelltown - Woodbine	1	11801
Claymore - Eagle Vale - Raby	0	4799
Claymore - Eagle Vale - Raby	1	14420
Ingleburn - Denham Court	0	7802
Ingleburn - Denham Court	1	10962
Leumeah - Minto Heights	0	3577
Leumeah - Minto Heights	1	12235
Macquarie Fields - Glenfield	0	10457
Macquarie Fields - Glenfield	1	11304
Minto - St Andrews	0	8118
Minto - St Andrews	1	10913
Rosemeadow - Glen Alpine	0	4707
Rosemeadow - Glen Alpine	1	14876
Bargo	0	308
Bargo	1	5105
Douglas Park - Appin	0	552
Douglas Park - Appin	1	8611
Picton - Tahmoor - Buxton	0	897
