SA2_NAME16	AgeStudent	students
Mudgee Region - West	5-14	1200
Mudgee Region - West	15-19	376
Mudgee Region - West	20-24	83
Mudgee Region - West	25+	208
Blayney	0-4	127
Blayney	5-14	965
Blayney	15-19	334
Blayney	20-24	77
Blayney	25+	190
Orange	0-4	245
Orange	5-14	2031
Orange	15-19	824
Orange	20-24	238
Orange	25+	715
Orange - North	0-4	358
Orange - North	5-14	2832
Orange - North	15-19	862
Orange - North	20-24	369
Orange - North	25+	786
Orange Region	0-4	194
Orange Region	5-14	1605
Orange Region	15-19	612
Orange Region	20-24	111
Orange Region	25+	305
Grafton	0-4	268
Grafton	5-14	2155
Grafton	15-19	750
Grafton	20-24	161
Grafton	25+	499
Grafton Region	0-4	154
Grafton Region	5-14	1606
Grafton Region	15-19	656
Grafton Region	20-24	115
Grafton Region	25+	334
Maclean - Yamba - Iluka	0-4	187
Maclean - Yamba - Iluka	5-14	1437
Maclean - Yamba - Iluka	15-19	537
Maclean - Yamba - Iluka	20-24	105
Maclean - Yamba - Iluka	25+	350
Bellingen	0-4	94
Bellingen	5-14	784
Bellingen	15-19	260
Bellingen	20-24	39
Bellingen	25+	223
Coffs Harbour - North	0-4	256
Coffs Harbour - North	5-14	1972
Coffs Harbour - North	15-19	701
Coffs Harbour - North	20-24	263
Coffs Harbour - North	25+	638
Coffs Harbour - South	0-4	112
Coffs Harbour - South	5-14	1003
Coffs Harbour - South	15-19	391
Coffs Harbour - South	20-24	205
Coffs Harbour - South	25+	365
Coramba - Nana Glen - Bucca	0-4	55
Coramba - Nana Glen - Bucca	5-14	481
Coramba - Nana Glen - Bucca	15-19	157
Coramba - Nana Glen - Bucca	20-24	35
Coramba - Nana Glen - Bucca	25+	119
Dorrigo	0-4	30
Dorrigo	5-14	321
Dorrigo	15-19	124
Dorrigo	20-24	18
Dorrigo	25+	59
Korora - Emerald Beach	0-4	154
Korora - Emerald Beach	5-14	1170
Korora - Emerald Beach	15-19	356
Korora - Emerald Beach	20-24	96
Korora - Emerald Beach	25+	267
Sawtell - Boambee	0-4	286
Sawtell - Boambee	5-14	2412
Sawtell - Boambee	15-19	882
Sawtell - Boambee	20-24	233
Sawtell - Boambee	25+	603
Urunga	0-4	59
Urunga	5-14	426
Urunga	15-19	174
Urunga	20-24	40
Urunga	25+	120
Woolgoolga - Arrawarra	0-4	189
Woolgoolga - Arrawarra	5-14	1369
Woolgoolga - Arrawarra	15-19	469
Woolgoolga - Arrawarra	20-24	129
Woolgoolga - Arrawarra	25+	352
Bourke - Brewarrina	0-4	62
Bourke - Brewarrina	5-14	476
Bourke - Brewarrina	15-19	100
Bourke - Brewarrina	20-24	18
Bourke - Brewarrina	25+	91
Cobar	0-4	56
Cobar	5-14	566
Cobar	15-19	147
Cobar	20-24	31
Cobar	25+	110
Coonamble	0-4	63
Coonamble	5-14	456
Coonamble	15-19	105
Coonamble	20-24	30
Coonamble	25+	74
Nyngan - Warren	0-4	92
Nyngan - Warren	5-14	561
Nyngan - Warren	15-19	172
Nyngan - Warren	20-24	47
Nyngan - Warren	25+	84
Walgett - Lightning Ridge	0-4	124
Walgett - Lightning Ridge	5-14	713
Walgett - Lightning Ridge	15-19	156
Walgett - Lightning Ridge	20-24	32
Walgett - Lightning Ridge	25+	115
Broken Hill	0-4	250
Broken Hill	5-14	1761
Broken Hill	15-19	594
Broken Hill	20-24	154
Broken Hill	25+	525
Far West	0-4	28
Far West	5-14	235
Far West	15-19	63
Far West	20-24	17
Far West	25+	31
Coonabarabran	0-4	99
Coonabarabran	5-14	886
Coonabarabran	15-19	284
Coonabarabran	20-24	66
Coonabarabran	25+	176
Dubbo - East	0-4	196
Dubbo - East	5-14	1277
Dubbo - East	15-19	451
Dubbo - East	20-24	159
Dubbo - East	25+	291
Dubbo - South	0-4	302
Dubbo - South	5-14	2060
Dubbo - South	15-19	673
Dubbo - South	20-24	200
Dubbo - South	25+	577
Dubbo - West	0-4	159
Dubbo - West	5-14	1153
Dubbo - West	15-19	361
Dubbo - West	20-24	99
Dubbo - West	25+	288
Dubbo Region	0-4	72
Dubbo Region	5-14	753
Dubbo Region	15-19	239
Dubbo Region	20-24	52
Dubbo Region	25+	145
Gilgandra	0-4	87
Gilgandra	5-14	484
Gilgandra	15-19	144
Gilgandra	20-24	31
Gilgandra	25+	65
Narromine	0-4	107
Narromine	5-14	821
Narromine	15-19	231
Narromine	20-24	51
Narromine	25+	128
Wellington	0-4	106
Wellington	5-14	919
Wellington	15-19	329
Wellington	20-24	55
Wellington	25+	148
Branxton - Greta - Pokolbin	0-4	197
Branxton - Greta - Pokolbin	5-14	1427
Branxton - Greta - Pokolbin	15-19	438
Branxton - Greta - Pokolbin	20-24	98
Branxton - Greta - Pokolbin	25+	250
Cessnock	0-4	346
Cessnock	5-14	2542
Cessnock	15-19	793
Cessnock	20-24	254
Cessnock	25+	453
Cessnock Region	0-4	96
Cessnock Region	5-14	936
Cessnock Region	15-19	326
Cessnock Region	20-24	88
Cessnock Region	25+	166
Dungog	0-4	143
Dungog	5-14	1076
Dungog	15-19	388
Dungog	20-24	91
Dungog	25+	184
Kurri Kurri - Abermain	0-4	270
Kurri Kurri - Abermain	5-14	2177
Kurri Kurri - Abermain	15-19	747
Kurri Kurri - Abermain	20-24	169
Kurri Kurri - Abermain	25+	393
Singleton	0-4	265
Singleton	5-14	2073
Singleton	15-19	753
Singleton	20-24	229
Singleton	25+	462
Singleton Region	0-4	74
Singleton Region	5-14	611
Singleton Region	15-19	224
Singleton Region	20-24	47
Singleton Region	25+	80
Maitland	0-4	134
Maitland	5-14	733
Maitland	15-19	262
Maitland	20-24	108
Maitland	25+	224
Maitland - East	0-4	441
Maitland - East	5-14	3556
Maitland - East	15-19	1255
Maitland - East	20-24	458
Maitland - East	25+	919
Maitland - North	0-4	121
Maitland - North	5-14	1153
Maitland - North	15-19	419
Maitland - North	20-24	149
Maitland - North	25+	209
Maitland - West	0-4	427
Maitland - West	5-14	3025
Maitland - West	15-19	942
Maitland - West	20-24	351
Maitland - West	25+	666
Thornton - Millers Forest	0-4	182
Thornton - Millers Forest	5-14	1450
Thornton - Millers Forest	15-19	548
Thornton - Millers Forest	20-24	191
Thornton - Millers Forest	25+	327
Anna Bay	0-4	76
Anna Bay	5-14	623
Anna Bay	15-19	289
Anna Bay	20-24	74
Anna Bay	25+	120
Lemon Tree Passage - Tanilba Bay	0-4	94
Lemon Tree Passage - Tanilba Bay	5-14	744
Lemon Tree Passage - Tanilba Bay	15-19	193
Lemon Tree Passage - Tanilba Bay	20-24	42
Lemon Tree Passage - Tanilba Bay	25+	169
Nelson Bay Peninsula	0-4	239
Nelson Bay Peninsula	5-14	2095
Nelson Bay Peninsula	15-19	748
Nelson Bay Peninsula	20-24	231
Nelson Bay Peninsula	25+	469
Raymond Terrace	0-4	243
Raymond Terrace	5-14	1734
Raymond Terrace	15-19	524
Raymond Terrace	20-24	206
Raymond Terrace	25+	383
Seaham - Woodville	0-4	72
Seaham - Woodville	5-14	773
Seaham - Woodville	15-19	354
Seaham - Woodville	20-24	96
Seaham - Woodville	25+	130
Tea Gardens - Hawks Nest	0-4	50
Tea Gardens - Hawks Nest	5-14	307
Tea Gardens - Hawks Nest	15-19	123
Tea Gardens - Hawks Nest	20-24	40
Tea Gardens - Hawks Nest	25+	85
Williamtown - Medowie - Karuah	0-4	233
Williamtown - Medowie - Karuah	5-14	1751
Williamtown - Medowie - Karuah	15-19	597
Williamtown - Medowie - Karuah	20-24	178
Williamtown - Medowie - Karuah	25+	344
Muswellbrook	0-4	205
Muswellbrook	5-14	1614
Muswellbrook	15-19	463
Muswellbrook	20-24	116
Muswellbrook	25+	287
Muswellbrook Region	0-4	61
Muswellbrook Region	5-14	541
Muswellbrook Region	15-19	204
Muswellbrook Region	20-24	27
Muswellbrook Region	25+	67
Scone	0-4	105
Scone	5-14	765
Scone	15-19	254
Scone	20-24	44
Scone	25+	139
Scone Region	0-4	137
Scone Region	5-14	1033
Scone Region	15-19	289
Scone Region	20-24	51
Scone Region	25+	160
Dapto - Avondale	0-4	428
Dapto - Avondale	5-14	2740
Dapto - Avondale	15-19	1046
Dapto - Avondale	20-24	328
Dapto - Avondale	25+	592
Horsley - Kembla Grange	0-4	193
Horsley - Kembla Grange	5-14	1362
Horsley - Kembla Grange	15-19	532
Horsley - Kembla Grange	20-24	152
Horsley - Kembla Grange	25+	231
Unanderra - Mount Kembla	0-4	238
Unanderra - Mount Kembla	5-14	1908
Unanderra - Mount Kembla	15-19	842
Unanderra - Mount Kembla	20-24	402
Unanderra - Mount Kembla	25+	457
Berkeley - Lake Heights - Cringila	0-4	247
Berkeley - Lake Heights - Cringila	5-14	1582
Berkeley - Lake Heights - Cringila	15-19	595
Berkeley - Lake Heights - Cringila	20-24	237
Berkeley - Lake Heights - Cringila	25+	371
Port Kembla - Warrawong	0-4	175
Port Kembla - Warrawong	5-14	1003
Port Kembla - Warrawong	15-19	345
Port Kembla - Warrawong	20-24	160
Port Kembla - Warrawong	25+	279
Windang - Primbee	0-4	60
Windang - Primbee	5-14	353
Windang - Primbee	15-19	141
Windang - Primbee	20-24	59
Windang - Primbee	25+	95
Albion Park - Macquarie Pass	0-4	318
Albion Park - Macquarie Pass	5-14	2075
Albion Park - Macquarie Pass	15-19	859
Albion Park - Macquarie Pass	20-24	245
Albion Park - Macquarie Pass	25+	341
Albion Park Rail	0-4	125
Albion Park Rail	5-14	759
Albion Park Rail	15-19	286
Albion Park Rail	20-24	100
Albion Park Rail	25+	197
Kiama	0-4	111
Kiama	5-14	730
Kiama	15-19	335
Kiama	20-24	136
Kiama	25+	240
Kiama Downs - Minnamurra	0-4	96
Kiama Downs - Minnamurra	5-14	718
Kiama Downs - Minnamurra	15-19	295
Kiama Downs - Minnamurra	20-24	119
Kiama Downs - Minnamurra	25+	150
Kiama Hinterland - Gerringong	0-4	119
Kiama Hinterland - Gerringong	5-14	870
Kiama Hinterland - Gerringong	15-19	370
Kiama Hinterland - Gerringong	20-24	139
Kiama Hinterland - Gerringong	25+	205
Shellharbour - Flinders	0-4	306
Shellharbour - Flinders	5-14	2536
Shellharbour - Flinders	15-19	907
Shellharbour - Flinders	20-24	344
Shellharbour - Flinders	25+	446
Shellharbour - Oak Flats	0-4	146
Shellharbour - Oak Flats	5-14	1040
Shellharbour - Oak Flats	15-19	519
Shellharbour - Oak Flats	20-24	188
Shellharbour - Oak Flats	25+	250
Warilla	0-4	329
Warilla	5-14	2211
Warilla	15-19	809
Warilla	20-24	312
Warilla	25+	501
Balgownie - Fairy Meadow	0-4	320
Balgownie - Fairy Meadow	5-14	2232
Balgownie - Fairy Meadow	15-19	1184
Balgownie - Fairy Meadow	20-24	1036
Balgownie - Fairy Meadow	25+	954
Corrimal - Tarrawanna - Bellambi	0-4	251
Corrimal - Tarrawanna - Bellambi	5-14	1645
Corrimal - Tarrawanna - Bellambi	15-19	671
Corrimal - Tarrawanna - Bellambi	20-24	337
Corrimal - Tarrawanna - Bellambi	25+	540
Figtree - Keiraville	0-4	337
Figtree - Keiraville	5-14	2676
Figtree - Keiraville	15-19	1300
Figtree - Keiraville	20-24	1220
Figtree - Keiraville	25+	1068
Helensburgh	0-4	199
Helensburgh	5-14	1192
Helensburgh	15-19	483
Helensburgh	20-24	190
Helensburgh	25+	245
Thirroul - Austinmer - Coalcliff	0-4	185
Thirroul - Austinmer - Coalcliff	5-14	1559
Thirroul - Austinmer - Coalcliff	15-19	558
Thirroul - Austinmer - Coalcliff	20-24	244
Thirroul - Austinmer - Coalcliff	25+	402
Woonona - Bulli - Russell Vale	0-4	402
Woonona - Bulli - Russell Vale	5-14	2645
Woonona - Bulli - Russell Vale	15-19	1008
Woonona - Bulli - Russell Vale	20-24	395
Woonona - Bulli - Russell Vale	25+	624
Wollongong - East	0-4	71
Wollongong - East	5-14	539
Wollongong - East	15-19	454
Wollongong - East	20-24	1213
Wollongong - East	25+	1106
Wollongong - West	0-4	230
Wollongong - West	5-14	1500
Wollongong - West	15-19	966
Wollongong - West	20-24	1496
Wollongong - West	25+	1342
Bulahdelah - Stroud	0-4	55
Bulahdelah - Stroud	5-14	488
Bulahdelah - Stroud	15-19	171
Bulahdelah - Stroud	20-24	42
Bulahdelah - Stroud	25+	86
Forster	0-4	174
Forster	5-14	1278
Forster	15-19	505
Forster	20-24	78
Forster	25+	303
Forster-Tuncurry Region	0-4	74
Forster-Tuncurry Region	5-14	682
Forster-Tuncurry Region	15-19	196
Forster-Tuncurry Region	20-24	39
Forster-Tuncurry Region	25+	155
Tuncurry	0-4	72
Tuncurry	5-14	327
Tuncurry	15-19	156
Tuncurry	20-24	45
Tuncurry	25+	103
Kempsey	0-4	238
Kempsey	5-14	1712
Kempsey	15-19	567
Kempsey	20-24	109
Kempsey	25+	310
Kempsey Region	0-4	107
Kempsey Region	5-14	854
Kempsey Region	15-19	338
Kempsey Region	20-24	51
Kempsey Region	25+	172
Macksville - Scotts Head	0-4	56
Macksville - Scotts Head	5-14	538
Macksville - Scotts Head	15-19	158
Macksville - Scotts Head	20-24	35
Macksville - Scotts Head	25+	114
Nambucca Heads	0-4	84
Nambucca Heads	5-14	567
Nambucca Heads	15-19	232
Nambucca Heads	20-24	27
Nambucca Heads	25+	136
Nambucca Heads Region	0-4	106
Nambucca Heads Region	5-14	931
Nambucca Heads Region	15-19	302
Nambucca Heads Region	20-24	65
Nambucca Heads Region	25+	190
South West Rocks	0-4	58
South West Rocks	5-14	428
South West Rocks	15-19	148
South West Rocks	20-24	25
South West Rocks	25+	93
Lord Howe Island	5-14	28
Lord Howe Island	15-19	4
Lord Howe Island	25+	11
Laurieton - Bonny Hills	0-4	192
Laurieton - Bonny Hills	5-14	1606
Laurieton - Bonny Hills	15-19	626
Laurieton - Bonny Hills	20-24	93
Laurieton - Bonny Hills	25+	365
Port Macquarie - East	0-4	437
Port Macquarie - East	5-14	3272
Port Macquarie - East	15-19	1258
Port Macquarie - East	20-24	341
Port Macquarie - East	25+	910
Port Macquarie - West	0-4	220
Port Macquarie - West	5-14	1677
Port Macquarie - West	15-19	626
Port Macquarie - West	20-24	190
Port Macquarie - West	25+	502
Port Macquarie Region	0-4	68
Port Macquarie Region	5-14	565
Port Macquarie Region	15-19	239
Port Macquarie Region	20-24	51
Port Macquarie Region	25+	141
Wauchope	0-4	187
Wauchope	5-14	1447
Wauchope	15-19	496
Wauchope	20-24	114
Wauchope	25+	308
Gloucester	0-4	79
Gloucester	5-14	516
Gloucester	15-19	168
Gloucester	20-24	27
Gloucester	25+	90
Old Bar - Manning Point - Red Head	0-4	163
Old Bar - Manning Point - Red Head	5-14	1150
Old Bar - Manning Point - Red Head	15-19	402
Old Bar - Manning Point - Red Head	20-24	73
Old Bar - Manning Point - Red Head	25+	256
Taree	0-4	299
Taree	5-14	2275
Taree	15-19	799
Taree	20-24	193
Taree	25+	508
Taree Region	0-4	111
Taree Region	5-14	1205
Taree Region	15-19	452
Taree Region	20-24	97
Taree Region	25+	253
Wingham	0-4	83
Wingham	5-14	590
Wingham	15-19	239
Wingham	20-24	33
Wingham	25+	122
Albury - East	0-4	264
Albury - East	5-14	1968
Albury - East	15-19	724
Albury - East	20-24	454
Albury - East	25+	537
Albury - North	0-4	102
Albury - North	5-14	1089
Albury - North	15-19	431
Albury - North	20-24	152
Albury - North	25+	333
Albury - South	0-4	120
Albury - South	5-14	958
Albury - South	15-19	445
Albury - South	20-24	184
Albury - South	25+	368
Albury Region	0-4	196
Albury Region	5-14	1711
Albury Region	15-19	595
Albury Region	20-24	111
Albury Region	25+	235
Lavington	0-4	162
Lavington	5-14	1529
Lavington	15-19	553
Lavington	20-24	241
Lavington	25+	498
Hay	0-4	33
Hay	5-14	319
Hay	15-19	113
Hay	20-24	18
Hay	25+	36
Wentworth - Buronga	0-4	92
Wentworth - Buronga	5-14	684
Wentworth - Buronga	15-19	243
Wentworth - Buronga	20-24	48
Wentworth - Buronga	25+	116
Wentworth-Balranald Region	0-4	43
Wentworth-Balranald Region	5-14	393
Wentworth-Balranald Region	15-19	119
Wentworth-Balranald Region	20-24	15
Wentworth-Balranald Region	25+	63
Corowa	0-4	70
Corowa	5-14	589
Corowa	15-19	214
Corowa	20-24	51
Corowa	25+	117
Corowa Region	0-4	85
Corowa Region	5-14	728
Corowa Region	15-19	223
Corowa Region	20-24	56
Corowa Region	25+	110
Deniliquin	0-4	74
Deniliquin	5-14	778
Deniliquin	15-19	274
Deniliquin	20-24	67
Deniliquin	25+	145
Deniliquin Region	0-4	96
Deniliquin Region	5-14	736
