SA2_NAME16	MaxSchoolingCompleted	Sex	persons
Gosford - Springfield	Year 8	F	337
Gosford - Springfield	Year 8	M	282
Gosford - Springfield	Year 9	F	579
Gosford - Springfield	Year 9	M	506
Gosford - Springfield	Year 10	F	2033
Gosford - Springfield	Year 10	M	1764
Gosford - Springfield	Year 11	F	463
Gosford - Springfield	Year 11	M	512
Gosford - Springfield	Year 12	F	3994
Gosford - Springfield	Year 12	M	3736
Kariong	Did not go to school	F	13
Kariong	Did not go to school	M	4
Kariong	Year 8	F	74
Kariong	Year 8	M	80
Kariong	Year 9	F	157
Kariong	Year 9	M	166
Kariong	Year 10	F	671
Kariong	Year 10	M	732
Kariong	Year 11	F	167
Kariong	Year 11	M	200
Kariong	Year 12	F	1228
Kariong	Year 12	M	1085
Kincumber - Picketts Valley	Did not go to school	F	6
Kincumber - Picketts Valley	Did not go to school	M	3
Kincumber - Picketts Valley	Year 8	F	143
Kincumber - Picketts Valley	Year 8	M	110
Kincumber - Picketts Valley	Year 9	F	348
Kincumber - Picketts Valley	Year 9	M	229
Kincumber - Picketts Valley	Year 10	F	1050
Kincumber - Picketts Valley	Year 10	M	843
Kincumber - Picketts Valley	Year 11	F	203
Kincumber - Picketts Valley	Year 11	M	216
Kincumber - Picketts Valley	Year 12	F	1345
Kincumber - Picketts Valley	Year 12	M	1172
Narara	Did not go to school	F	12
Narara	Did not go to school	M	20
Narara	Year 8	F	93
Narara	Year 8	M	82
Narara	Year 9	F	177
Narara	Year 9	M	200
Narara	Year 10	F	779
Narara	Year 10	M	747
Narara	Year 11	F	199
Narara	Year 11	M	207
Narara	Year 12	F	1346
Narara	Year 12	M	1188
Niagara Park - Lisarow	Did not go to school	F	4
Niagara Park - Lisarow	Did not go to school	M	4
Niagara Park - Lisarow	Year 8	F	118
Niagara Park - Lisarow	Year 8	M	104
Niagara Park - Lisarow	Year 9	F	245
Niagara Park - Lisarow	Year 9	M	186
Niagara Park - Lisarow	Year 10	F	910
Niagara Park - Lisarow	Year 10	M	893
Niagara Park - Lisarow	Year 11	F	230
Niagara Park - Lisarow	Year 11	M	269
Niagara Park - Lisarow	Year 12	F	1593
Niagara Park - Lisarow	Year 12	M	1481
Point Clare - Koolewong	Did not go to school	F	11
Point Clare - Koolewong	Did not go to school	M	14
Point Clare - Koolewong	Year 8	F	80
Point Clare - Koolewong	Year 8	M	79
Point Clare - Koolewong	Year 9	F	184
Point Clare - Koolewong	Year 9	M	185
Point Clare - Koolewong	Year 10	F	722
Point Clare - Koolewong	Year 10	M	636
Point Clare - Koolewong	Year 11	F	146
Point Clare - Koolewong	Year 11	M	176
Point Clare - Koolewong	Year 12	F	1333
Point Clare - Koolewong	Year 12	M	1219
Saratoga - Davistown	Did not go to school	F	4
Saratoga - Davistown	Did not go to school	M	6
Saratoga - Davistown	Year 8	F	92
Saratoga - Davistown	Year 8	M	86
Saratoga - Davistown	Year 9	F	245
Saratoga - Davistown	Year 9	M	240
Saratoga - Davistown	Year 10	F	889
Saratoga - Davistown	Year 10	M	814
Saratoga - Davistown	Year 11	F	213
Saratoga - Davistown	Year 11	M	182
Saratoga - Davistown	Year 12	F	1305
Saratoga - Davistown	Year 12	M	1188
Terrigal - North Avoca	Did not go to school	F	6
Terrigal - North Avoca	Did not go to school	M	13
Terrigal - North Avoca	Year 8	F	119
Terrigal - North Avoca	Year 8	M	113
Terrigal - North Avoca	Year 9	F	327
Terrigal - North Avoca	Year 9	M	270
Terrigal - North Avoca	Year 10	F	1412
Terrigal - North Avoca	Year 10	M	1266
Terrigal - North Avoca	Year 11	F	372
Terrigal - North Avoca	Year 11	M	355
Terrigal - North Avoca	Year 12	F	3089
Terrigal - North Avoca	Year 12	M	2980
Umina - Booker Bay - Patonga	Did not go to school	F	22
Umina - Booker Bay - Patonga	Did not go to school	M	32
Umina - Booker Bay - Patonga	Year 8	F	528
Umina - Booker Bay - Patonga	Year 8	M	464
Umina - Booker Bay - Patonga	Year 9	F	1076
Umina - Booker Bay - Patonga	Year 9	M	910
Umina - Booker Bay - Patonga	Year 10	F	3224
Umina - Booker Bay - Patonga	Year 10	M	2879
Umina - Booker Bay - Patonga	Year 11	F	646
Umina - Booker Bay - Patonga	Year 11	M	670
Umina - Booker Bay - Patonga	Year 12	F	3929
Umina - Booker Bay - Patonga	Year 12	M	3449
Wamberal - Forresters Beach	Did not go to school	F	4
Wamberal - Forresters Beach	Did not go to school	M	4
Wamberal - Forresters Beach	Year 8	F	103
Wamberal - Forresters Beach	Year 8	M	95
Wamberal - Forresters Beach	Year 9	F	246
Wamberal - Forresters Beach	Year 9	M	215
Wamberal - Forresters Beach	Year 10	F	1034
Wamberal - Forresters Beach	Year 10	M	974
Wamberal - Forresters Beach	Year 11	F	258
Wamberal - Forresters Beach	Year 11	M	265
Wamberal - Forresters Beach	Year 12	F	2079
Wamberal - Forresters Beach	Year 12	M	1933
Woy Woy - Blackwall	Did not go to school	F	25
Woy Woy - Blackwall	Did not go to school	M	23
Woy Woy - Blackwall	Year 8	F	357
Woy Woy - Blackwall	Year 8	M	290
Woy Woy - Blackwall	Year 9	F	653
Woy Woy - Blackwall	Year 9	M	527
Woy Woy - Blackwall	Year 10	F	1842
Woy Woy - Blackwall	Year 10	M	1661
Woy Woy - Blackwall	Year 11	F	386
Woy Woy - Blackwall	Year 11	M	405
Woy Woy - Blackwall	Year 12	F	2368
Woy Woy - Blackwall	Year 12	M	2131
Wyoming	Did not go to school	F	11
Wyoming	Did not go to school	M	13
Wyoming	Year 8	F	223
Wyoming	Year 8	M	191
Wyoming	Year 9	F	444
Wyoming	Year 9	M	343
Wyoming	Year 10	F	1349
Wyoming	Year 10	M	1195
Wyoming	Year 11	F	351
Wyoming	Year 11	M	354
Wyoming	Year 12	F	2054
Wyoming	Year 12	M	1895
Bateau Bay - Killarney Vale	Did not go to school	F	24
Bateau Bay - Killarney Vale	Did not go to school	M	22
Bateau Bay - Killarney Vale	Year 8	F	500
Bateau Bay - Killarney Vale	Year 8	M	414
Bateau Bay - Killarney Vale	Year 9	F	961
Bateau Bay - Killarney Vale	Year 9	M	681
Bateau Bay - Killarney Vale	Year 10	F	3042
Bateau Bay - Killarney Vale	Year 10	M	2764
Bateau Bay - Killarney Vale	Year 11	F	613
Bateau Bay - Killarney Vale	Year 11	M	684
Bateau Bay - Killarney Vale	Year 12	F	3511
Bateau Bay - Killarney Vale	Year 12	M	2989
Blue Haven - San Remo	Did not go to school	F	11
Blue Haven - San Remo	Did not go to school	M	8
Blue Haven - San Remo	Year 8	F	248
Blue Haven - San Remo	Year 8	M	245
Blue Haven - San Remo	Year 9	F	519
Blue Haven - San Remo	Year 9	M	461
Blue Haven - San Remo	Year 10	F	1593
Blue Haven - San Remo	Year 10	M	1541
Blue Haven - San Remo	Year 11	F	374
Blue Haven - San Remo	Year 11	M	357
Blue Haven - San Remo	Year 12	F	1411
Blue Haven - San Remo	Year 12	M	1132
Budgewoi - Buff Point - Halekulani	Did not go to school	F	12
Budgewoi - Buff Point - Halekulani	Did not go to school	M	10
Budgewoi - Buff Point - Halekulani	Year 8	F	231
Budgewoi - Buff Point - Halekulani	Year 8	M	248
Budgewoi - Buff Point - Halekulani	Year 9	F	434
Budgewoi - Buff Point - Halekulani	Year 9	M	433
Budgewoi - Buff Point - Halekulani	Year 10	F	1432
Budgewoi - Buff Point - Halekulani	Year 10	M	1392
Budgewoi - Buff Point - Halekulani	Year 11	F	307
Budgewoi - Buff Point - Halekulani	Year 11	M	283
Budgewoi - Buff Point - Halekulani	Year 12	F	1215
Budgewoi - Buff Point - Halekulani	Year 12	M	1058
Chittaway Bay - Tumbi Umbi	Did not go to school	F	9
Chittaway Bay - Tumbi Umbi	Did not go to school	M	18
Chittaway Bay - Tumbi Umbi	Year 8	F	248
Chittaway Bay - Tumbi Umbi	Year 8	M	247
Chittaway Bay - Tumbi Umbi	Year 9	F	583
Chittaway Bay - Tumbi Umbi	Year 9	M	522
Chittaway Bay - Tumbi Umbi	Year 10	F	2071
Chittaway Bay - Tumbi Umbi	Year 10	M	2007
Chittaway Bay - Tumbi Umbi	Year 11	F	466
Chittaway Bay - Tumbi Umbi	Year 11	M	450
Chittaway Bay - Tumbi Umbi	Year 12	F	2617
Chittaway Bay - Tumbi Umbi	Year 12	M	2284
Gorokan - Kanwal - Charmhaven	Did not go to school	F	29
Gorokan - Kanwal - Charmhaven	Did not go to school	M	23
Gorokan - Kanwal - Charmhaven	Year 8	F	589
Gorokan - Kanwal - Charmhaven	Year 8	M	554
Gorokan - Kanwal - Charmhaven	Year 9	F	1049
Gorokan - Kanwal - Charmhaven	Year 9	M	911
Gorokan - Kanwal - Charmhaven	Year 10	F	3116
Gorokan - Kanwal - Charmhaven	Year 10	M	2864
Gorokan - Kanwal - Charmhaven	Year 11	F	658
Gorokan - Kanwal - Charmhaven	Year 11	M	706
Gorokan - Kanwal - Charmhaven	Year 12	F	2882
Gorokan - Kanwal - Charmhaven	Year 12	M	2479
Jilliby - Yarramalong	Did not go to school	F	10
Jilliby - Yarramalong	Year 8	F	41
Jilliby - Yarramalong	Year 8	M	51
Jilliby - Yarramalong	Year 9	F	86
Jilliby - Yarramalong	Year 9	M	99
Jilliby - Yarramalong	Year 10	F	376
Jilliby - Yarramalong	Year 10	M	426
Jilliby - Yarramalong	Year 11	F	70
Jilliby - Yarramalong	Year 11	M	95
Jilliby - Yarramalong	Year 12	F	647
Jilliby - Yarramalong	Year 12	M	555
Lake Munmorah - Mannering Park	Did not go to school	F	5
Lake Munmorah - Mannering Park	Did not go to school	M	4
Lake Munmorah - Mannering Park	Year 8	F	247
Lake Munmorah - Mannering Park	Year 8	M	252
Lake Munmorah - Mannering Park	Year 9	F	612
Lake Munmorah - Mannering Park	Year 9	M	541
Lake Munmorah - Mannering Park	Year 10	F	1757
Lake Munmorah - Mannering Park	Year 10	M	1704
Lake Munmorah - Mannering Park	Year 11	F	328
Lake Munmorah - Mannering Park	Year 11	M	316
Lake Munmorah - Mannering Park	Year 12	F	1318
Lake Munmorah - Mannering Park	Year 12	M	1146
Ourimbah - Fountaindale	Did not go to school	F	3
Ourimbah - Fountaindale	Did not go to school	M	4
Ourimbah - Fountaindale	Year 8	F	65
Ourimbah - Fountaindale	Year 8	M	64
Ourimbah - Fountaindale	Year 9	F	122
Ourimbah - Fountaindale	Year 9	M	126
Ourimbah - Fountaindale	Year 10	F	571
Ourimbah - Fountaindale	Year 10	M	548
Ourimbah - Fountaindale	Year 11	F	124
Ourimbah - Fountaindale	Year 11	M	159
Ourimbah - Fountaindale	Year 12	F	1010
Ourimbah - Fountaindale	Year 12	M	896
Summerland Point - Gwandalan	Did not go to school	F	9
Summerland Point - Gwandalan	Did not go to school	M	10
Summerland Point - Gwandalan	Year 8	F	119
Summerland Point - Gwandalan	Year 8	M	104
Summerland Point - Gwandalan	Year 9	F	266
Summerland Point - Gwandalan	Year 9	M	286
Summerland Point - Gwandalan	Year 10	F	897
Summerland Point - Gwandalan	Year 10	M	968
Summerland Point - Gwandalan	Year 11	F	180
Summerland Point - Gwandalan	Year 11	M	177
Summerland Point - Gwandalan	Year 12	F	772
Summerland Point - Gwandalan	Year 12	M	665
The Entrance	Did not go to school	F	15
The Entrance	Did not go to school	M	14
The Entrance	Year 8	F	365
The Entrance	Year 8	M	308
The Entrance	Year 9	F	660
The Entrance	Year 9	M	578
The Entrance	Year 10	F	2174
The Entrance	Year 10	M	1893
The Entrance	Year 11	F	404
The Entrance	Year 11	M	406
The Entrance	Year 12	F	2257
The Entrance	Year 12	M	2092
Toukley - Norah Head	Did not go to school	F	7
Toukley - Norah Head	Did not go to school	M	18
Toukley - Norah Head	Year 8	F	261
Toukley - Norah Head	Year 8	M	240
Toukley - Norah Head	Year 9	F	429
Toukley - Norah Head	Year 9	M	394
Toukley - Norah Head	Year 10	F	1471
Toukley - Norah Head	Year 10	M	1394
Toukley - Norah Head	Year 11	F	266
Toukley - Norah Head	Year 11	M	268
Toukley - Norah Head	Year 12	F	1245
Toukley - Norah Head	Year 12	M	1148
Tuggerah - Kangy Angy	Did not go to school	M	3
Tuggerah - Kangy Angy	Year 8	F	65
Tuggerah - Kangy Angy	Year 8	M	69
Tuggerah - Kangy Angy	Year 9	F	179
Tuggerah - Kangy Angy	Year 9	M	157
Tuggerah - Kangy Angy	Year 10	F	626
Tuggerah - Kangy Angy	Year 10	M	592
Tuggerah - Kangy Angy	Year 11	F	152
Tuggerah - Kangy Angy	Year 11	M	153
Tuggerah - Kangy Angy	Year 12	F	986
Tuggerah - Kangy Angy	Year 12	M	851
Warnervale - Wadalba	Did not go to school	F	36
Warnervale - Wadalba	Did not go to school	M	95
Warnervale - Wadalba	Year 8	F	255
Warnervale - Wadalba	Year 8	M	282
Warnervale - Wadalba	Year 9	F	527
Warnervale - Wadalba	Year 9	M	479
Warnervale - Wadalba	Year 10	F	1889
Warnervale - Wadalba	Year 10	M	1726
Warnervale - Wadalba	Year 11	F	447
Warnervale - Wadalba	Year 11	M	471
Warnervale - Wadalba	Year 12	F	2466
Warnervale - Wadalba	Year 12	M	2057
Wyong	Did not go to school	F	16
Wyong	Did not go to school	M	19
Wyong	Year 8	F	217
Wyong	Year 8	M	239
Wyong	Year 9	F	385
