SA2_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Kincumber - Picketts Valley	1	5	187
Kincumber - Picketts Valley	1	6	54
Narara	0	1	390
Narara	0	2	37
Narara	0	3	6
Narara	0	4	5
Narara	0	5	3
Narara	0	6	3
Narara	1	2	690
Narara	1	3	414
Narara	1	4	446
Narara	1	5	163
Narara	1	6	90
Niagara Park - Lisarow	0	1	482
Niagara Park - Lisarow	0	2	52
Niagara Park - Lisarow	0	3	7
Niagara Park - Lisarow	1	2	752
Niagara Park - Lisarow	1	3	477
Niagara Park - Lisarow	1	4	548
Niagara Park - Lisarow	1	5	236
Niagara Park - Lisarow	1	6	109
Point Clare - Koolewong	0	1	590
Point Clare - Koolewong	0	2	76
Point Clare - Koolewong	0	3	5
Point Clare - Koolewong	0	4	3
Point Clare - Koolewong	0	5	3
Point Clare - Koolewong	1	2	786
Point Clare - Koolewong	1	3	345
Point Clare - Koolewong	1	4	366
Point Clare - Koolewong	1	5	140
Point Clare - Koolewong	1	6	55
Saratoga - Davistown	0	1	576
Saratoga - Davistown	0	2	38
Saratoga - Davistown	0	3	6
Saratoga - Davistown	1	2	841
Saratoga - Davistown	1	3	376
Saratoga - Davistown	1	4	448
Saratoga - Davistown	1	5	179
Saratoga - Davistown	1	6	65
Terrigal - North Avoca	0	1	1029
Terrigal - North Avoca	0	2	142
Terrigal - North Avoca	0	3	42
Terrigal - North Avoca	0	4	18
Terrigal - North Avoca	0	5	4
Terrigal - North Avoca	1	2	1560
Terrigal - North Avoca	1	3	756
Terrigal - North Avoca	1	4	807
Terrigal - North Avoca	1	5	333
Terrigal - North Avoca	1	6	137
Umina - Booker Bay - Patonga	0	1	3020
Umina - Booker Bay - Patonga	0	2	296
Umina - Booker Bay - Patonga	0	3	24
Umina - Booker Bay - Patonga	0	4	6
Umina - Booker Bay - Patonga	0	5	5
Umina - Booker Bay - Patonga	1	2	3081
Umina - Booker Bay - Patonga	1	3	1310
Umina - Booker Bay - Patonga	1	4	1140
Umina - Booker Bay - Patonga	1	5	413
Umina - Booker Bay - Patonga	1	6	226
Wamberal - Forresters Beach	0	1	561
Wamberal - Forresters Beach	0	2	57
Wamberal - Forresters Beach	0	3	21
Wamberal - Forresters Beach	0	4	7
Wamberal - Forresters Beach	1	2	1033
Wamberal - Forresters Beach	1	3	510
Wamberal - Forresters Beach	1	4	642
Wamberal - Forresters Beach	1	5	327
Wamberal - Forresters Beach	1	6	111
Woy Woy - Blackwall	0	1	1977
Woy Woy - Blackwall	0	2	172
Woy Woy - Blackwall	0	3	19
Woy Woy - Blackwall	0	4	7
Woy Woy - Blackwall	0	5	4
Woy Woy - Blackwall	1	2	1788
Woy Woy - Blackwall	1	3	735
Woy Woy - Blackwall	1	4	667
Woy Woy - Blackwall	1	5	249
Woy Woy - Blackwall	1	6	109
Wyoming	0	1	1150
Wyoming	0	2	118
Wyoming	0	3	8
Wyoming	0	4	8
Wyoming	1	2	1228
Wyoming	1	3	633
Wyoming	1	4	602
Wyoming	1	5	265
Wyoming	1	6	136
Bateau Bay - Killarney Vale	0	1	2049
Bateau Bay - Killarney Vale	0	2	148
Bateau Bay - Killarney Vale	0	3	25
Bateau Bay - Killarney Vale	0	4	8
Bateau Bay - Killarney Vale	0	5	3
Bateau Bay - Killarney Vale	1	2	2486
Bateau Bay - Killarney Vale	1	3	1196
Bateau Bay - Killarney Vale	1	4	1243
Bateau Bay - Killarney Vale	1	5	575
Bateau Bay - Killarney Vale	1	6	227
Blue Haven - San Remo	0	1	656
Blue Haven - San Remo	0	2	109
Blue Haven - San Remo	0	3	13
Blue Haven - San Remo	0	4	10
Blue Haven - San Remo	1	2	1110
Blue Haven - San Remo	1	3	618
Blue Haven - San Remo	1	4	638
Blue Haven - San Remo	1	5	342
Blue Haven - San Remo	1	6	199
Budgewoi - Buff Point - Halekulani	0	1	1101
Budgewoi - Buff Point - Halekulani	0	2	102
Budgewoi - Buff Point - Halekulani	0	3	17
Budgewoi - Buff Point - Halekulani	0	4	6
Budgewoi - Buff Point - Halekulani	1	2	1278
Budgewoi - Buff Point - Halekulani	1	3	495
Budgewoi - Buff Point - Halekulani	1	4	467
Budgewoi - Buff Point - Halekulani	1	5	182
Budgewoi - Buff Point - Halekulani	1	6	91
Chittaway Bay - Tumbi Umbi	0	1	1095
Chittaway Bay - Tumbi Umbi	0	2	98
Chittaway Bay - Tumbi Umbi	0	3	9
Chittaway Bay - Tumbi Umbi	0	4	6
Chittaway Bay - Tumbi Umbi	1	2	1628
Chittaway Bay - Tumbi Umbi	1	3	847
Chittaway Bay - Tumbi Umbi	1	4	968
Chittaway Bay - Tumbi Umbi	1	5	437
Chittaway Bay - Tumbi Umbi	1	6	206
Gorokan - Kanwal - Charmhaven	0	1	2374
Gorokan - Kanwal - Charmhaven	0	2	237
Gorokan - Kanwal - Charmhaven	0	3	29
Gorokan - Kanwal - Charmhaven	0	5	3
Gorokan - Kanwal - Charmhaven	1	2	2491
Gorokan - Kanwal - Charmhaven	1	3	1215
Gorokan - Kanwal - Charmhaven	1	4	1024
Gorokan - Kanwal - Charmhaven	1	5	499
Gorokan - Kanwal - Charmhaven	1	6	292
Jilliby - Yarramalong	0	1	143
Jilliby - Yarramalong	0	2	17
Jilliby - Yarramalong	0	3	3
Jilliby - Yarramalong	1	2	321
Jilliby - Yarramalong	1	3	141
Jilliby - Yarramalong	1	4	186
Jilliby - Yarramalong	1	5	100
Jilliby - Yarramalong	1	6	73
Lake Munmorah - Mannering Park	0	1	1222
Lake Munmorah - Mannering Park	0	2	99
Lake Munmorah - Mannering Park	0	3	5
Lake Munmorah - Mannering Park	1	2	1596
Lake Munmorah - Mannering Park	1	3	512
Lake Munmorah - Mannering Park	1	4	511
Lake Munmorah - Mannering Park	1	5	213
Lake Munmorah - Mannering Park	1	6	106
Ourimbah - Fountaindale	0	1	308
Ourimbah - Fountaindale	0	2	37
Ourimbah - Fountaindale	0	3	5
Ourimbah - Fountaindale	0	4	3
Ourimbah - Fountaindale	0	5	4
Ourimbah - Fountaindale	1	2	531
Ourimbah - Fountaindale	1	3	253
Ourimbah - Fountaindale	1	4	302
Ourimbah - Fountaindale	1	5	134
Ourimbah - Fountaindale	1	6	74
Summerland Point - Gwandalan	0	1	480
Summerland Point - Gwandalan	0	2	70
Summerland Point - Gwandalan	0	3	5
Summerland Point - Gwandalan	1	2	747
Summerland Point - Gwandalan	1	3	352
Summerland Point - Gwandalan	1	4	310
Summerland Point - Gwandalan	1	5	150
Summerland Point - Gwandalan	1	6	47
The Entrance	0	1	2356
The Entrance	0	2	232
The Entrance	0	3	32
The Entrance	0	4	7
The Entrance	1	2	2011
The Entrance	1	3	769
The Entrance	1	4	610
The Entrance	1	5	238
The Entrance	1	6	114
Toukley - Norah Head	0	1	1293
Toukley - Norah Head	0	2	131
Toukley - Norah Head	0	3	10
Toukley - Norah Head	1	2	1235
Toukley - Norah Head	1	3	514
Toukley - Norah Head	1	4	415
Toukley - Norah Head	1	5	183
Toukley - Norah Head	1	6	83
Tuggerah - Kangy Angy	0	1	331
Tuggerah - Kangy Angy	0	2	40
Tuggerah - Kangy Angy	0	3	4
Tuggerah - Kangy Angy	0	4	3
Tuggerah - Kangy Angy	1	2	504
Tuggerah - Kangy Angy	1	3	316
Tuggerah - Kangy Angy	1	4	320
Tuggerah - Kangy Angy	1	5	157
Tuggerah - Kangy Angy	1	6	77
Warnervale - Wadalba	0	1	680
Warnervale - Wadalba	0	2	87
Warnervale - Wadalba	0	4	3
Warnervale - Wadalba	0	5	10
Warnervale - Wadalba	1	2	1255
Warnervale - Wadalba	1	3	751
Warnervale - Wadalba	1	4	1068
Warnervale - Wadalba	1	5	544
Warnervale - Wadalba	1	6	273
Wyong	0	1	883
Wyong	0	2	117
Wyong	0	3	11
Wyong	0	4	10
Wyong	1	2	961
Wyong	1	3	513
Wyong	1	4	407
Wyong	1	5	203
Wyong	1	6	118
Bathurst	0	1	2700
Bathurst	0	2	334
Bathurst	0	3	83
Bathurst	0	4	36
Bathurst	0	5	10
Bathurst	1	2	2590
Bathurst	1	3	1188
Bathurst	1	4	1089
Bathurst	1	5	442
Bathurst	1	6	209
Bathurst - East	0	1	709
Bathurst - East	0	2	69
Bathurst - East	0	3	14
Bathurst - East	0	4	3
Bathurst - East	0	6	3
Bathurst - East	1	2	1122
Bathurst - East	1	3	565
Bathurst - East	1	4	667
Bathurst - East	1	5	337
Bathurst - East	1	6	168
Bathurst Region	0	1	503
Bathurst Region	0	2	45
Bathurst Region	1	2	812
Bathurst Region	1	3	325
Bathurst Region	1	4	331
Bathurst Region	1	5	175
Bathurst Region	1	6	78
Oberon	0	1	481
Oberon	0	2	35
Oberon	0	3	3
Oberon	1	2	624
Oberon	1	3	193
Oberon	1	4	199
Oberon	1	5	91
Oberon	1	6	50
Condobolin	0	1	698
Condobolin	0	2	32
Condobolin	0	3	8
Condobolin	1	2	801
Condobolin	1	3	299
Condobolin	1	4	290
Condobolin	1	5	162
Condobolin	1	6	81
Cowra	0	1	1160
Cowra	0	2	71
Cowra	0	3	9
Cowra	1	2	1222
Cowra	1	3	475
Cowra	1	4	356
Cowra	1	5	173
Cowra	1	6	98
Cowra Region	0	1	630
Cowra Region	0	2	37
Cowra Region	0	3	3
Cowra Region	1	2	765
Cowra Region	1	3	246
Cowra Region	1	4	237
Cowra Region	1	5	123
Cowra Region	1	6	53
Forbes	0	1	1111
Forbes	0	2	78
Forbes	0	3	10
Forbes	1	2	1310
Forbes	1	3	465
Forbes	1	4	401
Forbes	1	5	254
Forbes	1	6	108
Grenfell	0	1	471
Grenfell	0	2	33
Grenfell	0	3	3
Grenfell	1	2	558
Grenfell	1	3	147
Grenfell	1	4	125
Grenfell	1	5	79
Grenfell	1	6	31
Parkes (NSW)	0	1	1180
Parkes (NSW)	0	2	59
Parkes (NSW)	0	3	8
Parkes (NSW)	0	4	5
Parkes (NSW)	0	5	3
Parkes (NSW)	1	2	1257
Parkes (NSW)	1	3	539
Parkes (NSW)	1	4	481
Parkes (NSW)	1	5	276
Parkes (NSW)	1	6	152
Parkes Region	0	1	363
Parkes Region	0	2	28
Parkes Region	0	3	3
Parkes Region	1	2	446
Parkes Region	1	3	147
Parkes Region	1	4	125
Parkes Region	1	5	75
Parkes Region	1	6	50
West Wyalong	0	1	664
West Wyalong	0	2	23
West Wyalong	1	2	787
West Wyalong	1	3	248
West Wyalong	1	4	205
West Wyalong	1	5	155
West Wyalong	1	6	81
Lithgow	0	1	1800
Lithgow	0	2	107
Lithgow	0	3	4
Lithgow	0	4	3
Lithgow	1	2	1538
Lithgow	1	3	652
Lithgow	1	4	539
Lithgow	1	5	225
Lithgow	1	6	108
Lithgow Region	0	1	753
Lithgow Region	0	2	63
Lithgow Region	1	2	1036
Lithgow Region	1	3	385
Lithgow Region	1	4	386
Lithgow Region	1	5	172
Lithgow Region	1	6	79
Mudgee	0	1	1198
Mudgee	0	2	111
Mudgee	0	3	21
Mudgee	0	4	3
Mudgee	1	2	1308
Mudgee	1	3	643
Mudgee	1	4	579
Mudgee	1	5	273
Mudgee	1	6	117
Mudgee Region - East	0	1	503
Mudgee Region - East	0	2	47
Mudgee Region - East	0	3	3
Mudgee Region - East	1	2	481
Mudgee Region - East	1	3	142
Mudgee Region - East	1	4	127
Mudgee Region - East	1	5	61
Mudgee Region - East	1	6	30
Mudgee Region - West	0	1	982
Mudgee Region - West	0	2	70
Mudgee Region - West	0	3	5
Mudgee Region - West	0	4	3
Mudgee Region - West	1	2	1316
Mudgee Region - West	1	3	456
Mudgee Region - West	1	4	445
Mudgee Region - West	1	5	235
Mudgee Region - West	1	6	117
Blayney	0	1	717
Blayney	0	2	43
Blayney	0	3	4
Blayney	1	2	919
Blayney	1	3	366
Blayney	1	4	334
Blayney	1	5	190
Blayney	1	6	93
Orange	0	1	2643
Orange	0	2	198
Orange	0	3	22
Orange	0	4	14
Orange	0	5	3
Orange	1	2	2252
Orange	1	3	957
Orange	1	4	755
Orange	1	5	373
Orange	1	6	172
Orange - North	0	1	1466
Orange - North	0	2	157
Orange - North	0	3	33
Orange - North	0	4	21
Orange - North	0	5	10
Orange - North	0	6	3
Orange - North	1	2	2113
Orange - North	1	3	1015
Orange - North	1	4	1191
Orange - North	1	5	535
Orange - North	1	6	251
Orange Region	0	1	787
Orange Region	0	2	51
Orange Region	0	3	7
Orange Region	1	2	1373
Orange Region	1	3	539
Orange Region	1	4	631
Orange Region	1	5	369
Orange Region	1	6	160
Grafton	0	1	2282
Grafton	0	2	192
Grafton	0	3	17
Grafton	0	4	11
Grafton	1	2	2343
Grafton	1	3	925
Grafton	1	4	780
Grafton	1	5	379
Grafton	1	6	224
Grafton Region	0	1	1368
Grafton Region	0	2	177
Grafton Region	0	3	14
Grafton Region	1	2	2130
Grafton Region	1	3	727
Grafton Region	1	4	612
Grafton Region	1	5	338
Grafton Region	1	6	212
Maclean - Yamba - Iluka	0	1	2030
Maclean - Yamba - Iluka	0	2	184
Maclean - Yamba - Iluka	0	3	15
Maclean - Yamba - Iluka	1	2	2796
Maclean - Yamba - Iluka	1	3	750
Maclean - Yamba - Iluka	1	4	559
Maclean - Yamba - Iluka	1	5	271
Maclean - Yamba - Iluka	1	6	123
Bellingen	0	1	555
Bellingen	0	2	71
Bellingen	0	3	4
Bellingen	1	2	717
Bellingen	1	3	314
Bellingen	1	4	301
Bellingen	1	5	125
Bellingen	1	6	69
Coffs Harbour - North	0	1	2040
Coffs Harbour - North	0	2	216
Coffs Harbour - North	0	3	37
Coffs Harbour - North	0	4	14
Coffs Harbour - North	0	5	9
Coffs Harbour - North	1	2	2154
Coffs Harbour - North	1	3	923
Coffs Harbour - North	1	4	757
Coffs Harbour - North	1	5	347
Coffs Harbour - North	1	6	190
Coffs Harbour - South	0	1	1326
Coffs Harbour - South	0	2	166
Coffs Harbour - South	0	3	21
Coffs Harbour - South	0	4	7
Coffs Harbour - South	0	5	3
Coffs Harbour - South	0	6	3
Coffs Harbour - South	1	2	1240
Coffs Harbour - South	1	3	493
Coffs Harbour - South	1	4	358
Coffs Harbour - South	1	5	169
Coffs Harbour - South	1	6	103
Coramba - Nana Glen - Bucca	0	1	215
Coramba - Nana Glen - Bucca	0	2	39
Coramba - Nana Glen - Bucca	0	3	3
Coramba - Nana Glen - Bucca	0	4	3
Coramba - Nana Glen - Bucca	1	2	443
Coramba - Nana Glen - Bucca	1	3	209
Coramba - Nana Glen - Bucca	1	4	199
Coramba - Nana Glen - Bucca	1	5	97
Coramba - Nana Glen - Bucca	1	6	60
Dorrigo	0	1	441
Dorrigo	0	2	42
Dorrigo	1	2	466
Dorrigo	1	3	139
Dorrigo	1	4	123
Dorrigo	1	5	59
Dorrigo	1	6	27
Korora - Emerald Beach	0	1	530
Korora - Emerald Beach	0	2	92
Korora - Emerald Beach	0	3	7
Korora - Emerald Beach	0	4	4
Korora - Emerald Beach	1	2	1135
Korora - Emerald Beach	1	3	480
Korora - Emerald Beach	1	4	509
Korora - Emerald Beach	1	5	222
Korora - Emerald Beach	1	6	86
Sawtell - Boambee	0	1	1936
Sawtell - Boambee	0	2	224
Sawtell - Boambee	0	3	30
Sawtell - Boambee	0	4	6
Sawtell - Boambee	1	2	2488
Sawtell - Boambee	1	3	1043
Sawtell - Boambee	1	4	964
Sawtell - Boambee	1	5	444
Sawtell - Boambee	1	6	229
Urunga	0	1	585
Urunga	0	2	50
Urunga	0	3	3
Urunga	1	2	716
Urunga	1	3	241
Urunga	1	4	204
Urunga	1	5	66
Urunga	1	6	35
Woolgoolga - Arrawarra	0	1	1149
Woolgoolga - Arrawarra	0	2	94
Woolgoolga - Arrawarra	0	3	19
Woolgoolga - Arrawarra	0	4	9
Woolgoolga - Arrawarra	0	5	4
Woolgoolga - Arrawarra	0	6	13
Woolgoolga - Arrawarra	1	2	1617
Woolgoolga - Arrawarra	1	3	629
Woolgoolga - Arrawarra	1	4	589
Woolgoolga - Arrawarra	1	5	272
Woolgoolga - Arrawarra	1	6	155
Bourke - Brewarrina	0	1	395
Bourke - Brewarrina	0	2	33
Bourke - Brewarrina	0	3	4
Bourke - Brewarrina	1	2	376
Bourke - Brewarrina	1	3	174
Bourke - Brewarrina	1	4	140
Bourke - Brewarrina	1	5	87
Bourke - Brewarrina	1	6	74
Cobar	0	1	503
Cobar	0	2	34
Cobar	0	3	3
Cobar	1	2	550
Cobar	1	3	188
Cobar	1	4	209
Cobar	1	5	112
Cobar	1	6	55
Coonamble	0	1	448
Coonamble	0	2	37
Coonamble	1	2	470
Coonamble	1	3	190
Coonamble	1	4	145
Coonamble	1	5	80
Coonamble	1	6	58
Nyngan - Warren	0	1	585
Nyngan - Warren	0	2	34
Nyngan - Warren	0	3	6
Nyngan - Warren	1	2	620
Nyngan - Warren	1	3	214
Nyngan - Warren	1	4	192
Nyngan - Warren	1	5	111
Nyngan - Warren	1	6	69
Walgett - Lightning Ridge	0	1	887
Walgett - Lightning Ridge	0	2	74
Walgett - Lightning Ridge	0	3	8
Walgett - Lightning Ridge	0	5	3
Walgett - Lightning Ridge	1	2	702
Walgett - Lightning Ridge	1	3	270
Walgett - Lightning Ridge	1	4	232
Walgett - Lightning Ridge	1	5	111
Walgett - Lightning Ridge	1	6	109
Broken Hill	0	1	2532
Broken Hill	0	2	167
Broken Hill	0	3	13
Broken Hill	0	4	3
Broken Hill	1	2	2361
Broken Hill	1	3	936
Broken Hill	1	4	725
Broken Hill	1	5	296
Broken Hill	1	6	142
Far West	0	1	285
Far West	0	2	12
Far West	0	3	5
Far West	1	2	213
Far West	1	3	105
Far West	1	4	91
Far West	1	5	45
Far West	1	6	49
Coonabarabran	0	1	959
Coonabarabran	0	2	53
Coonabarabran	0	3	6
Coonabarabran	1	2	1121
Coonabarabran	1	3	326
Coonabarabran	1	4	305
Coonabarabran	1	5	170
Coonabarabran	1	6	82
Dubbo - East	0	1	845
Dubbo - East	0	2	96
Dubbo - East	0	3	8
Dubbo - East	0	4	4
Dubbo - East	1	2	1115
Dubbo - East	1	3	570
Dubbo - East	1	4	507
Dubbo - East	1	5	239
Dubbo - East	1	6	141
Dubbo - South	0	1	1864
Dubbo - South	0	2	167
Dubbo - South	0	3	45
Dubbo - South	0	4	9
Dubbo - South	1	2	1877
Dubbo - South	1	3	973
Dubbo - South	1	4	749
Dubbo - South	1	5	406
Dubbo - South	1	6	192
Dubbo - West	0	1	735
Dubbo - West	0	2	83
Dubbo - West	0	3	19
Dubbo - West	0	4	6
Dubbo - West	1	2	959
Dubbo - West	1	3	480
Dubbo - West	1	4	444
Dubbo - West	1	5	215
Dubbo - West	1	6	119
Dubbo Region	0	1	302
Dubbo Region	0	2	23
Dubbo Region	0	3	3
Dubbo Region	1	2	645
Dubbo Region	1	3	299
Dubbo Region	1	4	310
Dubbo Region	1	5	159
Dubbo Region	1	6	75
Gilgandra	0	1	476
Gilgandra	0	2	30
Gilgandra	1	2	594
Gilgandra	1	3	189
Gilgandra	1	4	178
Gilgandra	1	5	111
Gilgandra	1	6	48
Narromine	0	1	661
Narromine	0	2	46
Narromine	0	3	3
Narromine	1	2	808
Narromine	1	3	306
Narromine	1	4	255
Narromine	1	5	174
Narromine	1	6	96
Wellington	0	1	917
Wellington	0	2	67
Wellington	0	3	3
Wellington	1	2	940
