SA2_NAME16	medianTotalPersonalIncome
Bolton Point - Teralba	28184
Bonnells Bay - Silverwater	30212
Edgeworth - Cameron Park	35256
Morisset - Cooranbong	27144
Toronto - Awaba	29640
Wangi Wangi - Rathmines	31460
West Wallsend - Barnsley - Killingworth	32032
Adamstown - Kotara	37076
Beresfield - Hexham	26728
Hamilton - Broadmeadow	35464
Lambton - New Lambton	37804
Maryland - Fletcher - Minmi	36712
Mayfield - Warabrook	32188
Merewether - The Junction	46020
Newcastle - Cooks Hill	48360
Newcastle Port - Kooragang	37700
Shortland - Jesmond	20800
Stockton - Fullerton Cove	30680
Wallsend - Elermore Vale	30212
Waratah - North Lambton	30836
Wickham - Carrington - Tighes Hill	39208
Ballina	28912
Ballina Region	31772
Bangalow	34268
Brunswick Heads - Ocean Shores	29432
Byron Bay	34008
Evans Head	25896
Lennox Head - Skennars Head	36764
Mullumbimby	27040
Casino	25584
Casino Region	24440
Goonellabah	29952
Kyogle	24128
Lismore	26832
Lismore Region	29484
Kingscliff - Fingal Head	31980
Murwillumbah	26052
Murwillumbah Region	26676
Pottsville	29432
Tweed Heads	27404
Banora Point	28340
Terranora - North Tumblegum	32656
Tweed Heads South	24596
Griffith (NSW)	34944
Griffith Region	35048
Leeton	31720
Narrandera	29796
Tumbarumba	30264
Tumut	28756
Tumut Region	31252
Cootamundra	27248
Gundagai	29640
Junee	31096
Temora	27768
Wagga Wagga - East	37440
Wagga Wagga - North	32812
Wagga Wagga - South	35932
Wagga Wagga - West	34424
Wagga Wagga Region	35724
Berry - Kangaroo Valley	31148
Callala Bay - Currarong	25116
Culburra Beach	26000
Ettrema - Sassafras - Budawang	36712
Huskisson - Vincentia	32604
North Nowra - Bomaderry	29224
Nowra	27248
St Georges Basin - Erowal Bay	24180
Sussex Inlet - Berrara	23608
Tomerong - Wandandian - Woollamia	30316
Ulladulla	25532
Ulladulla Region	25480
Bowral	34580
Hill Top - Colo Vale	33904
Mittagong	32240
Moss Vale - Berrima	32760
Robertson - Fitzroy Falls	36868
Southern Highlands	33228
Baulkham Hills (East)	41548
Baulkham Hills (West) - Bella Vista	41340
Glenhaven	41340
West Pennant Hills	45656
Castle Hill - Central	42588
Castle Hill - East	33592
Castle Hill - North	41132
Castle Hill - South	42016
Castle Hill - West	45500
Cherrybrook	39936
Kellyville	45344
Dural - Kenthurst - Wisemans Ferry	39000
Galston - Laughtondale	38532
Bilpin - Colo - St Albans	33280
Kurrajong Heights - Ebenezer	40404
Pitt Town - McGraths Hill	40872
Rouse Hill - Beaumont Hills	46540
Blacktown (East) - Kings Park	34684
Blacktown (North) - Marayong	31668
Doonside - Woodcroft	33956
Lalor Park - Kings Langley	36348
Seven Hills - Toongabbie	34216
Blacktown (South)	32396
Blacktown (West)	32084
Glenwood	40820
Parklea - Kellyville Ridge	49816
Riverstone - Marsden Park	40040
Acacia Gardens	47060
Quakers Hill	41912
Bidwill - Hebersham - Emerton	24492
Glendenning - Dean Park	36088
Hassall Grove - Plumpton	35932
Lethbridge Park - Tregear	28756
Mount Druitt - Whalan	25324
Prospect Reservoir	45500
Rooty Hill - Minchinbury	34476
Banksmeadow	53612
Botany	46800
Mascot - Eastlakes	35724
Pagewood - Hillsdale - Daceyville	33436
Port Botany Industrial	46800
Sydney Airport	71500
Marrickville	41132
Petersham - Stanmore	53976
Sydenham - Tempe - St Peters	48152
Darlinghurst	66820
Erskineville - Alexandria	70720
Glebe - Forest Lodge	49400
Newtown - Camperdown - Darlington	47944
Potts Point - Woolloomooloo	67808
Pyrmont - Ultimo	39572
Redfern - Chippendale	41184
Surry Hills	60320
Sydney - Haymarket - The Rocks	32968
Waterloo - Beaconsfield	44772
Bondi - Tamarama - Bronte	60944
Bondi Beach - North Bondi	63804
Bondi Junction - Waverly	56108
Centennial Park	
Double Bay - Bellevue Hill	73112
Dover Heights	55848
Paddington - Moore Park	72436
Rose Bay - Vaucluse - Watsons Bay	60268
Woollahra	71864
Coogee - Clovelly	62244
Malabar - La Perouse - Chifley	38220
Kensington (NSW)	26572
Kingsford	25012
Maroubra - North	45344
Maroubra - South	39624
Maroubra - West	36712
Randwick - North	59956
Randwick - South	53976
Bass Hill - Georges Hall	24648
Chullora	40508
Condell Park	25480
Greenacre - Mount Lewis	22672
Padstow	32656
Panania - Milperra - Picnic Point	36140
Revesby	32552
Yagoona - Birrong	24336
Bankstown - North	24180
Bankstown - South	22880
Belmore - Belfield	26936
Canterbury (South) - Campsie	26052
Kingsgrove (North) - Earlwood	34164
Punchbowl	22256
Roselands	28600
Lakemba	22204
Wiley Park	22984
Hurstville	25116
Mortdale - Penshurst	37960
Narwee - Beverly Hills	28808
Oatley - Hurstville Grove	40456
Peakhurst - Lugarno	35464
Riverwood	23816
South Hurstville - Blakehurst	32448
Arncliffe - Bardwell Valley	35932
Bexley	31564
Kingsgrove (South) - Bardwell Park	32604
Kogarah	35932
Kogarah Bay - Carlton - Allawah	34684
Monterey - Brighton-le-Sands - Kyeemagh	36712
Rockdale - Banksia	33696
Sans Souci - Ramsgate	38532
Concord - Mortlake - Cabarita	44824
Concord West - North Strathfield	40196
Drummoyne - Rodd Point	56212
Five Dock - Abbotsford	49088
Balmain	71552
Leichhardt - Annandale	58552
Lilyfield - Rozelle	69264
Ashfield	35568
Burwood - Croydon	27664
Canterbury (North) - Ashbury	38844
Croydon Park - Enfield	34476
Dulwich Hill - Lewisham	47736
Haberfield - Summer Hill	47632
Homebush	36556
Strathfield	34476
Strathfield South	36660
Chatswood (East) - Artarmon	41808
Chatswood (West) - Lane Cove North	52104
Lane Cove - Greenwich	60268
St Leonards - Naremburn	69940
Willoughby - Castle Cove - Northbridge	55172
Asquith - Mount Colah	42224
Berowra - Brooklyn - Cowan	42484
Normanhurst - Thornleigh - Westleigh	42380
Hornsby - East	39052
Hornsby - West	39052
Waitara - Wahroonga (West)	42380
Gordon - Killara	45864
Lindfield - Roseville	51896
Pymble	51636
St Ives	48464
Turramurra	47320
Wahroonga (East) - Warrawee	49348
Cremorne - Cammeray	70564
Crows Nest - Waverton	71240
Mosman	67340
Neutral Bay - Kirribilli	71032
North Sydney - Lavender Bay	76804
Balgowlah - Clontarf - Seaforth	56680
Manly - Fairlight	66196
Avalon - Palm Beach	46020
Bayview - Elanora Heights	44408
Newport - Bilgola	47268
Warriewood - Mona Vale	44720
Beacon Hill - Narraweena	37752
Cromer	40196
Dee Why - North Curl Curl	45448
Forestville - Killarney Heights	40976
Frenchs Forest - Belrose	43056
Freshwater - Brookvale	54964
Manly Vale - Allambie Heights	45500
Narrabeen - Collaroy	47528
Terrey Hills - Duffys Forest	42900
Camden - Ellis Lane	40248
Elderslie - Harrington Park	42276
Mount Annan - Currans Hill	43940
Bradbury - Wedderburn	31044
Campbelltown - Woodbine	31980
Claymore - Eagle Vale - Raby	34632
Holsworthy Military Area	
Ingleburn - Denham Court	34788
Leumeah - Minto Heights	34216
Macquarie Fields - Glenfield	30888
Minto - St Andrews	31460
Rosemeadow - Glen Alpine	33280
Bargo	33800
Douglas Park - Appin	43264
Picton - Tahmoor - Buxton	36192
The Oaks - Oakdale	37960
Blackheath - Megalong Valley	30836
Blaxland - Warrimoo - Lapstone	42224
Blue Mountains - North	37700
Katoomba - Leura	29536
Lawson - Hazelbrook - Linden	34788
Springwood - Winmalee	39000
Wentworth Falls	32812
Blue Mountains - South	
Cambridge Park	37752
Castlereagh - Cranebrook	42276
Emu Plains - Leonay	40144
Glenmore Park - Regentville	44460
Jamisontown - South Penrith	37388
Kingswood - Werrington	35204
Mulgoa - Luddenham - Orchard Hills	43472
Penrith	32240
Warragamba - Silverdale	40352
Richmond - Clarendon	34216
Windsor - Bligh Park	37180
Yarramundi - Londonderry	36088
Erskine Park	40612
St Clair	38896
Colyton - Oxley Park	32448
St Marys - North St Marys	31200
Homebush Bay - Silverwater	51116
Rookwood Cemetery	
Auburn - Central	21944
Auburn - North	23660
Auburn - South	22464
Berala	24492
Lidcombe	27040
Regents Park	25012
Carlingford	34372
Ermington - Rydalmere	33072
Oatlands - Dundas Valley	32812
Chester Hill - Sefton	23868
Fairfield - East	21996
Granville - Clyde	24544
Greystanes - Pemulwuy	36452
Guildford - South Granville	21840
Guildford West - Merrylands West	25740
Merrylands - Holroyd	27196
Smithfield Industrial	29900
Yennora Industrial	22100
North Parramatta	38220
North Rocks	40092
Northmead	43836
Parramatta - Rosehill	37700
Toongabbie - Constitution Hill	34736
Winston Hills	41808
Pendle Hill - Girraween	33176
Wentworthville - Westmead	33176
Epping - North Epping	38532
Pennant Hills - Cheltenham	45916
Eastwood - Denistone	32812
Gladesville - Huntleys Point	49400
Hunters Hill - Woolwich	50284
Macquarie Park - Marsfield	33176
North Ryde - East Ryde	38116
West Ryde - Meadowbank	41236
Putney	45136
Ryde	39208
Ashcroft - Busby - Miller	21320
Austral - Greendale	29380
Cobbitty - Leppington	43888
Badgerys Creek	31408
Cecil Hills	34944
Green Valley	26312
Hinchinbrook	32084
Hoxton Park - Carnes Hill - Horningsea Park	34944
West Hoxton - Middleton Grange	39052
Bonnyrigg Heights - Bonnyrigg	23712
Bossley Park - Abbotsbury	27092
Cabramatta - Lansvale	21060
Cabramatta West - Mount Pritchard	22880
Canley Vale - Canley Heights	21424
Edensor Park	25376
Fairfield	20540
Fairfield - West	21788
Greenfield Park - Prairiewood	23140
Horsley Park - Kemps Creek	35256
Smithfield - Wetherill Park	24336
St Johns Park - Wakeley	23972
Wetherill Park Industrial	22880
Casula	30368
Chipping Norton - Moorebank	37388
Holsworthy - Wattle Grove	43680
Liverpool	24232
Lurnea - Cartwright	22412
Prestons - Edmondson Park	36920
Warwick Farm	24804
Gymea - Grays Point	44356
Miranda - Yowie Bay	39156
Sylvania - Taren Point	38168
Caringbah	42328
Caringbah South	42328
Cronulla - Kurnell - Bundeena	50024
Lilli Pilli - Port Hacking - Dolans Bay	50648
Woolaware - Burraneer	47944
Heathcote - Waterfall	39624
Illawong - Alfords Point	43992
Menai - Lucas Heights - Woronora	43992
Oyster Bay - Como - Jannali	44876
Royal National Park	43316
Sutherland - Kirrawee	43576
Engadine	41808
Loftus - Yarrawarrah	42224
Woronora Heights	45084
Migratory - Offshore - Shipping (NSW)	28080
No usual address (NSW)	21060
Alfredton	36504
Ballarat	34840
Ballarat - North	31980
Ballarat - South	27456
Buninyong	33176
Delacombe	30940
Smythes Creek	33592
Wendouree - Miners Rest	26416
Bacchus Marsh Region	32448
Creswick - Clunes	26572
Daylesford	28600
Gordon (Vic.)	31408
Avoca	23608
Beaufort	25428
Golden Plains - North	26676
Maryborough (Vic.)	23816
Maryborough Region	22984
Bendigo	30004
California Gully - Eaglehawk	27716
East Bendigo - Kennington	31564
Flora Hill - Spring Gully	31772
Kangaroo Flat - Golden Square	29744
Maiden Gully	37440
Strathfieldsaye	38584
White Hills - Ascot	35204
Bendigo Region - South	35828
Castlemaine	29536
Castlemaine Region	26988
Heathcote	24284
Kyneton	32032
Woodend	38012
Bendigo Region - North	29016
Loddon	24232
Bannockburn	36764
Golden Plains - South	32604
Winchelsea	32084
Belmont	31252
Corio - Norlane	23348
Geelong	35360
Geelong West - Hamlyn Heights	34892
Grovedale	32396
Highton	34112
Lara	34632
Leopold	32604
Newcomb - Moolap	26520
Newtown (Vic.)	41288
North Geelong - Bell Park	27924
Clifton Springs	29328
Lorne - Anglesea	35984
Ocean Grove - Barwon Heads	37804
Portarlington	25584
Point Lonsdale - Queenscliff	34632
Torquay	39988
Alexandra	27144
Euroa	27352
Kilmore - Broadford	31564
Mansfield (Vic.)	30420
Nagambie	30056
Seymour	27872
Seymour Region	37076
Upper Yarra Valley	23816
Yea	27924
Benalla	27924
Benalla Region	28080
Rutherglen	31876
Wangaratta	30368
Wangaratta Region	32032
Beechworth	32032
Bright - Mount Beauty	30680
Chiltern - Indigo Valley	33956
Myrtleford	27664
Towong	27768
West Wodonga	34788
Wodonga	35204
Yackandandah	35828
Drouin	29432
Mount Baw Baw Region	30108
Trafalgar (Vic.)	31148
Warragul	31044
Alps - East	
Bairnsdale	29068
Bruthen - Omeo	27612
Lake King	
Lakes Entrance	25376
Orbost	23816
Paynesville	25584
Foster	25896
French Island	21424
Korumburra	28080
Leongatha	29380
Phillip Island	27508
Wilsons Promontory	71500
Wonthaggi - Inverloch	25792
Churchill	28912
Moe - Newborough	25168
Morwell	24440
Traralgon	33384
Yallourn North - Glengarry	31252
Alps - West	32448
Longford - Loch Sport	25636
Maffra	29588
Rosedale	31876
Sale	31460
Yarram	25168
Brunswick	42796
Brunswick East	47112
Brunswick West	38584
Coburg	35048
Pascoe Vale South	37596
Alphington - Fairfield	44460
Northcote	45812
Thornbury	40196
Ascot Vale	42848
Essendon - Aberfeldie	44616
Flemington	33436
Moonee Ponds	44720
Carlton	17576
Docklands	50440
East Melbourne	69732
Flemington Racecourse	55224
Kensington (Vic.)	52624
Melbourne	22568
North Melbourne	33592
Parkville	22724
South Yarra - West	63440
Southbank	51012
West Melbourne	
Albert Park	61360
Elwood	60528
Port Melbourne	63596
Port Melbourne Industrial	84500
South Melbourne	55536
St Kilda	53040
St Kilda East	51012
Armadale	55328
Prahran - Windsor	56316
South Yarra - East	57408
Toorak	63284
Abbotsford	55536
Carlton North - Princes Hill	50336
Collingwood	50388
Fitzroy	48100
Fitzroy North	52052
Richmond (Vic.)	57304
Yarra - North	55432
Ashburton (Vic.)	42536
Balwyn	37596
Balwyn North	36504
Camberwell	44408
Glen Iris - East	50180
Hawthorn	49556
Hawthorn East	50492
Kew	47944
Kew East	43680
Surrey Hills (West) - Canterbury	47320
Bulleen	31408
Doncaster	29744
Templestowe	35464
Templestowe Lower	33072
Doncaster East (North)	30836
Doncaster East (South)	28444
Blackburn	36868
Blackburn South	31824
Box Hill	27144
Box Hill North	32916
Burwood	21684
Burwood East	26728
Surrey Hills (East) - Mont Albert	45240
Beaumaris	45084
Brighton (Vic.)	54652
Brighton East	44512
Cheltenham - Highett (West)	42068
Hampton	42588
Sandringham - Black Rock	48204
Bentleigh - McKinnon	38480
Carnegie	37908
Caulfield - North	45344
Caulfield - South	43420
Elsternwick	50076
Hughesdale	36348
Murrumbeena	40456
Ormond - Glen Huntly	39156
Bentleigh East (North)	36816
Bentleigh East (South)	37284
Aspendale Gardens - Waterways	36504
Braeside	46800
Carrum - Patterson Lakes	39208
Chelsea - Bonbeach	39312
Chelsea Heights	35048
Cheltenham - Highett (East)	36816
Edithvale - Aspendale	41080
Mentone	40768
Moorabbin - Heatherton	36452
Moorabbin Airport	
Mordialloc - Parkdale	41964
Malvern - Glen Iris	54132
Malvern East	40924
Bundoora - East	28340
Greensborough	39052
Heidelberg - Rosanna	40352
Heidelberg West	28860
Ivanhoe	45448
Ivanhoe East - Eaglemont	49296
Montmorency - Briar Hill	40872
Viewbank - Yallambie	38324
Watsonia	35984
Kingsbury	22724
Reservoir - East	27924
Reservoir - West	28340
Preston - East	32500
Preston - West	34632
Eltham	41964
Hurstbridge	37960
Kinglake	34164
Panton Hill - St Andrews	38116
Plenty - Yarrambat	40768
Research - North Warrandyte	43784
Wattle Glen - Diamond Creek	39780
Bundoora - North	29016
Bundoora - West	25688
Lalor	23244
Mill Park - North	30732
Mill Park - South	30472
Thomastown	22100
Wallan	37128
Whittlesea	33124
Doreen	41288
Epping - East	29224
Epping - South	26104
Epping - West	35152
Mernda	40352
South Morang (North)	39572
South Morang (South)	33956
Wollert	36816
Airport West	35516
Essendon Airport	
Keilor	33488
Keilor East	29744
Niddrie - Essendon West	39728
Strathmore	42484
Gisborne	38948
Macedon	41392
Riddells Creek	39000
Romsey	34736
Coburg North	33228
Fawkner	23452
Pascoe Vale	38376
Glenroy	28080
Gowanbrae	41704
Hadfield	25168
Sunbury	35828
Sunbury - South	36296
Broadmeadows	21008
Campbellfield - Coolaroo	19604
Gladstone Park - Westmeadows	30576
Greenvale - Bulla	34736
Meadow Heights	19500
Melbourne Airport	47788
Roxburgh Park - Somerton	21008
Tullamarine	32292
Craigieburn - Central	29224
Craigieburn - North	35100
Craigieburn - South	30108
Craigieburn - West	33904
Mickleham - Yuroke	39884
Bayswater	33280
Knoxfield - Scoresby	33384
Lysterfield	39624
Rowville - Central	35776
Rowville - North	36244
Rowville - South	37648
Wantirna	33072
Wantirna South	31824
Boronia	34216
Ferntree Gully (North)	34164
Ferntree Gully (South) - Upper Ferntree Gully	34944
The Basin	37336
Donvale - Park Orchards	36712
Warrandyte - Wonga Park	40456
Bayswater North	36972
Croydon Hills - Warranwood	39052
Ringwood	34008
Ringwood East	36868
Ringwood North	38064
Croydon - East	35828
Croydon - West	33592
Croydon South	35516
Forest Hill	30264
Mitcham (Vic.)	38844
Nunawading	34476
Vermont	35672
Vermont South	30680
Belgrave - Selby	37596
Chirnside Park	35776
Healesville - Yarra Glen	31876
Kilsyth	34060
Lilydale - Coldstream	34580
Monbulk - Silvan	33020
Montrose	35932
Mooroolbark	35724
Mount Dandenong - Olinda	37856
Mount Evelyn	35256
Upwey - Tecoma	39156
Wandin - Seville	35672
Yarra Valley	29432
Beaconsfield - Officer	41184
Bunyip - Garfield	32864
Emerald - Cockatoo	36400
Koo Wee Rup	32292
Pakenham - North	35568
Pakenham - South	33644
Berwick - North	35256
Berwick - South	38324
Doveton	23348
Hallam	25376
Narre Warren North	35516
Endeavour Hills - North	30316
Endeavour Hills - South	29172
Narre Warren - North East	32760
Narre Warren - South West	30576
Cranbourne	30836
Cranbourne East	38688
Cranbourne North	34736
Cranbourne South	38584
Cranbourne West	36764
Hampton Park - Lynbrook	28080
Lynbrook - Lyndhurst	38064
Pearcedale - Tooradin	33852
Narre Warren South (East)	34736
Narre Warren South (West)	31876
Clarinda - Oakleigh South	27716
Clayton South	25428
Dandenong	23920
Dandenong North	25272
Dingley Village	36088
Keysborough	30212
Noble Park North	25792
Springvale	21268
Springvale South	23348
Noble Park - East	27768
Noble Park - West	23920
Ashwood - Chadstone	33696
Clayton	18148
Glen Waverley - East	29588
Glen Waverley - West	28704
Mount Waverley - North	32812
Mount Waverley - South	34320
Mulgrave	31668
Oakleigh - Huntingdale	32864
Wheelers Hill	32448
Ardeer - Albion	26780
Cairnlea	28548
Deer Park - Derrimut	29952
Delahey	25064
Keilor Downs	27040
Kings Park (Vic.)	22152
St Albans - North	22204
St Albans - South	21008
Sunshine	25688
Sunshine North	22932
Sunshine West	23140
Sydenham	31252
Taylors Lakes	33488
Altona	38168
Altona Meadows	30784
Altona North	28028
Newport	49972
Seabrook	35568
Williamstown	46020
Braybrook	25740
Footscray	32396
Maribyrnong	40508
Seddon - Kingsville	47008
West Footscray - Tottenham	36088
Yarraville	47996
Bacchus Marsh	33904
Hillside	38064
Melton	28444
Melton South	31980
Melton West	33540
Rockbank - Mount Cottrell	26624
Taylors Hill	36816
Burnside	28184
Burnside Heights	36296
Caroline Springs	38428
Hoppers Crossing - North	32240
Hoppers Crossing - South	27924
Laverton	33280
Tarneit	37180
Truganina	39156
Werribee - South	32760
Wyndham Vale	36036
Point Cook - East	43628
Point Cook - North	40456
Point Cook - South	45552
Werribee - East	27456
Werribee - West	34944
Carrum Downs	34892
Frankston	31564
Frankston North	27612
Frankston South	36712
Langwarrin	37388
Seaford (Vic.)	34528
Skye - Sandhurst	40560
Dromana	30992
Flinders	40196
Hastings - Somers	32656
Mornington	32500
Mount Eliza	39520
Mount Martha	37804
Point Nepean	30836
Rosebud - McCrae	26572
Somerville	34684
Ararat	29172
Ararat Region	29328
Horsham	32292
Horsham Region	31200
Nhill Region	26416
St Arnaud	24908
Stawell	27976
West Wimmera	28548
Yarriambiack	25532
Irymple	32292
Merbein	27508
Mildura Region	29640
Red Cliffs	28184
Mildura - North	27560
Mildura - South	29432
Buloke	24596
Gannawarra	25792
Kerang	26104
Robinvale	28444
Swan Hill	31408
Swan Hill Region	28392
Echuca	31512
Kyabram	28652
Lockington - Gunbower	29952
Rochester	27404
Rushworth	24856
Cobram	26156
Moira	28444
Numurkah	27924
Yarrawonga	26780
Mooroopna	28756
Shepparton - North	32760
Shepparton - South	29172
Shepparton Region - East	33228
Shepparton Region - West	29952
Glenelg (Vic.)	27976
Hamilton (Vic.)	29848
Portland	27768
Southern Grampians	30368
Camperdown	26988
Colac	30004
Colac Region	30316
Corangamite - North	26832
Corangamite - South	30160
Otway	28808
Moyne - East	31876
Moyne - West	32084
Warrnambool - North	32500
Warrnambool - South	31720
Migratory - Offshore - Shipping (Vic.)	156000
No usual address (Vic.)	20696
Alexandra Hills	36920
Belmont - Gumdale	42172
Birkdale	37388
Capalaba	36400
Thorneside	37700
Wellington Point	39156
Cleveland	34112
Ormiston	37388
Redland Bay	37440
Sheldon - Mount Cotton	47788
Thornlands	39052
Victoria Point	32032
Redland Islands	22724
Brisbane Port - Lytton	
Manly - Lota	40768
Manly West	39312
Murarrie	46280
Tingalpa	41392
Wakerley	53768
Wynnum	38428
Wynnum West - Hemmant	37388
Bald Hills	38428
Bridgeman Downs	44148
Carseldine	40040
Everton Park	43212
McDowall	45344
Aspley	38012
Chermside	35984
Chermside West	38532
Geebung	39416
Kedron - Gordon Park	48464
Stafford	41080
Stafford Heights	38792
Wavell Heights	49088
Boondall	34996
Brisbane Airport	51324
Eagle Farm - Pinkenba	52936
Northgate - Virginia	45760
Nudgee - Banyo	40508
Nundah	46488
Bracken Ridge	37180
Brighton (Qld)	38948
Deagon	34008
Sandgate - Shorncliffe	34788
Taigum - Fitzgibbon	37336
Zillmere	33852
Camp Hill	52208
Cannon Hill	46072
Carina	43732
Carina Heights	41860
Carindale	40248
Annerley	39416
Coorparoo	48620
Fairfield - Dutton Park	32760
Greenslopes	44564
Holland Park	41964
Holland Park West	44408
Woolloongabba	35776
Yeronga	45760
Eight Mile Plains	31772
Macgregor (Qld)	22880
Mansfield (Qld)	34060
Mount Gravatt	39572
Rochedale - Burbank	41340
Upper Mount Gravatt	29692
Wishart	35204
Coopers Plains	26832
Moorooka	40456
Robertson	24544
Salisbury - Nathan	34840
Tarragindi	46176
Algester	34996
Calamvale - Stretton	33592
Pallara - Willawong	41080
Parkinson - Drewvale	38532
Rocklea - Acacia Ridge	27040
Kuraby	32136
Runcorn	28808
Sunnybank	23972
Sunnybank Hills	28028
Jindalee - Mount Ommaney	41392
Middle Park - Jamboree Heights	39156
Riverhills	42952
Seventeen Mile Rocks - Sinnamon Park	46280
Westlake	41600
