SA2_NAME16	FamilyComposition	families_with_children
Wyoming	Blended family with no other children present	81
Wyoming	Intact family with no other children present	1023
Wyoming	Intact family with other children present	13
Wyoming	Other couple family with other children only	11
Wyoming	Step family with no other children present	95
Bateau Bay - Killarney Vale	Blended family with no other children present	147
Bateau Bay - Killarney Vale	Intact family with no other children present	2046
Bateau Bay - Killarney Vale	Intact family with other children present	25
Bateau Bay - Killarney Vale	Other couple family with other children only	18
Bateau Bay - Killarney Vale	Step family with no other children present	178
Bateau Bay - Killarney Vale	Step family with other children present	3
Blue Haven - San Remo	Blended family with no other children present	108
Blue Haven - San Remo	Blended family with other children present	3
Blue Haven - San Remo	Intact family with no other children present	965
Blue Haven - San Remo	Intact family with other children present	21
Blue Haven - San Remo	Other couple family with other children only	15
Blue Haven - San Remo	Step family with no other children present	117
Blue Haven - San Remo	Step family with other children present	7
Budgewoi - Buff Point - Halekulani	Blended family with no other children present	67
Budgewoi - Buff Point - Halekulani	Intact family with no other children present	701
Budgewoi - Buff Point - Halekulani	Intact family with other children present	13
Budgewoi - Buff Point - Halekulani	Other couple family with other children only	7
Budgewoi - Buff Point - Halekulani	Step family with no other children present	76
Budgewoi - Buff Point - Halekulani	Step family with other children present	4
Chittaway Bay - Tumbi Umbi	Blended family with no other children present	107
Chittaway Bay - Tumbi Umbi	Intact family with no other children present	1658
Chittaway Bay - Tumbi Umbi	Intact family with other children present	22
Chittaway Bay - Tumbi Umbi	Other couple family with other children only	14
Chittaway Bay - Tumbi Umbi	Step family with no other children present	181
Chittaway Bay - Tumbi Umbi	Step family with other children present	3
Gorokan - Kanwal - Charmhaven	Blended family with no other children present	140
Gorokan - Kanwal - Charmhaven	Blended family with other children present	3
Gorokan - Kanwal - Charmhaven	Intact family with no other children present	1682
Gorokan - Kanwal - Charmhaven	Intact family with other children present	45
Gorokan - Kanwal - Charmhaven	Other couple family with other children only	31
Gorokan - Kanwal - Charmhaven	Step family with no other children present	211
Gorokan - Kanwal - Charmhaven	Step family with other children present	8
Jilliby - Yarramalong	Blended family with no other children present	16
Jilliby - Yarramalong	Intact family with no other children present	384
Jilliby - Yarramalong	Intact family with other children present	5
Jilliby - Yarramalong	Other couple family with other children only	3
Jilliby - Yarramalong	Step family with no other children present	23
Lake Munmorah - Mannering Park	Blended family with no other children present	60
Lake Munmorah - Mannering Park	Intact family with no other children present	820
Lake Munmorah - Mannering Park	Intact family with other children present	15
Lake Munmorah - Mannering Park	Other couple family with other children only	6
Lake Munmorah - Mannering Park	Step family with no other children present	94
Ourimbah - Fountaindale	Blended family with no other children present	24
Ourimbah - Fountaindale	Blended family with other children present	3
Ourimbah - Fountaindale	Intact family with no other children present	544
Ourimbah - Fountaindale	Intact family with other children present	11
Ourimbah - Fountaindale	Other couple family with other children only	3
Ourimbah - Fountaindale	Step family with no other children present	41
Summerland Point - Gwandalan	Blended family with no other children present	46
Summerland Point - Gwandalan	Intact family with no other children present	525
Summerland Point - Gwandalan	Intact family with other children present	6
Summerland Point - Gwandalan	Other couple family with other children only	6
Summerland Point - Gwandalan	Step family with no other children present	61
Summerland Point - Gwandalan	Step family with other children present	3
The Entrance	Blended family with no other children present	62
The Entrance	Intact family with no other children present	975
The Entrance	Intact family with other children present	11
The Entrance	Other couple family with other children only	6
The Entrance	Step family with no other children present	126
The Entrance	Step family with other children present	9
Toukley - Norah Head	Blended family with no other children present	42
Toukley - Norah Head	Blended family with other children present	4
Toukley - Norah Head	Intact family with no other children present	672
Toukley - Norah Head	Intact family with other children present	15
Toukley - Norah Head	Other couple family with other children only	12
Toukley - Norah Head	Step family with no other children present	73
Tuggerah - Kangy Angy	Blended family with no other children present	29
Tuggerah - Kangy Angy	Blended family with other children present	3
Tuggerah - Kangy Angy	Intact family with no other children present	554
Tuggerah - Kangy Angy	Other couple family with other children only	3
Tuggerah - Kangy Angy	Step family with no other children present	80
Warnervale - Wadalba	Blended family with no other children present	146
Warnervale - Wadalba	Blended family with other children present	5
Warnervale - Wadalba	Intact family with no other children present	1722
Warnervale - Wadalba	Intact family with other children present	29
Warnervale - Wadalba	Other couple family with other children only	15
Warnervale - Wadalba	Step family with no other children present	181
Warnervale - Wadalba	Step family with other children present	6
Wyong	Blended family with no other children present	67
Wyong	Intact family with no other children present	667
Wyong	Intact family with other children present	9
Wyong	Other couple family with other children only	3
Wyong	Step family with no other children present	92
Wyong	Step family with other children present	3
Bathurst	Blended family with no other children present	121
Bathurst	Intact family with no other children present	1899
Bathurst	Intact family with other children present	18
Bathurst	Other couple family with other children only	11
Bathurst	Step family with no other children present	164
Bathurst - East	Blended family with no other children present	77
Bathurst - East	Blended family with other children present	3
Bathurst - East	Intact family with no other children present	1156
Bathurst - East	Intact family with other children present	12
Bathurst - East	Other couple family with other children only	5
Bathurst - East	Step family with no other children present	108
Bathurst - East	Step family with other children present	5
Bathurst Region	Blended family with no other children present	34
Bathurst Region	Intact family with no other children present	687
Bathurst Region	Intact family with other children present	8
Bathurst Region	Other couple family with other children only	5
Bathurst Region	Step family with no other children present	61
Bathurst Region	Step family with other children present	3
Oberon	Blended family with no other children present	21
Oberon	Intact family with no other children present	365
Oberon	Intact family with other children present	5
Oberon	Other couple family with other children only	5
Oberon	Step family with no other children present	24
Condobolin	Blended family with no other children present	28
Condobolin	Blended family with other children present	3
Condobolin	Intact family with no other children present	563
Condobolin	Intact family with other children present	17
Condobolin	Other couple family with other children only	10
Condobolin	Step family with no other children present	20
Cowra	Blended family with no other children present	41
Cowra	Intact family with no other children present	698
Cowra	Intact family with other children present	12
Cowra	Other couple family with other children only	6
Cowra	Step family with no other children present	65
Cowra Region	Blended family with no other children present	21
Cowra Region	Intact family with no other children present	457
Cowra Region	Other couple family with other children only	4
Cowra Region	Step family with no other children present	39
Cowra Region	Step family with other children present	3
Forbes	Blended family with no other children present	41
Forbes	Intact family with no other children present	836
Forbes	Intact family with other children present	11
Forbes	Other couple family with other children only	14
Forbes	Step family with no other children present	48
Forbes	Step family with other children present	5
Grenfell	Blended family with no other children present	20
Grenfell	Intact family with no other children present	281
Grenfell	Step family with no other children present	13
Parkes (NSW)	Blended family with no other children present	74
Parkes (NSW)	Intact family with no other children present	940
Parkes (NSW)	Intact family with other children present	13
Parkes (NSW)	Other couple family with other children only	13
Parkes (NSW)	Step family with no other children present	66
Parkes (NSW)	Step family with other children present	3
Parkes Region	Blended family with no other children present	22
Parkes Region	Intact family with no other children present	293
Parkes Region	Intact family with other children present	3
Parkes Region	Other couple family with other children only	4
Parkes Region	Step family with no other children present	16
West Wyalong	Blended family with no other children present	27
West Wyalong	Intact family with no other children present	483
West Wyalong	Intact family with other children present	3
West Wyalong	Other couple family with other children only	6
West Wyalong	Step family with no other children present	27
Lithgow	Blended family with no other children present	73
Lithgow	Intact family with no other children present	941
Lithgow	Intact family with other children present	12
Lithgow	Other couple family with other children only	16
Lithgow	Step family with no other children present	82
Lithgow Region	Blended family with no other children present	42
Lithgow Region	Blended family with other children present	4
Lithgow Region	Intact family with no other children present	680
Lithgow Region	Intact family with other children present	10
Lithgow Region	Other couple family with other children only	12
Lithgow Region	Step family with no other children present	56
Mudgee	Blended family with no other children present	67
Mudgee	Intact family with no other children present	1099
Mudgee	Intact family with other children present	8
Mudgee	Other couple family with other children only	13
Mudgee	Step family with no other children present	87
Mudgee Region - East	Blended family with no other children present	14
Mudgee Region - East	Intact family with no other children present	237
Mudgee Region - East	Intact family with other children present	3
Mudgee Region - East	Other couple family with other children only	4
Mudgee Region - East	Step family with no other children present	24
Mudgee Region - West	Blended family with no other children present	49
Mudgee Region - West	Intact family with no other children present	884
Mudgee Region - West	Intact family with other children present	17
Mudgee Region - West	Other couple family with other children only	14
Mudgee Region - West	Step family with no other children present	69
Blayney	Blended family with no other children present	36
Blayney	Intact family with no other children present	684
Blayney	Intact family with other children present	13
Blayney	Other couple family with other children only	9
Blayney	Step family with no other children present	66
Orange	Blended family with no other children present	92
Orange	Intact family with no other children present	1401
Orange	Intact family with other children present	18
Orange	Other couple family with other children only	14
Orange	Step family with no other children present	113
Orange	Step family with other children present	3
Orange - North	Blended family with no other children present	120
Orange - North	Blended family with other children present	3
Orange - North	Intact family with no other children present	2103
Orange - North	Intact family with other children present	17
Orange - North	Other couple family with other children only	17
Orange - North	Step family with no other children present	184
Orange - North	Step family with other children present	3
Orange Region	Blended family with no other children present	71
Orange Region	Intact family with no other children present	1319
Orange Region	Intact family with other children present	9
Orange Region	Other couple family with other children only	14
Orange Region	Step family with no other children present	84
Grafton	Blended family with no other children present	116
Grafton	Blended family with other children present	3
Grafton	Intact family with no other children present	1319
Grafton	Intact family with other children present	38
Grafton	Other couple family with other children only	23
Grafton	Step family with no other children present	125
Grafton	Step family with other children present	7
Grafton Region	Blended family with no other children present	84
Grafton Region	Blended family with other children present	4
Grafton Region	Intact family with no other children present	1171
Grafton Region	Intact family with other children present	37
Grafton Region	Other couple family with other children only	10
Grafton Region	Step family with no other children present	106
Grafton Region	Step family with other children present	3
Maclean - Yamba - Iluka	Blended family with no other children present	72
Maclean - Yamba - Iluka	Intact family with no other children present	1067
Maclean - Yamba - Iluka	Intact family with other children present	14
Maclean - Yamba - Iluka	Other couple family with other children only	12
Maclean - Yamba - Iluka	Step family with no other children present	91
Bellingen	Blended family with no other children present	36
Bellingen	Intact family with no other children present	499
Bellingen	Intact family with other children present	3
Bellingen	Other couple family with other children only	6
Bellingen	Step family with no other children present	43
Coffs Harbour - North	Blended family with no other children present	79
Coffs Harbour - North	Blended family with other children present	3
Coffs Harbour - North	Intact family with no other children present	1286
Coffs Harbour - North	Intact family with other children present	20
Coffs Harbour - North	Other couple family with other children only	16
Coffs Harbour - North	Step family with no other children present	133
Coffs Harbour - South	Blended family with no other children present	33
Coffs Harbour - South	Intact family with no other children present	681
Coffs Harbour - South	Intact family with other children present	11
Coffs Harbour - South	Other couple family with other children only	8
Coffs Harbour - South	Step family with no other children present	72
Coramba - Nana Glen - Bucca	Blended family with no other children present	21
Coramba - Nana Glen - Bucca	Intact family with no other children present	389
Coramba - Nana Glen - Bucca	Intact family with other children present	5
Coramba - Nana Glen - Bucca	Step family with no other children present	44
Dorrigo	Blended family with no other children present	7
Dorrigo	Intact family with no other children present	234
Dorrigo	Intact family with other children present	4
Dorrigo	Other couple family with other children only	4
Dorrigo	Step family with no other children present	25
Korora - Emerald Beach	Blended family with no other children present	41
Korora - Emerald Beach	Blended family with other children present	4
Korora - Emerald Beach	Intact family with no other children present	924
Korora - Emerald Beach	Intact family with other children present	7
Korora - Emerald Beach	Other couple family with other children only	4
Korora - Emerald Beach	Step family with no other children present	65
Sawtell - Boambee	Blended family with no other children present	110
Sawtell - Boambee	Intact family with no other children present	1688
Sawtell - Boambee	Intact family with other children present	29
Sawtell - Boambee	Other couple family with other children only	12
Sawtell - Boambee	Step family with no other children present	168
Sawtell - Boambee	Step family with other children present	9
Urunga	Blended family with no other children present	21
Urunga	Intact family with no other children present	327
Urunga	Intact family with other children present	6
Urunga	Step family with no other children present	41
Woolgoolga - Arrawarra	Blended family with no other children present	58
Woolgoolga - Arrawarra	Intact family with no other children present	1044
Woolgoolga - Arrawarra	Intact family with other children present	17
Woolgoolga - Arrawarra	Other couple family with other children only	14
Woolgoolga - Arrawarra	Step family with no other children present	90
Woolgoolga - Arrawarra	Step family with other children present	3
Bourke - Brewarrina	Blended family with no other children present	10
Bourke - Brewarrina	Intact family with no other children present	250
Bourke - Brewarrina	Intact family with other children present	9
Bourke - Brewarrina	Other couple family with other children only	13
Bourke - Brewarrina	Step family with no other children present	13
Cobar	Blended family with no other children present	42
Cobar	Intact family with no other children present	384
Cobar	Intact family with other children present	4
Cobar	Other couple family with other children only	3
Cobar	Step family with no other children present	33
Coonamble	Blended family with no other children present	15
Coonamble	Blended family with other children present	3
Coonamble	Intact family with no other children present	270
Coonamble	Intact family with other children present	7
Coonamble	Other couple family with other children only	9
Coonamble	Step family with no other children present	15
Nyngan - Warren	Blended family with no other children present	35
Nyngan - Warren	Intact family with no other children present	387
Nyngan - Warren	Intact family with other children present	3
Nyngan - Warren	Other couple family with other children only	4
Nyngan - Warren	Step family with no other children present	26
Walgett - Lightning Ridge	Blended family with no other children present	17
Walgett - Lightning Ridge	Intact family with no other children present	367
Walgett - Lightning Ridge	Intact family with other children present	20
Walgett - Lightning Ridge	Other couple family with other children only	17
Walgett - Lightning Ridge	Step family with no other children present	23
Walgett - Lightning Ridge	Step family with other children present	8
Broken Hill	Blended family with no other children present	108
Broken Hill	Intact family with no other children present	1211
Broken Hill	Intact family with other children present	12
Broken Hill	Other couple family with other children only	14
Broken Hill	Step family with no other children present	122
Broken Hill	Step family with other children present	8
Far West	Blended family with no other children present	5
Far West	Intact family with no other children present	183
Far West	Intact family with other children present	3
Far West	Other couple family with other children only	4
Far West	Step family with no other children present	15
Coonabarabran	Blended family with no other children present	30
Coonabarabran	Intact family with no other children present	574
Coonabarabran	Intact family with other children present	5
Coonabarabran	Other couple family with other children only	6
Coonabarabran	Step family with no other children present	39
Dubbo - East	Blended family with no other children present	53
Dubbo - East	Intact family with no other children present	894
Dubbo - East	Intact family with other children present	18
Dubbo - East	Other couple family with other children only	8
Dubbo - East	Step family with no other children present	63
Dubbo - East	Step family with other children present	3
Dubbo - South	Blended family with no other children present	84
Dubbo - South	Blended family with other children present	4
Dubbo - South	Intact family with no other children present	1493
Dubbo - South	Intact family with other children present	14
Dubbo - South	Other couple family with other children only	18
Dubbo - South	Step family with no other children present	118
Dubbo - South	Step family with other children present	3
Dubbo - West	Blended family with no other children present	65
Dubbo - West	Intact family with no other children present	752
Dubbo - West	Intact family with other children present	11
Dubbo - West	Other couple family with other children only	15
Dubbo - West	Step family with no other children present	70
Dubbo - West	Step family with other children present	3
Dubbo Region	Blended family with no other children present	20
Dubbo Region	Blended family with other children present	3
Dubbo Region	Intact family with no other children present	632
Dubbo Region	Intact family with other children present	13
Dubbo Region	Other couple family with other children only	3
Dubbo Region	Step family with no other children present	40
Gilgandra	Blended family with no other children present	17
Gilgandra	Intact family with no other children present	317
Gilgandra	Intact family with other children present	11
Gilgandra	Other couple family with other children only	5
Gilgandra	Step family with no other children present	28
Narromine	Blended family with no other children present	27
Narromine	Blended family with other children present	3
Narromine	Intact family with no other children present	534
Narromine	Intact family with other children present	3
Narromine	Other couple family with other children only	10
Narromine	Step family with no other children present	29
Wellington	Blended family with no other children present	36
Wellington	Intact family with no other children present	601
Wellington	Intact family with other children present	16
Wellington	Other couple family with other children only	11
Wellington	Step family with no other children present	41
Branxton - Greta - Pokolbin	Blended family with no other children present	61
Branxton - Greta - Pokolbin	Intact family with no other children present	1099
Branxton - Greta - Pokolbin	Intact family with other children present	15
Branxton - Greta - Pokolbin	Other couple family with other children only	4
Branxton - Greta - Pokolbin	Step family with no other children present	109
Branxton - Greta - Pokolbin	Step family with other children present	3
Cessnock	Blended family with no other children present	132
Cessnock	Blended family with other children present	3
Cessnock	Intact family with no other children present	1665
Cessnock	Intact family with other children present	27
Cessnock	Other couple family with other children only	28
Cessnock	Step family with no other children present	173
Cessnock	Step family with other children present	9
Cessnock Region	Blended family with no other children present	48
Cessnock Region	Intact family with no other children present	769
Cessnock Region	Intact family with other children present	23
Cessnock Region	Other couple family with other children only	12
Cessnock Region	Step family with no other children present	67
Dungog	Blended family with no other children present	59
Dungog	Intact family with no other children present	864
Dungog	Intact family with other children present	18
Dungog	Other couple family with other children only	13
Dungog	Step family with no other children present	52
Dungog	Step family with other children present	5
Kurri Kurri - Abermain	Blended family with no other children present	134
Kurri Kurri - Abermain	Blended family with other children present	6
Kurri Kurri - Abermain	Intact family with no other children present	1523
Kurri Kurri - Abermain	Intact family with other children present	38
Kurri Kurri - Abermain	Other couple family with other children only	34
Kurri Kurri - Abermain	Step family with no other children present	178
Kurri Kurri - Abermain	Step family with other children present	13
Singleton	Blended family with no other children present	102
Singleton	Intact family with no other children present	1675
Singleton	Intact family with other children present	18
Singleton	Other couple family with other children only	8
Singleton	Step family with no other children present	155
Singleton	Step family with other children present	3
Singleton Region	Blended family with no other children present	24
Singleton Region	Intact family with no other children present	538
Singleton Region	Intact family with other children present	4
Singleton Region	Other couple family with other children only	9
Singleton Region	Step family with no other children present	36
Maitland	Blended family with no other children present	49
Maitland	Intact family with no other children present	597
Maitland	Intact family with other children present	8
Maitland	Other couple family with other children only	9
Maitland	Step family with no other children present	73
Maitland	Step family with other children present	3
Maitland - East	Blended family with no other children present	168
Maitland - East	Blended family with other children present	3
Maitland - East	Intact family with no other children present	2714
Maitland - East	Intact family with other children present	27
Maitland - East	Other couple family with other children only	17
Maitland - East	Step family with no other children present	239
Maitland - East	Step family with other children present	8
Maitland - North	Blended family with no other children present	35
Maitland - North	Intact family with no other children present	963
Maitland - North	Intact family with other children present	6
Maitland - North	Other couple family with other children only	5
Maitland - North	Step family with no other children present	58
Maitland - West	Blended family with no other children present	179
Maitland - West	Blended family with other children present	3
Maitland - West	Intact family with no other children present	2271
Maitland - West	Intact family with other children present	31
Maitland - West	Other couple family with other children only	18
Maitland - West	Step family with no other children present	219
Maitland - West	Step family with other children present	3
Thornton - Millers Forest	Blended family with no other children present	90
Thornton - Millers Forest	Blended family with other children present	3
Thornton - Millers Forest	Intact family with no other children present	1278
Thornton - Millers Forest	Intact family with other children present	13
Thornton - Millers Forest	Other couple family with other children only	10
Thornton - Millers Forest	Step family with no other children present	110
Thornton - Millers Forest	Step family with other children present	3
Anna Bay	Blended family with no other children present	28
Anna Bay	Intact family with no other children present	527
Anna Bay	Intact family with other children present	13
Anna Bay	Other couple family with other children only	9
Anna Bay	Step family with no other children present	54
Lemon Tree Passage - Tanilba Bay	Blended family with no other children present	42
Lemon Tree Passage - Tanilba Bay	Intact family with no other children present	495
Lemon Tree Passage - Tanilba Bay	Intact family with other children present	11
Lemon Tree Passage - Tanilba Bay	Other couple family with other children only	15
Lemon Tree Passage - Tanilba Bay	Step family with no other children present	53
Lemon Tree Passage - Tanilba Bay	Step family with other children present	3
Nelson Bay Peninsula	Blended family with no other children present	91
Nelson Bay Peninsula	Intact family with no other children present	1592
Nelson Bay Peninsula	Intact family with other children present	16
Nelson Bay Peninsula	Other couple family with other children only	9
Nelson Bay Peninsula	Step family with no other children present	140
Raymond Terrace	Blended family with no other children present	106
Raymond Terrace	Intact family with no other children present	1056
Raymond Terrace	Intact family with other children present	21
Raymond Terrace	Other couple family with other children only	18
Raymond Terrace	Step family with no other children present	146
Raymond Terrace	Step family with other children present	3
Seaham - Woodville	Blended family with no other children present	27
Seaham - Woodville	Intact family with no other children present	702
Seaham - Woodville	Intact family with other children present	14
Seaham - Woodville	Other couple family with other children only	10
Seaham - Woodville	Step family with no other children present	49
Seaham - Woodville	Step family with other children present	3
