SA2_NAME16	medianMortgageRepayment
Murwillumbah	18720
Murwillumbah Region	19200
Pottsville	21324
Tweed Heads	19200
Banora Point	20796
Terranora - North Tumblegum	24000
Tweed Heads South	18720
Griffith (NSW)	18000
Griffith Region	13992
Leeton	15600
Narrandera	12000
Tumbarumba	14304
Tumut	16488
Tumut Region	15600
Cootamundra	13092
Gundagai	14040
Junee	14400
Temora	12996
Wagga Wagga - East	18360
Wagga Wagga - North	20796
Wagga Wagga - South	18204
Wagga Wagga - West	16644
Wagga Wagga Region	15600
Berry - Kangaroo Valley	21732
Callala Bay - Currarong	18204
Culburra Beach	18204
Ettrema - Sassafras - Budawang	25008
Huskisson - Vincentia	21240
North Nowra - Bomaderry	18720
Nowra	18204
St Georges Basin - Erowal Bay	15600
Sussex Inlet - Berrara	15600
Tomerong - Wandandian - Woollamia	20796
Ulladulla	17676
Ulladulla Region	17472
Bowral	24000
Hill Top - Colo Vale	21660
Mittagong	21840
Moss Vale - Berrima	20796
Robertson - Fitzroy Falls	24000
Southern Highlands	21840
Baulkham Hills (East)	27600
Baulkham Hills (West) - Bella Vista	30000
Glenhaven	31320
West Pennant Hills	33240
Castle Hill - Central	28596
Castle Hill - East	28596
Castle Hill - North	31200
Castle Hill - South	30000
Castle Hill - West	31200
Cherrybrook	30000
Kellyville	31200
Dural - Kenthurst - Wisemans Ferry	30600
Galston - Laughtondale	31200
Bilpin - Colo - St Albans	23700
Kurrajong Heights - Ebenezer	26004
Pitt Town - McGraths Hill	28776
Rouse Hill - Beaumont Hills	31560
Blacktown (East) - Kings Park	22800
Blacktown (North) - Marayong	24000
Doonside - Woodcroft	26004
Lalor Park - Kings Langley	24696
Seven Hills - Toongabbie	25608
Blacktown (South)	23400
Blacktown (West)	23400
Glenwood	28800
Parklea - Kellyville Ridge	31200
Riverstone - Marsden Park	31200
Acacia Gardens	28596
Quakers Hill	26004
Bidwill - Hebersham - Emerton	18336
Glendenning - Dean Park	23796
Hassall Grove - Plumpton	24000
Lethbridge Park - Tregear	24156
Mount Druitt - Whalan	20664
Prospect Reservoir	
Rooty Hill - Minchinbury	24000
Banksmeadow	
Botany	31200
Mascot - Eastlakes	27960
Pagewood - Hillsdale - Daceyville	27600
Port Botany Industrial	
Sydney Airport	
Marrickville	28596
Petersham - Stanmore	31200
Sydenham - Tempe - St Peters	31200
Darlinghurst	30000
Erskineville - Alexandria	30000
Glebe - Forest Lodge	31200
Newtown - Camperdown - Darlington	31200
Potts Point - Woolloomooloo	26004
Pyrmont - Ultimo	28800
Redfern - Chippendale	29904
Surry Hills	30000
Sydney - Haymarket - The Rocks	30000
Waterloo - Beaconsfield	27600
Bondi - Tamarama - Bronte	36000
Bondi Beach - North Bondi	36000
Bondi Junction - Waverly	36000
Centennial Park	
Double Bay - Bellevue Hill	36000
Dover Heights	36000
Paddington - Moore Park	38940
Rose Bay - Vaucluse - Watsons Bay	41604
Woollahra	37200
Coogee - Clovelly	36000
Malabar - La Perouse - Chifley	31200
Kensington (NSW)	31200
Kingsford	30000
Maroubra - North	32988
Maroubra - South	31200
Maroubra - West	30000
Randwick - North	31200
Randwick - South	32964
Bass Hill - Georges Hall	26004
Chullora	32400
Condell Park	26004
Greenacre - Mount Lewis	25200
Padstow	26004
Panania - Milperra - Picnic Point	27600
Revesby	26004
Yagoona - Birrong	23952
Bankstown - North	20400
Bankstown - South	20796
Belmore - Belfield	25836
Canterbury (South) - Campsie	23400
Kingsgrove (North) - Earlwood	29532
Punchbowl	24000
Roselands	26004
Lakemba	19200
Wiley Park	20364
Hurstville	24000
Mortdale - Penshurst	26004
Narwee - Beverly Hills	26004
Oatley - Hurstville Grove	30000
Peakhurst - Lugarno	28344
Riverwood	23400
South Hurstville - Blakehurst	26400
Arncliffe - Bardwell Valley	26004
Bexley	24960
Kingsgrove (South) - Bardwell Park	27600
Kogarah	24180
Kogarah Bay - Carlton - Allawah	26004
Monterey - Brighton-le-Sands - Kyeemagh	26004
Rockdale - Banksia	26004
Sans Souci - Ramsgate	27600
Concord - Mortlake - Cabarita	31200
Concord West - North Strathfield	26400
Drummoyne - Rodd Point	34320
Five Dock - Abbotsford	31200
Balmain	36396
Leichhardt - Annandale	36000
Lilyfield - Rozelle	36156
Ashfield	24696
Burwood - Croydon	26004
Canterbury (North) - Ashbury	27036
Croydon Park - Enfield	26400
Dulwich Hill - Lewisham	26400
Haberfield - Summer Hill	30000
Homebush	24000
Strathfield	27900
Strathfield South	27600
Chatswood (East) - Artarmon	30000
Chatswood (West) - Lane Cove North	30000
Lane Cove - Greenwich	36000
St Leonards - Naremburn	32400
Willoughby - Castle Cove - Northbridge	39000
Asquith - Mount Colah	28800
Berowra - Brooklyn - Cowan	28140
Normanhurst - Thornleigh - Westleigh	30000
Hornsby - East	24000
Hornsby - West	26400
Waitara - Wahroonga (West)	26004
Gordon - Killara	36000
Lindfield - Roseville	36000
Pymble	36276
St Ives	36000
Turramurra	36000
Wahroonga (East) - Warrawee	36000
Cremorne - Cammeray	32112
Crows Nest - Waverton	31200
Mosman	36000
Neutral Bay - Kirribilli	30000
North Sydney - Lavender Bay	31200
Balgowlah - Clontarf - Seaforth	41604
Manly - Fairlight	36000
Avalon - Palm Beach	34800
Bayview - Elanora Heights	36000
Newport - Bilgola	33804
Warriewood - Mona Vale	33264
Beacon Hill - Narraweena	33804
Cromer	33000
Dee Why - North Curl Curl	27096
Forestville - Killarney Heights	36000
Frenchs Forest - Belrose	36000
Freshwater - Brookvale	31200
Manly Vale - Allambie Heights	33432
Narrabeen - Collaroy	31200
Terrey Hills - Duffys Forest	36000
Camden - Ellis Lane	26004
Elderslie - Harrington Park	27600
Mount Annan - Currans Hill	26004
Bradbury - Wedderburn	21324
Campbelltown - Woodbine	21900
Claymore - Eagle Vale - Raby	22080
Holsworthy Military Area	
Ingleburn - Denham Court	24000
Leumeah - Minto Heights	21600
Macquarie Fields - Glenfield	21600
Minto - St Andrews	23160
Rosemeadow - Glen Alpine	20892
Bargo	24816
Douglas Park - Appin	28596
Picton - Tahmoor - Buxton	24000
The Oaks - Oakdale	26004
Blackheath - Megalong Valley	18900
Blaxland - Warrimoo - Lapstone	24696
Blue Mountains - North	
Katoomba - Leura	18720
Lawson - Hazelbrook - Linden	20796
Springwood - Winmalee	23400
Wentworth Falls	20796
Blue Mountains - South	
Cambridge Park	22140
Castlereagh - Cranebrook	26004
Emu Plains - Leonay	26004
Glenmore Park - Regentville	26004
Jamisontown - South Penrith	23424
Kingswood - Werrington	22800
Mulgoa - Luddenham - Orchard Hills	30000
Penrith	20796
Warragamba - Silverdale	24444
Richmond - Clarendon	22800
Windsor - Bligh Park	22884
Yarramundi - Londonderry	27300
Erskine Park	24000
St Clair	23820
Colyton - Oxley Park	21528
St Marys - North St Marys	20460
Homebush Bay - Silverwater	26004
Rookwood Cemetery	
Auburn - Central	21600
Auburn - North	18000
Auburn - South	24000
Berala	20796
Lidcombe	25200
Regents Park	20712
Carlingford	26004
Ermington - Rydalmere	27036
Oatlands - Dundas Valley	26004
Chester Hill - Sefton	24000
Fairfield - East	20796
Granville - Clyde	23400
Greystanes - Pemulwuy	27084
Guildford - South Granville	24000
Guildford West - Merrylands West	24000
Merrylands - Holroyd	24000
Smithfield Industrial	
Yennora Industrial	
North Parramatta	23400
North Rocks	28800
Northmead	26004
Parramatta - Rosehill	21000
Toongabbie - Constitution Hill	25200
Winston Hills	28776
Pendle Hill - Girraween	26004
Wentworthville - Westmead	24000
Epping - North Epping	28596
Pennant Hills - Cheltenham	32052
Eastwood - Denistone	26004
Gladesville - Huntleys Point	30000
Hunters Hill - Woolwich	42000
Macquarie Park - Marsfield	26004
North Ryde - East Ryde	30000
West Ryde - Meadowbank	26004
Putney	36000
Ryde	26544
Ashcroft - Busby - Miller	20400
Austral - Greendale	26004
Cobbitty - Leppington	31200
Badgerys Creek	
Cecil Hills	26004
Green Valley	23400
Hinchinbrook	25260
Hoxton Park - Carnes Hill - Horningsea Park	26400
West Hoxton - Middleton Grange	28596
Bonnyrigg Heights - Bonnyrigg	23400
Bossley Park - Abbotsbury	24000
Cabramatta - Lansvale	17160
Cabramatta West - Mount Pritchard	22032
Canley Vale - Canley Heights	19584
Edensor Park	24000
Fairfield	19500
Fairfield - West	23400
Greenfield Park - Prairiewood	24000
Horsley Park - Kemps Creek	30000
Smithfield - Wetherill Park	23916
St Johns Park - Wakeley	23400
Wetherill Park Industrial	
Casula	26004
Chipping Norton - Moorebank	27588
Holsworthy - Wattle Grove	26004
Liverpool	19764
Lurnea - Cartwright	21600
Prestons - Edmondson Park	26400
Warwick Farm	18204
Gymea - Grays Point	31200
Miranda - Yowie Bay	27600
Sylvania - Taren Point	31200
Caringbah	26664
Caringbah South	36000
Cronulla - Kurnell - Bundeena	27120
Lilli Pilli - Port Hacking - Dolans Bay	39300
Woolaware - Burraneer	32400
Heathcote - Waterfall	28548
Illawong - Alfords Point	30000
Menai - Lucas Heights - Woronora	28596
Oyster Bay - Como - Jannali	31200
Royal National Park	
Sutherland - Kirrawee	26076
Engadine	28800
Loftus - Yarrawarrah	26712
Woronora Heights	28788
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Alfredton	19380
Ballarat	18000
Ballarat - North	16164
Ballarat - South	15084
Buninyong	18960
Delacombe	17592
Smythes Creek	19200
Wendouree - Miners Rest	15600
Bacchus Marsh Region	18852
Creswick - Clunes	14556
Daylesford	16080
Gordon (Vic.)	17964
Avoca	11184
Beaufort	13260
Golden Plains - North	15600
Maryborough (Vic.)	11940
Maryborough Region	11052
Bendigo	14400
California Gully - Eaglehawk	15000
East Bendigo - Kennington	16800
Flora Hill - Spring Gully	16800
Kangaroo Flat - Golden Square	15600
Maiden Gully	20400
Strathfieldsaye	20796
White Hills - Ascot	18204
Bendigo Region - South	19200
Castlemaine	15600
Castlemaine Region	15600
Heathcote	15024
Kyneton	18612
Woodend	20796
Bendigo Region - North	15600
Loddon	9420
Bannockburn	21264
Golden Plains - South	18204
Winchelsea	19224
Belmont	18204
Corio - Norlane	14088
Geelong	18720
Geelong West - Hamlyn Heights	18204
Grovedale	19140
Highton	21012
Lara	20400
Leopold	18984
Newcomb - Moolap	15600
Newtown (Vic.)	23016
North Geelong - Bell Park	16896
Clifton Springs	18204
Lorne - Anglesea	20400
Ocean Grove - Barwon Heads	21372
Portarlington	18204
Point Lonsdale - Queenscliff	20796
Torquay	24000
Alexandra	15600
Euroa	12996
Kilmore - Broadford	18204
Mansfield (Vic.)	16200
Nagambie	15600
Seymour	14304
Seymour Region	18204
Upper Yarra Valley	12432
Yea	15864
Benalla	14040
Benalla Region	15372
Rutherglen	15600
Wangaratta	15600
Wangaratta Region	16152
Beechworth	17160
Bright - Mount Beauty	15600
Chiltern - Indigo Valley	15600
Myrtleford	15600
Towong	12996
West Wodonga	16800
Wodonga	17676
Yackandandah	18720
Drouin	18048
Mount Baw Baw Region	16800
Trafalgar (Vic.)	16272
Warragul	17676
Alps - East	
Bairnsdale	15600
Bruthen - Omeo	15000
Lake King	
Lakes Entrance	15600
Orbost	12276
Paynesville	14484
Foster	14040
French Island	5916
Korumburra	15876
Leongatha	16332
Phillip Island	16800
Wilsons Promontory	
Wonthaggi - Inverloch	15600
Churchill	15600
Moe - Newborough	12996
Morwell	11436
Traralgon	16224
Yallourn North - Glengarry	15600
Alps - West	
Longford - Loch Sport	14640
Maffra	15084
Rosedale	15600
Sale	15600
Yarram	13488
Brunswick	24696
Brunswick East	24000
Brunswick West	23784
Coburg	24000
Pascoe Vale South	24000
Alphington - Fairfield	24000
Northcote	26004
Thornbury	24000
Ascot Vale	26136
Essendon - Aberfeldie	26004
Flemington	23880
Moonee Ponds	26004
Carlton	22428
Docklands	26004
East Melbourne	26304
Flemington Racecourse	23892
Kensington (Vic.)	24228
Melbourne	20400
North Melbourne	24696
Parkville	24000
South Yarra - West	24000
Southbank	24000
West Melbourne	
Albert Park	30000
Elwood	26004
Port Melbourne	30000
Port Melbourne Industrial	
South Melbourne	26004
St Kilda	24000
St Kilda East	24000
Armadale	28800
Prahran - Windsor	26004
South Yarra - East	24000
Toorak	30000
Abbotsford	25704
Carlton North - Princes Hill	26004
Collingwood	26160
Fitzroy	27432
Fitzroy North	26004
Richmond (Vic.)	26400
Yarra - North	27600
Ashburton (Vic.)	30000
Balwyn	30000
Balwyn North	30000
Camberwell	30000
Glen Iris - East	30348
Hawthorn	26400
Hawthorn East	27600
Kew	30000
Kew East	30000
Surrey Hills (West) - Canterbury	31200
Bulleen	24000
Doncaster	24000
Templestowe	26004
Templestowe Lower	24768
Doncaster East (North)	25200
Doncaster East (South)	24000
Blackburn	24000
Blackburn South	24000
Box Hill	24000
Box Hill North	24000
Burwood	24000
Burwood East	24000
Surrey Hills (East) - Mont Albert	27600
Beaumaris	31200
Brighton (Vic.)	35904
Brighton East	30000
Cheltenham - Highett (West)	26004
Hampton	30000
Sandringham - Black Rock	30000
Bentleigh - McKinnon	26004
Carnegie	24000
Caulfield - North	26004
Caulfield - South	27600
Elsternwick	26004
Hughesdale	24000
Murrumbeena	24000
Ormond - Glen Huntly	24000
Bentleigh East (North)	25476
Bentleigh East (South)	25488
Aspendale Gardens - Waterways	24000
Braeside	
Carrum - Patterson Lakes	23400
Chelsea - Bonbeach	21936
Chelsea Heights	21600
Cheltenham - Highett (East)	24000
Edithvale - Aspendale	24000
Mentone	24000
Moorabbin - Heatherton	24000
Moorabbin Airport	
Mordialloc - Parkdale	24000
Malvern - Glen Iris	30000
Malvern East	28800
Bundoora - East	20796
Greensborough	22800
Heidelberg - Rosanna	25272
Heidelberg West	21600
Ivanhoe	26004
Ivanhoe East - Eaglemont	30000
Montmorency - Briar Hill	23400
Viewbank - Yallambie	23400
Watsonia	21600
Kingsbury	21600
Reservoir - East	20400
Reservoir - West	21600
Preston - East	23400
Preston - West	23388
Eltham	24000
Hurstbridge	22104
Kinglake	19200
Panton Hill - St Andrews	23916
Plenty - Yarrambat	24696
Research - North Warrandyte	26004
Wattle Glen - Diamond Creek	23520
Bundoora - North	23400
Bundoora - West	20280
Lalor	20088
Mill Park - North	19200
Mill Park - South	19344
Thomastown	18204
Wallan	20796
Whittlesea	20796
Doreen	23520
Epping - East	19200
Epping - South	18000
Epping - West	22680
Mernda	22800
South Morang (North)	23604
South Morang (South)	20796
Wollert	24000
Airport West	22800
Essendon Airport	
Keilor	23508
Keilor East	24000
Niddrie - Essendon West	24000
Strathmore	26004
Gisborne	23916
Macedon	24000
Riddells Creek	21588
Romsey	20796
Coburg North	24000
Fawkner	20796
Pascoe Vale	23400
Glenroy	20796
Gowanbrae	23040
Hadfield	19656
Sunbury	19236
Sunbury - South	19200
Broadmeadows	15600
Campbellfield - Coolaroo	16560
Gladstone Park - Westmeadows	20520
Greenvale - Bulla	24000
Meadow Heights	15600
Melbourne Airport	30000
Roxburgh Park - Somerton	19800
Tullamarine	18456
Craigieburn - Central	18000
Craigieburn - North	21840
Craigieburn - South	20796
Craigieburn - West	22200
Mickleham - Yuroke	22884
Bayswater	19800
Knoxfield - Scoresby	21600
Lysterfield	24000
Rowville - Central	20796
Rowville - North	24000
Rowville - South	22800
Wantirna	21600
Wantirna South	21600
Boronia	20100
Ferntree Gully (North)	20400
Ferntree Gully (South) - Upper Ferntree Gully	20796
The Basin	20796
Donvale - Park Orchards	26004
Warrandyte - Wonga Park	26004
Bayswater North	20364
Croydon Hills - Warranwood	22200
Ringwood	21600
Ringwood East	22032
Ringwood North	24000
Croydon - East	20400
Croydon - West	23112
Croydon South	20940
Forest Hill	23400
Mitcham (Vic.)	24000
Nunawading	23400
Vermont	24000
Vermont South	24000
Belgrave - Selby	20400
Chirnside Park	21840
Healesville - Yarra Glen	19500
Kilsyth	20796
Lilydale - Coldstream	21324
Monbulk - Silvan	20796
Montrose	21060
Mooroolbark	21600
Mount Dandenong - Olinda	21600
Mount Evelyn	20796
Upwey - Tecoma	20568
Wandin - Seville	20796
Yarra Valley	17460
Beaconsfield - Officer	23400
Bunyip - Garfield	20796
Emerald - Cockatoo	20796
Koo Wee Rup	20340
Pakenham - North	19524
Pakenham - South	20796
Berwick - North	20796
Berwick - South	22884
Doveton	16200
Hallam	18720
Narre Warren North	24000
Endeavour Hills - North	20352
Endeavour Hills - South	19500
Narre Warren - North East	19200
Narre Warren - South West	18720
Cranbourne	18204
Cranbourne East	23736
Cranbourne North	21048
Cranbourne South	24960
Cranbourne West	20796
Hampton Park - Lynbrook	18096
Lynbrook - Lyndhurst	24000
Pearcedale - Tooradin	20796
Narre Warren South (East)	21600
Narre Warren South (West)	20796
Clarinda - Oakleigh South	22104
Clayton South	20160
Dandenong	18000
Dandenong North	18600
Dingley Village	23400
Keysborough	24000
Noble Park North	19164
Springvale	18000
Springvale South	18204
Noble Park - East	18000
Noble Park - West	18000
Ashwood - Chadstone	24000
Clayton	21600
Glen Waverley - East	24000
Glen Waverley - West	24000
Mount Waverley - North	24000
Mount Waverley - South	24000
Mulgrave	23400
Oakleigh - Huntingdale	24000
Wheelers Hill	24000
Ardeer - Albion	18000
Cairnlea	22200
Deer Park - Derrimut	20796
Delahey	18000
Keilor Downs	18456
Kings Park (Vic.)	16800
St Albans - North	16800
St Albans - South	18000
Sunshine	19200
Sunshine North	19200
Sunshine West	18000
Sydenham	18204
Taylors Lakes	20400
Altona	24000
Altona Meadows	18204
Altona North	24000
Newport	26004
Seabrook	19200
Williamstown	26520
Braybrook	21600
Footscray	22104
Maribyrnong	24000
Seddon - Kingsville	26004
West Footscray - Tottenham	23400
Yarraville	26004
Bacchus Marsh	19200
Hillside	22800
Melton	16620
Melton South	18204
Melton West	18204
Rockbank - Mount Cottrell	15600
Taylors Hill	24000
Burnside	20796
Burnside Heights	24000
Caroline Springs	23400
Hoppers Crossing - North	18000
Hoppers Crossing - South	16848
Laverton	22800
Tarneit	21840
Truganina	22152
Werribee - South	18684
Wyndham Vale	19200
Point Cook - East	26004
Point Cook - North	22980
Point Cook - South	24576
Werribee - East	16644
Werribee - West	18000
Carrum Downs	18204
Frankston	18204
Frankston North	16080
Frankston South	23400
Langwarrin	20640
Seaford (Vic.)	19200
Skye - Sandhurst	22404
Dromana	20796
Flinders	24000
Hastings - Somers	18876
Mornington	20796
Mount Eliza	26400
Mount Martha	24000
Point Nepean	19620
Rosebud - McCrae	18204
Somerville	19200
Ararat	12792
Ararat Region	11700
Horsham	14400
Horsham Region	13200
Nhill Region	9096
St Arnaud	10404
Stawell	12000
West Wimmera	8844
Yarriambiack	7944
Irymple	15732
Merbein	12996
Mildura Region	10800
Red Cliffs	12996
Mildura - North	13524
Mildura - South	15600
Buloke	8316
Gannawarra	11964
Kerang	11700
Robinvale	12996
Swan Hill	15420
Swan Hill Region	11760
Echuca	16644
Kyabram	15600
Lockington - Gunbower	15036
Rochester	14304
Rushworth	12000
Cobram	15600
Moira	14400
Numurkah	13260
Yarrawonga	16116
Mooroopna	14400
Shepparton - North	15996
Shepparton - South	15600
Shepparton Region - East	15600
Shepparton Region - West	15600
Glenelg (Vic.)	12996
Hamilton (Vic.)	12996
Portland	14400
Southern Grampians	10404
Camperdown	12996
Colac	15240
Colac Region	15600
Corangamite - North	12000
Corangamite - South	14400
Otway	15600
Moyne - East	14400
Moyne - West	16800
Warrnambool - North	18000
Warrnambool - South	16368
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	21840
Belmont - Gumdale	26004
Birkdale	23868
Capalaba	22176
Thorneside	21324
Wellington Point	24000
Cleveland	23400
Ormiston	24000
Redland Bay	26004
Sheldon - Mount Cotton	26004
Thornlands	26004
Victoria Point	23400
Redland Islands	12996
Brisbane Port - Lytton	
Manly - Lota	25200
Manly West	24180
Murarrie	26004
Tingalpa	22800
Wakerley	29376
Wynnum	25140
Wynnum West - Hemmant	23400
Bald Hills	20796
Bridgeman Downs	26844
Carseldine	24000
Everton Park	23400
McDowall	24444
Aspley	24000
Chermside	21588
Chermside West	23856
Geebung	23400
Kedron - Gordon Park	26004
Stafford	24000
Stafford Heights	24000
Wavell Heights	26400
Boondall	21564
Brisbane Airport	28800
Eagle Farm - Pinkenba	26004
Northgate - Virginia	25200
Nudgee - Banyo	24000
Nundah	21840
Bracken Ridge	21720
Brighton (Qld)	23400
Deagon	21168
Sandgate - Shorncliffe	24000
Taigum - Fitzgibbon	20796
Zillmere	20796
Camp Hill	27096
Cannon Hill	25476
Carina	24000
Carina Heights	24000
Carindale	26004
Annerley	24000
Coorparoo	24000
Fairfield - Dutton Park	24048
Greenslopes	23964
Holland Park	26004
Holland Park West	26004
Woolloongabba	24960
Yeronga	24000
Eight Mile Plains	22800
Macgregor (Qld)	21600
Mansfield (Qld)	23400
Mount Gravatt	24816
Rochedale - Burbank	30000
Upper Mount Gravatt	23520
Wishart	22356
Coopers Plains	20400
Moorooka	23784
Robertson	24000
Salisbury - Nathan	23928
Tarragindi	26004
Algester	21036
Calamvale - Stretton	22356
Pallara - Willawong	26004
Parkinson - Drewvale	24000
Rocklea - Acacia Ridge	18204
Kuraby	24000
Runcorn	19764
Sunnybank	20796
Sunnybank Hills	21516
Jindalee - Mount Ommaney	24000
Middle Park - Jamboree Heights	23196
Riverhills	23016
Seventeen Mile Rocks - Sinnamon Park	24648
Westlake	26004
Bellbowrie - Moggill	25200
Brookfield - Kenmore Hills	30000
Chapel Hill	26004
