SA2_NAME16	PrivateDwelling	persons
Gorokan - Kanwal - Charmhaven	1	20161
Jilliby - Yarramalong	0	401
Jilliby - Yarramalong	1	2974
Lake Munmorah - Mannering Park	0	377
Lake Munmorah - Mannering Park	1	10061
Ourimbah - Fountaindale	0	185
Ourimbah - Fountaindale	1	4606
Summerland Point - Gwandalan	0	153
Summerland Point - Gwandalan	1	5466
The Entrance	0	1213
The Entrance	1	13738
Toukley - Norah Head	0	920
Toukley - Norah Head	1	8732
Tuggerah - Kangy Angy	0	290
Tuggerah - Kangy Angy	1	4963
Warnervale - Wadalba	0	935
Warnervale - Wadalba	1	14350
Wyong	0	640
Wyong	1	8095
Bathurst	0	3631
Bathurst	1	20497
Bathurst - East	0	727
Bathurst - East	1	10247
Bathurst Region	0	820
Bathurst Region	1	5906
Oberon	0	677
Oberon	1	3935
Condobolin	0	855
Condobolin	1	5705
Cowra	0	898
Cowra	1	8204
Cowra Region	0	479
Cowra Region	1	4925
Forbes	0	1258
Forbes	1	8897
Grenfell	0	328
Grenfell	1	3201
Parkes (NSW)	0	1168
Parkes (NSW)	1	9697
Parkes Region	0	347
Parkes Region	1	2958
West Wyalong	0	877
West Wyalong	1	5121
Lithgow	0	1465
Lithgow	1	11141
Lithgow Region	0	1093
Lithgow Region	1	6999
Mudgee	0	1449
Mudgee	1	10401
Mudgee Region - East	0	376
Mudgee Region - East	1	2997
Mudgee Region - West	0	1389
Mudgee Region - West	1	8831
Blayney	0	479
Blayney	1	6610
Orange	0	2969
Orange	1	16644
Orange - North	0	1133
Orange - North	1	18296
Orange Region	0	732
Orange Region	1	10582
Grafton	0	2026
Grafton	1	16763
Grafton Region	0	1377
Grafton Region	1	13816
Maclean - Yamba - Iluka	0	2808
Maclean - Yamba - Iluka	1	14781
Bellingen	0	488
Bellingen	1	5345
Coffs Harbour - North	0	2159
Coffs Harbour - North	1	15870
Coffs Harbour - South	0	1894
Coffs Harbour - South	1	8784
Coramba - Nana Glen - Bucca	0	284
Coramba - Nana Glen - Bucca	1	3479
Dorrigo	0	320
Dorrigo	1	2849
Korora - Emerald Beach	0	1008
Korora - Emerald Beach	1	8126
Sawtell - Boambee	0	1169
Sawtell - Boambee	1	18213
Urunga	0	510
Urunga	1	4223
Woolgoolga - Arrawarra	0	1534
Woolgoolga - Arrawarra	1	11433
Bourke - Brewarrina	0	1147
Bourke - Brewarrina	1	3290
Cobar	0	892
Cobar	1	4005
Coonamble	0	722
Coonamble	1	3403
Nyngan - Warren	0	693
Nyngan - Warren	1	4228
Walgett - Lightning Ridge	0	1371
Walgett - Lightning Ridge	1	5469
Broken Hill	0	2152
Broken Hill	1	15769
Far West	0	735
Far West	1	2076
Coonabarabran	0	980
Coonabarabran	1	6927
Dubbo - East	0	1296
Dubbo - East	1	9175
Dubbo - South	0	1971
Dubbo - South	1	15279
Dubbo - West	0	1378
Dubbo - West	1	8026
Dubbo Region	0	468
Dubbo Region	1	5013
Gilgandra	0	436
Gilgandra	1	3872
Narromine	0	680
Narromine	1	5746
Wellington	0	1627
Wellington	1	7071
Branxton - Greta - Pokolbin	0	1097
Branxton - Greta - Pokolbin	1	9426
Cessnock	0	2535
Cessnock	1	19252
Cessnock Region	0	809
Cessnock Region	1	6968
Dungog	0	654
Dungog	1	8185
Kurri Kurri - Abermain	0	964
Kurri Kurri - Abermain	1	16441
Singleton	0	1732
Singleton	1	14477
Singleton Region	0	637
Singleton Region	1	4221
Maitland	0	769
Maitland	1	5947
Maitland - East	0	1305
Maitland - East	1	25667
Maitland - North	0	385
Maitland - North	1	7086
Maitland - West	0	1072
Maitland - West	1	21173
Thornton - Millers Forest	0	170
Thornton - Millers Forest	1	9603
Anna Bay	0	460
Anna Bay	1	5109
Lemon Tree Passage - Tanilba Bay	0	414
Lemon Tree Passage - Tanilba Bay	1	6149
Nelson Bay Peninsula	0	2505
Nelson Bay Peninsula	1	18655
Raymond Terrace	0	1062
Raymond Terrace	1	12612
Seaham - Woodville	0	169
Seaham - Woodville	1	5133
Tea Gardens - Hawks Nest	0	526
Tea Gardens - Hawks Nest	1	4483
Williamtown - Medowie - Karuah	0	1251
Williamtown - Medowie - Karuah	1	12307
Muswellbrook	0	1133
Muswellbrook	1	11005
Muswellbrook Region	0	482
Muswellbrook Region	1	3529
Scone	0	563
Scone	1	5243
Scone Region	0	966
Scone Region	1	7228
Dapto - Avondale	0	820
Dapto - Avondale	1	22268
Horsley - Kembla Grange	0	236
Horsley - Kembla Grange	1	8276
Port Kembla Industrial	0	11
Unanderra - Mount Kembla	0	806
Unanderra - Mount Kembla	1	14310
Berkeley - Lake Heights - Cringila	0	639
Berkeley - Lake Heights - Cringila	1	13018
Port Kembla - Warrawong	0	762
Port Kembla - Warrawong	1	8991
Windang - Primbee	0	226
Windang - Primbee	1	4043
Illawarra Catchment Reserve	1	8
Albion Park - Macquarie Pass	0	542
Albion Park - Macquarie Pass	1	13494
Albion Park Rail	0	445
Albion Park Rail	1	6364
Kiama	0	593
Kiama	1	7015
Kiama Downs - Minnamurra	0	191
Kiama Downs - Minnamurra	1	5501
Kiama Hinterland - Gerringong	0	755
Kiama Hinterland - Gerringong	1	6839
Shellharbour - Flinders	0	618
Shellharbour - Flinders	1	15932
Shellharbour - Oak Flats	0	605
Shellharbour - Oak Flats	1	9370
Warilla	0	1174
Warilla	1	18973
Balgownie - Fairy Meadow	0	1391
Balgownie - Fairy Meadow	1	19579
Corrimal - Tarrawanna - Bellambi	0	666
Corrimal - Tarrawanna - Bellambi	1	14557
Figtree - Keiraville	0	1271
Figtree - Keiraville	1	19510
Helensburgh	0	445
Helensburgh	1	8133
Thirroul - Austinmer - Coalcliff	0	502
Thirroul - Austinmer - Coalcliff	1	10443
Woonona - Bulli - Russell Vale	0	983
Woonona - Bulli - Russell Vale	1	18525
Wollongong - East	0	2401
Wollongong - East	1	11782
Wollongong - West	0	1885
Wollongong - West	1	15199
Bulahdelah - Stroud	0	479
Bulahdelah - Stroud	1	4289
Forster	0	1325
Forster	1	12848
Forster-Tuncurry Region	0	547
Forster-Tuncurry Region	1	5529
Tuncurry	0	887
Tuncurry	1	5390
Kempsey	0	2160
Kempsey	1	12566
Kempsey Region	0	964
Kempsey Region	1	8141
Macksville - Scotts Head	0	486
Macksville - Scotts Head	1	4310
Nambucca Heads	0	858
Nambucca Heads	1	6109
Nambucca Heads Region	0	484
Nambucca Heads Region	1	7058
South West Rocks	0	675
South West Rocks	1	4717
Lord Howe Island	0	181
Lord Howe Island	1	282
Laurieton - Bonny Hills	0	1151
Laurieton - Bonny Hills	1	15329
Port Macquarie - East	0	2789
Port Macquarie - East	1	25878
Port Macquarie - West	0	1944
Port Macquarie - West	1	15628
Port Macquarie Region	0	479
Port Macquarie Region	1	4669
Wauchope	0	711
Wauchope	1	10278
Gloucester	0	400
Gloucester	1	4506
Old Bar - Manning Point - Red Head	0	576
Old Bar - Manning Point - Red Head	1	9827
Taree	0	1962
Taree	1	18656
Taree Region	0	995
Taree Region	1	11153
Wingham	0	342
Wingham	1	4987
Albury - East	0	1078
Albury - East	1	13584
Albury - North	0	817
Albury - North	1	8768
Albury - South	0	1983
Albury - South	1	8858
Albury Region	0	846
Albury Region	1	10563
Lavington	0	1139
Lavington	1	13177
Hay	0	561
Hay	1	2480
Wentworth - Buronga	0	830
Wentworth - Buronga	1	5266
Wentworth-Balranald Region	0	1019
Wentworth-Balranald Region	1	3075
Corowa	0	400
Corowa	1	4914
Corowa Region	0	821
Corowa Region	1	5943
Deniliquin	0	926
Deniliquin	1	6462
Deniliquin Region	0	782
Deniliquin Region	1	5956
Moama	0	683
Moama	1	5156
Tocumwal - Finley - Jerilderie	0	1269
Tocumwal - Finley - Jerilderie	1	8304
Armidale	0	4521
Armidale	1	19218
Armidale Region - North	0	356
Armidale Region - North	1	4026
Armidale Region - South	0	409
Armidale Region - South	1	5454
Walcha	0	410
Walcha	1	2803
Glen Innes	0	1129
Glen Innes	1	7596
Inverell	0	979
Inverell	1	10625
Inverell Region - East	0	599
Inverell Region - East	1	4560
Inverell Region - West	0	696
Inverell Region - West	1	5276
Tenterfield	0	910
Tenterfield	1	5815
Moree	0	1612
Moree	1	7098
Moree Region	0	727
Moree Region	1	4596
Narrabri	0	1119
Narrabri	1	6339
Narrabri Region	0	581
Narrabri Region	1	4165
Gunnedah	0	876
Gunnedah	1	8363
Gunnedah Region	0	527
Gunnedah Region	1	3736
Quirindi	0	719
Quirindi	1	6794
Tamworth - East	0	1700
Tamworth - East	1	18675
Tamworth - North	0	2267
Tamworth - North	1	13051
Tamworth - West	0	573
Tamworth - West	1	4926
Tamworth Region	0	1354
Tamworth Region	1	16734
Belmont - Bennetts Green	0	685
Belmont - Bennetts Green	1	16752
Belmont South - Blacksmiths	0	252
Belmont South - Blacksmiths	1	5308
Charlestown - Dudley	0	1065
Charlestown - Dudley	1	22598
Glendale - Cardiff - Hillsborough	0	864
Glendale - Cardiff - Hillsborough	1	22133
Mount Hutton - Windale	0	539
Mount Hutton - Windale	1	8235
Redhead	0	141
Redhead	1	3253
Swansea - Caves Beach	0	447
Swansea - Caves Beach	1	10820
Valentine - Eleebana	0	227
Valentine - Eleebana	1	11408
Warners Bay - Boolaroo	0	487
Warners Bay - Boolaroo	1	12565
Bolton Point - Teralba	0	561
Bolton Point - Teralba	1	7786
Bonnells Bay - Silverwater	0	212
Bonnells Bay - Silverwater	1	8260
Edgeworth - Cameron Park	0	554
Edgeworth - Cameron Park	1	13407
Morisset - Cooranbong	0	1306
Morisset - Cooranbong	1	13402
Toronto - Awaba	0	833
Toronto - Awaba	1	12345
Wangi Wangi - Rathmines	0	169
Wangi Wangi - Rathmines	1	8370
West Wallsend - Barnsley - Killingworth	0	200
West Wallsend - Barnsley - Killingworth	1	6183
Adamstown - Kotara	0	359
Adamstown - Kotara	1	14947
Beresfield - Hexham	0	359
Beresfield - Hexham	1	7866
Hamilton - Broadmeadow	0	766
Hamilton - Broadmeadow	1	10946
Lambton - New Lambton	0	1359
Lambton - New Lambton	1	15797
Maryland - Fletcher - Minmi	0	230
Maryland - Fletcher - Minmi	1	13048
Mayfield - Warabrook	0	1209
Mayfield - Warabrook	1	13486
Merewether - The Junction	0	491
Merewether - The Junction	1	12670
Newcastle - Cooks Hill	0	1607
Newcastle - Cooks Hill	1	9286
Newcastle Port - Kooragang	1	19
Shortland - Jesmond	0	2124
Shortland - Jesmond	1	9541
Stockton - Fullerton Cove	0	860
Stockton - Fullerton Cove	1	6539
Wallsend - Elermore Vale	0	1141
Wallsend - Elermore Vale	1	18347
Waratah - North Lambton	0	1082
Waratah - North Lambton	1	10935
Wickham - Carrington - Tighes Hill	0	504
Wickham - Carrington - Tighes Hill	1	7301
Ballina	0	2078
Ballina	1	15321
Ballina Region	0	1197
Ballina Region	1	15479
Bangalow	0	729
Bangalow	1	4886
Brunswick Heads - Ocean Shores	0	1027
Brunswick Heads - Ocean Shores	1	7499
Byron Bay	0	2870
Byron Bay	1	7610
Evans Head	0	870
Evans Head	1	4725
Lennox Head - Skennars Head	0	533
Lennox Head - Skennars Head	1	7168
Mullumbimby	0	1149
Mullumbimby	1	6882
Casino	0	899
Casino	1	11276
Casino Region	0	685
Casino Region	1	6234
Goonellabah	0	971
Goonellabah	1	12037
Kyogle	0	748
Kyogle	1	6535
Lismore	0	2135
Lismore	1	13416
Lismore Region	0	1233
Lismore Region	1	13751
Kingscliff - Fingal Head	0	1891
Kingscliff - Fingal Head	1	11881
Murwillumbah	0	870
Murwillumbah	1	8140
Murwillumbah Region	0	1036
Murwillumbah Region	1	8644
Pottsville	0	1361
Pottsville	1	12122
Tweed Heads	0	2728
Tweed Heads	1	17492
Banora Point	0	716
Banora Point	1	14646
Terranora - North Tumblegum	0	100
Terranora - North Tumblegum	1	3089
Tweed Heads South	0	1270
Tweed Heads South	1	7453
Griffith (NSW)	0	2183
Griffith (NSW)	1	16930
Griffith Region	0	1322
Griffith Region	1	11326
Leeton	0	1464
Leeton	1	8626
Narrandera	0	831
Narrandera	1	5207
Tumbarumba	0	455
Tumbarumba	1	2878
Tumut	0	696
Tumut	1	5512
Tumut Region	0	515
Tumut Region	1	4209
Cootamundra	0	616
Cootamundra	1	6732
Gundagai	0	357
Gundagai	1	3238
Junee	0	1343
Junee	1	4758
Temora	0	490
Temora	1	6089
Wagga Wagga - East	0	642
Wagga Wagga - East	1	15403
Wagga Wagga - North	0	1289
Wagga Wagga - North	1	3662
Wagga Wagga - South	0	1123
Wagga Wagga - South	1	19814
Wagga Wagga - West	0	3102
Wagga Wagga - West	1	10197
Wagga Wagga Region	0	1665
Wagga Wagga Region	1	13027
Berry - Kangaroo Valley	0	982
Berry - Kangaroo Valley	1	7750
Callala Bay - Currarong	0	238
Callala Bay - Currarong	1	3254
Culburra Beach	0	392
Culburra Beach	1	4420
Ettrema - Sassafras - Budawang	0	8
Ettrema - Sassafras - Budawang	1	35
Huskisson - Vincentia	0	337
Huskisson - Vincentia	1	3780
North Nowra - Bomaderry	0	986
North Nowra - Bomaderry	1	14325
Nowra	0	2939
Nowra	1	17274
St Georges Basin - Erowal Bay	0	825
St Georges Basin - Erowal Bay	1	12747
Sussex Inlet - Berrara	0	315
Sussex Inlet - Berrara	1	3918
Tomerong - Wandandian - Woollamia	0	192
Tomerong - Wandandian - Woollamia	1	3116
Ulladulla	0	1170
Ulladulla	1	13843
Ulladulla Region	0	492
Ulladulla Region	1	4462
Bowral	0	1170
Bowral	1	11651
Hill Top - Colo Vale	0	261
Hill Top - Colo Vale	1	5673
Mittagong	0	960
Mittagong	1	7933
Moss Vale - Berrima	0	889
Moss Vale - Berrima	1	8771
Robertson - Fitzroy Falls	0	296
Robertson - Fitzroy Falls	1	3136
Southern Highlands	0	571
Southern Highlands	1	5907
Baulkham Hills (East)	0	758
Baulkham Hills (East)	1	21979
Baulkham Hills (West) - Bella Vista	0	785
Baulkham Hills (West) - Bella Vista	1	19465
Glenhaven	0	162
Glenhaven	1	5988
West Pennant Hills	0	243
West Pennant Hills	1	12245
Castle Hill - Central	0	358
Castle Hill - Central	1	7329
Castle Hill - East	0	708
Castle Hill - East	1	4847
Castle Hill - North	0	252
Castle Hill - North	1	11485
Castle Hill - South	0	238
Castle Hill - South	1	9136
Castle Hill - West	0	86
Castle Hill - West	1	5101
Cherrybrook	0	532
Cherrybrook	1	18053
Kellyville	0	508
Kellyville	1	22467
Dural - Kenthurst - Wisemans Ferry	0	1115
Dural - Kenthurst - Wisemans Ferry	1	19693
Galston - Laughtondale	0	297
Galston - Laughtondale	1	4860
Bilpin - Colo - St Albans	0	375
Bilpin - Colo - St Albans	1	2254
Kurrajong Heights - Ebenezer	0	1172
Kurrajong Heights - Ebenezer	1	20400
Pitt Town - McGraths Hill	0	444
Pitt Town - McGraths Hill	1	9968
Rouse Hill - Beaumont Hills	0	513
Rouse Hill - Beaumont Hills	1	21878
Blacktown (East) - Kings Park	0	1134
Blacktown (East) - Kings Park	1	15783
Blacktown (North) - Marayong	0	665
Blacktown (North) - Marayong	1	17243
Doonside - Woodcroft	0	668
Doonside - Woodcroft	1	21740
Lalor Park - Kings Langley	0	1007
Lalor Park - Kings Langley	1	23725
Seven Hills - Toongabbie	0	1019
Seven Hills - Toongabbie	1	22755
Blacktown (South)	0	487
Blacktown (South)	1	11760
Blacktown (West)	0	766
Blacktown (West)	1	15216
Glenwood	0	214
Glenwood	1	15829
Parklea - Kellyville Ridge	0	1954
Parklea - Kellyville Ridge	1	30440
Riverstone - Marsden Park	0	1002
Riverstone - Marsden Park	1	16203
Acacia Gardens	0	76
Acacia Gardens	1	3699
Quakers Hill	0	699
Quakers Hill	1	22112
Bidwill - Hebersham - Emerton	0	1265
Bidwill - Hebersham - Emerton	1	17074
Glendenning - Dean Park	0	359
Glendenning - Dean Park	1	7983
Hassall Grove - Plumpton	0	870
Hassall Grove - Plumpton	1	19833
Lethbridge Park - Tregear	0	1417
Lethbridge Park - Tregear	1	19297
Mount Druitt - Whalan	0	1154
Mount Druitt - Whalan	1	21443
Prospect Reservoir	0	185
Prospect Reservoir	1	5
Rooty Hill - Minchinbury	0	1458
Rooty Hill - Minchinbury	1	19801
Banksmeadow	0	6
Banksmeadow	1	8
Botany	0	736
Botany	1	9993
Mascot - Eastlakes	0	2093
Mascot - Eastlakes	1	23030
Pagewood - Hillsdale - Daceyville	0	784
Pagewood - Hillsdale - Daceyville	1	10500
Port Botany Industrial	1	3
Sydney Airport	0	509
Marrickville	0	2301
Marrickville	1	23784
Petersham - Stanmore	0	2237
Petersham - Stanmore	1	17770
Sydenham - Tempe - St Peters	0	620
Sydenham - Tempe - St Peters	1	7215
Darlinghurst	0	3303
Darlinghurst	1	8768
Erskineville - Alexandria	0	1251
Erskineville - Alexandria	1	14638
Glebe - Forest Lodge	0	2468
Glebe - Forest Lodge	1	16996
Newtown - Camperdown - Darlington	0	5556
Newtown - Camperdown - Darlington	1	20117
Potts Point - Woolloomooloo	0	9099
Potts Point - Woolloomooloo	1	15060
Pyrmont - Ultimo	0	4112
Pyrmont - Ultimo	1	18302
Redfern - Chippendale	0	4025
Redfern - Chippendale	1	18648
Surry Hills	0	3041
Surry Hills	1	13455
Sydney - Haymarket - The Rocks	0	17242
Sydney - Haymarket - The Rocks	1	22276
Waterloo - Beaconsfield	0	3589
Waterloo - Beaconsfield	1	29575
Bondi - Tamarama - Bronte	0	1908
Bondi - Tamarama - Bronte	1	16188
Bondi Beach - North Bondi	0	2681
Bondi Beach - North Bondi	1	17888
Bondi Junction - Waverly	0	2948
Bondi Junction - Waverly	1	14125
Double Bay - Bellevue Hill	0	3005
Double Bay - Bellevue Hill	1	21761
Dover Heights	0	616
Dover Heights	1	10065
Paddington - Moore Park	0	1717
Paddington - Moore Park	1	13159
Rose Bay - Vaucluse - Watsons Bay	0	1149
Rose Bay - Vaucluse - Watsons Bay	1	10598
Woollahra	0	949
Woollahra	1	6606
Coogee - Clovelly	0	2538
Coogee - Clovelly	1	22863
Malabar - La Perouse - Chifley	0	3385
Malabar - La Perouse - Chifley	1	20526
Kensington (NSW)	0	4020
Kensington (NSW)	1	10888
Kingsford	0	676
Kingsford	1	14781
Maroubra - North	0	593
Maroubra - North	1	9040
Maroubra - South	0	666
Maroubra - South	1	9839
Maroubra - West	0	546
Maroubra - West	1	9534
Randwick - North	0	1490
Randwick - North	1	15209
Randwick - South	0	2624
Randwick - South	1	11210
Bass Hill - Georges Hall	0	1472
Bass Hill - Georges Hall	1	20511
Chullora	0	73
Chullora	1	825
Condell Park	0	503
Condell Park	1	10753
Greenacre - Mount Lewis	0	1526
Greenacre - Mount Lewis	1	24421
Padstow	0	773
Padstow	1	15590
Panania - Milperra - Picnic Point	0	956
Panania - Milperra - Picnic Point	1	24665
Revesby	0	759
Revesby	1	15321
Yagoona - Birrong	0	1224
Yagoona - Birrong	1	19352
Bankstown - North	0	1192
Bankstown - North	1	14997
Bankstown - South	0	1723
Bankstown - South	1	14610
Belmore - Belfield	0	937
Belmore - Belfield	1	17949
Canterbury (South) - Campsie	0	1897
Canterbury (South) - Campsie	1	28696
Kingsgrove (North) - Earlwood	0	1191
Kingsgrove (North) - Earlwood	1	22307
Punchbowl	0	995
Punchbowl	1	19683
Roselands	0	715
Roselands	1	12958
Lakemba	0	1075
Lakemba	1	15850
Wiley Park	0	631
Wiley Park	1	9554
Hurstville	0	1226
Hurstville	1	22359
Mortdale - Penshurst	0	1176
Mortdale - Penshurst	1	22508
Narwee - Beverly Hills	0	584
Narwee - Beverly Hills	1	13170
Oatley - Hurstville Grove	0	372
Oatley - Hurstville Grove	1	12060
Peakhurst - Lugarno	0	727
Peakhurst - Lugarno	1	17012
Riverwood	0	520
Riverwood	1	10720
South Hurstville - Blakehurst	0	867
South Hurstville - Blakehurst	1	22968
Arncliffe - Bardwell Valley	0	1623
Arncliffe - Bardwell Valley	1	19918
Bexley	0	1881
Bexley	1	24484
Kingsgrove (South) - Bardwell Park	0	428
Kingsgrove (South) - Bardwell Park	1	12103
Kogarah	0	1362
Kogarah	1	10576
Kogarah Bay - Carlton - Allawah	0	692
Kogarah Bay - Carlton - Allawah	1	15210
Monterey - Brighton-le-Sands - Kyeemagh	0	1219
Monterey - Brighton-le-Sands - Kyeemagh	1	12858
Rockdale - Banksia	0	1522
Rockdale - Banksia	1	18306
Sans Souci - Ramsgate	0	811
Sans Souci - Ramsgate	1	15031
Concord - Mortlake - Cabarita	0	957
Concord - Mortlake - Cabarita	1	20434
Concord West - North Strathfield	0	1899
Concord West - North Strathfield	1	23145
Drummoyne - Rodd Point	0	1309
Drummoyne - Rodd Point	1	16698
Five Dock - Abbotsford	0	1287
Five Dock - Abbotsford	1	18872
Balmain	0	1410
Balmain	1	13971
Leichhardt - Annandale	0	2348
Leichhardt - Annandale	1	23558
Lilyfield - Rozelle	0	1257
Lilyfield - Rozelle	1	12564
Ashfield	0	2465
Ashfield	1	21914
Burwood - Croydon	0	1785
Burwood - Croydon	1	22817
Canterbury (North) - Ashbury	0	503
Canterbury (North) - Ashbury	1	9832
Croydon Park - Enfield	0	882
Croydon Park - Enfield	1	16195
Dulwich Hill - Lewisham	0	1246
Dulwich Hill - Lewisham	1	15343
Haberfield - Summer Hill	0	972
Haberfield - Summer Hill	1	12388
Homebush	0	1337
Homebush	1	14570
Strathfield	0	1661
Strathfield	1	23212
Strathfield South	0	167
Strathfield South	1	3372
Chatswood (East) - Artarmon	0	2394
Chatswood (East) - Artarmon	1	26358
Chatswood (West) - Lane Cove North	0	1177
Chatswood (West) - Lane Cove North	1	19555
Lane Cove - Greenwich	0	2000
Lane Cove - Greenwich	1	24794
St Leonards - Naremburn	0	1704
St Leonards - Naremburn	1	9505
Willoughby - Castle Cove - Northbridge	0	1080
Willoughby - Castle Cove - Northbridge	1	23884
Asquith - Mount Colah	0	443
Asquith - Mount Colah	1	17569
Berowra - Brooklyn - Cowan	0	261
Berowra - Brooklyn - Cowan	1	11182
Normanhurst - Thornleigh - Westleigh	0	866
Normanhurst - Thornleigh - Westleigh	1	17402
Hornsby - East	0	741
Hornsby - East	1	11253
Hornsby - West	0	633
Hornsby - West	1	10006
Waitara - Wahroonga (West)	0	640
Waitara - Wahroonga (West)	1	8875
Gordon - Killara	0	959
Gordon - Killara	1	20100
Lindfield - Roseville	0	795
Lindfield - Roseville	1	21934
Pymble	0	466
Pymble	1	15680
St Ives	0	456
St Ives	1	19684
Turramurra	0	1065
Turramurra	1	17887
Wahroonga (East) - Warrawee	0	1736
Wahroonga (East) - Warrawee	1	16330
Cremorne - Cammeray	0	1325
Cremorne - Cammeray	1	17475
Crows Nest - Waverton	0	1487
Crows Nest - Waverton	1	16452
Mosman	0	2136
Mosman	1	25708
Neutral Bay - Kirribilli	0	1905
Neutral Bay - Kirribilli	1	15632
North Sydney - Lavender Bay	0	1791
North Sydney - Lavender Bay	1	9244
Balgowlah - Clontarf - Seaforth	0	733
Balgowlah - Clontarf - Seaforth	1	18968
Manly - Fairlight	0	2428
Manly - Fairlight	1	19439
Avalon - Palm Beach	0	578
Avalon - Palm Beach	1	11270
Bayview - Elanora Heights	0	625
Bayview - Elanora Heights	1	9792
Newport - Bilgola	0	341
Newport - Bilgola	1	12490
Warriewood - Mona Vale	0	1498
Warriewood - Mona Vale	1	22290
Beacon Hill - Narraweena	0	576
Beacon Hill - Narraweena	1	13056
Cromer	0	292
Cromer	1	7122
Dee Why - North Curl Curl	0	1445
Dee Why - North Curl Curl	1	23079
Forestville - Killarney Heights	0	354
Forestville - Killarney Heights	1	12253
Frenchs Forest - Belrose	0	965
Frenchs Forest - Belrose	1	23885
Freshwater - Brookvale	0	1310
Freshwater - Brookvale	1	19225
Manly Vale - Allambie Heights	0	773
Manly Vale - Allambie Heights	1	15742
Narrabeen - Collaroy	0	1953
Narrabeen - Collaroy	1	22426
Terrey Hills - Duffys Forest	0	391
Terrey Hills - Duffys Forest	1	3290
Camden - Ellis Lane	0	830
Camden - Ellis Lane	1	11952
Elderslie - Harrington Park	0	656
Elderslie - Harrington Park	1	20176
Mount Annan - Currans Hill	0	704
Mount Annan - Currans Hill	1	27612
Bradbury - Wedderburn	0	876
Bradbury - Wedderburn	1	18014
Campbelltown - Woodbine	0	2043
Campbelltown - Woodbine	1	16773
Claymore - Eagle Vale - Raby	0	1151
Claymore - Eagle Vale - Raby	1	19099
Ingleburn - Denham Court	0	1144
Ingleburn - Denham Court	1	18796
Leumeah - Minto Heights	0	547
Leumeah - Minto Heights	1	15836
Macquarie Fields - Glenfield	0	1558
Macquarie Fields - Glenfield	1	21869
Minto - St Andrews	0	721
Minto - St Andrews	1	19022
Rosemeadow - Glen Alpine	0	1014
Rosemeadow - Glen Alpine	1	19659
Bargo	0	258
Bargo	1	5392
Douglas Park - Appin	0	517
Douglas Park - Appin	1	9009
Picton - Tahmoor - Buxton	0	906
Picton - Tahmoor - Buxton	1	15613
The Oaks - Oakdale	0	510
