STE_NAME16	FamilyHousehold	IncomeHousehold.max	households
Other Territories	0	65625	28
Other Territories	0	78750	20
Other Territories	0	91875	21
Other Territories	0	105000	16
Other Territories	0	131250	34
Other Territories	0	157500	4
Other Territories	0	210000	10
Other Territories	1		138
Other Territories	1	0	4
Other Territories	1	7875	7
Other Territories	1	15750	10
Other Territories	1	21000	3
Other Territories	1	26250	21
Other Territories	1	34125	24
Other Territories	1	42000	50
Other Territories	1	52500	58
Other Territories	1	65625	98
Other Territories	1	78750	89
Other Territories	1	91875	67
Other Territories	1	105000	67
Other Territories	1	131250	124
Other Territories	1	157500	71
Other Territories	1	183750	42
Other Territories	1	210000	25
Other Territories	1	Inf	59
