STE_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Queensland	20-24		F	11802
Queensland	20-24		M	13682
Queensland	20-24	Did not go to school	F	317
Queensland	20-24	Did not go to school	M	460
Queensland	20-24	Year 8 or below	F	731
Queensland	20-24	Year 8 or below	M	1118
Queensland	20-24	Year 9	F	2110
Queensland	20-24	Year 9	M	3158
Queensland	20-24	Year 10	F	12691
Queensland	20-24	Year 10	M	16871
Queensland	20-24	Year 11	F	8340
Queensland	20-24	Year 11	M	10596
Queensland	20-24	Year 12	F	121269
Queensland	20-24	Year 12	M	113068
Queensland	25-34		F	24656
Queensland	25-34		M	29176
Queensland	25-34	Did not go to school	F	1102
Queensland	25-34	Did not go to school	M	1308
Queensland	25-34	Year 8 or below	F	2333
Queensland	25-34	Year 8 or below	M	3259
Queensland	25-34	Year 9	F	5393
Queensland	25-34	Year 9	M	7781
Queensland	25-34	Year 10	F	31355
Queensland	25-34	Year 10	M	41998
Queensland	25-34	Year 11	F	18751
Queensland	25-34	Year 11	M	22325
Queensland	25-34	Year 12	F	244975
Queensland	25-34	Year 12	M	211749
Queensland	35-44		F	21543
Queensland	35-44		M	26193
Queensland	35-44	Did not go to school	F	1329
Queensland	35-44	Did not go to school	M	1194
Queensland	35-44	Year 8 or below	F	3314
Queensland	35-44	Year 8 or below	M	4219
Queensland	35-44	Year 9	F	6823
Queensland	35-44	Year 9	M	9534
Queensland	35-44	Year 10	F	41668
Queensland	35-44	Year 10	M	53369
Queensland	35-44	Year 11	F	21449
Queensland	35-44	Year 11	M	23481
Queensland	35-44	Year 12	F	224632
Queensland	35-44	Year 12	M	188990
Queensland	45-54		F	23131
Queensland	45-54		M	26986
Queensland	45-54	Did not go to school	F	1627
Queensland	45-54	Did not go to school	M	1622
Queensland	45-54	Year 8 or below	F	5351
Queensland	45-54	Year 8 or below	M	7239
Queensland	45-54	Year 9	F	11653
Queensland	45-54	Year 9	M	15146
Queensland	45-54	Year 10	F	92298
Queensland	45-54	Year 10	M	93663
Queensland	45-54	Year 11	F	28544
Queensland	45-54	Year 11	M	27835
Queensland	45-54	Year 12	F	160316
Queensland	45-54	Year 12	M	135894
Queensland	55-64		F	22285
Queensland	55-64		M	24043
Queensland	55-64	Did not go to school	F	1658
Queensland	55-64	Did not go to school	M	1513
Queensland	55-64	Year 8 or below	F	10226
Queensland	55-64	Year 8 or below	M	11896
Queensland	55-64	Year 9	F	16561
Queensland	55-64	Year 9	M	16947
Queensland	55-64	Year 10	F	107830
Queensland	55-64	Year 10	M	94771
Queensland	55-64	Year 11	F	19874
Queensland	55-64	Year 11	M	19444
Queensland	55-64	Year 12	F	103976
Queensland	55-64	Year 12	M	101555
Queensland	65-74		F	21328
Queensland	65-74		M	21016
Queensland	65-74	Did not go to school	F	1320
Queensland	65-74	Did not go to school	M	1354
Queensland	65-74	Year 8 or below	F	28393
Queensland	65-74	Year 8 or below	M	28936
Queensland	65-74	Year 9	F	15431
Queensland	65-74	Year 9	M	15427
Queensland	65-74	Year 10	F	77271
Queensland	65-74	Year 10	M	61986
Queensland	65-74	Year 11	F	11975
Queensland	65-74	Year 11	M	11145
Queensland	65-74	Year 12	F	58130
Queensland	65-74	Year 12	M	68638
Queensland	75-84		F	17489
Queensland	75-84		M	14166
Queensland	75-84	Did not go to school	F	1279
Queensland	75-84	Did not go to school	M	934
Queensland	75-84	Year 8 or below	F	24580
Queensland	75-84	Year 8 or below	M	22115
Queensland	75-84	Year 9	F	9076
Queensland	75-84	Year 9	M	7699
Queensland	75-84	Year 10	F	30691
Queensland	75-84	Year 10	M	22869
Queensland	75-84	Year 11	F	4862
Queensland	75-84	Year 11	M	3992
Queensland	75-84	Year 12	F	23026
Queensland	75-84	Year 12	M	26862
Queensland	85+		F	13567
Queensland	85+		M	6915
Queensland	85+	Did not go to school	F	715
Queensland	85+	Did not go to school	M	387
Queensland	85+	Year 8 or below	F	14726
Queensland	85+	Year 8 or below	M	8549
Queensland	85+	Year 9	F	4161
Queensland	85+	Year 9	M	2365
Queensland	85+	Year 10	F	10917
Queensland	85+	Year 10	M	5515
Queensland	85+	Year 11	F	1502
Queensland	85+	Year 11	M	1008
Queensland	85+	Year 12	F	8122
Queensland	85+	Year 12	M	7004
South Australia	15-19		F	2261
South Australia	15-19		M	2334
South Australia	15-19	Did not go to school	F	40
South Australia	15-19	Did not go to school	M	61
South Australia	15-19	Year 8 or below	F	216
South Australia	15-19	Year 8 or below	M	270
South Australia	15-19	Year 9	F	477
South Australia	15-19	Year 9	M	700
South Australia	15-19	Year 10	F	1606
South Australia	15-19	Year 10	M	2159
South Australia	15-19	Year 11	F	2212
South Australia	15-19	Year 11	M	3510
South Australia	15-19	Year 12	F	14032
South Australia	15-19	Year 12	M	12922
South Australia	20-24		F	2876
South Australia	20-24		M	3433
South Australia	20-24	Did not go to school	F	139
South Australia	20-24	Did not go to school	M	231
South Australia	20-24	Year 8 or below	F	289
South Australia	20-24	Year 8 or below	M	428
South Australia	20-24	Year 9	F	642
South Australia	20-24	Year 9	M	1024
South Australia	20-24	Year 10	F	3046
South Australia	20-24	Year 10	M	4492
South Australia	20-24	Year 11	F	5118
South Australia	20-24	Year 11	M	7890
South Australia	20-24	Year 12	F	40252
South Australia	20-24	Year 12	M	37338
South Australia	25-34		F	6176
South Australia	25-34		M	7605
South Australia	25-34	Did not go to school	F	566
South Australia	25-34	Did not go to school	M	624
South Australia	25-34	Year 8 or below	F	1115
South Australia	25-34	Year 8 or below	M	1330
South Australia	25-34	Year 9	F	2002
South Australia	25-34	Year 9	M	2948
South Australia	25-34	Year 10	F	8601
South Australia	25-34	Year 10	M	11932
South Australia	25-34	Year 11	F	11576
South Australia	25-34	Year 11	M	16781
South Australia	25-34	Year 12	F	79622
South Australia	25-34	Year 12	M	66883
South Australia	35-44		F	5699
South Australia	35-44		M	7257
South Australia	35-44	Did not go to school	F	822
South Australia	35-44	Did not go to school	M	830
South Australia	35-44	Year 8 or below	F	1303
South Australia	35-44	Year 8 or below	M	1538
South Australia	35-44	Year 9	F	2078
South Australia	35-44	Year 9	M	2870
South Australia	35-44	Year 10	F	8969
South Australia	35-44	Year 10	M	12199
South Australia	35-44	Year 11	F	13710
South Australia	35-44	Year 11	M	17314
South Australia	35-44	Year 12	F	72586
South Australia	35-44	Year 12	M	62107
South Australia	45-54		F	6767
South Australia	45-54		M	8039
South Australia	45-54	Did not go to school	F	1033
South Australia	45-54	Did not go to school	M	958
South Australia	45-54	Year 8 or below	F	1822
South Australia	45-54	Year 8 or below	M	2301
South Australia	45-54	Year 9	F	3676
South Australia	45-54	Year 9	M	4967
South Australia	45-54	Year 10	F	16942
South Australia	45-54	Year 10	M	19830
South Australia	45-54	Year 11	F	27358
South Australia	45-54	Year 11	M	27838
South Australia	45-54	Year 12	F	57030
South Australia	45-54	Year 12	M	48103
South Australia	55-64		F	7275
South Australia	55-64		M	7655
South Australia	55-64	Did not go to school	F	987
South Australia	55-64	Did not go to school	M	915
South Australia	55-64	Year 8 or below	F	3960
South Australia	55-64	Year 8 or below	M	4395
South Australia	55-64	Year 9	F	5807
South Australia	55-64	Year 9	M	6252
South Australia	55-64	Year 10	F	22695
South Australia	55-64	Year 10	M	20308
South Australia	55-64	Year 11	F	27417
South Australia	55-64	Year 11	M	24765
South Australia	55-64	Year 12	F	41484
South Australia	55-64	Year 12	M	39824
South Australia	65-74		F	7858
South Australia	65-74		M	7100
South Australia	65-74	Did not go to school	F	972
South Australia	65-74	Did not go to school	M	756
South Australia	65-74	Year 8 or below	F	10094
South Australia	65-74	Year 8 or below	M	9778
South Australia	65-74	Year 9	F	7038
South Australia	65-74	Year 9	M	6218
South Australia	65-74	Year 10	F	24074
South Australia	65-74	Year 10	M	18625
South Australia	65-74	Year 11	F	13674
South Australia	65-74	Year 11	M	12463
South Australia	65-74	Year 12	F	23728
South Australia	65-74	Year 12	M	26319
South Australia	75-84		F	7042
South Australia	75-84		M	5309
South Australia	75-84	Did not go to school	F	1314
South Australia	75-84	Did not go to school	M	776
South Australia	75-84	Year 8 or below	F	11003
South Australia	75-84	Year 8 or below	M	9008
South Australia	75-84	Year 9	F	5384
South Australia	75-84	Year 9	M	4059
South Australia	75-84	Year 10	F	10775
South Australia	75-84	Year 10	M	8149
South Australia	75-84	Year 11	F	4990
South Australia	75-84	Year 11	M	4277
South Australia	75-84	Year 12	F	10257
South Australia	75-84	Year 12	M	10838
South Australia	85+		F	5540
South Australia	85+		M	2902
South Australia	85+	Did not go to school	F	715
South Australia	85+	Did not go to school	M	315
South Australia	85+	Year 8 or below	F	8310
South Australia	85+	Year 8 or below	M	4412
South Australia	85+	Year 9	F	2891
South Australia	85+	Year 9	M	1490
South Australia	85+	Year 10	F	4466
South Australia	85+	Year 10	M	2347
South Australia	85+	Year 11	F	1875
South Australia	85+	Year 11	M	1099
South Australia	85+	Year 12	F	4331
South Australia	85+	Year 12	M	3755
Western Australia	15-19		F	3970
Western Australia	15-19		M	4507
Western Australia	15-19	Did not go to school	F	62
Western Australia	15-19	Did not go to school	M	69
Western Australia	15-19	Year 8 or below	F	273
Western Australia	15-19	Year 8 or below	M	355
Western Australia	15-19	Year 9	F	1031
Western Australia	15-19	Year 9	M	1178
Western Australia	15-19	Year 10	F	4221
Western Australia	15-19	Year 10	M	5717
Western Australia	15-19	Year 11	F	3216
Western Australia	15-19	Year 11	M	4725
Western Australia	15-19	Year 12	F	21690
Western Australia	15-19	Year 12	M	21043
Western Australia	20-24		F	5861
Western Australia	20-24		M	7166
Western Australia	20-24	Did not go to school	F	177
Western Australia	20-24	Did not go to school	M	294
Western Australia	20-24	Year 8 or below	F	342
Western Australia	20-24	Year 8 or below	M	471
Western Australia	20-24	Year 9	F	812
Western Australia	20-24	Year 9	M	1227
Western Australia	20-24	Year 10	F	7020
Western Australia	20-24	Year 10	M	9778
Western Australia	20-24	Year 11	F	5952
Western Australia	20-24	Year 11	M	8447
Western Australia	20-24	Year 12	F	57439
Western Australia	20-24	Year 12	M	54921
Western Australia	25-34		F	14801
Western Australia	25-34		M	20078
Western Australia	25-34	Did not go to school	F	716
Western Australia	25-34	Did not go to school	M	987
Western Australia	25-34	Year 8 or below	F	1160
Western Australia	25-34	Year 8 or below	M	1508
Western Australia	25-34	Year 9	F	2142
Western Australia	25-34	Year 9	M	3456
Western Australia	25-34	Year 10	F	18892
Western Australia	25-34	Year 10	M	25804
Western Australia	25-34	Year 11	F	14375
Western Australia	25-34	Year 11	M	19394
Western Australia	25-34	Year 12	F	135913
Western Australia	25-34	Year 12	M	119546
Western Australia	35-44		F	11814
Western Australia	35-44		M	16631
Western Australia	35-44	Did not go to school	F	875
Western Australia	35-44	Did not go to school	M	854
Western Australia	35-44	Year 8 or below	F	1821
Western Australia	35-44	Year 8 or below	M	1864
Western Australia	35-44	Year 9	F	2855
Western Australia	35-44	Year 9	M	3959
Western Australia	35-44	Year 10	F	23188
Western Australia	35-44	Year 10	M	29492
Western Australia	35-44	Year 11	F	14620
Western Australia	35-44	Year 11	M	17571
Western Australia	35-44	Year 12	F	116169
Western Australia	35-44	Year 12	M	103010
Western Australia	45-54		F	11815
Western Australia	45-54		M	15510
Western Australia	45-54	Did not go to school	F	972
Western Australia	45-54	Did not go to school	M	944
Western Australia	45-54	Year 8 or below	F	2323
Western Australia	45-54	Year 8 or below	M	2576
Western Australia	45-54	Year 9	F	3915
Western Australia	45-54	Year 9	M	5511
Western Australia	45-54	Year 10	F	39662
Western Australia	45-54	Year 10	M	46561
Western Australia	45-54	Year 11	F	21130
Western Australia	45-54	Year 11	M	18345
Western Australia	45-54	Year 12	F	86856
Western Australia	45-54	Year 12	M	78562
Western Australia	55-64		F	11262
Western Australia	55-64		M	12675
Western Australia	55-64	Did not go to school	F	1087
Western Australia	55-64	Did not go to school	M	849
Western Australia	55-64	Year 8 or below	F	4294
Western Australia	55-64	Year 8 or below	M	4251
Western Australia	55-64	Year 9	F	6079
Western Australia	55-64	Year 9	M	7369
Western Australia	55-64	Year 10	F	43327
Western Australia	55-64	Year 10	M	41957
Western Australia	55-64	Year 11	F	15116
Western Australia	55-64	Year 11	M	11523
Western Australia	55-64	Year 12	F	61751
Western Australia	55-64	Year 12	M	60233
Western Australia	65-74		F	10408
Western Australia	65-74		M	10170
Western Australia	65-74	Did not go to school	F	865
Western Australia	65-74	Did not go to school	M	761
Western Australia	65-74	Year 8 or below	F	7382
Western Australia	65-74	Year 8 or below	M	7616
Western Australia	65-74	Year 9	F	7960
Western Australia	65-74	Year 9	M	8047
Western Australia	65-74	Year 10	F	32630
Western Australia	65-74	Year 10	M	27590
Western Australia	65-74	Year 11	F	7875
Western Australia	65-74	Year 11	M	6516
Western Australia	65-74	Year 12	F	33693
Western Australia	65-74	Year 12	M	37985
Western Australia	75-84		F	9458
Western Australia	75-84		M	7328
Western Australia	75-84	Did not go to school	F	1134
Western Australia	75-84	Did not go to school	M	697
Western Australia	75-84	Year 8 or below	F	8822
Western Australia	75-84	Year 8 or below	M	8039
Western Australia	75-84	Year 9	F	5664
Western Australia	75-84	Year 9	M	4850
Western Australia	75-84	Year 10	F	13644
Western Australia	75-84	Year 10	M	10032
Western Australia	75-84	Year 11	F	3013
Western Australia	75-84	Year 11	M	2297
Western Australia	75-84	Year 12	F	14438
Western Australia	75-84	Year 12	M	14570
Western Australia	85+		F	7226
Western Australia	85+		M	3568
Western Australia	85+	Did not go to school	F	612
Western Australia	85+	Did not go to school	M	311
Western Australia	85+	Year 8 or below	F	5194
Western Australia	85+	Year 8 or below	M	3253
Western Australia	85+	Year 9	F	2859
Western Australia	85+	Year 9	M	1652
Western Australia	85+	Year 10	F	4957
Western Australia	85+	Year 10	M	2426
Western Australia	85+	Year 11	F	887
Western Australia	85+	Year 11	M	536
Western Australia	85+	Year 12	F	4821
Western Australia	85+	Year 12	M	4081
Tasmania	15-19		F	888
Tasmania	15-19		M	892
Tasmania	15-19	Did not go to school	F	12
Tasmania	15-19	Did not go to school	M	26
Tasmania	15-19	Year 8 or below	F	77
Tasmania	15-19	Year 8 or below	M	119
Tasmania	15-19	Year 9	F	186
Tasmania	15-19	Year 9	M	242
Tasmania	15-19	Year 10	F	1384
Tasmania	15-19	Year 10	M	1910
Tasmania	15-19	Year 11	F	1364
Tasmania	15-19	Year 11	M	1420
Tasmania	15-19	Year 12	F	3258
Tasmania	15-19	Year 12	M	3023
Tasmania	20-24		F	934
Tasmania	20-24		M	1091
Tasmania	20-24	Did not go to school	F	38
Tasmania	20-24	Did not go to school	M	47
Tasmania	20-24	Year 8 or below	F	104
Tasmania	20-24	Year 8 or below	M	138
Tasmania	20-24	Year 9	F	219
Tasmania	20-24	Year 9	M	280
Tasmania	20-24	Year 10	F	2292
Tasmania	20-24	Year 10	M	3375
Tasmania	20-24	Year 11	F	1557
Tasmania	20-24	Year 11	M	1656
Tasmania	20-24	Year 12	F	9398
Tasmania	20-24	Year 12	M	8670
Tasmania	25-34		F	1915
Tasmania	25-34		M	2182
Tasmania	25-34	Did not go to school	F	110
Tasmania	25-34	Did not go to school	M	91
Tasmania	25-34	Year 8 or below	F	270
Tasmania	25-34	Year 8 or below	M	329
Tasmania	25-34	Year 9	F	388
Tasmania	25-34	Year 9	M	584
Tasmania	25-34	Year 10	F	5330
Tasmania	25-34	Year 10	M	6731
Tasmania	25-34	Year 11	F	3176
Tasmania	25-34	Year 11	M	3241
Tasmania	25-34	Year 12	F	18501
Tasmania	25-34	Year 12	M	15170
Tasmania	35-44		F	1939
Tasmania	35-44		M	2116
Tasmania	35-44	Did not go to school	F	174
Tasmania	35-44	Did not go to school	M	117
Tasmania	35-44	Year 8 or below	F	317
Tasmania	35-44	Year 8 or below	M	348
Tasmania	35-44	Year 9	F	557
Tasmania	35-44	Year 9	M	774
Tasmania	35-44	Year 10	F	7600
Tasmania	35-44	Year 10	M	8833
Tasmania	35-44	Year 11	F	3221
Tasmania	35-44	Year 11	M	2906
Tasmania	35-44	Year 12	F	17396
Tasmania	35-44	Year 12	M	13488
Tasmania	45-54		F	2495
Tasmania	45-54		M	2723
Tasmania	45-54	Did not go to school	F	192
Tasmania	45-54	Did not go to school	M	190
Tasmania	45-54	Year 8 or below	F	411
Tasmania	45-54	Year 8 or below	M	697
Tasmania	45-54	Year 9	F	1575
Tasmania	45-54	Year 9	M	2077
Tasmania	45-54	Year 10	F	14622
Tasmania	45-54	Year 10	M	15473
Tasmania	45-54	Year 11	F	3302
Tasmania	45-54	Year 11	M	2437
Tasmania	45-54	Year 12	F	13532
Tasmania	45-54	Year 12	M	10284
Tasmania	55-64		F	3009
Tasmania	55-64		M	3043
Tasmania	55-64	Did not go to school	F	134
Tasmania	55-64	Did not go to school	M	158
Tasmania	55-64	Year 8 or below	F	1119
Tasmania	55-64	Year 8 or below	M	1558
Tasmania	55-64	Year 9	F	3608
Tasmania	55-64	Year 9	M	3741
Tasmania	55-64	Year 10	F	14160
Tasmania	55-64	Year 10	M	13486
Tasmania	55-64	Year 11	F	2738
Tasmania	55-64	Year 11	M	1971
Tasmania	55-64	Year 12	F	12311
Tasmania	55-64	Year 12	M	11094
Tasmania	65-74		F	3344
Tasmania	65-74		M	3069
Tasmania	65-74	Did not go to school	F	100
Tasmania	65-74	Did not go to school	M	131
Tasmania	65-74	Year 8 or below	F	1868
Tasmania	65-74	Year 8 or below	M	2448
Tasmania	65-74	Year 9	F	5228
Tasmania	65-74	Year 9	M	4957
Tasmania	65-74	Year 10	F	10101
Tasmania	65-74	Year 10	M	8449
