STE_NAME16	Age5yr	Indigenous	Sex	persons
Queensland	65+	1	M	3609
South Australia	0-4		F	2241
South Australia	0-4		M	2373
South Australia	0-4	0	F	43111
South Australia	0-4	0	M	45557
South Australia	0-4	1	F	1808
South Australia	0-4	1	M	1987
South Australia	5-9		F	2204
South Australia	5-9		M	2330
South Australia	5-9	0	F	44887
South Australia	5-9	0	M	47083
South Australia	5-9	1	F	1946
South Australia	5-9	1	M	2020
South Australia	10-14		F	2009
South Australia	10-14		M	2196
South Australia	10-14	0	F	42550
South Australia	10-14	0	M	45038
South Australia	10-14	1	F	1820
South Australia	10-14	1	M	1847
South Australia	15-19		F	2196
South Australia	15-19		M	2213
South Australia	15-19	0	F	45233
South Australia	15-19	0	M	47490
South Australia	15-19	1	F	1737
South Australia	15-19	1	M	1818
South Australia	20-24		F	2511
South Australia	20-24		M	2691
South Australia	20-24	0	F	48731
South Australia	20-24	0	M	51043
South Australia	20-24	1	F	1527
South Australia	20-24	1	M	1483
South Australia	25-29		F	2666
South Australia	25-29		M	2803
South Australia	25-29	0	F	49871
South Australia	25-29	0	M	49388
South Australia	25-29	1	F	1315
South Australia	25-29	1	M	1309
South Australia	30-34		F	2647
South Australia	30-34		M	2876
South Australia	30-34	0	F	52215
South Australia	30-34	0	M	50786
South Australia	30-34	1	F	1120
South Australia	30-34	1	M	1110
South Australia	35-39		F	2316
South Australia	35-39		M	2658
South Australia	35-39	0	F	48459
South Australia	35-39	0	M	47611
South Australia	35-39	1	F	927
South Australia	35-39	1	M	842
South Australia	40-44		F	2329
South Australia	40-44		M	2685
South Australia	40-44	0	F	50222
South Australia	40-44	0	M	49471
South Australia	40-44	1	F	1025
South Australia	40-44	1	M	915
South Australia	45-49		F	2656
South Australia	45-49		M	3007
South Australia	45-49	0	F	53746
South Australia	45-49	0	M	52290
South Australia	45-49	1	F	1029
South Australia	45-49	1	M	890
South Australia	50-54		F	2693
South Australia	50-54		M	3010
South Australia	50-54	0	F	53757
South Australia	50-54	0	M	52114
South Australia	50-54	1	F	884
South Australia	50-54	1	M	810
South Australia	55-59		F	2919
South Australia	55-59		M	3017
South Australia	55-59	0	F	53569
South Australia	55-59	0	M	51003
South Australia	55-59	1	F	743
South Australia	55-59	1	M	650
South Australia	60-64		F	2644
South Australia	60-64		M	2777
South Australia	60-64	0	F	49337
South Australia	60-64	0	M	46223
South Australia	60-64	1	F	542
South Australia	60-64	1	M	503
South Australia	65+		F	10359
South Australia	65+		M	8451
South Australia	65+	0	F	155272
South Australia	65+	0	M	130926
South Australia	65+	1	F	861
South Australia	65+	1	M	718
Western Australia	0-4		F	4494
Western Australia	0-4		M	4891
Western Australia	0-4	0	F	70010
Western Australia	0-4	0	M	73927
Western Australia	0-4	1	F	4064
Western Australia	0-4	1	M	4344
Western Australia	5-9		F	4240
Western Australia	5-9		M	4513
Western Australia	5-9	0	F	71384
Western Australia	5-9	0	M	75363
Western Australia	5-9	1	F	4251
Western Australia	5-9	1	M	4409
Western Australia	10-14		F	3769
Western Australia	10-14		M	4018
Western Australia	10-14	0	F	65609
Western Australia	10-14	0	M	69093
Western Australia	10-14	1	F	4125
Western Australia	10-14	1	M	4180
Western Australia	15-19		F	3742
Western Australia	15-19		M	4064
Western Australia	15-19	0	F	65571
Western Australia	15-19	0	M	69198
Western Australia	15-19	1	F	3567
Western Australia	15-19	1	M	3851
Western Australia	20-24		F	5071
Western Australia	20-24		M	5430
Western Australia	20-24	0	F	69522
Western Australia	20-24	0	M	73657
Western Australia	20-24	1	F	3183
Western Australia	20-24	1	M	3472
Western Australia	25-29		F	6532
Western Australia	25-29		M	7857
Western Australia	25-29	0	F	82473
Western Australia	25-29	0	M	81908
Western Australia	25-29	1	F	2928
Western Australia	25-29	1	M	3206
Western Australia	30-34		F	6325
Western Australia	30-34		M	7922
Western Australia	30-34	0	F	87324
Western Australia	30-34	0	M	87384
Western Australia	30-34	1	F	2639
Western Australia	30-34	1	M	2680
Western Australia	35-39		F	5023
Western Australia	35-39		M	6570
Western Australia	35-39	0	F	78487
Western Australia	35-39	0	M	78518
Western Australia	35-39	1	F	2230
Western Australia	35-39	1	M	2212
Western Australia	40-44		F	4968
Western Australia	40-44		M	6306
Western Australia	40-44	0	F	78623
Western Australia	40-44	0	M	77690
Western Australia	40-44	1	F	2196
Western Australia	40-44	1	M	2217
Western Australia	45-49		F	4903
Western Australia	45-49		M	6329
Western Australia	45-49	0	F	78755
Western Australia	45-49	0	M	78256
Western Australia	45-49	1	F	2283
Western Australia	45-49	1	M	1994
Western Australia	50-54		F	4799
Western Australia	50-54		M	5995
Western Australia	50-54	0	F	74181
Western Australia	50-54	0	M	73849
Western Australia	50-54	1	F	1911
Western Australia	50-54	1	M	1708
Western Australia	55-59		F	4648
Western Australia	55-59		M	5457
Western Australia	55-59	0	F	69567
Western Australia	55-59	0	M	67280
Western Australia	55-59	1	F	1568
Western Australia	55-59	1	M	1384
Western Australia	60-64		F	4128
Western Australia	60-64		M	4595
Western Australia	60-64	0	F	61995
Western Australia	60-64	0	M	59238
Western Australia	60-64	1	F	1192
Western Australia	60-64	1	M	999
Western Australia	65+		F	12862
Western Australia	65+		M	11445
Western Australia	65+	0	F	169041
Western Australia	65+	0	M	149643
Western Australia	65+	1	F	1822
Western Australia	65+	1	M	1375
Tasmania	0-4		F	795
Tasmania	0-4		M	780
Tasmania	0-4	0	F	11935
Tasmania	0-4	0	M	12526
Tasmania	0-4	1	F	1198
Tasmania	0-4	1	M	1232
Tasmania	5-9		F	836
Tasmania	5-9		M	879
Tasmania	5-9	0	F	13125
Tasmania	5-9	0	M	13888
Tasmania	5-9	1	F	1366
Tasmania	5-9	1	M	1426
Tasmania	10-14		F	829
Tasmania	10-14		M	841
Tasmania	10-14	0	F	12641
Tasmania	10-14	0	M	13352
Tasmania	10-14	1	F	1261
Tasmania	10-14	1	M	1299
Tasmania	15-19		F	847
Tasmania	15-19		M	834
Tasmania	15-19	0	F	13146
Tasmania	15-19	0	M	13862
Tasmania	15-19	1	F	1122
Tasmania	15-19	1	M	1261
Tasmania	20-24		F	839
Tasmania	20-24		M	899
Tasmania	20-24	0	F	12795
Tasmania	20-24	0	M	13421
Tasmania	20-24	1	F	942
Tasmania	20-24	1	M	975
Tasmania	25-29		F	844
Tasmania	25-29		M	906
Tasmania	25-29	0	F	12939
Tasmania	25-29	0	M	12436
Tasmania	25-29	1	F	821
Tasmania	25-29	1	M	752
Tasmania	30-34		F	838
Tasmania	30-34		M	849
Tasmania	30-34	0	F	13437
Tasmania	30-34	0	M	12745
Tasmania	30-34	1	F	811
Tasmania	30-34	1	M	651
Tasmania	35-39		F	790
Tasmania	35-39		M	773
Tasmania	35-39	0	F	13347
Tasmania	35-39	0	M	12208
Tasmania	35-39	1	F	670
Tasmania	35-39	1	M	538
