STE_NAME16	Age5yr	ChildrenEverBorn	females
Western Australia	65-69	3	14422
Western Australia	65-69	4	5678
Western Australia	65-69	5	1623
Western Australia	65-69	6	925
Western Australia	70-74		3535
Western Australia	70-74	0	3041
Western Australia	70-74	1	3047
Western Australia	70-74	2	13897
Western Australia	70-74	3	11012
Western Australia	70-74	4	4970
Western Australia	70-74	5	1569
Western Australia	70-74	6	985
Western Australia	75-79		3248
Western Australia	75-79	0	1992
Western Australia	75-79	1	1948
Western Australia	75-79	2	8277
Western Australia	75-79	3	8635
Western Australia	75-79	4	5077
Western Australia	75-79	5	1904
Western Australia	75-79	6	1365
Western Australia	80-84		2959
Western Australia	80-84	0	1387
Western Australia	80-84	1	1309
Western Australia	80-84	2	4956
Western Australia	80-84	3	5777
Western Australia	80-84	4	4015
Western Australia	80-84	5	1853
Western Australia	80-84	6	1533
Western Australia	85+		5135
Western Australia	85+	0	1505
Western Australia	85+	1	1731
Western Australia	85+	2	5322
Western Australia	85+	3	5356
Western Australia	85+	4	3791
Western Australia	85+	5	1853
Western Australia	85+	6	1885
Tasmania	15-19		1721
Tasmania	15-19	0	13107
Tasmania	15-19	1	245
Tasmania	15-19	2	30
Tasmania	15-19	3	6
Tasmania	15-19	4	4
Tasmania	15-19	6	9
Tasmania	20-24		1209
Tasmania	20-24	0	10923
Tasmania	20-24	1	1567
Tasmania	20-24	2	673
Tasmania	20-24	3	156
Tasmania	20-24	4	29
Tasmania	20-24	5	4
Tasmania	20-24	6	12
Tasmania	25-29		1008
Tasmania	25-29	0	7902
Tasmania	25-29	1	2535
Tasmania	25-29	2	2081
Tasmania	25-29	3	768
Tasmania	25-29	4	215
Tasmania	25-29	5	68
Tasmania	25-29	6	26
Tasmania	30-34		942
Tasmania	30-34	0	4417
Tasmania	30-34	1	3022
Tasmania	30-34	2	3973
Tasmania	30-34	3	1834
Tasmania	30-34	4	607
Tasmania	30-34	5	184
Tasmania	30-34	6	107
Tasmania	35-39		871
Tasmania	35-39	0	2705
Tasmania	35-39	1	2375
Tasmania	35-39	2	5016
Tasmania	35-39	3	2409
Tasmania	35-39	4	913
Tasmania	35-39	5	305
Tasmania	35-39	6	209
Tasmania	40-44		955
Tasmania	40-44	0	2541
Tasmania	40-44	1	2257
Tasmania	40-44	2	5826
Tasmania	40-44	3	3049
Tasmania	40-44	4	1098
Tasmania	40-44	5	413
Tasmania	40-44	6	277
Tasmania	45-49		1005
Tasmania	45-49	0	2614
Tasmania	45-49	1	2405
Tasmania	45-49	2	6360
Tasmania	45-49	3	3493
Tasmania	45-49	4	1270
Tasmania	45-49	5	431
Tasmania	45-49	6	275
Tasmania	50-54		1160
Tasmania	50-54	0	2618
Tasmania	50-54	1	2208
Tasmania	50-54	2	6471
Tasmania	50-54	3	3683
Tasmania	50-54	4	1347
Tasmania	50-54	5	472
Tasmania	50-54	6	326
Tasmania	55-59		1279
Tasmania	55-59	0	2657
Tasmania	55-59	1	2104
Tasmania	55-59	2	6570
Tasmania	55-59	3	4227
Tasmania	55-59	4	1665
Tasmania	55-59	5	509
Tasmania	55-59	6	296
Tasmania	60-64		1231
Tasmania	60-64	0	2139
Tasmania	60-64	1	1834
Tasmania	60-64	2	6118
Tasmania	60-64	3	4058
Tasmania	60-64	4	1655
Tasmania	60-64	5	482
Tasmania	60-64	6	274
Tasmania	65-69		1299
Tasmania	65-69	0	1766
Tasmania	65-69	1	1524
Tasmania	65-69	2	5731
Tasmania	65-69	3	3989
Tasmania	65-69	4	1645
Tasmania	65-69	5	544
Tasmania	65-69	6	282
Tasmania	70-74		1048
Tasmania	70-74	0	1158
Tasmania	70-74	1	937
Tasmania	70-74	2	3805
Tasmania	70-74	3	3165
Tasmania	70-74	4	1529
Tasmania	70-74	5	547
Tasmania	70-74	6	350
Tasmania	75-79		872
Tasmania	75-79	0	713
Tasmania	75-79	1	576
Tasmania	75-79	2	2174
Tasmania	75-79	3	2341
Tasmania	75-79	4	1453
Tasmania	75-79	5	663
Tasmania	75-79	6	484
Tasmania	80-84		728
Tasmania	80-84	0	456
Tasmania	80-84	1	382
Tasmania	80-84	2	1351
Tasmania	80-84	3	1550
Tasmania	80-84	4	1106
Tasmania	80-84	5	601
Tasmania	80-84	6	480
Tasmania	85+		917
Tasmania	85+	0	593
Tasmania	85+	1	598
Tasmania	85+	2	1532
Tasmania	85+	3	1509
Tasmania	85+	4	1083
Tasmania	85+	5	583
Tasmania	85+	6	603
Northern Territory	15-19		1558
Northern Territory	15-19	0	4722
Northern Territory	15-19	1	271
Northern Territory	15-19	2	29
Northern Territory	15-19	3	9
Northern Territory	15-19	4	3
Northern Territory	15-19	6	7
Northern Territory	20-24		1392
Northern Territory	20-24	0	4637
Northern Territory	20-24	1	1098
Northern Territory	20-24	2	532
