STE_NAME16	CountryOfBirth	Sex	persons
Victoria	SGP	M	7279
Victoria	THA	F	10535
Victoria	THA	M	5448
Victoria	TUR	F	7683
Victoria	TUR	M	8065
Victoria	TWN	F	5851
Victoria	TWN	M	4052
Victoria	USA	F	10183
Victoria	USA	M	9517
Victoria	VNM	F	44760
Victoria	VNM	M	36033
Victoria	ZAF	F	13892
Victoria	ZAF	M	13290
Victoria	ZWE	F	2435
Victoria	ZWE	M	2259
Queensland		F	226950
Queensland		M	229173
Queensland	AFG	F	1350
Queensland	AFG	M	2028
Queensland	AUS	F	1685693
Queensland	AUS	M	1658125
Queensland	BGD	F	1270
Queensland	BGD	M	1495
Queensland	BIH	F	1627
Queensland	BIH	M	1563
Queensland	CAN	F	5836
Queensland	CAN	M	4970
Queensland	CHL	F	1183
Queensland	CHL	M	1052
Queensland	CHN	F	27102
Queensland	CHN	M	20009
Queensland	DEU	F	10616
Queensland	DEU	M	9772
Queensland	EGY	F	1095
Queensland	EGY	M	1354
Queensland	FJI	F	6812
Queensland	FJI	M	5802
Queensland	FRA	F	2889
Queensland	FRA	M	2952
Queensland	GBR	F	105044
Queensland	GBR	M	107473
Queensland	GRC	F	1537
Queensland	GRC	M	1761
Queensland	HKG	F	5631
Queensland	HKG	M	5125
Queensland	HRV	F	1739
Queensland	HRV	M	1817
Queensland	IDN	F	4471
Queensland	IDN	M	2855
Queensland	IND	F	22237
Queensland	IND	M	26905
Queensland	IRL	F	5300
Queensland	IRL	M	6057
Queensland	IRN	F	2961
Queensland	IRN	M	3546
Queensland	IRQ	F	1309
Queensland	IRQ	M	1532
Queensland	ITA	F	5824
Queensland	ITA	M	7172
Queensland	JPN	F	8540
Queensland	JPN	M	3860
Queensland	KHM	F	1163
Queensland	KHM	M	868
Queensland	KOR	F	9571
Queensland	KOR	M	8758
Queensland	LBN	F	622
Queensland	LBN	M	795
Queensland	LKA	F	4701
Queensland	LKA	M	5055
Queensland	MKD	F	494
Queensland	MKD	M	459
Queensland	MLT	F	1191
Queensland	MLT	M	1308
Queensland	MMR	F	1508
Queensland	MMR	M	1662
Queensland	MUS	F	788
Queensland	MUS	M	756
Queensland	MYS	F	8241
Queensland	MYS	M	6611
Queensland	NLD	F	6830
Queensland	NLD	M	7234
Queensland	NPL	F	2403
Queensland	NPL	M	2673
Queensland	NZL	F	101354
Queensland	NZL	M	99852
Queensland	PAK	F	1916
Queensland	PAK	M	2754
Queensland	PHL	F	26680
Queensland	PHL	M	12979
Queensland	PNG	F	9128
Queensland	PNG	M	6989
Queensland	POL	F	2858
Queensland	POL	M	2171
Queensland	SGP	F	3707
Queensland	SGP	M	3008
Queensland	THA	F	7104
Queensland	THA	M	2876
Queensland	TUR	F	616
Queensland	TUR	M	878
Queensland	TWN	F	9143
Queensland	TWN	M	6445
Queensland	USA	F	8708
Queensland	USA	M	8349
Queensland	VNM	F	10883
Queensland	VNM	M	8666
Queensland	ZAF	F	20244
Queensland	ZAF	M	19889
Queensland	ZWE	F	4423
Queensland	ZWE	M	4461
South Australia		F	71423
South Australia		M	70050
South Australia	AFG	F	2454
South Australia	AFG	M	3860
South Australia	AUS	F	601986
South Australia	AUS	M	590563
South Australia	BGD	F	946
South Australia	BGD	M	1022
South Australia	BIH	F	1021
South Australia	BIH	M	948
South Australia	CAN	F	1159
South Australia	CAN	M	1063
South Australia	CHL	F	388
South Australia	CHL	M	357
South Australia	CHN	F	13500
South Australia	CHN	M	11109
South Australia	DEU	F	5426
South Australia	DEU	M	4693
South Australia	EGY	F	697
South Australia	EGY	M	773
South Australia	FJI	F	639
South Australia	FJI	M	558
South Australia	FRA	F	739
South Australia	FRA	M	628
South Australia	GBR	F	58822
South Australia	GBR	M	55484
South Australia	GRC	F	4498
South Australia	GRC	M	4179
South Australia	HKG	F	1750
South Australia	HKG	M	1829
South Australia	HRV	F	1412
South Australia	HRV	M	1447
South Australia	IDN	F	1234
South Australia	IDN	M	908
South Australia	IND	F	12985
South Australia	IND	M	14607
South Australia	IRL	F	1597
South Australia	IRL	M	1704
South Australia	IRN	F	2099
South Australia	IRN	M	2429
South Australia	IRQ	F	664
South Australia	IRQ	M	821
South Australia	ITA	F	9378
South Australia	ITA	M	9163
South Australia	JPN	F	1056
South Australia	JPN	M	466
South Australia	KHM	F	1722
South Australia	KHM	M	1474
South Australia	KOR	F	2002
South Australia	KOR	M	1682
South Australia	LBN	F	748
South Australia	LBN	M	791
South Australia	LKA	F	1775
South Australia	LKA	M	2010
South Australia	MKD	F	201
South Australia	MKD	M	188
South Australia	MLT	F	724
South Australia	MLT	M	689
South Australia	MMR	F	772
South Australia	MMR	M	800
South Australia	MUS	F	107
South Australia	MUS	M	102
South Australia	MYS	F	4247
South Australia	MYS	M	3495
South Australia	NLD	F	3352
South Australia	NLD	M	3246
South Australia	NPL	F	1414
South Australia	NPL	M	1440
South Australia	NZL	F	6295
South Australia	NZL	M	6635
South Australia	PAK	F	1495
South Australia	PAK	M	1945
South Australia	PHL	F	7887
South Australia	PHL	M	4581
South Australia	PNG	F	459
South Australia	PNG	M	446
South Australia	POL	F	2809
South Australia	POL	M	2148
South Australia	SGP	F	1350
South Australia	SGP	M	1137
South Australia	THA	F	1916
South Australia	THA	M	933
South Australia	TUR	F	273
South Australia	TUR	M	325
South Australia	TWN	F	1003
South Australia	TWN	M	702
South Australia	USA	F	2196
South Australia	USA	M	2162
South Australia	VNM	F	7835
South Australia	VNM	M	6507
South Australia	ZAF	F	3425
South Australia	ZAF	M	3184
South Australia	ZWE	F	777
South Australia	ZWE	M	711
Western Australia		F	126366
Western Australia		M	132285
Western Australia	AFG	F	1714
Western Australia	AFG	M	3402
Western Australia	AUS	F	744012
Western Australia	AUS	M	748850
Western Australia	BGD	F	1193
Western Australia	BGD	M	1390
Western Australia	BIH	F	1362
Western Australia	BIH	M	1309
Western Australia	CAN	F	2991
Western Australia	CAN	M	2438
Western Australia	CHL	F	825
Western Australia	CHL	M	792
Western Australia	CHN	F	14575
Western Australia	CHN	M	12501
Western Australia	DEU	F	5961
Western Australia	DEU	M	5000
Western Australia	EGY	F	1038
Western Australia	EGY	M	1178
Western Australia	FJI	F	688
Western Australia	FJI	M	638
Western Australia	FRA	F	1853
Western Australia	FRA	M	1966
Western Australia	GBR	F	114978
Western Australia	GBR	M	115833
Western Australia	GRC	F	1173
Western Australia	GRC	M	1136
Western Australia	HKG	F	3192
Western Australia	HKG	M	2936
Western Australia	HRV	F	2265
Western Australia	HRV	M	2293
Western Australia	IDN	F	6871
Western Australia	IDN	M	4525
Western Australia	IND	F	23211
Western Australia	IND	M	26173
Western Australia	IRL	F	8532
Western Australia	IRL	M	9498
Western Australia	IRN	F	2683
Western Australia	IRN	M	3134
Western Australia	IRQ	F	1578
Western Australia	IRQ	M	1848
Western Australia	ITA	F	9131
Western Australia	ITA	M	10079
Western Australia	JPN	F	2990
Western Australia	JPN	M	1307
Western Australia	KHM	F	705
Western Australia	KHM	M	554
Western Australia	KOR	F	3507
Western Australia	KOR	M	3355
Western Australia	LBN	F	496
Western Australia	LBN	M	610
Western Australia	LKA	F	3634
Western Australia	LKA	M	4166
Western Australia	MKD	F	1531
Western Australia	MKD	M	1522
Western Australia	MLT	F	423
Western Australia	MLT	M	479
Western Australia	MMR	F	4587
Western Australia	MMR	M	4119
Western Australia	MUS	F	2321
Western Australia	MUS	M	2281
Western Australia	MYS	F	15774
Western Australia	MYS	M	13355
Western Australia	NLD	F	4551
Western Australia	NLD	M	4582
Western Australia	NPL	F	1193
Western Australia	NPL	M	1425
Western Australia	NZL	F	37258
Western Australia	NZL	M	41960
Western Australia	PAK	F	2110
Western Australia	PAK	M	3328
Western Australia	PHL	F	17272
Western Australia	PHL	M	13563
Western Australia	PNG	F	1045
Western Australia	PNG	M	990
Western Australia	POL	F	3157
Western Australia	POL	M	2413
Western Australia	SGP	F	8208
Western Australia	SGP	M	6778
Western Australia	THA	F	5625
Western Australia	THA	M	2181
Western Australia	TUR	F	524
Western Australia	TUR	M	678
Western Australia	TWN	F	2893
Western Australia	TWN	M	1777
Western Australia	USA	F	4575
Western Australia	USA	M	4729
Western Australia	VNM	F	8729
Western Australia	VNM	M	7116
Western Australia	ZAF	F	20844
Western Australia	ZAF	M	20166
Western Australia	ZWE	F	5850
Western Australia	ZWE	M	5796
Tasmania		F	22228
Tasmania		M	21548
Tasmania	AFG	F	158
Tasmania	AFG	M	145
Tasmania	AUS	F	209956
Tasmania	AUS	M	201535
Tasmania	BGD	F	44
Tasmania	BGD	M	66
Tasmania	BIH	F	57
Tasmania	BIH	M	64
Tasmania	CAN	F	429
Tasmania	CAN	M	390
Tasmania	CHL	F	96
Tasmania	CHL	M	94
Tasmania	CHN	F	1688
Tasmania	CHN	M	1347
Tasmania	DEU	F	1114
Tasmania	DEU	M	998
Tasmania	EGY	F	58
Tasmania	EGY	M	75
Tasmania	FJI	F	145
Tasmania	FJI	M	109
Tasmania	FRA	F	173
Tasmania	FRA	M	165
Tasmania	GBR	F	10891
Tasmania	GBR	M	11073
Tasmania	GRC	F	231
Tasmania	GRC	M	255
Tasmania	HKG	F	224
Tasmania	HKG	M	236
Tasmania	HRV	F	109
Tasmania	HRV	M	141
Tasmania	IDN	F	207
Tasmania	IDN	M	137
Tasmania	IND	F	926
Tasmania	IND	M	1052
Tasmania	IRL	F	347
Tasmania	IRL	M	333
Tasmania	IRN	F	274
Tasmania	IRN	M	288
Tasmania	IRQ	F	46
Tasmania	IRQ	M	56
Tasmania	ITA	F	374
Tasmania	ITA	M	478
Tasmania	JPN	F	281
Tasmania	JPN	M	132
Tasmania	KHM	F	18
Tasmania	KHM	M	10
Tasmania	KOR	F	319
Tasmania	KOR	M	278
Tasmania	LBN	F	33
Tasmania	LBN	M	40
Tasmania	LKA	F	200
Tasmania	LKA	M	190
Tasmania	MKD	F	6
Tasmania	MKD	M	12
Tasmania	MLT	F	42
Tasmania	MLT	M	74
Tasmania	MMR	F	160
Tasmania	MMR	M	135
Tasmania	MUS	F	35
Tasmania	MUS	M	20
Tasmania	MYS	F	773
Tasmania	MYS	M	636
Tasmania	NLD	F	1092
Tasmania	NLD	M	1103
Tasmania	NPL	F	384
Tasmania	NPL	M	432
Tasmania	NZL	F	2508
Tasmania	NZL	M	2469
Tasmania	PAK	F	131
Tasmania	PAK	M	214
Tasmania	PHL	F	1263
Tasmania	PHL	M	355
Tasmania	PNG	F	181
Tasmania	PNG	M	136
Tasmania	POL	F	336
Tasmania	POL	M	243
Tasmania	SGP	F	322
Tasmania	SGP	M	246
Tasmania	THA	F	435
Tasmania	THA	M	176
Tasmania	TUR	F	32
Tasmania	TUR	M	41
Tasmania	TWN	F	195
Tasmania	TWN	M	118
Tasmania	USA	F	818
Tasmania	USA	M	814
Tasmania	VNM	F	235
Tasmania	VNM	M	167
Tasmania	ZAF	F	795
Tasmania	ZAF	M	733
Tasmania	ZWE	F	139
Tasmania	ZWE	M	147
Northern Territory		F	14037
Northern Territory		M	16900
Northern Territory	AFG	F	12
Northern Territory	AFG	M	51
Northern Territory	AUS	F	75851
Northern Territory	AUS	M	81677
Northern Territory	BGD	F	148
Northern Territory	BGD	M	252
Northern Territory	BIH	F	18
Northern Territory	BIH	M	19
Northern Territory	CAN	F	194
Northern Territory	CAN	M	163
Northern Territory	CHL	F	33
Northern Territory	CHL	M	27
Northern Territory	CHN	F	694
Northern Territory	CHN	M	500
Northern Territory	DEU	F	514
Northern Territory	DEU	M	415
Northern Territory	EGY	F	28
Northern Territory	EGY	M	28
Northern Territory	FJI	F	212
Northern Territory	FJI	M	213
Northern Territory	FRA	F	186
Northern Territory	FRA	M	208
Northern Territory	GBR	F	3124
Northern Territory	GBR	M	3503
Northern Territory	GRC	F	536
Northern Territory	GRC	M	732
Northern Territory	HKG	F	149
Northern Territory	HKG	M	135
Northern Territory	HRV	F	10
Northern Territory	HRV	M	30
Northern Territory	IDN	F	729
Northern Territory	IDN	M	387
Northern Territory	IND	F	1640
Northern Territory	IND	M	1955
Northern Territory	IRL	F	461
Northern Territory	IRL	M	558
Northern Territory	IRN	F	66
Northern Territory	IRN	M	95
Northern Territory	IRQ	F	10
Northern Territory	IRQ	M	31
Northern Territory	ITA	F	213
Northern Territory	ITA	M	290
Northern Territory	JPN	F	238
Northern Territory	JPN	M	240
Northern Territory	KHM	F	117
Northern Territory	KHM	M	108
Northern Territory	KOR	F	199
Northern Territory	KOR	M	204
Northern Territory	LBN	F	11
Northern Territory	LBN	M	37
Northern Territory	LKA	F	372
Northern Territory	LKA	M	403
Northern Territory	MKD	F	9
Northern Territory	MKD	M	20
Northern Territory	MLT	F	18
Northern Territory	MLT	M	18
Northern Territory	MMR	F	100
Northern Territory	MMR	M	107
Northern Territory	MUS	F	35
Northern Territory	MUS	M	36
Northern Territory	MYS	F	398
Northern Territory	MYS	M	306
Northern Territory	NLD	F	198
Northern Territory	NLD	M	220
Northern Territory	NPL	F	519
Northern Territory	NPL	M	607
Northern Territory	NZL	F	2167
Northern Territory	NZL	M	2472
Northern Territory	PAK	F	126
Northern Territory	PAK	M	223
Northern Territory	PHL	F	3352
Northern Territory	PHL	M	2562
Northern Territory	PNG	F	331
Northern Territory	PNG	M	261
Northern Territory	POL	F	65
Northern Territory	POL	M	61
Northern Territory	SGP	F	166
Northern Territory	SGP	M	136
Northern Territory	THA	F	705
Northern Territory	THA	M	254
Northern Territory	TUR	F	11
Northern Territory	TUR	M	33
Northern Territory	TWN	F	419
Northern Territory	TWN	M	214
Northern Territory	USA	F	565
Northern Territory	USA	M	651
Northern Territory	VNM	F	522
Northern Territory	VNM	M	408
Northern Territory	ZAF	F	422
Northern Territory	ZAF	M	468
Northern Territory	ZWE	F	345
Northern Territory	ZWE	M	331
Australian Capital Territory		F	18159
Australian Capital Territory		M	17734
Australian Capital Territory	AFG	F	210
Australian Capital Territory	AFG	M	254
Australian Capital Territory	AUS	F	136021
Australian Capital Territory	AUS	M	134014
Australian Capital Territory	BGD	F	654
Australian Capital Territory	BGD	M	712
Australian Capital Territory	BIH	F	185
Australian Capital Territory	BIH	M	199
Australian Capital Territory	CAN	F	621
Australian Capital Territory	CAN	M	534
Australian Capital Territory	CHL	F	420
Australian Capital Territory	CHL	M	333
Australian Capital Territory	CHN	F	6261
Australian Capital Territory	CHN	M	5091
Australian Capital Territory	DEU	F	1200
Australian Capital Territory	DEU	M	1023
Australian Capital Territory	EGY	F	203
Australian Capital Territory	EGY	M	246
Australian Capital Territory	FJI	F	485
Australian Capital Territory	FJI	M	419
Australian Capital Territory	FRA	F	354
Australian Capital Territory	FRA	M	320
Australian Capital Territory	GBR	F	7566
Australian Capital Territory	GBR	M	7821
Australian Capital Territory	GRC	F	510
Australian Capital Territory	GRC	M	464
Australian Capital Territory	HKG	F	851
Australian Capital Territory	HKG	M	833
Australian Capital Territory	HRV	F	675
Australian Capital Territory	HRV	M	627
Australian Capital Territory	IDN	F	748
Australian Capital Territory	IDN	M	555
Australian Capital Territory	IND	F	5018
Australian Capital Territory	IND	M	5392
Australian Capital Territory	IRL	F	411
Australian Capital Territory	IRL	M	432
Australian Capital Territory	IRN	F	386
Australian Capital Territory	IRN	M	458
Australian Capital Territory	IRQ	F	235
Australian Capital Territory	IRQ	M	302
Australian Capital Territory	ITA	F	946
Australian Capital Territory	ITA	M	1001
Australian Capital Territory	JPN	F	560
Australian Capital Territory	JPN	M	231
Australian Capital Territory	KHM	F	224
Australian Capital Territory	KHM	M	163
Australian Capital Territory	KOR	F	1212
Australian Capital Territory	KOR	M	1072
Australian Capital Territory	LBN	F	188
Australian Capital Territory	LBN	M	214
Australian Capital Territory	LKA	F	1411
Australian Capital Territory	LKA	M	1363
Australian Capital Territory	MKD	F	209
Australian Capital Territory	MKD	M	197
Australian Capital Territory	MLT	F	145
Australian Capital Territory	MLT	M	138
Australian Capital Territory	MMR	F	317
Australian Capital Territory	MMR	M	290
Australian Capital Territory	MUS	F	154
Australian Capital Territory	MUS	M	132
Australian Capital Territory	MYS	F	1316
Australian Capital Territory	MYS	M	1117
Australian Capital Territory	NLD	F	547
Australian Capital Territory	NLD	M	489
Australian Capital Territory	NPL	F	374
Australian Capital Territory	NPL	M	385
Australian Capital Territory	NZL	F	2335
Australian Capital Territory	NZL	M	2392
Australian Capital Territory	PAK	F	860
Australian Capital Territory	PAK	M	1142
Australian Capital Territory	PHL	F	2307
Australian Capital Territory	PHL	M	1492
Australian Capital Territory	PNG	F	387
Australian Capital Territory	PNG	M	353
Australian Capital Territory	POL	F	544
Australian Capital Territory	POL	M	402
Australian Capital Territory	SGP	F	532
Australian Capital Territory	SGP	M	493
Australian Capital Territory	THA	F	864
Australian Capital Territory	THA	M	439
Australian Capital Territory	TUR	F	98
Australian Capital Territory	TUR	M	133
Australian Capital Territory	TWN	F	287
Australian Capital Territory	TWN	M	233
Australian Capital Territory	USA	F	1441
Australian Capital Territory	USA	M	1340
Australian Capital Territory	VNM	F	1876
Australian Capital Territory	VNM	M	1469
Australian Capital Territory	ZAF	F	1026
Australian Capital Territory	ZAF	M	986
Australian Capital Territory	ZWE	F	319
Australian Capital Territory	ZWE	M	300
Other Territories		F	280
Other Territories		M	405
Other Territories	AFG	M	6
Other Territories	AUS	F	1215
Other Territories	AUS	M	1313
Other Territories	BGD	M	3
Other Territories	CAN	F	3
Other Territories	CAN	M	3
Other Territories	CHN	F	7
Other Territories	CHN	M	14
Other Territories	DEU	F	6
Other Territories	DEU	M	7
Other Territories	FJI	F	31
Other Territories	FJI	M	24
Other Territories	FRA	M	3
Other Territories	GBR	F	59
Other Territories	GBR	M	73
Other Territories	HKG	F	3
Other Territories	HKG	M	9
Other Territories	IDN	F	11
Other Territories	IDN	M	7
Other Territories	IND	F	3
Other Territories	IND	M	9
Other Territories	IRL	M	3
Other Territories	IRN	M	29
Other Territories	IRQ	M	15
Other Territories	ITA	M	3
Other Territories	JPN	M	3
Other Territories	KOR	F	3
Other Territories	LBN	M	6
Other Territories	LKA	M	3
Other Territories	MKD	M	7
Other Territories	MLT	M	4
Other Territories	MYS	F	187
Other Territories	MYS	M	207
Other Territories	NLD	F	3
Other Territories	NZL	F	186
Other Territories	NZL	M	176
Other Territories	PAK	M	8
Other Territories	PHL	F	42
Other Territories	PHL	M	24
Other Territories	PNG	F	3
Other Territories	PNG	M	6
Other Territories	SGP	F	18
Other Territories	SGP	M	37
Other Territories	THA	F	13
Other Territories	THA	M	8
Other Territories	TWN	F	3
Other Territories	USA	F	5
Other Territories	USA	M	5
Other Territories	VNM	F	5
Other Territories	VNM	M	26
Other Territories	ZAF	F	15
Other Territories	ZAF	M	20
Other Territories	ZWE	F	3
