STE_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Tasmania			52500	232
Tasmania			65625	258
Tasmania			78750	179
Tasmania			91875	99
Tasmania			105000	107
Tasmania			131250	130
Tasmania			157500	54
Tasmania			183750	21
Tasmania			210000	12
Tasmania			Inf	20
Tasmania	0			2776
Tasmania	0		0	217
Tasmania	0		7875	141
Tasmania	0		15750	677
Tasmania	0		21000	1122
Tasmania	0		26250	1722
Tasmania	0		34125	2996
Tasmania	0		42000	2899
Tasmania	0		52500	2751
Tasmania	0		65625	2642
Tasmania	0		78750	1735
Tasmania	0		91875	1242
Tasmania	0		105000	829
Tasmania	0		131250	1051
Tasmania	0		157500	331
Tasmania	0		183750	112
Tasmania	0		210000	148
Tasmania	0		Inf	123
Tasmania	1	0		11697
Tasmania	1	0	0	692
Tasmania	1	0	7875	395
Tasmania	1	0	15750	402
Tasmania	1	0	21000	218
Tasmania	1	0	26250	2761
Tasmania	1	0	34125	1756
Tasmania	1	0	42000	9347
Tasmania	1	0	52500	7671
Tasmania	1	0	65625	10169
Tasmania	1	0	78750	10336
Tasmania	1	0	91875	7734
Tasmania	1	0	105000	7710
Tasmania	1	0	131250	13815
Tasmania	1	0	157500	8652
Tasmania	1	0	183750	4900
Tasmania	1	0	210000	2831
Tasmania	1	0	Inf	5067
Tasmania	1	1	7875	80
Tasmania	1	1	15750	129
Tasmania	1	1	21000	77
Tasmania	1	1	26250	502
Tasmania	1	1	34125	741
Tasmania	1	1	42000	1440
Northern Territory				42
Northern Territory			0	10
Northern Territory			7875	18
Northern Territory			15750	42
Northern Territory			21000	17
Northern Territory			26250	84
Northern Territory			34125	49
Northern Territory			42000	77
Northern Territory			52500	81
Northern Territory			65625	72
Northern Territory			78750	58
Northern Territory			91875	57
Northern Territory			105000	57
Northern Territory			131250	116
Northern Territory			157500	74
Northern Territory			183750	33
Northern Territory			210000	20
Northern Territory			Inf	35
Northern Territory	0			1368
Northern Territory	0		0	130
Northern Territory	0		7875	181
Northern Territory	0		15750	631
Northern Territory	0		21000	347
Northern Territory	0		26250	523
Northern Territory	0		34125	572
Northern Territory	0		42000	612
Northern Territory	0		52500	660
Northern Territory	0		65625	738
Northern Territory	0		78750	614
Northern Territory	0		91875	510
Northern Territory	0		105000	415
Northern Territory	0		131250	650
Northern Territory	0		157500	275
Northern Territory	0		183750	137
Northern Territory	0		210000	126
Northern Territory	0		Inf	137
Northern Territory	1	0		5843
Northern Territory	1	0	0	260
Northern Territory	1	0	7875	188
Northern Territory	1	0	15750	151
Northern Territory	1	0	21000	40
Northern Territory	1	0	26250	669
Northern Territory	1	0	34125	284
Northern Territory	1	0	42000	764
Northern Territory	1	0	52500	1453
Northern Territory	1	0	65625	1848
Northern Territory	1	0	78750	2057
Northern Territory	1	0	91875	1902
Northern Territory	1	0	105000	2317
Northern Territory	1	0	131250	5667
Northern Territory	1	0	157500	4574
Northern Territory	1	0	183750	3478
Northern Territory	1	0	210000	2794
Northern Territory	1	0	Inf	5382
Northern Territory	1	1	7875	175
Northern Territory	1	1	15750	270
Northern Territory	1	1	21000	84
Northern Territory	1	1	26250	738
Northern Territory	1	1	34125	423
Northern Territory	1	1	42000	606
Australian Capital Territory				16
Australian Capital Territory			0	31
Australian Capital Territory			7875	13
Australian Capital Territory			15750	29
Australian Capital Territory			21000	10
Australian Capital Territory			26250	47
Australian Capital Territory			34125	44
Australian Capital Territory			42000	81
Australian Capital Territory			52500	97
Australian Capital Territory			65625	138
Australian Capital Territory			78750	126
Australian Capital Territory			91875	113
Australian Capital Territory			105000	105
Australian Capital Territory			131250	249
Australian Capital Territory			157500	138
Australian Capital Territory			183750	66
Australian Capital Territory			210000	52
Australian Capital Territory			Inf	57
Australian Capital Territory	0			1493
Australian Capital Territory	0		0	157
Australian Capital Territory	0		7875	95
Australian Capital Territory	0		15750	298
Australian Capital Territory	0		21000	413
Australian Capital Territory	0		26250	584
Australian Capital Territory	0		34125	858
Australian Capital Territory	0		42000	885
Australian Capital Territory	0		52500	934
Australian Capital Territory	0		65625	1242
Australian Capital Territory	0		78750	1180
Australian Capital Territory	0		91875	1204
Australian Capital Territory	0		105000	1044
Australian Capital Territory	0		131250	1810
Australian Capital Territory	0		157500	794
Australian Capital Territory	0		183750	381
Australian Capital Territory	0		210000	423
Australian Capital Territory	0		Inf	392
Australian Capital Territory	1	0		8223
Australian Capital Territory	1	0	0	533
Australian Capital Territory	1	0	7875	155
Australian Capital Territory	1	0	15750	133
Australian Capital Territory	1	0	21000	70
Australian Capital Territory	1	0	26250	636
Australian Capital Territory	1	0	34125	408
Australian Capital Territory	1	0	42000	1787
Australian Capital Territory	1	0	52500	2426
Australian Capital Territory	1	0	65625	3928
Australian Capital Territory	1	0	78750	4620
Australian Capital Territory	1	0	91875	4147
Australian Capital Territory	1	0	105000	4530
Australian Capital Territory	1	0	131250	11421
Australian Capital Territory	1	0	157500	10396
Australian Capital Territory	1	0	183750	8597
Australian Capital Territory	1	0	210000	7024
Australian Capital Territory	1	0	Inf	16386
Australian Capital Territory	1	1	7875	43
Australian Capital Territory	1	1	15750	64
Australian Capital Territory	1	1	21000	56
Australian Capital Territory	1	1	26250	162
Australian Capital Territory	1	1	34125	254
Australian Capital Territory	1	1	42000	444
Other Territories			42000	3
Other Territories			52500	3
Other Territories			131250	3
Other Territories	0			32
Other Territories	0		0	3
Other Territories	0		7875	3
Other Territories	0		15750	3
Other Territories	0		21000	8
Other Territories	0		26250	3
Other Territories	0		34125	10
Other Territories	0		42000	9
Other Territories	0		52500	17
Other Territories	0		65625	16
Other Territories	0		78750	11
Other Territories	0		91875	10
Other Territories	0		105000	7
Other Territories	0		131250	14
Other Territories	0		157500	3
Other Territories	0		210000	4
Other Territories	1	0		116
Other Territories	1	0	0	4
Other Territories	1	0	7875	3
Other Territories	1	0	15750	4
Other Territories	1	0	26250	17
Other Territories	1	0	34125	19
Other Territories	1	0	42000	45
Other Territories	1	0	52500	51
Other Territories	1	0	65625	94
Other Territories	1	0	78750	89
Other Territories	1	0	91875	59
Other Territories	1	0	105000	62
Other Territories	1	0	131250	104
Other Territories	1	0	157500	72
Other Territories	1	0	183750	36
Other Territories	1	0	210000	28
Other Territories	1	0	Inf	50
Other Territories	1	1	7875	3
Other Territories	1	1	15750	3
Other Territories	1	1	26250	4
Other Territories	1	1	34125	7
Other Territories	1	1	42000	12
